,UKF251,ZH881T1
JAM3,-0.013945414211165626,-0.08080088331343353
TGFB2,-0.0014753783163416795,0.05764113621306317
COL18A1,-0.046712734846752126,-0.08131570094539677
NODAL,-0.01944413588561419,0.03604287289146018
INHBB,0.013617388093198325,-0.0067331062695049
ARF4,0.01217667036167325,-0.010529448613022435
CXCL14,0.0585604509159152,-0.03292582222606503
LIF,0.10523295186655633,-0.07094867928586271
IL17B,,-0.030381824603049175
MMP1,,-0.022000422031942895
MATN1,,0.06478427211768235
ADAM28,-0.005127330688793481,-0.0183331176788195
TCN2,-0.017216390990919452,0.008601350072346832
THPO,,-0.027161477128401612
CUBN,-0.03263643049919421,-0.022809616267349488
TIMP3,-0.004212504706000409,-0.04972940584980436
PIGF,-0.0367899880132919,-0.024847472381889033
CRH,-0.024402339265461738,0.0053640864424098905
BDNF,-0.021829329256110787,-0.013196868218584167
CCL5,-0.007065503482607934,-0.04862679861239461
GAD1,0.037798630949793494,0.019166212150939475
COL14A1,0.03441762066266114,-0.09334814684969134
HLA-A,0.0008277073528886424,-0.136756761349761
CD5L,0.02797550251034939,
FGF18,,0.04279814156379237
ADM,-0.00514000718406963,-0.11183619376796129
GNAI2,0.04201953232037326,-0.0799542740981325
COL11A1,-0.0017617900230335912,-0.0440938965264637
NUCB2,-0.013226735081405183,-0.06793393986820709
CXCL1,0.024411184261342273,-0.012142998849092267
VCAN,0.026317518643327594,-0.027084057894740565
MMP7,,-0.030199418188935404
PTPN6,-0.018637956560861483,-0.006802026835970391
PTGS2,-0.008846851337584328,-0.00398045826639985
CD58,0.02781156287582637,-0.0320464509542243
TNFSF14,-0.02730265981801453,0.052169433446017356
CNTN4,0.08735190770258845,0.04712522329683937
INSL3,,0.0038428361915191557
MFNG,-0.009127318214292631,-0.06507563065398934
ICAM1,-0.002954631690354118,-0.012677966518634202
PROS1,0.025919460272094432,-0.052187446870408126
CLCF1,0.05000472789715354,-0.04884210587498026
PSAP,-0.0707340759408917,-0.09077375947729013
EFEMP1,-0.030241899148362245,-0.07996103591969772
C1QTNF1,0.08690579013119866,-0.09323092022982636
ALB,0.0031409760388749416,0.004285975224035731
CCL13,,-0.03563379827616472
EFNA3,0.0073144650834512746,0.08149971414645377
DRAXIN,0.0025853174795479987,-0.015354459373627151
RAET1L,,-0.009927592960384096
NPTX2,0.08630273486193811,-0.07628825417529965
FGF11,-0.035351588784081615,-0.039360136869723845
CD59,-0.07077034886783555,-0.09582741264628987
COL9A2,-0.012469911054809078,0.07237708673103929
DLL3,-0.019378231416259686,0.15363598354637503
LIN7C,0.008492939648880584,0.03396297749863479
GDF7,0.005405083241867852,0.09596447879796424
PSPN,-0.02460837028166015,-0.019147614498901875
ANGPT1,0.01948902654093052,0.05272079718507884
