,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
COL6A3,-0.03941299968124824,-0.001759428767694981,-0.05971162185740332,-0.029086945974331712,-0.006284040402924025,0.01633527155879843,0.07668570732835524,0.016745111556754004,0.022306497950909124,-0.003953591120861743,0.03177851550368168,0.07017355224230291,-0.03733605230302546,-0.001406768308769512,0.044495318889243615,0.04448989780878899,0.0013746851345074241,-0.06084094879643974,0.07175529779051909,0.03961730229838587,-0.05404983827281161,-0.038768039308531836
RLN2,,,,0.04794204771808034,-0.0013722739272571845,-0.025395891174153938,0.033234528336873105,-0.030351929881186457,0.10828089862462452,0.0169319298355918,,0.11058016621568166,,0.24239829820793626,,,0.019419418847284046,,0.11613034738756899,-0.018575219338397928,-0.017156660053914335,-0.03739835601119241
WIF1,,0.03459373449885325,0.02965841125658011,,,0.02767440470306643,-0.0455205189978661,-0.0350737116670347,-0.022169268479026807,0.020033155372645193,,-0.046423415907076805,,,,,,,,-0.012598665948756334,,-0.013602744769451057
IL13,,,,,,,,0.003026840177526806,,,,0.031634656944786614,,0.043735179333648226,,,,,,,,
PLAU,-0.08098302217188516,-0.05593284361585682,-0.008461358809553756,-0.03363912193724885,0.05672371275548741,0.003906953253746557,0.03442442462215097,0.09730776100023172,0.07361896745475123,0.03179564571394422,0.07512107969031644,0.07263654764884855,0.06045673439888242,-0.026912623695086676,-0.022673202587538337,0.0504527993400576,0.04852895282742598,0.010343418300427738,0.15675357558114247,-0.004002926858406986,-0.010560213553244387,0.0903055393214061
CXCL12,-0.009954283325241425,0.002240326257547877,0.062084541317336754,0.09731411323424463,-0.0039935698970982895,0.014389240496560185,-0.018242615438406714,0.013219633017761481,0.01771066086576585,-0.02381379399780064,0.11840029824434857,-0.01813385629213568,-0.02151938579967525,0.01972122282516935,-0.014257047938355125,0.0946429063383386,-0.037646428653763234,0.027460739946853115,0.040234762312181704,0.04457633854123464,-0.04684497253587371,-0.11427608191064804
MMP9,0.0418966811573756,-0.035270894076767964,-0.028462319784183523,-0.0188249032684319,-0.0019995644837794762,-0.01108731033144476,0.027288127813326398,0.12528395329721034,0.02792211590884698,,0.1542375048932981,0.013920043020649996,0.06199434573728453,-0.038558277975457744,0.035450136768539905,-0.007124454677616754,-0.05044723701013484,-0.05593512547765531,0.09950195595396157,-0.023475274587096206,-0.05651502471010951,-0.07422480080584805
TNFSF14,-0.0056883120663574465,0.03685653903411529,0.0028922813525005682,-0.01679907968037888,-0.03408526685315496,0.038878315529193595,,-0.029727083646321855,0.019116005958361,0.02157411542779833,,,0.0241371552104907,-0.04874808509223683,,0.0430476999345872,-0.03808247391722254,-0.04799842032552086,0.03084110841763791,-0.0039039048824155,-0.012974697076601812,0.1190894782943614
HBEGF,0.04370663021486395,-0.04183931685744782,-0.031922507781371685,0.0048991526880910186,0.0024280897161285627,0.06686751192710111,0.013891861338638707,0.07628089480643288,0.07827728230870705,-0.004162852754859705,0.08094124142834519,0.07418944060628806,0.008857569570303864,-0.006737917717062552,-0.027615139863934653,0.046931886150487774,-0.012424177370836457,0.0032786650754210137,0.039566044454936174,0.008277079978501568,0.007999763985797477,-0.02335719689852767
NUCB2,-0.09463170719160927,-0.06963066214306024,-0.05452772166359213,-0.024496050066595942,-0.025744296004302874,-0.03233007892469312,0.04313693891037128,0.013950454786791138,0.04306057384849385,0.05605246030641518,0.027853307713840675,0.0896465457265745,0.0792004272603623,-0.0008768722922655606,-0.04879511608572365,0.02193022058649636,0.03194471645895059,-0.005674710883837802,0.010113270251322819,-0.03525742269275158,0.002037025740939761,-0.0774888550138689
VCAN,0.010199149018423753,-0.053525301216744994,0.05657118408040355,0.015190277051620184,0.007382211881439898,0.016355029162298196,0.02410036314807753,0.06556117901489626,0.0001337737443737159,0.011896519873904412,0.08790184105333468,-0.026416751335724888,0.0014464465118960471,-0.054490665363223084,-0.044505303729155975,-0.0200037923126822,0.062475727076600034,0.14992544655289672,-0.08102204278748779,0.006912395049302691,-0.049484827252429205,0.039704296170148694
VEGFC,-0.023104267557855555,-0.03645833674367136,0.018491978684114768,-0.02908695091551207,0.020044948467387903,-0.027270786511064227,0.010961498406344299,0.079010868796747,-0.05285107549951564,-0.005956632216163194,-0.04951408926226088,0.031799838960637636,-0.050458807797142444,-0.04496382931741503,-0.019213218619366524,-0.03290143294688667,-0.05022177062497963,-0.03956993612578861,0.05209992067759126,-0.009123985123572485,-0.004637754278066021,-0.027077558277616112
LMAN1,-0.0613701973297035,-0.02440451797094267,-0.06190268199555512,0.03868484885531155,0.012095366543982486,0.007376088118871415,0.03647821037299558,0.11528192138202399,0.03018307900485346,-0.015258442618809211,-0.034804363270944466,0.07724954767976812,0.06647961383708093,0.01685418658195849,0.12076082213610448,0.03654926084998201,-0.02490235758864241,-0.10345076204937827,0.03072503988480715,0.008092500561891784,-0.04237226731589246,-0.02132230321803642
IRAK4,-0.010651320954858315,-0.011836518130931091,0.0006021130475062636,-0.028776422860265126,-0.01784317791178982,-0.012679414451689882,0.06773974010139387,0.07506207424500541,0.03624948783843041,-0.02415362513972612,0.06797942327223443,0.015496567759017867,-0.0070396976654935215,-0.03384054830843882,0.022971978952149186,-0.03144522027932047,0.04167507136830463,0.054535224296498055,-0.003968340553507956,-0.022176055421663655,0.04428633315382409,0.04520895183216037
