,UKF260,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
NPTX2,-0.04869788226486198,0.14902720143567627,,-0.04988233201733394,0.044173462876848334,-0.006973216818676657,0.05871882708569458
FGF11,0.03808074345147658,0.060094432238870524,0.017440616269909743,0.02696543612500535,0.05945193601966214,0.003533342770087754,0.03951001780952549
CD59,-0.044433782879232435,0.023811813299162432,-0.03763959799764843,0.019431387513843556,0.05331227062493019,-0.007919841866050943,0.01625252919763637
COL9A2,0.006973642791855431,-0.02564574466775921,0.029204633208120483,-0.02796888827886374,-0.006568025343477733,-0.012420778445594596,0.03616179353106625
DLL3,-0.056408344573654394,0.021522917515042032,-0.006540094130055111,0.08559947280255958,-0.027348944830240998,-0.04302039415655715,0.04819069140805074
FGF5,,,,,,,0.010358394040107785
LIN7C,0.005616239683407592,0.009616171826989015,0.08035285823281554,0.060048004420221936,0.009992343452302918,0.025902981545377804,0.08936937340124454
GDF7,,,,0.1388376238434541,,-0.017444525120474046,0.06871644245644948
PSPN,0.02746898746543293,-0.0006695675978571651,-0.06348532575088464,0.011558266903780728,-0.017198724851616706,0.005714800334518023,0.03316230742190717
ANGPT1,-0.04022546585421369,0.012027644307566346,-0.012270061408608732,0.07369078346321263,-0.00665700253373324,0.037585753293820655,0.11048151162724211
PNOC,-0.04101270319714944,,,,,-0.020681197020740248,0.04859605151703846
L1CAM,0.04233505984070016,-0.03726465084987022,-0.11520196934542369,0.06477296369933061,0.007657132683390846,-0.048949662989192524,-0.034648681284214354
APOA1,-0.03670641837322638,-0.012358142713271516,0.009558455880885214,0.05348998944689838,0.03464999174970282,0.031411664628258486,0.02122645175261862
PSEN1,0.01791062268580784,0.03788571629574247,-0.014740512937819535,-0.027840280391380687,0.016654513052126108,0.02866427983782614,-0.005872238389973209
CALM2,-0.027145992643176818,0.06383598172739109,0.013037032730011484,-0.05346173458253469,0.005972900917824394,-0.03027697587644738,0.008017257159207977
CLEC2B,-0.03122835742679225,-0.01848815045361066,-0.0033986781304545257,0.05246039617654336,0.058143551733081736,0.023347743167600587,0.035160432454969345
NTNG1,-0.031988093715979944,0.04842924373434988,-0.04486582226163473,0.010596076505273878,0.009414259479122389,0.009782238518414135,0.04303887172956865
LRIG1,0.04444450956425461,0.036696431365595424,0.023063471113047993,0.09119353884584361,0.003846480387401922,-0.029396516406704164,0.027054299092439425
CPAMD8,-0.015984165652998514,,-0.03997635050986834,0.10680676752139637,,,0.0008446892447762837
GHRL,-0.02707036055904662,-0.027536430558649776,0.05560740588157625,0.15165705309757505,,-0.01886964079484314,-0.03967725311840953
NPY,-0.02908612979262036,-0.04756625865055801,,-0.0377984732527527,0.04342674181913751,-0.04095312330252028,0.1106564924676842
MMP2,0.01585448555254174,0.07628222577959347,-0.08781226752517189,0.043397526901642156,0.028801592191799532,0.05316730079015173,0.03114606072479913
PPY,,,,,0.04203888477395353,0.05806412753211643,0.12721467229885375
ALKAL2,,0.0043105200142585405,,-0.05236749435626531,0.06646824587549434,-0.005300806450767381,0.0887223041939441
CSF1,0.00199177245251167,0.03639303178421509,0.015078856675434469,0.037825795089660205,0.06287639377059993,-0.02726495964247788,-6.618167278971807e-05
SEMA4C,-0.023830529345228404,0.014886453857258437,0.060897084454359214,0.07553050470660075,0.04350482431986971,-0.06562213688902799,0.0852637579516128
BMP8A,,,,,,,-0.00845699748181616
ICAM2,-0.004820321670313573,-0.009830640860596759,0.025558885730505295,0.027519437983223923,0.051060328400494924,0.0037233106236261833,0.024676956917194327
SYTL3,-0.04343695735321567,0.008961930597397654,-0.01664817972787786,0.04463023381707342,0.06621883665926862,-0.027220645301848742,-0.0026203508545225586
IL1A,-0.021523642251411547,-0.008999121035402506,0.0716465933460703,0.04323708779516499,0.10378007842788096,-0.027824911288073406,0.011851016461670784
HLA-G,,0.08103519530726129,0.09224855700337423,,0.010197367570784713,0.05547048635411981,
PGF,0.020750862691186426,-0.05550081728314128,-0.11704811970978504,0.028907280569493057,0.04817913820584167,0.021123032380068234,0.06533728663854423
LGALS8,-0.015259644365982195,-0.0412566207447293,0.038582306339270726,0.10758827056380552,0.030986867738144113,-0.04013645010161067,0.06987461140409193
DKK3,-0.06806155565151206,-0.045451127948408096,-0.09352991808800787,0.028381813961975748,-0.00627214630403241,0.03648253485494313,0.07019444490760089
COL16A1,0.008178467972387691,-0.05010865383378955,-0.0005226647086656904,0.09434966063896731,0.05926184611906002,0.04519748389573696,0.041235925156861336
TPH1,-0.015690530669601927,0.08151804469925884,-0.048571085322329635,,0.046495108223268695,0.027830578581309048,-0.024526627429733557
TNC,-0.018171540241395254,0.04233179594073185,0.005335215444956703,0.05148714874448109,0.08356250948501533,-0.011778993504888462,0.004342445888394204
TNFSF9,-0.029821134534592945,,-0.049282479421048624,-0.01514836124151013,-0.0004005119306960188,-0.026959575689776638,0.10141351286114482
C4A,,0.0013410629841454041,,,-0.0015708862708935824,-0.01762850635484701,0.00497829306333133
CNTN2,0.03376306570027371,0.054710277137827695,0.06786364346270797,-0.05397616749830407,0.015435786779125897,-0.02637044523965782,0.056899983384726786
F7,,,,,-0.027577881699825703,-0.017444526807317,
LUM,-0.04112405636466987,0.001572866599556298,-0.00804980044950229,0.09109790719061574,0.012323949057814369,0.03120843061751965,0.001882224928677324
BTC,-0.051876048815955006,,-0.032131132225764455,,-0.019951627873675538,0.026258436584822947,-0.05852760921532809
APOC1,0.001679452139680679,0.014185178832285069,0.046064041500697823,0.08913490074939927,-0.07631489494916442,0.020491130856444825,-0.023790979640010052
PKM,0.008272742210515296,0.057693766916464106,-0.07587497808787007,0.03811755253407481,0.06016530840653169,-0.02438092469766037,0.05767111164159555
TNF,0.0139066653760782,0.046585257299918886,0.09176405574142661,-0.030418312567975236,-0.019365024034690977,,0.040434360435629806
GNAS,-0.010111750966721608,-0.036591519078629925,-0.033581754188457935,0.00011822648920563914,-0.0741539186156159,-0.0421838021660749,0.04761182604408697
