,UKF259,UKF260,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
CXCL8,0.017241394241365407,-0.02126936118932782,-0.03656360741810346,-0.04033701264313531,-0.14038599609392277,-0.1782849145580062,-0.03152788292424644,-0.08804436091511407
GRN,-0.017325392921921833,-0.07409894388586524,-0.0332256112730385,0.06211174969142994,-0.09230329625077638,0.0167694294197957,0.08489421084244869,-0.052138227490483934
MIA,-0.014625295168029032,-0.04289988519237493,0.059784442692358,-0.010863568352581945,0.17852981199663,0.05547394034087089,0.0200066094776503,-0.03007371026724131
COL4A4,0.006730466345513582,-0.04644977360452435,0.005241691340430424,0.024281648315027958,-0.00182856185063142,0.023940440023267583,0.04383406286440761,0.008192936394149765
TAC1,0.012076091175679456,0.1113701418247549,0.03887423917113824,0.07153621294226396,,,,0.007314592127805558
RARRES2,-0.009727199466584194,-0.06835624755992847,-0.017892675032457415,0.05225401533055202,0.0067588889397146076,-0.05643643550601442,-0.04977775728895759,0.008679419676755515
FGF7,-0.03167104575461684,0.13594916491108347,-0.008324104104937726,0.001993821931506348,0.020704860428447148,0.010012728001401204,-0.055997358836736934,0.03404473026694476
EFNA2,,,,,,-0.005175620592582034,,
HBEGF,-0.004054013207382163,-0.04166385349212961,0.03933990862764018,-0.08070794730752634,0.017615738813715483,-0.074414527459317,0.007758143513667048,0.055323828392981146
CSF3,0.08840647118033798,0.025091179625720984,,,-0.0700362775730993,-0.07938828925000678,,-0.028770592501711816
PI3,0.00414522736530533,0.031003694998004178,,,-0.12141261153098777,-0.1255562551389595,-0.018867740494983347,-0.07849159737793876
PCSK1N,0.01960545096835875,0.04699269438379402,0.027442815695722475,-0.04724689305479251,0.019228125388978924,0.02732164674582028,0.09295935629804167,-0.02669137134956953
NTS,,-0.01542072780704802,0.13296823030641644,-0.005460568984189109,-0.05593766482595643,0.07093132977725244,,0.05046731044086326
SFRP1,-0.01558971236249387,0.09735685654485902,-0.02893533688529838,0.026462592187357442,-0.0009983853035093455,0.03456744029982746,0.019417670642924895,0.07600137808425644
CXCL13,,0.14191658895103718,,,-0.04566011650729582,-0.03245453273229496,,-0.020638725555547806
MICA,0.024026411251666834,-0.012111174962446562,-0.024213221919495254,-0.050352426627334995,-0.0028355479940708507,0.054185830348308005,-0.005340265679356685,0.04453732713163626
TG,0.017292414188012774,-0.023636966985040586,0.0235381849492396,-0.010449611013010816,-0.018405839623950253,-0.02138024380708307,,0.02431687123147375
ADA,-0.00761064192679672,-0.03163387351889392,0.06710466759959283,0.10005532815796993,-0.04003412141624131,0.07247335977634113,0.08238255840386215,-0.011377952130227312
LAMC3,-0.029234808891786337,0.028647851397579253,0.012235073353702957,0.011703346568283042,0.011391808504211958,0.05284669265298238,0.057902780813905874,0.011949159450294273
CCL7,-0.012163558528980262,-0.0037588844759374775,,,-0.03593716537875191,,,
NGF,-0.007534657385548931,-0.022620315571704977,0.062374873436408046,,0.0013226286879924815,-0.03197097595359115,,-0.041396770726491394
TNFSF15,-0.013544717334046451,-0.01569052738164423,-0.00038873063697194676,,-0.035034700848652595,,,-0.017866044013433603
HMGB1,-0.004322191755813156,0.014442743410804681,0.033389778108061464,0.04783300320189999,-0.09745097079888697,0.02060564155598908,0.00124247524229524,0.008304774068084676
ITGB3BP,0.007978852608260104,-0.002847774881308128,0.02866241096924414,-0.020900364134656145,0.011995103636082197,0.06190615815934057,0.014847509513126165,-0.034576899091021775
AANAT,-0.012324308823484455,-0.014138103554704391,,-0.020410571293210434,0.024071481384420425,0.05349838019516505,-0.027468286874153938,
RELN,0.0065785112005347784,-0.015765181894869185,-0.014970811568288132,0.0026189601088604663,,,-0.03435078644966389,0.09861499496827565
IL15,-0.005914849991525929,-0.01608888875673589,0.041934339311727256,-0.0375842164479563,0.0543019746256315,0.012953209620857272,0.024436111946354006,0.10790947611152248
UTS2,,,,,-0.02684757704706645,,,
