,MGH258,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
CD24,0.020715178612338223,-0.02638034996249696,-0.002464325758470572,0.028062289823637777,-0.016726566515738107,-0.019016162458728093,-0.008476303540651235,-0.008974080914712341,-0.08047536750845358,-0.041137065042603546,0.012283500732511329,0.0250551471824144,-0.023868864075430103,-0.008768936177588098,0.016707070455294848,0.05628437858295859,-0.029896168171084196
HSP90AA1,-0.08719713435808576,0.007424459705998554,-0.04306737260539519,0.02908831221526386,0.008683568268777166,-0.05298777722642695,-0.04997107906904051,-0.0021117543500153288,0.00048407409605748334,-0.012502684671400663,-0.10720006421668199,-0.1311349080774152,-0.034856569173661485,-0.07986085131610533,-0.051621048628837145,-0.024082353143342353,-0.017000643099682973
BMP4,0.054064018713492874,-0.01065634374526837,-0.03397149928368471,-0.018010872961987112,0.002388011306572125,-0.03665333417878924,-0.022280874554832998,0.06363403863018853,0.020850956289942994,-0.022039654253420925,0.10341174258394975,0.031280733515824194,0.12135157458459708,-0.00035051048521834565,,-0.06304522852126587,0.00029087958414604004
SCGB3A1,,,,,-0.013716325285384762,0.064136938054823,0.09162627661524933,0.08448197054186793,0.01031262126609196,,-0.013297843123544144,0.046333000574480775,,-0.0041947606048835856,,-0.00923090852237858,0.04670808902055466
IGFBP4,0.012548085373384097,0.0005339565275366488,0.06394829125823501,0.03577342470460959,-0.0329004507958074,0.03956051921466279,0.006118445145784028,-0.029420815797229292,0.07558056096724475,0.010236381454611108,-0.06772196393602793,-0.0919562844701928,0.07497602058469072,0.039519517749170355,-0.0012073586308379383,-0.120435991521869,-0.03311108693064775
RSPO4,,-0.026724713317332394,,-0.018002663961121504,-0.013716323279061905,,0.0994399951255299,,,,,,,0.01300572196352167,,0.09663750663176211,-0.029870906800158376
LEFTY2,0.0177882917064814,-0.03147907670839524,0.11159080329645654,0.010166660561103508,-0.015040116229810923,0.0631149298002541,0.020589276858219988,0.013294738749619655,0.10483893185775951,-0.03599415548890245,0.04651623555322389,0.016885618514874474,0.10884220844858757,-0.00672020736171736,0.1322225896529425,0.047653374423791306,0.04903153483066218
PF4,,-0.01188524683045163,,,,,,,,,,-0.026350382216277685,,,,0.056126251847065316,0.06338617253256776
ANGPTL2,-0.00234871692015667,0.02938856590417097,0.09228705881606573,0.01980388005263636,-0.011763386239145258,0.011749840770181987,0.058216588058810324,0.02887881862488674,-0.0018467091498533244,-0.0006466706095348445,0.04511741427967617,0.0746549009113876,-0.018524583606414624,0.02821207690777666,0.039902584105978425,-0.021861615199630723,0.023201368373931514
LRIG2,0.05157569646368849,-0.007565331023351121,0.001821189026049422,-0.00910521681684239,0.03500250725861629,-0.011846880632867377,0.0062398551929691536,0.02531241244401533,-0.07431719867119715,0.05418290140247838,0.013788747305767311,0.014314569169429702,0.04667338355653382,-0.04032070932549496,0.017005096450597116,0.07150559914928054,0.009941942830624611
ICOSLG,-0.009149556108575103,0.026364369951927237,0.09717847146023187,0.04243066394560934,0.02878150539046272,0.04648698297606628,0.0014761729260423806,0.018351530968166007,-0.006378878041378174,0.004166726637572219,0.036262683783878986,0.01442611484995524,-0.026661337276614728,-0.047372929546377215,-0.03440891969850557,0.03927764036963629,-0.00418694537899494
WIF1,,,-0.044316651559827336,-0.013892229373413412,0.044241314234637064,-0.0462765390605959,-0.020074463167054555,,,,,,,-0.026059340608945367,0.017739519484214487,,-0.006132434138364328
NPPC,-0.010807953558511446,0.06241367220785054,-0.0380605768462575,-0.027099325435659165,-0.01906233268227594,-0.060684559667425725,0.03354023943670903,-0.02629538437428515,-0.05369520825394098,-0.03372622250227119,0.017624135359178818,0.00824167255938527,-0.03562383437398265,-0.023565306564550335,-0.04782066040198517,,-0.016172338171325525
LYZ,-0.01690511359980182,0.05500615735226385,0.022861155655138726,-0.03292289240315527,-0.023444338302426745,0.04778256785986021,-0.05969000240047607,0.02575311329158331,0.03732285943026211,-0.0615622148946422,-0.0180721095643125,0.05178611958387861,-0.006452615082065469,0.03260028699112767,-0.058813091893161945,-0.07097904724984222,-0.0034383148339310887
EREG,,,,,,0.0625479068438935,,,,,0.016003946688589354,0.01940592078512987,,-0.03491550952980752,,-0.03236774881361431,0.0833510433218694
SPTAN1,0.0061560224146574895,0.04614743522006555,0.005978809328020042,0.013429303472253722,0.004963538913331995,0.007318059912322354,-0.005516923040243163,-0.030821081672800895,-0.10041745367221235,0.05812751340793214,-0.023207283546812608,0.0209525224801439,-0.022893966133780315,0.007132240129377944,0.05406057327502782,0.11553890751385469,-0.043125341632968495
PTH2,,,,,,,,,,,,,,-0.019445257829101184,,,
LIPC,-0.02989371946326298,-0.007645847074052325,0.03776119002260186,0.025948334975107165,,0.005867726143529289,0.0021650981192020105,-0.027883563425024717,-0.03871234026155006,-0.043755011054533985,,,-0.02948854904320478,,,0.045723783388686386,-0.02158565724794557
COL8A1,-0.015878744055058184,0.005035845202709455,0.043952080418063234,0.002378759019622518,0.009108250428661258,0.014135765965966043,0.04512554430269842,0.002121817868949455,0.008768323765618941,0.019546927461607695,-0.014490126657366537,0.04659327154403612,0.06470133779703387,-0.014690517056638564,0.07785511855584462,-0.05484107334948235,-0.014408686623807189
GSTM2,0.04766940638656922,0.00661217105719794,0.01659439513659959,-0.03530673695890226,0.06477110643236446,0.12623328965200198,-0.03064537276752041,0.009191633741998387,-0.025901644072145822,0.05570755724216462,0.01827077268992812,-0.022386109659923593,-0.030090749908812338,-0.012987020090000289,0.19144968337288013,0.15244250055267727,-0.003646129256974213
IL4,,,,,,,,,0.053399961573892665,,,,,,,,
SPX,-0.051596806473907596,-9.847938265068572e-05,-0.03415296347142497,0.0075931937483562735,0.04697788185811502,-0.06523166835886797,-0.030180370048619662,-0.03485957616161822,,0.046886075843251496,-0.013950740074534607,0.06661712574855065,-0.08489954846095138,-0.006733592317535978,0.08789339179643352,0.2160846966764235,-0.06547076187394348
MFGE8,-0.0067708008807208,-0.02151002003935146,-0.006814788298196566,-0.020539043088229954,0.037744492724394146,0.017906398889659145,0.038827766431606195,0.02401813978512031,0.12846021822716683,0.027300897127191793,0.030342552040416918,0.06841522485197014,0.05555735690212144,0.02508599763989643,0.09384326323752339,-0.036639302782356734,-0.022991739234432887
TGFA,0.024801660401594275,0.008216842835820842,-0.00261864845604465,-0.031076146901296814,-0.019530600447148393,0.07112012209467607,0.06576018617062789,0.05290167235185468,0.0005084329592562343,-0.004149090826352861,0.06884313627915249,0.03361017583901658,-0.045234806519801295,0.02786242218918427,-0.01012676038052663,0.058498166919316905,0.014984401062031628
SLIT2,-0.024029514863508655,-0.002818074529246435,0.003568919388494658,-0.007959288014966466,-0.03051378851902703,-0.050685188456587434,0.0004020899808321726,-0.09022165350498032,0.16136848219681357,-0.038141374993052785,0.05706781426920348,0.04504486287369108,0.07324230252862614,0.030231724436188004,-0.09499542782136415,-0.07534169607829173,0.011919606008490733
PLTP,0.0412013793363678,-0.0244301825759342,0.10707446739531283,-0.0037636344894399227,0.004131629846747434,0.06362323912888225,-0.020058473941639506,-0.08354752637992366,0.07467582033097996,-0.005752726758116644,0.018173148191411827,-0.07189859099540315,0.0375802203367244,0.02291997019426758,0.05683246006395724,0.024116245018282894,0.04207699127044076
APOD,-0.0799995908904475,-0.005141253159153725,0.04130389982727784,0.01757840971681822,0.03100848444354004,0.023240484580873935,0.03578244496560557,-0.004415314199383519,-0.010661649162409966,-0.017748838185812164,0.13024512988626225,0.13693190733113522,-0.04259556274485453,0.04016627225643301,0.014257621983648015,-0.11659694574607299,-0.04262072661992987
B2M,0.05152432421559437,0.03857425783972103,0.09673245156843872,-0.04075865913976576,0.037092584342626654,0.10349144328705483,0.04715503616661096,-0.08784845314269403,0.032103280412379795,-0.03431093226444795,-0.06938311985046705,0.0001973235140698391,0.05947674147876246,-0.01106240991835652,0.17283213899770072,-0.15814741487890943,0.08358631891147113
OMG,0.003453593835878184,0.05263130295648895,-0.033756508659682855,0.027991492478539947,0.007794972539800536,-0.022424841958643388,0.004829657930692789,-0.03751412813189467,-0.061488980753382286,0.01860011673803481,0.09166253689570196,0.09068229982025956,-0.05012790505948217,-0.03239863429509014,0.0022789128765165357,0.2123738984178716,-0.08476028691187337
CXCL3,-0.018803030021264138,-0.054501414797170224,0.06226785297673784,0.013694376167382522,-0.014673566597611635,-0.005829526448696684,-0.018831360864218927,-0.02710003056926048,-0.059144474587582645,,-0.04789387045051633,-0.02944667039224057,-0.03443564876592389,0.071485780724402,0.031121767976598998,0.03915025676030134,0.03608659436568483
CXCL10,-0.004166367145197482,0.03842060556813125,0.07614917261630261,-0.009143796403038728,-0.022290221645067245,-0.008359256317053386,0.05222324201464611,-0.017417134850932537,0.029557560613361077,-0.04549262009089499,-0.02956798999763199,0.02246645344908269,-0.02398582675176155,0.043769289803524195,,0.1035615108620132,0.08239647415730793
RSPO3,,0.006837536205698981,-0.02321203485834952,-0.027190302559135206,-0.019749955619748797,-0.02265003231073934,-0.019678409164180444,,,,0.07495637509701272,0.1528837282589518,,0.11215937776099993,-0.046897395836390195,0.04501855712176785,-0.02302972048348269
CORT,-0.003131246758229042,-0.0024793857981051195,-0.04017362684238387,-0.010096889671600691,-0.010108403475776365,-0.03406509553997097,0.07492423332085081,,,,-0.03265001917350988,0.003248384472143969,,0.013910803654691453,-0.04228597035386388,,
NCAN,-0.0038793689277159364,-0.030991117707480385,0.043422941272144494,-0.01913195447353785,-0.005202059002122031,-0.001515416558249957,0.06022594916808004,-0.10098019816183318,-0.027200573957973408,0.08666351200941523,0.1289868298233823,0.09904634697982764,0.01993302441177546,0.012320746163030739,0.07884821846426812,0.1628264547755081,-0.08645434875962843
PRG4,,-0.013622369122367133,0.11534964386409942,0.02601378443566728,,,0.006533178856604551,,,,-0.03136184794766144,-0.00021163405896532314,,0.070220633994876,,0.022489881899050976,0.03005749603545652
ZG16B,,-0.01581042537872353,-0.021709740244785388,-0.01229922787075266,,,,,,0.06528264152785675,,,,,,0.030184625605621934,-0.019962234372901403
TGM2,-0.04347318372775249,-0.0645224873072681,0.025084462988958712,0.047014913607194474,0.004065681347442156,0.014198438294609348,-0.016898663081402355,0.029191135278733894,0.03443870542568953,-0.007350950574513871,0.08027287788253777,-0.03755332035215463,0.10058480724200408,0.09223396848701049,0.08467458203961002,-0.12397538082368119,0.03386665411655389
VEGFC,-0.02334901417103999,-0.0007741859156776721,0.0020568018935050243,-0.02458759879880909,-0.023932187660577576,0.12430011449170063,-0.009357253849377255,-0.0448542571499313,0.016038980511844415,-0.04058592967613259,-0.03684995363359517,0.017348667912174015,-0.03446017016652233,0.07873960187872647,,0.015620647963219231,0.0014896311313641255
WNT6,,-0.0035496411574853473,-0.019773514751618003,0.03471414846615001,,,-0.020492053833017124,,-0.04692523989301624,0.06514687979788003,-0.042744987183313224,0.09946737666912034,,0.08507404946712363,,-0.05056879623443809,0.0031568249736831882
NRG4,,-0.01657904638909011,0.006075763009337167,-0.02362880816202227,-0.022389425996515014,-0.01475383184611094,0.022234779691319678,,,,,,-0.03647255802757807,-0.03701823533600618,,-0.033580923921896315,-0.03101980997969498
PMCH,,0.028719700671582884,,-0.01800266309229852,,,,,,,-0.014512700224008987,-0.027668306382096094,,0.04706339738600518,,-0.004159593760023632,0.039612849977159664
COL9A1,0.02644636398223259,0.08187874240266357,0.04771822041348227,-0.00566348186532387,-0.029055472196828396,0.06151424338617049,0.015273053988512112,-0.002551754898496133,-0.037932454111771416,-0.048239027515127486,0.05455641440583837,0.11784640584859234,0.04232396835104824,0.006026427755409419,,0.11216587445328295,0.03347148716427961
GDF11,-0.014701292902831753,0.013529584114452202,0.06331178535120599,0.008215947297577495,0.0006785474889018349,0.00879222809846777,-0.0076845777767112705,-0.040547086574985035,0.02330278646446875,-0.05922990904656526,0.024590954087328292,0.018899034534987126,0.07072605652876114,0.0396159983651203,0.03437627932500097,0.03007905432006433,0.07363695797396591
RAET1E,,,,,,,,,,,,,,,,0.008842917315839026,
IL24,,,,,,,,,,,0.06215446217695604,0.007531549514070602,,,,,0.068941437880037
SORBS1,0.03659942102532873,0.0035816375872056282,-0.04905957362272106,0.047642393250930996,-0.015085352285731478,0.011592094780998381,0.04738666054172052,0.0034992409869234386,0.0642285963413421,0.0602836526908016,-0.029142803026492907,0.0361931535865686,-0.03341119146741632,0.02363241880466833,0.012569631007420177,0.08883113950788282,-0.11846183455467496
DLL1,-0.012990963612083826,-0.01116838267106793,0.016326576487539355,0.031520053941269055,-0.043099344305373245,0.0010989598887863328,0.07422792735671724,0.00655437033739039,0.06796060033006014,0.0009347294521376144,0.1425365423556247,0.13925887667903328,-0.04810128328875616,-0.018149219462836874,-0.00012338861442883945,0.0381226735194814,0.061758348975177554
TLN1,0.07418049543455363,0.002534230752074387,0.05681412660322002,0.020422241910819684,0.01700553060620734,0.06355577490259108,0.030427031628415903,-0.12290693541826077,0.03838430032284646,0.0169282048556624,-0.04812815865049061,-0.04658726687294975,0.06935919866767634,0.06824310847647601,0.10692703302281567,-0.11168670118175189,0.011358534950344014
COL2A1,-0.02193069419331637,,-0.01855987723466112,,,,-0.019117697412369714,,,,-0.04743772153921163,-0.053601775420956455,,0.03814142932781714,,0.03163809648524605,-0.027947183819405363
SHH,,0.16691632341649065,0.09135772858682392,0.0550184189227384,-0.015748787630211383,,-0.01824579078306406,0.11515340353537275,0.005435327003361491,,0.02433081374906272,-0.013492791421303474,0.037477000661057906,0.029737639262631996,,0.15644093073893742,0.0016974127326733542
