,UKF304
F13A1,-0.06601026080319465
CXCL11,0.02943386640011267
COL5A2,-0.08193798069528799
EFNA5,0.026686551556784278
AREG,-0.033605297692533974
EDIL3,-0.14482530510886243
CD86,-0.07159468550680123
HRAS,0.011603851494089623
COL4A1,-0.015662534313287776
CCL3,-0.0589689351253321
BGN,-0.0665180701027595
RETN,0.02739710194793577
S100A9,-0.11330437303594315
HCRT,-0.039229431173179626
FADD,0.03610205852122692
ACTR2,-0.01347052594386675
BMP2,0.05761706073537057
PDYN,-0.024134336308189057
CD55,-0.018400053696670044
CD6,-0.025595866213934185
IL16,-0.030543545112168863
LAMA5,-0.015596523320565256
RGMB,0.03839567738726659
IL12A,0.05534209381167597
S100A8,-0.08484774902704813
TAC3,0.09573183734998325
MFAP5,-0.024827160669166362
CXCL16,-0.06405869830343112
AGRN,0.04039555275309486
FST,0.0599575468610803
MEGF10,-0.11452095984374765
C1QB,-0.11589328915959951
HLA-B,-0.14245936173667653
PDGFA,-0.013904044544932461
LAMA3,-0.030057193169922794
DKK1,-0.030046757885318392
INHBA,-0.01416800203980443
IL7,-0.022379100740659234
FABP5,-0.09385830365226303
CCL4,-0.08600872267805405
FBN1,-0.006942924495501
TCTN1,-0.0007406804366849925
BMP7,0.007961688913631576
NLGN2,0.11146941195530345
NPNT,0.028094070194459943
KITLG,-0.06524778893375661
MADCAM1,-0.0296153634738397
F12,0.20556410337166225
S100B,-0.10525763027096456
CD99,-0.13457109823729213
PDGFB,0.014222196072158197
CLEC2D,-0.030385870066225555
F8,0.060747366183886986
C3,-0.11867214297479206
DLK2,0.11434377966042565
TSLP,-0.02237911092999744
OSM,-0.07989287974969723
SLPI,-0.0608731426598494
AFDN,0.11998988126518673
ULBP2,0.035060009846091984
TDGF1,-0.02825419638951401
ANGPTL1,0.050534561870149514
LTBP1,0.0034783152107192676
NTN4,0.07668010662114812
APP,0.12904618778825022
RIMS2,0.11291476162087036
WNT7A,-0.030373986428138412
GPI,0.16416029409632177
IL1B,-0.058588290337625894
HAS2,-0.03922942872576082
IL11,-0.022379105911366437
SEMA4B,-0.005326708904222735
FGF12,0.15961924190024826
CP,-0.059250626796700984
NLGN3,-0.014389606619226995
GZMB,0.061955696582222254
PROC,0.00921500807687311
AGT,-0.0191211190405892
PTHLH,-0.03869692857038687
COL1A1,-0.08744855955620551
LAMB2,-0.012395794127000023
DSC2,-0.033821072015151235
WNT5B,0.0053999816212257825
LEFTY1,0.09486105190495295
FGL1,-0.0395813474518317
CXCL5,-0.03300794236815235
S100A1,-0.05665197714517457
NPTX1,0.1209630452794862
TGS1,0.02676515284582609
SST,0.006714471868441615
IL34,0.044115972900239595
DHH,-0.022663013035958992
TF,-0.12215596394012365
IL33,0.008549008686200928
RBP4,0.05698506281661069
CCL19,-0.04444439583311559
CCL20,-0.040622943045867346
NAMPT,-0.10560905428222929
