,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
COL4A4,0.003948763008351684,-0.031346185761482306,-0.024289465073479066,0.1256578594354621,0.020254667447221993,-0.15861955827133864,-0.015528033281579418,-0.02648535006430181,-0.013288416098257464,0.013312216769931733,,,-0.04510826334461138,-0.008915376682085663,0.008640382590702591,-0.016144113151992837,
TAC1,0.3760160502285607,0.21887108634515184,-0.0003804931138367174,0.16888462136674048,0.2660434007810704,0.5005265491492317,0.1433579704003727,0.6197778609794464,0.2939326786824215,0.1622976223525564,0.5182542082884759,,0.4240950766928127,,0.3025276246142957,0.19890500982382195,0.2960255752735614
RARRES2,0.005968968960221721,0.05221025085680836,-0.039311469777073,0.018942075278897318,0.10350929848651937,-0.27258489064964914,-0.00475305819027803,-0.46170106935284116,0.1143476616913737,-0.004669053017514167,-0.0935933849464111,-0.09978722656216427,-0.163340073758581,0.030422783591499344,0.04808368891842956,-0.043587958453104654,0.08938199885226686
FGF7,-0.07086507310420398,,-0.018330681545020277,0.01862014926919038,0.00915619695684014,0.13648073436320382,-0.010294494953060356,-0.07167285455890125,0.029636378816799584,-0.02599063133393706,0.021465328429797932,-0.003133497777782645,-0.003182798330374121,-0.026249086032523718,-0.06608046250767594,-0.010129136001036158,-0.01575449889706959
HBEGF,-0.09233892645350572,0.005650796276799559,0.030975907647466692,0.008741510296889585,0.002203906072429863,-0.12441482976813939,-0.03662593127770812,-0.16378917005416177,-0.18046983885422013,-0.021036416571766255,-0.24614661832059012,-0.01440550441555425,-0.06141742283146914,0.0076773045887079125,-0.09948573277313359,-0.04249459396126348,0.08520364839943267
CSF3,-0.06488298298165458,,,-0.029113024103498187,-0.04011177327133253,-0.04140978143566816,,-0.01837236862523016,,,,-0.03355218931772552,,,-0.025489006661865026,-0.017748942937488577,
PI3,-0.07686356875599287,0.01291971959009521,,-0.050045268536420474,-0.08767099713295737,-0.06609765553498642,,-0.06701164561296193,,,,,,-0.03358925834213233,-0.10142313955713866,-0.034998815796306426,
PCSK1N,0.33241244866867575,0.038246028204222314,0.043403580048030056,0.11462954109441845,-0.048067409145671786,0.03834984478376039,-0.0024248143660843325,0.3039118599097358,-0.05553582150351154,0.052619255228076076,0.5269698913752915,0.042152436882573224,0.3374819065528416,-0.00943337155553571,-0.06352411225523011,0.16947192071617687,0.1822134928621066
NTS,,,,,,-0.12468317566559452,0.0001399991580862873,-0.06904358715746824,-0.04746438454221817,-0.04819090325461817,-0.06236822842625114,,,,-0.05182457386173209,,
SFRP1,0.12981524290047552,0.0039089433875394075,-0.003301871185454521,,0.006338505914343154,0.13454974799842515,0.08000422202271944,-0.05422084999519312,-0.059372802287117145,-0.02384883391649584,-0.15570408395191412,-0.012391525537539548,0.009950321299708935,0.00571520377847564,-0.0862629997606188,0.04047915792577778,-0.029266403955253633
CXCL13,,,0.010190095321063611,-0.021139500233442222,,-0.0013621093412538173,,,,,,0.03898936219459012,,,-0.022275585409345714,0.004387304968602163,
