,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
COL6A3,-0.05092191212694527,0.05053883403687084,0.18990527947094718,0.07257099617510808,0.08579168017322351,0.11738909462897429,0.04633544654545006,0.04387647596989559,-0.03091906463908487,0.0738220220438545,-0.037093224950302144,-0.07635066041925107,0.013928524294182683,0.08522034322543805,0.05862554445481925,-0.015286374968031138,0.07079370537794649,0.15993141514844297,0.1624728214610606,-0.011583607017450552,0.17105824431753078,0.2871729318871783,0.21810983425276662,-0.02082103289558311
RLN2,,,,-0.02428737735409045,-0.021190785875999978,-0.014040493279358284,0.0341573473339294,-0.005784201280100237,-0.02367380747801748,0.048220083175331,0.014316225088700741,,-0.02589085904675717,,-0.034277453780727066,,,-0.04181816595005834,,0.003553330532106281,0.0058369692668950365,0.014766622155333944,0.06523083381017114,
WIF1,,0.17094034395936608,0.04635001763563763,,,0.032014514619919276,0.0022913276263122045,-0.22068417581202812,-0.020463460779129458,0.0031817919948959354,0.3792102799426318,,0.20598118129357096,,,,,,,,-0.02745959738358847,,0.009185738382045458,0.12008064568318096
IL13,,,,,,,,0.01121773970134854,,,,,0.0038327583677609956,,0.30303085221703635,,,,,,,,,
PLAU,-0.037707663035484444,-0.06132463432826456,0.16586276697610264,-0.025050669609718405,0.018840011979659715,0.07107703274147507,-0.07060517001145694,0.28349379091424215,-0.03623366711994548,0.06565947322327088,-0.05588512330892475,0.07036635425759573,-0.10519525929028745,0.11334225288167112,-0.12952076414115377,0.09555062030286399,0.1337525157548892,0.11871431390304085,0.06710105819450606,0.017612078804807245,0.04774969727997746,0.21213765762720488,0.12714418459166857,0.052796422840575175
CXCL12,-0.055615076709479336,0.06359178389583794,0.0745451615517331,0.019597649765274387,-0.031225863368663318,0.11515748350560216,0.014283601925244652,0.045694803538251484,-0.002006666087654022,0.07155266157017807,-0.06277853133552351,0.004524221289455296,0.057898567926053655,0.09892582011235258,0.13442253478343147,-0.02810033169669321,0.04312425074927082,0.10377654934374982,0.058375928470194995,0.10374879389410499,0.08959625854092822,0.28786280180512186,0.08331886573307246,-0.007217114407631198
MMP9,0.047694697429085164,-0.03251133833680104,0.14017677936783396,0.004813619302273859,0.011191836385390917,-0.0666118587672749,0.08855466910313198,0.25573940458439937,-0.022488728685240857,,0.03756718312291697,0.06747455832363636,0.023018816705590327,0.1240848324378395,0.24716880181613457,0.02862151512731816,0.18316518835844758,-0.03766815728811766,-0.02730368352183684,0.04475926574860185,0.07309402395459978,0.19817916014811138,0.11334179156195515,
TNFSF14,-0.04378571131312561,0.005372846884503712,0.009553959360037003,-0.034554618033968115,-0.02734724059732498,-0.0016520559152259904,,0.11205054779981162,0.02761847005305489,0.05147890698689209,-0.031062432323063886,,,0.10301402874270768,-0.06193509860142604,,0.0004129105096458541,-0.013250571281188929,0.069913796394288,0.033674498466197474,0.018389306833522256,0.04879876441141673,-0.023107361543549643,-0.04805739392231736
HBEGF,-0.04000821154979065,0.07143809953808533,0.12301613629098723,0.005716807635287754,0.023240228783114544,-0.021650706476774733,-0.013046587362306556,0.18045021285101912,-0.04713899880887911,0.022841779045364136,-0.06975140240594604,0.09884631930415466,-0.058674764331053904,0.14362715546065047,-0.1045267071150764,0.03471109833873766,-0.0179097874294736,-0.01387123534752519,0.0408224995630742,0.016383170153839593,0.0752004591287675,0.13724630522764023,0.12989180256924826,-0.011784173841040996
NUCB2,0.0272070041781656,-0.021942774169655063,-0.009915077301839945,-0.03311258158079089,-0.02053197478427989,-0.008074240119923182,-0.020775792718807428,0.11632170841259327,-0.04609770280116308,0.0035317740917243773,0.06663172186282458,-0.0016422626541973116,-0.01680892599271824,0.04439948389732499,-0.08141040330850348,0.025509979578081512,-0.04220076609663293,0.0157182956654673,0.014212297892868868,-0.05597401771738194,0.009061866680988424,0.14353794155217087,0.04759419731443158,0.030423979622304587
VCAN,-0.00669097427186564,0.01487645739665852,0.015555812340358985,0.012437324564372462,0.00683566379771605,-0.10637907613347963,-0.010723995904639712,0.22898815344576198,0.00641555428171328,-0.05685637840529872,-0.013897650747985412,0.10639295415278463,-0.15307402327857972,-0.12169500742265188,0.18241887633182444,-0.11621918743976468,-0.0503736305323024,-0.011119524397811307,-0.08945552633182632,-0.07347345924907885,-0.015170368095660294,0.04170021698139852,0.10339253695700876,-0.09855834477478903
VEGFC,0.03587473314070207,-0.015148517839581616,0.02614831379614174,0.0036162992978771248,-0.011046876937524526,-0.05051261253366985,0.07441999841643318,0.01001149142377929,0.013394709721727552,0.019798508914562633,0.028131721277900406,0.04278134209415622,-0.03133579706295518,0.0414122006413765,-0.057127150676843284,0.030264596129767174,0.07151605227696564,0.06599421967730044,0.09792659616727246,0.012662200701582024,0.07889355990889939,0.18609605816757907,0.06792282200465298,
LMAN1,0.016787532907340186,-0.07814560398076821,0.06787955765321367,-0.04314458955309781,-0.02227443703092903,-0.1026744218205624,-0.006404655993497879,0.23287338810690053,-0.07970292480130138,0.033148334096041614,-0.037019950249140156,-0.0027922579763710676,-0.031151314558630527,0.09886712216939866,-0.09600800772716096,0.0021123155692167306,0.05364932381351833,-0.032781658099188316,-0.03756278286562147,0.00862102692148777,0.07342785283545374,0.040300775731512646,0.025239101207759115,0.0009658404414801415
IRAK4,-0.043133563748634515,-0.09478567173080879,0.08270339395471195,0.030433542030986256,-0.050182473459134874,0.026820875637827406,-0.02651408600008847,0.19082786558620105,-0.014452356870272179,0.03009936088110465,-0.046200925783133354,0.08721844219726084,0.008684098126833906,0.013752461811675594,0.14127984011678799,-0.021536052549391574,0.08640407043486648,0.04801266194018966,-0.007168496929323111,0.014483985121880634,0.03729275205740056,0.15605337868515964,0.07719284233216663,0.09335608621380873
MICB,-0.04709813867115543,-0.013018437555106087,0.05754522347641347,0.029932093281781716,0.06718815436148648,0.0046951901255808445,-0.0032668681520006105,0.1624214453828629,0.030053551231020856,0.016485719308974703,-0.007785243434462729,-0.012329087757500098,-0.041345466838877534,0.05082563813187119,0.15014155401049206,0.039154936161796314,0.06863717020460298,-0.0005476148921850927,0.05011898321881843,0.013787841049083841,0.04142630404112542,0.1525176525331402,0.1362946386551382,-0.047318217599091085
COL1A2,-0.026089301911977284,0.0053685517665737975,0.22020931695025778,-0.010977501256725452,0.06558355341117929,0.07816849226043812,0.055006199001910304,0.31847629995327753,-0.00518880824505702,0.07197259609627292,0.0019601279352279726,-0.09469553033388228,-0.05150849467328731,0.1013671496107944,0.18404690749445915,0.0738858028378175,0.1532184297134571,0.17539268125635857,0.1698467848093442,0.09397551814625225,0.19550737107724175,0.23430979287701462,0.18907089821456188,0.11048370932419797
ICOSLG,0.024837897043172727,0.06374477273542611,0.036087108188248035,-0.0005831319948131848,0.027555529693803815,-0.03226643203530345,-0.033721004781918695,0.11803312950658548,-6.31204086174301e-05,-0.007265967179461728,-0.09733977570059732,0.016913650223107268,-0.012478970095273838,0.04558767962285832,0.008985929847359563,0.21483028347865477,0.04263739552832254,0.05516608309636499,0.136214117505107,-0.015372785633327678,0.0014089646256307093,0.13776216215045495,0.024264709703768025,-0.007656893065489995
