,UKF259,UKF260,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFBP4,-0.020426905489092553,0.04257126228965621,0.06885704056994556,-0.0039993849715959625,-7.160471686912244e-05,0.020669843795230455,-0.06778372381918761
RSPO4,-0.026036975571536673,0.04707197155004405,-0.052494602695696266,,,0.045950923326154795,-0.027819912914735734
LEFTY2,0.0386433680602723,0.012850555482484304,,0.007328102728772094,0.025460003627697736,0.03160969627195956,-0.02050928394545493
PF4,0.03743119425297413,,,,-0.014716190065505624,-0.01849341853595508,0.024796334874651087
ANGPTL2,0.020476884735738922,-0.039054105031861214,0.027573968141199594,0.07352685739305619,0.08481592970733223,0.003743843975559935,0.0032867140430913253
LRIG2,0.013631738755445448,-0.004047082742484239,-0.016854206525055922,0.03392424552584194,0.07426406612749288,0.02629047857611624,-0.054587027348495416
ICOSLG,0.008513689782780215,0.025172897414853842,0.13770425235048336,-0.009755212533733189,0.06447524053690949,0.012118168526576479,-0.06143941682340416
WIF1,,-0.08202635201410229,,,,,0.009992853011111883
NPPC,-0.01796248963042554,-0.049670256815989994,-0.03132723555864152,-0.040445480799235836,0.031166174691665,,0.007733022844288315
LYZ,-0.034188782054868486,-0.024884452604877018,-0.058912240499281975,-0.007883383351284664,0.0233505024517484,0.03716379431365962,-0.025233733128440662
EREG,,-0.03699316412909353,,,-0.04676132532930647,-0.027929345738812793,-0.025090097449397594
SPTAN1,-0.05392211468022194,-0.03901243823443495,0.05558100182191596,0.012148660435675347,0.010287821850950953,-0.008260813067306276,-0.0077555158304158265
LIPC,-0.02080902645062502,-0.031330388753539905,-0.04781716346106282,-0.004708640662489935,,0.06770210009665721,0.023555973838162218
COL8A1,0.027522640860743894,0.008141075625575877,-0.07479325456748133,-0.017133546159165493,0.018333321028092854,0.08820618385962992,0.059042433236258546
GSTM2,0.12563894697885547,0.04013078876224118,-0.018398821507643114,0.00197923992215647,0.06696837379696222,0.043805485005787625,0.08431125241906876
SPX,-0.016840825217459585,-0.0316243864449766,,0.013082594506261449,0.025996703113406506,-0.039224909132522225,0.10289471465585229
MFGE8,-0.0022139313984305443,0.015268817084068515,0.0729447334430549,-0.020938599844660184,0.004270399701167669,-0.015537245109249583,0.025177684555231193
TGFA,0.0017769943314356312,0.02970957040502711,0.010134682712808383,0.05580859605269982,0.08911582726552715,0.07547215684068145,-0.03698161740460802
SLIT2,-0.024139225942921633,-0.05224435547312186,-0.055902181793146606,-0.02921671823595926,0.011250823374463285,0.09291657142138393,-0.021479088420433893
PLTP,-0.008983772193933927,0.023953878010142676,0.01023338941422745,-0.06128434719247705,0.0047015961580284165,-0.006084086552937135,0.040151389373747744
APOD,0.0077600087266272945,0.02389500777556805,0.028420476371021193,-0.08039887113695669,0.09467467805601583,-0.0049671814015607284,-0.057698401116656695
B2M,0.05410596514684401,-0.011371476645205648,0.0356052232807768,-0.025243017739627782,0.04323623559149428,0.021741774571965973,-0.10011197878279525
OMG,-0.01335547772976338,-0.08928540558254848,-0.0634174901628966,-0.02980865410595721,0.06231683999661149,0.024016782038006293,-0.006010805092304868
CXCL3,0.017468912985565955,-0.0024514911631654834,,,-0.06753053102671655,0.024189483160657724,0.08163906812331913
CXCL10,0.0033280651540488126,-0.005302695320813897,-0.010651242604679732,-0.05455609184424127,-0.019738677049667617,-0.014336051402063727,0.01346689236412923
RSPO3,-0.013447202594102325,-0.03133036943681833,,,0.03508781337056612,-0.013179545956000006,0.06838331898715334
CORT,0.03145490906286083,-0.038024133733753795,,,-0.015399744936945653,,
NCAN,-0.07294754574357946,-0.08562613735515606,-0.02542374578307836,-0.007844587932923511,0.07673336255547922,-0.04830140713520489,0.03580657672741672
PRG4,-0.01327180905007113,-0.022432432034958132,,,-0.02272326602715909,0.17596041424120767,-0.030332764451689316
ZG16B,-0.015403557541417949,,,-0.037549680935392536,,-0.016433475425962057,0.009191963295408249
TGM2,0.01614614550285621,0.03013201253111094,0.16922134937531463,-0.04509083983140896,-0.029626818441672642,0.014869416223054334,-0.0010620224887460336
VEGFC,-0.011715963156607615,0.06378280826399955,0.00032137803165856063,0.040419779781563414,-0.017461263029132913,0.026394484021560468,0.12956038684980659
WNT6,-0.01835662083239357,-0.030909731671936124,,-0.03570975097802948,0.014779444585181094,-0.019846799038564098,-0.01921068930068881
NRG4,-0.01615239874442929,-0.008413169818302427,0.11977384622623595,,,-0.013179547433112665,0.041300586673346344
PMCH,-0.02238072208402019,,,,-0.021606666023865132,-0.028420111046167262,-0.03699771337487232
COL9A1,-0.016870001593998478,0.02439351289570867,-0.003341410698424003,0.06336905104774074,0.08984778405060673,0.0029556087833838827,0.007093223310759414
GDF11,0.012104221919954288,0.01291934408711367,-0.019957406626050507,-0.0016457789526493321,-0.007969555118839535,0.009266182965504471,0.01426839940440097
RAET1E,,,,,,-0.014457869890914098,
IL24,,,,,-0.014481547896897267,,0.017122678098033965
SORBS1,0.006414637706813192,-0.02332959738610395,0.022236975646162765,-0.011685452600073077,0.034198069876836226,0.021049632820707313,0.02871269253253811
DLL1,0.005581143544652278,-0.0010460670114738491,-0.007160414251887599,0.07125773235353436,0.07600648653286614,0.032147946687968214,-0.055915260370293346
TLN1,-0.005130418687899199,-0.0646882837909624,0.007849642666183737,0.02869213977058925,-0.020227025602363273,0.00972742942296651,0.06514090289823393
COL2A1,,-0.0200355648474076,,,0.04306300123344002,-0.019180693929513517,0.05344097074065431
SHH,-0.0137915886491398,-0.020127153696941565,,,0.02038769253053635,-0.00367747327035358,0.05545815747004967
PON2,0.004107518219265878,-0.06766589355651594,0.17718219018986156,0.06901930699592912,0.07151834467696647,0.05544861622550347,0.07903369939023765
ICAM5,0.005496006257377961,-0.05313420405693653,,,-0.019952834554330067,-0.028420109850433386,0.023512027021527
HPX,0.023841175454673534,-0.005843576029195144,-0.043658672120377655,0.03875120325603052,0.004053804807165574,0.09601591457562066,-0.04610498113619049
SFRP2,0.058747740945356466,,,0.026785120469089697,0.044796010719374925,0.010895230360572569,-0.07163164173035234
CFC1,,,,,,,-0.02556304260627933
CD70,-0.004405194151802044,,-0.026919374024404766,,0.06766883714297679,0.14752174546931826,0.1050840929819589
HP,-0.024916430285330776,-0.013827405282939314,-0.030337800046703924,0.04757124368261925,0.00933374323166173,0.022376960593666676,0.0036329276249887233
CXCL2,0.009103338044355865,-0.016533630001917144,0.12009929673811526,,-0.00313384397313177,-0.0321641390902283,0.02530035310801034
NPPB,0.019101834675067753,,,,-0.042217439220536765,-0.013369183061790241,
CCK,0.015136895908960305,-0.10684411365465803,,0.012521791253864522,0.00028302863280134545,0.07758563182183655,-0.040361323188110865
SEMA6A,-0.031069027602250443,-0.017261044110271094,0.08954785612179336,0.04860167615436297,0.05533375427651231,0.0009267661345041674,0.029462824514738126
IRAK4,0.007542998484213523,-0.009831062561650453,0.04383713060121744,0.10657211097692816,0.016146662905286043,0.03320174654557034,0.024611729212832126
GSTP1,-0.0037008028824792286,0.01570339602936526,0.058135373105873425,0.006133172549335406,0.06582429747071691,-0.016393237238557026,0.12813479572633601
VCAM1,-0.00410588334787559,0.017417628579281447,-0.0187913753744297,0.06626743191108779,0.0051932112778406625,0.04297659941858761,0.1353140211218231
NXPH3,-0.014646137766734,0.06943797757607872,-0.018459242242962186,0.06718799817738451,0.005151290555546287,0.04915323843388306,0.01356834568527782
MTMR4,0.0488962378301368,0.028605462624870726,-0.06495991320849884,-0.006699545284043848,0.03565590680123126,0.04555631625902743,-0.03186512976797628
LAMC2,-0.030826621966918752,,-0.035905099722672335,,-0.01901833583299185,0.1054317593833497,-0.02781992822952294
IL10,0.03612914490626823,0.009993990911779792,-0.07256571842541541,-0.017929314980078517,0.02994615241308931,0.1129050668107736,0.058586213427485115
SEMA4D,0.01508237947054378,-0.05133864178337138,0.06770806834354359,-0.0646601993256796,0.1014383906773209,0.058388617288772184,0.002624811058358503
TRH,0.05800325065619977,-0.01971651483472536,,,0.041710021181286715,-0.014974381586328328,0.004414186893352832
SEMA6D,-0.027176690148629817,0.0011845175325925655,0.054453228592322434,0.021684680044631404,-0.009004862121924218,0.030185440073037167,-0.03050579836197951
CEL,,-0.029356034245392383,-0.025639775674574837,0.017599261987169077,-0.023643047242091587,0.02800073875173312,0.10836286154258692
PDCD1LG2,-0.018266564687134973,-0.02598931897398019,0.07507151701261998,0.11760615928118939,0.009690429724039017,0.029111980932716858,0.07067647459229094
SPINT1,-0.021086569953868567,0.008560833165571739,-0.021593716619312905,-0.06747394399144645,0.06864584931659311,0.04477518563690657,-0.001982160328593715
CTHRC1,-0.008461429421611755,-0.08152019351383598,0.07113086959312015,0.04327389810943307,-0.06285273595536794,0.02339792285253289,-0.018117999512739586
PODXL,-0.058986755152657375,-0.003095772620361382,0.04478363793685758,-0.02421157277723033,0.034229106059549236,-0.03515517951025935,-0.07937154092034514
JAM3,0.013706914352379432,0.022085149223153338,-0.021965243456813558,-0.14934485397395,-0.03252674320998246,0.007323519168943724,-0.04335847251996171
TGFB2,0.046432795708812466,-0.04901295835006688,-0.011138912510976241,0.032456299466610335,0.06570539137288003,0.05956443064471144,0.02320039335797818
COL18A1,-0.006093834148820539,-0.020119973749997317,0.12418702006553967,-0.0218726432005513,-0.0018435222304070493,-0.014403916033970947,-0.056017953804224446
NODAL,0.06117168629340453,-0.015589262368012462,0.06357647120211016,0.11753918993035839,-0.017888122964150842,-0.0004733479401594348,-0.04827593107525845
INHBB,-0.0240064984600699,-0.05619615428738296,-0.03440012101090665,0.037861597864947936,0.0046964439151667686,-0.009459180769006833,0.09538853838876017
LCN1,,,,,-0.01689306958701784,-0.015142909698753863,-0.019513306113474307
ARF4,0.003609803539498256,0.03927464988137323,0.07238389834840676,0.06816497735139472,0.05367507986960308,0.022506220445706982,0.02902737783721334
CXCL14,0.0005299070380459703,-0.031998256471577446,-0.06254743406118983,0.061430757469575305,-0.011120456440991484,0.05680665153977303,0.10311355296367297
LIF,0.03774029061603797,0.08074361512300897,-0.0806798344449961,0.005632768831510272,-0.031460562746496445,-0.006370821013660739,-0.04524695274631734
IL17B,,,0.03970533212969487,,0.04801872398831953,-0.025578493312586402,0.13313219440462767
MMP1,,-0.01971651053362452,,,0.07377878457236166,-0.021058510476163136,0.019927974887757147
MATN1,,,-0.055902291983182834,,-0.029879154285793977,-0.01821204784442088,0.03129632631596143
ADAM28,-0.005603159014917123,0.011712509797761715,0.013539532140424896,0.023461311053564686,0.005930028326116006,0.04198660245085683,-0.033589980529867204
TCN2,0.008656122851134164,-0.0458473830479536,0.0004706591742618903,-0.019401385288045293,0.04748155825323993,0.0659317788956876,0.04356219759484195
THPO,-0.005860017611588548,,-0.0535770350934946,-0.0033199010637631867,,0.044299954313896404,-0.030130302193641875
CUBN,0.008729543160364879,-0.002566862738646464,0.011453591993398418,0.09025793893830171,0.06635308699623675,0.041526763722224115,0.05038284904640134
TIMP3,0.0792797099262571,0.013328201602914196,-0.04690271875611421,0.026495334776121298,0.02674147359078494,0.02016217318417567,-0.03179657473269889
PIGF,0.055448515389293636,-0.04906706959091426,-0.026841847891816106,0.11044741490873834,0.04834223212973312,0.02844226042692009,0.06337191803947395
CRH,-0.015556039121091285,-0.02003556852361159,,,-0.028649465523898396,0.03375959179232953,0.08375882403421846
BDNF,0.03611137926597716,-0.007859230268413864,,,-0.006003748389883722,0.07569025658650179,-0.017472812382624044
CCL5,0.003973307915076675,0.010179662925287209,-0.08578555738680883,0.09406857093640456,0.09589325023535651,0.05597344244280476,-0.07468428532686595
GAD1,0.012767466153012538,-0.023190645971876606,-0.0069287891518986615,0.11726308047958478,0.03181387476945443,0.03455114244678962,0.001888120446031552
COL14A1,0.04498918809675993,-0.05825933099420669,0.036431177007886804,-0.053992414844090036,0.03332042746496571,0.06687855978509478,0.08148382023152477
HLA-A,-7.74138954283953e-05,0.08918122129754436,0.06597287391233468,-0.07544130371026608,-0.07244007246297618,-0.014311534286325745,-0.1216372476996147
CD5L,,,,0.09477433491682759,,,
FGF18,0.010586224372628758,-0.027336733260811708,,,0.12799370405003097,0.09452942211816182,0.010604487247465154
ADM,0.03887806668247648,0.0787504656831232,-0.05769587233992804,0.023656281302590204,-0.10044652609507375,0.027444771779038375,0.02105513751236407
CCL15,,,,,,-0.01298728102927197,
GNAI2,-0.046601276938785234,0.01906996065407114,0.04509877774341224,0.052674445855093135,-0.026218388094968077,0.003137054546626324,0.09386533194427164
HDC,,,-0.0344961794652358,,,-0.005472156783629933,-0.02010574609637794
COL11A1,0.05639627883407419,-0.07037624011015038,,0.06363607689833586,-0.03783649017769813,0.06584446085946755,0.027585340119773996
NUCB2,-0.02047120234833797,0.04565928794692095,-0.028620366579088913,-0.008781806893894932,-0.0024331042856518,-0.004775098583244942,-0.0199624362082411
FGF16,,,,,,,0.00550303320019144
CXCL1,-0.033366739540272104,-0.014943239700531508,0.04030102303074871,,-0.02121130005870772,0.04869529000105432,0.07870000601898583
VCAN,0.00035198240465689434,-0.008566879776479866,-0.10239902224201686,0.038309728049427394,0.023656512857039128,-0.009734062207476002,0.10976824589568412
MMP7,0.04864728640408128,,,,-0.057492192204445645,0.0224494987386403,0.014378532376771835
PTPN6,-0.05251099172691509,0.025631221320378064,-0.07622478258848607,0.03771929355992238,0.04584566307876486,0.0412432348596947,-0.028567424184999267
PTGS2,0.05477118226367205,0.06332554841192004,0.02242757815915696,0.06338714835275938,-0.06148619156655045,0.09785595332277583,0.02423755369762477
XCL1,-0.013447204857293752,0.013701282047997606,,,,,-0.035781818294767065
CD58,0.052212465466903654,0.016618632867188413,0.02565447760476262,0.0041412223676684954,0.004004687484995575,0.009847036734744404,0.004101842276470746
TNFSF14,-0.005982215594195152,-0.03241246666688063,,-0.03905991778592833,-0.02874892876500356,0.010487150357709862,0.016899007674696057
CNTN4,-0.024167046417723152,-0.04147779036775517,,0.022108088857107085,-0.02021965511140785,-0.022098666321292884,0.016905390663579906
NTF4,-0.017010125259917776,,,,,,
INSL3,-0.012359154325892055,,,,0.007137069097962693,0.005701225328372898,
BTLA,-0.019617733917289694,-0.021856623013847807,,0.09949252790318557,,0.031845511561899666,
MFNG,-0.06042447882695891,-0.01729540747836549,-0.016174568952761426,0.030127189511918263,0.002680645426484309,-0.0001367350629068198,0.03340729838657486
ICAM1,-0.010950457344651849,0.07984350505050607,0.013901901292706149,-0.04432533608107141,-0.03660991751210571,0.03437428713348254,0.018587628199542874
PROS1,-0.04127360956590884,0.004835764570013525,0.04356348018159088,0.07748848468778069,-0.05534224352603681,0.026169630920576007,0.02215056486587325
CLCF1,0.07570662955939284,0.012952884273080478,-0.0848465410565885,-0.031189074233599685,0.015384083769735657,0.0813460880969509,0.02288543678912454
PSAP,-0.018838376116535594,0.0795754054577812,0.02915894429043959,-0.16178898385319576,-0.031915748114481335,0.07253967117253819,-0.06006592369607577
EFEMP1,-0.021243463707559973,0.04304404383446813,-0.03676633870041219,-0.012268981890722848,-0.009759842546545798,0.09820253663553359,0.03794871255001361
C1QTNF1,-0.019268726247754067,0.013269548049877216,-0.0008007969568207797,-0.00339651371745132,-0.046050477332436286,-0.01995651766928867,-0.00753736137125305
ALB,-0.021941914016822012,-0.04378437894511247,0.2485569278806016,0.021318303530608193,0.042972780745972564,-0.020107787247577957,-0.02846612698452332
EFNA3,0.0659959730234716,-0.02527685696609022,-0.03909170250799216,0.06553865723614657,0.0561317379256273,-0.03368654766290904,-0.021332791897240855
DRAXIN,0.02808282043895434,0.002240767060017636,-0.05987922235173556,0.0846974230893209,-0.07242275423114072,0.061460293847064675,-0.041815935397261854
RAET1L,,,,,-0.01689305851600741,,
NPTX2,-0.011749979498797445,-0.0377028942561262,,0.12225097987011849,0.049206141615387895,0.08167607179916998,-0.031080614543965837
FGF11,-0.04206906247010225,-0.02200088190947697,-0.10477357576499668,0.04489100293317189,-0.023690764812692708,0.053207771724931775,0.048480501692997696
CD59,-0.017872996726139637,-0.056429402650797184,0.06733914708934961,0.00215492230630245,0.028398718794842955,-0.0033932375862867387,-0.06552631864296232
COL9A2,0.026055250882092967,0.035341531145006204,0.02284126037965297,-0.0013513378508444526,0.02749223864793746,0.0028944143521470937,-0.07299575665680803
DLL3,-0.0274272391711325,-0.0037791515026317367,0.07983280116506272,0.07596614731314286,0.09617421236540782,-0.010069357966713186,-0.05684437415087513
FGF5,,,,,,0.0007959790643960491,-0.018422119714151548
LIN7C,-0.0023165520523959777,-0.04990202726999097,-0.0579470548311748,-0.009192920633841545,0.005201324027966322,0.01241713925688905,-0.06649197099464338
GDF7,-0.00854494716523691,,,0.023588014826125013,-0.014481552484944862,0.07364658459777776,-0.030734313160381
PSPN,0.04489827884830029,-0.03060748148416479,0.05067875149371493,0.009097561858283185,0.050081368456861945,-0.021979125989795775,0.02890975485374871
ANGPT1,0.007210278221362093,-0.0669873376868544,-0.0721700745748451,-0.032343119451767516,0.024086125049271018,0.025250885579045788,-0.0195702268358877
PNOC,0.05811396784012366,-0.07988626662805819,,,0.011134764045847461,0.027555119712431415,0.007123363425250418
L1CAM,0.0015361986363244332,-0.01174603760846138,-0.0985839516705177,-0.03454298069669039,-0.02732739497438362,-0.02233675170456091,-0.05289057772546246
APOA1,-0.019247340851445072,0.008688667918575671,0.13473664745108216,0.02990721178164199,0.09390790957086188,0.018811456987551337,-0.04326196429311821
PSEN1,-0.05179462273514402,-0.009058963548912367,-0.002072547354324833,-0.05729229898016909,-0.03407691899387173,0.01808971939911967,0.05730728301812196
CALM2,-0.015798653431559177,-0.09218427978852002,-0.014581989664114621,-0.01743755985515346,0.09130764388957012,-0.008585045097551284,-0.02412039105905592
CLEC2B,0.004144624377189058,0.08362638495450413,-0.06203143040077949,0.016197405342067976,-0.01767939390435471,0.051914701907266665,-0.004490904699966813
NTNG1,0.027744101127396094,-0.03874160655423883,-0.04948979518943116,-0.02564511468115907,0.005110693176770732,0.045643801648540136,0.05524301864378978
LRIG1,-0.01931948450621599,-0.034299982723268535,-0.05144679940526649,0.01008592469443423,0.06576289931366724,0.0343422272117404,0.12620047112703373
CPAMD8,0.024877305171367665,0.0025281434732993806,-0.0022213488589158006,0.06253833481817597,-0.016268854679150766,0.02643981812490034,-0.021792931556355054
GHRL,-0.014239584615507193,-0.036156682702808376,0.007526426392813631,0.04903833948013616,,-0.025578490100536713,-0.01921069592333961
NPY,0.017749791256824753,-0.05746606337988347,,0.036533076691166844,-0.003927144790611924,0.03415632734552911,-0.0701485005963562
MMP2,-4.6050887772489604e-05,-0.02511115635494364,0.06674840347851795,0.042716907591585355,-0.005185290653052938,0.012155993866130988,-0.0761405874521202
LHB,-0.012731761265777441,,,,,,
PPY,-0.02216228310499222,,,,-0.025168840199280364,0.003778497796475037,-0.024770419091714325
ALKAL2,-0.012546788632724223,,,0.14933848393752802,-0.04140566545090334,0.010252062407957214,0.05434048044201299
CSF1,0.041860499415019924,0.04406015374745823,0.03998360248360583,0.05689361180906083,0.02556465548490276,0.045555741276732176,0.07451596078181777
SEMA4C,-0.006213157804244996,-0.003494143271133003,0.05275986066979378,0.0062340129202929214,0.00466213590396149,0.0448040704807123,0.02540617902404634
BMP8A,,,,,,-0.0159607811061696,
ICAM2,-0.017849822596501322,-0.04606602348366274,0.06555318615668261,-0.025086139174570036,0.12157704745243485,0.0032693041764073395,-0.014677235472717851
SYTL3,0.02239995287813525,0.13094874251681365,-0.07087793399579459,-0.005337769927380538,-0.0022500536959104236,0.07339464904450199,-0.027406174905835003
IL1A,0.006379915463699887,-0.013423164134749992,0.011476175986851182,0.04908199189338551,-0.02684429062751889,0.006572215038742454,-0.034531829606840383
HLA-G,-0.01344720364289821,,0.031034930573197946,,0.011714788785582467,,
PGF,0.009388372801096664,0.14071745944107464,0.0008514475676321412,0.027885385191083148,0.012858324730967948,-0.015092184700009571,-0.032755733083803994
LGALS8,-0.015200658918763271,0.023851321513704594,0.016494985677132437,0.049007867865921345,-0.009892394346724868,0.033874081966968374,0.0034325498663153593
DKK3,-0.055159439044353505,-0.030701349578357236,-0.050441554571472494,-0.07127698421732793,0.030905544945013953,0.016899664793409694,-0.04844531676720789
COL16A1,0.0030418781277418744,-0.002713094820920531,-0.06128706254860136,0.0037912362577051917,0.029571749072177498,0.009784844208544294,0.02818952980198881
TPH1,-0.024470437917796503,0.015717581702548798,0.0945204206422588,,-0.04410721519997111,-0.0176933801893017,0.02615100711380792
TNC,0.060370301409992555,0.04407488739178238,-0.0252512533198447,0.07823967629696763,-0.010038339163075782,0.05623537820879068,0.0835764355286674
TNFSF9,0.029464126580299555,-0.03361751707122173,-0.054361643006388224,-0.006982155483811732,-0.03638074337035075,0.08781484349127924,0.04998368968798199
C4A,-0.015094241775592973,,,,,0.055729391541024416,
CNTN2,0.025415427643633158,-0.05528367167222541,0.1157441622980667,-0.10800645121191252,0.0934701602791151,0.06403150557738449,-0.00063424450854349
F7,,,,,,,-0.026937294938838775
