,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,,0.06352347592856505,-0.01611440890148238,,-0.020713306062354,-0.016207974107219532,,0.01274205553441204,-0.005156741887552554,,,,,-0.034860117426553816,-0.030919777511410115,-0.018763784976368714,-0.020263574076069827,-0.016034978676094557,-0.019532851375216456,
PDAP1,-0.06614123366065341,-0.0847376072413528,0.009196513609035801,0.008416164947798515,-0.056798787191049735,-0.011715951970612875,0.08310390865275917,0.07162993917868488,0.03886515595654718,-0.05697187088028342,-0.007462213262576627,-0.04508242975106843,0.05608926362762516,-0.01389510338637397,-0.03616138778069974,-0.03964672394723344,0.02752548554644964,-0.011459733820523848,-0.017139680516474257,0.06913869653310087
QDPR,0.018022709734865135,0.006330220923881757,-0.05963008495073404,0.004829492705680554,0.01278589932267876,0.007654539897673594,-0.047518543991803254,-0.05062121522948194,0.011966986775765364,-0.00845516552835974,0.01635055257230532,-0.05203039131468838,0.0036213537175822427,-0.013895332915854094,-0.07156869919902063,-0.06427297984595534,0.07726419600019031,-0.0288354403460987,0.05294275969133801,-0.08986374731814943
POMC,0.07428097146787231,0.03523114162448379,-0.028632733683279663,,-0.0029876524238145363,0.07965243595741354,0.005323432855306683,0.04364700214616034,-0.005482535218979778,-0.012862230801568402,-0.02931141851474243,0.0028715884823059326,-0.04186237976566969,0.1544027471677251,-0.06292563617074412,0.05093479036504591,0.02900462826757592,0.003564954703132765,-0.04910759274929939,0.07149594477793385
CCL18,-0.019250812779588733,-0.029457561616477338,,,,,,,,,-0.04263411876972892,,,,-0.02192263062549804,0.02737880760617216,-0.017065547100690248,-0.02180452873570765,,
CCL17,,,,,0.043739299930302386,,,,0.011008471760805674,0.04485381159743912,,-0.01913587547332758,,,,-0.01331199724801209,-0.0005689662457441186,,-0.0014624487568398973,
VEGFD,0.0499413681238437,0.01655156931331812,0.019641935521502323,,-0.016581915438410987,-0.015506871960140032,,-0.0294071350972058,0.07127333919329282,-0.015633365399302105,0.043755113872816345,0.012188786420582059,,0.03882286784200756,,,0.058873415888895386,,,
TNFSF13,,-0.022229628342347117,,,0.02344884567247935,,0.09333004872441236,,,,,,,,,-0.025543723226272522,-0.031795642723661095,-0.01800620634833061,0.0018872154128791938,-0.015387296402566777
WNT5A,-0.02191722462531375,0.02508154670031647,-0.021463992749260724,0.05185261010575795,-0.015491828422618573,-0.04660254282115863,0.08324807991733722,0.061282564140851516,0.03373597117005113,-0.024719002711193934,-0.06806604180362434,0.002206792788717034,0.08403665432892445,0.009872115629982199,0.0532157347635373,0.007027249202377143,0.004358755084415111,-0.05067589258794699,-0.0316859477750064,0.10939760688516784
CXCL8,0.09301206426955069,0.034112345665077,-0.021611359862034007,-0.013931021258442535,0.08356529522370627,0.057913094914154126,-0.019266507953140753,0.02125037455923029,0.05908811780835479,0.023949614408075862,-0.0012990179770348798,0.057867580834934415,,0.02130997746046814,-0.002407658628497777,-0.031055782965795076,-0.020192167759588632,-0.030649603834286266,-0.009446900395277695,0.12230068105575705
GRN,-0.03867691546879074,0.03155333540670905,0.04383711140226239,-0.0012629157823455547,-0.0027982171605226737,-0.03351783118553252,0.042813321759824836,0.04591760009666028,0.04511080466297892,-0.03503027575494341,0.03623905217537574,-0.01557166744781203,0.029852390195778608,0.03331604162767638,0.10428952978196546,0.03115352733565351,0.004086018969962778,0.01672005142366345,-0.03394156394286655,0.002250709699907905
MIA,0.03696143312115851,0.027093282182593836,0.026152579005932715,-0.04123313635179607,-0.0155078029258867,0.02487975988169608,-0.009670699077745168,0.030922686106423885,-0.03411563663821729,-0.017779660785609074,,-0.028087344911726982,0.0011521759343942057,0.05366084542443115,-0.015696778766667186,-0.01758700757916779,0.012915446349857607,0.08969527258084498,0.0760586273402353,0.017412693117118485
COL4A4,-4.9137001790724416e-05,-0.015334398939741478,0.013033694282000753,-0.03919866771415173,0.025668075808433454,-0.04715977663073337,-0.012887217552990089,-0.017297856027914896,-0.029852757386565218,0.04166100139927191,,0.021954768568669878,,0.015391985058528613,-0.027717054908287925,-0.035174061903109836,-0.019992299017283836,-0.03231602423392157,-0.00911994803281879,0.08243863768291235
TAC1,0.07367816687561356,-0.00203567010859239,0.02635216855431245,-0.03545891862568209,0.027078883117212484,0.004631219534536125,-0.04614186231883284,-0.01833110864538333,-0.007004086517067168,0.03540372016078451,-0.016486782913772303,-0.0007909124802005181,,,,,,0.02516280306220283,-0.02805455032562501,-0.03149109585004424
RARRES2,-0.02867437316782374,0.0037197683237266735,0.04335943307300775,-0.0035860582389771137,0.04725801046857873,0.02305531701647552,0.06259559601971404,0.06661470536416333,0.05011777742196557,0.004915800781388288,0.03147469017677408,0.06087240156519858,0.01893384802566182,0.003815788756297131,-0.018756450166585364,-0.06252721433094961,0.062366665187027256,0.03355804980262578,0.06536294752624938,0.14875348350170317
FGF7,0.010806479225046921,,0.01192640649505516,0.0474842668665636,0.07298489993102987,0.020844819951803806,-0.005740119558688086,-0.016145751598215404,-0.013820492917083293,-0.004478018960598914,0.023672149446529518,0.10144642956393661,-0.08112107387449552,0.037103841204304544,0.08164804408516985,0.13110718940976016,0.0007824181298845876,0.04351352758052435,0.03602570492290724,0.007989859518588454
EFNA2,,,,,,,,,,,,,,,,,-0.019259171058572586,,,
HBEGF,0.019530886766309433,0.048962183963934834,-0.01716937833424712,0.0396991516544167,-0.026376658512403953,0.07841300163356603,0.08750755176381725,0.023632908954066643,0.035882297590955216,-0.0257223916246968,0.011916751201810873,0.026903038343735267,0.03923283759357263,0.08028987233292369,0.013446512682234967,0.03141451982760227,0.014042359381997157,0.027630750136966205,-0.031659009115204896,0.10777055015573656
CSF3,0.11038358317504436,,,-0.027437577357901595,0.006656770509550702,0.09597343901420426,,-0.018300798735149275,,,,,,,,-0.003833376736948199,-0.030409293171796182,0.009508325165383566,0.04983985785103363,0.16295859262720003
PI3,0.02870877446307677,0.04780778749560607,,0.04182689525439295,0.024850503883788243,0.034521328775316114,,-0.020606940920176484,,,,,,,,-0.03224756658648545,0.008394369753829107,0.04990854617689141,-0.048816562313864074,0.07181103801890648
PCSK1N,-0.0105701173938398,-0.03539203129780035,-0.03470033360788561,-0.0005978957829947445,-0.03249752011851417,-0.0034588396429274405,-0.0034124493747036085,-0.027073192094517876,-0.0245738035991722,0.02337344949010872,0.039210070622299927,-0.042600940697836646,0.05533996980330584,0.042593212762502844,0.017696137425705413,0.004705616461257957,-0.02098966216511862,-0.03570106780742299,0.08319155307449688,-0.12525980628813368
NTS,,,,,,0.07450421290011425,-0.015732364550984302,-0.02249388307355517,-0.03410330515341599,0.042274541976894,-0.02682298596290447,,,,,0.05791278537260144,-0.023463645248630535,-0.022037637556108693,-0.033272768474292815,
SFRP1,0.02191633194806097,0.03663773407595691,0.03204288841290967,,0.006937874980282627,-0.017690655475622676,0.006740406036738494,0.044267527299321194,-0.007552362358912712,-0.007607765747943366,0.060808573351084146,0.06692524781443648,-0.05686089623002177,-0.008075407468490642,0.033630437416802834,-0.024999070426489915,0.06384299698205036,0.04263877362334189,-0.032499593629575295,0.014516513598374954
CXCL13,,,-0.03896602323073464,-0.0199229276526019,,0.024015295295951505,,,,,,,,,,-0.029901475160886933,-0.04948230066237881,0.03965372324131059,,0.02475057334498514
MICA,-0.017893791643538,0.07399574483351816,-0.013407150052794435,0.00976626196810626,0.03591377085012221,-0.007145334529245083,0.07852486747898645,0.04395961208657621,0.027757814207951575,0.009207052271445849,0.06880365341273018,0.01163598963268661,-0.06319848835434252,-0.013167283276642768,0.027209801931467145,-0.002277779331903451,0.03212783905012183,0.0013003015684712555,0.03093322280249045,0.05446750860892926
TG,0.035122483373790696,0.04078319645000856,0.007559756064812227,,0.03096441288651459,0.027691786992389004,0.023719070660316685,-0.022087426737914688,-0.028807118850912094,-0.01542414740138224,,0.07847393167343573,0.002476714173708979,0.06090940330655515,-0.035695168122354244,-0.01768831615255143,0.05993115517473562,0.059820023451096896,0.07040585714951454,0.06103611557890799
ADA,-0.06899417575804503,0.001575446751044891,0.05801821428380805,-0.04291589118431764,0.0860156965342262,-0.027210265365984806,-0.03547596840304821,0.047564738821697976,-0.052285106198529926,-0.02505005579060438,0.03397038365439789,-0.05341558079697205,-0.04666000450099027,-0.047442208520272366,0.053577398203609426,-0.018877228603406706,0.03273909726527079,0.03465709699651486,0.024126595565077267,0.026220104722451686
LAMC3,0.057553034031499195,0.046828114383749724,-0.021908286822927746,-0.007255007490852317,0.00777039597351653,-0.0005950664168750452,0.014169856929448653,0.06418047433204446,-0.06098598447321684,0.018127814388999543,0.009733799981696305,-0.02870510034530571,0.00875372541604804,-0.06013548062291658,0.07715802145106906,0.06142406549757137,0.0012389265008619491,-0.032383562684769635,0.0006123428271144498,0.0540469938365061
CCL7,,0.05369081944177105,,,0.024218829464627573,-0.023243751627453308,,,,,,,,,,-0.019951615451126243,,,-0.023544798563774477,0.0723396466386948
NGF,-0.04077438725813986,0.14155142711119392,,,-0.03929739835704624,-0.024810285621802222,0.0035311753995514255,,,,-0.00731226804278672,,,0.017532637991338956,-0.03257841319826118,-0.023042518598467017,-0.01900029539819558,-0.039465942925783835,-0.02526113884164745,-0.005793888030663589
TNFSF15,0.009632476765924594,,,,0.03214731139598336,0.004777289201479191,0.06826203044784075,,,,,,-0.014887893392288546,-0.05332725741795232,-0.03290144287462849,0.06890653610232618,,-0.014275359690422184,0.03720232104819556,0.002196794873435071
HMGB1,-0.0305336653223853,-0.05881294831324861,0.05516964969073985,0.02255887372195589,-0.024180417087888328,-0.05914165102323419,0.07826631308764807,-0.002755447586034804,-0.03836627938397311,0.019774438938443988,-0.017777439105614103,-0.02896537199072823,0.03358477380309286,-0.06180032081227059,-0.10939467989764795,0.04895478249242486,0.006444445375139879,0.00619942962581452,-0.02405339574114582,-0.018176286854276944
ITGB3BP,0.037853981622267996,0.015026223412363789,-0.021250620923045253,-0.006668145203838417,0.042745846985947175,0.006046507403021397,0.05368758401978977,0.07012729422944253,-0.02434287717500687,0.007921893226291169,-0.007041419458208056,0.05339823131914865,0.017134840342518002,0.009612128335564333,0.06227205660727012,0.01756523061310767,0.01708909040576057,0.029997546445101296,0.0444791153405343,0.0167073344936387
AANAT,0.07415212405965806,0.03706930832648067,,,-0.024318091670919965,-0.015506874173833394,,0.07526728522581547,0.03984033048870922,0.013708619347876618,-0.0041972068163886695,-0.02566894658120969,,,-0.022833338752363198,-0.017503196396759672,-0.025917627982437984,,0.11422710602614532,-0.03411483411474154
RELN,-0.03747805424710723,-0.013507183893598144,-0.03701541751649485,0.003851831430900991,0.048825872436950635,-0.0386327483074003,-0.03738275386689982,0.005119518183493178,0.01589328682256579,0.03942337957969199,0.0004885884757750383,-0.028417739443045792,,-0.07079538197171449,,,,-0.017243087452067814,,0.012763249600306285
IL15,0.001773528896374468,0.008251670378944424,-0.027915997775849664,,-0.0038995852184659186,-0.052482204195329146,-0.014971929178733662,0.044005813547577724,-0.029154342842630514,0.047624947213637366,0.014399417640914507,0.05935161164457227,0.0035443751471775833,-0.05413357367048928,0.0002076714416504983,-0.03206657293429486,0.005618376311993971,-0.034821995825309565,0.04772967562246581,-0.023363122850484766
UTS2,,,,,,,,0.08636233001416115,,,,,-0.05284830532593723,,,-0.01490525274857269,,,,
BSG,-0.07201167209411442,-0.05855853805330339,0.04552928730949091,0.024368168181054292,0.035411009223909364,-0.03676366167085859,0.041669800206180156,0.05444332895089067,-0.06756394942353527,0.0129717524815695,0.001241122508345653,0.05462344809911993,0.005669395984558213,-0.02969800275772541,0.06426543391810977,-0.051694756306465604,0.026652271113032987,0.042570460407364535,0.04811198951998396,0.06635463506067012
ADAMTS3,-0.026536088919758862,0.013026954021302628,-0.021083097299287368,,0.03740277674223906,-0.015751567155298574,-0.024115446716347497,0.0608950466898827,-0.06402057677219834,0.06302617408672201,0.09290476127857843,-0.012795402751376653,-0.06504274837920807,,-0.027340598625713825,-0.03271744196303299,0.07751222370612917,-0.010643348473790927,0.07937527206962149,-0.007195480875834526
CD34,0.02881458568919609,0.01967559084124125,0.03549994428042719,-0.02103732033922599,0.025202460341392476,0.09874320317047995,0.03121464748492356,0.02666901275244527,-0.026136705685725053,0.0012002031282522248,0.05329082338180118,-0.03547105212961186,0.11505034184425678,-0.0016573238316574385,0.034685235046311345,0.08385697456672941,-0.01447044736231785,-0.012408509872509762,0.008336706860275806,0.026411661110470594
CCL23,,,,,,,,0.06211869251788269,,,,,-0.01105647563191214,,,,,,,
PLAT,-0.08985055198761156,0.006088140037219375,0.012009437744943318,0.03953576876090448,-0.007598126794796383,-0.03375168487616971,0.061054411083242596,0.03274914495892392,-0.044091766295830184,0.07943969502858211,0.049037117718903,-0.06312274613436154,-0.05197577802783449,-0.08086944724041241,0.044728640021987245,0.03579054432315931,-0.01681981632447269,0.0016425499601622152,0.005787190350319832,-0.025888147795920708
NTF3,,,,,,,,,,0.012549353761597841,,,,,,-0.012585225821553992,-0.05581673829223271,-0.03688586179144052,,
LTA,,,-0.01611441055510937,,0.008171500734729222,,,,-0.02495057301986442,,,-0.023806764493378055,,,,,,,-0.033526961562430256,
CKLF,0.05577698286633252,-0.051171339977701756,0.026245566711871112,-0.032952710683394185,-0.02751718533215751,0.008520927191735429,0.09557081704571513,0.05038321664880005,-0.0077188443302534295,-0.0008720284063642701,0.0180681245893688,0.03723801754587611,0.11397106040307073,0.028470899681800336,0.12189619034720456,0.023489779989438426,0.024468726436328078,-0.07551273788618199,0.09101574476694109,0.010427809291600238
CD24,-0.0536594057004001,0.04024079805131137,0.028068604781467426,0.04729998564656281,0.016957218527262716,-0.00936398796862775,0.060919032192970526,-0.01390736867363512,0.08242019337913341,-0.07035407759177267,-0.09210162934019894,-0.012107205627096234,0.017621753725141652,0.09411525368437432,0.04213491393635124,0.043500664883533276,0.030366561402216247,-0.06348122408105472,0.05727456022438801,0.0975304322711819
HSP90AA1,0.02042924099349572,-0.03856539053752105,-0.06644471948890585,-0.006014379043688801,-0.014056505624358315,0.032961140648154676,-0.05471413263523752,-0.06257295465536637,0.09080728046965844,0.02157409717294894,0.007470648087710285,0.0060892752221360525,-0.0622220005329585,-0.003470999425789706,-0.10574765885802498,-0.03744850458426377,-0.031526402640498156,-0.0022285596459630424,-0.12476502435197,0.002317479350570122
BMP4,-0.05032750335128617,0.011004332671516197,-0.017082219815254415,-0.05533393975105467,-0.019183773943119934,-0.03009359429063873,0.056094362772829,0.05916373699434701,-0.02863539192462579,0.027504551959137043,-0.04022256841403894,-0.02028582221635111,-0.017186581833278095,0.005521715224750256,-0.001827254896815892,0.0423040102009029,-0.012588281346596024,0.014505953927218077,0.01810279372595617,0.05942538925106874
SCGB3A1,,-0.018737495823329165,,-0.029328056882653837,,-0.018466772823584967,0.05662284043328724,,,-0.014997318604191316,0.09904303705259954,0.06753247650656466,-0.023323250162214343,-0.05085008043470503,,0.026211483086666792,-0.02608003163956878,0.008779018544539573,0.03834440031026071,0.0011373744815297755
IGFBP4,0.03991703695192383,0.020053716806798762,0.041760795756457414,-0.0045744499303873466,0.038712068323059005,0.029184957597949986,0.08656697628656151,0.013569420501893144,0.029717425685020237,0.024347354751735155,0.0841203885736308,0.022703137744700806,-0.0304296007458394,0.04359079812136675,0.07881723071390076,0.010193300387637189,-0.040449198631481956,0.058818052368690726,-0.013360851057559436,-0.01767857312886936
RSPO4,-0.04981009437992249,,0.011616426842732456,,-0.027196882486080924,0.04721928671676531,,,-0.009542449672236846,-0.014997316410494208,,-0.013107659549182376,,0.09138435215979891,,,,-0.01996492709548224,0.02513126110050091,-0.006678188510753597
LEFTY2,0.032970757173727085,0.03441457586175205,-0.016312320034372354,-0.06818862352460307,0.009808546117633987,-0.03308209143199872,-0.04291604909951716,0.06035911307641458,-0.06359583142384863,-0.01644474086531667,0.05065205866332764,0.05385462876944482,-0.061105140814648434,,0.16255892812479208,0.008238901131968387,-0.02214458647689459,-0.02715098185000424,0.03237294596040023,-0.02195377701216418
PF4,,-0.01943714410866475,-0.014658246577338515,,-0.020940314365816497,,,,,,,,,,,,-0.01765236364971005,,0.01625802985521603,-0.004420361717242744
ANGPTL2,-0.011267228696090962,0.020563604255339117,0.05426610489530044,0.03608669445308367,0.03776858666794097,-0.0337223257520581,0.09698612936291082,0.016978022074641826,-0.016574711968719354,2.47363522631611e-05,-0.048425549088802484,-0.0021221694559331746,-0.09424265369000367,0.07223101042069217,0.0278007131376453,0.01871633621709103,0.03585642779122656,0.005523807445449688,0.011034088181648341,0.0341207019497956
LRIG2,-0.023824351919135886,0.016591048990207094,0.06267060717728214,-0.017500260071371825,0.04812710576868174,-4.662327082226674e-05,0.05213457973804288,0.03239627391101581,-0.04585563704314537,-0.04145865928703373,0.011661728039420387,0.049915636082230805,0.07083403455913402,5.967738031145241e-05,0.09794157228812296,0.011976934778022193,0.023778332460634634,0.007147755433539632,0.06826806016542793,0.002592248529842763
ICOSLG,0.11033106969299197,0.04936956054142321,0.00014606982900642034,-0.04268552525976036,0.0274676098406984,0.017750639526508388,-0.012446810846115269,0.02322393880184039,-0.021906787993529943,0.03397158799032129,0.033117831163639096,0.02010005685645016,-0.053697851998219234,-0.039716475455937296,0.036195336142338885,-0.03104433653778492,0.10395339088591071,-0.010217378954760223,0.042881281631339724,0.0431569462794733
WIF1,0.07630662236405777,-0.01587456597179488,,0.01182757092563613,,-0.0381265174428541,-0.06278568974809096,-0.0221531867924349,-0.022393302262706256,-0.02822184436123472,-0.022567337648192794,0.002290628572767528,,,,,,-0.01855933357614389,,-0.028995270882254058
NPPC,-0.07054489873510206,-0.03283043623720403,,-0.03679447502880046,0.07944070665846778,-0.007813650383193751,-0.014579075624532447,-0.044446640569718025,-0.015584086778432628,-0.020842599648741245,-0.048784771279223475,0.0757005227652588,0.021636394306960967,0.09668349185737485,-0.027340546116456966,-0.029784163920994484,-0.0074829826571923665,-0.024028866000140897,,0.007995275825635981
LYZ,0.1334011737277423,0.08509726097939577,0.07265099155280202,0.05904302531995968,-0.04896635756545218,0.11200731418878752,0.04642846546923848,0.054106444941121545,0.016216166628633344,0.01912727168487733,-0.008076439273613458,-0.04183591143686084,-0.04960044636092776,-0.03578841822567462,0.033511124089205375,-0.027177571755030175,-0.01940764663986959,-0.05586247830080143,0.002863164256957293,0.008801858931807608
EREG,,,,-0.007677442352662607,,0.09357308134051143,,,,,0.04929715967053239,,,,,-0.028407921312434307,-0.019675582058358256,0.03607055109573122,-0.05063346630812375,0.024724905259950056
SPTAN1,0.01693721951924067,-0.0365741139998129,-0.0014456685187794935,-0.1045150551150508,-0.025751242753199136,0.042217851424674845,-0.026915290011013112,-0.01878343869929816,-0.009551574884638491,-0.046847306104446006,-0.03464188072296445,-0.06486886795711128,0.04904689056775592,0.027723341651396054,0.0832553832314575,-0.02567933315675468,-0.045675776678910644,-0.039907558047610404,0.01639192114359018,-0.07762479821899797
PTH2,,,,,,,,,,,,,,,,,,-0.018927988505493733,,
LIPC,-0.01328163581076797,-0.02379617334110303,-0.022061444502630007,,0.009090946690746341,0.10096794980504689,-0.02321762315327839,0.051113224371469375,0.00426283130926203,,-0.04941861742999979,0.12811462670598822,-0.006920602489155965,0.024050992053563734,-0.0016462460885533204,,,,-0.021666643090782433,-0.04304508988500121
COL8A1,-0.08707506595958492,0.038193020905132595,-0.02824881336537722,-0.017998883489838916,0.04945870409010359,0.05056363108077587,0.0013329155002015838,0.10267422435918318,0.0013234345378319156,0.010278753696294695,-0.05926457644967792,-0.03837795746047838,-0.08767017549404735,0.05734534325450091,0.023600595587965907,0.05101106018202429,0.012346725641224663,-0.0028054126332076362,-0.06027737359246345,0.007698581895440666
GSTM2,-0.014264685211188293,0.0040733400742716565,-0.032120004188929865,0.018437516986403016,0.028711668356530655,0.10061717773216745,-0.012660782129979604,0.07283689707632064,0.04372927839335529,-0.018278411564075663,0.09671272169987133,0.009283634786597422,0.020422718974487206,0.06574126626959681,-0.002675388695485943,0.03258294681732865,0.13024018124160355,-0.004938289895333555,0.048946870550936376,0.028984216088465378
SPX,0.007960540071208921,0.03275284809480622,-0.0444750280967312,,-0.007275105848679817,-0.012695671438510673,-0.05972077697407565,-0.02103142982121063,0.04073850272078698,0.007525738850996771,-0.009215698300055808,-0.006621549361622877,-0.039215300339868434,,0.03170730488915171,0.06376659644480265,0.05289514769455632,0.015377316973512684,0.12383460455751188,-0.08925579792189829
MFGE8,-0.06359155775657918,0.0009767207031323257,0.005211349270407586,0.0451621550950577,0.010485400375657051,0.04975521703511382,0.02856789495320301,0.0002005979582150149,-0.03229452122686274,-0.051801536468830574,-0.03632002910113085,-0.04408434279553699,-0.06940203920064814,-0.1310148152385672,0.07349573353218304,-0.023857953357974998,0.013477822757687956,0.05974542310975877,0.05839467880260295,0.11941222238498435
TGFA,-0.004793541346928481,0.04655673460075633,-0.04007782184575953,-0.013751803236277664,0.04269642459786181,-0.02932236597866778,0.030433254666813608,-0.003726927042909941,0.007646823271314234,0.02259903100938179,0.006240924045489554,-0.0017234926065026088,-0.00841495104341276,-0.06945538572684762,-0.03448227043542776,-0.030813299532554222,0.04492242343339645,0.01052732618359314,0.06531923823743387,0.09013338061345291
SLIT2,0.024686442734041192,0.003564083600319569,0.031623431817777825,-0.02179867023361929,0.01892768731550098,0.06090626250781887,0.019650692623409835,-0.0015716150136637491,-0.023847331747487134,0.06618596329443763,-0.006093260102103224,0.008756272936130807,0.01710493208727894,-0.012948179441791323,0.013889702292805922,-0.004172850167459404,0.05117265243363487,0.03734543859099926,-0.005693973560029721,0.044417489680138283
PLTP,-0.05734245435412736,-0.017988615029375734,0.009045183294266802,-0.026511934748106626,-0.027606404502086377,0.05400736216096026,0.01890373746566886,0.03685852604667865,0.007031442586588236,0.04090707233987785,-0.04061158247652712,0.03815929209876918,0.008509639697665364,0.061785047241210846,0.08942319881102001,0.07674805323126513,0.010468552712212097,0.07748070849051764,0.026581759896708055,0.035265154053522985
APOD,0.008449272208858999,-0.08376014406451907,0.0025854597146854467,-0.017368269823030937,0.004180964252213071,-0.05099290809097527,-0.0748246497328398,0.025633414499917895,0.07190020354008295,0.04211626626083033,-0.006799956332020375,-0.04135021088284736,-0.032156494487635,0.030222172239172434,-0.07646054121080541,0.05472158689726051,0.01359129474537884,0.007397586804589979,-0.035876125860225594,-0.08755864023247094
B2M,-0.011211842096089707,0.10022884292047311,-0.009844857683457805,-0.014707967925773575,0.015673851660266663,0.031251221544292225,0.001437317466909521,0.07436710105666812,0.04615179668407448,-0.038871593009604806,-0.01649210583399467,0.013194726407912532,0.0004235519454514329,-0.07942021623325982,0.05458573267533455,0.0066989486094927615,0.0521297288522282,0.03132603682514156,-0.06786755256581695,-0.03653198685286722
OMG,0.057802610950821204,-0.03642162513717763,-0.003974168004062932,0.018529379624826932,0.0021626809720452674,-0.048690591478614,0.04779193380897265,-0.041266344730188184,0.00014041664864008064,0.024751365170933806,-0.0669822746928761,-0.017659981077956993,0.04511260930839285,0.03797150588653241,-0.05713359329018643,-0.014227912627470925,-0.00027187944895335544,-0.00981439695342046,0.0657855153650139,-0.08925978429472636
CXCL3,0.04182980418519862,0.08688590648182713,-0.007966600251247099,0.0212329729267244,0.017706230965877572,0.05183758950172661,,0.013645124307449675,0.04032477942266153,-0.016043958476158884,-0.02528742748807905,0.10233300159228055,-0.03048619504339469,,,-0.007244550808082845,-0.019347502728234562,0.03544701182300709,-0.0022148913681112746,0.1347113904176467
CXCL10,-0.002777440285799776,0.017257096428605956,0.04688530339103409,,-0.0026640919002501604,-0.024865268194044388,0.055304415399136865,0.07163352245445814,0.04879274743640007,-0.0011566979323436016,0.09029404014571656,0.04971913575965663,-0.07698062396167615,0.03965270341320123,-0.03687911023743651,-0.020602602498010058,-0.00670460411653929,0.029713993063615312,0.04062976618867731,0.04561846995021282
RSPO3,,-0.025452507288757344,,0.04631937784868173,0.023372099814573572,-0.020635115965836774,-0.025568076482637193,-0.0271067087187953,-0.010549837325680158,0.04831902777199051,-0.020656439605333178,-0.01791638424348065,,,,0.011757586608088979,0.002597380432704366,-0.04308315404779056,-0.023893366581520973,-0.014975582649796508
CORT,-0.044267318816544464,-0.014471611070949499,-0.001422410915273697,-0.006495096373452222,0.024467067350961394,0.0037134683504468614,-0.02299672966279716,-0.029301722889087577,-0.012351774475259482,0.06840942471371897,0.03583432199969107,-0.0024029260183092726,,,,-0.022750121555036498,-0.018472301358551785,-0.03320435139116418,,
