,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
CCL17,,,,0.0066057747349952565,,,,0.04467255913953893,-0.014510830896884205,,0.026896395602766524,,,-0.01579757799009949,-0.006048371119108247,,-0.02157064444937666,
VEGFD,-0.013323951291879122,0.02086666091773604,,-0.025165371492583126,-0.017453830474722456,,0.03523048985068217,0.010114565702198828,0.04303359944608547,-0.020029142065301105,0.008070873271621292,,-0.04160525301274267,,-0.02256677708804663,,,
TNFSF13,-0.02006054809160409,,,0.06051080787710146,,0.16789522355501466,,,,,,,,0.08354136938838184,0.057746404410198945,0.006491971625840843,0.012410461506164188,-0.015527836462309555
WNT5A,-0.0008987360496166575,0.010665279510555827,-0.006845685063017889,0.02139933642919646,0.06041800044699354,0.0743655237310838,0.1325427262086218,0.007040019934300303,0.008956944776178742,-0.06640107065889463,0.0414067364490969,0.056011345708500436,-0.016316784535900335,-0.010180141710963138,0.03820969165066529,-0.0008425898589914895,0.029342939591214458,0.07383653473365685
CXCL8,-0.07223066388140516,-0.026302866896058767,-0.059208351287512194,-0.012112063864024306,0.0026145691995462595,-0.01760636602340941,0.056527232521648534,-0.041722342374078174,-0.009912034506911211,0.00856920587352401,-0.05697774360025054,,0.11287826258145343,-0.10574211703833673,-0.08764862184674703,-0.018545911953242063,0.031118412066586387,-0.009798526280713522
GRN,0.05692307540475327,-0.05685492411890449,-0.024636285009131443,-0.012711650686286831,0.007760527802121479,-0.008597829973869108,0.13604764046040618,0.036124980454941696,-0.031019194170860513,-0.013459282533067328,-0.022969031486774975,-0.03658618544291527,0.07407662720783882,0.03078185709601202,-0.06287522617446052,-0.0023097723834055177,0.0027268804603755546,0.03939862384696951
MIA,-0.027065713218599144,-0.024982284419936305,0.0001215501381865939,-0.012100597706320899,-0.011330110243894945,0.029236558688352295,0.044596664886573836,-0.034578911243251305,-0.012105160488299536,0.057625626489215105,-0.030849648581638675,0.04661728893626569,-0.029385589998403,0.08121566501664357,0.1236885814620381,0.03689670190614058,0.01979968073825127,0.0273699245849868
COL4A4,-0.009488520802930252,-0.01686921696557183,-0.0065286244927211644,-0.022213056127608554,0.042606000174239295,-0.011776761508266068,-0.02463976460051052,0.042696765390221,-0.020335706928864862,,-0.02992530361833808,,-0.032577732492458815,-0.029793089733792757,-0.025024887719101715,-0.016660463823641027,0.0004825119310139527,-0.022608788955226215
TAC1,0.023800603123243454,-0.03201374096911351,0.05668439055235712,-0.020140033187040787,0.0021581310374111516,0.045571987152503456,-0.10705103865892282,-0.002753619278748273,0.058385419550433026,,-0.05303390084670351,,,,,-0.03711881603899427,0.10902936394148952,-0.031955811009059525
RARRES2,0.026360619997897045,-0.03546991969517649,-0.05053332246956291,0.020318184807593544,-0.0077557944258365655,0.04362082722637632,0.13781806761073148,0.04581011336444711,0.022325467432153807,0.006528433319061224,0.09314396367643628,-0.03806768839321809,-0.06612091038247792,-0.08965704956509296,-0.02196232618043364,-0.01436890166522148,0.01098122294384698,-0.021158806543003887
FGF7,,-0.020890325280399667,0.0025881512199327243,-0.014224466112135464,-0.03341900929695352,-0.012086029415256657,-0.008010535974103955,0.03937812852262988,0.0432473900139438,0.05840973236833553,0.06064548701120381,0.07724160422840246,-0.016333128909448377,0.06223468025482411,0.007460958178014688,-0.032013160880205296,-0.004693393478590522,0.03692977514726075
EFNA2,,,,,,,,,,,,,,,-0.021448211384023613,,,
HBEGF,0.03560052942891814,-0.013568359829327513,-0.0035977528111610785,0.037853050512480384,0.008018368042171375,0.028425019679917708,0.048092977848235526,-0.0014446827621887744,-0.02733447858979521,0.08085292281099238,0.014662576875738133,0.07383265922250783,-0.036686772781733566,-0.023211475702682106,0.021795313469280556,0.023411075973653668,0.05512768211097153,0.08895594009154079
CSF3,,,-0.03624410807507356,0.019012705284137153,-0.018198259996877998,,-0.02606839669076342,,,0.06446153672440089,,,,-0.08446249818933668,-0.05825547614052205,-0.03084411954956298,-0.022710560940527067,0.015637395143118002
PI3,0.020497242242030957,,0.0276799503845215,0.05445603059968727,-0.04621879394110413,,0.06497232924854066,,,,,,,-0.07322801160170499,-0.11432582587468287,0.025206605545699517,0.024093250706160283,-0.022586984330813308
PCSK1N,0.059271855944013456,-0.05013415565209542,0.04294572179538589,-0.015238113053017666,-0.005787307226910368,-0.04857852290703571,-0.047679448336407776,-0.06900956252409766,0.0032575232099037823,-0.005880437869982104,0.007088294591828576,0.041220711963260784,0.00528851987960329,0.013921406808661706,0.01283422885604047,0.08765176041499836,-0.006390456258268525,-0.0019841777576245626
NTS,,,,,-0.02110779231094569,-0.014376750025070675,0.04262499848628925,-0.020982669121045665,-0.02381518349824371,,,,,-0.03685410498363882,0.08561389264818134,0.04534631887994073,0.09461594159884733,
SFRP1,0.01962173413924285,0.0081456812436374,,-0.0008234497098363482,-0.01991179797266157,0.025325059059824132,0.0019987481017983686,0.13553463666473362,-0.014510831043020192,0.09994157970018915,-0.009762663080022608,0.023151998040606286,0.02321012152069873,-0.005975953191135949,0.033580340444288745,0.002983729567238429,-0.03284973900744036,0.09689893144650892
CXCL13,,-0.004351067817770166,-0.026317510966573178,,0.0542006930486536,,,,,0.009506713569542719,,,,-0.011169946346814454,-0.013283746180153667,0.12143362894775007,,0.11597257879993067
MICA,-0.006445692537492723,0.022021282576749047,0.030053471575530257,-0.014721356711331427,-0.030605178382013105,-0.018648316887241452,0.04738327638636992,0.014200904489819,0.049676952400273096,-0.01259267200690023,0.013487208984387341,-0.013666587449009206,0.04206652382420342,0.02696530095825562,0.011717138899179467,0.046997865896656284,0.021007168874036572,0.05874775498526621
TG,0.010032268302941552,-0.026669196702237837,,-0.025109876362530363,0.021782433220335313,-0.016594559431087733,0.10374801324713137,-0.017724095669324896,-0.010501425305034253,0.10056551886583744,-0.03157174597113372,-0.037255938988790836,-0.06644832017676149,-0.020991031527984733,0.0314965801750638,-0.02538518435794618,-0.005214884157919894,-0.004350665940425482
ADA,-0.030792618124031914,-0.030608781619698672,-0.013241022050413135,0.02872562259241048,0.03975962873784438,0.0472549962935665,0.09971478689363997,-0.04210998233230986,-0.01705515922056076,0.04022250671852667,-0.02617505564638769,0.04889164786978499,-0.02674874958676963,-0.0073843605139030915,0.028382321310061562,-0.04547179184355097,0.047660151201110106,-0.000834964906710529
LAMC3,0.050040972223800356,-0.0043925567836819905,0.041592611112203,-0.010166406621313167,0.005110028411462475,0.010091830472593395,0.11074236958269133,0.045015254767252204,0.07511408882730891,0.02042481884859174,-0.039959084307886396,-0.017720216139856464,-0.0031973411016848956,0.038456217848100535,0.008789985608474786,0.0003553331096176145,0.007942038294799702,0.07909929272100387
CCL7,-0.01690916590593718,,,0.014513156814114504,0.08767259145065659,,,,,,,,,-0.02367692805560852,,,-0.023798466424481732,-0.06443523769907729
NGF,0.02955953569226816,,,-0.03521174194339198,0.027089721900398153,0.14424019394649432,,,,0.02547738029034212,,,-0.03003681384332144,0.05298664733685543,0.017682107120649854,0.014164189305042249,0.026157057713443642,0.029976842360750402
TNFSF15,,,,-0.027036973135234458,-0.019370337967436525,-0.01922796371798808,,,,0.08114359495270863,,-0.034340544677731295,0.08420096575782332,0.01345275437519762,,0.07665281968944712,0.0768406666145798,0.08440155854765585
HMGB1,0.007712493826451014,0.004581628607341498,0.005390088000439977,-0.0005905705167431455,-0.019367311866304353,0.017027660727735178,0.12892904158388943,-0.03974315311104006,0.04022449273970399,0.052429044999172676,0.014375236477926377,0.01762135871562187,-0.06350108864249633,0.027980232353289895,-0.07715444130491689,-0.0014195503856934465,-0.034769969195026215,0.014761969572136581
ITGB3BP,-0.07345692821016604,0.02566817751893821,0.0581753646446112,0.03011191511939749,0.004911782741480211,-0.00475177172663318,0.11054848741702114,-0.03916026516450542,0.0003219033836028245,0.021788736978342493,0.027259045674381786,0.01117006635221548,0.04779676279261018,0.08080232578053151,-0.00433458103833906,-0.01625567878445771,-0.0015752044053493606,-0.08212376104225207
AANAT,0.07171377785914694,,,0.050946307754124516,-0.017453832966355116,,-0.02351439927594911,0.0012223943070223057,-0.012105161161619473,,-0.028193408240611263,,,-0.020771346703450592,-0.028863483368479697,,0.08882806790127407,0.02051093989852103
RELN,0.0736368183141459,-0.04107453571640009,-0.0019505546741860422,-0.021922965110701707,5.225991315109446e-05,0.0038164461273900623,-0.03175200199099369,-0.035093375709590154,-0.008233381907438369,,-0.03121253639522567,,0.10555342447035453,,,-0.02313555607652773,,0.005592410974477042
IL15,0.041450481385462395,0.05501742273332658,,0.00729933470267624,-0.0041105983562251544,-0.013681839274583073,0.05257496241229997,-0.01920180462288483,-0.002597198888234316,-0.026738703261403117,0.051648799225567185,-0.058618900949406756,0.03425398071581704,0.03139274350377651,-0.00880537040458744,-0.03016028980849243,0.1363368165698811,0.04633634276637691
UTS2,,,,,,,0.035289005452209976,,,,,-0.06346585768937567,,-0.017688321922759157,,,,
BSG,0.02883341781834749,-0.04404106387578291,0.07784701764143075,0.0015717767595620534,-0.010700367593347158,-0.007496731088151145,-0.034950493220016685,-0.05151484393534121,-0.032553742082148285,0.053266404441703656,0.0560755528566254,0.06995865142255779,0.0320725519038571,0.001786833677631325,0.02736496684275135,0.050933334368433135,0.02093069528768493,0.026802599715274027
ADAMTS3,0.027808824825936548,-0.04685971216541232,,0.0457984258092065,0.0011357182624216358,0.07938999868663457,0.09537860074962624,-0.009784924796120502,-0.03488105809758355,0.024668477986453077,0.05582242722904297,0.07320602394349866,,0.0630169907792981,0.003893059351377419,0.06766509532899087,0.05445864251727267,-0.034841975327161
CD34,0.012304428093193334,-0.02963929076263698,0.028454161554995774,-0.030239291920867672,-0.0013758857728547534,0.0753666161346371,0.04584668550006918,0.03129371060400686,0.031065934529759146,-0.014615078888152677,-0.02193553208622848,0.049077643157841036,-0.014875111182044704,-0.06464540708751709,0.05152202864083389,0.04817344014198134,-0.03216945130508149,-0.0006438355602190287
CCL23,,,,,,,0.03154810712966939,,,,,-0.009462842269849621,,,,,,
PLAT,0.059496287691519455,-0.0033210789326503206,0.021903434184713567,-0.026411069610705048,-0.015552860414543125,0.0023696455620013436,0.08158735674110339,-0.020683572326723704,-0.0002974334071833164,-0.01417980215963199,0.033302746849906154,0.02791770100796952,0.04985591957506544,0.11679317914135084,0.05290948624386367,0.050085823052761935,0.011508861006506303,0.0522079547604821
NTF3,,,,,,,,,-0.005160476729886839,-0.030980984038250527,,,,0.049466272536475925,0.09723986236478298,-0.018098183980649395,,
LTA,,0.012875234888467469,,0.006655163644702481,,,,0.05565986277710061,,,-0.0007520015640719564,,,,,,-0.009129983929361858,
CKLF,0.011728107210346117,-0.025109268444670305,0.10382787802891634,-0.001776120562285183,0.02351132800878486,-0.004411476871954281,0.16102861758266307,-0.015377230444321708,-0.05103392383934498,0.05912033353299583,-0.018835003286007755,0.018886064026831923,0.06476993169808884,0.06115650384845286,0.033569578359002164,0.016631712077586933,0.06481514115662586,0.03482170822158377
APELA,,,,,,,,,,-0.012290648714677001,,,,,,,,
CD24,0.03616191300397311,0.008601981014383494,-0.049591323722436874,-0.009700611934838661,0.015519565500584908,0.06226379671041993,0.00047832481681808016,0.027900498367246045,0.011070908150106232,0.05542944696701788,-0.04710676980380687,0.032123101219346833,-0.022349514619753156,0.02952467407411485,0.018949144605512946,0.031304544757937584,0.014280278858823946,0.039608208173864484
HSP90AA1,-0.03565357976047072,0.027570485377774928,-0.08617514717497873,-0.027882225514208752,-0.03810245715253774,0.0009456715537895972,-0.17197329581527257,0.08499283616679493,-0.030057122299542306,0.0073435166855473485,-0.04689388288685446,0.006971415089286131,-0.03825790508630836,-0.09138724875388378,-0.11117313606835501,-0.030500668070026916,-0.008770634311476292,-0.013285352995296963
BMP4,0.0076128254044418205,-0.020790517438895047,0.07089581600196358,-0.033889464643804525,0.02212497658113017,0.062199499221858086,-0.026704809567665296,-0.014927550391051229,-0.014963177396599954,0.006457333338469007,-0.022280870211507348,-0.037203321394984785,0.0135234703191951,0.041949787895974845,-0.046637386946943256,-0.0038721229017432543,0.06605878258686938,0.06968180906092647
SCGB3A1,0.024548363068032368,,-0.03874136733798373,,0.06922889708573832,-0.017465109815305354,,,-0.010210821836648284,0.008586434932381285,-0.018245788821113603,0.032127156415247285,0.044638478451549383,-0.03603728544003944,0.010112358250389227,-0.0015290895155514758,-0.014476268796091948,0.024009140973643553
IGFBP4,0.03910747179462261,0.021193519208392665,-0.03200368007656231,0.0037967566667433074,0.01731370732540643,0.0188073721549172,0.09758191308005247,0.08838105872864487,-0.025706298917768405,0.05867489201605505,0.030195705717822457,-0.027131427121314947,0.017947748944736407,-0.04630511797106114,-0.10582711761049139,0.0007924821519764795,0.0035093477112242777,0.08222859132564289
RSPO4,,0.0002231919560779141,,-0.01699341569500839,0.03977784358620718,,,-0.0021244854077745153,-0.010210820343084605,,0.011984007024685247,,-0.04081812315242913,,,-0.02678752814223683,0.03391584660641353,0.004687327492965774
LEFTY2,0.01900291958271609,-0.01985348378672672,0.049151908027819775,-0.013852714287567965,-0.03723569892674602,0.00811926497318456,0.08043518915808931,0.02144776831105485,-0.011196289387268911,-0.021666390024187066,-0.03227952051615449,0.02249371728312571,,-0.020099030718843263,-0.02466158955251671,-0.036429268532662394,-0.011314733895461612,0.014900015032729318
PF4,-0.017540543555220712,-0.017840335412241688,,0.03781677215206726,,,,,,,,,,,-0.019658770662307878,,0.014009217658844818,-0.0001789766757330648
ANGPTL2,0.06720358965778556,0.012187193955738378,0.026381089334481616,0.0029433966917823797,0.006345858810199131,0.055510712147310785,0.11892710119356081,0.00643304784014101,0.003274359354916499,-0.015842829386330613,0.07630474486852447,0.043077774372193664,0.00339143989473678,0.03496335481316036,0.09779486627054915,0.028223860946570225,0.03230097069933337,0.004477594085106785
LRIG2,-0.005556633205928641,-0.016847842343994064,-0.0451181794504784,-0.02642890615552064,0.02160746365856237,0.017517517011446604,0.038403644204200234,-0.036986833635480956,-0.02782010694203556,0.04837579467135715,-0.019805801589098625,-0.02244773958685926,-0.006905582478361078,0.0952892044996528,0.05005835783404446,-0.0027028691847306896,0.02943322844626411,0.03988434242875136
ICOSLG,0.01603565399884345,0.033995291694445755,0.10486742790343252,0.008871854626414887,-0.014341734430462383,0.049457423367994614,0.10323387207979007,-0.03401870012050253,0.010793232813364237,-0.02658767622453022,0.050854041564012166,0.026488457092628058,0.11273810241258672,-0.0028972659923351685,0.020440328749172273,0.09192242254731957,0.06260524294867473,0.05492425316803537
WIF1,0.011366543085100413,,0.032933041913722136,,-0.024491757477055495,-0.014953064776960259,-0.11780711570691577,-0.013777880172968032,-0.00387270495561504,,-0.023305824429804736,,,,,-0.024901602099244073,,-0.04211441600486378
NPPC,-0.038932842729054604,,-0.0486042521944959,-0.023948419568439384,-0.023921272168485542,0.08120527133941702,0.01125130827722069,-0.02687626647853403,0.02572858251220431,,0.046469085512494096,-0.0014850148420859396,0.032829701022588816,-0.03534538384028597,0.07782671491835136,-0.02871421852983396,,-0.010328439304435532
LYZ,-0.0026200174008200942,0.015086540224785642,0.016034174113031714,0.01854780797031879,-0.003991788576184017,-0.039143585913012105,0.14078870192563633,0.0047492853094129525,-0.05430837584913269,0.04892502002308561,0.03864458994602739,0.06388840298982044,0.012278106567255531,0.03917596968307766,0.031387619439087966,0.010384664524955964,0.06391059689110973,-0.015415686285471068
EREG,,,-0.02724312802119651,,0.04530596443537619,,,,,-0.025335461450439273,,,,-0.03018504614948494,-0.033586169387618256,-0.021768418098135123,-0.01770351127856851,-0.026423287762357608
SPTAN1,-0.006740116582336505,0.03830377565354566,0.09026011554814162,-0.007595170465343646,0.006408353252915255,0.03146250006904306,-0.0882793042626715,-0.023419593407737218,-0.007163461550622762,0.014600467137890486,-5.830082179143058e-05,0.019039119961017734,-0.007022058889132961,0.07431891432885172,0.04273077816537364,0.010795786690286925,-0.02096710244078408,-0.00970088898551964
PTH2,,,,,,,,,,,,,,,,0.020954763472218356,,
LIPC,-0.005839753964339457,-0.0145320540366702,,-0.007540150467718907,-0.007105275452863578,-0.021217024508251213,0.0006132515437709648,-0.033380770684659465,,0.01686659158022173,0.08614757114725725,-0.03035929381038533,-0.002387361666722942,,,,0.016696750640512802,-0.03579055886847315
COL8A1,0.020884945565275637,-0.0023512297296198943,0.011257520327324716,-0.013527283902567137,-0.019135224610784672,-0.006809391278020875,-0.0071808112716480535,0.040924511713831,0.017465717006356525,-0.033020855890929436,0.06795284279645507,0.06644390849864844,0.01307351156688419,0.07443668660906627,0.027283392713094084,0.06711286248086334,-0.03523302269714382,-0.005585242572123587
GSTM2,0.022323070683330212,-0.02202788481188404,-0.03013817357712048,-0.011963676770332188,0.002865757254260839,0.11539134129953019,0.05485577815117624,-0.0223646324827035,-0.030179873008787866,-0.036945822056040724,0.03379337922632101,-0.04452755570622085,0.03932132892770155,-0.030342503546993502,0.046429299188526334,-0.001389154783970634,0.012928208213387884,0.013693638507946469
SPX,0.017749612060308083,0.001584310396019162,,-0.018533739494809586,0.006105787778814355,-0.020201562613170573,-0.03607951230885568,0.002334618920726691,-0.018794265234589675,,-0.04939421575119358,0.002802472525220624,,-0.023872169529251905,0.07452233982485698,0.0005688678220851217,-0.0003405553032557244,-0.006922308270029419
MFGE8,0.04421433790191606,0.017223265561693932,0.03415768643443142,-0.06240899203741141,-0.010375983998850572,-0.03598486488898929,0.09080715703552958,-0.0017727512833077734,-0.030947998574578743,0.01486653966513351,0.03894140443284448,0.012084550738234695,-0.009442962924646293,-0.00033133601105392405,-0.0011179999570016782,-0.01021443970130863,-0.020627438403371508,0.08657782670890363
TGFA,0.01932612494377912,-0.01082107678122977,0.0397854133766312,0.006581400252465551,0.014322347820365778,0.014244792575626691,0.0524225723016698,-0.02952361077006706,-0.03407369988853271,0.012654168565728806,0.04699455335914099,0.10100523045448172,-0.010996286461120355,-0.009640570267403314,0.020488363158993224,0.06142773207556281,0.08324658065291855,-0.010695199624085192
SLIT2,0.031617720047673596,-0.0023530050224746337,-0.028795303227187364,-0.017732625665115,-0.024706712948285903,0.07515539173536044,-0.04821459598660138,0.015353960798582998,0.0014226237486202988,-0.001464312083026187,-0.003120759848160056,0.01973770810035091,0.0783878539019667,-0.0476155335170428,-0.013310302428865984,-0.0043461479101075074,0.07811390263504311,0.0034235519872909286
PLTP,0.04386635153931952,0.03131897231936024,0.05555036864313711,-0.0016023361095123905,-0.022533186694892873,-0.014680849137241407,0.11715965742057213,0.008361285428546176,-0.04440501560864704,0.0743626326678751,0.061469397240542054,-0.06545124390540599,-0.031995249925194647,0.03650340839677596,-0.07687156566541589,-0.02291806612507535,-0.05095891291322793,0.02871272642676643
APOD,0.10535948514421656,-0.0023900645589831873,0.04777397267620439,-0.03513869935043947,0.06945284775064046,-0.03627256447689566,0.09648774534306045,0.0033035629672210076,0.027844111714581305,-0.015901906270267843,-0.05236917560190234,-0.16391247140162613,0.04380267753936743,0.07804679386444757,0.13693086224275547,-0.01158325003084149,-0.027718207754639134,0.03531150515777471
B2M,0.10036951273338658,-0.0230399447022914,0.015914690836614155,0.008090576780814436,-0.028793947947586114,-0.010570204488487498,0.1576903901029222,0.08766322378494977,-0.03250630272921234,0.01565365348040798,0.019940602757633166,-0.007015194107235376,0.020100894491799283,0.03657946151812416,-0.016184669538012196,-0.007826271109920369,-0.013814586245903005,-0.0057787302849380525
OMG,0.035584626362576505,0.0285680565461803,0.027074889392174617,0.021017536308794625,-0.0025469347133971654,-0.04002081208709343,-0.006787619352448497,0.016680929341600165,-0.014541881245336747,-0.01604508693948525,-0.046567352447009,-0.10305206662984201,0.0443350655693692,0.0718493493618962,0.13841732180919886,0.019336575686064224,0.049144076169454945,-0.03171204146479611
CXCL3,0.0057284666642745475,0.009492201113717293,-0.00038139505865137404,0.011027767164476126,0.012315252395341474,,-0.006471468079928464,-0.04859483009288969,-0.010923419437715881,0.09328547933946839,-0.018831357193324752,0.06826963220376722,,-0.05141569307557785,-0.02108972056659835,-0.020924637466288653,0.04191960285458814,0.026362519431179943
CXCL10,0.029668333138083595,-0.05983151518760914,,-0.0019817635641671974,-0.031132282474978748,0.0010543316385027482,0.11151240078522845,0.09027103714468501,-0.016593473629536944,0.08224264486161009,-0.029925305508880402,-0.029212429118493508,-0.02365707192030141,-0.02444946567352512,-0.026368110466738738,-0.03660269214899036,0.039515784764929625,0.006749644436709359
RSPO3,-0.02296895110681413,,0.09181684684685071,-0.013003594412964477,-0.02322594890960211,-0.03660760627907125,-0.03861189044745633,-0.026966494754503405,-0.0265253786344819,,-0.01967840532816678,,,0.04052083771808207,0.16190711611981545,-0.00037013871262479755,-0.024150789857809003,-0.02176333480241734
CORT,0.019732708618455753,-0.03186170931428977,0.03967524871170254,0.00386929549556751,0.026140043115025574,0.01791976277527897,-0.029354493907889585,-0.030282361884594586,-0.03588901449364034,,0.005152251072946511,,,-0.026997963780649222,-0.00048517183929039435,0.015439736062949645,,
NCAN,0.05653660392756425,-0.0033732795252805893,-0.01478693588698161,-0.007124203667831544,0.019305722406411995,0.041475297115505745,0.039461762614580675,-0.012749684806016588,0.011629559060247036,,0.03038675451435816,-0.059054855375663906,0.008924284923620223,0.10045340906239243,0.139402504705634,0.020715688264854627,0.010353343347466813,-0.02740450402717977
PRG4,-0.025429366136670604,,-0.026554923351975207,-0.024280008826695645,-0.016629696033835517,,0.01575348916863627,-0.022817318055942754,,,0.020355010287360698,,,0.07431509260687677,0.025136768780097657,0.017537914570105426,0.016469300066741677,0.07754755206564459
ZG16B,-0.02344790725471047,-0.02146794410336823,,-0.028179919682173062,,,-0.003934238489056983,-0.012197990924880771,,0.06380229313180415,,,,,,,-0.01628449454380437,0.10850120361146416
TGM2,0.044561543611102115,-0.023424476689395873,0.015519408195586733,0.014524709561776422,0.00935490730999964,-0.02270498487756665,0.028299121029429868,0.04217217313196871,-0.03407702358970023,0.10970318992781353,-0.011714948703211504,0.010871789891258064,-0.037173164409533443,-0.03262826243242361,-0.016824509125194596,-0.004693396769256755,0.013571977345350393,0.09751571446069227
VEGFC,-0.03228763929037034,0.02085300124513263,0.004268206962077457,0.02740134968043337,0.07199103367352068,-0.028047935550161905,-0.04409959879812837,-0.02391505754244174,0.022218039289655742,-0.034392231175329094,-0.00855435037524993,0.020168978638120644,0.043593053198032194,-0.030470846226197067,-0.04121859865461759,0.005365306985365036,0.010463766284944097,-0.037708503139723855
WNT6,-0.02728256537835687,-0.019853484307771542,0.00550894624875578,0.02984942403152487,-0.02291412011817004,0.012226386726298505,0.1748284847760005,-0.027146193729891153,,-0.03196041043121829,-0.020492049838395514,,,-0.02195827561364054,-0.01482519814901199,0.051945639004229646,-0.0015440135683221746,0.031281578294451634
NRG4,-0.015573935438508168,,0.145580707538696,0.028380764405906114,0.08495303351486093,-0.017179416367691068,0.046117443332100265,-0.023434315597281336,0.007846993841653977,,-0.027392013663372655,,-0.032577696556338895,,,-0.03537362593269042,-0.024150792564536352,-0.030425028857350288
PMCH,-0.017949798718652345,,,-0.03302369189352812,,,,0.044319205077338907,,,,,,-0.024065967555353313,0.0009229991333229191,0.016393667094859593,-0.003780143107117612,0.24366654317268735
COL9A1,0.005203362559316776,-0.03465218644343186,0.023854682211244815,-0.030862694457351115,-0.006621893146986414,0.05300963359472131,0.02480993589465873,0.002210314798580955,0.08334116683835284,,-0.02057611926972757,0.10735350527191814,-0.06437287228920495,0.018296186638577582,0.0559966185267175,-0.013949910163622806,0.04070949006167501,0.049796973869870684
