,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
RARRES2,0.042816540701344566,0.03589034979774372,-0.07952838971029158,0.0836829575559965,0.04678520254063629,-0.041550056796263106,-0.007696090609286114,-0.04332071102070195,0.1572872204363917,-0.023095751713411928,0.10339518627217414,0.0145666230961159,-0.1395208013351992,-0.05456488771239746,-0.057082668480141784,-0.020069435891184904,-0.2233899325975967,0.023713355088515624,-0.02170215508571913,-0.05969372256431971,-0.030431788639927595,-0.033043252747218706,-0.07531384918165253,-0.10103136392187488
FGF7,0.05570705856295706,0.03930075427768527,,0.04805113124847447,0.02255382458051378,0.02545035527496501,0.013923188585565524,-0.01380765154680863,0.04463448567426145,0.004577243396040478,-0.03195682713791625,0.038257241355986286,0.09842484185441046,0.0213871335466732,0.06512364012751781,0.030509808697539845,0.09330164264779632,0.06293226289833846,0.013767926689886212,0.0701631425507066,-0.024902575278625064,0.010279118337189076,0.0315073639449291,0.07284515286079465
EFNA2,,,,,,,,,,,,,,,,,,,,-0.03192183302264562,,,,
HBEGF,-0.044535210287947304,0.07018309628177337,0.27894575960363827,0.053464584159125056,0.11621936343348276,0.029668821726536364,0.006631085869813083,-0.022641297757718885,0.12343047648599773,0.044532839280994205,0.028831646307048972,0.14945278295982312,0.2087206283287522,-0.03171030160958299,0.13835514519547448,0.028888801862624554,0.087305720584787,0.17421319472957195,-0.0071443066293149305,0.0381589244952428,-0.03935758128780585,0.004413974684917282,0.08699704542074255,0.13649225258256847
CSF3,,0.013613852544531955,,,-0.021724869115081476,-0.016381621231517273,-0.02526173915647554,,-0.039149124853297884,,,,-0.049925871987757046,,,,,,-0.04403841164419484,-0.04889057238490375,,-0.03324485197534289,-0.016660570642863106,0.020727627417409113
PI3,,-0.05763520466461104,-0.03711783332468639,,-0.018395147366889394,0.014353534516505747,-0.05128954637659813,,0.011339292927082948,,,,,,,-0.0879823378011233,,,-0.16085580489093138,-0.11116567409777108,-2.8761321687125845e-05,-0.12435113243568184,-0.1873700435746828,-0.10793332288259816
PCSK1N,0.021933678943671927,0.13380930283807307,-0.03335776273432231,-0.04423646991052452,-0.06692780616058756,0.04586982180208596,-0.0005501996027487367,-0.02497772971385005,-0.032124939125024,-0.03820015774827479,-0.02179459432377936,-0.035473062264795664,0.08541101470935178,0.06946969350825738,0.005698512100920294,-0.021075313895051104,0.07314607006690634,-0.0001248974334764033,-0.040490400972513864,-0.043158902955764473,0.06863701696086058,-0.07814149294616578,-0.12410620179879521,-0.06361275729132872
NTS,,,,,,,0.052153157357516695,-0.01164175188066805,0.026900913306568068,0.04720247293216036,0.03309550004381041,0.10611126637324049,,,,,,,-0.071179921873818,-0.015399723760984207,,0.014873853270832741,-0.00551970413715781,
SFRP1,-0.02458178057137912,-0.0055803648726186535,-0.03739681590149509,0.04115880422432593,,-0.04016491783580671,-0.014807172371524915,0.0091874066902533,0.026257648978966656,0.012340128953426708,-0.009884705262463076,0.08633548186963617,0.037069035347637364,-0.06210242505346852,-0.014430359986523075,-0.11605001581812319,0.02610475044880799,0.04322305385168841,0.046586974419804285,0.049424492254374994,-0.06099672658932413,0.06092679489036252,0.09870233128296692,-0.0027214825797034496
CXCL13,,,,0.018000902177073484,-0.015774825524723944,,-0.011302929216164128,,,,,,0.06732680902270102,,,,,,0.051116512411540915,-0.023406278829017302,,-0.04020539913834178,,0.1564492298926147
