,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF334
ADAMTS3,-0.00048425330393116786,0.05970053723624627,0.06376436257722061,-0.02554605146141142,0.09046255594447063,-0.026371060294136526,-0.016409464033700413
CD34,0.04837419615246364,0.09374060984810341,0.049462428161867265,-0.005902134954135185,0.030688236271053035,0.005044348785416709,-0.0030500042310894833
CCL23,,,,,-0.014158631594259584,,
PLAT,0.017920808620312926,0.08270136941147885,0.02337735116860088,0.011791273680393299,0.03774080419957265,-0.022422549969306333,-0.02189566553033376
LTA,,,-0.014877782549635857,-0.014393947303843146,,-0.011248580220093913,-0.017141912311634807
CKLF,-0.002315107272882203,0.02608530430682728,0.03335458133878222,-0.021866002675561356,0.1112326990927981,-0.011325729820015052,0.046998740252783784
CD24,0.07187574482004108,0.04599342233791014,0.010943752086725477,-0.02549686532470728,-0.029284791730099582,0.03532210614693003,-0.011327041319070674
HSP90AA1,-0.030875152802142987,-0.06790694803196427,0.04397707952390671,-0.001527255113534348,-0.07768103402272998,-0.0014545965084890242,-0.05820616580673255
BMP4,-0.04034968968508379,0.010575560348840031,-0.01577132163831177,-0.013939682409063377,-0.0381146061941578,-0.03226419463298153,-0.014606679782077425
SCGB3A1,,-0.0010949459194117773,,,,,-0.011961399718749328
IGFBP4,0.10229011786615748,0.11625158610175532,0.026609485690848016,0.03135534547415781,0.06871724170178377,0.04971417304700166,-0.022521062998879928
RSPO4,0.05378514244102114,,-0.024051634689985044,-0.022032458173889186,,-0.013082783592102567,-0.02377853105884545
LEFTY2,0.009291878050292234,0.10075302569556603,-0.015060504355495068,0.015616806679913227,0.08945858649346528,-0.03221832582366985,-0.021161499314104635
PF4,,-0.020075053586175704,-0.013533365331035298,-0.009798466332226051,,,
ANGPTL2,-0.025785403649835427,0.007598189266453371,0.015400915408597726,-0.0537117068452949,0.06426958640277766,0.004527533300387183,0.06383827829318503
LRIG2,-0.02283081397593835,-0.013123385520591271,-0.04722910415871541,0.022964163592519748,0.004860225632970999,-0.011751933728443123,-0.019018482049402076
ICOSLG,-0.0004769515474019451,-0.02294155420701825,-0.007366324786733928,0.02068512810078163,0.04878800170719301,0.0027778897446561783,0.01130675051324998
WIF1,-0.05300172272303738,-0.03612180047990587,,,-0.053904306461490394,-0.010095674223366219,-0.027105977827977606
NPPC,0.019386394389001266,-0.037979540895871584,,-0.015199837646040075,-0.033503403869817996,-0.019693452643027798,0.04708095285860534
