,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
MIA,-0.0064124733041853515,-0.029252162986959263,0.028568534104268416,0.01957201099075074,-0.02713696119627731,0.0032644575513297944,0.030064086481619626,0.09402438867548624,-0.0788171246372938,-0.03338181778693479,-0.08712004345298605,,0.02609765351448704,0.05110144872817658,-0.0412454465766687,-0.08051982888680732,0.09952351704981667,0.21983421924993327,0.24407026550786326,-0.05249358899080486,0.10299472454152142,,0.133990084652673,0.0807608266681255,
COL4A4,-0.01318435151476316,0.027310284181376168,0.014906688554905354,-0.04650445894494505,0.019797754496813987,0.02732891812865311,0.11883282276322525,0.06852009367957654,0.006624998056285848,-0.019998749307269394,-0.010619629011175894,,-0.022687923803187342,,,0.026481683558987928,0.018790167231175683,0.08735810077179502,0.005199312874040742,-0.02236138002920425,0.013800004152876305,,-0.042588336616009,0.07646681292716971,
TAC1,-0.023470621061876317,-0.2577723550739152,-0.0046622778301854,0.04083376155504366,0.18689029885402086,0.06852959151806771,-0.08663552198349038,-0.1875487912535848,0.19628961914071127,0.04924201074931458,0.041887559990604055,-0.12358335508246737,-0.03875433110640127,,,,,,,,-0.06076777542425153,0.006567858708278661,-0.026762994213392358,-0.1516230801693428,-0.09618097298204033
RARRES2,-0.2334491778424413,-0.0687677075168538,-0.01320988893972219,-0.009740198483029924,-0.058463832622084176,-0.0069493242404854326,0.003193354884287962,0.13427326543346504,-0.219957275534804,0.06483319363562144,-0.07105710059732384,0.08522570092234508,0.010817789436306999,-0.07636034586320294,-0.061689275956898,0.15055343774939905,0.08970311197591832,-0.09816103758041522,-0.022505308122028368,0.029858315246281006,-0.0028833814369340622,0.023875736635946755,0.19209634144669177,0.16183735805634447,0.03000504122154311
FGF7,0.008599560623595178,0.027564486626709253,,-0.05215151736841741,-0.02536984597593796,0.05011718063329442,-0.060977919876409034,0.028736768235696354,-0.05428021147747506,0.026124648826994164,0.03003621862741369,-0.0658384661107398,0.009709758025883185,0.10512327006141528,0.008204383459505579,-0.019433321540621103,0.10268766110642792,0.04169315003809265,0.047563226071203286,-0.004733646792208905,0.10863544352209838,0.02973453967418369,0.20037838875910835,-0.01410983462288474,-0.028568349679417123
EFNA2,,,,,,,,,,,,,,,,,,,0.049105712648766446,,,,,,
HBEGF,0.05648384903290725,-0.0005488463840264459,-0.05003516785839898,0.030474887952247714,0.0003020477917817157,0.015785351242861224,-0.05031509172048365,0.1935130083854269,-0.019767375467668147,-0.05832917621965921,0.030811900598014627,0.0921778864625609,0.05104544038366105,-0.026137152609876643,-0.15809484562206344,-0.003955364522851086,0.08309707121788759,0.033554101271503864,0.06316753966915052,-0.04612446631011783,0.023888047432678052,0.0552031883106388,0.05711209729726309,0.12917743277265284,0.12635674645704242
CSF3,,0.10626208197300721,,,0.026711126311322556,0.10242834010157924,-0.10025637620330828,,-0.011745572971346317,,,,,,,,,-0.17815989299909255,-0.09842385256985563,,0.027451886637423404,-0.06883006776067897,0.008674301016564008,0.09013528385144298,
PI3,,0.0142353046988947,0.014041898559329693,,-0.01771311920020557,0.07760398918391788,-0.05804275812737519,,-0.046684905550119164,,,,,,-0.09017710064794558,,,-0.24881174993959174,-0.21963390401820565,-0.005070486228102823,-0.013876049220614453,,0.0473857135991535,0.16001264378198474,
PCSK1N,-0.13717133518740507,-0.22002724972936094,0.036819921781248474,0.09019335904183957,0.13679564918774964,-0.07522505015946161,0.042893579867504646,-0.0773126690269625,0.12854965282734074,-0.0454788677581164,-0.008814653012830019,-0.11489751425569156,-0.021466555319928613,0.007471781987590234,-0.004177801044089677,0.008805829993170571,0.019647923654961392,0.05098621630300929,0.015021902631130178,0.0037003973098637317,0.07273901224607542,-0.10255808355215443,0.15247772606247895,-0.2620516214195193,0.006468182320348314
NTS,,,,,,,0.005478930604120338,0.0011655895462231159,-0.021113330790051153,-0.00046082564069572905,0.0002943132916351349,0.05866038216485062,,,,,,-0.086429772481953,0.009168104490653091,,0.03346988450721417,,0.08251664829519126,,
SFRP1,0.04918678946642809,-0.11595687395803322,-0.01953904122468894,-0.03269441326376183,,0.031664664973673144,-0.03036362386228198,0.07955448018140664,0.02035195559993271,-0.02541213723287726,0.00775833208938705,0.028729979867360613,0.05186540779063338,-0.09209967220138328,-0.06797704711921886,-0.00977340936736113,0.006622046276767232,0.07214196464668164,0.09673066806795504,-0.003466272658132779,0.03908835672182112,0.0376348481793439,-0.10744164978156084,-0.041070691900099,0.03854554810094695
CXCL13,,,,0.05279597429607247,-0.04876617227217141,,0.04306922576291056,,,,,,,,,,,-0.056601812612091996,0.009780603573727929,,0.04082006041999451,,,-0.018445912028260562,
MICA,0.039387094908484355,0.06587440200824948,-0.06730378586161061,-0.05688295589293355,0.0700359304880131,0.025923539907483636,-0.07274202273521382,0.02178215255865374,-0.10224366405005118,0.007901736347825027,-0.044165967530047166,-0.0249397962158725,0.0669606094848523,0.06112400799927969,-0.05449374874762789,-0.05762124728157289,0.057087949538083806,0.03581099768853953,0.108108464553207,0.08957726913980302,0.011577918068307365,-0.0318492795158876,0.07360233215891206,0.07851415635259518,-0.016312925786803986
TG,0.023364877144112298,0.011290458589135514,0.0029655792032856998,0.01274860130569031,,0.07187311531207581,0.04150190934230527,-0.05709866185664697,-0.04476257581090898,0.013197671937758405,0.016900778250022425,,0.033950350327364,-0.0006564641064481734,0.04563532637172528,0.022995950417915707,-0.015084397026031671,0.02428071159424619,0.07368245268286636,,0.011864206059493343,,-0.0055998531404151146,0.05353877428879857,
ADA,-0.017977838243371774,-0.04939765481899206,-0.06256052619464006,0.002299390930832262,-0.04304829833592961,0.059036253585896176,-0.005351245808924255,0.07861741296076392,-0.14883462879450818,-0.017971977392149584,-0.03314861091104522,0.13348649571261353,0.018590041803301236,-0.04391984298834772,0.026216777118451377,-0.021395606909778157,0.17438204644569263,0.008840394371226351,0.08223457006356227,0.05274266545442853,0.007592105773234315,0.014017860502786843,-0.08874616759136542,-0.044888875909320405,-0.020277036064156
LAMC3,-0.05994128193904383,-0.11227529472316407,-0.05932570156225509,-0.060598510829048935,0.20964641538663556,0.023250404019654704,-0.029668406725602593,0.16137116186802294,-0.10626148038718386,-0.004916057927506097,-0.015073027398349046,0.03637738536812024,0.08159193904095093,0.11384849309141548,0.11982491288764095,0.0038726950414942297,-0.041561020562022905,0.10532037018645224,0.1026041571697263,0.017334432559075585,0.0028493439871608668,-0.00913166915137203,-0.20867528539307575,-0.10540048771956921,0.038723834101687726
CCL7,,,0.04136040706443121,,,0.03466545069064145,-0.00400203440249946,,,,,,,,,,,-0.11366427370742606,,,,,0.017832862422913015,0.1709069119436376,
NGF,,0.012580510629217318,-0.017045513551071458,,,0.018070533179430002,0.016773310190078775,0.01491271904320508,,,,-0.01432969138831421,,,,-0.02216463568218099,0.02947608310046287,0.06540375214432585,0.06741279403255661,,0.0038686419963276995,,-0.12417756811786033,0.018994638716501103,
TNFSF15,,-0.06948855660286289,,,,0.03249824420149862,-0.044697049850868524,0.09845866433066561,,,,,,0.08664570095088643,,0.018760792220680625,0.10725579368685108,-0.01758442229108619,,,0.006428158538477511,,-0.04941473347775452,0.005617031847112772,
HMGB1,0.08296267236187516,-0.19515859560313434,0.12700777399216598,0.016012916066526776,0.13049762799129902,-0.042966744323713384,0.036729213830712835,0.21313498885232882,-0.13338936157484316,0.019853389604468905,0.02527536937176872,0.08647549035883711,0.06790723467640325,-0.05367797950208509,0.10254616156544905,0.040877352754085064,-0.0035968343685056823,0.050884202264658784,0.028172874517000613,-0.012563866116381116,0.06909741405168215,-0.00931697537986529,0.11259349370042647,-0.0016645758679555644,0.08139416897716274
ITGB3BP,0.0012039163950550973,0.2528019912851119,0.04699119424764377,-0.01689838030156511,0.03255270279157289,0.02031494174323221,0.022057609473800314,0.22409960788435712,-0.1333009929718312,-0.009717988109299847,0.04112135677613831,0.060873764703928156,0.04676228627649994,-0.021680817938880197,0.08079126438226233,-0.044048506314153066,0.04535579781262818,0.040180983070873845,0.08575077658419897,0.017164892965306273,0.030795323195794033,0.06793308819741269,0.1729747718123474,0.09761022489236915,-0.007374347373432948
AANAT,,0.07642764815591996,0.020263340740560694,,,-0.007894853150009866,-0.035206422210537214,,-0.00022512468633814763,-0.0038277808762043775,-0.012791247562294968,-0.05221401200003842,0.032636839784145374,,-0.04628974755173933,,-0.0008461432667583215,0.0505305628063113,0.078245864256811,-0.008230178131255511,,,0.05934886147012172,0.05265790577980344,
RELN,0.020032579855642406,-0.05164873187265141,0.008170854921060629,-0.01901615929249018,0.006276982486409243,0.02421240888323293,-0.022401075949508655,-0.05761024949259701,0.14938573154842383,-0.0339319081327931,0.02913119069844475,-0.04245362534118184,0.014135271757034034,,,-0.020570272121288966,,,,-0.010023989028880435,-0.013882593816501783,0.07059211667941553,,-0.01605142721515591,-0.047705991893891124
IL15,-0.07344258382896242,-0.007371634805773883,0.008598156696768574,-0.02357198638820188,,0.06377729620273064,0.026528516265521277,-0.016362759691301482,-0.03632688301611059,0.009866264182592871,-0.03607981833317645,0.0309994562872788,-0.003768359766707276,0.08802050065826557,-0.03370628099509949,-0.02424116975447492,0.10686918005887663,0.013871481916356227,0.029993420528230973,0.040816942329249366,-0.013790068318631799,-0.025334917076769378,0.040492444331639094,0.09064685095305973,
UTS2,,,,,,,,,-0.09220351147825298,,,,,0.04560859006166673,-0.01298679079224642,,,0.06521594575396247,,,,,,,
BSG,-0.12044589698330466,0.26943862263655566,-0.044841628964130735,-0.020217471349763694,0.10588868376442669,0.02144655593493887,0.026161159079397953,0.12288255227429391,0.019694794916657297,-0.07208603708362461,0.06773139050687264,-0.0760206041433046,-0.01126762111594347,-0.12088116494504007,-0.019505345912302338,-0.13904248714706677,0.13098773460894786,-0.010981460700292775,0.015187352553970263,0.0516544563186756,-0.08981791370188198,0.05639999594060227,0.09023915671920965,0.03989262027904839,-0.027486907938341756
ADAMTS3,-0.046722344883854676,-0.03435569145658624,-0.022367742708472332,-0.00046298205122062916,,-0.012984569172274519,0.027121584368706386,0.04042746956254615,-0.18539232019201823,-0.0029647752491891075,-0.009300326732583832,-0.0026573858489186805,-0.030943758327537815,0.0659651118877369,-0.04807204321932894,,-0.006716003535344442,0.06511279657606354,0.11716624942252284,0.0004315234092180621,0.022019269307254147,0.023136659914176006,0.17817676181040723,0.07390986617591032,
