,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334
CCL7,0.005744656751435023,,,,,,
NGF,-0.027090185779250486,0.048907397411022,,,,0.1783234937516005,
TNFSF15,,-0.0028643317669684414,,,,,
HMGB1,0.017113657216543864,-0.12014211074258048,-0.11877747418011975,0.0015151553285067143,-0.056030381787239965,-0.05580167350317253,0.028675451198358782
ITGB3BP,-0.0007245402270160809,-0.0634097872081208,-0.1121853001554091,-0.046569574291253524,-0.01520044160690558,-0.047248272028365804,-0.08875879629076722
AANAT,-0.0076571843673135425,,0.08788125822214143,-0.016970715866420405,-0.022949187940556472,-0.024491346500665805,0.06067087740375814
RELN,-0.006662745218637735,0.003028409260436662,0.12398659160684758,-0.021927145103296637,0.03386908004659313,0.021049155125651208,-0.026923837191645792
IL15,0.10056310069644016,0.009062916935853994,-0.038903385014197524,-0.022503336373588055,0.03432812619313937,0.014356627143929379,-0.022555255439744702
UTS2,,,-0.04919799872096377,,,,
BSG,0.008670794683635727,-0.023398217208775295,0.0628367300191234,-0.03297804201282701,0.011499125533259446,0.08556265763462194,-0.1053803852728085
ADAMTS3,0.021883852198252736,0.027079936739184848,-0.1069557068203481,-0.06052582643497749,-0.023061838600699967,0.1467214772124977,-0.008279043365907528
CD34,0.011121876702789413,0.005057535129986038,-0.07718975735953014,0.06957654435364824,-0.02238330080933051,-0.001665399554110232,0.024039914459316525
CCL23,,,-0.016970460601498722,,,,
PLAT,0.009553305265018477,-0.09574803383877238,-0.12315754011733207,-0.08775635285024716,0.06699934131057834,0.05473019403727774,-0.012519275205007119
NTF3,,,,,-0.029492865781582743,,
LTA,,,,-0.016344568004555044,,,-0.02255525822397596
CKLF,0.0021571166761928315,-0.074863358945149,-0.12306048981846587,-0.004028606311206821,-0.03909677778254477,-0.0065520693339982975,-0.10348048598987358
CD24,-0.01596256143815236,-0.0131909188687626,-0.03853237071136923,0.032191767471232195,-0.11144837723528395,-0.0044080881085431815,0.01773493041558295
HSP90AA1,0.03554548403098986,0.16957013738663995,0.13452435284156639,-0.010042605301445667,0.03841137032821108,0.20480177125820645,0.1713059452872955
BMP4,0.05451465674685426,-0.04210724977787883,0.07845650041189305,-0.0010074372754164645,-0.005428228067473693,-0.03906422910324163,-0.019219409613714513
SCGB3A1,-0.0157780818843314,-0.007499897034951215,,,-0.01935786448674013,0.030797887674964164,-0.01573876090787532
IGFBP4,0.02259346898880065,-0.10574379198781667,-0.0314847923080978,-0.019867356712451434,0.05275746092764008,-0.1034227034282466,-0.06765783299556094
RSPO4,,,,-0.0190097276212706,0.05384229925894057,,-0.008549443838075014
LEFTY2,0.038032595121519235,-0.0281097075299422,-0.08718660094573583,-0.02198534653863402,-0.021226132056792624,0.05644700121637337,-0.027844214388622106
PF4,-0.016367227202379323,,,,,,
ANGPTL2,0.034294483040086525,-0.12562568283586298,-0.10648437798078844,0.05576260621515742,-0.0366444737685825,-0.09177071291924924,-0.12464484598757865
LRIG2,0.016969910822708236,0.01935511210560821,-0.07158389752877993,-0.01201293299273436,0.02364871836803586,-0.00397048140199868,-0.0451105051828618
ICOSLG,0.02574328658612969,-0.052258593852613965,-0.05863457418987162,-0.04504670715114277,0.0031446693527285756,-0.09283199607588469,-0.02295515714213175
WIF1,0.015703336662807363,0.07297384031710051,0.17776621863832973,-0.014669356546960284,0.053627595341140866,0.05005616326569567,0.08524185257469113
NPPC,0.054214090953931815,0.03947157008243783,-0.030059826282016908,0.07035264153141692,0.01570654006106868,-0.0478540690635422,-0.117792673779386
LYZ,0.009181661972941336,-0.05996321618563409,-0.037309888352538935,0.039077702111358775,-0.069865925874893,-0.16869261070694672,-0.03682450820215425
EREG,,,,,,-0.02679840116941635,
SPTAN1,0.051134422964039014,0.0557316302867543,0.038699366978568184,0.008470729099109198,0.008994606609709988,0.15364023745195968,0.0945536030068633
LIPC,-0.020037788136139448,0.001567166121313519,-0.039008958039139834,-0.01847630131747362,,-0.036306620176040534,-0.03543220142327212
COL8A1,0.001517626151482504,-0.10747604538858949,-0.025213473422974395,-0.06533279518090845,0.00601320610826907,-0.08708961043873277,-0.1230460306135675
GSTM2,0.030525165437864883,0.06642751738005837,0.0846673914373329,-0.03088664527117003,0.02773024797921614,-0.018062004759694397,-0.022356430679685565
SPX,-0.010164450950109658,0.014434386918469624,0.05714189608975655,0.018454554550507044,-0.00956318137108809,0.07118291287021189,0.03880637009601067
MFGE8,0.01734360229310664,-0.04404546780805668,-0.027228317322967502,-0.0380563632246585,-0.05222324776475626,0.009466701484529038,-0.0656048998933673
TGFA,-0.03268969074753125,-0.047931242233363265,-0.058284708474440894,-0.015979811713623483,-0.02657770594072766,-0.04213745516180154,-0.04491877020388304
SLIT2,0.022010588852434572,0.07509833008488705,0.05262935909708774,-0.01019255851634665,0.015693263228816885,-0.02269638401776795,0.1999416488699809
PLTP,-0.036654526479624076,-0.07946750883442927,-0.11318301161869866,0.023131078808030572,-0.09730244917157337,-0.19312652225805024,-0.013925477325543048
APOD,0.02223208508194876,0.10447162919043439,-0.1321037806710256,0.002067576067688583,-0.03225208527133932,-0.11461709090022154,0.15476339560687963
B2M,0.008871525679450829,-0.12032875226773795,-0.16015995287939272,0.019086728679444998,-0.0787797062472758,-0.1920782440754853,-0.13343871390394677
OMG,0.018302705774313283,0.016189102400560363,-0.06896318541920851,0.02300211866717644,0.062122302140015,-0.004427505615962027,0.11993463596982815
CXCL3,-0.0404183748124424,,-0.019582172234772308,-0.0514599921640892,-0.02070882017039847,0.005853984134379133,-0.01624387037153306
CXCL10,0.0011913245670611894,0.022186606773406767,-0.09833020004617407,-0.021280902326463135,0.005947558297105603,0.10956200734514965,-0.025813475817191164
RSPO3,0.026962888299429767,0.06237373855195518,0.0228950779522949,0.0005917213298734473,0.02756379875551926,0.1093745347823757,0.06402400668642921
CORT,0.005264334685938881,0.013353841173510241,0.025406851245859816,-0.021607186574125022,0.04939236603794417,-0.03295084162772062,0.0815423273173379
NCAN,0.01044347680119798,-0.022280552013105494,-0.02042153676667931,-0.011307058996456868,-0.03407710946697212,0.09385039199725516,-0.11460264652750887
PRG4,-0.02372835322127174,,-0.021215498896268982,-0.024293677242506785,,,-0.019846033280025915
ZG16B,0.010102346152483307,,0.07959944030425596,-0.01298724301469341,,,
TGM2,0.04094201790135006,-0.04697538307945992,-0.06463872702812867,-0.04202899313693095,0.005139622442366488,-0.06352829794575356,0.04935888131295274
VEGFC,0.09664919160618483,-0.025755194413061927,0.0005212067570562431,-0.00126831206041183,-0.047183326001519844,-0.013008651825133546,0.012459707950291693
WNT6,-0.025457588860091408,-0.028439211068868323,-0.020862665115110327,-0.01892675563177861,,,-0.017676378702002733
NRG4,0.009491492259152672,0.023966323373702723,-0.026425249749671358,-0.024950596653103153,0.007440165528028426,0.013542768736828926,-0.023628266119916853
PMCH,0.023784668043194436,,,-0.01900972670384592,,,
COL9A1,0.07512491031981076,-0.09886250311026923,-0.04593913187225493,-0.02707558087118828,-0.025585070356422525,0.16078223577631903,0.05256595268800233
GDF11,-0.016873357939516383,-0.07307217827093444,-0.08247665599704654,-0.0076317465177588965,0.042704454413808456,-0.01053340441778913,-0.12910445645239715
SORBS1,0.05720403477276526,-0.04841385994196161,-0.033383547673479334,0.0229926144067853,-0.03160882432433409,0.004633316858366262,0.00922212753050318
