,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
CSF3,,,,0.04825507525045329,-0.017826299017794277,,-0.025385006558728572,,,,0.09420109490735458,,,,,-0.03547275737557267,-0.050512947760692005,,-0.03441182564185448,-0.03191920008154362,-0.023198309567848848,-0.0027610098052131137
PI3,,-0.04836078202031442,,-0.019347661631386792,-0.011006100955869933,,-0.028583852430949394,,,,,,-0.031085528292970965,,,-0.102444702342369,-0.020560862542139152,0.032820717490590005,-0.06536322526803788,,-0.10009820430626036,-0.07861561312448719
PCSK1N,0.02958518013473435,-0.03609758562622638,-4.465802208927227e-05,-0.023726671336818377,0.09296256228462664,-0.04549449315076077,0.03286328991250803,0.00043577657229726467,-0.04864018274056981,0.06701009015368566,0.08751273876759315,-0.025787907980207837,0.025368287848256992,-0.027077065450065253,0.019688281688672427,0.009063768375442111,0.012106377812275828,0.09170999497895543,-0.096075586750683,-0.01599637107335086,-0.1563582471030963,0.11821768382014287
NTS,,,,,0.00658610411304747,-0.023606028292608362,-0.031201226657761722,-0.009111604720089815,0.06293608065293207,0.013248548246429175,,,,,,-0.014924863061929151,-0.027895911331035236,,-0.03595293941279173,,0.022822252101889207,
SFRP1,0.009872580096531134,0.0004013188315041533,-0.0033514151335495056,0.02009600390143097,0.02829848483668696,0.024126158522477136,0.04094698712363282,0.03526037730166325,0.029000973932829993,0.016134822533442793,0.013886287258977096,-0.08588187747432938,0.14643548656977243,0.023374357271397438,-0.027734060532286487,0.03457351905921794,0.05760368341001027,-0.030969516956523127,0.04408158440060926,0.00131771762485434,0.0876047021507184,0.013208959972463831
CXCL13,,,-0.044954492706080665,,0.03118734552176931,,,,,,0.055218158214561656,,,,,0.03759365558152713,-0.028504055369050183,,-0.0779108610387753,,,-0.01750396681339554
MICA,0.08039717863128237,0.15077723514467206,-0.02417382951200211,-0.02127137438772246,-0.020473202110460276,0.05656362504585205,0.019086491062659784,-0.03449777392534958,0.05969376145257321,0.013649762948130159,0.0949767760130947,0.20189230174836328,-0.03151757411522312,0.0023507976527115866,0.05434449827336425,0.049293513313715,0.0390929319153393,0.05456679512312439,0.11246540941569413,-0.05309812773214691,0.1706567899832133,-0.026422125045574427
TG,0.04602932395473063,0.0007421636919160278,-0.025279935322006234,-0.027673936488408084,0.007265704713174474,0.07037079789775678,-0.005273086805732313,0.0684993480557341,-0.018957505242091575,,-0.038556265377305984,0.040075770984371865,0.019951883358915682,0.11345066168306416,-0.0036828843988063304,-0.017280641912370165,0.015063692626102134,,-0.014267333239449276,,0.0850004383146163,0.029063770095302616
ADA,0.06467322451205204,0.19558668225137948,0.05783441998331536,0.007113195469977809,0.018228794510094383,0.04650774484907828,0.04771989610161192,0.012944359035643078,-0.021113204788237538,0.00843752596527629,0.12314894848471895,0.0859093179020521,0.06819347050960425,0.05573783934429929,0.05681035866464235,0.040496452910514576,-0.0014318617571438673,0.08309900936581566,0.17178460260180842,-0.08006516176726244,0.31056260890867815,0.10079381767133257
LAMC3,0.043580351522695224,0.3371787420270086,-0.04495449287517581,0.06592695812849032,0.07560251904273342,0.14425265734517037,0.07848357708469132,0.06399053376801811,0.04720164972724416,-0.0124051984294476,0.044258737272696254,0.21180988026516706,0.25910420564704056,0.12591463261948446,0.22254098065686115,0.09280738138394062,0.12599099101256753,0.15676358515812105,0.22944557315864508,0.003202823425531808,0.29083515192707665,0.14307452434317053
