,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
TNFSF4,0.03870050986666099,-0.09511387303095384,-0.03847471362102421,0.04410842890425219,0.053474856815462685,-0.007743133969155218,0.0257964048678309,0.16061341003706797,0.11326206732250246,-0.0501062210879405,0.0360271879238181,-0.03183600161139105,0.07852389499352333,0.05267507395358805,0.014666467570533356,0.056629586589592884,0.017390218673109654,0.004514344819090301,0.07317355419803592,0.07949758109948381,-0.013131888012142245,,0.08645293497908282,0.04617018341174651
RBP4,,0.04640544012617321,-0.017218006212946592,-0.021865318080484277,-0.03038032337633038,-0.03040294374455558,-0.04941339889099256,-0.02278722407270074,-0.12758911202271653,-0.039445229361468166,-0.00557835920454608,-0.014142654462931092,-0.011119222424357596,0.18140281718312437,-0.0402335655046316,,-0.06883481354211089,0.02211018492288226,0.1755811667504195,0.013243813364427459,0.07738356041345681,0.10685668581124047,0.06110838218761312,-0.024446368256107354
DKK3,-0.019693449372758902,0.045651493238630526,0.035190331648002705,-0.046912504898409875,-0.0218455069352376,-0.029925080234867514,-0.02626608736653296,-0.13110972032949797,-0.1539995946774865,-0.10153650477239162,-0.0158070676813588,-0.04684969488141448,0.004510676523602447,0.019155990247435993,-0.035416757132894036,-0.046199198898795375,0.07063913824715043,-0.011602158070006963,0.05589725273756654,0.022412461205164103,-0.03108261794740383,0.009877247051076085,0.06328752837013488,-0.0981677843081712
COL11A1,0.0013353823462344929,,0.028721774458731322,0.02833889208091077,0.004667835345779351,-0.006078003844884276,0.1052299258747822,0.14346719981032013,0.03291754667839271,-0.04157514140305007,-0.026963408555507034,-0.03558876645156921,-0.02419444663671957,-0.015879428670308497,-0.08957589826000319,,-0.0445581583216939,0.09489927844296028,0.03140463889802769,0.03423216527804771,-0.01830262627330785,,-0.10187962119430566,0.07688749002522198
COL5A1,-0.05607470189931431,0.03413639591251585,-0.04936251639059482,0.015703533740610866,0.016841037007850074,-0.0020061153832578657,0.03647476296925756,0.11627941850722591,0.1043434337266535,0.010873077577500024,0.015424444369498644,0.009821497589894925,0.005936426983684453,0.10396350891793386,0.03356275850624235,0.03972719289169227,0.06980110346753637,-0.014031677291328473,-0.13011928588975658,0.057323791982838566,-0.055728610064868435,-0.039339961409602726,-0.02327733031869914,0.06772879143835711
KISS1,,,,0.0038846430654680968,,0.02205397495904993,,,,,,,-0.028514117309874815,,-0.03287138314864578,,,-0.03285007490041721,0.025873841581604145,,0.006086427494560855,,,
MEGF10,0.003037324072487486,0.08546318703774645,-0.01158031712425272,0.054988406975841286,0.0375125726934368,0.02702036434192133,0.07149204634353003,0.05311288323514598,-0.025885035952956836,0.023381085769468624,-0.020816464771786027,-0.001710020084949315,0.005681833716274971,-0.050642144242275276,0.057900687934184986,-0.002451933951922917,-0.06941562860720141,0.017748960403490045,0.14547306223621193,-0.028471808403802878,-0.01437626796148163,-0.1163798422977945,0.01974888676429117,0.043881871416437256
CEACAM1,-0.031843525423221025,,-0.000676747759965522,-0.018822267672374483,,6.578286525361457e-05,0.00805845712709828,,0.13063766739663807,0.008436730238007475,,,,,0.044028759680283656,0.0342857130466818,0.050960969482042914,-0.04599520791992106,0.16327861164259075,-0.03589651824474762,-0.024813936144944593,,-0.045656151163351893,
EFEMP2,0.007885750419730785,0.0045474824954695545,0.029829832414680506,-0.0144065529815046,0.00688195903490208,-0.029519554763791152,0.04373880047308174,0.09228947621230858,0.20280343392233657,0.05773864458586708,0.0636262268479919,-0.02425659995401864,-0.013019740302313667,0.1496997324206081,-0.032294871808971365,-0.01293828967325714,-0.02253076616768881,0.041604649021462416,-0.09987076918909173,0.028114012735047336,0.08130782610660976,0.017129482335287737,-0.00912771747168383,0.06437686161297725
IGF1,0.05815444116194018,-0.048622496290913295,0.05133190953091426,0.015830787178657515,0.010596515048579684,0.010819107002597684,-0.056805479235771825,0.01814972991922724,-0.018382651783565785,0.041695103216277805,0.012577888481838422,0.03997100705465361,-0.023207728859940924,0.014690520504767095,-0.05147802104420869,-0.012902648860124757,-0.07152891232557339,0.035316649898413474,0.07948875047031645,0.021088084977574688,0.0029536372068581875,-0.05143523293743274,0.03655321013212209,-0.065650762182124
COL6A3,-0.034486727966246196,0.026168677874506704,-0.013644469471685303,-0.0014551469723474446,0.03978391559767012,0.025573956457815832,0.0010879886057816551,0.0974577052409292,-0.00308434064001812,-0.035776845615676574,-0.023000411037187564,0.044660923116995536,-0.0061406070135810575,0.07822389298840056,0.0006210631478360142,-0.09076227410615609,-0.015759751329285553,0.04213157803476585,-0.045971594826103516,0.025955533558849535,0.0038874023484794665,-0.024563794623746558,-0.0037299102629967727,0.03197411266783311
RLN2,,,,-0.0181119844588411,-0.03943067492005835,-0.03402060397467083,0.014747821993149392,0.05570900247754438,-0.020451443900809888,0.030632977869076112,0.0014471589337121608,0.0398529482262554,0.005183508699110005,,-0.03909840098024796,,,0.05973149033998106,,-0.0016970700602150146,-0.03711353117181082,,-0.04827761888037436,-0.013449733581433799
