,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
FGF7,-0.035075204801037325,,-0.024734710793925058,-0.007524797299755676,-0.003217659965451157,0.052254071406931446,0.009664481866309586,0.0031179733036127534,0.029862135776956476,0.017725785247551168,-0.021183515644767656,0.026998350313443314,0.041566570244609954,-0.000623073796590669
EFNA2,,,,,,,,,,,-0.014422955901386016,,,
HBEGF,-0.010649500470243605,0.015081937373647315,-0.02103926002356025,0.028799550594882643,-0.030420433486680068,0.04134689917754678,-0.028753139899607875,-0.009571631174532289,0.0009826622377646784,-0.008790327595145968,-0.006635592055198264,0.016001969914173172,-0.02501256536664675,0.04550996937267793
CSF3,,,,-0.028829348848329387,-0.021487967718925558,,,,,-0.027159560124959167,-0.05626444407698878,,0.02110756409271312,-0.018896024653723316
PI3,,-0.020446232808865303,,0.11786456089470214,0.007528574521083509,,,,,-0.07836410165086471,-0.08347567449627605,0.025154312466025532,-0.04441866045720529,-0.028589248167526417
PCSK1N,-0.02513855999816299,0.005788785579599381,0.0037378370124372135,-0.046990445734403787,-0.0029089212502606994,0.05353383086001622,0.012604301053601498,-0.0005373713657677331,0.04469370157428171,-0.02587899711700863,-0.014062570590053159,0.13605123913395367,0.04890958226621054,-0.05771948338146566
NTS,,,,,0.009668673022549621,-0.022504665652827344,0.009248509720245325,,,-0.03323475762570304,0.028711811049062827,,-0.015957174151500515,
SFRP1,-0.03625595783766887,0.030731279045367727,0.045275593067133274,-0.006889010000091277,-0.017475660393788235,-0.04178644279625419,-0.015263944167396622,0.07661922168189803,-0.02433290797500612,0.05231201533128096,0.04762188275254938,-0.009198594499164504,-0.029571693417241578,0.03204815298328919
CXCL13,,,0.009150293720271771,,-0.01731860262462212,,,,,-0.03199974743177333,-0.025926881744467768,,,-0.009002716066917068
MICA,0.010526908336974271,0.00686762798387255,-0.01070394887962533,0.03238397704697471,-0.008503913817086728,-0.007486584341029663,-0.0031257127122369167,0.026226478161248477,0.08833108133801801,0.01887015854888426,0.04678609735179314,0.1005824992136477,0.06269990819436583,-0.015169854183875432
TG,-0.028857801636483577,-0.01894234059038228,-0.020805343024337092,-0.022775096815538354,0.04514327236423952,0.009877696663618195,-0.011046449997171665,0.013310113661703359,-0.0429268941482415,0.07339542345150814,-0.021641389144647874,,0.06609057039431272,-0.030121817285567346
ADA,0.003949263950370314,-0.011356539095183962,0.03154352052931449,0.06208654939286589,-0.015057151319696378,0.02398469332183014,-0.017940323151506832,-0.051375829374052585,0.04353022211804911,0.012809661984916183,0.06220571379106647,0.046380327854992666,-0.05746180885212426,-0.0241043208569854
LAMC3,0.029693146763328328,0.03207484727121515,-0.0003636915944310347,0.009713556917921886,0.016165380438765545,0.01972214321501644,0.047522582423579415,-0.03360809535742555,0.09689712916644903,0.051040931633133634,0.030638289380545528,0.00957074814868905,-0.0024941710755844696,0.09726081993340202
CCL7,,-0.012362176908202538,,0.1397485613805826,0.008671378735645554,,,,,-0.021351677529509835,,,-0.021423639096368213,-0.048004652789819455
NGF,,0.01223907216235403,,-0.0298983177397373,-0.024508765455127465,,,,-0.039178694720970415,0.028984471498277948,-0.014229087109099769,,0.015746306909483608,0.0015353415708388768
TNFSF15,,,,-0.018336095670621246,-0.01700044609214037,,,-0.005591389824010413,-0.03956716916873402,-0.020815488004670618,,,0.021536571142283033,-0.03729510715971726
HMGB1,0.027834079324830188,-0.01777308732308644,0.02817703550502172,0.005682848294261342,0.012978282349336144,-0.029030594560036975,-0.011055271777123277,-0.036409852528326944,-0.0533398741702184,-0.043090827238049925,-0.004618806923421671,-0.07158707288192914,-0.0671608446119047,-0.011427920770115252
ITGB3BP,0.05398774009364169,-0.030887499109106632,0.09641582013601305,0.061722417115971984,-0.04465106514006804,0.0664604656129279,0.004691638924017841,0.051247040819056414,0.002243272497653957,0.02855674457154553,0.058487685005234574,0.009377419250930582,-0.01887761163458611,0.004839153489792767
AANAT,,0.0012643319510769718,,-0.016683973543963334,-0.015318418653539428,-0.017095560097849617,-0.012733419854486866,,-0.0274592995980261,-0.018731445887916552,0.14879149712692546,-0.0408526263786542,0.015365087657931454,0.07583726329623292
RELN,-0.0034452599895321585,-0.00183730944143067,-0.021213030689521618,-0.009318241598636182,0.04981568981488492,-0.029781686626082302,-0.013962523961886653,,,,,0.019199796838589765,,-0.06197183664419089
IL15,0.12780521965556824,-0.01181726021950459,0.0353912676275054,0.09211777563282178,0.027912829354911156,0.016293270060355008,-0.016174108358410134,-0.003785602532727634,0.08396522471387773,0.030192576492686484,0.04993102456979381,-0.029246963180387366,0.042564532275526194,0.08374656530881935
UTS2,,,,,,,,0.15131775083279037,,0.17851919771823135,,,,
BSG,0.03897236801499541,-0.008103936797741148,-0.0466887678730646,-0.037310181098141354,-0.06975555816192974,0.030064808890868374,0.04187984384706511,-0.018400240578189515,0.021650125387884,-0.035987005917251035,-0.00713758352361012,0.03537855989542215,0.017608312252994262,0.05060717926131813
ADAMTS3,0.024546189656565742,-0.02780086464825111,-0.03655649611453418,-0.05234960998018035,-0.03429137481750241,-0.013664919886208942,0.04024781182416442,-0.02065319413577527,-0.03287971579605961,0.0399066869371458,0.03396217641452321,0.08821680095675122,0.03420408676045669,0.15103460052452536
CD34,0.01556884354723173,0.06690041965891848,0.042598364625709,0.042398079704308526,0.026835351165909058,0.10639818917668661,-0.023823882808751178,-0.03119054842672823,0.0021007621488566973,0.015226729620330023,0.0345336084666255,0.053174173420986334,0.00036668595614446683,-0.02535329732182426
CCL23,,,,,,,,-0.0009384505213925125,,,,,,
PLAT,0.01725808065064937,-0.03142151347672032,0.06433523019741821,-0.032522817179399935,0.0993072482867333,0.044671573850755854,-0.006498077814129934,0.0030386558283390175,0.020054313644989413,0.026552406955528966,0.09087984959754915,0.03885211665550472,0.012752642236649715,0.04801158146296322
NTF3,,,,,,,-0.02055477726003738,,,0.11287425893875234,0.11699518304223144,,,
LTA,,,-0.015300314656327689,-0.021104496825851093,,0.017098485501898495,,,,,,,0.024556486963641364,
CKLF,-0.004022483299979585,0.03870272603572871,0.009097740675867338,-0.04856852849109777,0.018213778002370725,-0.015613608781275818,-0.0036479401182898876,-0.0046990569025628474,0.12690613573833437,0.05277368349305587,0.09112274363729778,-0.0060496920519942324,0.05478999773634175,0.026772693565788618
CD24,-0.007026978001923439,0.035623125957146645,0.03264854648227095,0.008295149190939224,0.07088550080094753,-0.00957794604893336,-0.0014727441032154978,-0.05145808390204062,0.06013440364765279,0.061530661433349045,0.06208054443090337,0.017880225598445175,0.07929791971349558,0.04349566159423426
HSP90AA1,0.007888078634807366,-0.05657524129317701,-0.02955080049868113,-0.032206550195747786,0.010066846060681723,-0.043102746598767075,0.030947247355967704,-0.06572253276635848,0.016825443075657115,-0.12151662087598708,-0.10275185405821237,-0.07131507418994121,-0.1257079560045336,-0.10000506872430391
BMP4,-0.029698867326410413,0.011529309087338246,-0.01621923044023961,-0.049239324584876794,-0.017516743381512184,-0.03479456573156458,-0.03257262960384166,-0.012228345027974192,0.035129489899447294,0.04579207601097648,0.09710301987241124,0.1107527512736055,0.019177439688805212,-0.01646436118190459
SCGB3A1,,-0.012362175672001366,,,0.002210874194143476,,-0.010740764188885109,0.007195806321211709,,0.054255821137658075,0.03332722308981418,,0.013460678657956342,-0.017016477506853533
IGFBP4,0.0719907211132957,0.051188926268174555,-0.020192414886614014,0.030820665531761444,0.012052998852256459,-0.007272981693360175,-0.03480136671332268,-0.048973002068776736,0.024137097531448246,0.0077986133840462265,-0.04936175469658801,0.07088310594810925,0.008823334891445616,0.0654924302929342
RSPO4,,,-0.011057716872757452,0.00688602287308941,-0.021054632167935815,-0.019149571741768314,-0.010740762617805374,,,,,,0.012637140425195816,-0.02594545632907937
LEFTY2,-0.028572476518898316,0.02361776966299531,-0.015488225799328414,0.023475811540394857,0.015146115396186712,0.037557514197670235,-0.01177737757283666,0.01833688880289248,0.08493287086414278,0.028367631728199345,0.08085418280868789,0.09209594076209687,0.030955583923020422,0.03271474489380443
PF4,,-0.012823772840240057,-0.013917715710191264,-0.014366573479914059,,,,,,,0.017493575261747843,,-0.030506498339872543,0.07594496024512183
ANGPTL2,0.014309930265956101,-0.020038463766383387,0.016683356704453495,0.0015204318362877069,-0.018981248196558387,0.005528091076445425,0.013700472534020331,-0.04953406148335302,-0.03053766180755325,0.06998897926691691,0.05676327500474712,-0.02255096171563258,0.022842885397052478,0.05962370345761473
LRIG2,0.03174089713991345,0.024603607707418318,0.0019876558458595864,0.005122402786255195,0.06629162109374324,0.03121340429223973,-0.06505001048857173,-0.019443368769638314,0.004047246478418652,0.024065398086932477,-0.037913005558074156,0.023255313270817687,0.025185299149031927,-0.018056128213249173
ICOSLG,-0.0016289849892734123,0.014538502877422548,0.016722966373612466,0.00969863651019489,-0.032549682817324684,0.01852504065228001,0.007545749850742318,0.11914610236205417,-0.027262759069620533,0.04463822745079035,0.07542198232046868,-0.03237910523252451,0.07434039453994841,0.03891147938461625
WIF1,,-0.02307429775698198,,,0.049362127189914666,-0.014777270942444923,0.08082014229505705,,,,,,,-0.03729510409909357
NPPC,0.09024046289345711,-0.018853626352055522,,0.004706361619786602,-0.015167443677717699,-0.028825760326604125,-0.014927031546019529,0.03689710398295685,0.10309815495657766,0.0403977677984222,-0.02501244064314227,-0.03875722823131621,,-0.04884457408078743
LYZ,-0.01481989445072206,-0.001987880322220359,0.03970804662308147,0.03306528823226365,0.016066890775040144,0.001662510184543469,-0.02611241753381448,-0.012065774538453308,0.03559837639093542,0.00909516105923282,0.03013566569148364,0.06515361336014525,0.028156334350655725,0.0037897642171881517
EREG,,,,,-0.02962886308219814,,,,,-0.043340076801991236,-0.003376170597016822,,-0.046071878909694323,0.19278829279698828
SPTAN1,0.024908737408102646,-0.054576309869101385,-0.0184371025659234,-0.02729258755284496,-0.018548326188937096,0.06630541187250943,0.050169402337701126,0.04887378905237059,0.04848627040066945,0.05825059518855986,0.0008580410930012862,0.011565454410095023,0.015704664678433927,0.016422216874643177
LIPC,0.015122269952553762,-0.015699668618356737,-0.02094690597021709,0.018325359955324406,-0.0027343746397936494,-0.02036543788689127,,-0.026376964184020975,-0.024592321948339838,,,-0.04757254259222469,0.14593150004107242,0.07847444750949502
COL8A1,-0.04922781193218292,0.021623786944416624,-0.011215453261153313,0.08013500922670386,-0.020441180604204502,0.011701645576543488,0.0050017955475757415,-0.011772788026448445,0.06672545033539769,0.05441750603071146,0.048213965730785895,0.04759130112109569,0.08484245701375377,-0.03604917877147279
GSTM2,-0.004849151277609315,0.00393923340236356,0.015061917974467433,-0.019426442104473588,-0.002678162341670524,-0.010927274904727289,-0.013510819162530632,0.004295799841296863,-0.07381118247399522,0.05306597412622075,0.07391567239799986,0.1416476064937571,0.022470116077216846,0.025671264358913096
SPX,-0.044269303802645085,-0.02539173361849476,-0.043495434137346856,-0.012364407486449005,0.07682231483351804,-0.010366847472182628,-0.009931908621396358,-0.009503383657837839,0.03252851121623624,-0.021527744837558795,0.008285753019825887,-0.10837542722023369,0.015260578870868208,0.03039522470066329
MFGE8,0.014386124850849401,0.0047851139171738956,0.02766877077349959,-0.036926086780078915,0.026387171831682876,0.023831682402816003,0.005076159810902064,0.001603173137576589,0.008627453438097989,0.02952690076866998,-0.017483158035402766,0.0333685939699538,-0.005801796382327181,0.03605402739828327
TGFA,-0.012141858687266291,0.031903804329713674,0.005888488066215353,-0.03621407584673989,0.025175122839929395,0.03297505057964708,-0.03584212724503901,-0.014263056357823064,-0.004723965267561046,0.04739995445638899,0.0004085726500528342,-0.061289269551443315,0.04259083322092869,-0.0040247871618158855
SLIT2,-0.013740007474744359,0.03223671561240935,-0.017710371242451648,0.02058244143785621,0.02208092322476233,-0.03169282507783881,-0.013837735924975647,0.01231595178658234,0.15360895056455678,0.03631890828577723,-0.0020651579303704527,-0.018665234633733055,0.02953983380850849,-0.007935920682756236
PLTP,0.08048970161216956,0.041196271931183186,0.02921078649425086,0.027894538853809336,-0.04340369539166616,0.057531705567120894,0.007590641585875374,0.020128846026069364,0.05605847372265291,0.03582891251144373,0.008344566920212465,0.033405902136449825,0.03734872961754628,0.0947435975185808
APOD,-0.018914846392529095,0.03332275968721509,-0.044537914921245356,-0.02505015553523735,0.07377245329795516,0.010682926969204651,-0.07735703686505943,-0.000590911479798053,-0.05763246720161936,0.12415761777596494,0.05782276559338575,-0.06989489734929646,0.018690103494298737,0.0833971320628587
B2M,0.005909817098222232,0.06919141154193197,0.08371330794709095,0.06338010163676339,-0.0020855084164857762,-0.027432549440938096,0.010037295241410693,-0.025809823771933745,0.026940853530191645,0.08077452737093924,0.12910519063407377,0.09405304215801585,0.020814999549359035,0.10756599901674328
OMG,0.06691597097377625,-0.012366479789246041,-0.03231247277808254,-0.037544642651164854,0.09705301914166885,-0.004087585570357458,0.00276268410798712,0.03193952099670406,0.03136893827027054,0.12440175503343391,0.07994469228521027,-0.05815245599166152,0.06017429417621505,-0.012374477019141478
CXCL3,0.058189478259521074,0.013662406870497612,0.030072279820728288,-0.023601045331035186,-0.06962332537331664,0.026900195890281867,-0.011490345654224307,0.0027891714520098445,,-0.02655215572827021,0.014230746221981165,0.08170265798908825,0.014210082464805866,-0.02879676709375067
CXCL10,0.04216264494697558,0.03835008239684658,-0.022665123557363068,0.04166606681286242,-0.041743127704075185,-0.014879910744598655,-0.017454676046707224,-0.05277751723348397,0.09860493273664085,-0.022048346204535173,0.072929135905258,-0.03875722401710572,0.09051870031255747,-0.025472979168156863
RSPO3,,0.0632944994108571,,0.0006248795982250199,-0.020384336764814423,-0.019019853858744225,-0.01776055607206565,,,0.0212390791387099,0.015756364484435532,,0.11207842923403218,0.007456177929945446
CORT,0.037737336534055664,-0.03665827102633557,-0.02485615892472273,0.012463286350675267,-0.024739470397317175,-0.024064488306779264,0.0029513633419804303,,,-0.024346562832979517,0.01584479353905391,,,
NCAN,0.003043961619762808,-0.010157824605040762,-0.009323296541645371,-0.026582328216827364,0.14008679719618805,0.043017084054150334,0.03195018743037116,0.031527070412333214,-0.0632745981712953,0.07896168791112247,0.07273596824785057,-0.03710176071731201,0.014321469868554228,0.03966377602410899
PRG4,,0.00021129901926921144,,0.000794066730476166,0.06076236016523927,0.020067065319326036,,,,-0.004019072612098317,-0.02041243972408969,,-0.015983117666285965,0.06309764332129751
ZG16B,,0.023139931042004343,-0.016747708829954827,-0.003273650615818946,,-0.013082783025221898,,,-0.03052554801733648,,,,-0.011163284183719082,-0.017338920563007964
TGM2,-0.03751797972784366,0.03574397534509666,0.040253205760690254,0.05801754356328969,0.0011699791904611595,-0.012352088863739067,-0.03874814986750224,-0.040382532192565344,0.020713281075280178,0.02224939890294825,-0.008939924891962296,0.05823838267149499,-0.010414581081734426,0.05793528469555494
VEGFC,-0.028857809533249068,-0.023605274859574265,-0.021504703083968308,0.022254293825798382,-0.02246671362837496,-0.011765193298071476,0.00968426399949944,-0.04243070070745649,-0.0020132161379751456,-0.027478382379040447,-0.027717650673440605,-0.011330223700491124,0.0013173177682977422,-0.04233119225489343
WNT6,,-0.019946099150782225,-0.015488226205809207,-0.022775097761172456,0.16046412379544123,-0.029115266990762785,,,-0.029029799748299032,0.038840009925755856,0.051869904890790026,,0.04531060864382818,0.009751718145689571
NRG4,,-0.011385998938017523,,-0.02004031481832642,0.04820073075244746,0.054793132394682545,-0.02854143381107955,,,,,-0.03047012629571392,-0.021740806931224238,-0.02694337773369001
PMCH,,-0.01312297652415215,,-0.017256750034114605,,0.009265708555559589,,,,0.05977495394884735,-0.019409391560330374,,0.007703631056733855,-0.03450487280767479
COL9A1,0.031802776864578344,0.08347298916997205,-0.0200165202381803,0.034790287685445224,0.04801779215016907,-0.010480685882713827,-0.022752302002882047,-0.04825078447959333,0.037906567056769494,0.06733880292012967,0.05308924355470118,0.062245797489720735,0.052202215005689535,0.05114758715166257
GDF11,0.022349803536221912,-0.020571631177522372,0.025795593655360317,-0.04775646660115291,0.09744260143678211,0.05990995298318074,-0.02045090960271067,-0.048915430249141835,0.05236129753487471,-0.02471599648022131,-0.028865262444554257,-0.0014524990062159719,0.04899929145077919,0.07474463311505364
RAET1E,,,,,,,,,,,,,0.046191757550366565,
IL24,,,,,,,,,,-0.01618086883163135,-0.013008857230453781,,,-0.03012179998877905
SORBS1,-0.02796954627134221,-0.0017961148542090324,-0.022295648813412446,-0.036607508288481985,-0.044785563126879084,0.019268056675175806,0.01851386589096919,0.02560964324937101,-0.002065760684865304,0.01774115768070728,0.018011045378459285,0.03349143880267465,0.009377950032460414,-0.04453313706607613
DLL1,0.060756021245163855,0.032655740359366234,0.011566324245141217,-0.007993433787775766,0.0022247779362438848,0.021926750582403388,-0.015872043222088857,-0.006580649099871445,0.007128332276722846,0.06285537122108037,0.10286098247757176,0.0027505411777507816,0.042771552747029803,0.06213866380243566
TLN1,0.004008420112353245,0.03643529185842998,0.014203242392534485,0.02469502156961597,0.016304157997997056,0.09559923154896263,0.019242822656767182,-0.09648959386657158,-0.0821753734426313,-0.02235388731323129,-0.05565329120238139,0.03762659832629295,0.07333025270517787,0.05141972928147698
COL2A1,0.0813420578926005,0.021011111495788718,,,0.09784897140404564,,,,,0.0035557321464456996,-0.021505200239092272,,-0.0049402922649814515,0.05712120422821238
SHH,,,,-0.017111252808127992,-0.03304625235244872,0.04941644740726595,-0.012332312822674956,0.036156958682798654,,-0.054106853227080316,0.023023080751579144,0.10577761865226386,-0.012688597338957957,-0.01549120007868773
PON2,0.015568271898557407,-0.020163394112948953,-0.006017170653128082,-0.04915923499964611,0.05870979210179291,0.002263277500929881,0.027366475238768662,-0.019883213567130374,-0.014678843572497827,0.11090890243863642,0.0833030924414435,0.0662322690907753,0.08449579513557814,0.036778920724446884
ICAM5,,-0.011770006269911048,-0.0199368255309636,-0.026669101992824247,-0.02355993800628701,-0.02933465054843654,-0.014185067916389783,,,-0.02332654207053588,-0.041519508439286895,,-0.008804659378879252,-0.04044641880966213
HPX,-0.030787927292076557,-0.03089105679333672,,-0.002832462011067827,-0.01704263502748832,-0.025674150843969335,-0.010740763093890068,-0.025635753610066956,0.01083411582638588,0.04501842366535234,0.10812954060369623,0.11825959785540986,0.021953557001502436,-0.01885698672024349
SFRP2,,-0.016435545500382648,,-0.01948786260438123,,-0.021397725825833422,-0.03818886615524112,0.02632398453929938,-0.037057762856634716,0.02103419808792316,0.05658467186490497,0.06021176690598231,-0.03687544863737164,-0.012389665431374574
CFC1,,,,,,-0.016464807005278356,,,,,,,,-0.023840649955029377
CD70,,0.05545278903808075,,0.05639151767396391,,-0.03071262992460391,,,,-0.009858367865995088,-0.016727036479309402,,0.03179702095666674,0.04103535519333717
HP,-0.006281439869482019,-0.013654867967423169,,0.0069473096197318045,-0.041509567558123905,0.002561744957065187,-0.03655978408580708,0.028866243840679175,0.024076878558164098,0.038752012808698055,0.014398166803709148,-0.039024386509310824,-0.019372481911678473,0.04665909602563924
CXCL2,-0.0037392147821842807,-0.07564415220438764,-0.021849232180916223,-0.07028910970671519,-0.013867670024452885,0.003197452060615744,-0.01492703037778395,0.0834939759491604,,-0.008187673190333077,-0.007851837181056667,0.05416172108157207,-0.018219503495467054,0.02165085737083973
NPPB,,0.04958455025578036,,0.021654049798541644,,-0.014417254615919807,,,,0.013538895926183549,-0.027306031960510783,,-0.022053627353267123,
CCK,0.017312235452028802,-0.06911120527371203,-0.011028540293010161,-0.04139718255037918,0.08945248638682045,-0.052401608081816556,0.02274461400225292,-0.026376985473842,-0.03799281749184637,0.05130376028112779,0.055942615892057276,0.01931412222885381,0.0006808396806518268,-0.013012898441684038
SEMA6A,-0.03662202756376253,-0.011925084691093341,0.02378136135824155,-0.004101349490523869,-0.0028531515465424024,0.047095343545050225,0.0038977668135050233,0.06724021309912491,-0.0017175697252877346,0.037738745146561524,-0.009761808645350561,0.028397747337099426,0.03469624657585632,0.06648823426084949
IRAK4,-0.04574189256376041,-0.026876532632995036,0.02354410341415745,-9.780941932426739e-05,0.01534248772536052,0.03995795006123145,-0.009754576377506307,-0.0003661410626013409,0.06629499326780394,0.036197244251614275,-0.004491219364831757,0.06972865502912484,0.03411159878174684,0.06908043940988948
GSTP1,0.007577315984319926,0.017174832870272827,0.012664628424686271,0.07493715590599187,0.045739905538262716,-0.04605509824333112,-0.041791136061137865,0.025547556652905028,-0.049443129221542995,0.05997905568760679,0.09246911224939101,-0.006752318111064062,0.005731487406936418,-0.02546777845032626
VCAM1,0.017732543776578628,0.07943075182174188,-0.03888177572991542,0.01061399064179718,-0.02760041122550396,0.0015851852653019395,0.03143343275792984,-0.04361112910142814,-0.009969599288817601,0.03611053132519015,-0.043736622841788086,-0.06580734859601843,0.03595800251091644,0.02832970450123057
NXPH3,0.023037733741731337,-0.004439241395155435,-0.0056005603269664314,-0.01568908126907929,-0.03196911350182998,0.011967277521077993,0.006861449345717005,-0.007757639968313353,0.014808722859923342,-0.007592930197697384,0.03954572118349088,0.027898773250574698,-0.0004758983566167234,0.03820001858137818
MTMR4,0.05789215825867523,0.03465743386453061,0.011177909953272383,0.020487281321469618,0.013217344951925463,0.03489792837440976,-0.0008657277547431896,0.017158752113274535,0.025563041963890813,0.001957424005503745,0.06477506903311657,-0.015738618778920563,0.019941289448700567,-0.01451824642860499
LAMC2,,-0.01251782880642755,,-0.030326767690880708,,-0.0181497151121785,,,,0.17490798908185648,-0.01708427975888007,0.004110856845071457,0.030317293092356028,0.0728737875869045
IL10,-0.029974477136891498,0.00176638335683398,-0.02218412228872318,0.03457508811760456,-0.04040861082590197,-0.018746529673188597,,0.013502213262544326,0.04631754227438292,0.023254077387762327,0.013274332470925522,0.05959433396573123,0.061523077105446404,0.08750493857585151
SEMA4D,0.03164588870465421,0.05288269268724282,0.0076777220193986985,-0.03186472182774807,0.020595064581197635,-0.0006682272637606798,0.0025751029184516833,-0.011063553851953784,-0.012496189205919437,0.0766807266351374,0.06916218634700491,-0.08402126749986998,0.030098931617703623,0.061423525613438036
