,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
POMC,-0.02811490914308677,0.030317905869937826,0.045436752035597376,0.014216560586388816,-0.0018633556079139324,-0.00023357364102608467,0.025877473352697924,-0.024557622669985863,-0.02730109983733056,-0.03844838383072333,-0.04063217550582599,0.03562632892196194,-0.07138912787868688,0.1073610845189489,-0.01966457170283871,0.07657431335228351,-0.006093518608272559,0.08565666476420537,0.0129891580976508,0.0036499002358525486,0.07441144627713199
CCL18,,-0.010367684634536243,-0.04622831090324757,,,,,,,,-0.06526272470449426,,0.011159616890351868,,0.07004992491590123,-0.008072370069586207,0.025621671565660576,,-0.04299319688648621,,
CCL17,,,,,0.0031911348489531833,,,,-0.020055640206378744,-0.020905861939651747,,-0.015053564484207707,,,,-0.023633447908149904,-0.045746468435669846,0.026873788977964295,,-0.025208467617365712,
VEGFD,,-0.030019728647744888,-0.00490946221234561,0.05795540412545767,-0.018072629203508463,-0.00024442970034937214,,0.008901904578755457,-0.031264771015581644,-0.015334702556219337,-0.026452246807801345,-0.01613337131684761,-0.0024235965225791844,0.15055049427964898,,,-0.03168997503081215,0.04472232232044168,,,
TNFSF13,,,-0.015756556058709972,,0.0691762952742495,,-0.004899401199728034,,,,,,,,,0.034370515163114235,0.06285493870252903,0.007100408243352333,0.022228001232116802,-0.04107509391719786,0.022102009913250707
WNT5A,0.025493612966258048,0.10193082505507575,0.021309362095701695,0.012379365806630137,-0.03335616037988322,0.014744609544167217,0.03867338214112395,0.10701904673246772,-0.01398578196425395,0.018010111336471502,-0.07909857094085232,-0.030245602562774303,0.10925577048777896,0.023115982306459733,-0.0028137017725129738,-0.039536744158060654,0.0932419573075686,0.01560983927260014,0.01599688339473873,0.034730481562233864,0.0004079794248279423
CXCL8,,-0.10951047885015615,-0.03982087094087646,-0.028177072391440888,-0.048050676931218686,-0.06947065931514088,-0.01883838693794414,0.026984765387906853,-0.03441056352501718,-0.014280341795385709,0.0238911508534414,-0.026755838974590943,-0.09364429064304101,0.040680607868200325,-0.02689509408209039,-0.06790842054156569,-0.1495734477371307,-0.05585785444523273,-0.05284236551636041,-0.040384683638063405,-0.04829550760058682
GRN,0.02381903221491344,0.08763532890458534,0.03775580663588333,-0.005461717579386804,0.04762222233362309,-0.04785830738896093,0.00462351740656508,0.16267740189368068,0.03607067373478677,-0.02919785173968355,0.012512820966603777,0.030295818803071074,0.14899028064880634,0.01658915218471758,0.08347890074853273,0.06437960247768379,0.02878885169419479,-0.00545542312594866,0.004191657433886741,-0.0021873320091591805,-0.027002873741958405
MIA,0.02304611327743449,0.04517214230171328,0.0009809466462704641,-0.02676239207634009,0.008664837758245605,-0.03603723059675685,0.0007393933736934373,0.1065850092334948,0.001275286995389172,-0.01743999469941152,,0.04107203094935573,0.018871691393882874,-0.09783691644876695,-0.05446554925090117,0.039952583657452925,0.030384330481631975,-0.05356994949249837,-0.031929045374564737,0.08160187166764274,0.08544422263062972
COL4A4,-0.015804904524472675,0.038037037259733814,0.03871553027810807,-0.012620207292818392,-0.007094566998654942,0.029192875285669627,-0.020566869130048834,0.07343136212238321,0.08615178708743569,0.029648282072988263,,-0.021433349349423668,,-0.04001838945086333,-0.01881027799385848,-0.004040047074154496,0.08270703354998431,-0.060604028343453346,-0.052335348921631074,0.05726095886501781,-0.001256572183788923
TAC1,-0.026443927949073204,-0.055877900771809944,0.05440865602478699,-0.005387056758069769,0.009230050285974888,-0.0369806436689797,0.030160033215650927,-0.15947179744901535,-0.004422418361383577,0.027125385594694146,0.08143122237513388,0.21008203693858474,,,,,,,-0.0018922801204101722,-0.020303824434015644,0.028537729093020107
RARRES2,0.017724164791491064,-0.018131355876027388,0.04378849108677689,0.03905260917408712,-0.10143141746842864,0.007127527203178106,-0.02514604522268793,0.13153590255903058,0.043054728546546635,0.06727695050948976,-0.03399487119961882,-0.012310256132333487,0.06843832055432177,-0.05295869561780173,-0.020416395806814765,-0.01220613528179851,-0.03923239562712085,0.0439414078632243,0.002899126039807339,-0.025398116130356266,-0.004335282450183375
FGF7,0.047482135755118594,-0.009063894067677361,,0.0033786363115435912,-0.023933681592743776,0.04857280069338014,-0.014758159413200517,0.0412202198525938,0.0824871331392379,-0.01118754148512378,0.05168619342126276,0.0006650732902786729,0.04933539105936012,-0.052482157731959245,0.07314360327648356,0.003181179181005963,0.0015947416303529309,-0.03312260434690937,0.01463677423175583,0.05763673870372221,0.009007326370457414
EFNA2,,,,,,,,,,,,,,,,,-0.015598865355948104,,,,
HBEGF,0.062045790845931266,0.06559275063737072,-0.04297923870818291,0.07337602180137406,-0.04730715877490124,-0.05023000470521581,-0.009214496088737768,0.1452405747300786,-0.015299838138786196,-0.007839277208025654,-0.03436973221746436,0.014045163674379227,-0.037260972898654425,0.13062671055500732,0.010751533491318117,0.01468351625372944,0.06683424468628242,-0.003249616997346898,0.04499832785585455,-0.058781261879016514,-0.012630356468252786
CSF3,,-0.05285930555676419,,,-0.038195558860936375,-0.057829635580518,,-0.02138366294679439,,,,,,,,-0.033248319006050506,-0.07633634569921781,,-0.037229282375703235,0.0711990377527229,0.0253615251885213
PI3,,-0.04187759954363602,-0.04863413213689792,,-0.04069787459352743,-0.02595554864097723,,-0.03789567606300165,,,,,-0.017490264071094514,,,-0.049803585747190085,-0.10459875481927196,-0.03342791854472077,-0.04985091640423987,-0.002002932975973623,0.0006028918182549659
PCSK1N,0.06719958616816184,0.06800982195967056,0.05222224667910854,-0.025857094213010922,0.06607177565164532,0.009613994368806961,0.04499452614555868,-0.08685113522387056,-0.004598437217267573,0.0386074043753423,0.02755174578267737,0.11684862610484739,0.03158165243617384,-0.0011425490040128353,0.06848004092482,0.006695488825008427,0.0024558406418549944,-0.01653394533500104,0.027901842280060127,0.04759214542806814,0.06713927171870296
NTS,,,,,,-0.00119710876197942,0.020447033591683567,-0.011618635907467622,0.02286791918213853,0.05154720631669563,-0.023815519305473716,,,,,0.0038183954392567608,-0.00019229044139510083,,0.09009212383113162,0.10580716965058204,
SFRP1,-0.012721517897882225,-0.044770630708449013,0.06070881395800647,0.02115769415010232,-0.016704707619266825,-0.02174801129241063,-0.009220901186246609,0.029146495402738302,-0.024630901961039873,0.11748492217551401,-0.059012460030666014,0.01054226033346604,0.19416232887833731,-0.012988341176954634,0.018535103266461718,0.039822879222164896,0.041363130702164914,0.0012111324883031262,0.09713550926548391,0.0064825867358104675,0.02504162267708012
CXCL13,,,,-0.01021119123945315,,-0.004484007024764333,,,,,,,,,,-0.002325429157523995,-0.016271604111068205,,-0.007497532090672306,,-0.03879808388815195
MICA,-0.032143632803461324,-0.009868577525001195,0.030862372113286483,0.048966532631994485,-0.019635742234350065,-0.0036558127385875492,0.03688159999252565,0.09389892184435397,-0.025682888824424255,0.0057890051443822985,0.056828571836077625,-0.01972065396661158,0.06294314196273197,0.015737053449272734,0.1207774481300539,0.03739521490201543,0.04557899435951247,0.006187101816204854,0.05435343738151322,0.053398387441096914,0.0052250906787539115
TG,-0.015804900962776588,-0.02877211847564094,-0.0011604146303874569,-0.028569504954348953,-0.03017437388398835,-0.011819440048454486,0.024096381570813792,0.026610566345154334,-0.029564124071386602,-0.015129481499488198,,-0.022612577957467975,-0.017292160034242526,0.06098408951661515,0.011939229650463316,-0.002736768760596857,-0.00941654105598414,,0.0067365859018332155,0.07809984827310143,0.006971706900632342
ADA,0.015406491397485596,0.00855215718954123,0.03558584162534923,-0.00331390883005111,0.0174348676934131,0.0748357764072407,0.07873367340253573,0.15391303882816548,0.0125312116091999,0.02286464974638073,-0.011128798273913906,0.001379876884250057,0.028001674975355755,-0.02394955967954444,-0.03379598916319689,0.10806137403143165,0.07691107033770435,0.0001953996896392948,-0.038093698801037454,0.04078669719985708,0.06941391734920564
LAMC3,-0.023505426122022055,0.027531823265127802,0.02965205013554579,0.06671895737618831,0.07692529342642562,-0.017754268460920392,0.07892918725136783,0.1506125993138765,-0.01817864062439649,0.02499354808859589,-0.031249642612944425,0.013713804133066729,0.08011854339175223,0.09737663719611245,0.12047359060954618,0.04279153493067396,0.06706443010332461,-0.03454764086940055,0.0366536190539235,0.014608055270012592,-0.012041472372068679
CCL7,,,0.05164014700607306,,-0.02181602410764213,-0.002751979941223301,,,,,,,,,,-0.02341044322886027,,,,0.001361686689329133,-0.019240794951081892
NGF,,0.049251350666411585,-0.028100624821029534,,-0.012160195846511799,-0.030500530215763294,0.026891731465187956,,,,-0.023815534986413048,,,-0.049126150672355144,-0.04464271557259585,-0.040908524305078874,0.04084300422637971,,0.01336489545893738,0.015796717968864473,0.07251648206670212
TNFSF15,,0.02268224162022448,,,0.04935103572685682,-0.021156619278279575,-0.011871411639296012,,,,,,,0.10036623171662214,0.01704490796434563,0.020041456916370826,,,0.024421413673226536,-0.006922697036731322,-0.022558898894519192
HMGB1,-0.05011098629011589,0.06005853565914181,0.08477172182183812,-0.0010039656609924226,0.0493889679576906,0.14703306878170475,-0.0037536310747633174,0.17526314112167918,0.026816662045315423,-0.026128578228011606,0.0008254380052285203,0.02397477699666694,0.010089741900672793,0.027108525748364826,0.07530271294765636,0.036594704296741366,0.012827225972762013,-0.03283827053531111,0.029012074544700138,0.041559103135251775,0.017837594585112894
ITGB3BP,0.012384677752226538,0.03386926308975196,-0.022516574138697225,0.0347291304019866,-0.06216637806915054,0.018079854715234784,0.02684847370211027,0.12006729066837168,-0.01026142185550653,0.020955318002173234,-0.01974208605906219,-0.06469014497584184,-0.020696266648381156,-0.00816973757893291,-0.013436493170568945,-0.009158743337862292,-0.04674273519478906,0.0605871871501636,0.05916304323872682,-0.02126095906617544,-0.026655864868896175
AANAT,,-0.03191018182241881,0.026341999919862014,,0.004622351935043323,0.019641057416640857,,0.04753041533172181,-0.004804696555652427,-0.001280890475236611,-0.022390105347377412,-0.02019291686656913,0.0344254032395687,,-0.03128888571985104,0.02970643312404967,-0.020943100109627424,-0.03777330429262073,,-0.01524963432561434,0.005258667920328633
RELN,0.013034843806661997,0.08255348584097241,-0.013561062747366353,-0.03137461125826922,-0.03836818195191496,-0.01951976827782411,0.06576422247622252,-0.04810328922182225,-0.03707961998933294,0.0017388740321715407,0.07300970545934997,-0.022355301893429054,,-0.012223948021753082,,,,-0.01667771414148696,0.01257789245352883,,-0.007318633947887091
IL15,-0.03294448125454803,0.0054061802386142005,0.002367190633836739,0.008826337316132835,0.06462674218805417,-0.034515347607788925,0.08585255795534748,0.0272603941417876,0.015112029643932367,0.024619485206824387,-0.04588232703900251,-0.01872799709230742,0.031086167411361824,0.022807308917197372,0.05403124130982363,-0.0008976635090185806,0.0180905344073901,-0.06060402066332393,0.02014550103132997,0.08430459023095924,-0.003978944877721527
UTS2,,,,,,,,0.1054688589826033,,,,,0.034930895447876774,,,0.04049038743590901,,,,,
BSG,0.02003480441491851,0.019704977519552996,0.025105067039051795,-0.030523530060714045,-0.005416597617590971,-0.03284711022745813,-0.029702040854179764,-0.0033671054048641296,-0.043656306189303114,0.02799957515471484,-0.047097379725918535,-0.04590018761201702,0.08757292521116929,-0.00044988644696670815,-0.016138725467023274,0.0337798090819679,0.01607376669153889,0.039572972553690244,0.00484822791085683,-0.03234816589947156,0.037089076519780204
ADAMTS3,-0.020175903907800507,-0.015807451108258357,-0.01338308546640671,-0.00879809247990581,0.024929897567533894,-0.01601340857152162,0.15476148690383132,0.1516676323867312,0.030999164398654615,0.020741512190997152,0.026130707033567787,-0.031119886849760168,0.07395894685106967,,-0.03746525530891703,0.008063634474825419,0.04898173378773233,-0.007142712372861403,-0.032988963574297564,0.07603373480632676,0.1456192690884686
CD34,-0.044754558686408,0.048340746490370824,0.023675491518112296,0.021621972734318373,0.052347880921599484,0.04380916541531526,0.1045422778334114,0.11850567036967034,0.002519565464384283,0.04998009372528781,0.03404845127521362,0.006152892715637645,-0.04207516533549572,0.1273607249125386,0.08140022813948364,0.10854942462585292,0.04149909816854191,-0.009324411861924793,0.027715297783397704,-0.03968560966892535,0.006908197782847808
CCL23,,,,,,,,0.011055352157170012,,,,,,,,,,,,,
