,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
TNFSF4,-0.03863802466974852,-0.013744571218620924,0.09648726404829307,0.02829806615911727,0.003592827223527498,0.019212050790099085,0.014307460873007893,0.09457372184712903,-0.005714386554437208,-0.022288341789862606,0.07693017013884584,0.010156678348095536,0.028116974763715875,0.048940014231614586,0.007433341181010274,-0.03265078020380832,0.03290318721367162,0.0773624433000382,0.14767733678878223,0.013737679775233148,0.01274319129513413,0.06811269577380381
RBP4,,0.03659968455526757,0.011081096896866342,0.02234155784335645,-0.02034985752196365,-0.02761321439415203,-0.03597995071584598,-0.13562264479427819,-0.012313038300353971,-0.020336799124385727,0.07554027775331798,-0.06376167830365131,0.12585347620682125,-0.10165190451709859,,0.09064326856631785,0.1363361018845542,0.057019911093245224,-0.028372964749988364,-0.03637531471962157,0.06804489401538226,-0.04701344855524565
DKK3,-0.009150033138850738,-0.12730213811262292,0.056976131138492245,-0.03152185076321757,-0.010621535856126251,0.05107009890905383,0.00302124503019217,-0.13813132040775544,-0.07591171773996899,0.019310434019096503,-0.012864190744562402,-0.06318467399512404,-0.0268821247515427,0.022030292001883278,0.005243612769506642,0.010141483519701908,0.09360908937547134,0.03533302455686621,0.0792994798445009,-0.008093049843456112,0.09833754307185612,-0.11143005617206435
COL11A1,-0.031702750988411986,,-0.0025438661776049656,-0.03589740592317983,0.06284769427336567,-0.019602315859252633,-0.012021645620671118,-0.029000838653040872,-0.029022174786563684,0.010887599040294916,-0.08253393101317268,0.073872213052173,-0.05769002750621457,0.14573910346202285,,0.06612867349149974,0.04399019096139332,0.017788673441618694,0.01962583101475678,0.014514349531586262,0.04282896469387974,0.11533866306965541
COL5A1,-0.006268875067834823,0.08038260617462764,0.11121583558800188,0.02862005039508866,-0.03248570218776001,-0.054648216165188876,-0.001721041807492826,0.163669200559364,0.003685221090696874,-0.0023614601839569587,-0.08411010674905729,-0.04401124762787655,0.051870217659782454,0.08676772367016528,-0.0201173619933187,0.06394595795507466,-0.04322507167514857,0.0028041504945607366,0.09842273669289982,-0.012610212200276173,-0.046748119254383776,0.008162799739914819
KISS1,,,,0.12116598785465506,,0.01714394957265935,,,,,,0.01604697901700482,,0.02376200001629745,,,0.051383142408549305,-0.008464275466131077,,-0.031512740917580086,,
MEGF10,0.10686378830728158,-0.06877370675337759,-0.015580724571445746,-0.030879063571468933,-0.05861031055529845,0.026762433500575368,0.003678612267775846,0.0033782585289286286,0.007973692216388996,-0.057386301071491355,0.015313238801800758,-0.017764381380067428,-0.06520762113803363,0.17836166234400827,0.011643266111694925,0.0067765727957765,0.130893730026198,0.0544454146839591,0.005600194376074945,0.005988212049350823,0.07534315947702841,-0.007387328161869308
CEACAM1,-0.005103280981730216,,-0.007194766141916336,0.052941167582860056,,-0.007766833267237365,-0.01876222219958921,0.04348555194461605,0.03042162019278158,,,,,0.09731129167807347,0.013342729042507004,0.07697093598198342,0.03897988488828192,0.01992203484978727,0.10428704111443146,-0.00984411843456554,0.040742281178037215,
EFEMP2,0.009510906694111032,-0.0604590011859973,0.03318158600536792,0.0374738414262863,0.005646340597356482,0.024450205812984644,-0.046600749633623,0.2514451232382638,0.05111065549072959,-0.06379790484504468,-0.12007977922470199,0.04418861440266977,0.1299941146534491,0.02975147765633526,0.0840442033518299,0.05471255654557028,-0.02691649860937991,-0.013539201958105677,0.09282153543110706,0.07374523320421675,0.019964250073959796,0.09437926330838244
IGF1,-0.006991469307820545,-0.023937966355592283,0.008686016036158699,-0.035834913466307794,0.06491632317689847,0.00027231691410563265,-0.02718179440714553,0.019158819637042097,-0.00761753211776685,0.0016122109189982434,0.01997090838404118,0.026000672502872295,0.06512898317612431,0.08609471468743032,0.08701173701911483,0.025358205150213038,0.03276835485963699,0.07877881574479895,0.05598458626682925,-0.03741592014700824,0.09040614944841645,0.012787151603704316
COL6A3,-0.03556876082522604,0.03324455349802635,0.12367678066836167,-0.005063973410408072,0.042781143689863355,-0.08823874219089244,0.014152487066024792,0.0872439147344075,-0.02322978737017034,-0.04116487592451827,-0.03254153124599091,-0.0509991729682484,0.0719832526002976,0.1515127370574528,0.04908067390775131,0.007535527131868879,-0.021310227145278308,0.026284550508882627,0.10231282332584096,-0.012921044003113768,-0.03965666551311105,-0.021153165152116838
RLN2,,,,0.03552804554880676,-0.018774379010243793,-0.002115214379341111,-0.009624679640284912,0.008292630412607832,-0.013136596944340094,0.02413491683649273,,-0.016252159732708594,,0.14061885338802008,,,0.03341468289066071,,0.004072859722314372,0.0020456785845129684,0.009244316643801976,0.005664785471682332
WIF1,,-0.09353838380328378,-0.04227914287666364,,-0.023629580915724042,,-0.027781138025966396,-0.1322398358079322,-0.027627613698035958,0.003152253709624013,,-0.023342624372820513,,,,,,,,0.011923802685014608,,0.013886352620646789
IL13,,,,,,,,0.03344824313413774,,,,-0.007213184771107706,,0.15886126552912228,,,,,,,,
PLAU,0.06421340731977677,-0.03868120608423622,0.15865168893481996,-0.034832698444731136,-0.002898751069732334,0.015447357004885661,-0.03996982403357921,0.2173994336886729,0.049963613393931045,0.048786077330313225,0.08891123767096691,0.050276114871003245,0.1279859191576883,0.12847211452426957,0.017326045070365594,0.09551237557992173,-0.016272266124122588,0.09938174422021272,0.12533049608686972,0.038488652236059184,0.1287538783145745,0.026614150835657362
