,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916inf
TG,-0.03076178248330627,0.007034004828901695,-0.022760688269085037,-0.014556412184229,-0.0249528601854682,0.006735456460316617,0.03578976429882524,-0.029321732247252784,,0.033146765699362084,0.016180534099780777,-0.030963474957195085,0.030970834131779024,0.09007934136521369,,,0.011215212969832326,
ADA,0.004611852177691223,0.10182475499662075,0.05346986141374123,0.02313018167844408,-0.008518709239968282,0.2590567252548763,0.004957505353663994,-0.021151097300156605,-0.01847435619105489,0.003166373615855064,0.061987429794283386,-0.005175438986664809,0.0410729203709147,-0.011913330798026037,-0.06270674234369893,0.06825015557044702,0.0239110130472465,0.06086422769238354
LAMC3,-0.15221907542938223,0.0798472645422926,0.024484731144088577,-0.043480564556755405,0.009022326905861,0.2375194197540535,0.010674738768300855,0.002578694301198127,-0.001554648756160096,0.10046375146072725,0.00958404539465647,-0.03794388509349598,-0.005309676289587268,0.12888840058045112,-0.14374088141747185,0.02816526811065121,0.06604952525980122,-0.061684353115504846
CCL7,,-0.01424807059255312,,-0.006535586240877889,,,,,,,,,,,,,-0.01613385937769365,
NGF,,0.03511534492331418,,0.07852114431604514,-0.034372867007367566,,,,0.056923017373014355,,,,0.020880539355656424,0.022047310839063226,,,0.04545103414374895,
TNFSF15,,,,-0.03084926499369027,-0.0050202356729541295,,,,,,0.13313728954116916,,0.04984441764059134,0.046302244348427314,,,0.007505701838938361,
HMGB1,0.0022323715673274436,0.03975161851905641,0.06030448012703547,-0.012439102995137688,-0.036691893273475315,0.4297639836146741,0.09026635068484479,0.05511182796971941,-0.08733294107317498,0.05356790677450768,-0.09800471017290847,-0.03320074198820771,-0.13684141017186346,-0.0380420162229318,0.050236427441177255,-0.07131417882991857,-0.017652151484266406,0.03248925536901647
ITGB3BP,0.027418587786897694,-0.00891934374055713,0.026589124697671676,0.0009462908348404394,0.011522483292201563,0.3074674854013284,-0.0410159098582374,0.0238472026296857,0.004080220957940877,0.013734129817011265,0.029723826506828817,0.038890279986284,0.04656943360189313,0.10231500423608339,0.011326809381330943,0.0377538337836483,0.019809534026994834,0.08947682063666659
AANAT,,0.01187286096591185,,0.013439272823597354,,-0.027121857087960426,-0.01770754315888835,0.030283748269123226,-0.024306889030889456,0.025160255844413965,,-0.04846226492237141,,0.08361970562876886,0.028892642257066083,,-0.017070296038678642,
RELN,0.00292379300355219,0.04073705858009121,-0.06006795085072308,0.011041254688590393,-0.023947004978649686,-0.14750653884260628,0.03852815438256693,0.07389775055475539,0.11754245520746694,-0.02610377778464612,,,0.07695125111359687,,-0.036873129089378766,-0.023801090565876804,,0.059977073801600785
IL15,-0.027817916016761066,-0.0052455617327476205,-0.0038602970012858655,0.02291858749239156,-0.01612499120653838,0.09109127626378108,0.0406500791136455,0.0024343732289453424,-0.04981024495030545,-0.02345410079075138,0.029825817449125755,0.07017400235760732,0.039643748746517694,0.0222083074628556,-0.04399789784261585,-0.0009310696379958845,0.10767117147089894,
UTS2,,,,,,0.04286182517455631,,,,,0.19211501106180903,0.043589244298118265,,,,,,
BSG,-0.2358180517436599,-0.01201433065704387,0.008015615303354411,-0.017844918854852176,0.04624830866009705,-0.08487400297614411,-0.03495687005148507,0.07138468279904335,0.09686822745148738,-0.024471019314225295,0.08099182369109895,0.022639297726555475,0.07253365674404139,0.14427282924208315,-0.0651598810690391,0.17009590366848282,0.01295588866083328,-0.028125726321712056
ADAMTS3,-0.09797902709179293,-0.008629189112085881,0.0356235147034604,0.0731428070099802,0.039672976799236245,0.305699587825835,-0.027784503939653267,0.032784740784273576,0.10394590189368516,0.031083713369737535,0.1252632534901943,0.017910227597169582,,0.02753349076115943,-0.015441600475428518,0.05274349588272927,-0.048010218065390915,
CD34,-0.058871045220869875,0.05071664057306567,0.028904507949242465,-0.0382014600701266,-0.0018877323500436005,0.14035901043095367,0.019789158585317282,-0.05289407937646635,-0.038122159849893124,0.0009346778225327836,0.049683122442421734,0.02974395788776871,0.012388301016660459,0.08580445951813445,-0.027316368779506234,0.06579116954583472,0.05005978299342189,0.134961242159006
CCL23,,,,,,0.07571171791676247,,,,,0.053297451511788954,,,,,,,
PLAT,-0.11307026198617878,0.07659909557165005,0.007456473223638061,-0.05655291864128583,-0.03720625309386078,0.33909368519885436,-0.019043642876093572,-0.020338675024243767,-0.044556907774929794,0.06389977140869683,0.02441367549329501,-4.2520838497992474e-05,0.028836024262296433,0.19191893670401006,-0.05149129211122725,0.16319468486383504,0.06510647545416234,0.06416493781131981
NTF3,,,,,,,,0.08862815602911618,,,,,,,,,,
LTA,,,0.0054270471675560315,0.06050674257719257,,,-0.017054209476614804,,,-0.05259895629732999,,,,,,,-0.022974045912706888,
CKLF,0.05350976002168871,0.014016691540659624,0.09245288155525652,0.021985865147924156,-0.057720639436454876,0.4416839410905786,-0.027030155404939887,-0.04181544876578426,-0.06260920103566234,0.05588748731518102,0.2043638246660246,-0.03792988044765583,0.07562117158092845,0.22816669977356113,-0.03608480266994458,-0.02553488219379905,0.021631773110950856,0.013690335951126004
CD24,0.03809542332026029,-0.026567103271524853,0.11056491736137711,0.032641325884965176,-0.016778645378085273,0.05987430854333743,0.019800685210672762,0.015286736940805958,-0.03158457842039585,-0.019774741468121096,0.21279335193357352,-0.030615632203558903,-0.10333547633077199,0.046687317595652006,-0.02515974476403543,0.008364119923163299,0.04769806146020166,-0.015110117487412447
HSP90AA1,0.11916668156347825,-0.0010568043052638489,0.07819695106807863,0.020009736058282164,0.051809753486292916,-0.32964570705391816,-0.023840361729458023,0.06263551955430273,0.03671081260724144,-0.0069122443549786096,-0.011226405462799379,0.051411635135745065,-0.21613377283459756,-0.09533558183630542,0.033106512201446614,-0.049937376134831804,-0.05271337212089239,0.045957680330639274
BMP4,-0.017551361290500708,0.044083832246300234,0.007665889245999879,0.04039071810379665,-0.06988834272446315,-0.06107428345049787,-0.023836298980356607,0.02928793944897305,0.019007690994859085,0.022102201244462823,0.0676063136457604,0.22331482356975588,-0.04847393918144738,0.0947329580444346,0.0261305271619934,,0.018567500949801325,
SCGB3A1,,-0.014248069167765097,,,0.0028695303837419452,,,-0.01810539845970709,-0.0031183361382934333,-0.027335102168581,0.008144138489243807,0.12777004460869842,-0.06304585561471651,,,,0.1025641892472892,
IGFBP4,-0.09536317900643772,0.04001407175677862,0.102315987731988,0.0290073301952683,-0.02538519187249271,0.19848571135547544,0.0008612778891104945,-0.024609843885811618,0.023705317389199718,-0.03480475641797823,-0.05450170190188503,0.04761370977447219,0.07201226462118962,0.025769941475257532,-0.09364960454624532,-0.00033383245858674903,0.03719425997853773,-0.04446995629990245
RSPO4,,,-0.031192255619358414,-0.026770238231820627,,,0.10644639582174961,0.013235102833089587,,0.02646399967668805,,,0.0365580507116016,,,,0.08235649534618673,
LEFTY2,0.045451935685014946,0.0625753185979919,0.02617303928428919,0.030964815015660816,-0.003584028116041982,0.28051821865871734,0.01405450487130674,-0.031261908744794537,-0.02585434758545308,0.05031752756155203,0.04271573216465393,-0.005180935980102821,,0.0595412501147887,-0.07784448669776523,-0.017290180253716397,-0.025595986206479415,
PF4,,-0.014780084611907756,-0.011239924583355876,-0.024170807149708543,,,,,,,,,,,,,-0.003966731828491809,
ANGPTL2,0.022600634158442063,0.0014665271502110958,0.03071820206507912,-0.023629231231033235,-0.033840260682144026,0.17938955512394325,-0.014876615613075036,0.03899942185017491,-0.02781338979969605,0.015803800978731457,0.01682092332292103,-0.033345685933408704,0.12580132594188106,0.011924969728948133,0.01864475851158366,0.046387800557336024,0.09779477851569383,0.10849623459052235
LRIG2,-0.04271053307486533,-0.006658962790129524,0.10235814653886707,0.03677966950320931,-0.03889598688510394,0.17679969238433743,-0.02267017064703899,0.008248790855430566,0.0967315540646882,-0.006478649972969935,-0.014528207371073172,-0.07022034069185747,-0.06437629765613523,0.09690216965566333,0.017036324640627494,0.08990191952125323,0.04224676116580552,0.013950492774418526
ICOSLG,0.05065632388244632,-0.01402249864764617,0.019634691870939882,0.04184076622908802,-0.042108678226230954,0.12627323901627074,-0.036812867331094665,0.028017272966825817,0.10644262686079918,0.04183619758725302,-0.007513902299262622,0.016903759460589134,0.06635584246356357,0.13335752554780053,0.04576184325554456,0.035289567902968645,0.06925233290632299,0.10117294461181174
WIF1,,0.023988412815620228,,,0.044613697504284865,-0.2931856714656339,-0.015306264403518698,0.01968574169753164,-0.02171303698601512,-0.04437043965619667,,,,,,-0.06417318885200816,,-0.00032125623498766037
NPPC,-0.1296368118805861,0.007226256566059431,,0.0020488298236178105,-0.0618754208348736,0.04592365451945115,0.01820444514865459,-0.0246828326796907,0.02134846851504599,-0.03236523984357509,-0.06060559400222835,-0.041992826356719824,-0.007249654338489221,-0.10453984716879497,-0.021214023342748738,-0.026894332182368367,,0.12082730053674359
LYZ,0.10246599134668616,-0.04653498568075928,0.036401131964489755,-0.020799495565594843,-0.032320308864022186,0.22041045935869646,0.015034127271418759,0.01698885318498476,0.04158489795353468,-0.020142013817371594,0.05875056502655429,0.10564170124008741,0.041173876935745354,-0.02972022448411742,0.014503186532438445,0.05553758656532874,0.045171204040241504,-0.03814663479614104
EREG,,,,,,,,,0.0792868356055894,,,,,,,,0.036548052382061824,
SPTAN1,-0.10060892086548193,0.02615074446954813,-0.02671242161468287,-0.04144691962461303,0.008814795791342141,-0.19850542059462709,0.04554816453024511,-0.029314922065129787,-0.03781791698876165,0.00858205756465409,0.012606456600807359,0.019215522856492993,0.008192165376199642,0.20669815432086008,-0.08707956667640798,-0.055948454815363445,0.025107647387090173,-0.007516167121844568
LIPC,0.07106579186587947,0.0006725100107265127,0.02293141998241197,-0.006757581421304361,0.014720488486261884,0.0633217403497508,0.004977202595036146,,0.010057792483381388,-0.02672171793408637,-0.0642660286010127,-0.07218340995152032,0.002150518077564082,0.031551649350221,-0.00047799855650720597,,0.08331352803061601,
COL8A1,0.1032640447854323,0.045963503705716155,-0.027905961446010766,0.07727438129773022,-0.018641236953058162,0.05592146411203072,-0.04229158103345811,-0.025725838801173063,0.062403569435958026,0.03974584088660443,0.016233009980580575,0.045036622121142275,-0.050638738588082904,0.06059054361657417,-0.09958301995869485,-0.0562476211708155,0.05425089017337062,
GSTM2,-0.11130683048653968,-0.04768785407171571,-0.010269813348957336,-0.007278441700703046,-0.02511347592899366,0.1040804319571331,-0.010962323982401479,0.037598478552460096,-0.04230216912888642,-0.013036923987188078,0.08607684084823539,0.14232975779260035,0.04102962918304761,0.14588492812182455,0.044715426727234255,0.1105686718310085,-0.0420525765972638,
IL4,,,,,,,,,,,,-0.05329284079372497,,,,,,
SPX,0.07574973801576154,-0.029265332129616066,0.007435931966272892,0.06453921913597206,0.06246539798441996,-0.09691731851588369,0.048870577777071676,0.04016848445864775,0.06947091929842479,0.03789818459245156,-0.08034434065952788,,,0.012400373619859281,-0.026177281308155883,0.0022811623380231557,-0.009779719913250006,0.06735956386128007
MFGE8,-0.12285116184346542,0.005360718721071909,0.012120024526634566,0.0009579614046312264,-0.022660301218292305,0.10111862634663885,0.01217050545014076,0.007448520539155873,-0.08419549983275405,0.0665761539241822,-0.04582292696305725,0.09448674906676478,0.048651309555552615,0.04092926892195215,-0.12692231037233798,0.09955793581869925,0.021521471209977435,0.011153011305190525
TGFA,0.08309098846899896,-0.0317567253089113,0.02465819147507294,0.014475172732476088,0.017413766442365853,0.16555155487028284,-0.016135423201294262,0.06998569217816385,0.022648839182327334,0.03590121618975079,-0.06214984842988407,0.004055176911516846,0.06564434279662268,0.01765095306098572,0.011588484436380456,0.10639220658700427,-0.009540036357863655,0.053101653256083355
SLIT2,0.05722605116707697,-0.05480331550976404,-0.032165783900887784,0.0437116377174225,0.014735193981588596,-0.10975225323484802,0.044048760545630596,-0.022074778887115423,-0.01226380250161189,-0.019464483535812697,0.03783541849400906,0.07048346108437138,0.09308472078449131,-0.040935377006311724,-0.0415288498111027,0.030183878654936595,0.07462534951193553,-0.016127513744786763
PLTP,-0.066635476076392,0.02965419895198585,0.007177293845566424,-0.08801636962373646,0.009020324502022083,0.2479917770614691,0.004215506406237668,0.015737230088665052,-0.040635387111874276,-0.03661043797443854,-0.02419805596776542,0.09491340742202554,-0.06344083560826558,0.02681159944239401,-0.0741633643134769,0.06971827083436226,-0.016232988142646863,0.0687839541806554
APOD,0.2620690595918826,-0.03584016760149855,-0.035314929456749536,-0.05299847634234858,-0.026498377573113567,0.3725860125807695,0.007740554203910793,0.012577707877684913,0.13992205304086414,0.06355025063834914,-0.15651929663867992,-0.02833229351979391,0.0065657346648500805,-0.034417910541676984,0.14488412210838186,0.12073690944339659,-0.003201027621768636,0.030163451907938597
B2M,0.08062707970581981,0.01789539734950497,-0.07352241777439592,0.06981593330223294,-0.052015782501160776,0.37295866115434795,-0.06893296339572151,0.04672002781574531,-0.0403064068725791,0.028417878861057257,0.19731648965607176,-0.02431494822903232,0.18634915437248417,0.05181293645725634,-0.08210859773655056,0.14997725537284898,0.05852426321645477,-0.07667427397800462
OMG,0.15135845953132673,-0.01992779978079787,-0.030460860915054844,-0.01777223702432541,-0.07197563346967294,0.06405776311985253,0.01623970349082928,0.030876143962156162,-0.013079414479598959,0.07925258592052419,-0.008312802750780208,0.026711359744458013,-0.06935397306447488,-0.03559333311666595,0.10412577155930354,0.09173724553013786,-0.02060658420029991,0.04077481285598863
CXCL3,0.09422526784802573,0.0575973639730983,0.034452864053172993,0.10692407016484262,,0.05039580846801477,-0.027684902676748245,0.01125069505341912,0.0230697966272468,-0.028034061536867626,0.16163120927790728,0.07489020307386883,,,-0.059629480517261114,0.11489823367668385,0.03119902077200599,
CXCL10,-0.023197713267873076,0.004214227380597176,0.02922925960847323,0.048092197602238124,0.06354622129117297,0.29166477609671515,-0.018117545657616828,-0.04633174799461616,0.012954314793326876,-0.01879963912548436,0.09674516721805984,-0.03073571268070296,-0.05750957664289513,0.05692769284589608,0.05147615238359104,,0.05482432397377019,
RSPO3,,-0.019354191603967848,,0.014568456435856747,0.03345840973152277,-0.11922458514453696,0.06288101188419307,0.001140402735672362,0.11005854991754298,-0.001524687895605733,,,,,,-0.014865142052719448,0.08297145791048845,-0.043607197861924754
CORT,-0.03933963509593251,0.04772981315294684,0.03112245677395965,0.004488344674178906,0.044808017365674496,-0.12687336035976657,-0.02112014066030122,0.03029017102885887,0.050229162117890205,0.08323898059600665,,,,,,0.06097931065282471,,-0.04656542430556794
NCAN,0.037199059455927164,0.01699960313854356,0.06885785249143304,-0.08849411997986191,0.006414326078507578,0.22704310862598534,0.05166214432118802,-0.02460218030070977,-0.031023294594938116,0.07479755195594386,-0.14970797675283137,0.07331820292500037,0.11495077388343718,0.20375709817312032,-0.10625483816815262,-0.017401447944499035,-0.019841803056467693,-0.02525415545507563
PRG4,,-0.005758949211144736,,0.03900062987165116,,-0.030902341033389256,0.04271405133529051,,,0.021387852528870082,,,,,,,0.08383345364866893,
ZG16B,,0.0691544922995481,-0.02533301375576175,-0.03215337032840256,,-0.02058649841174598,-0.013551117584420576,,,,,,,-0.000836162086175343,,,-0.02041501039091403,
TGM2,0.04966049534520766,-0.0010272907904122686,0.0010207683656550735,0.028883236562897114,-0.0202983675685471,0.11769693563410721,0.03754003630279917,-0.02537777019566937,0.03285794334149345,0.049685425655495136,0.06228714715319098,0.07190542482527462,0.04745387736891846,0.0790064576458858,-0.055619051229152526,0.03764873238484976,0.02946336295957536,-0.0010670058717835585
VEGFC,0.02281807314533387,-0.0021332087610367516,-0.0028651056237216873,0.03687545347333932,0.05860469101056401,-0.0011897918611168206,-0.020377259854792655,-0.023300588671064753,0.08342944510560467,-0.03960685786962724,0.057467647329283306,0.008893023824847376,0.026575639773155964,0.08565186093101061,-0.0893309555411047,,0.03410586271606963,
WNT6,,-0.02298894691903667,-0.022162083468742513,-0.030188519551465953,0.05409383423298986,0.08211637549899976,-0.001502706970708505,,,-0.006189950740620059,,0.00785554309647291,,0.031245435448080283,,,0.06076549500748367,
NRG4,,0.013089513994001519,,-0.024814687902965094,-0.03728962166295267,0.0047613584273331734,-0.026033891000971077,-0.047949218629060826,-0.03348194113103517,-0.006855288319146639,,,-0.04707240277637486,,-0.01088842092242145,,-0.01637271428108689,
PMCH,,0.13882343771667305,,-0.04671749649063963,,,-0.019835082897892244,,,,,,,,,,-0.010636291135469066,
COL9A1,-0.07320125536930612,0.04771391003108685,0.04593937225238608,0.0165477217075741,-0.055768950098072166,0.17000168361116436,0.027980213724733766,-0.0035233545229959927,-0.026227865868951077,0.07208505756954589,0.05629255323768579,0.004369353441434191,-0.056712909901753504,0.05191558623368219,0.044552179450666585,,0.06773770144853994,-0.07094886176886245
GDF11,-0.0022972367884793897,0.04058739528856206,0.03305000999600057,0.009627446643196745,-0.027064564022765317,0.25282019915669107,-0.04333162910512595,0.04701830834714644,0.10318248666698437,0.06441793055947392,0.010196643326037919,0.031098742292923982,0.0002852936732338973,0.08778705528135694,0.014270766119092226,-0.03974199782957148,0.07955056762893845,0.021290029698397103
RAET1E,,,,,,,,,,,,,,,,,-0.01796075123507937,
SORBS1,0.11272898043297144,-0.03206465018575902,-0.0470014176722964,0.005247541696238599,-0.007923429695956658,-0.033647757662304885,0.04677643576043194,0.028786748949433682,0.012478950164814546,0.10495753919618657,-0.020076681604970576,-0.028033985182170266,0.04710123082857985,0.15224418218209407,0.009195704220696432,-0.02404237073501279,0.02459430584605181,-0.010575782514259571
DLL1,0.0968351087743202,0.006821388895336712,0.03959023928097544,-0.02181574187019374,-0.009045310013812905,0.26119841056687687,0.01591007203955991,0.024813028182785486,0.020599200387499562,0.020191831184941153,0.11525409069399048,-0.04114667780861817,0.10798221171756395,0.07653026228618386,0.06416104304925435,0.11512059257045537,0.029180042601696647,-0.022771733448633473
TLN1,0.033617080624948434,0.03642316930467951,0.06645822344231313,-0.08407306721709275,-0.046208794380430046,0.31684390495585907,-0.028330526407963064,-0.03734263187592217,0.028723877322192396,0.059917202884363224,0.05198128042802851,0.0020099802614452636,0.03264109302510032,0.04954886514801855,0.03081741538515448,0.0545298227728606,0.03339268202159714,0.1010465513120738
COL2A1,0.047412266563613,0.031962064880956986,,,-0.010150072203514613,0.047689945569480016,,,,0.04984037213118414,,,,,,,-0.02382783043307691,
SHH,,,,0.05365631214733348,-0.02489984210646201,0.008409733631700183,0.024357038891137644,0.05723823294500457,,-0.036702852904113265,0.0908275591160251,-0.01851031143611938,,,-0.0664393983679656,,0.008258807539923314,
