,UKF248,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
CCL7,-0.013758080298612627,,,,,0.020127456063231016,,,-0.015026686354894169,-0.05706166035987677
NGF,-0.023621940659021918,,,0.00123898782291207,-0.046148586298250006,-0.007020953649339029,-0.018673491504315676,,-0.0449894460494146,0.0946404034394254
TNFSF15,,,,0.08228544567226834,0.06430546620843774,-0.02081549154605832,,,0.003840976025438447,-0.00971452360926662
HMGB1,0.08062946982181446,-0.052812462322929,-0.054389309064816316,-0.059425861154505495,0.0351255860973202,0.006466601436950856,-0.026891127666540216,0.06117256510568478,0.10113445975641706,0.03987719823194539
ITGB3BP,0.02380920703152783,-0.049714252165554335,-0.025645761838760373,0.12791786613865,-0.0018370035636314796,0.024434282981023247,-0.002358902332480276,-0.020977168828220743,0.0626641997675657,-0.038683246302804265
AANAT,0.015334262852033112,-0.015257538100583659,0.07867066586163532,,0.06316022376126906,-0.018731449074741287,-0.025471846400242384,0.05157043053204419,-0.0158988608090301,-0.02057594535513613
RELN,0.043536353895432124,-0.025079642373078945,,0.11763027229536394,,,,0.07110127271002782,,0.011648893336269646
IL15,-0.043502663703086995,0.0030679421789166997,0.034795810739018745,0.14262431587087404,0.0004562265558048118,0.00591025690603223,0.02654132293643868,-0.0011561427757192228,0.000831812283283194,-0.06260234096485455
UTS2,,,-0.03876776747173428,,,0.17658259312361235,,,,
BSG,0.040361551281921086,0.024675018249508813,-0.015502719818382577,0.07896811630683527,0.010516812665408349,0.11173837896846087,0.07458023221877556,0.028213875850074573,-0.033390559454088364,0.05215202647695011
ADAMTS3,-0.024895795958763713,-0.007726726826924106,-0.015134585488854843,,0.057335626527675224,0.015836762207697242,-0.033442279154807554,-0.028781045279832496,0.03590633457088985,0.02280226078493907
CD34,0.01821381013067999,0.020941564083578345,0.1292622982066277,0.031007814662691556,0.052851420983793,0.04741394045209214,0.0424058609153604,0.014697486310065257,0.03185914475854632,-0.011455950357789957
PLAT,0.053158040933249724,-0.001478696315198904,-0.0041492535400940575,0.041313436541784494,0.0022141038315034033,0.00032332094696477167,0.007695082150807933,-0.030764450969255654,0.037027460308027726,0.12792562983793043
NTF3,,-0.02462930624906101,,,,-0.0005285250646991499,0.011065558884402724,,,
LTA,,,,,,,,,0.037364626320195084,
CKLF,0.03005640011264521,0.02852809481431716,0.05696101217868184,0.11922513028895639,0.06954751273516843,0.1010686055650995,0.06948636579658574,0.06253282546332047,0.02676610955613194,-0.021543936824537587
CD24,0.00887839843647561,0.031041515069835667,-0.02400165768517992,-0.1432155111418046,0.05158943108546167,0.02524949535105333,0.010528634389238645,-0.017548697967080192,-0.019191618920978735,0.03405574573639862
HSP90AA1,-0.050891246801464764,0.015075314062302383,-0.0600967330036542,0.02960837518718133,-0.14222932198283536,-0.03695949928575113,-0.0439406678734605,0.015011021972011125,0.043298178585254504,0.007762234463486471
BMP4,0.015378689304524256,-0.01929424396214543,-0.04041643483283857,0.0013581022175430907,0.04357862793552356,-0.0043830804284389355,-0.03339834997733596,0.007790727956720966,0.06485889740242089,-0.022592124582442193
SCGB3A1,-0.013758078922822981,-0.012869882617084496,-0.044238785072570265,0.01694906634127029,,-0.01891756651766149,0.009561886390968706,,-0.03150694378814299,-0.016328660838006125
IGFBP4,0.013762284223254288,0.024558894755167628,0.048964231369703674,0.14742707676545636,0.0034477806705100304,0.06947226527307186,-0.033800658877126584,-0.019377154120856263,-0.036361278099564576,0.1266731570036787
RSPO4,,-0.012869880734573026,,-0.04840605753177719,,,,,0.06167950528677995,0.013079145773713566
LEFTY2,-0.019956105314253347,-0.014111981627559096,0.020047656912386323,,0.13542046130273697,0.03130670632724157,0.05400346295527491,-0.02583895741611833,-0.012570857809375849,0.004587997947858665
PF4,-0.014271798387719678,,,,,,0.028648333288249478,,-0.0213974656815926,-0.0203245407147583
ANGPTL2,0.019171878682253618,0.03814198005445361,-0.0835748845824966,-0.009442888912172502,0.0026535517678128967,-0.03371608309521538,0.01705320981497156,0.015865279692074862,-0.006218379292902885,0.11384743601446817
LRIG2,0.027703028910725805,0.01868773462131482,-0.048383104733922204,-0.0009725446505226021,0.16472640690573764,-0.01889895277860333,0.03590255392864981,0.023324507587074415,0.02609676698728334,0.07878300640592932
ICOSLG,0.04042969976912431,-0.024424630288212457,-0.015133987733121503,0.12125308423630433,0.05209623321094748,0.015994200891607507,0.020022953793484937,0.019450321777190846,-0.06234834732617033,-0.005068049882725179
WIF1,-0.025679784695850447,0.096313592966747,,,,,,,,0.051782363026282426
NPPC,0.08903294300225509,-0.017885984687904182,0.030144405860103873,-0.08654770630050078,-0.03872894435398533,-0.018011111423234406,0.045487291965633954,-0.025688602646837085,,0.06191534268879463
LYZ,-0.03770331102107101,0.00290727057134318,0.033669706858640146,0.041966765029274954,0.013303011313014233,0.011058780941300271,0.034468315866409444,0.10023081500343739,-0.038147669540543085,-0.020244524603560316
EREG,,,,,,0.057528789327973194,0.0192746427794745,,-0.0323151296118502,0.01846884701692812
SPTAN1,-0.010887183641066956,0.045171099380289605,-0.052903877081930284,0.021377259223429826,0.04422826080657227,0.011500043890531868,-0.02607666923752717,0.05958984679336457,0.04758309319917177,-0.019534559710039704
LIPC,-0.017472432494445415,,-0.009667594510159158,0.06628859535685484,0.015165464480787955,,,0.017119247111306246,-0.02705449551357426,0.036416023325801225
COL8A1,-0.038724569500453575,0.039934425486356485,0.02778272427048375,0.02101439612181746,0.008310647110129965,0.025076875004434382,0.049143098309152755,-0.0243637400608492,-0.058205162497547286,0.009899461558965017
GSTM2,0.006511429785160736,-0.021244071278025613,0.04298657809122225,0.01679609678415191,0.0027785654180502036,0.0523590308271383,0.01883961887696016,0.021578590355827133,0.02879694387930091,-0.00652690037518786
IL4,,,-0.03808831896749841,,,,,,,
SPX,0.024232866073869857,0.037714350380565365,,,-0.03323016344630954,0.10208914076759538,-0.021540683289249615,-0.008997298616795374,0.04689264770263952,-0.028178770649440674
MFGE8,0.016409315898201902,0.0025783997672591858,0.03688257839329157,0.07267127735793391,-0.06197515202305865,0.023182303490152684,0.013449258053455508,0.02618416931750921,-0.0027578733952050676,0.02756286090577432
TGFA,0.03887111190915682,0.030267871229205094,-0.09466410889847177,0.046271651636124234,0.0025778916757479803,0.09466766731021427,0.003995127047291057,-0.07495622087118338,0.03717115487939362,0.00850086770070299
SLIT2,-0.030804377452200153,0.05357695557229985,0.0010810412365448133,0.06346116209318865,-0.04379901097998606,0.04129568535108325,-0.046355902954217584,0.04691178029612677,-0.016802751931468386,-0.033128688337123145
PLTP,3.074335216773663e-05,0.04862166198971357,-0.09262629561643781,-0.06371887900629951,0.07949882507640241,0.04681364217573396,0.031876567495466225,-0.03274413126054501,0.006365215805230527,0.002297793436207941
APOD,0.08671234757253875,-0.05623019674018874,0.010619147889524528,0.02567780708981938,-0.07202655395553825,0.043115953242935295,0.015202400167094787,0.08150836375051507,-0.03641107090099756,0.0749640457800898
B2M,0.029650175796944307,0.012770873042931345,0.0673713320105322,0.21014264220842968,0.030282348623499492,0.09064290623878536,0.13077047711975845,0.02129623964801961,-0.05837306575361647,0.0711812010402462
OMG,0.05175806383533621,-0.020402953786743495,-0.049540241175264635,0.019280199137229885,-0.034192565585507796,0.008323506563743277,-0.006236664241029638,-0.0031715033493587034,0.06017440764049989,0.02933369903001505
CXCL3,-0.03524377644116828,0.006792275553124952,0.025338344901328008,,,0.026758910934626325,-0.05351650341836861,-0.0190679529037613,0.00796914281882915,0.002823444052118346
CXCL10,0.021136123076490248,-0.02091467868485771,0.15990264183477856,-0.07165325465108068,-0.038383797645990474,0.018796569505947446,0.0468796666751495,0.054745162667853065,0.043815593968768114,-0.03640681515701834
RSPO3,-0.018688602114401074,-0.03343301008095555,,,,-0.04849772339607499,0.005359876338157476,,0.011632309552527925,-0.0025774539673818755
CORT,-0.015540901348331448,-0.04523508598673294,,,,-0.024346566975117244,0.07024795848307314,,,
NCAN,0.08421331857813871,0.038931117625759806,-0.005568258094401739,0.10147884566977079,0.13637568477251713,-0.034589590218825295,-0.019696705917457598,0.002316003795649867,0.10693213150857919,0.04343962229731081
PRG4,0.011805934352931398,,,,,-0.023385999483292202,0.0033822382443599373,,-0.03454343065588851,0.02529296894956439
ZG16B,-0.01907830301265522,,,,0.024810814600122525,,,,-0.019014046849838324,-0.017338917710757174
TGM2,-0.009272301305216613,-0.039155231630249365,0.02661554380708013,0.06617916473412959,0.11698597771191716,0.02187265482266774,-0.013040834367220118,-0.025322228460466827,0.008022864390550992,0.07962135688633844
VEGFC,-0.02627071828856923,0.061992901995454784,-0.04317577773230296,0.14823758972715856,-0.03099405252996172,0.006297093737521733,0.010248886597153206,0.05561395277214861,-0.031225355849314552,-0.007051664185249263
WNT6,0.08923247889730909,,-0.02442653192302295,,0.055556177997827964,-0.004408020848095548,0.15555654049094647,,-0.022963369400389146,-0.017916304045898706
NRG4,0.0948069277566518,0.013563212529018742,,-0.028053472440234425,,,,-0.02019584481991103,-0.015249150034141373,0.08972787098486842
PMCH,-0.014604787337762284,,,,,-0.021702514147654665,0.0070241970270986135,,0.045127493180152974,0.05988728204468828
COL9A1,0.05014139044670114,0.08738307086564495,-0.01746119902504972,-0.02738762391213736,0.10633714187792734,0.023697753490739243,0.029231178090273705,-0.037103819456872265,0.06678815460711883,0.06618334425355216
GDF11,0.05263406118497764,0.03544665838463764,-0.07525620095607585,-0.0886101763850388,0.032401307356519055,-0.021155876733225512,-0.010059067752393715,-0.04775561166881492,0.04714433811601632,0.03708905423965756
RAET1E,,,,,,,,,-0.016728209239319454,
IL24,,,,,,-0.016180871584520442,-0.017072127193485366,,,-0.030121795033745805
SORBS1,-0.033626259419852235,0.04009594945569999,0.0011590363304793923,-0.0073400838174696986,0.03009381413240433,0.02047437132097729,-0.007820226757648206,0.0023329125880671036,-0.011054923796756306,0.05334972871875059
DLL1,0.03997314999215646,-0.04043965789251863,0.07352377335571193,0.042626687497103445,0.038842443757225856,-0.01955191126262512,0.024085490929951547,-0.005464196005810502,0.03400901750857428,0.10498767862250835
TLN1,-0.01763760946828082,-0.02131835138371133,-0.06190187076864371,0.041004445044722136,0.0553011502284297,0.03195833744830683,-0.00781734010939452,0.009954165121732545,-0.07056007300434379,-0.008134792026973309
COL2A1,0.02110377087306656,,,,,0.030051370548735423,0.05157218564611899,,-0.02219266488280455,-0.003602606975086564
SHH,,0.004103411605430883,0.15812092218000018,,,0.014135751245160184,0.0059052488366844605,0.03230514328423624,0.015329269973259311,0.00873903556989462
PON2,0.05567852285995228,-0.005451957180742878,0.0753341238246238,0.03462294849740907,0.038331696508434626,0.03141933729945714,0.015754722292956446,-0.11192299452005997,0.09116410015333758,-0.01727220298209445
ICAM5,-0.037080886568573036,0.021604445743395553,,,,-0.04522998691150589,-0.05448797819282157,,-0.03288295909214571,0.04188108073786712
HPX,0.007260372831554724,-0.012869881305030959,0.08331527632427,0.08458528955191395,0.040680702004826784,-0.02973310499309829,0.05265256819450311,-0.0270774383062753,0.042148891351729764,-0.004819477015032642
SFRP2,-0.01829140259234844,-0.05033137511625142,0.017922123161484362,,-0.028575906397793047,0.04158512831772211,0.009206976944526074,0.026157554308093873,-0.030276218951208776,0.06241929285882191
CFC1,,,,,,,,,,0.019692874294544676
CD70,0.041156076105696895,,,0.005382534099003431,,0.05722240878694412,0.007436810957681526,,0.05160975543789952,-0.04733188409840796
HP,-0.05021805314899309,0.025764933375123828,-0.052793131238783694,0.0305414540177728,0.07377771582154047,0.07140717965865107,0.05274020805905472,0.05477902401682762,-0.022811060586145952,-0.05212629378561509
CXCL2,-0.021678962991329633,-0.017885983288091798,0.1027255061327994,-0.06036122061726824,,0.04401924572831102,0.021283553220465608,-0.0046355433070532255,0.017621523023595632,0.036238568208035116
NPPB,-0.01774925338076398,,,,,0.026498131648245198,0.047194229133317805,,-0.015468564408436023,
CCK,0.0495607591989355,-0.041497180020991356,,,-0.044751741455992713,-0.036351261948069695,-0.02257012216344415,-0.05654163656979421,-0.020066903860344855,0.0025399126526064494
SEMA6A,-0.022990084344267456,0.06117024859157089,-0.05225579117663532,-0.09331216881566179,0.043359683218830665,0.004580909516396276,-0.017560714257166772,-0.04410037559540043,0.10373743257344391,0.051151079219935454
IRAK4,0.003572155578295634,-0.04824464863699839,0.058535479403293046,0.028883142974463864,0.05627944549556168,0.05035641467682487,-0.0033213450866645703,-0.017018500557788637,0.04058564212237396,0.05172983769792446
GSTP1,0.10440211167434098,-0.021088064699224075,-0.05210142162368022,0.08263712648264,-0.017975744164504308,0.021888412921885803,0.038104092816774716,-0.011528827822872133,0.004760273730237761,0.00846801640610769
VCAM1,0.07552976472986073,0.08017481969634407,0.10505201339768797,-0.0015023317515082087,0.09168445005899159,0.022977944422896152,0.033279939354610655,0.01752128231725343,0.05131362624518984,-0.044559802215215175
NXPH3,0.047605809757515834,-0.0003633624304182756,0.03040315295539419,-0.022426263018602947,0.04586755689154899,-0.019210465587115522,0.03698413958726063,-0.065960082871823,0.14401324414621713,0.023329361418055732
MTMR4,0.023799186180024915,0.024316145812340068,-0.026468384696287543,0.07015470202813068,-0.04394346273556276,-0.0011030017317965697,0.025688332857631103,0.03199296095355761,-0.00645978192975388,-0.010598132453222458
LAMC2,-0.013931307985800173,,,0.06935414423170813,,-0.019892905553223327,-0.022420493352013987,0.006073235819578276,-0.0018439262710465228,-0.02594546634395581
IL10,0.021287396600925403,,-0.016830515158141095,-0.031154245157147493,0.03445682583498731,0.020005186648112638,0.00737191427226708,0.03580775159125172,0.014619620889214037,0.0008743806115399898
SEMA4D,0.05193543596695129,0.007915175015190911,0.12503583402060253,0.07869079135685124,-0.07543524535844241,-0.03327506407863514,-0.010301776392559282,0.059348044215540234,0.036593132090211034,0.0480165919321596
TRH,0.012958045759708586,,-0.01506766950005529,,,-0.07136661223993399,0.031885498550952414,-0.03139265845744913,-0.017325829482179346,0.06927369807138259
SEMA6D,-0.03385421992887699,0.03681798219464268,-0.032504580048762596,-0.1461777548070197,0.022865806999748876,-0.004250887958670457,0.05999856042066736,-0.0313926702572374,0.05734817048541352,0.03009536953932752
CEL,,,0.122854572374793,-0.05076692548704758,0.006248191430112668,-0.024503456697557338,-0.027872511463021988,-0.0380628260114257,0.023489295286144088,0.044887809787277556
PDCD1LG2,0.020343027496352386,-0.01384825581712502,0.05699851226974504,0.07039789617984023,-0.03173127190573329,-0.04308566476814425,0.040246695794972726,-0.049002093230895265,0.008125390335732226,0.02210301881779366
SPINT1,0.08098926428364218,-0.00739934734100833,0.018249403004055625,0.045370641262016294,-0.012101471560982078,-0.0320803073202466,0.0015308838910562442,0.029778952964810784,-0.035421240145108335,0.021829430708100526
CTHRC1,0.0005174965475049492,-0.016143416342433284,0.10753077152019579,0.08100630822430623,-0.0052257625080793174,0.040489973198643114,0.039500614017247,0.0012039464491681298,-0.007687608769604429,0.05285828559478106
PODXL,0.014654518256194776,-0.07029573603944865,-0.006117324348656175,0.10146265386379927,0.0811528535839968,0.043544340612088776,0.020562972922607246,-0.03478964801022702,0.0004462818796269709,0.13079097011260174
JAM3,-0.018982536774823096,-0.05101487744443753,0.0468672413110193,0.041398839948695164,-0.09049634102509103,0.09366763717829509,0.06203026925837339,0.005420770058962013,0.013094759557686428,0.04085959629370854
TGFB2,-0.010357124100304812,0.006531613636717502,-0.0011425042375859667,0.004734253881445193,0.058322852839243364,-0.02578397274553812,-0.02213988226522173,-0.02760396440521708,0.043558992247912494,-0.015462093934698624
COL18A1,0.013992053033332473,-0.025546589723307065,0.06708749132009856,-0.022672565256282796,0.03228870796126917,0.027991054043507525,0.0024066289419117175,-0.01686957456266295,-0.05036907186666565,0.1367467880313588
NODAL,-0.02862493663445835,,0.09955176347108988,0.06820200660130271,0.005202038827189944,-0.024188788729028278,-0.021088098639104758,0.00720765635269582,-0.0067128166991156065,0.03471001644718281
INHBB,0.0002598408559257907,-0.002867444109840869,-0.0005824036678171084,-0.008915906466899026,0.0187351084078065,0.07438719953018195,0.04376431744186114,0.07073832757662518,0.08669059455762611,0.03763449847827995
LCN1,-0.013931311120401193,,,,,0.007181424561533671,0.0006215268811355095,,-0.017520821797688674,-0.01819853102601396
ARF4,-0.002759835751077105,0.017264901596875083,0.07221250183971675,0.020465938867000873,0.04478128554545217,-0.03814715742665976,0.0620163367948706,-0.006507409563053808,-0.04210632139769655,-0.0034076433611225565
CXCL14,0.005377761135760233,-0.008134326258077756,-0.06667261574563921,0.07350960663699511,-0.017847026706647458,0.037266926122358573,0.015023406601571644,-0.021493217067796024,0.03912703310790888,-0.05969529096979085
LIF,-0.00994752528905227,-0.015257538100583659,0.019219676982213958,0.0626123089358936,0.056066220056296474,0.020652204989764493,-0.018613425600005024,-0.03959277106025171,-0.028832577660766526,-0.0037425712105679716
IL17B,,,0.016455355283694236,0.058448058781771936,,-0.022389400565322667,0.1537378682551347,,-0.014639816189926536,-0.020575941222923253
MMP1,-0.01920661288110878,,0.1237142028987591,,,-0.03537350983188652,-0.032824984764656714,,-0.053434089131607986,-0.0012859182497031263
MATN1,0.0005455510246409335,,,0.06258255826153339,,-0.004982708711817857,0.04942205509078402,-0.01975175571253736,-0.021071910960370904,-0.01875106185076003
ADAM28,-0.007115539331859724,0.0405359312392991,-0.01723656941937646,0.11696011868612456,0.035208726578273376,0.05745753228534819,0.036896693278251416,-0.01678967477678992,-0.021776542456796163,0.12804188987366755
TCN2,0.03634749061477606,0.0058795701155650295,0.11380014131485511,0.15603863447020275,0.035766264564318556,0.01918853222491528,-0.06336777592822325,0.043602823732004206,0.01183865539061057,0.046379460242033654
THPO,-0.009350383470532868,0.02026051092866451,0.0697312710188141,0.14068995805851733,-0.016827526520737084,,,,0.05328678433289951,-0.02810017103742035
CUBN,0.0024583580481546724,-0.010972636323179153,-0.07129452873076951,0.07975988797567153,0.005679864971051798,0.0018259298367257202,0.008858922257776057,0.012385809040955428,-0.01129754842217961,0.0029414931538753585
TIMP3,-0.016401458207941956,-0.01322762048846167,0.04308900889693716,-0.06975077495443026,0.008746051041769027,0.015767650762550142,-0.06008704303872863,0.04619764854285862,-0.04800799059226197,0.11361760474373596
PIGF,-0.008404597402883272,0.023122574364745258,0.028760183380586495,-0.04187323070366222,0.005904181753535029,-0.03603639118597629,0.019243275286341937,-0.032584704777643594,0.06020347353044381,-0.006050476324707539
CRH,0.0686793887561618,-0.028725974918211328,,,,0.004046854486959874,0.045821973488224935,-0.03329133660864772,0.05329328311480852,-0.016782137782552064
BDNF,-0.018139581857005753,-0.003710902648992945,0.07236388351415222,,,-0.011752675935929274,0.042623229657968116,0.01175083204508852,-0.028264857189650997,-0.033084334393369476
CCL5,0.042983449097691535,-0.03967402975455498,0.0469143743886189,0.050736610544762126,0.041499450197712756,-0.030244358168130193,-0.03885677589860728,-0.009413194322565889,0.04347809575604949,0.06855552808358546
GAD1,0.05125177227324747,0.004581053854817692,0.01430654822326003,0.022998477946083323,0.09073177086968229,0.019684139696670717,0.016784813899957784,0.027440102865940355,0.10778511442143043,-0.009989060283290097
COL14A1,-0.000467473697177637,-0.020796539770271436,-0.018852611665109768,0.04579943459993842,0.02633457212295704,0.023421601211111902,0.009223896679908496,-0.025981725483173488,0.006755574331860188,0.02680837840072832
HLA-A,0.021713487433421885,-0.0028201570646828665,-0.04668331688115389,-0.005720948435510149,-0.022421077636811348,0.10626779659979613,0.018397538559901568,0.05542246282175524,-0.01638892671779693,0.034564553980435876
CD5L,-0.016322187730306213,,,,0.0233693845509758,,,,,
FGF18,-0.014768629758043121,,,,,0.04404673281122795,-0.004330434838377573,,-0.017325830872217052,-0.025741822977213908
ADM,-0.0789985099194429,0.01905266201730515,0.0029315094959876894,-0.102410867271763,0.0042305439353396875,0.04161565158018099,-0.025450196233479612,-0.03484794328276154,0.03906921809780074,-0.0728993440472742
CCL15,-0.013797068560400225,-0.0020915611117387515,,,,,,,-0.015026691770413334,
GNAI2,-0.01963795559922158,-0.007336689024449045,-0.09000065797146747,0.023613390450714162,0.06396779408455117,-0.021938967409673278,-0.06823070662707231,-0.07464470132154657,-0.007602981713563289,-0.020398136487573406
HDC,,-0.019328104676249243,,-0.015212268347266435,,,,,0.02626654187097101,-0.018751053358581585
COL11A1,0.04094842693269571,-0.02252758384461731,0.11201465338016584,,-0.008193791924373089,0.062015053070148436,0.04744158058545392,0.042108387979954545,0.021767307402416364,0.0029536831066793363
NUCB2,0.05854772511798052,0.0504025609119446,-0.0017696053383246114,0.07589680108275465,0.04225058882558044,-0.08521414557895611,0.008008801585858082,0.011014229505917102,0.060160125903609966,0.014218015647833107
FGF16,,,,,,,,,,-0.018476725463181205
CXCL1,0.01123507101942598,-0.01444808952051037,-0.03625785110709938,0.10719540368532997,,0.048766590682064646,0.010951696275702437,-0.02968977313508864,0.007003395633663956,0.008061980536565929
VCAN,0.0028985018916480266,0.07568697325804324,-0.02907102904192988,-0.12509704786691556,-0.035485853690136696,-0.035740307825393135,-0.03817158517083322,-0.004230121322771827,-0.0873454518778624,0.06685842489621853
MMP7,-0.029416443626237968,0.014089927179886398,-0.03623561071888952,,,0.04463297529352853,0.04220951816549552,,-0.048900753078750275,-0.002440326433772573
PTPN6,0.02365469693582919,0.03429948424708487,-0.012133653983677982,0.19814436659658952,0.04493808066711186,-0.03362836924308518,0.0210836139505881,0.009302020784552962,-0.01524053745828615,-0.003972142960723582
PTGS2,0.006274781780552209,-0.021259171891482753,0.025598887959032268,0.03939625804936645,0.010559933607364015,0.01663936235659158,0.0002522768187612829,0.016424564929582122,0.014709092748860158,0.020194714852218177
