,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,,-0.011880544889408462,-0.026274341079143768,-0.015199078772387643,,-0.004352879574715047,-0.025795149518728678,,,,,0.015126068383583352,-0.013146896395577288,-0.01603498306079712,0.029698363387042542,
PDAP1,0.008144759335990232,0.018785186224754925,0.05183662743554922,-0.021176435542239698,-0.05787056313222671,-0.005031736250804618,-0.038956333833145944,0.04169169752470428,0.05286709025381501,-0.020720481153593654,0.12278358690497265,-0.009735842932586131,-0.03448339480284252,0.0389551119431643,-0.03862951674587779,0.0005513277817166287
QDPR,-0.013180753805407095,-0.016418933938271593,-0.03570449979670166,0.031200108514913796,-0.01172705962673135,-0.0233050796115105,1.1157096736018337e-05,0.010929881919015078,0.047235189609539714,5.0227565671498804e-05,-0.009528534317073173,-0.03212192218620101,-0.027616573910166274,-0.02521748719198603,0.038200133516734486,-0.06530863514498396
POMC,-0.004862123140567628,-0.02110983281548658,-0.024467732455495543,0.11434067881778565,0.02156947762828269,-0.008148178671489892,-0.019030632812236478,-0.02226079424749769,-0.05180793224106569,0.003869162957197536,0.036084983420093864,-0.07898779567795351,-0.018900393872109556,-0.02623112584178775,0.03735071048383089,-0.039653339299113216
CCL18,0.11828896422266923,,,,,,,,-0.012447165163426813,,,,,0.009093347088517816,,
CCL17,,,-0.015228933061595151,,,,0.03335639484215696,-0.01430536637423651,,-0.015053564911073689,,,0.013439389845145845,,-0.018963690344369413,
VEGFD,0.004127745676304958,0.05874626086035427,-0.01696671315743807,-0.014541618025568897,,0.06752134397529286,-0.02179356805042051,-0.018547797397214107,-0.02573894375446832,-0.016133371774333105,,-0.01943473768831475,-0.021233772360215158,,,
TNFSF13,,,-0.01050457719230214,,-0.011095207613791428,,,,,,,,-0.03680806655006174,-0.018006211272057714,-0.03607442920964799,0.09548825365018507
WNT5A,-0.034062391019467064,0.031213846371398575,0.012111626437900995,-0.01222778870667418,0.0028089120311241707,0.007850486630071055,0.06191548063034125,0.022947317908417468,-0.0632917417175268,-0.013287417668304618,0.008401558119980418,-0.033499815700246106,0.03163904582177552,0.0033699191678867777,0.07011307113574336,-0.04785107269536871
CXCL8,-0.03367239236953518,-0.01593323916078834,0.01784630878612592,-0.025249236633557434,-0.01578221320482134,0.017521341494785805,0.020466124739559517,-0.017272515421328426,-0.015066212486522986,-0.006273225059767456,,-0.021937601463303386,0.03215544691569817,0.021673934027401188,-0.007978186691832197,0.0620547227299116
