,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
COL6A3,-0.024681636195385954,-0.054804983109067035,-0.015409417552817564,-0.04215447926256153,-0.043541471387428206,0.0027093462349204755,-0.006361042380132215,0.036145616995223236,0.05934773526271812,0.06894516228800532,0.05457762393756941,0.054965766602997145,0.024949607753218635,0.023101004565431148,-0.03188708053254298,0.006132873877171929,0.023664320616936865
RLN2,,,-0.01054987359365542,-0.017536848725863887,-0.018040380715241337,-0.020754190533966863,0.007790620409499071,0.062735253265049,,0.07739363044678163,-0.05236105614169224,,,-0.0223650435005077,,-0.025105019181225045,0.04502492934475298
WIF1,-0.0268521046495297,0.01314269634079719,,,-0.008527381456033885,-0.06675427728638707,-0.017273291550567622,-0.004593233087495516,,-0.006153496321408626,,,,,,-0.02798503686966991,
IL13,,,,,,-0.0178154967207746,,,,-0.028814176248285375,-0.039221797960813765,,,,,,
PLAU,-0.042794419778235455,-0.07608097328902678,0.0004745507044565195,-0.05498833464876127,-0.013303377241168472,0.08060464591169447,0.05464013344303378,0.04540927615917421,-0.04066313822388285,0.06087456499087105,0.010820324012629183,0.11006033657302271,0.09012996247625149,-0.0018630840152583296,0.03914409886539935,0.007542916391362502,0.05360126542779819
CXCL12,0.0060702058591222815,-0.06472952873824478,0.00131432528377687,0.043276464928980754,0.021815012064477675,-0.04080285839244243,0.016989662683961654,0.05632011731681553,-0.051310658708730125,0.04181326754251454,0.0710609608109425,0.033220912580643254,0.015547582313030762,0.013170568505047426,-0.049945658531583,0.03436253347122686,0.0595361257949786
MMP9,-0.026915772555623944,-0.04246297697080496,0.11670852894309286,-0.0434933368935142,-0.03820261598863912,0.1274181528963128,0.027352961753657996,,-0.06567746721741916,-0.03583852933186965,-0.036725333274784853,0.1735736724145415,0.004334828229459496,-0.006722617710380473,-0.020499318818060813,-0.06413556414773425,0.03815744223678574
TNFSF14,-0.0024895324002393027,-0.0037520588025967408,-0.0150097248879782,-0.028289438455295284,,0.01438848305950735,0.01614294863886308,-0.030745448250451814,,,-0.04746313430480497,,0.055367906794868055,0.07398490203981475,-0.024754553422995467,-0.03304989362017138,-0.04507087741844268
HBEGF,0.027610370880262896,-0.03734843320260944,0.013075109204437756,0.007556148010479177,0.05896337275640934,-0.013281233843073724,0.00841464724141165,0.04518538545423754,-0.04942877298351616,0.0036413253376303147,-0.0015861424067027134,0.010470974014271118,0.08520445532466248,0.015179040743852552,-0.02965795215585964,0.001456403403291721,0.03602276568223953
NUCB2,-0.10486527883274316,-0.018378892033527074,-0.0238137736120422,-0.0720488838796185,-0.04085769614858258,0.013910525088182656,0.013376284823391222,0.02530698969182291,0.05566996764268523,-0.016394636150364638,0.023832643877712473,-0.07188185327305299,0.03136049514038355,0.013588644196292235,-0.03319947458248134,0.0035964108972918905,-0.0281828189452287
VCAN,-0.038086948566330166,0.001516027274995856,-0.010122775890289901,0.017616620398678492,-0.024298650551197565,0.04953044046841416,0.04669296779806968,-0.010325239533766423,-0.06423020790526963,0.004600197768673577,-0.030904121119470555,-0.01782378867143697,-0.013086632239267176,0.03679681760533734,0.050298822889180604,0.014442036021758038,0.024310732024204345
VEGFC,0.028083774597845855,-0.041769363818815713,0.02552560759785942,-0.025681334039160675,0.07525370312196329,-0.0035729799394690134,-0.014086651308658098,0.014694028513743023,-0.02514608938003578,0.01493213775662913,-0.04377862772892093,0.0018738793435114037,0.16077029022883338,-0.00491661923594451,-0.039165869974687406,-0.00748598295438702,0.023706467368968875
LMAN1,-0.046720504416348924,-0.013989047710021834,-0.044399070122976905,0.047870500596191246,0.004597900974350109,0.0730546748174636,0.010513567830858205,0.044996472685396346,0.0435587687845171,0.01304572614215631,0.016114347385393676,0.12200103290629022,0.04154902436758969,-0.03946685734302607,-0.02857905008925148,-0.020002452268411006,0.013289712025867642
IRAK4,0.05311418225142001,0.008893815550895622,0.018135834326186956,0.0031080391870965465,0.0002456830918056653,0.035966266743401365,-0.0071615652126906975,0.012738884428468095,-0.06229599762395176,0.04385980139391363,-0.014477086867957003,-0.029545292337752743,0.041699636826626814,0.0743649544479383,-0.0004908236170651184,-0.014847870693855202,0.045390951626179545
MICB,-0.056016588243834285,-0.014287870718411342,-0.024776674453470267,0.02264318306121753,-0.023784671524675963,0.005290262998717644,0.0064547032692103155,0.028022338277619463,0.04573906121189744,-0.03625639456015948,-0.03163476921421184,0.09177849370839179,-0.04205055490571031,0.025135263741074197,-0.03364929015291804,-0.03171715210920529,0.056869322031908864
COL1A2,0.008541915172503047,-0.07705865224162387,-0.053723554813808944,-0.05120599164871955,0.0147616239758172,0.098913224495237,0.03508723174403881,0.024193138258351718,0.062361684350819964,0.024267995105763294,-0.048277819717760524,0.01917664210872082,-0.002773583300439906,0.0030642562610578177,-0.017020613653827368,0.014026090885773997,0.013240654179835656
ICOSLG,0.03178916913039483,-0.060068336559776225,-0.03739929630985209,0.0028519878832663774,0.06984979726333419,0.035270183650657184,0.04030054665655705,-0.024167204173510575,-0.00035006396921012005,0.03399737777503767,0.04870280295210055,0.007026217933772551,-0.030676318803761798,0.1105137707817432,0.06316793003018727,-0.01795079957406976,0.07814417787661129
GNAS,0.08910170051555592,0.07038110197861733,0.0009779055391617656,0.007331079094401517,-0.008327508265484927,-0.02853902214606949,0.05142169836625022,0.01910965769983422,0.10304793284188982,0.0527524524975217,0.005886055899560391,-0.08986745952084127,-0.04507677340661529,0.0012786666207169888,-0.024197845840242357,0.010462218744542484,-0.05319304570019136
C4B,-0.0334298195643377,,-0.011622062825655522,-0.011377195613144762,,,-0.020695700234647695,,-0.012930234088459062,0.003457365319180938,-0.040401747014459796,,,,,-0.029062565021880732,-0.02142019537516936
COL2A1,-0.03708202748055305,0.040066145775332254,,,-0.01623955698876279,-0.02055726800897339,,,,-0.02041494281438566,,,,0.04506461761065053,-0.047908866586767934,-0.014175191228088259,0.03297746049181699
GSTM2,-0.01160462545148711,-0.0007966549846080737,-0.006437233682266479,0.03819722084472054,-0.01235836458861483,0.049783879477045496,-0.02345559445180897,0.03988171727505343,-0.032089868965395445,0.01179841690987751,-0.04432135400569827,-0.0038583018869967323,0.039935708433003154,-0.06128811779069303,-0.0118421492764459,0.019937452029310847,0.03874155367213264
NLGN1,-0.016473108819398445,0.01502287273353169,-0.034572331382144814,0.02710712226899059,0.022821896790130754,0.06606585385608749,0.008406528680316452,0.029203930353481924,0.1363546011929737,0.018037679105558178,-0.0580071979712537,-0.0195745368722829,0.04013300582239038,0.02264097494516164,0.02706708543318289,0.06591574359566799,0.030203407233597795
SCGB3A2,,-0.035115150098933234,,,,,,,,-0.003512883733338132,,,,-0.027909226710831812,-0.033298022988766426,0.025186484356563107,0.17233671436913078
LEFTY2,0.020897725861927553,-0.059313021899243014,0.047529442627231355,-0.013362104723353165,-0.04189094923439637,0.12006190905306618,0.08395466944314002,-0.020661437007268264,-0.014969731796175605,0.03231140905931284,-0.09681081977570884,,0.26093454590185405,-0.009900442386222221,-0.02343341698431984,-0.03123043711844078,0.15775765429245323
ACE,-0.048499591874096505,-0.049556542496344905,-0.023760200639606734,-0.04629753070316894,0.002784355710908349,0.07904477556552991,0.025304030476304085,-0.03065633981609411,0.012847906506842713,0.028307337684373376,-0.03883217158829193,-0.04296184898811391,0.04089916290754861,0.03898071493939316,0.06850045813787448,0.011401150894240902,0.029184218661079692
RPH3A,0.1086936316885424,0.06160607005896334,0.006357096092211335,-0.04017803184507715,-0.034113608339317605,0.0026610927229135935,-0.029719157279780854,-0.007461933135251872,,0.04878942945497446,-0.10595188919105102,,0.06311312585257109,0.010185908148845495,0.06874290954113012,0.012533727054444724,-0.026224420044231717
