,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH8811Bbulk,ZH8812bulk
CXCL8,-0.03726551585231415,-0.02752788085532869,-0.01917305653043605,-0.009981732822255236,-0.03073177536725474,0.052502067409144995,-0.023855245332548774,-0.00950876094533376,-0.007817588853674711,-0.10474644493813634,-0.03197061211986826
GRN,-0.05552800185873236,-0.018517499291112068,-0.006314484533147818,0.04376057126592795,0.01579693935468772,0.03969911313118865,-0.0265084081011838,-0.046326926457954366,-0.043785281558100984,-0.018424116172243994,0.042233405160152955
MIA,-0.040525845679869096,-0.03800356084328461,0.017861682288397802,0.028778485804715932,0.069292392108992,0.06968434144300954,0.05873515290320848,-0.011612659056814467,,0.0788960414169031,0.06893804326593181
COL4A4,0.1917112757432758,-0.020826212148639063,-0.0306245343736128,-0.024931754745951037,-0.010171183658380474,-0.017728102192831247,-0.023027214613596993,-0.019508343691309497,,0.03026203092926925,-0.034687116114883496
TAC1,-0.05604580063009862,0.010669725743076204,0.028655975154259633,-0.025281473353903017,0.008276617521548225,-0.015806433935972263,0.001858103035705372,-0.035585342078851494,-0.06307182506475309,,
RARRES2,0.023203035861576623,0.0315006185091679,0.01223441028564806,-0.06237981843481766,0.029413179902200364,0.040327904984424234,0.009852527191340563,-0.00129386869995975,-0.05381218267268727,-0.06037979685230134,0.06593572836180495
FGF7,-0.04899410756042238,,0.00495694833080445,-0.010202539832982638,-0.007221517553686687,0.00417452586932811,-0.01702441560569716,-0.04049531258237246,0.010885957660005283,0.03302907249162662,0.0017526624057652442
EFNA2,,,,,,,,,,0.09275257869530705,
HBEGF,-0.022940278445364743,0.008376674588410819,0.016825978807133306,0.0078504636721256,0.06288951246825525,0.0528693382797387,0.04312066085020088,-0.026222368606009013,-0.02447757473911276,0.028027964693167734,0.022344097259063035
CSF3,-0.0035473164885843995,,,-0.019903700482529502,-0.040743560079960085,0.22910511541288012,,,,-0.09849394307799733,
PI3,-0.05301292520978679,0.06149894710208355,,-0.034347777918672544,0.009198621867548922,0.16558249306732278,,,,-0.11316571617716549,-0.01913269008238875
PCSK1N,-0.03144524728663952,0.04241178196235318,-0.04056398930214311,-0.02277751822651198,-0.04521707870479836,-0.03783807176087386,0.02464582185630677,-0.011431341714347286,-0.021472768347825008,0.04096499021977236,-0.04186762126636034
NTS,,,,,0.006417322039838541,-0.02305336899544375,-0.004239152050359775,0.06464305621153893,-0.021143098973485836,0.004704801534754332,
SFRP1,0.00628682637613185,0.05551211345981839,-0.05270024603690608,-0.014570485289733877,-0.02192385148607464,-0.01164076500441943,-0.01635584146753908,0.006355000146022856,-0.0013123768216848448,0.023638571502211127,0.00034986684601663023
CXCL13,,,-0.015297884736739526,,-0.021726816803073135,,,,,-0.027017018699550976,
MICA,0.008499697082256142,-0.037658277476585976,0.0001840757195868832,0.015435342679358416,0.02737837743652645,0.06292244215056243,-0.048424551157026735,0.012839943359449688,-0.06730891829792157,0.04216048571473411,0.020105875492537718
TG,-0.03567280989038812,0.056070518848656464,-0.003049710716264939,0.021506306371195348,0.059341153251801566,0.04469142618519859,-0.022220651164300085,-0.010074172233886458,,0.08488100118277236,
ADA,-0.05275425809991619,0.017849264131729232,-0.040160631058264666,0.04147647243169008,0.07626785797004487,-0.017857771835734722,-0.024222748868273435,0.10536277707056099,0.021547883722852216,0.04757163876899864,0.13849162106918408
LAMC3,-0.03733442254286816,-0.009096238785992503,-0.015388712450023845,0.0117994147432036,0.04052333192082363,0.09236018285061307,-0.011044932588448384,0.02234439469854783,-0.017865605911527336,-0.006436273364602432,0.0025662825971676157
CCL7,,-0.016771632006723873,,-0.011368327169634374,-0.028805747721541413,,,,,,
NGF,-0.025781687289687882,-0.02879605929162478,,0.01870912672699047,-0.006948056233022919,,,,-0.02114311289481369,-0.02145251777004018,
TNFSF15,0.004331579031651206,,,-0.012659188321147246,0.029620569068380884,,,,,,
HMGB1,-0.07438828944703857,-0.009466572734753922,0.05641625078786618,0.03131468172627227,0.009276272883131372,-0.0520538481444532,0.03537156603379395,-0.021316674872115558,0.005638061917416308,0.04677102830977677,-0.007711331536134036
ITGB3BP,-0.0041752267009245855,-0.019389770238285156,-0.03033540332035781,0.04845734722113514,0.055867656791610286,0.035093469343798624,0.036943518417409144,-0.018843701035144596,0.05343624040682565,-0.05280528104909072,-0.0320536005935051
AANAT,0.09010671469972907,0.11744890502020626,,0.08909750139930674,-0.019217513272407637,-0.016918411361706992,0.06350842116995782,-0.011612659702740214,-0.019877635558321442,0.040493017769002194,-0.02785400933392465
RELN,-0.005311689576283945,-0.007135652327080479,-0.007956622520882464,-0.01999365435155693,-0.00409758175565711,-0.018143493231421805,-0.030049992317307875,-0.020330648137896378,0.11545571669471956,,0.009229579791941485
IL15,0.007956192163457184,0.017916292010452185,-0.011594621372671648,0.032334520089551226,0.08362559213339854,0.11880690098341724,-0.025066986774694655,-0.024959411397317596,-0.011997860163076616,0.014595507209063089,-0.03468711171911067
UTS2,,,,,,0.015685696139792947,,,,,
BSG,0.1589419809671561,0.055919347745003546,0.0014670032957412788,-0.002893547670258333,-0.046995532602483236,0.06487004310294012,-0.001443468302303673,-0.004533351432044566,-0.046602960031765325,-0.05738791720551001,-0.056791057880824086
ADAMTS3,0.009312459194957221,0.006121561005717983,-0.034157641974838705,-0.043548717545209024,0.016906838615149654,0.07190553678976047,0.037274743475698834,-0.044056285157060976,0.03568999563232911,-0.03370477997045357,-0.015889651861766035
CD34,-0.006964353470617904,-0.04264096434785153,0.014992396422617838,-0.0031608474342878956,0.053983774788845966,0.026091420297457736,-0.044790251963419424,-0.007697927323771563,0.012845078073356721,0.04022728580572296,0.009874616965612627
CCL23,,,,,,0.06099941069369311,,,,,
PLAT,-0.046902614100860524,-0.01932107629250744,0.022027032604988162,0.02754569277248262,0.06583475111011339,0.052204354552863444,0.04075288906111714,0.01763613226522913,-0.07111547967842148,-0.01575684894855441,-0.049712454914123676
NTF3,,,,,,,,-0.018745603012715235,,0.08686521387901075,
LTA,,,-0.014296300950063795,-0.014570484608103673,,,0.09916184833635065,,,,
CKLF,-0.040952669002333776,0.013316507542696402,0.013394526793581567,0.005137368177615501,-0.0028775564121068784,0.04135248607357166,0.02729224551744146,0.022183674168987453,0.01037468643439315,0.05471749116903988,0.018016144920372217
CD24,0.07265475566887254,0.010070705259586877,0.036489319663806495,-0.03529613606051457,-0.008408608313287562,-0.0539423129505481,0.026235317309256514,-0.005411279976492428,-0.04276594440807538,0.09412512504347453,-0.06093956704044602
HSP90AA1,-0.055003347040734285,-0.0061479936913252375,0.038344398778473704,-0.011243263955511196,-0.006396511352887809,-0.055644958886695475,0.03435581268353786,0.02941740643333846,-0.003103293813683316,-0.12017829383016905,0.02325279770088537
BMP4,-0.011929589041242082,0.010958706964572757,-0.015154917056310705,-0.02555418956911938,-0.01703305928287312,0.01166476236215385,-0.01810256661797509,-0.02956678242794395,-0.03170526003786283,0.017435196455439065,0.004975664796572335
SCGB3A1,,-0.01677163032958308,,,-0.022885685913065668,,,-0.0097953920390798,-0.0035677769252504504,-0.012401634332941999,
IGFBP4,-0.03137884214333763,0.040633450968865226,0.0034248270365234584,-0.039774509671585134,0.009275131707599457,0.10099371047965273,0.028322912053642926,-0.035003125387361465,-0.0593637571357394,-0.027131988083027393,-0.06288041602672323
RSPO4,0.09590689631798363,,0.005696242955976902,-0.022302679447466636,-0.026413801730081166,,-0.009781727921130584,-0.009795390606282128,,,
LEFTY2,-0.008564444824530512,-0.046254585893284225,-0.014471881277171505,0.031060961438190916,0.0627672353529285,0.08599480440709294,0.018968747128150804,-0.010740765600047678,-0.02114311289481369,0.07247167077105358,0.038287785275622516
PF4,,-0.017397874226473792,-0.01300442878460916,-0.009918641486105962,,,,,,-0.019930618811041186,
ANGPTL2,-0.0018213171891270639,-0.03006389712952673,0.018198243427353333,0.06655331661223353,0.022659980340651524,0.0687706727893033,0.0010055881500932028,-0.0076566200998835765,-0.05990309083591078,0.02772808247094678,0.02856404859510059
LRIG2,0.025072585693397216,-0.010545194531053587,0.024129892916228884,-0.0001759248252887418,-0.0057008762095458465,0.030351862968325614,0.028981667965642482,0.025427213634814386,0.024848651834449453,0.012155479897115422,0.08388909652024054
ICOSLG,0.05716406128153438,0.0383397870949049,0.01423449210365351,-0.03806169795632514,-0.058577414858729186,0.034380925870366105,-0.04211944102496823,0.012190259688752918,0.1006114554371212,-0.018352575805840515,0.005132374469943707
WIF1,-0.024458353996842045,0.012657930652566849,,,-0.03513373725082038,-0.009214970864643523,0.1134069890753639,-0.018432897031802047,0.0039814106722238255,,
NPPC,-0.0424663031068345,0.055024944401274735,,-0.01538625894567295,0.01953958475494148,0.08030870441882412,-0.033694703140869704,-0.013613195802611689,-0.052492352678036515,-0.005269749209651429,-0.026425331554110296
LYZ,-0.0017035309732306037,0.023151762672688585,0.022523134680566898,0.06493300118609634,0.02721810743902734,0.01735878456372381,-0.07206449419305694,-0.0422878068302129,0.039233654061732,0.0323795708617865,-0.029331402451739805
EREG,,,,,0.01254433395852693,,,,-0.02175008434006975,-0.0035772730878220675,
SPTAN1,-0.0038029575744450562,0.018892739513795834,-0.013442349490542228,-0.03581763727592988,0.014892073948302144,-0.018173023715260417,-0.03689341794252112,0.04476462451874023,-0.029081052540518102,0.06508888334719244,-0.04545305841123712
LIPC,0.021566240936558345,-0.021299570993833596,0.0996007726277654,-0.017824537464692706,-0.02557290753777029,0.050947011738495716,0.01526637559872204,,-0.0389540046324573,,-0.016802927511380024
COL8A1,-0.025610544183837704,-0.029400633511111968,-0.013286519311032082,-0.0005093593087135055,0.0205552726309295,0.018921647071536193,0.012815554835150629,-0.02330317709000614,0.017477419185416756,-0.021758945441932978,0.0158351277881486
GSTM2,0.06518418295960106,-0.005221273622760526,-0.005716656923300441,-0.016518556076253688,-0.021836981756484495,0.018217654256425856,-0.029700030103719216,-0.019263908617856738,-0.0017979283081324055,0.05850587885232762,-0.0017209119507557412
SPX,-0.018297632188372243,0.03960486148687464,-0.0270286125443232,0.03961446359353782,0.07421908431097106,-0.02666155551555256,-0.053860421213789936,0.016936683254189604,0.00521878853182213,0.04097691652334581,0.0020297062730136755
MFGE8,0.058950337885418605,-0.010991270250584913,0.031850553397383685,0.010029675304696062,0.05984818296344362,0.07042201239551617,0.004278583770235817,0.012882687072458985,0.009027593083412746,-0.025277450265258967,0.015353315067650296
TGFA,0.07388245374603408,0.00899927152966562,-0.015396890542471453,0.04088139953598961,-0.00013893213009176454,-0.0016416720530769288,0.03190288654441476,-0.032687403028832634,0.020788299062052464,0.013587584310596583,0.03657641658000417
SLIT2,-0.06382669284194767,-0.0007404434484844568,-0.012813550724318772,-0.033757913713874564,-0.06851980932393746,0.01445871780819073,0.030543794600629587,-0.021514327645652812,0.03653720397572159,0.013659630116391533,-0.014058556528103814
PLTP,0.02420856720336372,-0.056394622105048246,0.017440179345109438,-0.014633459500894366,-0.009259803657795322,0.06926931542230434,0.03719446762052268,-0.014753622359272425,-0.07829196542216665,0.011520037419983987,-0.044067018577014755
APOD,-0.07147767209309118,0.030323387776774166,-0.012427127814833861,-0.03517847241141755,-0.030932413977852177,-0.06945722260598422,0.03901808315964507,-0.03878796040086265,0.004349347459359933,0.132624405759468,0.061701175140839996
B2M,-0.16512522267256272,-0.021941204883732766,0.03946462128236542,0.0478869382117296,0.062437405540321816,0.09115408387000543,0.09379217468754433,0.006511952396686416,-0.023430541089484988,0.04566411357735091,0.037759449719195835
OMG,-0.01640396276468887,0.02660614658042268,-0.0012213470836199,0.018824533520235526,-0.0028225928771298927,-0.07631612166853417,-0.03188080464848188,-0.019869486951496262,-0.0002332912917555786,0.0850802917931703,0.028888382216754837
CXCL3,-0.014140928772399359,0.06544533558638631,-0.02673586797290778,0.02173194044418849,-0.05599871569533544,0.06580601068848697,-0.014819520061207622,-0.010478997431499042,-0.03061856807272356,-0.056852298614551634,-0.019614806786779137
CXCL10,-0.050764768670735025,-0.0018850896221841373,-0.04361323149780159,-0.025817995658433835,0.09070842905251236,0.10330589903723195,0.04701882533910646,-0.015918364074091085,0.08462494250307538,-0.026732737642013837,-0.006973919356741829
RSPO3,,-0.022782128798479524,,-0.011518567050823778,0.06060755366714487,0.028238678709468525,-0.03380782208825508,0.08204438026074168,0.017011223408888627,0.00290607776038954,
CORT,0.029080583599749774,0.05716042302490947,0.004810497330585279,0.018852681676417495,0.01760222291941351,0.00967007414096516,-0.011782648074885885,0.0009035551470432946,0.07060512469116434,0.05708565475918161,
NCAN,-0.060315812140626986,-0.029501874189447913,-0.05171833053997504,-0.0615085677908214,-0.01868824329533737,-0.01776463005299793,0.0063698330751293325,0.008145137337638218,0.06265163544822389,0.08268939102953685,0.02161043226192927
PRG4,0.03741844861184722,-0.025222531577310633,,-0.011368328941219408,-0.018310098696508657,0.042162537428138636,0.011692258282398919,,,0.040163004823369576,
ZG16B,,-0.023257189265953847,-0.015648716450289132,0.07483793991673088,,0.003500129189894782,0.02106014297229032,,,,
TGM2,-0.008053590482666812,-0.01924956389809092,-0.00952311973299508,-0.0057334123146655855,-0.02856260452371969,0.05402358342945038,-0.04165997786223875,0.019649779603711198,-0.012206686531214256,-0.0678606322677556,0.010024360879731678
VEGFC,-0.034578572200590754,0.013311385673308303,0.04414225875899289,-0.005493692605765223,0.03801361971852803,-0.03172928827980278,-0.026859331156251363,0.012438188008813153,-0.0019408686497049655,-0.012004144886714642,0.01580010012263664
WNT6,0.014442196303872164,0.03850543671573355,-0.01447188165697884,0.04022559089700048,-0.02522955320732821,0.08843792263796865,-0.034033110211337377,,,-0.03876251366973698,
NRG4,-0.0326821836347956,-0.01544726188885648,,-0.013835776375597221,0.032051488510457624,-0.029975520242632402,-0.029379538560183105,0.028698660031923905,-0.02738078997859875,,-0.02077504575544593
PMCH,,-0.017803800635624284,,-0.019170816098487448,,,0.0278065794323947,,,-0.029262616368928705,
COL9A1,0.012766463475483889,-0.008168813973053789,-0.00658467724920404,0.06404720932895933,0.07662250450877663,-0.008598958195542314,0.03167126844077193,-0.007324495838144904,-0.021448567875264193,0.05869616056367086,0.028775578004691268
GDF11,-0.07195711660965634,0.03598410608130056,0.022077258915029707,0.03428853238026605,-0.04110288337889485,0.047634222322864496,-0.029029704772610257,-0.03811457440775472,-0.024113055121067886,0.02703239357679804,0.13131090809652468
IL24,,,,,,,,,,-0.019612835227198314,
SORBS1,-0.005968667775738445,0.033496513492313536,-0.02138134427615483,-0.015136648388775785,0.027074102408139535,-0.0124613046338157,-0.0007713552640613153,-0.026712698966138152,0.04842183298072809,-0.008374344285879685,0.008714436279505803
DLL1,-0.08007021501092322,0.045929739445378995,0.035849433629769334,0.05077173901572622,-0.013313802762962292,-0.03329075399725656,0.03818540413665172,-0.030779014445527546,-0.005773785412288146,0.053829094848505024,0.034902039075476746
TLN1,0.007529363801639597,-0.08573042621534699,-0.0030641135200899943,-0.00676217686471705,0.0011916190451622393,-0.015270964297931915,0.02943665696521708,-0.02225372573578746,0.024981474637158583,-0.015568771151843743,0.07776126882680594
COL2A1,0.039507049664890145,0.0028165833718084283,,,-0.016353695810808113,0.10041075453022655,,,,-0.032642183779438505,
SHH,,,,-0.011813560291132183,-0.041457725340322826,0.0725911993808698,0.006976881045196318,0.013560671175816365,,-0.038440264009507064,0.04359995719915918
PON2,-0.055175859220435136,0.0055604164653496446,-0.024610905752385337,-0.016418098367516495,-0.03300516527521596,0.04888921051076859,-0.017673781465301595,-0.05654325660833481,0.07576738435036899,0.08106019426020243,0.0659328638014769
ICAM5,-0.07057688118944995,0.04665276475998223,-0.01862856184213802,-0.018412272195109405,0.009568728119105651,-0.014813316363200319,-0.049689694701435964,-0.017409434085175535,-0.00038563429286548223,-0.04290951490271826,
HPX,-0.0532707304794551,-0.024846155675449656,,0.024996276512808675,0.09944702848850255,-0.032346862031782865,0.007503829367221535,-0.009795391040463173,,0.020174930655525235,-0.027853997927263327
SFRP2,-0.015596530200255384,0.04179625906633928,,-0.01345436493772104,,-0.017728096972549262,0.05554904014004863,0.016999349315149043,-0.06049381606605118,0.02129408119055236,-0.05495484534690521
CFC1,,,,,,,-0.019245868210544533,,-0.022341780169047833,,
CD70,,0.028792526822565785,,0.015358929125163137,,,-0.013134239897519846,,,-0.022170688590284808,
HP,-0.09651797025965152,-0.04325177591165142,,0.018573210122088412,-0.05207526204382924,0.028945616995006876,-0.014362566770287374,-0.017062341224112265,-0.004967190915442851,0.05857347379791757,0.07157192742426267
CXCL2,-0.007530169321716405,-0.007158466992499196,0.021966351946729256,0.028659540682119115,-0.006235462311328331,0.04519570232006899,0.010109389777402958,-0.013613194737200952,-0.037270700604392415,-0.03882069469198807,0.04338790627213828
NPPB,,-0.021637026360886387,,0.023152616204440712,,,-0.016852464909361164,,,-0.01451755585149797,
CCK,-0.1011958853030728,0.02313592127693868,0.023405292535707375,0.004108101129135989,0.007608846306609226,-0.020381531648236834,-0.04280091010020283,-0.05765664445900975,0.014524203833160639,-0.012982313062130577,-0.008492423080253017
SEMA6A,0.025576095731278746,0.015908624903236454,0.014373507587562546,0.01726102027284216,-0.023221955544943985,-0.005281517589332329,-0.012635002171342495,-0.03499358014206063,-0.019156006165727796,0.06554747343658604,0.07381952924188487
IRAK4,0.03511984979035274,-0.02146396087830751,-0.03844602769638591,0.004077914133896355,0.00539018926723373,-0.05571386926178603,0.017643352860986117,-0.007621113672402171,0.006275625591647621,0.0688499318278521,0.004338295028218979
GSTP1,-0.02510079688528078,0.059796304639865974,-0.06480440399922291,0.015983619320492044,-0.06888274881335459,-0.00784872458730749,-0.0428972248730434,-0.05097498183240585,-0.031545500662679214,0.11182233945965556,-0.03003957572083767
VCAM1,-0.04694467505796943,-0.014659991857486664,-0.00024382098699063045,-0.027616928880901028,-0.03613301303151067,0.07481053732806725,-0.005065729686742051,-0.0004889434876617856,0.016084243858057862,-0.04556502777530474,0.031310024523424525
NXPH3,0.07926505714114329,-0.06505260020561518,-0.019467361696060257,0.006232589171174891,0.03731469235831213,0.0035544347692939063,-0.009485704450957966,0.009055807108474909,0.05557473780407963,0.02045127954084765,-0.04584012960512072
MTMR4,-0.05101148331883983,-0.04512727955058179,0.0018192966091563401,-0.023137372660949153,-0.01697783543066912,0.017993459602969112,0.054079126895748085,0.009728820694442253,0.0021988466799052254,0.04398248440467595,-0.020841322659056572
LAMC2,-0.02984526316567333,-0.01698280325735092,,-0.015400327665826972,,,-0.021215373189368905,,,-0.025757155909273216,-0.02008625785878583
IL10,0.044324658997789035,0.03596383758066997,0.027449097790381172,0.11831971261980685,-0.004145199195662711,-0.029148511330708102,-0.009403795616809986,,-0.06257790543221707,0.012944638856136248,0.08671459635056826
SEMA4D,0.003856536539491899,-0.05074165600955114,0.023347469151375307,0.02491979739250945,0.011125873362826447,-0.03613741439326991,0.019126173725173064,-0.003396278180233181,0.0844954135826649,0.041240453228414777,0.07399025134084977
TRH,-0.015135368345745063,-0.022909677269686318,,-0.028003937017620575,-0.016093276556568073,-0.019918174174240227,0.0053813999811764,,-0.0347924422422109,0.0937501897411406,-0.04439657592623681
SEMA6D,0.05368083816363643,0.03224838026634277,-0.0003872762715931505,-0.026984568917197537,0.0010864350329667647,0.009125760554474631,0.010157906528350427,0.02282967939227168,0.028513540211246243,-0.003263156348183177,0.05960277606833558
CEL,,,,,-0.03175035826340936,,,,,0.05764495545265796,0.016569112998974168
PDCD1LG2,-0.013383965280639842,0.0621969821931609,0.020251445824822314,-0.0011673430152156063,-0.03578200552890864,-0.0052627485745447514,0.034566262221822436,0.010017998657244728,-0.038697234975258656,0.027535672098157365,-0.050407434700667365
SPINT1,-0.01857519516970789,0.035010712095181064,0.0001857105203344647,0.02004335623529717,0.011138129907898605,0.013532789805956257,0.012988864965008808,-0.016007823997489304,0.014603050861409745,-0.023350514861410175,0.08356926664859705
CTHRC1,-0.08702209289962311,0.02541057236316123,-0.0217094555997803,0.030674333615966793,-0.03445577610936923,0.04338741966189105,-0.00016604404035922615,-0.013086071049357058,-0.019163097405629617,-0.023010026795887605,-0.06433349128558502
PODXL,-0.007038742600417358,-0.047865698311029325,0.01144520967020083,-0.04211131135078663,0.025006748896719562,0.13015038212231791,0.0535722457486852,-0.01867452739783341,-0.0750668255860314,0.011310921089793964,-0.006697493591757467
JAM3,0.0837405738489177,0.03229179704377612,0.010296469660336286,0.024072967933490313,0.04317775701646237,-0.03981431901790143,-0.023128293083589227,0.005999736827958916,0.008892211967245064,0.019581706285484786,0.06842353904763859
TGFB2,-0.04279794570351718,-0.019889636798501767,0.02898578004793398,0.0029691753240186514,0.06999543293840409,0.10233463717655004,-0.005350777718627476,0.05129536309572078,-0.020857821707258164,0.0150941115005249,-0.006205293018985735
COL18A1,-0.07938502085576522,-0.02541413489593484,-0.005687663447080469,-0.00648047024664203,-0.013792530050530502,0.09078025071331336,0.0007108961825370133,-0.014575890370403511,-0.09017937693212791,-0.05694925481208634,0.004177188033451471
NODAL,,-0.034894904887081996,-0.01393884839645862,-0.023265722703228322,9.328749598387824e-05,0.006643267473589761,,,,-0.00781261811807894,-0.03021617957611483
INHBB,0.1065546587801239,0.015697069014961092,0.00029831345936034385,0.04535339182083484,0.07855601288653968,0.06983840963122862,-0.035172298234159995,-0.006976552453050025,0.0158639539879452,-0.05658347718397067,0.03328357676050269
LCN1,,-0.0169828070785508,,,,-0.01949325997080555,,,,0.06678917046254941,
ARF4,0.06216959122947351,0.04021489284561957,0.02363205522561007,0.020797273044272688,0.0202351938413239,0.04553840403855801,-0.010779826249287418,-0.032922155445994555,-0.04764450370749925,0.07540919118274239,-0.00466960923122765
CXCL14,-0.08972367927483257,0.0036383649018232123,-0.0018311617971575383,-0.025091794486092656,0.03731942507386239,0.0710694975231251,-0.0304376718388984,-0.05492903723971634,-0.04081076752046779,-0.0386169423802176,-0.028383325189284717
LIF,-0.05505405553225321,-0.02491201117567676,-0.017638813043838752,0.08539609524562461,-0.0016911575003072743,0.17391359490699054,-0.0052905001187643535,-0.011612659702740214,-0.03039724743061214,-0.08072149162556162,-0.0027801475527590206
IL17B,0.030949143277755237,,,,,0.0694578786328481,,,,0.008442650309851417,
MMP1,,0.05171020685119928,,,-0.016093273045866212,,,,,-0.03771006449449219,
MATN1,0.07917603535561683,-0.0222979302571976,,,,-0.020437357830491703,0.04965775992811356,,,0.058918819223310735,0.031089747726147768
ADAM28,0.026065356278542607,-0.03832554146294816,0.05647726638311304,-0.0025945214191168565,-0.02251623998441691,0.04592896679665759,0.025300573112205915,-0.016749693688159567,0.0046129146191363915,0.019254769391313237,0.026241510285099138
TCN2,-0.08214854802620554,-0.030032489946276292,0.0053377992612375445,-0.03173420821235852,-0.011242941230437767,0.0849906351560378,-0.0331901932836954,-0.03558405056953684,-0.0619615022555532,0.00274339420224641,-0.010512107337298522
THPO,,0.04281815273765639,,0.0016787991556470412,,0.0015083662909127712,0.007255446099534284,-0.012084075190039702,0.0242597169347344,,
CUBN,0.0734754563451681,-0.016227569464830904,-0.013255915569463084,0.02246492845370948,-0.04041854893632661,0.015661584964560906,-0.01914800166508066,0.04619123906379013,-0.02320324953592778,0.06848955836036713,-0.04751870247252471
TIMP3,-0.004697151215017634,-0.0024108667196834784,0.022847317518773978,-0.021557038377368044,0.008581320320517491,0.02426301057198514,0.006048322136866414,-0.014415330439549732,0.05395349287323727,-0.052744436598060156,-0.010795446999868267
PIGF,-0.0933638304106048,0.04619282620043727,0.0027672296901777105,-0.034076808424633905,-0.01262944522054164,0.024316141655555835,0.00026428203651348144,-0.015267063062852073,-0.03805957667296275,0.07682400328010848,-0.04072972435366671
CRH,,-0.01989738044018585,0.02012597395723483,-0.013324948323461266,0.07246974469454737,0.021720763934961015,-0.02686290597966292,-0.007944266083117331,0.059830605255401445,0.00946344891588391,-0.03424610594268051
BDNF,-0.050914727586223715,0.016772130210135808,-0.015648713467510095,-0.00031631220409432295,-0.035653648824757585,0.002243041158858773,-0.012831990728797104,0.011229021290630215,0.006487699091773713,0.042232151852162426,-0.04353196397433771
CCL5,-0.06282169896541581,-0.04024967912494642,-0.0009718808702896893,0.03029836222893983,0.06815025598046177,0.03833244836892056,0.017112238379604967,-0.009676636950995984,-0.04372651947196179,0.05315160413571402,-0.014693131642524778
GAD1,-0.055976523373741004,0.043295610611186086,-0.02494463690060721,0.023433191035655276,0.020159450402112103,-0.030914269271184163,-0.03744282139871297,-0.06097638677770788,-0.03707425970526204,0.06645536885501181,0.07045105166146945
