,UKF269,UKF296,UKF334,ZH1019T1,ZH8812bulk,ZH916T1,ZH916inf
CD24,0.06071104190018954,0.049304138476189405,0.09238443172095619,0.07038646509649335,-0.041782576093133045,0.03270435674405253,0.009865611353949985
HSP90AA1,-0.03153561462001024,-0.03504320243474502,0.040710447455650015,-0.033743365288747884,0.06496178857219811,-0.07518097447429116,0.08237349128508546
BMP4,-0.02006223634468454,0.0488652872770631,0.1940896132709183,0.09017785969457408,-0.030548154824438935,0.03433062480577059,
SCGB3A1,,-0.011491950841615375,-0.010586965927802923,0.009401338532271465,,0.036158750367064944,
IGFBP4,-0.0009700268454355667,-0.03211210376110285,0.06675524071185603,-0.1255310817789814,-0.0075264081070509446,0.056902386598873964,0.04746499372707755
RSPO4,,-0.0114919491606576,-0.021046240745436966,0.021562141664020724,,0.034035275623021576,
LEFTY2,0.06571365730075555,-0.012601062804287402,-0.0008605722167350763,,-0.024398801695036686,0.07448855260705378,
PF4,,,,,,-0.02139746357897977,
ANGPTL2,-0.0036501804592423753,-0.04991758750402604,-0.024410831804168427,-0.10516520597702782,0.06016959953445482,0.048614251926208614,0.048512730666040754
LRIG2,0.04271322743600882,0.006670482905744269,-0.01947185006623489,0.02558465004678105,0.06547028101931843,0.08492524953302713,-0.014235308336375395
ICOSLG,0.00342324930054149,-0.02180957347848394,-0.007408213542146006,0.03582526637901786,-0.09044084234765205,0.054082058644730854,0.06323779376039736
WIF1,0.0045227246014717185,0.03149662041223256,0.016877647178311892,,,,0.055533238035872116
NPPC,0.010795126319556952,0.09190813318921967,-0.021595012535501695,0.033151944507442334,-0.027844425712373992,,-0.006399801236781884
LYZ,0.09936238723079012,-0.0003442252169421684,-0.024579526688507942,-0.09791543719539388,-0.058736598079240476,0.008402755029898188,-0.03715853706625143
EREG,,,,,,-0.006799599026217337,
SPTAN1,0.008972104104836197,0.036241840574695955,0.045464266410822976,-0.02903618641007848,0.014436757929445678,0.05586097570729241,-0.03456803657242552
LIPC,0.1403317563664416,,0.0342330006121459,-0.06867359810782303,-0.004503893479613523,0.08487537260598693,
COL8A1,0.017911874030129567,-0.024453335527987893,-0.0071162045366823775,-0.0694170228737528,0.020967155757817806,-0.018549857667309804,
GSTM2,-0.015706809347330375,0.08555466597566155,0.014241053216569677,0.006344942433831623,-0.006167198961777603,-0.007510476909900126,
SPX,-0.008822261326941982,-0.08448077066771897,0.016650299441008157,,-0.01803145420471701,0.10152088282594647,0.04540233968403276
MFGE8,0.055083931099078984,0.02978082344820238,1.9485061776920734e-05,-0.08527521431294946,0.0009627968750018836,0.05970960348633261,-0.002179506868205576
TGFA,0.035545035198274025,-0.0383488508932311,-0.008092731697040143,-0.022419841198068467,0.08996963926590777,-0.028261285448906784,-0.009637249825661309
SLIT2,0.02802436106659614,0.0016767699776013677,0.03801699156304418,-0.04341092886494174,0.06358798061393933,-0.019400894636714013,0.02314327823089763
PLTP,0.019929559788854925,0.0021254492828958523,-0.04199907423908474,0.05905391088601154,-0.01676627755710222,0.03175005023660867,0.0661042006105918
APOD,0.01166518529801556,0.01723751139476735,0.021134995223558377,-0.04178918717977144,0.01718772160251099,-0.008076347905096983,0.00848525657697033
B2M,0.040814208368708714,0.03160688608062765,-0.04182730313060722,-0.10793763388987669,0.02939841258192137,-0.015073092837537098,-0.0021124021902745606
OMG,-0.02576062927265898,0.051556016863309795,0.022732981257185567,0.05388790230830704,0.04477559072879809,0.032890584183276804,-0.02014330047663103
CXCL3,-0.017482011118896693,-0.012293956471752781,-0.01092673706435278,,-0.020668161885449975,0.015343187040679484,
CXCL10,0.057189158860497545,-0.01867541969617544,-0.017363907524513014,-0.017901972713990858,0.0798298085874556,0.008321791493512703,
RSPO3,-0.021864001816990778,0.019403273339802688,0.047373549625496954,,,-0.015249146826624616,0.04394536253365416
CORT,-0.027163663965486893,0.017098692225973988,0.016306343812060167,,,,0.08930200267570719
NCAN,0.04563369254161774,-0.04726372521507795,-0.030286070716207286,-0.10343863695936018,0.054284804866367026,0.026680115012859253,-0.03552577422196936
PRG4,-0.018940165736001525,,0.036631449297332565,,,0.013914295126554165,
ZG16B,0.05408356909966075,,,,,-0.01901404498143113,
TGM2,0.017501887137516926,0.05858497633738695,0.05223571345402469,0.05036551748703567,-0.053267357693020885,0.021294630058382637,0.1251734640745802
VEGFC,0.005044124741438682,-0.046209014296008544,-0.013624000931313262,0.02420316931404118,0.02885005278000854,0.04251505627630701,
WNT6,0.06363194181828213,,-0.011890340042677945,,,0.01239072553184863,
NRG4,-0.02359117795537805,-0.03561077615738397,0.005193136454839665,-0.04160528657449295,-0.021890708051256508,0.039407776296030206,
PMCH,,,,,,-0.00570569832826128,
COL9A1,0.06639399565426064,-0.01202613272178518,-0.018110819396377563,0.07838126688222932,0.042954117749723845,0.06422068548736748,0.08389965680491916
GDF11,0.03577486680606228,0.023188921787757565,-0.013477032577610203,-0.03295015983802454,0.09074365254079007,0.05370291163845293,-0.02824582939638499
RAET1E,,,,,,-0.016728207595529117,
SORBS1,-0.06348206295396072,0.01847548755311791,-0.03539553035052288,-0.014147475935066559,0.002153124515455505,0.04950268927576974,0.07222095339364258
DLL1,0.015374182881380183,0.015516441781366333,-0.06697877419654219,0.014478373552050353,0.005218996766106537,0.042462657939252704,0.052878636008354504
TLN1,0.03835507584806717,0.029391992822820637,-0.006713101992989293,0.031053310967301316,0.041578246080313186,-0.013477672838090886,0.013942670873422141
COL2A1,0.02633902673642283,,-0.01109288141239631,,,-0.02219266270205181,
SHH,0.09542299685643812,-0.013194809068451796,-0.010586965002436194,,-0.05512834722386852,-0.0044675469850427975,
PON2,-0.019764994088985088,0.058691505030909884,-0.035935593925384555,0.04365804470963378,-0.002215131529080456,0.04406122124905275,-0.0259799597730434
ICAM5,-0.03416156974421782,-0.041020923605916505,-0.004724363927232191,,,0.00603784059790785,0.0019083257653445772
HPX,-0.02545745903033698,-0.011491949670038665,-0.01422178478740937,-0.015774423403478142,-0.02934981438133239,0.010740462080905335,
SFRP2,-0.013952274626239502,-0.04746956690533732,-0.02076891598731231,,-0.05790603253789233,0.038902049390436934,0.056218311031745766
CD70,,,,-0.045153815433152146,,0.01234771739628763,
HP,-0.04313838581682651,-0.030001006046160458,-0.007808131164073245,0.042296077108663746,-0.028036360718166183,-0.022811058344626826,
CXCL2,0.05466537552148338,-0.015970995759343493,0.04432949804432407,-0.04098788954380308,0.03150390658193736,0.023233839011692875,-0.05794995971681423
NPPB,,,-0.013624001922225917,,,-0.015468562888424148,
CCK,-0.03575636621362181,0.017256509618986473,0.05134551752909367,,-0.019313331707281688,-0.020066901888479118,0.020261123017900385
SEMA6A,-0.024473415942831086,0.05062511266260902,-0.0031750971295781364,0.016864019189733404,-0.005492434547542321,-0.005832474961043964,0.0033585821980222563
IRAK4,0.03050991752429355,0.05796216727628969,0.004565403861118824,0.07642091605706465,0.0109253419170311,0.06742413360511974,0.08254093535979981
GSTP1,0.03887696117430317,-0.002686564493004718,-0.028242026180963747,-0.04042108389080602,-0.006671701961304427,0.04836962218523596,0.09498739693720366
VCAM1,0.039732291808691145,0.014845023196122652,0.0034815368745080033,0.10948272679124806,0.029099259287547245,0.06680729058836272,-0.02851180577635051
NXPH3,0.010213884516183035,-0.05662759080861671,0.0019574817774088,0.046536048772269495,-0.03859745086768606,0.07321823692692422,-0.11204280641351412
MTMR4,0.045602110256380286,0.04984868315646486,-0.04189362530521464,-0.07157866365638405,-0.020306032363955565,0.06263515338842009,0.06835089826735762
LAMC2,,,,-0.041605311517061636,-0.021164930840822556,-0.029472355927772847,
IL10,-0.02294030970508688,,-0.012195418653667824,-0.04469939635619663,-0.02041560836502912,0.1282282983625008,
SEMA4D,-0.0045499151623955994,-0.026469492122613004,0.01741724996762049,0.03290539663947673,0.022536785599411437,0.04714996424305262,-0.07578345586547296
TRH,0.019146299098722504,,-0.019059996096416565,,-0.012490879985850028,-0.017325827779664113,
SEMA6D,0.029597814613049705,-0.00048673866925301045,-0.043425497880292,-0.0037422695535845067,0.04107036167793083,0.02267100915028947,-0.017734575591583528
CEL,,,,0.0020653048335867947,0.011574767841896543,-0.005505496845207933,
PDCD1LG2,-0.004350267124907274,0.026032232951148773,-0.020861712174787616,0.009068416837183893,-0.031183365345211753,0.051838500030956934,
SPINT1,0.020709497694499406,-0.018780374050006855,-0.017900249135420123,-0.007829974468411187,0.012057758042948298,0.039722086618742374,
CTHRC1,-0.008655136412389276,-0.019424186809752813,0.045405977430522534,-0.017738569076775706,-0.002377353076622966,0.03916389976547453,-0.07722942363306018
PODXL,0.0333880105079206,0.021672536160884156,0.04773441279662786,-0.05364093058568244,-0.035596047542869054,0.024302033498347246,0.0960237315282875
JAM3,0.003195191373936881,0.044563667653602174,-0.021659708770686695,-0.04285521375683239,0.0420494886515295,0.027593434284384207,0.001617292086707977
TGFB2,0.03714930312893075,0.005773000931942452,-0.06594588096924381,0.0753152448411342,-0.018523033351988797,0.004204111272957999,0.0909187818253099
COL18A1,0.05618139059758159,0.061688572091942305,0.05027002931048331,0.040137470987622235,0.011111830897560772,0.02775992535183803,0.017796935444399545
NODAL,0.059154810633956785,,0.05380563976687088,0.033629667727841886,0.000584380352689863,-0.023711970918367582,
INHBB,-0.04376220846131033,-0.002160784317766469,-0.03979341503203668,-0.0023885253083868766,-0.006868387277884752,0.05138790064779325,0.11196637350131607
LCN1,-0.015341484023609268,,,,,0.09838870290519924,
ARF4,0.028663668176160322,-0.033029664376741555,-0.04523150404857006,0.003257134144465521,0.07592402346030472,0.005100756320936934,0.0351536339151719
CXCL14,0.012054233562190262,-0.010666976380362837,0.10488687586387141,-0.00896309603895568,0.013924818723186839,0.010733164573877685,0.06456427431794144
LIF,0.0030669208469939063,-0.01362396868975498,0.19604302073420438,-0.026317959656156527,-0.055945967220890284,-0.035101667568280884,
IL17B,0.08567950154140706,,,0.1297985943201114,,-0.029595116662565674,
MMP1,,,,,,-0.013288565833077526,
MATN1,0.03179310077831047,,-0.011092880031940297,0.07063601329485615,-0.021409350371746325,0.05623610384221903,
ADAM28,-0.009523075724291424,-0.022478075118023706,-0.03676977750946183,-0.0099444383020028,-0.03957147769901558,0.015202552527157671,-0.0045978457737042054
TCN2,-0.0055521005866160525,-0.013520853058888045,0.034316874840465826,0.004128573637400616,-0.03125137921414763,0.0043486423442540174,-0.019651692070746764
THPO,0.04212154151230389,0.10467448209963297,-0.011092881306207367,-0.04160533246885399,,0.03260163226180165,
CUBN,0.08699026547882402,0.045625502181631854,-0.008207800073654301,-0.03543728649944573,-0.0026839736179702493,0.031550087530579474,
TIMP3,0.053425530010461596,0.005444567107798641,0.03935511757905885,0.09426288653339213,0.02743014130447898,0.014053374821179429,0.04763090986437097
PIGF,0.09552333961940195,-0.005270900030815409,0.047975104237993185,0.010396380145150201,0.008511764356363714,0.05039039944729841,0.05615423035004642
CRH,-0.023591168173884982,0.08774144755194742,-0.015172204484684653,,-0.03608519162404743,0.07057879556904285,-0.003310059457285472
BDNF,0.044487130268951035,-0.009918938960478725,0.09396854631497438,,0.001097115257784794,0.0205020143142393,0.017861964695786263
CCL5,0.012241567277524347,-0.026723051403052187,-0.015048827472843215,0.0063798463464470314,0.06870872849887283,-0.0015364365886325624,
GAD1,0.005547498476313576,-0.02134562830280596,0.02510671353450418,-0.045722062246167566,0.036742255360402466,0.006094841941876929,0.017508461853890937
COL14A1,0.001991911753375241,-0.018569929487810603,0.005501250612958561,-0.08598921243652943,-0.005711278566686433,0.04570124011618091,
HLA-A,0.05798463722845131,-0.0041026655276168045,-0.026263727850704438,0.0852113854865224,0.011802453501093817,0.020433406660534573,-0.12351793751912857
FGF18,,,,,,-0.01732582916970168,
ADM,0.003057488236499175,-0.033317854544584254,-0.033027189737254235,0.07342428015609513,-0.07452899876415897,0.044955328725229594,0.08678870510143633
CCL15,,0.0011399675082529453,,,,-0.015026690293821884,
GNAI2,0.008368066548999555,-0.020906364113341885,0.007207712642734082,-0.031158095638942278,-0.009438296606751648,0.007250105078694733,0.09033254705702841
HDC,0.045661116833658366,-0.0172587144272937,,0.07389187573616675,,0.09442465938619793,
COL11A1,0.001033719324386988,-0.010014779165507994,-0.011583404911599444,,0.03971054414869534,0.015087820486881223,0.0031692297558410048
NUCB2,0.014806971095022407,-0.0152082467891825,-0.029289706739084053,-0.00427993822507445,0.025069995892400877,-0.01740220456578877,-0.03598995450142972
CXCL1,0.014994938524909008,-0.01290118484099872,0.007428801653409169,0.008281359946994934,0.0350951118553125,-0.03780143613383134,-0.020474155814729153
VCAN,-0.024766536467133768,0.024636579101376056,-0.041058958925128904,0.0641775864944134,0.0863086741277567,-0.002921690814424495,0.06667279992152905
MMP7,-0.01119801813382255,-0.0249222942457151,-0.017145178183317806,,,-0.04017507189288324,
PTPN6,0.06179483596709839,-0.03159832575280448,0.00999800814161796,0.03979066558894949,0.02670236228799604,0.0729039994040522,0.0640787868220286
PTGS2,0.03043085768059847,-0.027514293515230784,0.015470366130571494,0.04863484561697475,-0.02646740976284372,-0.04296836403924867,0.06869722924491292
CD58,0.015323898750334325,0.02630357742328321,0.013060803706774083,-0.06009725312603001,-0.041606781041087025,0.03390266829174469,0.0006819767882277699
TNFSF14,0.0269627400502646,-0.012601062804287402,,,-0.04454712788511397,-0.036041190921044186,0.028792089836286543
CNTN4,0.02367762154698798,0.031207231040868238,0.14568562959490014,,-0.026867078697423143,-0.02556884801122959,-0.02035819118293923
INSL3,,,,,,-0.020574947451897117,
BTLA,,-0.016091988189434615,,,,-0.019894945425050662,
MFNG,0.04380770045815507,0.034015502322839855,-0.02676936413776612,-0.05907264065492641,0.03173255767821711,0.014922140130515618,-0.024069178869245682
ICAM1,0.014449515712795517,0.0027255290123059913,0.021031718389875862,0.0743898119908305,0.008121604014789075,-0.013294652680235393,0.046932142797338365
PROS1,0.039228947382395525,0.09209014604941049,0.025245932854359023,0.04547612145195133,-0.010214653238704236,-0.02246178611425306,-0.03639650316233426
CLCF1,-0.021264222415660273,-0.0005886619080339241,0.05175070940647179,0.008981322937202663,0.02969749031255204,-0.006012899403675567,
PSAP,0.04458497739328504,0.05135826448072571,0.03953105703956862,0.1213075634256293,0.03724204555584936,0.04474785921161148,0.04254179531603456
EFEMP1,-0.014658705042334706,-0.019249197372329836,-0.04964091930545031,0.09940081689094853,-0.06995352509749389,-0.021367606976784168,-0.02056056293234182
C1QTNF1,0.05349586438993143,-0.017224651198706618,0.029865346706012656,0.04884250285178843,0.06474979842992198,-0.04109567718711095,0.1941594625726173
ALB,0.06500676219992961,-0.014312145908974038,0.004720777714676449,-0.055583235868120806,-0.005806159950592645,0.04843134155064951,-0.08330448848940392
EFNA3,0.01949449469562556,0.006680515142358762,0.025834832000349875,0.13559407794895026,-0.0037140179236055068,0.027298890466682546,-0.04026259539180277
DRAXIN,0.03307192768729199,0.08649199120023114,0.020579213273906983,-0.06716664875615394,0.0059394519357489056,-0.03217839291998503,-0.06648359778053985
RAET1L,,-0.013764197411593427,,,,,
NPTX2,-0.00951777134112643,-0.04431646041274017,0.029948278692573212,,-0.018569934931275154,0.013895629351881413,0.04170075173737436
FGF11,0.034881609611141375,-0.026047618794645344,-0.012208505174173389,0.030208513750119775,0.0037324357624124783,0.029480408729896608,0.051111576465412964
CD59,0.0008864505059739565,0.016381709543263696,0.04222914986026753,-0.06635815005100319,0.022516179808455866,0.022924165412851267,0.06750665769200147
COL9A2,-0.010085797396472706,0.01340247177271919,0.0003514465319130596,-0.007474630545259674,0.047789691917412384,0.058638770679752275,0.041696366858575286
DLL3,0.015207237049803712,0.03826433579128037,-0.01869088225636917,0.06425279555415216,0.012617952980610409,0.02046496747344986,-0.07350153081176622
FGF5,0.01066931906477407,,,,,0.057213185483991645,
LIN7C,0.033758476381466514,0.046284651768188904,0.03473425876292235,-0.034057804708435696,-0.02968595195892926,0.020180914111711433,0.04331416368467277
GDF7,0.032409832245523504,-0.012601062314610079,,,-0.0349823599467691,0.06686296123498983,
PSPN,-0.014183690142955046,0.017404676398654905,0.10770908546999115,-0.08761290437841138,0.05093553253935833,0.06781491114260371,0.12410029669773212
ANGPT1,0.014735577456987765,0.02875454420363639,-0.01758019624588107,0.03665357566990109,-0.012634901341158775,0.037335565059862075,0.22201921728553453
PNOC,-0.013933985501600559,0.059210440638960485,-0.021949096761133505,,,0.0556665073032618,-0.030652598689010234
L1CAM,-0.0030479609104609043,0.009585357842608493,0.08467332668889431,0.07666600485677615,-0.034177631856389945,0.04106698990293395,-0.017022773054855077
APOA1,0.015097735785074288,-0.020393609525027365,0.03057395434598101,-0.015482653887911249,-0.011902491539302099,0.10303725362595771,0.015485082599894956
PSEN1,0.007074429285094205,0.01779799538836288,-0.03738946306701055,-0.06029817901394168,0.021325336254148987,0.029964522156040733,-0.06126900365732402
CALM2,-0.05566439415429301,0.0016620625240406507,0.04606343481656528,0.07531720401950293,-0.013166932494213501,0.014424462093956694,0.04602489718303904
CLEC2B,0.07462559155892898,-0.0048084606801344285,-0.007767117225343609,-0.12134048930609134,-0.04256517223729115,0.04638828545122629,-0.016294690599144547
NTNG1,0.10269049963476468,-0.0033068563456185502,0.05951267741388997,-0.03843137977080382,-0.02210651661233064,0.03330128987193301,0.010136426305142544
LRIG1,0.011355806799969224,0.019163971447832415,-0.049194322039583925,-0.0474650297190468,0.0015995433727639002,0.023175510205038607,0.002435310551583798
CPAMD8,-0.01353062786920775,0.061069842070869636,0.08129083198825793,-0.0299027448695388,-0.031020862657789187,0.055241742698944864,0.0208744841760791
GHRL,-0.0026443112932007886,-0.011491950841615375,0.009625522638338352,-0.06609651821442504,-0.043060869840162705,-0.014554993708589516,
NPY,0.018027508547979614,-0.03959580253818246,-0.025763948526773748,,-0.05166646905328135,0.03878893294682643,-0.015610444226808304
MMP2,0.027904266213755625,0.0025772761837727152,-0.044286668276849656,-0.03426767791694744,0.0824670917984965,0.03806499466293651,0.0082823181371426
PPY,,,,,,-0.0006594774385034015,
ALKAL2,-0.015341481537196309,0.007152415363412726,0.003919138955422552,,0.06592033568341803,-0.026760940714362566,0.006558056796211992
CSF1,0.004214555584172509,0.06273105943385189,-0.01903017425039133,0.1277143716483594,-0.016783793276043145,-0.00486960291432155,0.08459669032770643
SEMA4C,0.05059143881629674,0.01768238502683063,-0.018903797307876717,0.056043393206483536,-0.010873912058926113,0.1297312098826675,0.011516679730308184
BMP8A,,,,,,0.29530426860279474,
ICAM2,0.0028928086704853055,-0.04474066843751608,0.07075673756712682,0.03471754033261643,-0.05147423567194639,0.0436012304947974,-0.04529720856162418
SYTL3,0.010107184861006554,0.017782923661312566,0.00931461531798508,0.11120991581097213,0.01636259212896513,0.07186667868596909,
IL1A,0.02594307325231658,-0.023422102069403282,-0.021320491251557445,-0.0610957069589013,0.010254202976555962,0.04724682095950215,0.21432041348546269
HLA-G,,,,0.04207065602119478,,,
PGF,0.08508042408161756,0.10384838793147613,0.017134806140562762,0.010462111909214738,-0.057557272437967315,0.04626620078690136,-0.05789498449740149
LGALS8,0.020135809603063656,-0.00774366888736039,0.034614864178773345,0.06862441140369599,0.0027137797247733845,0.044040763860665466,0.06253077667939085
DKK3,-0.013387776970468807,-0.0042752405538184724,0.06221676688181737,-0.09892008695752824,-0.0342347279797424,0.09624750983786716,-0.04270622229485165
COL16A1,-0.08176953968401512,0.02162464825432252,-0.06134573509589451,0.08890715599789004,-0.004867587702034907,0.03838702330235285,0.016116316374274908
TPH1,0.00723327162099283,,-0.013349797031348531,-0.017099451411443194,0.013419552756392861,0.05025106345197967,-0.04086280039545127
TNC,0.05724743380603302,0.0014836343101719157,-0.07107541779015604,0.0846520278608216,0.03000175453467502,-0.0371240641999193,0.051859157084239445
TNFSF9,-0.0034863086759193067,-0.019195028460449536,0.007221559924922732,0.05222992155870309,-0.007645538563902862,0.045900536938609224,0.15991652441429677
C4A,,,-0.011734978721423362,,0.04370771069573948,-0.008125616309880552,
CNTN2,-0.07221844221312872,-0.05259104598153971,0.029160042653936322,0.09043590575510105,-0.06603447531491419,0.028813505447999443,-0.03433054572798141
F7,0.015074429668309717,,,,,,
LUM,0.05437751791366399,-0.027398690518037404,0.011889351446821432,-0.06081309844408184,-0.034776284231243064,-0.0031237885318123357,
BTC,,0.02238055935201516,,-0.08664514267942332,0.09584249916770449,0.01680893460183113,
APOC1,0.0942899274962138,0.011849874342338015,-0.0383775100757342,-0.013514226783389142,0.02800386510655531,0.039427695184356626,0.00480643747155039
PKM,0.044447133088464263,0.02862958129289655,-0.015788813203567044,0.017357314880574456,0.000202413627674561,-0.056625002440713966,0.0687861519047093
TNF,-0.01985786378788314,0.0001700324093170711,-0.02787587646747678,-0.0955132359694222,,0.06458756658816801,0.060967266167690375
GNAS,0.015912337474313306,-0.028296575333418682,-0.0362747931662094,0.08111640907163252,0.019761822858964124,-0.01740124072978891,0.035084078215505264
BMP8B,-0.008043144872627125,0.014501510040957729,-0.011894010418440105,-0.02139773230757325,-0.06020188363282728,0.06876539050873003,-0.08312040898539196
LIPH,,,,,,0.05108454415794334,
CCL28,,-0.013194810050457853,-0.010586968963007497,,-0.02016015453149855,-0.014339760841273573,
PTPN11,0.022074769036620628,-0.01919569256152463,0.03126347292157162,0.0319987936662941,-0.0142206988987022,-0.007231078052650471,0.004547616708709794
ADAM12,0.0038326315411868796,0.07486218196638372,0.010455916604178274,-0.021293249757401763,-0.0739653872273329,0.00650754061366068,
EPO,,,-0.013349798991811438,-0.042114566747306924,,-0.01524914390697231,
EDN3,-0.023974349345702493,0.02188721599616781,-0.013487549049890149,,-0.027612954744544182,-0.02770758345390712,0.04426744988184922
CCL22,,,,,0.05802736477661614,-0.02356392338734061,
CCL2,-0.0019710806084471625,-0.009438437356725077,0.027838499336637568,0.014270790365303078,0.02085927185469928,0.008531841076470582,0.04575505563383009
