,MGH258,UKF259,UKF260,UKF266,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916bulk
BSG,0.05630746927878613,-0.0699781355794117,-0.015375158665421159,-0.004752131613691872,-0.06692471629124622,0.050793941957003194,-0.132264378629849,-0.016998253510736097,0.19104408628881583,0.08548580196313815
ADAMTS3,0.015268744275222151,-0.010243945763802347,0.017730216906290057,0.03919633378698477,-0.028484316718207135,0.094714518644916,0.05662728470052414,,0.1298508360076065,-0.01385725825130411
CD34,0.06958189837714837,-0.03457154739794469,0.08683588163007327,-0.014676588329778115,0.04421983634722633,0.056117596501832956,0.1682941253637367,0.008205700579865414,0.1406875443858894,-0.04488984363115861
CCL23,,,,,,0.07933144592753444,,,,
PLAT,0.04015168656217767,-0.012623995390768647,-0.00684775517915014,-0.010916668349339333,-0.019457758677596627,0.11812783642323406,0.0580482571896592,0.09255518914811181,0.14014549576219884,0.1342197336223227
LTA,,0.0002718641980715591,,,-0.01714190893752859,,,,,
CKLF,-0.026469025034508452,0.0005373469525883245,0.030391941612310874,-0.055516608678107655,-0.05423593879896943,0.08395128019217987,0.053532258704151146,0.10274777633028791,0.03946787209843769,-0.04188944659703656
CD24,-0.01580419073352798,-0.009414697223812432,0.002114361899534903,0.014292968230626485,-0.027107870540799547,0.02140737632920764,-0.06723545624189743,-0.09177191737429743,0.013394311408392102,0.1261623122836714
HSP90AA1,-0.05889726926618948,0.05208523143496593,0.07058914756344851,0.07626730943330715,0.008519618026186011,-0.010551433029564248,-0.054686630107067334,0.04806549420535897,0.030850225233414817,0.0287100084638743
BMP4,0.015262169288607295,-0.022712999021880193,-0.03483610848998744,0.0030234489142646447,-0.014606676906990437,0.1760634287267103,0.020322404283868226,-0.010457624261767768,0.13890415547806037,0.00474257175781254
SCGB3A1,,,-0.021376991240374146,-0.02607477741662409,-0.011961397364342631,-0.03423141849444593,0.09705624983592155,-0.04464145895038017,,0.08608114588201732
IGFBP4,0.019507365656791818,-0.03476027697300753,-0.02645621387159676,0.01208844435615467,-0.010891204193008947,0.0665606277840155,0.13321533136899322,0.11081678024973628,0.13858727368283513,0.14162376597043735
RSPO4,,0.007608176828005555,-0.024672522831686746,,-0.02377852637842894,,,0.061526080096298945,,0.021183695573816653
LEFTY2,0.12390421824271258,0.024941073256747107,0.03342060302847509,-0.03324614517739003,-0.021161495148808194,-0.03954473600429348,-0.008792148199517255,,0.0950623620587498,0.12368633798507987
PF4,,0.03783632560766474,,,,,,,,0.028572548282147354
ANGPTL2,0.020788175577931695,0.023287915129306305,0.004269585422894172,-0.0480187281411388,-0.029324734712767597,0.08614994733684603,-0.05934850717035074,0.18873510620549766,-0.01380678406200789,0.13370059106412688
LRIG2,0.038266022110225784,0.017671029213076207,0.014651636775280601,-0.007769767903259644,0.04875555093317934,0.055670986236823365,-0.06739796758514768,0.01651022859896032,0.01336225353415573,0.07497871310846746
ICOSLG,-0.044205487342912964,0.021111867005758223,0.022656530521331524,-0.01944239001942352,-0.05965274614968476,0.046779500997510035,0.08832031792575275,0.008023201098966126,0.006215104349706701,0.02839922750685159
WIF1,,,0.03710494928231755,0.07218413542434376,-0.011805768909688121,,,,,-0.0616759998092908
NPPC,-0.02220677210637258,0.09326078735054523,-0.0341081606479873,0.068166202877026,-0.029625977653540737,-0.02450783161559437,-0.06671254000884756,-0.04371528742336738,0.05065592427100405,0.1688102637951842
LYZ,-0.01003072410619276,-0.022524801684725496,-0.041964438009691477,0.01067173992998557,-0.02967155075247273,0.09338380897028763,-0.04270593322284306,0.030953347208205435,-0.012467721369724022,-0.004090873544430148
EREG,,,-0.034720093661181395,,,,,,,-0.033043911089157225
SPTAN1,0.032919697314836516,0.01910787179155445,0.08197156926263734,0.07554021507621328,0.057047752889008554,-0.04855075426822163,0.10161189799324982,0.03532558450705186,0.025714483570502215,0.03238593788725148
LIPC,-0.029893723925359467,-0.020622765440330953,-0.023887062966013742,-0.008828167399943548,0.026022536126740353,-0.02598804670569982,0.025757765506248483,-0.04915931664178163,-0.0025626218628159113,-0.04302268378181682
COL8A1,0.03225784448717843,0.03000474854524103,-0.06456866097899547,-0.03421574412791792,0.011029923645039519,0.014336902164392162,-0.03277935511296377,0.09334865159037384,0.08755640280326045,-0.00761479777567218
GSTM2,0.04069682974090576,-0.006112118803266896,0.015544744558726818,-0.017273348876426956,-0.04763499708580757,0.05621006686849298,0.023919916125699152,0.07027292021513279,-0.022147692090060612,-0.010683376786874707
IL4,,,,,,,-0.04597649984736566,,,
SPX,0.004527773179749602,0.04625338974316001,0.0871590643893514,-0.009089993119350973,0.024616588530987898,-0.03248983207849201,,,-0.07653991260421406,-0.048508190312236174
MFGE8,0.07505917793021487,-0.007177831125479266,0.02275570963454014,0.028009483686384555,-0.013201882932349453,0.0702226450824937,0.07096415414020947,0.011190784721886731,0.10879213116585124,0.04611023527328355
TGFA,-0.039976874369464094,0.08202493300734143,-0.04489991233279634,-0.004964623205947433,-0.026111124792534295,-0.08649377456277493,-0.06497443594015678,-0.027548168668541647,0.03329739462821481,0.08829734683287367
SLIT2,-0.02402951845028259,-0.03905748116354664,0.0010454913018140633,0.06787609121799094,0.06426287073028746,0.06169968379666801,-0.043759004784811054,0.27551554498344144,-0.016035133739094674,0.07268124332223871
PLTP,0.022535588123859623,0.026952743384433445,-0.08849594456367213,-0.012644380410205566,-0.0410531084210133,-0.0491370184169552,-0.03690232757023327,0.054876570999250175,0.08795140328215828,-0.02672535846625937
APOD,-0.11366685960234375,0.014617332094269981,-0.009889068892148332,0.014912312612194398,0.10574737322050595,-0.07407516607791452,-0.06287753805112592,0.07697584824967675,-0.034824110545681033,-0.015462892828191882
B2M,0.05156794575916885,0.06036548491135702,-0.07695664022073057,-0.04595109849781032,-0.040851364505164696,0.12454366154730709,0.005657539943570474,0.10354060047661644,0.16209923899512152,0.1467497001558651
OMG,-0.09601689792679464,-0.027059899195672414,0.08106394716994304,-0.023557854677645682,0.054708750017756776,0.013651073037876164,0.08985783137125573,0.028475143383371506,-0.096506885274902,0.03745420387723051
CXCL3,-0.01880303282790499,-0.0460629925171218,-0.05964891502023743,,-0.01234527860141492,-0.02525777819085223,-0.07861525890193186,,-0.03731311092507596,-0.07844788559807789
CXCL10,0.06395302464137716,0.04244501035760505,0.0529728984495397,-0.02792069953417311,-0.0196181416956257,0.2961124071156095,-0.061205010655640754,-0.04893154785145917,0.04728025761360061,-0.020322094335947002
RSPO3,,0.13701481200229954,0.0982444467610003,0.027664360083268245,-0.012900578206540593,,,,,0.07092645345499357
CORT,0.016153103915624953,-0.02001834023276617,-0.02899053962819661,0.11352456431885459,-0.023468769349557318,,,,,
NCAN,-0.06257255108579696,-0.010428486888161144,0.049392433178057686,-0.04722388845794055,0.0004742457825386636,-0.025565966594738088,-0.0194843295826799,0.05248652062621537,0.08328241669149739,0.056769074407900084
PRG4,,-0.013153013460668534,0.024806211723103027,,-0.015082908467691086,,,,,-0.005732993530900319
ZG16B,,-0.015265680731246413,,,,,,,,-0.020928826390179223
TGM2,0.012497153084171597,-0.021893436079160868,-0.061858220821081195,-0.05135796092371236,0.0318076074564931,0.12092501006102704,-0.005624954399109595,0.13162900051686133,0.11926311701922396,0.06993158150724965
VEGFC,-0.02334901765623875,-0.023442191834320968,-0.026327247160043508,-0.0038622019125365936,0.02977421375914772,0.06872935355488577,0.19418317149625577,0.04216369550711847,0.05925012109348113,0.019746016116430596
WNT6,,0.013231992653631447,-0.02356634360710589,-0.020951286227516006,-0.013433979387250293,,0.01987138020677846,,,0.022765154160891324
NRG4,,0.05539536253590017,-0.02436104498284135,-0.02564824742999885,-0.017957390784768802,,,-0.03257766843243986,-0.025868789242576105,0.021577722834988215
PMCH,,0.03216781083817321,,,,,,,,0.11888495599844331
COL9A1,-0.011692351915759193,-0.016718998684370948,0.032553090436017645,-0.035103357569011,-0.0204620198904213,0.06998828905628594,0.011496616897420544,0.04752638395426065,0.08339105964814834,0.05153175321794318
GDF11,0.07158563535426936,0.01322662811659484,0.04538437985722041,-0.021747636204252255,0.03493190429736728,0.055342790413426525,0.08529278554403831,-0.005145175149105099,0.10896711614655971,0.023179903387237723
IL24,,,,,,,,,,-0.06882103938994799
SORBS1,0.013311791574229188,-0.038445975691116595,-0.03558245564777744,0.025637006948094978,-0.022239854774974428,-0.044685607358079776,0.04360984177125513,-0.005017174684665385,0.000404722712502227,0.01596136037158387
DLL1,-0.01545100395459892,0.04247600653513642,0.03273706007338709,0.003161514948650945,0.03257864102659291,0.10737622202000999,0.023459880688801057,0.02108186198739874,-0.009919884317134002,0.11147067538496463
TLN1,0.006548602769481042,-0.06680204950496793,-0.038804130759998126,-0.05044083988867448,-0.09169728871372675,0.10662690828888528,0.06230376907646027,0.08143270221510195,0.067692210500519,-0.03133884922919451
COL2A1,-0.021930697466809108,,-0.015275609978366536,-0.022698111182440684,-0.012532992303370767,,,,,0.03620967161249219
SHH,,-0.013668140527170029,-0.009574947835804523,-0.02477507982059864,-0.011961396318842039,0.12689118046737397,-0.0032536399028144777,,0.03961122582267798,0.14252403688660648
PON2,0.00693692133441675,0.010400686886566611,0.05350498909379001,0.038912628338482386,-0.02676666717603879,0.06177446098427474,0.08854216291388668,-0.022932200584940606,0.019064268183836525,0.007880470549820731
ICAM5,,-0.021302767123994763,0.1395665536202586,0.047982025645571434,0.036637470044325444,,,,,0.08635079884020722
HPX,-0.0059023626546273415,0.03258360263440098,0.02738972534805161,0.10418971309965802,0.01749663995597777,-0.025257764976525512,0.1310878683698674,-0.04238048993199667,0.11437014935265831,0.002250365576236509
SFRP2,,-0.015566530845967026,,-0.04952877914226592,-0.02346519849454601,0.05449329174020637,-0.04597652690841072,,-0.042190099310046525,0.13053682748031503
CFC1,,,,-0.013075421199891905,,,,,,0.03808219916826366
CD70,,-0.026458673325528634,,,,,,0.06868288149937213,,-0.08057195456732236
HP,-0.043515384784771745,0.036056811187579814,-0.048642300902835583,,0.006736603009214633,0.009109348353765425,0.06495629853655098,-0.005398963523152929,0.05187578749626472,0.11126401844952453
CXCL2,-0.009616113137981757,-0.03543118074750173,0.006622258373442443,0.09060785985198215,-0.02367447817070101,0.008256111432484071,-0.06509679065881609,-0.03209423573883311,-0.027985782445275446,-0.04972531211718564
NPPB,,-0.0009337040880807557,,,-0.01539271041350475,,,,,
CCK,0.08331361950669254,0.0801292303598143,0.062104873862017615,0.07338553971233343,0.05129245364761568,-0.025988067681611198,,,-0.009551615899175086,0.06862077730617612
SEMA6A,0.007669171343693281,0.08523461289376874,0.023382026807884964,-0.001953925691573481,-0.008862538745182,0.013535637800978956,0.018147362809175473,0.03139738936449349,-0.020271797683103776,0.09119291938513505
IRAK4,-0.04466448297121652,-0.0054188863122446584,0.020453619779492973,-0.012645399530316206,-0.007849021658524927,0.06355658250283251,0.06931086399805217,0.016933767397663793,-0.009851038731422072,0.005799700391131117
GSTP1,0.0717003966110081,0.016657958345832297,-0.08807055274418027,-0.07504840704979641,-0.04704937068907719,-0.05232979203153289,-0.13403827085283537,0.13109903710098392,0.02760769687322401,-0.06524651519014729
VCAM1,-0.05803720353495102,0.014252245576749542,-0.0022047001472941903,0.002000747351387242,-0.03303180796260507,0.09197126400118218,-0.03504712834951406,-0.03664013239489624,0.004720834058478074,-0.0013715230174795455
NXPH3,0.009099761055736223,-0.000808760220500986,-0.02207454762653241,-0.0387486229591459,0.07733080134548743,-0.0022184673807871588,0.05962035271236798,0.030998476048255185,-0.009206439989952875,-0.013397253636904392
MTMR4,-0.005707045582625965,0.03597422592397318,0.008473084633168194,-0.03396435943908761,0.006834139886412364,0.0573170803601015,-0.06521025293007346,0.033696380561093746,0.012648060580493194,0.09905866213800585
LAMC2,,0.05821537721387975,,0.025014779233718944,,,,0.0795115724441479,0.031214654802376906,-0.01585607749282869
IL10,-0.004922643048099489,-0.017506098515866837,0.004132571605277863,,-0.01377866421180691,0.032882434625386675,0.12854028942478876,-0.05673755080740214,-0.010115001497517333,-0.021401700762434767
SEMA4D,-0.034770217215817995,-0.02900426115537042,0.03546856617198375,0.024710579585247024,-0.003075395032407273,-0.05249002903959081,0.03436718741947452,-0.08819667686025857,-0.08626180211453027,0.050789041866445984
TRH,0.06874528702205843,0.002721541561798187,-0.015032358360833156,0.008750009224746254,-0.05030396963406605,0.02960036801648432,-0.032842781776898124,,0.06484016338937397,0.16962031669251315
SEMA6D,0.02010275318477498,0.019401282478911243,0.13751421120743984,-0.012020706276945906,0.012839564412492586,0.03187115608606086,0.014667990391286873,0.01648673962397744,-0.021912417722086984,0.021940626086109163
CEL,,,0.046618571512387144,,,,-0.038827410485610246,-0.04102671216324556,0.024457835064637272,-0.028874761685376293
PDCD1LG2,0.01717267575106048,0.024694146899234385,-0.03342314587642765,0.10962766269067847,0.09551816263879807,0.10596324269703428,0.0016159558192801438,-0.022248466804221188,0.11210674390255143,-0.045650877465652315
SPINT1,0.03244166506665277,-0.029972471053380554,0.06223149585972735,-0.02607478538378009,-0.020224112771271063,-0.023935470144376077,-0.049588089216028065,-0.016039639644514103,-0.027963288462939648,-0.01720056703616335
CTHRC1,0.03553923518407461,-0.04779300585926775,0.021848352540671415,-0.04075271410427431,-0.011560135965044661,0.17341403596115051,0.006260969736794226,0.12303244437547535,0.047171671453835884,0.05425125950949084
PODXL,0.044270903505636935,-0.02935411001058634,-0.06110875597861128,-0.02924026782365275,0.060695210949536636,0.10819206134448785,0.09977879894621873,0.15209515909933524,0.1430096124958789,0.22222440853906011
JAM3,0.0009807654651306686,0.017626103501761803,-0.05673516025677793,-0.011581845379990324,-0.002844537013172207,-0.08416381205393626,-0.029114860794004858,-0.01143858604530551,-0.05713520028589317,0.08864212212753406
TGFB2,-0.018220309412892335,0.013799384220906598,0.024628348001997983,0.07039632217144881,-0.030900514832216154,0.08668802700439318,-0.07322858558044688,0.002876987152122415,0.06197882191690747,0.10564809494765953
COL18A1,0.054908414652184254,0.009916325052164299,0.0008356515008663473,0.00948580867005069,0.012791240050066667,0.11889598392218198,0.15046370333608164,0.0632628926550436,0.10815513064758722,0.1130413854679322
NODAL,-0.005864838830509165,0.07325902214904804,0.057691890990645076,-0.05641430295676086,-0.021161492781662645,0.09318339331482328,0.18628798613636643,0.0009258664585629546,0.12192625190515435,-0.018880385790531976
INHBB,0.006830904895710717,0.0076199520639920245,0.06924413772162721,0.014075537604697222,0.014675010373358185,0.0018924062958893366,-0.04659448279417003,0.07866821183792813,0.08008309858656508,0.1093077122606656
LCN1,,,,,,-0.033370118824498904,,,,0.05642076317099161
ARF4,0.004170180938407863,0.05444251635400832,-0.048718838649692536,-0.03591823265599681,-0.054332589327224345,0.16146005339741504,0.1680699670306745,-0.05773520034219263,-0.026200926078051256,0.05577318385553469
CXCL14,0.03342718564664496,0.003807173554448378,0.09982097542146501,0.035292581122118305,0.029889282396325552,0.06809309189516513,0.05514323565080265,0.0662480211204364,0.14495235058675512,0.006838852833397441
LIF,-0.012307138720630703,0.03492157416607586,-0.03667291294182208,-0.025432535475200482,-0.025492174521729218,0.1252522743000031,2.5247959312395662e-05,0.024016891224732707,0.057791917349588336,-0.04421750040463833
IL17B,,,,,,-0.019441360590498676,0.14229130981091845,-0.031107651449436113,,-0.021857733363339262
MMP1,,,-0.015032355081567536,,,0.20456928601443453,0.19899676764585478,,,-0.0418801993516413
MATN1,,,,-0.024552335176772726,-0.012532990743699842,,,0.025331966164705916,-0.024370300783372517,0.009795587081388961
ADAM28,-0.07038214675800264,-0.01945297650565406,-0.01639407411142696,-0.045001621418442675,-0.006311273492302276,0.01681072672201519,-0.009849107282926789,0.05297525005448808,-0.03344376298215872,0.01830805995587141
TCN2,0.05274035265150308,-0.04254009401085291,0.06473388959554338,0.020482054659498282,0.04025222088775353,-0.02250188089289706,0.07744398335476217,0.10573611962088961,0.11763268729500168,0.02998728382934606
THPO,,0.03819387077889073,,0.01900531214341824,-0.01253299218339606,,0.0801778646765891,-0.03257770436852876,,0.0018349079553812613
CUBN,0.05818088498473469,0.053999750307559116,-0.03775403410859562,-0.043677894931956895,-0.007607833162629746,0.0917260273122198,0.05263025805927468,0.013794860098671603,0.015290800000358018,0.03762447728951832
TIMP3,0.016494726170299324,0.009723197983011165,0.06850470197310034,0.07468933001167977,0.038921204512012066,0.1330496866995758,0.07933585700731428,0.061325205091063005,0.12840525902170308,0.1128567588801957
PIGF,0.017207115396270376,-0.016995804071613926,-0.031540120664819565,-0.0163508615161964,0.0364966145040955,0.07635043408715128,0.042188161642433816,0.07807959583112085,-0.01880818757842321,0.00789366715072935
CRH,,0.060651990690198575,0.10277649872365721,-0.020690456371558474,0.0223093817115292,,,,-0.005061168221092963,0.06944221171127368
BDNF,,0.014536756913478572,0.08775109904337645,0.04213005162303784,-0.014115368134742973,-0.005123540316595255,0.054520504823153716,,0.06894483826702309,0.04038498318223908
CCL5,-0.07261789490728363,0.01339016244896564,-0.04984041486397102,0.021437626363289004,-0.017002511059131142,0.08291371210174543,0.023264824314265325,0.024508380290259642,-0.003642699417307793,0.013935653367736568
GAD1,0.003360803915561184,0.07105416061600374,0.07212045829758136,0.09382198137635772,0.07369830965777185,0.02087872035098164,-0.0024666635702833848,-0.03580117592114377,0.08708476074685803,0.09756745814606027
COL14A1,0.08775041244108962,-0.045823977924630915,-0.007792649253758197,-0.00711271979674868,-0.0419853178346006,0.08666319262240581,0.1462165350356396,-0.06640161186054745,0.09696144345426702,-0.014879443285698733
HLA-A,0.10396185620123911,0.013480919128320093,-0.12584117680510232,-0.013951908648610062,-0.051460465875688984,0.042656566267066855,-0.011441542709419182,0.08021025184073459,0.13854187611279997,0.08074282251806854
CD5L,-0.040990233071503214,,,,,,,,,
FGF18,,-0.012248530285725616,-0.020842201283325982,0.07871971235593256,,,,,,0.0716337414221045
ADM,-1.8340795060384042e-05,-0.05009485450699373,-0.0757008925804046,0.018364394826947746,-0.07268917232257503,0.08741175982854935,-0.08354565521909944,-0.025032505998737596,0.03344386286792812,-0.08504687579083561
CCL15,,,,,,0.1487708605469624,,,,
GNAI2,-0.028155101699104172,0.025186686177044424,-0.03098544698980014,-0.006627571102351623,-0.0033771258171746235,0.00403735114686944,0.0426524657414088,-0.034950008491832156,0.021004305944969187,0.0912294881767255
HDC,,,,,,,,-0.03879362699331442,,-0.025520998968333434
COL11A1,0.04584791326321687,0.0241924980322609,-0.038967274060584284,-0.06300389923090798,-0.0377627945935135,0.1319093564734836,0.060800080024920225,,-0.011230707426859318,0.13434937751503975
NUCB2,-0.002473699728375278,-0.06165771694780794,-0.05127884807533531,-0.03212201733745055,-0.011778121501671557,0.0645950083181922,-0.06229219880801115,0.0532924271460748,-0.018419718126903562,-0.006285207187062031
FGF16,,,,,,,,,,0.011030670516413252
CXCL1,,-0.032373735394217895,0.032940125156451776,,-0.017002513941762634,0.027542458945041336,-0.04376693776676929,0.10394352995382077,0.005942039753476192,-0.02144116298003704
VCAN,0.018861681674504836,0.03410670584911328,0.0008557272203422554,-0.06031664523183442,-0.01326533137521763,-0.11718262657101235,0.04980929742801844,-0.019642682287161047,-0.015387554391245152,0.09332838228373543
MMP7,,0.0007752623356482835,,-0.010704258903270264,-0.019371016260149802,0.12780746081212777,-0.08342825518860089,,,0.08398078047795587
PTPN6,0.03485948915338744,0.03830736766924756,-0.005147335958371645,-0.011892736779305513,0.04478061676740072,0.11423061951144702,0.05220605876822146,0.1251918302286215,0.045992922750383955,-0.02574346582042478
PTGS2,0.048199735364188034,-0.05664244154415975,-0.012682063024124966,-0.00518706051829242,-0.028929203557856317,0.10962819136691566,0.08285187447695797,-0.037615232246872035,0.06616403442695218,-0.007565105165840248
XCL1,0.0010708905196078798,-0.0133268393049555,-0.015984170393277156,,,,,,,0.0513500645235906
CD58,0.009143614870052393,-0.040936166150645464,0.007265388638331862,0.0723269904793846,-0.013385019284349937,0.08108687250846924,0.019196677755145837,-0.05791386572955995,0.04527444982983743,0.08805959754541653
TNFSF14,0.006685171190993739,-0.008040636695482996,-0.04499010218300759,,,0.013939404777262703,-0.05650391495450412,,0.02307653553871995,0.02831952714665881
CNTN4,,-0.02395072786518205,0.05241290034300659,0.05324751035207956,0.03742549368891681,-0.030036698690472933,,,-0.04850427886262268,0.057535539742018776
NTF4,,-0.016857868107299,,,,,,,,
INSL3,,-0.012248527883247892,,,,,,,,
BTLA,,-0.00475676023684109,-0.01666402974643008,,,,,,,
MFNG,-0.03578462028871765,-0.0194960154257538,0.06658754535325695,-0.03234811352637103,-0.045416225087747876,0.06530005039948018,0.09279598462351091,0.0956284933707345,0.004693448952346638,-0.03755182605617542
