,UKF248,UKF259,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881inf,ZH916T1,ZH916inf
ITGB3BP,0.02921150973409634,-0.023472383798347245,-0.008435459951990316,0.0020512789313501733,0.03262800567820375,0.11600693452976767,0.08448175077413969,0.03890665931712059
AANAT,-0.010625668493848458,-0.010504578313435669,-0.017289359007688333,-0.02055395159789025,-0.004263950048762033,,-0.013971035846042335,
RELN,-0.017907011379838075,-0.0182335955038965,-0.021016343440774337,,,0.007510587729724766,,0.014014156746290132
IL15,-0.0017330580010763285,-0.03646107877651634,-0.004032788174604282,0.008391780120843594,0.02850803889836827,-0.030559606387101354,0.012336693448109384,
UTS2,,,,-0.01750319407975104,,,,
BSG,0.004162604618417892,0.01650003393558564,-0.07690747966113333,0.03863298450987969,0.004444439495142046,-0.011713050813574752,-0.0019071632491813124,0.0015398855697176317
ADAMTS3,0.06523587815723425,-0.020274619041052742,-0.027762648013181648,0.06972944407062825,0.13197417669635184,-0.0351346081884542,0.08284904384090568,
CD34,0.03535636105312764,-0.03260908522375299,-0.027666618716512714,0.07888274535554131,0.03345773090561934,0.10825355992451759,0.010195233452717839,0.07621456942147788
PLAT,0.042086903033971994,0.011963675785911902,0.024229294901573103,0.07159394947843183,0.11329818278489716,-0.10790799085575704,0.04560667037894619,0.05989552885572491
NTF3,,,,0.05344564141598171,0.12206303680855811,,,
LTA,,-0.013287832127558213,,,,,-0.018802908763139156,
CKLF,0.03631305289657398,-0.00025620995259946835,0.029117817680339633,0.07056854013810478,0.07410263735577614,0.021536830278614326,0.028840026703978207,-0.01927050845445759
CD24,0.08096866234589535,0.045688053316183044,0.05730941699346957,0.027911953566641112,-0.019464197705348685,-0.033446750427170956,0.008425541855682697,-0.05783540494018415
HSP90AA1,-0.03655688827782025,-0.004706314162034612,-0.07958238180785449,-0.1307440721670805,-0.2146796534378123,0.04441552050385389,-0.03429969308198996,0.06093897254497749
BMP4,-0.021000270054255057,-0.031002107491932933,-0.006984442211322507,0.11041781095360667,0.07698311726959475,,0.014368443159808949,
SCGB3A1,-0.01690916316325621,,-0.030434110246064655,-0.03566011540941045,0.08119833535152789,,0.032335558058278396,
IGFBP4,0.012662343992472546,-0.026800070656396963,0.054294138021196446,0.0009385584078979366,-0.004331083977929186,0.07048205227989718,-0.02305297666819563,0.012586222469083709
RSPO4,,-0.020339355104761304,,,,,0.009434072997680993,
LEFTY2,0.032330726652284404,-0.009021233319877066,-0.018390057927462438,0.024938829516891713,0.05244644814781318,-0.04731713527430651,0.0025120477206098737,
PF4,-0.017540542464160567,-0.009045494816796198,,,-0.021371184430248616,,-0.0188029044120066,
ANGPTL2,-0.014675662433145761,0.03383545355501717,0.08376759876979276,0.13888570358488064,0.13602084280521656,0.1178855768617193,0.01752843644047743,-0.0025559641154227083
LRIG2,0.031472728502921606,-0.04211427153151293,-0.02685906379631332,0.0679128673773354,0.0497873145165193,-0.053699008967064345,0.028912320028776615,-0.0868955914807645
ICOSLG,0.030643923200371136,0.022509010418364363,0.06880585507822178,0.05147694693911778,0.03436521032895725,-0.00977049716871888,0.04378907621079554,0.07641623372023602
WIF1,-0.020877414317032043,,-0.042126406565158,,,-0.03109704743995633,,0.01705964274650207
NPPC,0.00020904288182167316,-0.014031793137994459,-0.0456572980194734,0.030651890193017225,-0.040435713666353665,0.06321645596012702,,0.011398559872997096
LYZ,-0.0019803283523002844,0.01112612113582011,0.12138395889970435,0.03872228701721881,0.032641411508626476,0.05421194717908337,-0.020420065563104602,0.07218350066576298
EREG,,,0.09321677851831042,-0.010595849828795623,-0.034708698824780185,,-0.013482915796051662,
SPTAN1,-0.02907450183312583,0.03082141734128116,-0.11858735092645617,0.030629637728306333,0.06690399997574609,-0.09169726144154419,0.04378914196204818,-0.000724571083924457
LIPC,-0.021474234416365444,-0.01625542787029061,0.013616695068544838,,,,-0.023773988033284503,
COL8A1,-0.06206988969936937,0.010527242728582006,0.17161734323496844,0.06635779385064318,0.0783444949509838,0.10157162270251308,0.0074160781276087625,
GSTM2,-0.0030032159697929843,0.03854798056971217,-0.03008930463885467,-0.014573599837246315,0.03474376818597954,-0.054790358654863605,-0.02060584927346263,
SPX,0.007925042863537825,-0.026636346035933473,-0.0845901442150772,-0.005372646538615982,0.004218125197479192,0.09612324612400085,0.06199034923247866,0.02607470716817693
MFGE8,-0.04572746124054407,-0.008618762822297243,-0.04072611009102777,0.05463336156484316,0.02870144983073123,-0.04465892853115647,-0.008651795249642479,0.07895084720295908
TGFA,0.011404249379842666,-0.01051028553950189,0.02380679116832067,0.023850281238607395,0.036359429777786306,-0.07695362644650003,0.05963426990306687,-0.036186000010282805
SLIT2,0.006801088383412654,-0.010226899926857424,-0.08040517694852078,0.007547390354457423,0.0833640753372279,-0.021885818497536604,-0.000616841752612508,-0.031992716939071346
PLTP,0.007999608030681905,-0.004661763502540113,0.13094881771253272,-0.01347314066758682,-0.018601213497671895,-0.016212101044915533,0.04336820812902843,0.03475686880678549
APOD,0.018156216865373196,-0.04462639797062018,0.08107269127813581,0.16076656564142935,0.15949080869370552,-0.012216619067615377,-0.07150503657186641,-0.024950141839245262
B2M,0.018032064547420092,-0.062110899415839985,0.1155173246115744,0.05082409419850155,0.012584423758457131,0.012878810752779985,-0.007930642424032566,-0.040787662716947067
OMG,0.05589658297654711,0.04574199310062091,-0.005731701720043599,0.1378138853094846,0.15163004928729262,0.05836027708334922,0.07770966393648143,0.09018925726166872
CXCL3,0.001960303947645541,0.008706118472344808,-0.006161224856251701,-0.07010591063430087,-0.05146601520001536,-0.0426202818370676,0.0051200762399128885,
CXCL10,-0.004970606110321419,-0.02672899707417546,-0.019051260701644805,-0.02419357498685592,-0.028664953752285508,,0.05431326647151803,
RSPO3,0.08592286151708953,-0.010504577537266264,-0.040630204424834365,-0.01645346021952244,0.04414209087451099,-0.05342525535201043,-0.013400104600591524,-0.0310595144548935
CORT,-0.004876254415519104,-0.023557321722760653,-0.04629191104258652,-0.026715400243975236,-0.0037089485837661705,0.006529251691449343,,-0.03316653076165346
NCAN,0.060982816701315654,0.047741192187056546,-0.017712253193272475,0.10784582984072673,0.1479530879227458,0.023435451028034248,0.06664611078886179,-0.0257865192607692
PRG4,0.029825230811878264,-0.010367565019612987,,0.07449386334194051,-0.020180022808051735,,-0.03035484829608602,
ZG16B,0.09354414151214235,-0.012032827155778336,,,,,-0.016708488319272557,
TGM2,-0.026680034070481917,0.0032784758454049677,0.04501621975484962,-0.010994146907880952,-0.026357256629158103,0.05410929821399054,-0.008870733987022239,-0.0634324822764835
VEGFC,-0.032287637282008605,0.09617839458109255,-0.0213772523480123,-0.03015193513552827,7.92007317639038e-06,,0.007343475289042116,
WNT6,-0.027282563681321675,-0.014339677379490526,,0.05321336363890154,-0.012011636160358705,,0.0008166667650891864,
NRG4,-0.015573934469775345,-0.012617800902182839,-0.023815524057937024,,,,-0.013400106102423547,
PMCH,0.03923214787208793,0.015211791141165611,,-0.005377058808040428,0.03379431535237618,,0.04552739966054835,
COL9A1,-0.024458944826470982,-0.013178372122963642,-0.018655739467009748,0.06175583313362026,0.1080382860049782,,0.10090114133319239,0.04393949120911604
GDF11,-0.04325880496865858,0.02174855000160717,0.021750062155719778,-0.001041988313848767,-0.034723373593953916,0.0229121638882509,0.0796372273517849,0.08946199990913552
RAET1E,,,,,,,0.013389842428708634,
IL24,,,,-0.01775521210520678,-0.02103043176001797,,,
SORBS1,0.004154840894543366,-0.013473857046450129,-0.021147020974057674,0.046544029948372874,0.01794570973686773,-0.01846275213614147,0.025405294229748885,0.040019822093924774
DLL1,0.0757643900059507,-0.027502586945426323,0.07966848891796202,0.12781229980951123,0.1662319176381506,0.06358917117141112,0.05334065199785695,0.006825947475350541
TLN1,0.018027779257968887,0.0296270878422304,0.062319528322306264,-0.005977041927017361,-0.010733582537665792,0.08382237399498706,0.009497273056642587,0.051259059673384025
COL2A1,-0.050669319583560336,,,-0.03881522123608746,-0.05481173853322126,,0.0025689650228589616,
SHH,,-0.010773602265091888,,-0.013513564512159086,0.0938400417973221,,0.03096049658770147,
PON2,0.04137546792353497,0.0077379986276913,0.05453628369288064,0.09525883682180149,0.10030276145312084,0.010573610862538774,0.06131979168243046,-0.04285607820697447
ICAM5,-0.03775103335404158,-0.016791423799277706,-0.04075539747619511,0.018189492153134413,0.041526140911969156,-0.0035245582322982953,0.01769035476404575,0.045473865074838325
HPX,-0.033919932850601624,-0.014476514907430751,,0.09706988167649681,0.09093447852888528,,-0.03092396104875084,
SFRP2,-0.022480777487454955,-0.01226996544616715,0.08118013388055684,0.020747066031592265,0.05091367620597578,0.10132458136152461,-0.08795394910149595,-0.04708490575848944
CFC1,,,-0.01943264615553393,,,,,
CD70,-0.04107182400439245,0.03606013301030037,,-0.04626379549399776,-0.008569944679531743,,-0.02044428307413639,
HP,0.004688066792145665,0.003068263270656943,0.04524550611164391,-0.037504270682967,-0.06073160178476453,,-0.020045093102159833,
CXCL2,0.042305782271048364,-0.015170263026159697,-0.0007071758402492867,-0.01310713680512636,-0.07887838804475675,-0.017793175409601146,0.03249454558032777,-0.03092004785459799
NPPB,-0.021814457027386592,-0.029790954219181095,,0.009985574652713484,-0.03359562841995956,,-0.013592915268138517,
CCK,-0.029764581467742156,-0.016415234796420784,-0.1442846464375117,0.03885495677445421,0.06086102870858892,-0.07087541434761845,0.005575774321980263,-0.035787824003989326
SEMA6A,0.03606138991156378,0.024119435093687316,0.09974703619461185,0.07517964873872678,0.028057175737620968,-0.053420481866235194,0.08100515321171269,-0.05717398753168498
IRAK4,0.004540688872776179,-0.06365291340853696,0.019975781211840064,-0.0027927127451011597,0.07698006615453132,-0.000347802074849366,0.03965051952615065,0.07262501648479328
GSTP1,-0.02834267452240324,0.03831425278892885,0.09893242147411302,0.10122683410032658,0.12484603413499515,0.08693582009609734,0.03988662618729003,0.03305501039342335
VCAM1,0.0011913235291904302,0.0431789110474588,0.06267210788526519,0.04721382937148255,-0.011843130610815229,0.10645619572206136,0.09894968697523698,0.03339958647691776
NXPH3,0.033688954803484585,-0.01786103462886324,-0.05987275457443515,0.06932974368585834,0.015451128240042565,0.07555739367889235,0.09768197639136808,-0.05103019745152918
MTMR4,0.04943296720978469,0.054413336677423874,0.019448510713339247,-0.008250749210855278,0.03043804129201296,-0.03088473431747281,-0.044417830154307385,0.10625834423878794
LAMC2,-0.017122067777841626,-0.024080892542328078,,-0.0023784905459996062,0.0023781496449550845,,-0.025898672020684965,
IL10,-0.03617704720394478,-0.027054074998361627,0.033461504479477405,-0.029783409954404993,0.038575388855682964,,-0.031524361132619645,
SEMA4D,-0.029064462189671233,-0.010808671302695316,0.10501715027305605,0.06855442738886086,0.1147784254650745,0.01301086652517723,0.05369498784195334,0.05536424941727499
TRH,0.02940764052783303,-0.025538725993636338,-0.0302621014916445,0.010319561421683632,0.05521080572993777,-0.03214812110539556,-0.01522497666124995,
SEMA6D,0.013309946863422477,0.03554398075713248,0.012158041164548617,-0.0468097627333149,-0.008215346613902913,0.021229519266036702,0.08844316146514872,0.04010411287742001
CEL,,,,-0.026887554771282397,0.11372244502551518,,-0.024380991673532748,
PDCD1LG2,0.08157836780772373,-0.0002848663811076153,-0.043324320025069196,0.036268510976223585,-0.0437111706992873,,0.014190644313025353,
SPINT1,-0.026051251258522024,-0.019628776665479918,0.04182428392424238,0.031715713028033304,0.05847804618607805,,0.048801793730639455,
CTHRC1,0.01652483375018951,-0.034978717616078216,0.022062314746615047,0.051781811169033055,0.0036870979338176494,,-0.0387709319410182,0.024138797123910177
PODXL,0.019246261188449066,0.021909455019418936,-0.01537341357217127,-0.0069978979496846385,0.01011255763181322,0.041304669253064134,0.024579924934609206,-0.02763593093528385
JAM3,0.036967448114455875,0.021440307551574635,0.13458321161689585,-0.0349485927636081,-0.03527434455942797,0.06346063035748181,-0.0053855952480436715,0.05839015181326638
TGFB2,-0.014677163838992197,-0.012002458418013532,0.04416405313872986,-0.01542335041189204,0.039098043055287884,-0.04524859699223335,-0.00965119882692217,-0.11713989273990835
COL18A1,0.01944853891687379,0.019636094562037194,0.08266488271290845,0.03791345237246292,0.005160553932488945,-0.026454270878935985,-0.03923199312051446,0.030827320063765123
NODAL,-0.0031368045888776077,-0.021217620821951052,,0.006601307223739573,0.05385036804576289,,-0.02083676511249397,
INHBB,0.0481725874080293,-0.028214242278115236,0.024732988264013062,-0.02879113822752519,-0.041022251386032764,-0.015396416297689392,0.05265960995783341,-0.021537554114200882
LCN1,-0.01712207163037659,,,-0.02823199516018977,0.008360240008661748,,-0.015396325078121196,
ARF4,-8.371671431787061e-05,-0.03576111252530337,0.03306643649497565,0.10068415687596975,0.07408474318211443,-0.015310267918312111,0.022512674809450708,-0.05591425196738461
CXCL14,-0.040400211022881966,0.026548050938398588,-0.07386413859750544,-0.08352786958559366,-0.1452198145710364,0.00020354110684685567,0.011265830078698183,-0.016088814562634533
LIF,-0.006296484228863157,-0.02839190623736598,0.014459107638754432,-0.08010242183513336,-0.016899392322572326,0.04123782997683506,-0.042063830029716046,
IL17B,,,,0.10075228198637161,0.043006801883060386,,-0.009091531956349963,
MMP1,0.006019855634523909,,,-0.03881522492098666,-0.03058306327182871,,-0.0054619733386451685,
MATN1,0.03947776442299188,,,0.10648408331408887,-0.005266171646276871,,-0.018516825004515132,
ADAM28,-0.013141021056046644,-0.01979147787817657,-0.015830108812049465,0.027360191653362873,-0.017376662011710686,-0.0059617665500559585,0.07899931811147208,-0.03559618849424421
TCN2,0.031104760745101177,0.028243910162617073,-0.00265489927767785,0.1061458452147923,0.05017802859144232,0.1126071769988374,0.018186938444042348,0.07092722533975801
THPO,-0.029293387882017213,0.0050693751575103755,-0.026245491315356168,,,,0.0215736668104043,
CUBN,0.004920539041734334,-0.02572148177894469,0.0862788236755564,-0.025416892918789583,-0.009858953586818089,-0.040111062048858906,0.05779471017714304,
TIMP3,0.02055205031820467,0.01793726703309751,-0.0504897669902859,0.057675286999475134,0.026294820757126938,-0.003488600856945829,-0.05939747161466123,0.05475426466405903
PIGF,-0.0052581142453956824,-0.00523901107034972,0.029824733156772778,0.060230897789725256,0.05024016846964629,0.06661974831848216,0.01757423463016866,0.0388784529320262
CRH,0.014794866905115205,-0.012151941489445466,-0.022514876997110737,0.00942606857556218,-0.03168311235047276,-0.03746551567504415,-0.02283077955637007,-0.05870166573839181
BDNF,-0.01298817650787976,0.12365922618255776,-0.026050531986787057,0.03002304943839376,-0.013642267881525224,-0.034652318893549236,-0.021402881631241964,-0.030502554016372682
CCL5,-0.015572853371598496,0.025273076612019784,7.293179714914943e-05,-0.04587810722379898,0.03753511246802189,-0.046177901318233905,0.011068085942832153,
GAD1,-0.0009959334689108401,-0.04069929490881813,-0.08378910551433244,0.02367002641925676,0.08727222649309571,0.020646484990916193,0.08090053269325011,0.008519217336321664
COL14A1,-0.021479958796241,-0.03611971294726964,0.000454901166751307,-0.04467220346758205,-0.023653265848556197,,0.00423942544387035,
HLA-A,-0.02715785247769878,0.018069348956824605,0.12311481812819704,-0.12428899249648911,-0.17045351000645534,0.08114908940688166,-0.025999137598157265,-0.04062221445415518
CD5L,-0.02006054312242714,,0.012492557207581663,,,,,
FGF18,-0.018151165702517416,-0.009654626638350958,,-0.02904503454246571,-0.01634707390687237,,-0.01522497788273788,
ADM,0.013071556386449993,-0.02777600088603797,0.033771858313745406,-0.08672007395355714,-0.16145209367073127,0.05088757567444581,0.014664388726791891,0.03621856215504226
CCL15,-0.03346923925956604,,,,,,-0.013204622135734088,
GNAI2,0.018866391283546252,0.06069532224240768,0.055863921821426375,0.03467798966715466,0.012338274712464343,-0.017690189264460438,0.010751507981613158,0.02906535715377141
HDC,,,,,,,0.02717352364490075,
COL11A1,0.015805333382234645,0.049799642119997274,-0.03324705836376121,0.007556562015906251,0.0009247569076275723,,0.01361816794978094,-0.05335758867517465
NUCB2,-0.005501169944543441,0.04146564907547693,-0.0513985260417027,-0.03274271081853272,-0.08283155077613678,-0.045734220803366796,0.05737161592527376,0.024151282742650874
CXCL1,0.03236767182958531,-0.03196159391825026,0.09890360542266227,-0.0555996879647072,-0.07078216343920914,-0.057452852799857755,-0.03321780582252043,0.16705727933568407
VCAN,0.027409925109900597,0.034135473540552894,0.0036410475014788794,0.08394030797785822,0.09291498805913997,-0.02966097207006185,-0.06908168899675247,-0.03479729231544756
MMP7,0.06336865010571172,-0.019194054492225873,-0.016118676392553932,-0.06797754495098916,-0.0979774073019464,,-0.0015934860395371438,
PTPN6,0.00018285266739217915,0.021568432581126007,0.014312831631793855,0.008526281134061496,0.0715729754883445,0.019782693773959317,-0.015534851413083523,-0.016912501117957116
PTGS2,0.0035130245823991537,-0.044647121918847024,0.12464449005912906,-0.06863323724726202,-0.02758684120305885,-0.036946611092550555,-0.0387411733852849,0.08330991832551253
XCL1,-0.021982767230637263,-0.010504579305207935,-0.02114311715602726,,,,,
CD58,-0.023039006478285492,-0.008427707902964706,0.025679867419069236,0.06536952806891809,0.08301492104468795,0.004493269916519776,0.0005713015809404705,-0.02158073454749355
TNFSF14,-0.022149904200384925,0.0594577993092363,0.05308395376108212,-0.023234499948029508,-0.041749845311464515,0.017604986934655793,0.009261952593277242,0.026610944151488788
CNTN4,-0.03894219381660744,-0.018878618892305948,-0.0697988167820402,0.01889478834487442,-0.027242260446578796,0.028437945039583388,-0.022468485729895932,0.04264661151453293
NTF4,,0.029736655596156007,,,,,,
INSL3,-0.019692502320551912,-0.009654624744652293,,-0.008787256060456307,-0.024233860212023946,,-0.018080122851576137,
BTLA,,0.061288614893511374,,,,,-0.017482574779414665,
MFNG,-0.0461740764015763,0.03102184881915376,0.013436159945916647,-0.005767062633953028,0.035363803175958636,0.0417392328993146,0.03810604792445174,-0.016831606226782786
ICAM1,-0.03377005462256324,-0.029216822049893447,0.04484047615579725,-0.012415954002212464,-0.03132575756333251,-0.04713272517070471,-0.02091852837953331,-0.018044114546238024
PROS1,0.01009011038087472,0.0224307673162285,-0.005874706551949135,0.040800149960618134,0.0038165457907409724,0.0006733783914344458,-0.006320977172979168,-0.04077375095467506
CLCF1,0.010861697447148828,-0.027538633212128703,0.09148426826966397,0.02157040337548813,-0.009273091028059016,0.015956790640504256,-0.05913324300112034,
PSAP,-0.026836218036654924,0.03307913339082026,0.054402562288820525,-0.01692032121150339,-0.05718486093508929,-0.03683052937018938,-0.01677532938768981,0.00650905751372233
EFEMP1,0.012191754552306856,0.04184846907414144,0.10815679704843685,0.007162531747841841,0.0014509030380860232,-0.025304680851987504,-0.021968643429574563,0.022337793267127263
C1QTNF1,-0.008745777118637358,0.015669913885027247,-0.04042036633101863,-0.09629772239332536,-0.10049835137617677,-0.031220662012960844,-0.031256171821388665,0.08155322365108016
ALB,-0.030445122461938534,-0.017140407864965526,-0.01915473595541776,0.011550308949091195,-0.02501140130677035,0.12139078109266642,0.0004963672586972429,-0.06331933518042175
CCL13,,,,-0.017247689427212977,,,,
EFNA3,0.005598023257157978,-0.058676165696510456,-0.057210435698047284,0.04411731291831185,-0.03953710920751804,0.05564918189365059,0.11791916010954179,-0.05216548422956297
DRAXIN,-0.02162985566894396,0.020682069603720654,-0.022066160048083306,-0.07745744836140034,-0.06997371788233282,0.0018448437355972369,0.025047778722785307,-0.027420348938163253
RAET1L,-0.015340650559066865,,,,-0.024532482084667347,,,
NPTX2,-0.01779776067043002,0.0024953088887086946,0.07834865718188129,0.007284220412253523,0.06848827612760047,0.09280324405651426,0.005557936101924059,0.02123718010449401
FGF11,0.04042205887203611,-0.001222940240304288,-0.015406236813247891,-0.056448573606228014,-0.022358138100852857,0.07098231521108489,0.0033068576564904027,-0.01574251344668332
CD59,0.050043295566945,0.016755620737729363,-0.012150476206740687,0.01101736588938026,-0.01795947107182863,0.009599361320923218,-0.025025963725771386,0.03173630405199314
COL9A2,0.002151770520655503,0.05002128951538759,0.03686262626264977,0.059911061930692,0.12103595870507321,0.12761429417935924,0.04339058135622263,0.006429716695942217
DLL3,0.01279130784579975,-0.012993839251602602,-0.04720322591983087,0.12515072447314965,0.14944262810147274,0.14321317693162977,0.09010093179745873,0.01943655597626689
FGF5,,,-0.015502176334022158,,,,-0.046318461816802256,
LIN7C,0.041079934545949166,0.026589468748770644,-0.0045695136682739395,0.030137454809469905,0.01949257210421521,-0.07290217934163912,0.03504756729739152,0.018213744291828225
GDF7,0.003029447886653519,-0.017226669219722105,-0.028495411309771023,,0.11993598190649933,,-0.025790430429121332,
PSPN,0.006452969196206124,0.0041226417670183835,-0.015245368778631927,0.010645938202226103,0.0447324997785038,-0.05308016326742907,0.001073286927291237,0.0058290191206915925
ANGPT1,-0.0206508032464095,-0.01283852993556143,-0.01680066973713459,-0.010423468351017826,-0.022171014980750633,-0.014476720214428786,0.05696396093279212,0.12933222562479357
PNOC,-0.03622998875737287,-0.06597407270905992,-0.0513123032318121,,-0.02236386072533347,-0.034652337629764815,0.04986947548230059,-0.019765221088189067
L1CAM,0.020433011143477963,-0.024352635248732005,-0.0241716563764204,-0.06610769923632139,-0.12967915038468256,-0.02691709531899386,-0.004320332254277757,0.04624921785462012
APOA1,0.006599057754569174,-0.01503548287796836,0.010617961219793083,0.026008387419762476,0.042770349943937996,,-0.040234038067656484,-0.032477955840633815
PSEN1,0.03904944382814252,-0.021748778607805243,0.06156166411225571,-0.02116386956227151,-0.00041894339923451005,0.09223289009939781,-0.03597298453617212,0.03694820298605057
CALM2,0.0033175691283117395,0.028836500911443814,-0.11950490421555954,0.04520281756373402,0.06194959265906477,-0.04101310961847715,0.08085150298970019,0.004270203566166826
CLEC2B,-0.0009544072370235473,0.008911024279588144,0.07528219311136944,-0.005713479472502914,-0.04667027226685794,-0.048779197642625054,-0.011508234766153137,-0.06082982464754223
NTNG1,0.011378588280770319,-0.023084782997662263,-0.0029144473673162427,-0.0038416379412406798,0.07153226094443495,-0.04731730361266355,0.07288012068251762,0.03175013552504424
LRIG1,0.05791757736751669,-0.012322622727410163,0.02184429985483898,0.1363435203091522,0.12095134701761241,0.011979948991063546,0.055804315568101705,0.016162014955737374
CPAMD8,-0.01975889682019717,0.014151529581040972,-0.034970893157653934,,-0.005677883403046151,-0.03836409959410789,-0.018944495214251355,0.04665142102958771
GHRL,0.03127838275996049,-0.030460325873700195,-0.017289359158583883,,,,0.08858587280001821,
NPY,-0.04392263233058436,0.05921132918405138,-0.08962952567153672,-0.08400269690461783,-0.05337506467383198,-0.07934184532292336,0.014316077002683152,0.02244025562301305
