,UKF269,UKF296,ZH8811Bbulk
BSG,0.0636520048096226,0.04594605496159705,-0.04831971837773727
ADAMTS3,0.07647245433515609,0.026837222077297624,0.02602823733579239
CD34,0.0026678778696538844,0.04193512480716529,-0.02289527162175294
CCL23,-0.014158631594259584,,
PLAT,0.08997853629011537,-0.04095833724516852,0.009803779966506044
NTF3,,0.07448306114291751,0.02451251522379883
CKLF,0.10670693666004732,0.030184416300565974,0.020535367071779748
CD24,-0.018608136868717786,0.014859994099909702,0.06276017727528777
HSP90AA1,-0.07736252631246374,0.013987659367079169,-0.08424581554436168
BMP4,-0.017029777993141558,0.04023634245476598,-0.028694114024165343
SCGB3A1,,-0.023787917380924898,0.00210095551147375
IGFBP4,0.0692794650519095,0.010781328728864031,-0.07289707526469057
RSPO4,,0.02168563609754309,
LEFTY2,0.031416020095338344,-0.002354617244780457,-0.016583805866476255
PF4,,,-0.013219635966410067
ANGPTL2,0.09130611682483929,-0.01587013220844952,0.0458360907448564
LRIG2,0.07324362473629413,-0.0002514709764175246,0.04331988757379561
ICOSLG,0.10115116290987994,-0.00505130916558403,0.02973713487771309
WIF1,-0.04271015847261644,0.051362950707360785,
NPPC,0.012270797705614095,0.001801871519659034,-0.025012437492916692
LYZ,0.009018838513119336,0.04558133744691353,0.04484494133835506
EREG,,,-0.03239113221402091
SPTAN1,-0.038275270608228606,-0.013724809723608535,0.060396498087515946
LIPC,0.05304855097445068,,
COL8A1,-0.014226746576733167,0.09126039222915738,0.00345921921099021
GSTM2,0.09391667939633051,0.007494962862703865,0.04415582235126973
SPX,-0.04364019721204247,-0.02145205165555008,-0.016413867767489182
MFGE8,0.024160758585715578,-0.01608999845492515,-0.029084488008702364
TGFA,9.975858364580054e-06,0.022694225964648578,0.05573527477854693
SLIT2,-0.04134756360035328,-0.06149062909123537,0.054968703626032706
PLTP,0.05697802869072913,0.07118168326210922,-0.05259953695360125
APOD,0.0831738758218173,0.006791874778896494,0.10652919659852493
B2M,0.1117261946975349,0.008719711867313474,0.02002281143909782
OMG,-0.025875627287197184,-0.024954438601655526,0.06923251505898526
CXCL3,-0.0163376097442514,0.005131364333360135,-0.021070645499455
CXCL10,0.13534584465574626,0.006974698747599078,-0.017731364157002247
RSPO3,-0.020432748080539062,0.05123218398046537,-0.004817578594515015
CORT,-0.024571554736457207,0.01152041466497973,-0.01383367713625636
NCAN,0.03286083112038575,0.0023369141745407025,0.08328916988393793
PRG4,0.06834282610730177,,-0.020412437153217434
ZG16B,-0.019110330310230354,,
TGM2,-0.03449386889099035,0.014170295497062961,-0.03474643217540387
VEGFC,0.045027823766231934,-0.008268588236758488,-0.027717647182503705
WNT6,0.06878010316311267,,-0.025710507271005677
NRG4,-0.022046860411016472,-0.0449715427665026,
PMCH,,,0.13328717377293609
COL9A1,0.04904512324566683,0.03785974546985865,0.026986458682342042
GDF11,0.023979094737329884,0.02459446309721199,-0.007207358867750335
IL24,,,-0.01300885559203571
SORBS1,0.03506839697752388,0.036442968518269066,-0.054005256206931564
DLL1,0.04468946204307254,0.01799704432228361,0.11906032862494646
TLN1,0.027195266289331926,0.0033459630992744432,-0.029655837462121786
COL2A1,0.007103290426565789,,0.06689496352741539
SHH,-0.012843350753110794,0.08083339376084925,-0.006978113981633466
PON2,0.044756877708759024,0.005453444838502154,0.07597494893791151
ICAM5,0.015239890455894344,0.01511122150507574,-0.0010704047767280864
HPX,-0.023790971638746043,-0.00181511567225081,-0.0075855428378139855
SFRP2,0.04440522129549288,0.0015188648729454108,-0.017482791790996228
CD70,,,-0.040008205947951875
HP,0.02800263747991762,0.05170160362937653,0.024643124664427304
CXCL2,0.06060301223327417,0.025390532502005733,-0.01633800900866676
NPPB,,,0.010443844302114104
CCK,-0.07992097332650111,0.01147293317775455,0.05716707956412538
SEMA6A,0.0679053701174548,0.02463861013654296,-0.049558589467716525
IRAK4,0.06660309335017199,0.012935785466616825,0.005018439389183093
GSTP1,0.07629532903135644,0.032771745399861954,-0.009064930554974095
VCAM1,0.10263914188615732,0.013171331514867454,0.004958486202635352
NXPH3,0.06371286183026759,-0.009979241025638706,0.054573709730676
MTMR4,0.0589674202239787,0.004306250304068828,0.06514676857505038
LAMC2,,,-0.017084277607177414
IL10,-0.021438599073355682,,-0.03987242400226116
SEMA4D,-0.03092189562347561,0.028400081734537726,0.06262217056535228
TRH,0.013939339222603228,,0.014232087725568582
SEMA6D,0.015050034303097037,0.025349952058201317,0.0836711535117944
CEL,,,0.07620471094618508
PDCD1LG2,0.03189225973704781,0.011628199809365854,0.03676123951585344
