,ZH8811Bbulk,ZH881T1
GDF5,-0.031527473291425634,-0.011431350186007135
CHAD,-0.03571989695580126,-0.0377768728210043
RGMA,0.03616751484974876,0.012774354479248878
WNT16,,-0.008212192740619328
CX3CL1,0.01668828998391827,-0.054456820652212384
FGF1,0.016712663781274822,0.014755140970929021
ALOX5AP,-0.05992266437184025,-0.08248906363741816
IL1RN,-0.03684376051377497,-0.029133189328006428
PCSK9,-0.015655382928419084,-0.023459415855613296
NPW,0.022659231387256774,0.028847566053355596
ANGPTL4,-0.0976825257164836,-0.08540198111187337
UCN2,-0.027194791155728544,-0.02650902322971728
COL4A3,-0.012388423936262575,-0.0067367310135618315
NRG3,0.009223899576412758,0.006896392413313764
IL23A,0.1016328227634444,
COLQ,0.07656346289732804,-0.04041156689779262
SCGB1A1,0.06156725464029986,-0.012502733973227336
TNFSF12,-0.02656807577711021,-0.05068269307335804
DKK2,,0.017673859835411164
FYN,0.12501303414330964,0.03990074509113146
ACE,0.018164422425732928,-0.0015780392430963211
IL18,0.04761839408310918,0.050008215963363065
PPBP,-0.018532412594157992,
CCL27,0.008121819570512275,0.05907292071057251
SERPING1,-0.04631000509865753,-0.02082465705016362
AZGP1,-0.07793037154943679,-0.09022836316279602
INHA,0.019674758146601887,-0.05268751489878479
SEMA3G,,-0.03892040709101284
OXT,,-0.022729175606378382
COL6A1,-0.09989620615390175,-0.06760959894997103
FGF17,0.01639155577171879,0.0851840395413611
TNFSF8,-0.017149212580742427,0.09830671541339
FGF20,0.06890840047799239,-0.010666143080517701
ICAM3,0.05175182885174949,0.04559286618687241
LAMA4,-0.01878005664482601,-0.09076371439115241
DLL4,-0.015853527741854574,0.004506428005617377
SEMA3A,-0.07561635469784254,-0.00690776798264821
RLN2,,-0.026509020306538216
C5,0.018914948609501464,0.042847844659926596
C1QA,-0.02528293050481075,-0.07418145623734908
COL9A3,0.07336299019358047,-0.005761056725659879
HGF,0.07902747862831716,0.022861042815981218
P4HB,-0.06532476708049079,-0.0726195259073033
ADCYAP1,0.07022531531823732,0.1127990290149449
GREM1,0.01793479049707336,0.008488017524623187
EGF,-0.01494733974918895,0.023180947954072537
VEGFB,-0.0017737784738023473,0.05578538456719224
FARP2,0.05401421658464788,-0.00821241268903999
IHH,0.026627350448645216,0.0019051448958985015
LAMA2,0.04287235647483354,0.01058859651999451
SERPINC1,-0.014947340938282783,-0.011600752242721587
NRG1,0.06410666690577867,-0.048164322375048675
SPINK1,-0.04081605042346946,-0.03178808363733782
