,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
COL4A4,-0.012182229343162519,-0.06488302898228575,0.09661130301338228,-0.008410300653052507,-0.07122497393143981,0.015378585924304437,0.024138500022707614,0.020555173453298704,-0.021071081531442843,0.027485247046961276,0.08014878538944477,,0.09947658885751899,,,-0.04620115753416902,0.08585256130764754,0.1313912042019965,0.07635107824399832,-0.04832479493347034,-0.004283637585675407,,0.03671725270535204,-0.05634404523419417,
TAC1,0.1826999604911424,0.21936631505707072,0.13909082527818414,0.04619056365387212,0.1274953017629862,0.034984193064088065,0.08327107231848015,0.1590476240275208,0.12727199425561636,0.07044298079896803,-0.029358363928632447,0.23353754565496518,-0.0709015788733531,,,,,,,,-0.004712940010402719,-0.01943058568830352,-0.007775889713386748,0.157048520225183,0.1374995315761461
RARRES2,0.10165881016601028,0.02678995311699924,0.055549936424051566,-0.05030896774077327,-0.06088115337992377,0.03277902476637016,-0.20155160495195754,-0.11661397467880365,-0.0013975563828883984,0.09710308662708585,0.003546062768065237,-0.03432648057896395,0.10854782325625831,-0.006888555272374894,-0.015790847856703656,-0.011732205263483854,0.07580995477210052,-0.07475106112616264,-0.16962259554174544,0.027532283373168237,0.054560590871224224,-0.017075697124344272,0.0394036554564229,-0.08031274229162619,-0.019276010538177107
FGF7,0.022559186626805273,-0.0035866278503401063,,0.006226692580174254,-0.07288132527662709,0.007618487808634017,0.09893233820633794,-0.022566743557937217,0.06468635223098695,0.015502533620709451,0.04331150744693063,0.05972717698926051,0.023266005872056728,0.08963972145222034,-0.03853914571650199,-0.002175198822105994,0.003718173986909081,0.07753924713336421,0.021361452596227255,-0.00936991652712655,0.051703251411399524,-0.037761631689127405,0.07437536908271068,0.1085244533874204,-0.01723522616004678
EFNA2,,,,,,,,,,,,,,,,,,,-0.006157019346189591,,,,,,
HBEGF,-0.07920410014331705,-0.03577197141195045,-0.038456152869578354,0.038616450717766905,-0.016506140306413418,-0.031051940664569885,-0.13473614459802155,-0.06655576549370266,-0.05291924300534617,-0.04092497101040065,0.0041264907943719,-0.11838831558409728,0.08481492568480764,-0.0014153211226288907,-0.036389511702088026,0.07413590455683616,-0.05094520303999645,0.05932915944867347,0.06410762624081368,0.012868363375148436,-0.024309378569381188,0.012445612309957658,-0.06909063011865456,-0.04879866618366228,-0.02013205365978017
CSF3,,0.029067816755936678,,,-0.059346451665715665,-0.04545939975936896,-0.08314381682999028,,-0.06086093193865413,,,,,,,,,-0.10604399747152553,-0.19402171637856783,,-0.06843850170461842,-0.03340417061813167,-0.027170408078264995,-0.04504132319045444,
PI3,,0.041470184327937455,-0.03415375669131125,,-0.06153409577157855,-0.0008408267244481195,-0.06650978282838238,,-0.017802405960638014,,,,,,-0.04773214430052357,,,-0.22190784908645517,-0.3530582173101983,0.11124812531328468,0.022895045304386623,,-0.059032270270889545,-0.009865248983142392,
PCSK1N,0.09239720706014988,0.14686231943918898,0.1284554337127275,0.020741934799833873,0.18751580944397508,0.014137824765349402,0.11830487092144315,0.06395906557839,0.09283719093740962,-0.007814602770149637,0.04752634546956685,0.31660122829787013,-0.0773547953405217,0.01677937948249363,-0.09777111292551263,0.0011064084281025705,-0.05629208964568723,0.004096694713890989,0.11849346799755439,0.014111489488495643,0.14557176169768463,-0.003330577516222145,0.09062189320095342,0.13811715483534187,0.10580318802669712
NTS,,,,,,,-0.01046881397812026,0.08403658668966063,-0.060333352081058944,0.04681293698193531,0.0054031115544604606,-0.008469270971323939,,,,,,-0.04209828823379499,0.055743848396264686,,-0.02246027150692446,,0.12330649724567552,,
