,UKF248,UKF251,UKF259,UKF260,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
TLN1,0.018965825431706374,0.024506103894196763,-0.010430716724082693,0.022001116104626954,-0.0833446153658987,0.011859897325290357,0.06386072833398385,-0.047634989757373285,-0.06365486874503101,0.004680350174632149
COL2A1,-0.034153591811515144,,,-0.012031227952464753,,0.04876883711581331,-0.04275761224751635,0.013158345229660593,-0.04658483028387398,-0.025612840315256503
SHH,,,-0.014511615433205399,0.018839454108518606,,-0.01074794446774269,0.014121956049645302,0.06540486447080202,-0.04734615672846116,0.06641307371877453
PON2,-0.04442381696352645,0.05363841338429603,0.0011623372346483965,0.007765538455700913,-0.021923185796720996,0.017165567230512383,0.0032542961880285123,0.05411169627351408,-0.03590021128807129,-0.009484724197546665
ICAM5,-0.02951136438669929,-0.0026356525981758513,-0.022617382631677518,-0.008389020869174924,0.010150821985911728,-0.020990154974071615,0.015277737956147213,-0.001158020082646178,-0.04243821712984624,0.02277007078486973
HPX,-0.007573358864677517,,0.03859791704758516,0.02541298131569407,,-0.0030303121315508226,0.02057817816100442,-0.0331811002841053,0.015567300670755013,0.0018038199542859258
SFRP2,-0.02474512521013665,,-0.016527157356683572,,-0.05604529969646096,-0.02108471650142223,0.02288857646413843,0.0040940127840739795,-0.020686730622138577,-0.026442585436134727
CFC1,,,,,0.009864799389051802,,,,,
CD70,0.014758224852216392,,0.023699846635328533,,,,0.05069883839312079,-0.024791482895246676,-0.014096344311970228,-0.026850821196945717
HP,0.077897712716681,,-0.0026636421500953055,0.022053715769944447,-0.04189565186024138,0.027835475198154377,-0.01695647544785493,-0.01525030072929808,-0.020828962949526554,0.10576598121061612
CXCL2,-0.007388802100429469,0.04229421704697814,-0.025128477858398463,-0.03129748391088129,-0.009140790590908186,-0.02127276531090762,0.020621497513544106,0.03660466791011492,-0.06665267886959214,-0.03546702655918313
NPPB,0.031653200395451865,,-0.0021751441879363734,,,0.08176456999672388,0.12636915285957473,0.0312748824396838,-0.033050329504058854,0.005555703216771624
CCK,-0.08891410625145685,0.03773827871868284,0.04828085250134141,-0.015594188488896365,0.07376064374187942,0.03654211426431925,0.010759500413498725,0.04026533364503959,0.08774031863773135,-0.023159472145900542
