,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
CCL17,,,,,,-0.008847561914578965,,,,0.036237607505836,-0.01724643778399385,,-0.038796462341472895,,,,,0.0013065795587581543,,0.05591963156651191,,
VEGFD,,0.008425688732218016,0.02340844356148435,0.028713614864685377,,-0.03261000754099917,-0.01760789785096372,,-0.08965348359022872,0.07480470094398188,0.0540601299022759,0.01709335182811212,-0.04157937034724972,,0.0724967088468488,-0.005497481893411044,,-0.03341658522364474,,,,
TNFSF13,,,0.0637833620603891,,,-0.02018978798529446,,0.009957145037122543,,,,,,,,,,-0.03397673271187412,,0.010206354522473728,-0.01173775534542948,
WNT5A,0.07379902371383934,-0.06484903528216937,-0.004088328376448605,-0.003193343595110565,0.007887632203279546,-0.012669724887874627,-0.13454179010933903,-0.15244208352359845,-0.2959877785819184,-0.03343278464596999,-0.05212772419982025,-0.02428137943167179,-0.04952583553125438,-0.011267480741825613,-0.008094811489886364,-0.06537833758441873,0.11394225483296054,-0.02351637603482309,-0.06278098954342466,0.006246084119496131,-0.04525153665392704,-0.038485609910948126
CXCL8,,-0.15766283974318562,-0.13961387253405044,-0.049836561188627594,-0.029595636953715164,-0.05994805687960295,-0.08783609501542138,-0.04517608078965263,-0.10227698657328974,-0.07628706296166644,-0.0033527226581549696,0.018006991295741216,-0.08891964922083868,,-0.1703261595473942,0.0885993925458627,0.02338299403247216,-0.03296908512401112,-0.02267577123659939,-0.03949637712597034,-0.05561253351406976,0.012370068186454506
GRN,-0.16144888790382572,-0.06497397575229745,0.0019463541107630053,-0.028841299996418674,0.0685700224854732,0.052412227108211654,-0.07568154428910889,-0.1711144535898607,-0.37642314395991666,-0.015213965819390015,-0.055398662831680025,-0.053969029291535214,0.07094915133039821,-0.04982671114094517,-0.17354902026969238,-0.02750772445233695,0.07178591349101317,0.028316254093786786,0.03873030289353972,0.030952294434845883,0.043128199359324944,-0.08222362977852654
MIA,0.0830437097286372,0.03379083558545743,0.01902360331489924,0.0026123045715088357,0.0178887528914745,0.005079430625173477,-0.04608070908712925,-0.05471700741561592,-0.13923315465433098,-0.03599164903153893,-0.033857349640569016,,0.012917329183860822,0.08191195556112742,-0.0387601290610752,0.042777591102237326,0.13859956478859575,-0.050462498005526456,,-0.0022687351442472604,-0.065047746282075,
COL4A4,-0.021398761990312057,-0.050896182322705895,-0.015050457212520407,-0.011463644632179656,-0.035335949338520384,0.06715592343194692,-0.07589856329030487,-0.04519175268998876,-0.02882847337569688,0.010711190375650043,0.01903352456824103,,-0.042218795235422574,,,-0.07041008719724755,0.04516884675370978,-0.0488062676092355,,-0.015025920166328267,-0.012530984266949876,
TAC1,0.0659064263396673,0.29960393546257597,0.024097775268534627,0.0802904564740084,0.10154257662653003,0.0955480406339774,0.2921934480628708,0.13800092610921258,0.4436958588543894,0.07424999505915751,0.06604668833934532,0.17096224837023039,0.3641724319922851,,,,,,0.11088098772779571,0.08713736119661447,0.19073896058121773,0.2373920012597382
RARRES2,0.16982252933117215,0.07490105275386945,0.016399510634578635,-0.040489165136260316,-0.034043201685817044,0.002088711511070272,-0.18882638087764306,-0.17319479522116127,-0.4121565067906934,0.08890272493441058,-0.03509054360142469,-0.030139551977914156,-0.16252908998473695,0.09081300293783048,-0.14531081155355433,-0.03250851584949132,0.024839346911598798,0.0159889800126309,-0.0316037173147482,0.04282844404658571,-0.1859414515643854,0.006483727644820156
FGF7,-0.041592931788884666,-0.064262483148681,,0.027113871152431253,-0.04202064580634589,-0.0005767960195724462,0.15499115970572322,-0.0008023688974344621,-0.1094111795397728,0.02473966031306574,-0.05869519366323324,-0.03146757672081076,-0.01766562751241478,0.04082621380485907,-0.04172503453484663,0.051521106519627,-0.039857066592276905,-0.02373005223620211,-0.030797855815945276,0.10959305457182306,0.017271976049153658,-0.01950330799661741
HBEGF,0.006321941212369636,-0.03236893389403556,0.006997384843115724,0.04470354011878355,-0.06779426648664286,-0.06058113007572369,-0.10883530865971144,-0.20107048884714673,-0.1738717160120711,-0.1251905464119888,0.03797983294767629,-0.007008474306672639,-0.07109196214715796,0.08200216447166832,0.03438900078060937,0.04185852721092187,0.15531267381261654,-0.006123456502128361,-0.04542567328520256,0.12089669660341783,-0.1140038907827614,0.03762516991192489
CSF3,,-0.07143186673241309,,,-0.024733821326802855,-0.03488728279208137,-0.02996703437639225,,-0.007215269643323989,,,,,,,,,,-0.018052968147325103,-0.023188261088964834,-0.11110321104204564,
PI3,,-0.08462169813475089,-0.10078475692575005,,-0.058597881945559725,-0.03871337892634476,-0.03916821131333737,,-0.06282434632020303,,,,,,0.06656245326456948,,,0.0699121305133315,,-0.04170494147093083,-0.08957755319510863,
PCSK1N,0.11236436091449598,0.2469722958889421,0.1327930038378258,-0.06423932151976952,0.08436333646120299,0.025401683927040817,0.005758936101392545,0.13599336107661794,0.24115219358471504,0.0003256014305137594,0.16327502376859615,0.1521521768981018,0.32949668831063744,-0.0183629380717738,0.002071691184846984,-0.028232396999661947,0.11193461114455856,-0.040768313657593626,0.2445557830055888,0.008322830600764509,0.22690742052942156,0.16638811306864879
NTS,,,,,,,-0.06653421451599824,0.13165126445757325,-0.061206269384807964,-0.04283489106917328,-0.04201360970104167,0.029556518587012748,,,,,,,,-0.03433865269324345,,
SFRP1,-0.002067777442171928,0.14459422298980526,0.03216688175575078,0.018880307816679192,,0.03367579858677776,0.1374374396112643,-0.08639465647252415,0.0005786010033480989,-0.023360302204166402,-0.0032705505874329765,-0.04920190680763227,-0.005028598551027847,0.04922769502897558,-0.027605212500808378,0.011006622974224306,0.015742698536906102,0.0578811777839941,-0.05835250223945732,0.014776118599265378,-0.005983615629808912,0.04889677754524422
CXCL13,,,,0.003667766409552989,-0.017959680858061076,,0.09103862744278785,,,,,,,,,,,,,,-0.062136500229358606,
MICA,0.01734180221217168,-0.05157979305593929,-0.04036975775585293,-0.0011435325631086702,-0.04696527154622347,0.010431820331356081,-0.005472838480904766,0.037149151182111276,-0.14684694057968,-0.016256248386745737,-0.020705752348384256,-0.01883226629727196,-0.10526271966563217,0.06534779631907685,0.010108719370778936,0.010641293994216452,0.09212571588521022,0.002804471259156126,0.055664981384342206,0.07464831243827463,-0.08043139666164455,-0.04554261887531355
TG,-0.03346039741233995,0.061833576933423916,0.1198979360755622,-0.02304841324536566,,-0.0275608459768165,0.005130611813513033,0.04699429765209215,0.02298964890452383,-0.004899433193681282,-0.04157265121133933,,-0.02862512096439619,0.004207609096987593,0.06470260674803392,0.0358679878722307,0.0713956537382913,,,0.010533890944642117,-0.02324179923794356,
ADA,0.025706383896781374,0.06154939249972951,0.025950506780193987,0.013253233055723772,0.015356295559508518,0.0038494947429975773,-0.04405839708575121,-0.015964207223078314,-0.28096317220279104,-0.000847732361451494,0.002440827212974871,-0.10431433897825076,-0.10448737601016198,0.04857382535629545,0.07771901097463559,0.09441582543928606,0.04901079747728155,-0.003116579292547258,-0.0378292134282971,0.026024866210689654,-0.02241171776424454,0.03302640951784938
LAMC3,0.09859200133015471,0.04333674311549261,0.07182050978509526,0.010456587776168055,0.04892427632294211,-0.01597545274708048,0.03327991513647124,-0.07834844924884844,-0.1656615351057125,-0.02432676183809966,-0.06280291633395378,0.03318963375254266,-0.028158726587276257,-0.021590518701681542,0.1135305153438289,0.04196888003247443,0.18048155594928258,-0.08679587748193036,-0.10442285466562726,-0.04269513459831035,0.08552467401839312,-0.07946420315231421
CCL7,,,-0.07812746074628013,,,-0.019926447606467015,-0.040821788025162,,,,,,,,,,,,,0.009495049477261626,-0.12120160575566014,
NGF,,-0.04115392898239365,-0.022491589732538772,,,-0.0389043128571841,0.018960650445970752,-0.028335471190955315,,,,0.12504933454265912,,,,0.07246083933533917,0.003268963071355154,,,0.08324356136426384,-0.017322474758742944,
TNFSF15,,0.008190265994130183,,,,-0.022189073999869118,0.0699553339521796,-0.04756967645136211,,,,,,0.013399516773256464,,0.062068600244179595,0.06785317058977547,,,0.08007862047000047,-0.014842065342815835,
HMGB1,0.019228845968622742,0.08362668419299318,0.19850917859746267,0.041333797487388926,0.1322563905187706,0.05173067814709386,0.03839272885859046,-0.09819273474557012,-0.3270307133895643,0.07522694323538671,-0.013386769908011157,-0.06688643762810416,-0.05133419795047832,-0.015741217726355252,0.10643669059505151,-0.03435057397333892,-0.10274605160086085,0.0006285664161060009,0.09693448178748316,-0.05818669574728087,0.05937695727483685,-0.1216668017358298
ITGB3BP,0.028259130091166484,-0.14792072059677727,0.004406830239320567,-0.05833953841258884,0.018926641978907376,-0.020450817532832306,-0.00676109257997314,-0.16296534090548373,-0.3065736487996618,-0.0355622782043133,-0.05286310009512373,0.008142202246961005,-0.15073171970658558,0.13024032330542196,-0.0727105589067725,0.015085800648421726,0.09299011953499588,-0.032496533427084036,-0.017484290091412252,0.047814396389637734,-0.02862144992265203,0.05415800765791701
AANAT,,0.018253565171242034,0.0306213269084938,,,-0.0201897901401121,0.003220394322472063,,0.03330856345566458,0.02089329800800586,0.04862541132703413,0.009332283775646441,-0.010179036700195392,,0.05615760902901809,,0.045592583294398484,-0.012803907173466184,,0.08864545869562836,-0.0584635833199615,
RELN,0.08992688297378179,0.15630605422735416,0.10760853247545557,-0.050925704711166725,-0.027854061958308123,-0.03504495427984096,0.030586483840556043,0.18122221507130487,0.23824898669861688,0.0288799150396483,0.10540545195955782,0.09538249986173855,0.25665351893995925,,,0.028824245722102855,,0.059955136633920256,0.11136591797650539,,0.12255968853470411,0.0289575013861237
IL15,0.06653004378091282,-0.028900675839889804,0.03038921130898615,-0.01943402783305984,,0.00847096611851057,-0.013344048375030419,0.06594527288795718,-0.1167099940414617,-0.05028664496082248,0.030877690297591135,0.013403381500058527,-0.011070653080350162,0.04330307459898592,-0.08773041539317003,0.029617801124093297,0.06486809040853352,-0.026798093163299196,0.07141328377994474,0.058132684758266974,-0.06116953177878868,
UTS2,,,,,,,,,-0.1508131671249016,,,,,0.05138720017267623,0.008195097010735798,,,,,,,
BSG,0.14217590395093213,-0.11320961832099655,0.15716245971500317,-0.02996202330530017,-0.012311862155523608,-0.046861706008654136,-0.07133110629507991,-0.13368030757810334,0.23066317729094382,-0.0677492059371297,-0.05544551905334786,0.13536866903012895,-0.2018285331886459,0.18536915197210363,-0.06045656774999461,0.060227574090591186,0.10586507289852508,-0.01351070460842816,-0.05517911238095153,0.07489618771354206,0.0119228052532923,0.16935731944746238
ADAMTS3,0.07745717341215817,-0.09863917223617157,0.042111474555935974,0.040315776399009066,,-0.033596829746460125,-0.042791950799518225,0.08157947160258362,-0.3459490982409601,0.009473593052326552,-0.01267055189798142,-0.024828422029599888,0.03928494705557819,0.10065807828024452,0.1420385763383617,,-0.013761824399607835,0.003095154301506946,-0.005507051613225392,0.057485708302893096,0.01897458519936268,
CD34,0.10047588521095951,0.14777072578848818,0.05632282863625925,-0.04819624892124607,0.07711319980103364,0.007044181358358852,0.10244833994667396,0.0013010816485009278,-0.1664726704728036,0.041724362044928576,0.07774970505458047,-0.005055465759627436,0.03584663821867245,0.019342408055068507,0.14367541724769833,-0.034033124026061484,0.1289238141823222,-0.03890921944488319,0.13647534542909,0.04219088928302708,0.007584904505274483,0.004788092521163938
CCL23,,,,,,,,,-0.050811139437371804,,,,,0.17069411547474894,,,,,,,,
PLAT,0.11070610433936282,-0.02231429665622143,0.1786267251139097,-0.007122770370269916,0.034886109693150355,-0.0056283013496119735,0.05435961506003591,-0.19750507542092044,-0.3106217898546726,-0.08785135241856647,0.004497025018119966,-0.017883117523277092,-0.13906214734623862,0.01557796356537146,0.09450941169867547,0.05899030965751877,0.15649928043752337,-0.05015528928798672,-0.09237698979715388,0.05039462653895755,0.060477605653257195,-0.06871882148514998
NTF3,,,,,,,,,,,0.019960563705202845,,,,,,,,,,,
LTA,,,,0.033258198092382014,,-0.02553920148601333,,,,-0.03133875360794153,,,-0.04826631754721833,,,,,,,0.03977593617008453,,
CKLF,-0.03757043842456451,-9.521213539520124e-05,0.09762440822893247,-0.01652448834993462,0.01807976810873222,0.07053521670932707,-0.07517725481726516,-0.15721575746395636,-0.3865547163068012,-0.0399702937937801,-0.04713409812915449,-0.0618981184734675,-0.22060119655071045,0.056098903078793276,0.09325397831768599,0.010066843704498682,0.15221191887146276,0.04545850439068475,-0.04059654600608937,-0.017904263956642217,-0.04503643412960943,0.08376161520516129
CD24,-0.0021381479497135404,-0.05312227956839334,0.010205469083886644,0.021921390503311856,0.09928699632425533,-0.0380753341721188,-0.026568210542441587,-0.08728049284510507,-0.015836985892030753,0.04635373465236606,-0.22941253563355996,0.042940281755069004,0.0038600630811594437,0.09650067409221812,0.1726084897466384,-0.1528877117377186,0.13967680043229636,-0.03700527663090116,0.06945362852123957,0.05857810359517288,-0.04020280805450258,-0.0064401883812292655
HSP90AA1,-0.0821306173465815,0.12291397235975847,-0.0449069164264866,0.04412489139745565,-0.04818343970855505,-0.0001438548568440583,0.20319864006253358,0.1792483452876278,0.38622198804316005,-0.09021089392864086,-0.003944861266962146,0.15253311109157403,0.3340324618311368,-0.08437773405294548,-0.10323002765915629,-0.09300486005699594,-0.15541674709852754,-0.03969524831764423,0.21903901130484055,-0.05425320655333738,0.08636250586717635,0.07293790972143578
BMP4,0.07557197633311608,0.11497334808190278,-0.006212843671386423,-0.005398075920427462,-0.03080043400408637,-0.011593613737394932,-0.0600574169581875,-0.14425795494564567,0.07692432258326434,0.005247798900106086,-0.02597078540542331,0.016698220053343624,0.02483084509861609,0.040673735534101224,0.06228729619421706,-0.038121151238925934,0.08659915244814938,0.011291230554173465,,0.05037867348654866,0.012840634019072792,
SCGB3A1,,,0.008993596409699383,,-0.026438009060919088,,-0.043964241434001766,-0.01596467740464026,,,-0.03326530589805972,-0.00955598039832181,0.07466926396604283,0.024527137874972106,-0.07966915108196715,-0.020284311640743364,,,,0.04791663121152325,-0.025373574255074947,
IGFBP4,0.01734237264638969,0.006923849746289445,0.0326466163766364,-0.004097365051113055,-0.01795032405297197,-0.08966130392687208,0.003981035390334754,-0.17712724447016073,-0.1846724170692538,-0.043521567099380806,0.009490890293297947,-0.012625158830399956,-0.05952431923906916,-0.020837767010454457,0.18994970018403137,0.05053868000800987,0.10473610570793347,-0.06717475672097382,0.003805421567584524,-0.0076744081890194275,0.054572091029464156,0.10576083829103913
RSPO4,,0.034024448661338705,,-0.0314162862594645,,-0.03909222235271628,-0.042749272625864546,,,-0.028352110155781297,-0.004804099545569177,,-0.02134295006900478,,,0.03167791710250636,,,,-0.01557651448377673,-0.009157566521468092,
LEFTY2,-0.03235397781986304,0.04955503584077936,0.0703823826185024,0.006852830572057435,0.060594869729932624,0.029036731342726826,-0.03954607840178054,-0.12119553539030946,-0.24700694233108805,-0.02188580293997655,-0.017020501643200476,-0.012773395014954003,-0.013000889470191306,-0.014855401564695454,0.16095675663337247,,0.08908905670990248,-0.006203043252987115,0.02245016936943421,0.06405864121152197,0.056932198007437616,
PF4,,,0.02588819724750196,-0.014094350585356583,,-0.017385432962216302,,,,,,,,,,,,,,-0.03460098078189473,0.010676418708128797,
ANGPTL2,0.0025271216489794225,-0.03823050593191612,0.02061450199916259,0.008476292928303967,0.060020010614492844,-0.02632894839234837,-0.04233507623680874,-0.30015735166988156,-0.23280910074953112,0.013593782909190128,-0.07800869986718889,-0.0777270136252937,-0.23877317112526675,0.10309140543553454,0.09720463725082452,0.1452088142643959,0.11966077046845018,-0.04847954637946825,-0.038731717516026685,0.038330349375746614,0.16392402030769776,-0.028869294755961186
LRIG2,0.05763239133325958,-0.056922374999249084,-0.014185348330497338,0.0017007074887308465,0.013192746477668802,0.0548136353774084,-0.013818325703480709,-0.08565077304520867,-0.13694856527795982,0.005042352481233122,-0.05837084189837085,0.03372061932113026,-0.016721009755534755,0.016668090634259357,-0.00397494720332994,0.05885418473446111,0.18164575666955587,-0.049454460727229324,0.021739541400838006,0.09340916878447296,0.011200592493642539,0.042679688207453374
ICOSLG,-0.04733683141189959,-0.07665869748110843,0.024505625879675193,-0.009925894656568224,0.04197008916304798,0.02563888994862525,0.02527336754132501,-0.09651422826007874,-0.1721554047373686,-0.03584343440978262,0.009621573641764459,-0.03675675852641797,-0.1419003716906971,-0.018635856493499775,-0.1033482553401874,0.07475499140841282,0.04206917276873811,0.03286489722641501,-0.11127105175035308,-0.011017684063483165,-0.003152130180989608,0.016567312371216895
WIF1,,0.36702485858035305,0.03327549038181461,,-0.04287224985138215,,0.08246627782304781,0.360683310128705,0.5777237483875387,-0.00883304423184291,0.03159312331396863,0.1500484837971841,0.41301229446632304,,,,,,0.0472216505749828,,-0.04851623310180733,0.2670908758530609
NPPC,0.09471084198892019,0.009182969145720964,0.0672602376531813,,-0.03316867080882324,-0.0056039094774661775,0.0666955480164429,0.11416982998569246,-0.02467126686674526,0.026444330826613942,0.014363964496666867,-0.013271609491275472,-0.158982845837995,0.05169766278083369,0.024207932815759666,0.007793459284056885,-0.05712808380981783,0.04959092555993047,0.10567658327303077,,-0.041221379945581005,0.10862278040690268
LYZ,-0.07892213306987228,-0.030483087046837054,-0.05848675729497862,0.0390693967370948,-0.08917466335797718,-0.04145103976736749,-0.07970033514207481,-0.03735124306684651,-0.19029526877627187,0.044539425354310526,-0.00989799347168779,-0.12696942516872348,-0.07019077570307904,0.12559626654632552,-0.03750310790351069,0.08716834892713737,0.12433157919967203,0.04831397587947997,0.07737632741974088,0.01128970971063488,0.02351196260883739,-0.0008468934491157789
EREG,,,,,0.07573273913699143,,-0.04552315836156922,,,,,-0.04903798103878345,,,,,,,,0.08173181131150564,-0.007237995914541448,
SPTAN1,0.15973437813979227,0.1622568723754179,0.20610107330788163,-0.005955527146007112,0.09477634958253318,0.029639083959318756,0.10930961984307573,0.1822583726583883,0.18737543540283905,0.125819397951428,-0.019969284973352708,0.1257878568007834,0.20672179089050358,0.06820444425758107,0.0947823865612438,0.07385731844363815,0.08796737087203893,0.03141911763965452,0.09282899336111562,-0.034209081643685364,0.17872349928267411,0.22860481762393076
LIPC,0.03825811045142031,-0.04697445618400677,-0.00998431367227388,0.03905266170862503,,0.009015212452255611,0.08403421524478745,0.052896673706440245,-0.11731212081191178,-0.05048950662938819,,0.001187379305240527,-0.022193283177084574,-0.04340374450570284,-0.06232221121181359,-0.0022939791814169832,0.09670275953781997,-0.01040177257370017,,0.005696312376926235,-0.022510699282294815,
COL8A1,-0.034845616045232626,-0.21217771430292992,-0.044306567763796566,0.04632544169071599,-0.03088062732905937,0.0034753028615298687,-0.11193610285089406,-0.14656488297447584,-0.09952103644161335,-0.0278320744688978,-0.04396628069982635,-0.037968618756660855,-0.17585983498972674,0.05719750341574032,0.2243338571414609,-0.07239694436893711,0.15437440846047815,0.00866876933527876,0.052810324935045797,0.08959151566745786,-0.06209212247808503,
GSTM2,0.08592314551224368,0.02092173514033134,0.040410769501190894,-0.0368976238807494,-0.027236897950314667,-0.004109286651811756,-0.01930410172688521,-0.03458766124664445,-0.04277698511923469,-0.0002612295322283018,-0.0016374874572424448,0.015004890585081683,-0.037723016444111565,0.014289003016288992,0.10965970826791288,0.11917323771120641,0.05083471903619014,0.07720520421011712,-0.011836960196639901,0.04003454192746359,-0.032061231434495074,
IL4,,,,,,,,,,,,,,,-0.007449254512929393,,,,,,,
SPX,-0.08672713284937403,0.140239900589769,0.0147410258783148,0.033208473356868,,-0.012546631962935808,0.2626817862846749,0.019906366730478783,0.15811993611435937,0.11607025540173037,-0.007256791107741264,-0.010652365343094964,0.3528828671389556,-0.04058378405760527,,,-0.038282501796006806,-0.04716459475731254,-0.12136656271946379,-0.06484726002689659,0.0047627310643986905,-0.017757571839757614
MFGE8,0.06913286536191081,-0.17734158819380283,-0.08986171041528122,-0.05194331019911622,-0.007125763102780664,0.01687542744212556,0.11388775810097689,-0.074589896508586,-0.10796840674223523,-0.0709652650850175,-0.05671728746882865,0.04646249457573495,-0.1228114550397227,-0.0115221058355592,0.13617230494938348,0.05561578486664862,0.11412570404585266,-0.0752980949558715,-0.026889043237569275,0.0025946556638909873,0.03571235832198718,0.03850037056835723
TGFA,-0.10668936998185555,-0.24215703080053994,0.0953823214339034,0.018442397533693738,0.028558290144924066,-0.026583029168657582,-0.09205171771508501,-0.07291570473637919,-0.2102453705395011,-0.09152942791491749,-0.033048164502507395,0.03618421751016313,-0.1484496871141482,0.11504587561354136,-0.07055303212457434,-0.07128109725060515,0.010335017947031162,0.03734412922916982,-0.006758085676048166,0.07239898293537697,-0.02002257689351432,-0.11304459263643223
SLIT2,-0.0028446250296312696,0.3561070463231676,-0.021325676641022563,0.002429842365625445,0.16869716390881898,-0.05917100105281281,0.07039352820029716,-1.962493630069772e-05,0.20316553635572973,0.036920125122333405,-0.03946825116597373,0.138497599856092,0.30272989663893146,0.11937074003952391,0.015976060033512835,0.043054721234193655,0.20678284712295664,-0.024508868239492977,0.07633724522160346,0.0653037522743752,0.027014457066385618,0.20877776686732163
PLTP,0.10881793110630442,-0.07681445343557718,0.03852512489874719,0.02226912216824413,0.08978215761696022,-0.033729879630595073,-0.10131510865566311,-0.09264037133637291,-0.3731593599769166,0.10031410772865192,-0.21243628517205154,-0.10869920471626314,0.013793558550869481,0.04974806122721787,-0.04785350325858417,-0.10296195207582926,0.1372113131972682,0.009477377760873894,-0.04235000154052471,-0.0980411064513023,-0.07166326432682585,-0.008695529893616102
APOD,-0.16555135449413405,0.23341742459228432,0.12848112597185718,0.01990886040019159,0.12434187852523192,0.09416649731223058,-0.05626584127094757,-0.08463382305640586,-0.39790480820253865,0.011775185555676417,-0.019985423936393673,-0.11454292643564414,0.15615313143198392,-0.13318630216752675,0.06488368691115359,-0.03321863450431227,-0.14146063919135093,0.03137945285412932,-0.030070981045507567,-0.17107973587988062,0.08061542549199448,-0.17630998399029785
B2M,0.01859460886199327,0.07802075006250772,-0.05580887945534973,0.03618820602405161,0.03748841812392373,0.036347475967945214,-0.08176230234559394,-0.3056378913277735,-0.48400284010113714,0.033248382801171206,-0.19877723415424176,-0.17589094715466877,-0.3328577591591832,0.06045216373549624,0.1286679848848021,0.1721589289094852,0.12852227961639678,-0.05610242801092769,0.03449009582602835,-0.017996852763015374,0.13330505778923651,-0.19595323063407663
OMG,0.005015466625062287,0.22833309242893457,0.17259279468623834,0.028862980966217765,0.06475365929638549,0.09303809794488845,0.05722718806108884,0.056553644975026705,-0.12033755816870027,0.08364199414497735,0.055878563541001576,-0.058882366316989274,0.25047744210986417,-0.018082408137658348,0.00824315123766992,-0.0036072660854119215,-0.11238252116632085,0.10232944847749739,0.11421330186323547,-0.040830679786832545,0.18405465818806854,-0.15025141211712306
