,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
PDAP1,0.051706968727695715,0.05564183355197651,0.004882930285200303,0.04057225456646564,0.05644639345373292,-0.037837202150028115,-0.0045750296241837,0.02399543045210734,0.10515145079709157,0.0247290397631678,0.006086087153748162,0.004317721774464859,0.0629282487005213,-0.0009890208094961719,0.07471172881213844,0.03980468311973815,-0.03621912918488063,-0.09997148241191947,0.03225485964466958,0.06839344167409525,0.03302638543191194,0.08300077979568869,0.062339027838050266,0.015643427095255964,0.09649077843199967
QDPR,-0.04154502873925943,0.004242060649101387,-0.04420574544307361,-0.03430457920825625,0.08311570929574735,0.01816601146479043,0.04608748253931827,0.015234573503894892,-0.13404980454258827,0.020006950769828127,0.0025918949311635733,0.034612856978683604,-0.043568100860613676,0.07915445943715146,0.09158662891599845,0.04645443178945707,-0.14842045688863595,0.07731692749927455,0.05431924261977744,0.023025921467156766,0.0047878395078382215,-0.02655476561152686,0.046160541068637886,-0.03023524615533478,-0.07536757465791083
POMC,0.025822932022994665,-0.016669356359133664,0.03859447950870508,0.05554835608615762,,-0.031896326087198064,0.030008575459927047,0.014434236867891692,0.012067624417902887,-0.028799113542335678,0.02330135893804624,0.0036923520066454506,0.020055705961827378,-0.05349067748127628,-0.06720434657523998,-0.10183704275735918,-0.0031726011998115806,0.11033385205043786,0.10299831969021897,0.003715275145585586,-0.010178508279264612,,0.05587365008124059,0.06869364496497522,0.041012348122471544
CCL18,,-0.032159092740771104,-0.03833150712876795,,,,,,,,,0.028854301903851617,,,-0.029059092888643934,,-0.04594869746388185,-0.01933241222034473,0.016867100312332826,,-0.07905885129337174,,,,
CCL17,,,,,,0.008153197641081715,,,,0.020476053495040548,-0.01442474229639342,,-0.02060028880940003,,,,,-0.03928421788493566,-0.004306076107504797,-0.008471255822177115,,,0.003502927822686818,,
VEGFD,,-0.042817405084892894,-0.004200213606328445,-0.009408093865024777,,-0.01320372758732183,0.03127664361886799,,0.11582651185505598,0.035963963513302596,-0.02141273047637315,-0.060757970274142675,0.039531135881595895,,0.1321025158415825,-0.028372474413023707,,,0.0532703789866444,-0.02172445605377916,,,,,
TNFSF13,,,-0.0016992449106269082,,,0.020241269272260744,,-0.022964533536566443,,,,,,,,,,-0.0019525902447492373,0.014664647951276175,-0.030352833585799988,0.09376317479911701,,0.02912249360711162,0.020277156732260524,
WNT5A,0.004710894800509347,-0.09244668287920704,-0.023836612564168837,0.004846388967199459,0.0273471094845817,0.07706793778247084,0.07329446821777001,0.04901150968328014,0.12140640213806551,-0.0015939973689748942,0.02449450428117342,0.011395447089804741,0.037912270497485356,0.07501238804398526,-0.12570443465905098,0.004709618731791522,0.08342785513174586,-0.011044094928890542,-0.025177641828847137,0.043200340409865715,0.048212040376899724,-0.056113180776775524,0.06918734820268473,0.023127400018805453,0.019239870405015975
CXCL8,,-0.05344085259964787,-0.06503092911441011,-0.007903889677577205,-0.11319922186492486,0.02667851687141349,-0.046539371345434774,-0.0012679432802424674,0.0021380369213818357,0.03882718026659677,-0.02936442220414977,-0.009808620741153778,-0.006734884074665138,,-0.017645617990735683,0.10076187234226049,-0.01229327300499492,-0.11165933814969062,-0.15269803185737968,-0.050424914734098485,0.022441105029159546,-0.06034913389494942,0.021209061039335706,0.021009969979220288,-0.08092841713655596
GRN,-0.05955191224694677,-0.0426493415481286,0.018771249190247263,0.022418295574089933,0.04564135449965363,0.006535064573625896,-0.02714951071067786,0.015814356441888937,0.1166707279693202,0.03675909095207644,-0.009544122607870445,0.025871057318782805,0.006844106416532652,0.05638606908818007,-0.08487136819141393,-0.06718330646773357,0.02518979718556824,-0.032460949873235945,0.03034675254232204,0.04325932525416086,0.0012702707567891288,0.1512789125740638,-0.001955777612987109,0.010041419696985748,0.03287097420434404
