,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CD34,0.02763123411622219,0.019839153039147905,0.03889587918442392,-0.027520520766048624,-0.014856395207952185,-0.0003513199872839966,0.050646711099218686,0.04220080470784957,0.02434336979275915,0.002880165443003258,-0.014820749103158903,0.016197304362454878,0.07765839324319553,-0.09212915858285232,0.019220955809185192,0.08083218245551652,0.09054568275486218,0.036913821970597074,0.07651982098986296,0.015422627152893444,0.1725282428496492,0.0972737589329875
CCL23,,,,,,,,,0.1593783232279557,,,,-0.026018163333557477,,,,,,,,,
PLAT,0.01684279362482503,0.1683246967285533,0.08671311880143037,0.005390926611371612,0.061897336473206555,-0.025588082296478864,-0.046748535310302146,0.006767465734928312,0.07685909137235583,0.05459012436211499,0.11545670897380786,0.005270694988336432,0.006032852328099056,-0.07573383872696413,-0.031142120777913406,-0.08828181440390105,0.09030126382751458,0.06154078118698791,0.0798260567990395,0.04537055439876523,0.10488920420416406,0.14481180555230377
NTF3,,,,,,,,,,,-0.01636575822229154,,,,,,0.06260304523089547,0.06604834531196352,,-0.05143234187292046,,
LTA,,,,-0.014296304085276053,,0.03487336502386951,,,,0.04151952961846951,,-0.021232596785086533,,,,,,,,,0.058999474003197744,
CKLF,-0.017423260908692225,-0.023811319398212554,-0.05775571822978072,0.010032099613742202,0.08227996225925105,0.031279350332097514,-0.0249954188764381,0.07662304519117384,0.08909831090792675,0.060815099653552446,-0.048971402309265596,0.008482133498882827,-0.025344165323253134,0.03484434244051079,-0.04765371434748092,0.04819648122406396,0.06903218062880695,0.08318257827218715,-0.009907886428057676,0.08463847389781415,0.04417208624567513,0.02195616654144532
CD24,-0.01527404089730992,-0.05267537422770386,-0.004386943064303251,0.041397733037497775,-0.04678423443757152,0.03475225796380595,0.009107741370871723,0.04598696699091988,0.011540758535314406,-0.02149396501873039,-0.008186201548093653,0.0647238710051943,0.0003746449554731671,0.014625836984453898,-0.013768036457870425,0.12351419316586418,0.08721234354681798,0.007846500644553292,0.0064865703552949155,0.003202349525267246,0.012888989428931547,-0.021793243711263684
HSP90AA1,-0.024969207341729683,0.060019353875643174,-0.013408396711286233,-0.0008396564577614086,-0.04013819041568309,-0.032715535362334784,0.021831263246510527,-0.08483431069646613,-0.05331868680665194,0.028528244349099015,-0.010164336197377374,-0.0483881840260834,0.09074366576543956,0.062300554989928515,-0.11704368671449401,-0.11936997999502492,-0.101506912027002,-0.11190235510337726,-0.04912925001447958,-0.021424256556766812,-0.14944753248936346,-0.05378963399801261
BMP4,0.01522041151140811,0.013472587224463185,-0.04253049232271108,0.006460726428449924,-1.8843525534263265e-05,0.006961348184309016,0.1074920839470488,0.06125755542951583,-0.013663750111192705,-0.04873033410275507,0.018505280894360796,-0.027204969129084766,0.2296624077745115,-0.04579532298092925,0.009891917275345143,0.016853594279468895,0.07173691322468793,0.03431386725106054,0.0696888665611962,0.022208057336087803,0.12024208033928153,0.001293977135128954
SCGB3A1,,,-0.02406639479146896,,-0.019824764695364337,,-0.014152140255552493,0.0838964739620427,,,0.01661952053504031,0.03845965934523871,0.06309575817117002,0.06026146149184682,0.10174158670004137,,0.0005917038083004714,0.07288521748541622,,0.004901643028992895,0.04277130276984997,0.05401332624366435
