,MGH258,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
CCL18,,-0.005418048398813262,0.03856113386518412,,,,,,,0.1434480507639344,,,0.03511984123544905,,-0.026580694235545155,,,
CCL17,,,,,,,,0.03306626771609478,-0.03290577860630339,,-0.03993809997095858,,,0.029197558266282463,,,,
VEGFD,,0.04749354035522368,0.02562659588323981,-0.021225890003341834,-0.004713215996869948,,-0.14508557994072505,0.07810323346738049,0.019831299329415675,-0.06083695417507191,-0.02619249388399513,,,-0.05619186767871057,,,,
TNFSF13,,,-0.017344507324668794,,,-0.038371647034529846,,,,,,,,-0.08652635248892696,-0.020469128386495245,,-0.003586333516478109,
WNT5A,-0.10926519100834761,-0.04788658745497168,-0.02937771208994356,-0.09970861219919969,-0.042662974639192226,0.02461079700557147,-0.28309435061175314,-0.005432551656702984,-0.03514767863723941,-0.04012322159543296,-0.03314133514797664,-0.09767629167003411,-0.09791718403252232,-0.09335551256193261,-0.07434947181566626,0.006287978149858422,-0.06946125545342936,0.08370059391326619
CXCL8,,-0.17460448995406186,-0.03894144755039251,0.014235568032408238,-0.17357614131065097,-0.008451328804658296,-0.17103818123981998,-0.06954148433570675,-0.0005522884334454457,0.01291268722473293,-0.15626436678905867,,-0.15269550882679403,0.002727925780034469,0.0003083989451039559,0.015444662059693495,-0.09362425068305857,-0.11531585615951832
GRN,0.2509229626553108,-0.05413066737212828,-0.11241170589363052,0.029248588852074275,-0.11475277568652738,0.08165941050906382,-0.3132071131131598,0.028679851701542646,0.044292020734106,0.20672351843946063,0.04565333119010677,-0.043326044515890436,-0.08678407514812299,-0.3830772377224297,0.015097291341552048,-0.06792073982741369,-0.01550362376954054,0.09110903091967713
MIA,-0.01337017038827009,-0.05883394939438902,0.004903227788301538,0.02400029094162056,-0.08803042149324565,0.03724558389435366,-0.21372336815322254,-0.10959606410753561,-0.016763494194038137,,-0.024090168573223696,-0.043299417293734314,-0.0702408791752116,-0.20163467711496233,-0.16520827474875316,,-0.08478383249041757,
COL4A4,-0.011356817825433189,-0.06289430518042528,0.03773942401754266,0.045261637221164455,-0.08266078030316218,-0.02975587103982305,-0.002296101407568461,0.010251107733469258,0.017587172909123445,,-0.037673396465359825,,-0.03482260062199125,0.02184485165585045,-0.03673626949446569,,0.023733162653018898,
TAC1,-0.07268724557341391,0.25574028658200787,-0.0007655878063544363,0.051040988404228424,0.27542101305855393,0.10131022455197028,0.1960960484172713,0.25456085692589586,-0.09073500190805052,-0.3048628992127255,-0.014587074538993017,,,,0.16924265413427425,0.005130537236843105,0.04555537934331167,-0.0731363851337415
RARRES2,-0.3478500893372798,0.03756452920052495,0.04948590971383117,-0.025913354986794174,-0.32654327539553335,2.61338601431822e-05,-0.387625475560454,0.27305357773878,-0.02737791274152251,-0.030305814361023226,0.03583263594632293,0.006628343668196087,-0.1876260067531578,0.10637189970484419,-0.008229816467324907,0.07312389176284245,-0.08163468731972304,0.08785279281185591
FGF7,0.0312427415068987,-0.023262213877715283,,-0.02360452991468307,0.10678152171163226,-0.007321104749029514,-0.16930555354880208,0.008118541688238298,0.0404754105334969,-0.0233047336075437,-0.005808376328047087,-0.0577103857227521,-0.14444697240997548,0.0641696006714019,-0.07927916250347694,-0.05452015817477615,0.029309217753119204,-0.03763351812544299
HBEGF,0.0040379760788888785,-0.05231297637808466,-0.10035892886958604,0.04793369798885,-0.13474624728069393,0.0190376121983217,-0.2173941534335433,-0.19267462541892466,0.0019901074180033954,0.1317308610760847,0.01912665803652882,-0.03202914848477114,-0.19072414236758953,0.07885234016840965,-0.0579767403468952,0.014101147771660792,-0.11527910011686303,0.02075784204858384
CSF3,,-0.07230439143357906,,,-0.08986980040073912,,-0.049005587206867464,,,,,,,,-0.026132718680970085,-0.006645234664710758,-0.04558479015078744,
PI3,,-0.08565533375502336,-0.03868083403061891,,-0.11005825704498522,,-0.09788372273777457,,,,,,,-0.16040382725109503,-0.074445903601881,,-0.05639580840782605,
PCSK1N,-0.29281445506984327,0.3017687986117509,0.12035833781128578,0.07671924945363225,0.05593903565029169,0.010272695493969088,0.021876225758762392,-0.05800461213584503,-0.06160199154379604,-0.38659394806842773,0.06102823778298522,-0.0739672293954271,-0.0017869824748620083,-0.12066665414228683,-0.08475384110708117,-0.09220132130615116,0.10621124932166943,-0.03767989695739627
NTS,,,,,-0.06943070424370512,-0.06110296404447252,0.00024617740398654093,0.030458023840259398,0.08858820993389262,-0.05904608889785747,,,,,-0.03203950268602952,,,
SFRP1,0.1467037600944796,0.09640846227065313,0.02013990562930096,0.03581459355009808,0.09408723889113234,0.04192728841632949,0.005623113051551569,0.04406481450091301,-0.03610735197263931,0.07070180800641337,-0.0467879901982795,-0.03627275581447088,0.024808807642689338,0.01092127962546224,-0.03065838823057486,0.08368448746410656,0.03981852462365869,0.13035529576825164
CXCL13,,,,0.013903034786272679,-0.005296852297795879,,,,,,,,,,-0.042627902279475605,,-0.05541865132249611,
MICA,0.01108099360728924,-0.0968729939126977,-0.06257757096471918,-0.030683107153374942,-0.045443051168536266,0.03206172744725617,-0.283630197274001,0.04018558160611657,-0.04065972130561843,0.046738431278173675,-0.0808153349784052,-0.05886802078200189,-0.1560141477509486,-0.12904927753741421,0.037603375535873486,-0.05501287558010515,-0.033695792572069234,-0.0536716170848849
TG,0.03684103384620293,-0.047467497448767854,0.05631811612413887,-0.0714321364890309,-0.02444019146017277,-0.005484266905521165,-0.04004932870641889,0.029519936171365148,-0.01312776644546364,,-0.057856672088025786,-0.045659337801735034,-0.07542344065952004,,-0.021507629044972013,,0.011154725282739237,
ADA,-0.05477850383931159,0.016596241683846557,-0.008691472155644706,-0.03825820075566016,0.06039730939478322,0.008653771770477822,-0.2631600145355214,-0.03986991430628542,0.058501765597636916,0.20481292362941605,0.119636274842966,-0.0007424360866924933,-0.15606327007077964,-0.1328024081002398,0.05168026932381839,-0.040229251727952255,-0.014947542455748555,0.036725307562799465
LAMC3,-0.11597650863647967,-0.02145063720009319,-0.08298450644258275,0.02838942278670374,0.06349176841199047,-0.0030942481857657643,-0.4143003775142351,-0.09815471148280007,-0.05191601013111615,0.02583382560596652,-0.011942860848795908,0.05435645028857161,-0.20978620549016672,-0.27402684783723963,-0.06772892392853322,-0.01822875809796186,-0.029122935517624404,-0.13474931508595994
CCL7,,,-0.03140112310936131,,-0.0701286465513498,,,,,,,,,,,,-0.07568032096547309,
NGF,,-0.041656615265557445,-0.026619945002236935,,0.02338962142020327,-0.003856779469312389,,,,-0.05803564757912541,,,-0.07847975016281764,,-0.04486416722181232,,-0.048124895918950875,
TNFSF15,,-0.004005384821008748,,,-0.0027756795719892863,0.05803806182939742,,,,,,-0.023598418308807278,-0.102110145969819,,0.05153313057311007,,-0.07561540384406676,
HMGB1,0.08606063032143746,0.1432314346470477,0.07884071849706108,-0.004182482835650961,0.04234799704660144,0.017971814359577582,-0.26823032960780974,0.022326588153415795,0.09416066487421153,0.12351659740010255,0.10455972144011051,0.003972823758738868,0.0773217393705915,0.12263834177813067,-0.10253875906283369,-0.057930086673086835,-0.016481273932609414,0.05080978189516523
ITGB3BP,-0.037939025672472614,-0.1568919872262035,0.02014057690810148,-0.002721993999027771,0.03518596820680494,0.006432904913596427,-0.31219710256422006,-0.06658803365272312,0.02608973731382139,-0.0004553336111998138,-0.014121112906884259,-0.01134978061939863,-0.17113637633564968,-0.12034985355822048,-0.015066401459447867,-0.0022474110951450055,-0.0756598030677728,0.0099144165136345
AANAT,,-0.040122703446564836,-0.004307541603196566,,0.06681246475612287,,-0.027557900171602798,0.03064277360205193,0.030639403439456158,0.030146643613551398,0.0007704734871370371,,-0.009002343673696378,-0.05791528792441569,,,0.038660314457033634,
RELN,0.02874642056964592,0.2438278595753804,-0.053880823896906314,-0.054018765251131855,0.06331572850702072,-0.1640363907220848,0.10030032436383779,0.01377921200474798,0.046354114342018395,0.06256558143643899,-0.05027055876384064,,,0.1125631207673548,-0.019601628683360277,0.0006334396878704676,-0.0372655189967909,0.07719455223637137
IL15,-0.13205432961363667,-0.0012896341570111998,-0.043803828740918566,-0.027899685972028295,-0.056874374232504694,-0.0016866706005112186,-0.1621171257067558,-0.005849585065331419,-0.017518704379504705,-0.023677570134784394,0.01928558589291928,0.11612199850013148,-0.1075882154626668,-0.1554011403154775,0.0540506126965782,-0.05943413687342371,0.011887412512615764,
UTS2,,,,,,,-0.17794546161186356,,,,,-0.06537830571695231,,,,,,
BSG,-0.35105476906554367,-0.20087819412117203,0.07685829004071992,-0.027632135320982205,-0.07886903297223338,0.043747536229539606,-0.18535068283239292,-0.27869320152133975,0.015922541736814955,-0.23390327125304652,-0.09657458569127492,-0.14492156912706475,-0.30754280051355154,-0.4714646338484089,0.01663542642501752,-0.05144798910892063,-0.11921920987249691,0.03736294566337688
ADAMTS3,-0.1995344504292807,-0.06319347261263142,0.02511416307327706,-0.052363125880419706,-0.01218134987074555,0.02200812121821686,-0.4261402529906561,-0.04234107114801726,-0.007273901639723364,-0.023657814518036707,0.009447990125383802,-0.03663612094480161,-0.042239090004697104,-0.1858227419197374,0.017955731701603143,0.09507734953268408,0.025547252480630566,
CD34,-0.11697143860725782,0.11110918883930195,-0.0556510387410301,-0.034644675442035984,0.07306148715134089,0.022216867410670593,-0.2791332254702956,0.07543971848100375,-0.031209554601477233,-0.09963446256508049,0.09173432372866412,0.12165080444769036,-0.1843325448701793,-0.20998079738174444,-0.04080308016361985,0.01656178091490059,-0.08125437126377921,0.11055447052643647
CCL23,,,,,,,-0.04975325606222845,,,,,-0.039713081322942746,,,,,,
PLAT,-0.14752738822018818,0.02215401879885711,0.0057059328484660495,-0.04573939164640769,-0.03959887206997521,0.015717342847524005,-0.3528296431066436,-0.2563373973022746,0.027411133042867082,-0.14112957036715407,0.14970982583473502,0.09111566104802929,-0.1531288181054756,-0.3970551396986947,-0.1551561113373913,0.006714636190011552,-0.07886605985937563,0.04417728388553033
NTF3,,,,,,,,,0.041906489360712826,,,,,,-0.005335170630281058,,,
LTA,,,,-0.030929974812735614,,,,-0.0029452189517657607,,,0.008301516593322749,,,,,,,
CKLF,0.09481575875851957,-0.043756579171535644,0.05315865605029074,-0.012918436233061655,-0.058580972356505556,-0.026758711746541937,-0.3788970561118417,-0.00861787087442762,0.004941389798863165,0.1557051528064721,-0.05598557632940946,-0.06146687431386182,-0.10379493158645632,0.029007221607444643,-0.03284772017909063,0.09739149715756855,-0.004531448957142364,0.07944260013886925
CD24,0.17357335708583957,-0.10857441444880862,-0.006522844341799878,-0.1251173894404279,0.1221505899087344,0.12910924237732588,-0.08302188801169126,0.2347372442710823,0.020512376574456332,-0.1287816332062835,0.030084884318374444,-0.09438300395744714,-0.3383727142040612,0.030977690435754945,-0.040708552138196574,-0.09007876602515195,-0.0072711828641429796,-0.019091045650636337
HSP90AA1,0.2598036795257583,0.10415361328256843,-0.01231396188222247,-0.017629062692145512,0.2836962229394582,0.08658893511500033,0.4098558493289692,0.17936824651173255,0.08641153099707743,-0.3407433784762281,0.02510829617639232,0.1522524334084372,0.28073769868460174,-0.011718055191277945,0.0362948540342436,-0.05380552694158895,0.027068329630480954,0.04047920853101677
BMP4,-0.02228609529775968,0.17923840491983556,0.00842042094350019,-0.014437869340259904,-0.05305766343473672,-0.04362476967170843,-0.007393170781639343,0.017141178453093556,-0.04597560747365574,-0.04211273438922672,-0.018165895218285367,-0.04237273288956443,-0.13333714483318806,-0.18267527623837493,0.009107519228878539,,-0.020727342975933753,
SCGB3A1,,,-0.03140111996929095,,3.605785968279718e-05,-0.010282813197174175,,,0.02295490740897611,0.03921500693057295,-0.01904407391926751,-0.0490091327510557,,,-0.03370037233966217,,0.07471588494119583,
IGFBP4,-0.12684648426555356,-0.04664053552349912,-0.0657750951061912,0.001777862418480816,-0.13085330175943305,0.02269902236219468,-0.4481033012646946,-0.14831384856892815,-0.03248235432459088,0.002231493674990164,-0.09470330768066083,0.09126267686803265,-0.2045811760537297,-0.3892833032391319,-0.1426307545475158,0.010908451687083487,-0.054871749159563145,-0.011372422417705782
RSPO4,,0.0430002586843377,,0.004109412881873085,-0.058224761552798286,,,-0.054660360073310314,0.037481449329777976,,-0.00552666661923921,,,,-0.022695766561751728,,-0.052604116401654216,
LEFTY2,0.05872123344490266,0.035944581802452365,-0.09562280252046325,0.08805481175618177,-0.07171438919308487,-0.006649675095832048,-0.42061046808242275,-0.06402853972782371,-0.04175432563056042,0.021557126471679268,0.06174336182737593,-0.0563892392466255,-0.05596840273634795,-0.4714531208540946,0.09494621173913656,-0.0575913815039881,-0.04894285157880365,
PF4,,,-0.03257362135108061,-0.019148645044031447,,,,,,,,,,,,,-0.04120778096497973,
ANGPTL2,0.06998784810166125,-0.03144767300280803,-0.023781486125059217,-0.09339380906962319,-0.06903945288811318,0.03575998658157447,-0.3381651315714757,0.060859050923595295,-0.012736398249172894,0.3203483446182028,-0.04202509444074085,-0.04640243072842766,-0.04647409247638324,0.01953388717307438,-0.011501612108319731,0.023167903349160503,-0.0968218623290672,-0.003536916559557096
LRIG2,-0.07831651939499007,-0.05000251576217909,0.045924058151633425,0.044791313057297076,0.019450492613155144,0.03292148426538651,-0.1803995957675781,-0.05780066609000623,0.06337866735685743,0.018800922043802105,0.05501911079859367,-0.061924429707827924,-0.20266127837161937,-0.09352622684783607,-0.022400334089832375,0.04031644719145389,0.05635365160010375,0.13568593694230105
ICOSLG,0.16275777206482162,-0.029406867624413136,-0.07006177998253241,0.008010404537101256,-0.06445224889550462,0.030469578604968232,-0.13963569039554155,0.02399407817876521,0.07716636613561625,0.30909325616540273,0.14226270394010618,0.006305316467883687,-0.02765991080063772,-0.008941155076562303,0.009751649303436069,0.05079699397706214,0.03278404263462277,0.024300125007377972
WIF1,,0.4255933238112288,0.042508952880540934,,0.16897373712148978,-0.11758486531659805,0.13765735835739595,-0.013268810984743895,0.013083679592479514,-0.3252528561228749,-0.07827351125823816,,,,0.052674448688115764,-0.002205121367123656,0.051522363640366366,-0.043511174932990775
NPPC,-0.2301715953289966,0.03511784801435023,0.07194484677818712,,0.0939270737221934,-0.023440835566625514,-0.06801541325437971,0.015202583770831404,0.0056223768989023875,-0.08268993055229133,-0.1347812665497701,-0.035087870322524466,-0.12862567849237974,-0.12790325890610885,-0.014229348672287855,0.006401131579072993,0.026507176410715646,0.00621662583375364
LYZ,0.22260948125362034,-0.05132289909627148,-0.054790847691224796,-0.032117293810566105,-0.13998782289880976,-0.03680386632492093,-0.30059322606369193,9.195340563831676e-05,-0.0010456099562880408,0.17001966785544403,-0.10517439126929166,-0.043994814579316366,-0.15846956853368946,-0.06728594760623133,0.012795220179875243,-0.02240709841722658,-0.032140663448452754,0.031379282784635545
EREG,,,,,-0.061967026572544645,,,,,-0.04100699252333614,,,,,-0.028267959904885606,,0.0423771717693726,
SPTAN1,-0.27919534905403004,0.19451746038457157,0.0728562934974747,0.06508851922242893,0.09259229920303742,0.004469341933438705,-0.029036534637515578,0.18470986388154134,-0.0846321350154281,-0.46246582209367615,0.09771032307891223,-0.010368935599395968,-0.18643989938238587,-0.06025730974746099,0.0669607704011874,-0.06546212556914507,0.1843346374675409,-0.08912464095111619
PTH2,,,,,,,,,,,,,,,0.007936253535807031,,,
LIPC,-0.031031814232006533,0.0025684349167263273,-0.013025479096579416,0.03127196486262545,0.005119276231926656,-0.1002472028422135,-0.13775638657582553,0.05284034419670106,,0.07314247086853282,-0.02554227050505405,-0.03720709473803807,0.07704084750612315,-0.09039475784992294,,,0.07569012142086784,
COL8A1,0.19187465129765902,-0.24208446397528666,-0.09336822004808072,0.020440780324702444,-0.13604010740768616,-0.026454389074548182,-0.15697811336237424,-0.022035622028241386,0.021119227081413054,0.0625140377899969,-0.007507697114499842,-0.05986380592353082,-0.13626073069690586,-0.3476172737998195,-0.05865196220637333,-0.053647392827745,-0.09685781778170476,
GSTM2,-0.06864778756103926,-0.035055443127959884,-0.02118307548913014,0.0036609546510921105,-0.007719581982767518,-0.03654494078871339,-0.1558182824619108,-0.01643528158019204,-0.04221067416184652,0.021214133818387722,-0.10193503437087353,-0.0043740843887819575,-0.1369473668244165,0.061319087168383406,0.0025852604498682492,0.021296792182466287,-0.01322840765641748,
SPX,0.08093250462861022,0.27026767094025866,0.07171821964547469,0.054417712386094795,0.21939073848384194,-0.012807291264733268,0.06579189576962195,0.11868330599823088,0.03788537184927747,0.13008235674286572,0.005154783977772152,0.03685565392810327,0.04045679270196129,0.2828379988872887,0.2531559894085943,0.04295358123290618,0.28043107390837907,0.10776020432142006
MFGE8,-0.07032257118642465,-0.18439868326417838,-0.04921553679850989,0.008424601945557627,0.0862861301177682,0.04243341087551308,-0.14148770823356271,-0.10580408339021112,-0.06089176731605204,-0.16931672129266206,0.016997057732652275,-0.09329980518500292,-0.2043970183533455,-0.4636589021528002,0.04621621742769235,-0.06014457939604692,-0.0944855630753395,-0.04843895105549176
TGFA,0.1447239013483779,-0.2631710006648452,0.13881517221849238,-0.032075857268493047,-0.07679994557249756,-0.023901668391152594,-0.029850063516481506,-0.24260162295559398,0.047343772619436335,0.20980680281798672,0.15225143045759668,0.03296117392547223,0.033622122148152515,0.14538357521058765,-0.08776816025674017,0.10273456849838442,-0.07397318531413152,0.1369121163470195
SLIT2,0.07215177844710378,0.22637805743573436,0.02018056727456991,0.06418175795678017,0.11934210808104066,0.005078628170928823,0.08657614028567498,0.05458534860130455,-0.04855203650527529,-0.2074510904873458,0.02405897340611091,-0.061013942995329605,-0.06502360496275368,-0.03948708049920755,-0.05988831087835341,0.05542503733883612,-0.11717281326789047,0.022106159741224936
PLTP,-0.2209353281815093,-0.0437325893701273,-0.00883664674409314,-0.05452834216499639,-0.21244112869669377,-0.03763691334059734,-0.3950339165112688,0.09858397221596724,0.09340533535422851,0.16521119996174238,-0.12185671897824278,0.044253799519660526,-0.3156196811687845,-0.39570799369970383,-0.07295580234220282,0.02720239391044302,-0.013681557560143805,0.005318487769369796
APOD,0.487843015372588,0.2129163611322502,0.0423752235943954,0.11681760574633594,0.08654734929949733,0.1601976150045143,0.11290328623292499,0.22919079202110615,0.050527528381098606,0.5636405373617398,0.4357954045544618,0.048430720021905384,0.5323562213278377,0.4088065362870424,-0.019154015247513676,0.16488477520143957,0.17841311691509226,0.13197915150066936
B2M,-0.08947107857426863,0.11457328332313475,-0.08508068793851739,0.20024654474233672,-0.1685562107865302,0.08811181839589254,-0.4626679531085606,0.14343033479054304,0.06641701060541765,0.3225993870747259,-0.225719802639154,-0.0601120180689004,-0.04221382695399483,-0.47473974828259197,-0.040337656638990034,-0.02373747404119151,-0.025446660630794253,-0.02188983459946772
OMG,0.20377388815260672,0.26206399158930593,0.17238365924134214,0.05428771049766142,0.17672338121431735,0.11581856347265253,0.2969212199426526,0.260545664899052,0.07878563247533385,0.357331729097508,0.3136993196180833,-0.013811606251803535,0.3317375008740586,0.4193219603757719,0.10576699988084101,0.04381142151482403,0.22791609350970918,0.17969411213923184
CXCL3,0.039000044462993856,-0.10687578977215831,-0.022028128071084896,-0.01419096516515775,-0.12319679089583183,,-0.0347374505519883,-0.16092214886074588,0.012050524264373991,-0.04119638986576397,0.0002730587363462236,-0.03616156907295678,,-0.031171881526679587,-0.007033142883131009,0.04971468157786204,-0.12105695134505093,
CXCL10,-0.311241708557181,-0.018228381887753418,-0.09222569233385797,0.0017627931624572722,0.016413979361634225,0.025134955938022344,-0.49522177465121103,0.09297638528231951,-5.4756681476002116e-05,0.03107624000891757,-0.043432387981246524,0.016782232412987555,-0.077616606794893,-0.09664283832993999,0.12045402613032244,,-0.02579130354915123,
RSPO3,,,-0.008288104476208593,,0.17061817627754178,0.08766113750434605,0.11183205930170986,0.05527053799649937,-0.005733994280790778,-0.1543980686935188,0.007778174444889161,,,,-0.018516700593335277,0.06399327667229254,0.043885708476175934,-0.11967514142959115
CORT,-0.07096933836737801,0.009466590241507561,0.02962878779950694,-0.04059673937187117,0.1784477796638185,0.05078419535034818,0.14206805677952178,0.0811163101575514,0.08809395649218373,0.0671452523078895,0.10103368802817594,,,,0.005793467784663102,0.02125891436532188,,0.012526093036022042
NCAN,0.1290873723454939,0.08294653488707748,0.0986635564256823,-0.02804493777654482,0.34410867802810746,0.06839925350944075,-0.14363170939486744,-0.19890691746029399,0.05011190838106367,-0.25127599176034066,0.19713969162485165,0.0902015535940957,-0.04710758933216859,-0.4179717820290313,0.1851084250751109,-0.050539146709708695,0.2097984808926227,0.024014628222053316
PRG4,,-0.05161004044152896,-0.03148461031844341,,0.055379053149983475,,-0.10311367902975065,-0.004540674982709534,,,0.05979970461316523,,,,-0.047316868170022876,,-0.038204725320468313,
ZG16B,,,0.057369846390042126,-0.01183277996082697,,,0.0016624706366813562,-0.021055727981415646,,,,,-0.07075847763907499,,,,-0.019624777071902643,
TGM2,-0.002582240271661541,-0.11886607689785895,-0.09778699811433422,-0.010456889359021553,-0.04687772911453009,-0.0023926213521427895,-0.25646836597127115,0.009715846231412103,0.018833115094469995,0.0313291015825663,0.10887036616189413,-0.024912429672117074,-0.09547514184976492,-0.21040809989895964,-0.10124952280555904,0.015279181334579926,-0.019432636143133137,0.06340814900538574
VEGFC,0.008072985962273736,0.0013526877367513155,-0.05995967760370598,-0.030578447020526627,0.004728351533045748,0.023174203719703523,-0.055783350447236445,0.04977482732297232,-0.019997405349092858,0.038225793203562536,-0.049265743925188774,0.1502677994032391,-0.05931218018464803,-0.08353029722011385,-0.03873524419650677,,-0.04936411489263888,
WNT6,,0.017983131432781706,-0.029101889031402275,0.038193016161004095,0.0004897175244773659,-0.00026676247994527203,-0.07160554285532865,0.00953034845413525,,,0.011275547718374303,,0.02794743103750437,,-0.0046818653869748345,,0.02602749474941824,
NRG4,,-0.02793379041948882,0.021647178576837428,,-0.014405039145638805,-0.04219134989721268,-0.09210576366352266,-0.01251821077661339,0.016714340938830678,-0.1942483390297337,-0.014826653970723195,,,-0.04658000295581452,-0.029970348602087575,,0.09445499432584659,
PMCH,,,-0.022984056000557494,,,,,0.02613402014352573,,,,,,,-0.01725568932018018,,-0.039490577486908165,
COL9A1,-0.1684640974966122,-0.014202229949772561,-0.04787349263387242,-0.023209711098393097,0.01894371403650636,-0.06834127632267024,-0.11468281156556477,-0.004604581800987041,-0.04991408060144387,-0.16426442645531053,0.05860379374804511,-0.0549561805914402,-0.03952128451552774,-0.16654837870162967,-0.0221297136348239,,0.02682549896935519,0.10793911217777144
GDF11,-0.09525125873278585,0.10683405222280087,-0.08197676777960423,0.01315903280406948,0.0513432776031665,0.023147089391664804,-0.3256662327582909,-0.08853334253322923,0.05343607569501734,-0.07923823222986787,0.0569681500158163,-0.005008797087528415,-0.08760302841161612,-0.09562607904947437,-0.029797885370813598,-0.006856527584394465,0.015453015047763254,-0.0219216743384852
IL24,,,,,,,,,,,,,,,,,-0.02882634498648372,
SORBS1,0.07996821689529375,0.11687967204549432,0.057381149280500636,0.041409128568417115,-0.01468221334180856,-0.009736175807686641,0.00888283440961632,0.02878964511387339,-0.015664850907400024,0.10886199570695623,0.12851034565030903,0.02540475021140199,-0.1867023967752105,0.13690041362752486,-0.0591758461324834,-0.08318731642356185,0.03853909033366748,-0.047263747933017526
DLL1,0.02964500592806192,0.1981311942251018,-0.027597895635590796,-0.025072486532085457,0.0399769660386836,0.053823551509708224,-0.16485947574095783,0.1058120814751864,-0.040537079788482734,0.1833310234281305,0.19332873285601787,-0.05349434046269572,-0.05139554674996349,0.040159319722458064,0.005953231526899097,0.0936890914263309,-0.018943074344229874,0.0390052638260133
