,UKF243,UKF248,UKF259,UKF260,UKF313,ZH1019T1,ZH916T1
PSEN1,-0.009909572463859945,0.0505271384166546,-0.051316734351718823,-0.0004771627895173578,0.004483549460991868,-0.007429937300906615,0.04439665493489563
CALM2,-0.04732652048980197,-0.015733416437613196,-0.03757097300653642,-0.0036655091547126073,0.03398519284768117,-0.07410514316666358,0.08197729182247072
CLEC2B,0.07628477250775027,0.05597651468434901,0.02302648881499917,0.004191074388808544,-0.018775849282495316,-0.00012043893634415178,0.009063827314173833
NTNG1,-0.032647549345481114,0.024403743998419603,-0.0046593088903093,0.011394124078916903,0.013890922051539512,-0.032243600044197185,0.041867353419320096
LRIG1,-0.04754149828979813,-0.03237909123850624,-0.021413816657198922,-0.07393967949500817,-0.01440522772119619,0.08508970747608029,0.012616218553146265
CPAMD8,,-0.02185295023912918,0.008120241127518458,-0.01731859733091857,,-0.04156674634147871,0.021965995130148564
GHRL,,-0.028979811546295167,-0.022691178862493118,-0.016347572412655994,,-0.005025211304345943,-0.02725234620298301
NPY,-0.0019191313509260605,-0.0037794636460065584,-0.007940798037951627,0.013590422829010554,,,-0.02392444504258121
MMP2,-0.019209217109700298,-0.005625829789668315,-0.07267301797771146,-0.00739533193305407,0.013311808141580086,0.07382439766230303,0.03463947815217839
LHB,,,-0.017736429212154434,,,,
PPY,,5.113231753922824e-05,0.02465093432977153,,0.050850141898879736,,0.04554868125398415
ALKAL2,-0.00982562825056908,0.031736620727435175,-0.01747874655978231,,0.019698382379986494,,-0.011815923238703233
CSF1,-0.03912605826058017,0.023280725561408262,0.005896710460404046,0.009620628021288085,0.032052627310883014,0.010318910961653823,0.05551198645270285
SEMA4C,0.002737384320826848,-0.0023608278551685135,0.001134491066558723,-0.04955616430088473,0.0134866091766769,-0.046462977200838786,-0.017369364601857836
BMP8A,,,,,,,0.032749585269245644
ICAM2,-0.03423975704155488,0.013024462890560919,0.028637752167150175,0.07153411703394068,0.004543055980887908,-0.003965576673107052,0.06322388697901034
SYTL3,-0.010327278992803604,-0.025996502300677835,-0.028995059544484534,0.0034419546098438648,-0.041007678216257,0.04764216165403241,-0.023824833834273584
IL1A,0.00493324054788355,0.06369415156470998,0.01816642169077502,0.035581830797973335,,0.02717654617418476,-0.009126316561018246
HLA-G,-0.03529322508047017,0.08761308059618728,-0.018733101456652666,,,-0.03642144123449499,
PGF,0.030630570968452488,-0.010337937553187971,0.0071380320257868595,-0.021831050333041325,-0.038563293253951955,0.07122263368445342,0.012509365780630666
LGALS8,-0.009030069463823214,-0.02514881095754131,-0.024949055191989068,0.03731524231337075,-0.005103288086284933,0.01832471579390877,-0.0313383739262274
DKK3,-0.10283250483416262,-0.03434990143321381,-0.021239589049952545,0.028382927534068684,0.020072241676827255,-0.041486224643537586,-0.014366420898717104
COL16A1,-0.03391061768751587,0.0337195503738766,-0.008481429691364808,-0.04480686943783922,0.013837608125907733,0.01047010536123832,0.07871727465808351
TPH1,0.008805474147805524,-0.012289248368609304,0.018182232772413036,-0.017000448348349528,,-0.03490645150139082,0.009183681385368497
TNC,-0.042628466601020765,0.04512992668765895,0.01604070219748903,0.01718514800879747,0.008143526027172238,-0.00992577682172962,-0.03360352686999332
TNFSF9,0.047348917847324756,-0.021852947970434723,0.009748134903473715,-0.03231074002657627,-0.0158810298407532,-0.035417707188607137,0.052885464633930145
C4A,,,-0.007434218766247776,,0.06414365869491583,,0.08953110163201015
CNTN2,-0.024863502267261993,-0.05188949371722103,0.022478193357499947,-0.06229339507399607,-0.015327102634968904,0.09026779823771475,0.04991633563931949
F7,,-0.011989087982418663,,,-0.013196858910430301,,
LUM,-0.04139745336078714,0.0445117645569953,0.04425847906296295,0.032146935671916774,-0.033707936394510564,-0.036977897406071714,-0.042638671608741435
BTC,,-0.010876961898102586,0.011606841909780513,0.02223150877366079,,-0.01754298012960017,-0.011183877529880678
