,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,-0.001404805190465708,,-0.04196013209387604,0.03507970515745072,,0.0474106880020999,-0.022083522097199004,,0.1070366723017567,0.06791340044368385,,,,,,-0.026003475398203812,0.013617479327612534,0.07389214941079142,-0.038373854922961886,0.043103446169534855,0.10389717099790619,-0.03258318387683138,0.025058353177492686,
PDAP1,0.05205598342461618,-0.02608211589686338,0.04597835126638425,0.040660756011310785,-0.02924550986450211,0.01993877851196185,-0.01875803434261311,0.02609839335386162,0.1079707323635565,0.00012848092706578825,0.028925724272239307,0.08783004860702599,0.153202744308851,0.005619490937453265,-0.009325567813913319,-0.022193795716675076,-0.034927914443399356,-0.009277070802606334,-0.04478099055395819,0.034723802741553934,-0.040323168898014676,-0.025348806472089466,-0.05545469636910262,-0.029793936741711442
QDPR,0.005443042840574319,0.07852708099695269,-0.04431146786615006,-0.018975816169746244,0.0813847096389966,-0.012104370536427194,-0.0168974784853902,0.01330655038395566,-0.20468522766240235,0.007487840437358074,-0.06651111027437341,0.008763125869124378,0.08518110448188575,-0.008775170707425724,-0.039270253012340633,-0.0123601560201019,0.034094067286384346,-0.14706985900445596,-0.016910669158276926,0.023046159718486482,-0.1119830697575086,-0.009852894989390792,-0.01641918812819844,-0.05848169568390804
POMC,0.046287487890704936,0.02872623028460234,0.09325569172548734,-0.017087412053404305,,-0.008789640711815849,-0.0108860632227521,-0.03029471491543215,0.02415083066276934,-0.02007223466178774,-0.038955200371145596,0.0491905927832377,0.03510943270603466,0.014164695215110018,0.0818364738946468,0.033084278578024824,0.016101292818369948,0.006638318779903497,0.033700407126514745,0.06828068378511276,-0.018530241847177616,0.017393185835521355,0.07795380796858804,0.1460000994824445
CCL18,,0.06869462105661654,-0.05236228029089656,,,,,,,,,0.05688558517216221,0.1508917772825928,,,0.19920877129283027,,-0.06697538008773754,0.06849401625119192,0.09324863536985997,,-0.039760784101176616,,
CCL17,,,,,,-0.01131037555296211,,,,-0.021575052294250364,0.03577245625325613,,,0.042078852721077205,,,,,-0.027224392721054484,0.011384671912265394,-0.03660184631901026,,0.024794712616604438,
VEGFD,,0.05489445756528096,0.053211686536443197,-0.03364868524864597,,-0.0041197043062943944,0.11609836437475246,,0.005598372012133229,-0.022986393376493924,0.0036698447612040935,0.0012220559024189546,0.056011514247703655,-0.022766428107574226,,-0.014570726054150327,-0.026556161559027985,,,0.04102396267847875,0.12228256958578779,,,
TNFSF13,,,0.05469624480354537,,,0.02206317666050644,,-0.017493257732403972,,,,,,,,,,,0.050308577926574234,-0.02778256207465498,0.011347074290857106,-0.01458415644375464,0.058719675592013125,0.10119702008491138
WNT5A,0.041970403538323646,-0.0033240961725161905,0.10489969977183554,0.01971685337394151,0.0384012042128097,0.024737670661972418,0.013976143473139226,0.10593282553777165,0.1179319779123216,-0.03386027825237963,-0.006038956137306382,-0.0015565625111410408,0.08288996694053276,0.03701626914404409,0.06277803437838915,-0.04501183111379655,0.02035492834117196,0.09739982873885773,-0.032787362738131355,0.0008585229303228643,-0.0009544723438481461,0.04226018717395944,0.16213034378623026,0.06724124179446841
CXCL8,,-0.03522961343208979,-0.026670768387725013,0.011875370251583002,-0.11455146233797973,-0.0065054287573303735,-0.0210129888282404,0.07894797631557095,-0.0056815125435616095,-0.027229914198419476,-0.014186525939890213,0.06157303963613769,-0.02236153914148934,-0.015053241920936754,,-0.09444855409389544,-0.03905146037948717,-0.032768385440909646,-0.0028818187499647834,-0.02556885159278772,0.09637920858178303,-0.055632337988694956,0.009557600329131577,0.042175526208491874
