,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
QDPR,0.035031286408910435,0.00663265349100792,-0.0025697756282315955,0.05262253116575511,-0.03542200973543231,-0.12308376401497563,-0.0016040784440686292,-0.021807486094784938,-0.020219019448040408,-0.019228476627135054,0.04735566929563122,0.02397514069419768,-0.13512353783372694,0.061043019642483196,0.04706227271748926,0.009203758785665511,0.074617407127549,-0.006141143165593341
POMC,0.043635567353085776,0.019380088076755692,0.010887831503998474,-0.03976776852931293,0.0027596946862722387,-0.0010472757550366283,-0.018306312656643096,-0.009614725684716439,0.08826005639770054,-0.0009044470879697801,0.051326588592550286,0.022987429286938314,0.0376794376828578,0.08717042289592326,0.03153727698543333,0.03706111200544044,0.028706385870732903,-0.006640714135550142
CCL18,-0.01481372176431013,-0.016469077312937452,,,,,,,,,-0.023331781247270797,,-0.019964883929448833,-0.048872521580600875,-0.0238283797353941,-0.05728739100684142,,
CCL17,,,-0.023611494555325994,,,,-0.019676914879531156,-0.013513116721694661,0.11605701912053243,,,,,0.011079978938738648,-0.05002036901156407,,-0.028558125244603324,
VEGFD,0.07450859786412779,-0.017041327464323228,0.02076197801245932,-0.018908090514163183,,0.0755001998801133,0.018866362110487003,-0.009912034535233963,0.010145686298708262,,0.047629919201058184,-0.044579326504009135,,,0.050290206372369785,,,
TNFSF13,,-0.026967378258543784,-0.0162866805034117,,0.039074536202839835,,,,,,,,,0.007866335376491859,0.016728008981893635,0.0033690212100210572,0.03067155914290143,0.04064465006567632
WNT5A,0.04984883943668112,0.009722628720549272,-0.006721637661347139,-0.005641302213848115,0.10952745721420869,0.05832266917484254,0.018610362277940433,-0.01078731119123753,-0.002329762974329743,-0.035929765185268435,-0.014292327438762005,0.01130053013637228,0.035144184078314884,0.0006434402757029686,-0.01638526272675427,0.024526995590417322,0.033451682306673954,-0.007970946270963754
CXCL8,-0.036504683890744925,-0.01201915067298617,0.0025626900769550685,-0.02362614698454173,0.01772316481151181,-0.01770093143136701,0.024108139938943684,-0.009230517548799826,-0.020046793914701152,,-0.001215258530857595,-0.08580146603821265,-0.035151321493671464,-0.055319362020780374,-0.1698324139162228,-0.0288984598089558,-0.08398586982589835,-0.00834937139875153
GRN,0.05523511481849834,0.07043385835058619,-0.03481374410011991,-0.03545301411177,0.05613125217196033,0.0990148290226961,0.02831571426448938,0.019129355557220482,-0.011657378261557117,0.049836764514458884,-0.0030948555020186685,0.03081190841918073,0.04000374623336516,0.025002256384399908,-0.0012179426544488361,0.057927183729556214,-0.018704359656133148,0.028795866079323437
MIA,-0.06079638555352967,-0.00954917263123585,-0.00880713877891402,0.030548646873585043,0.034064754148452975,-0.003245507057797009,0.014273381408267222,-0.011272851828792374,0.05297184212741538,0.046050249148560096,-0.06611418681645506,0.052949434744187264,0.004313782432138259,0.11208823051067164,0.1317835394295139,0.02304420721813019,0.08348386026964506,0.055159782796869956
COL4A4,-0.02150477929788965,-0.026319713707020364,0.03142939263639769,-0.04024373453907706,0.15529413263474887,0.09251488237427252,-0.02054330791183607,0.011144516279919978,-0.028780287272167176,,,-0.03490649060821206,-0.02524185138012182,0.12892131211347344,0.031731364349200174,0.026708965658636223,0.03389158238190424,0.006228887527868501
TAC1,-0.02062851951779561,0.03391562146966192,0.024637772692866357,0.05607912608023588,-0.06020931746997821,-0.0709528601576632,-0.02986451491730334,-0.013466049068785915,-0.01651843017645062,,,,,,,-0.001788279008861484,-0.025957546799683963,-0.10758850772277377
RARRES2,0.05848985268080533,-0.008861492096569631,-0.039463822848141566,-0.02743922102248729,0.04826372111536059,0.11535923120882076,0.0053097410814977606,0.014057814972990985,0.029051307567087924,0.07679436523199655,0.06756811669261098,-0.059900817440055196,-0.021404551902084845,-0.007761305330189549,-0.05839125512080796,-0.004346180404412441,-0.0037645657832355824,-0.033288125590383404
FGF7,0.04135442921406806,,0.01542989077351335,-0.005447128924648755,-0.006575683439145699,0.04702919836829695,0.004540091758944335,0.08517221470479154,0.08489008651276896,-0.05968423793576696,-0.0440908869668751,0.11409234555457885,0.03864639247176471,-0.06689134121006629,0.08111315280557839,-0.04299580327124011,0.03586964157294758,0.07220650772498304
EFNA2,,,,,,,,,,,,,,,0.019203390289613098,,,
HBEGF,0.026931849992432127,0.02309497139417114,0.01377980285169274,-0.021086453645061204,0.10347781692261207,0.08613106787721904,0.06046473002953684,-0.025455055078195354,0.017822431118280354,0.15566352063428324,-0.0007151467471937394,-0.042685597540128524,0.1300689246854683,-0.006459031350320724,0.0005109453744351571,-0.008770465237415344,0.008890141566719786,0.04216363996538613
CSF3,0.026321090161656843,,-0.028142842752021856,0.027060948720906797,,-0.004463221889875728,,,,,,,,-0.009912836264509207,-0.10139629788132772,-0.04914153786167401,-0.01550922914508646,0.03207310753839424
PI3,-0.04385702617252156,-0.0009852631410867674,-0.04856605000135744,-0.037895367284595194,,-0.02502266317432826,,,,,0.08952383776799294,,,-0.06330639532573709,-0.16390031024989987,-0.012823074460012792,-0.06532625460926947,-0.025143102489322788
PCSK1N,0.05057349271130596,0.022479768929965834,0.03375907981240047,-0.014936188713043454,-0.06742220149092712,-0.07570516898599042,-0.03642715632513004,-0.020084095034940224,-0.033002997362006535,-0.03592843341032988,0.05204090536567532,0.04453230210720971,-0.03401435716865177,-0.03791225800160056,0.057783433252301966,0.095780135210445,0.07226163742002309,-0.04903825149340176
NTS,,,,0.024491872775568392,-0.015917125604685646,-0.02731394542317513,0.05989846464786357,-0.0020440538425410674,,,,,,-0.029063108875385175,0.054135804585450316,0.011102697449343411,0.15882666481182273,
SFRP1,-0.00524523399952526,0.0004585824519627733,-0.020601941668563304,-0.021570856833522833,0.06346877199045323,0.0779780556013581,0.011772515153244114,-0.013513116857782847,-0.03314184871524548,0.04603240924544477,0.134030014076009,-0.06659433171358493,-0.014209919980130456,0.06186771813500719,0.004510597859368476,0.019484358823025336,-0.024667992162843797,-0.037282169652839925
CXCL13,,,,-0.021376994594446655,,,,,,,,,,0.04245483503968777,0.010950384466939505,0.00789021221031585,,-0.0030187978159262516
MICA,-0.021725162364214182,0.030593796360188854,0.07699187945186668,0.010595709109943875,0.009161108029305528,0.10285839353882321,0.013932523487204447,-0.05078909742649051,0.04242763687863425,0.1127879661102539,0.10024639669911918,-0.06114289619072002,0.04627775634232601,0.1020471941326367,0.05737062129546785,-0.03462761994561631,0.07553258384759981,0.013334724999303176
TG,-0.029511734182163418,0.02689699747017351,0.030849236860871723,0.025070711462961214,-0.018372558913414494,-0.02682039230332097,-0.019823747097930458,-0.009779383889144238,0.014559708903818835,0.01520434909940654,-0.06559804870697246,-0.04079115394169043,0.032662400919822365,0.046639081292649515,-0.031959325352017516,0.02242741920178879,-0.008735421124116774,-0.02128589580110979
ADA,0.10785215958672127,0.10469245901769968,-0.014270083214648836,0.02766201004304303,0.037659841208335584,0.1021936522229261,0.05142003285729908,-0.01588250589454606,-2.942674800373214e-05,0.03988982854193513,-0.057485389007783064,0.01000330681124497,0.1443009912861385,0.12031970606381716,0.05576160083431817,-0.013385543367941536,0.07206912822397678,0.016376038440088274
LAMC3,0.0416014349168912,0.07885018903530604,0.015633599388300744,-0.007535927968219165,0.07398369130666002,0.152294039793499,-0.00635925537826003,-0.04877470007541709,0.03164972012084774,0.036620139009835684,-0.037627756888252116,0.006483868712387393,0.04453064884794666,0.05257883247704031,0.039582905710390165,0.05259389999162121,0.01457114112034513,0.051735182740483686
CCL7,,0.008284947119396134,-0.016074249317074633,0.022022427628893997,,,,,,,,,,0.033915123755176114,,,0.007798953082121124,-0.07857815688650703
NGF,0.058345312240496286,-0.03902796005697683,0.01146674532426387,0.0194670776830685,-0.017532349036467876,,,,,,,-0.011945703325165908,-0.02966907800528305,-0.04325199933329273,0.09619648499955075,0.028517433740676744,0.04295060836550819,0.02602727959265003
TNFSF15,0.03934151266002749,,-0.017899462796025847,-0.02098428216709522,0.04686218744948822,,,,,0.07928211126262921,,-0.012619208437396978,-0.029963260309615627,0.01137843371217044,,-0.0063096174614882435,-0.026630800502539173,0.030784219406232025
HMGB1,-0.017118670588752247,-0.001373288028429572,-0.062200418710552256,-0.005561384102670802,0.05897917323719227,0.13597886288358363,-0.014841085358007546,0.004465745676827734,0.059398583088001736,-0.042917126045002356,-0.111427288385514,0.01707396828080516,-0.07080598260424553,-0.05414169978374047,-0.04392942738905358,-0.05844518324877171,0.004633817508644205,0.01710778241800854
ITGB3BP,0.037244839891595306,-0.0037306813521123207,0.024006391141408633,-0.00238228989094114,0.1145245302093132,0.09367408934792551,0.014210862123422865,-0.01743091223838566,0.0427567649369118,0.13631846146436774,-0.04896997060278544,0.06084187128491634,0.06293145012530597,0.028704137663161145,-0.04302568461912987,0.03303234986279754,0.017138844062644803,0.05915766205796632
AANAT,0.024221833101603456,-0.032979190488975955,-0.016286682241658107,-0.01890809321339966,,-0.02004516410038904,-0.017827611615507503,0.09056689922914525,-0.027114658507559695,,-0.05573097522967333,,0.11283744305431846,-0.020033203644463173,-0.016740672135871076,,0.03205530786910746,-0.030494408597105574
RELN,-0.0367756608109998,0.07060747239216547,-0.028270033049785672,0.038959334111868214,-0.01979378316687961,-0.052230709250423925,-0.010261863872407831,-0.007960246889917704,-0.007741286031047419,,,0.011237713629684265,,,,0.024274725697033896,,-0.007472894177382913
IL15,0.025291520830572133,0.03258455100043961,0.014871171191373626,-0.015692138282260838,0.009240318596208111,0.09298290827230986,-0.011046330997280602,-0.01230167001677259,-0.011943691425892591,0.07368510892495006,0.0859739261733509,-0.014039250644649733,-0.014232304430206793,0.013552209855175806,0.0402341402339982,0.01337644153628329,-0.03430126719411315,0.04618317474334118
UTS2,,,,,,-0.012409484793872504,,,,-0.054929362112219916,-0.08040016391639979,,,0.09916734397793896,,,,
BSG,0.05877712892985049,0.016006983077684646,0.021649121615393254,-0.051571776186597036,0.06487964350077205,0.006724177813085078,-0.025985453449586235,-0.00668554155775424,-0.022705466028597774,0.08423193989053471,0.06692593891670975,0.0035305357937116203,0.07769971340234054,0.0737414999167003,-0.03368161543233464,0.012223709773714743,0.05064218554603833,0.03968547532468938
ADAMTS3,0.02640425307241513,-0.0024869850706317983,0.008587659763896145,0.014600146921711089,0.06781833482021087,0.1480409718445044,0.00996935644882238,-0.002485324784145807,-0.024222907520422526,0.03424766059676482,0.008388041015467161,,-0.024899013601458426,0.08015211773340164,0.1561055411294127,0.027421630433835747,0.06229542514995497,0.04286335009200534
CD34,0.01813319908397232,0.034376271757809725,-0.009737090658354772,-0.013963607901186545,0.036402153657972273,0.08308589521325814,0.006244399874647444,-0.0210912008633013,-0.008862917992388421,-0.02500697847840339,0.011979059909341281,0.06899956250405563,0.09312027022709576,0.06362262107375562,0.020431820860841745,0.01560952441519419,-0.01213322041429368,0.06585199843331388
CCL23,,,,,,0.0765839360824843,,,,-0.04210639934844397,,,,,,,,
PLAT,0.14036593641794878,0.0712460123389387,-0.008484049729705227,0.05942572211017725,0.06366827857463082,0.0967126666453794,-0.023574152055250732,-0.03487088432348492,-0.005406419427345979,0.04571773650473679,0.038752656964647074,0.09747704445083488,0.06725175899216365,0.05744559215088539,0.1447327109589495,0.08019368391463676,0.09222352986841494,0.10073657238959971
NTF3,,,,,,,,0.028967358530337724,,,,,,0.056987462257512535,0.09117013079946237,0.11534445534000756,,
LTA,,,-0.02060194070477209,,,,0.06374658854138726,,0.003030443044738493,,,,,,,,-0.005324031305196816,
CKLF,0.05243521270810471,0.04956051857294855,-0.05064079820753011,-0.014182907445863115,0.06764141093218694,0.10092801363404981,0.05765618610985586,-0.08555063178862257,0.02848385495488477,-0.00027207358454910623,0.09927245301972792,0.012569758790866555,0.006437852932642315,0.07145745046572072,0.044918278577466615,0.012542629701413614,0.055332716054539606,0.11410345653402901
CD24,-0.07646953358324625,0.06101615855481659,0.0035272222883205016,-0.022519837853614354,0.11310925709274172,0.0756894114630176,0.03700387748674959,1.930655180089909e-06,0.02850871012834052,0.025928988551144005,0.10611091332314389,-0.1350606254383719,-0.01458749711688079,0.05455365594552158,0.09899389212179747,0.02286485996081785,0.029528020053524288,-0.05971674754482023
HSP90AA1,-0.07214148034276036,-0.04856804381138895,-0.028223560342591773,0.04377516984118762,-0.09319439754255229,-0.14305287802741581,0.0751285655919584,0.05109373489213798,-0.007348002781001595,-0.054830574282525656,-0.061794206465992894,0.03612896123991801,-0.06818590927896756,-0.17808938985010955,-0.19872278864223217,-0.08911497006627701,-0.08739028585356741,-0.08526183140363083
BMP4,-0.046160987694897945,0.02647316807608031,0.01379133275732013,-0.036694209264546175,0.1254866792136544,0.018365931505826043,0.010402292388317927,0.02523364849417464,-0.005380722891778667,0.021950856692635995,-0.018763278516221695,0.07477445558056524,0.12786441998753975,0.09783773785557208,0.05349617080731172,0.016404352818730105,0.0401114353089611,0.04116838892977296
SCGB3A1,,0.008709614797389558,,0.010930397574559582,0.1118050420809894,,,-0.009508761302751054,-0.017547659682127854,-0.019747089511667416,0.0405504815800616,-0.047832611222713456,,0.03202954087834896,-0.0009818821059327453,-0.026386072681375734,0.001310601559920559,-0.0009081104309754731
IGFBP4,0.09839748039900933,0.06294913156079951,0.03319728740186926,0.05543895453267549,0.11166899159128911,0.11762344004065603,0.03734231148914944,-0.0024825393403286084,0.01633749050762477,-0.011003321740810163,0.0004579107784661928,-8.590937753082112e-05,0.010274404777121422,0.06557896957224439,-0.07903595728408519,0.01591133989651972,0.0021203487562729806,0.03248817320216019
RSPO4,-0.026055455437877455,,-0.0030446333738298635,-0.025988514650837607,,,0.03399583459281864,-0.009508759911879612,0.11365573335921211,,,-0.043735930141698215,,,,0.020701603247528275,0.04735645399320055,0.012899601431531085
LEFTY2,0.08367679304290176,0.03462693212891949,0.0057365755268669405,-0.020798375566674125,-0.017917737969188934,0.07512972130997848,-0.026984458141303947,0.09925739494348677,0.0012895844970598363,-0.06928533036750827,0.06680663115194471,,-0.026573306446894412,0.10477087257892746,0.10246313492758581,-2.9603377996150664e-05,0.09996934383452091,0.014331804774033922
PF4,,0.006139630568138017,-0.014024465847553066,,,,,,,,,,,,0.02336465213660045,,-0.044865722137383796,0.07590749149411154
ANGPTL2,0.057476392878679276,0.04490255933329088,0.009157583316611897,0.0637645680471907,0.1283851109797557,0.06621732972898309,0.0010567489390024827,-0.04285273608531119,0.0554783121472664,0.044255631468115536,0.09643664114172337,-0.022171245134340562,0.015395093774354439,0.12264021763253115,0.09463802629476312,0.0013500104756603195,0.00503504632216519,0.06312098703349908
LRIG2,0.024316269805668114,-0.004817868496034603,0.039301823768345165,0.07882233016859155,0.10583014170615389,0.0684092524074199,-0.0024477229665963484,-0.003778800133871368,0.017144936262962724,-0.010165043053179987,-0.05235314349557371,-0.01426954065049037,0.007925874005321971,0.03823147178639081,0.1048885686911006,-0.0413733898878669,0.07498842638859737,0.03278814222858765
ICOSLG,0.0030394828091795264,0.04083434882831046,-0.041932071598745665,-0.003435714268096509,0.024060280392468342,0.09310665340568447,0.036626113978649906,-0.0180458506288357,0.039459232930161174,0.0020988386985262993,-0.025579418671141826,0.13156474796929574,0.027049839306871302,0.03273634250690727,0.10538503183714418,0.09130380554357342,0.06756190937155537,0.08108856880989103
WIF1,-0.060635209081446026,-0.025240191112188375,,-0.0009036886211102839,-0.05299656857795821,-0.07888508901183014,-0.015410050655910956,-0.01789351741046392,0.0283431232523943,,,,,,,0.009477469905409151,,-0.008076014573306813
NPPC,0.0146891658729377,0.049179083352167786,0.1282505653924284,-0.0372604692243273,-0.02698166948454607,-0.008084070932917777,-0.020306514527924074,-0.013214849282010709,0.027154625728528725,0.041993249607778824,-0.08529087514298453,-0.076218106000876,-0.024898965781411812,0.007747628156201233,0.07755798145256794,0.013829826411791467,,-0.03729188311282868
LYZ,0.09362819390922666,0.009623525912368648,-0.06163149618163372,-0.05048625209538848,0.06426118291983467,0.03986656027239831,-0.013696870111073362,0.05360667818876813,0.007681764614533202,-0.0060235923505490155,-0.01033765999716175,-0.04821733257578001,0.07273389318792063,0.04596018485779136,0.04163614187317655,-0.02683398480799857,-0.039503711555538036,-0.03772667530776494
EREG,,,,0.03571393012485317,,,,,,,,,,-0.0025358558314022357,-0.048835383555828685,-0.05315677403858435,0.0018739431516717438,0.1272733936390766
SPTAN1,0.012578152025022266,0.09148508005201005,-0.009569188324142186,0.007034074131600557,-0.010368212883287547,-0.027550978566561357,0.004942274505858169,0.0037320347460675896,-0.013946903143802402,0.007003242840052852,0.01744270307685682,0.008790190490954301,0.15586667177223887,0.027629104411411004,0.021629233277767047,0.07349949260486201,0.062005763928743074,-0.009240189787352101
PTH2,,,,,,,,,,,,,,,,0.013842550085621245,,
LIPC,0.03294799033176367,0.017425671363829998,0.019796480024363405,-0.02516115964681379,-0.023490291162231433,0.07195385263339758,-0.02973952870032026,,0.09490580298713602,0.08980277408026832,-0.021860976657715046,-0.043168465180985896,0.03277454425045394,,,,0.002892445580682553,0.019523413631102316
COL8A1,0.11328714423762193,-0.001306642514684842,0.001572122037583954,-0.024562195714045998,0.05404688602273866,0.11743459847016624,0.05317404726085393,0.028239238575072278,0.02266034054495689,0.03908613747307515,0.07717996831263292,0.10261580251098751,0.016395891538895282,0.04893045428189925,0.049225653057855735,0.035626763539551916,0.032862997956187134,0.04610183733884791
GSTM2,0.09939374391990702,0.0034742271733866127,-0.041242214459728546,-0.01164940303763285,-0.012809470487628411,0.06486589546307008,0.006920701421346942,-0.007479884977189116,-0.010155540881824321,-0.004535523528157129,-0.11728365661844854,0.13216749489655372,0.008673319983697959,0.031197871793932068,0.08962572943294957,0.09287831989963502,0.029514630143045614,-0.0363993683022855
IL4,,,,,,,,,,,0.18957071814583307,,,,,,,
SPX,-0.008706794007387907,-0.00954156825924647,0.010038884564487925,0.04257224654385471,-0.0485104379506883,-0.032662389853027024,-0.009031115794315208,0.0245563914584239,0.06478796711766595,0.05957384712597564,,,-0.007702223210763858,0.07673887132378275,-0.014682109792756071,-0.018119072400637287,0.12452113368601683,-0.011536695603045155
MFGE8,0.07014153244661461,0.037280707995799786,0.022409871469358467,0.08131762816341577,0.09211359146442047,0.09014174668300028,0.0005836414205774326,-0.027451002900509138,-0.003588865191815274,0.07322515634676088,0.11014260326129151,-0.08837948757452928,0.07683569893701904,0.05240944557459691,-0.006465087906594751,0.018370266635580088,-0.002366690636694605,0.012279464984377375
TGFA,-0.01596880194319851,0.06206453881124269,0.04216708786861385,0.048138095201909425,0.08007775030119545,0.03457651475210566,0.0012274745850881163,0.0590609362436862,0.00043784511066274803,0.1058628326483843,0.006102402023422863,-0.06533386839106138,0.03731516075529,0.09138372614594262,0.054814751874620156,0.03600282118127279,0.09056475037783822,-0.0027563043687109713
SLIT2,-0.007313638929352155,-0.011895434757020108,0.044949480251720964,0.08440464681427412,0.06223228275329252,0.017371789088020256,-0.051389061584730764,0.02428156594405557,0.006471552680039162,-0.0005565356157933322,-0.009139465284268365,-0.010111981555704823,-0.02815852830076254,0.039029119381986145,0.02696536704980417,-0.017208970878880143,-0.0024872950410198707,-0.027075443348541266
PLTP,0.057667876334186456,0.05265568988994673,-0.01761259434702064,0.029651602454195874,0.04012050077138303,0.12207313883679916,0.01621293436256271,0.012932586715910977,0.05648701507270857,0.05679086495961787,-0.010905225476970369,0.09762166275934972,0.08604063623289859,0.04120158015649862,-0.008105460194287647,-0.02460733692724236,0.005718121970295585,0.012242636705994119
APOD,0.13859655837713675,0.01687420207936808,0.0048612458361594,0.02025994323192439,-0.07596145380026455,0.021439192135084818,0.0408876306167748,0.05255230459603854,-0.020655098509040872,-0.13657683738834112,0.17208588662252888,0.035101652487463296,-0.13530543571756978,0.11999533772769075,0.14115814222858084,0.005820621076297432,-0.11545055361580281,0.017276275377771228
B2M,0.021358960291876516,0.07480221627931491,-0.049099245446471845,-0.00392758960185857,0.0358977573201872,0.10982292154846039,0.08530003787640177,0.032585722071505584,0.029239039163281116,0.02618738885210997,0.05445284585150133,-0.006348386932438364,-0.06509857372989823,0.11813897754597336,0.028215884725622073,-0.025926496092271475,-0.044839644310462265,0.09328034904186532
OMG,-0.0423273709609781,0.013178503663036883,-0.01597520257769575,0.022371748241919072,-0.02689767216048012,0.004001485634122287,0.020847336589055816,-0.040067854038214216,0.03488992489271725,0.031973802592914005,-0.015410479735918232,0.035062050831789066,-0.08515919115418778,0.10381483480329068,0.09984233058648746,0.009340847682782295,0.10921835901002,-0.028003311203584336
CXCL3,0.038841873201014704,0.0200251622952523,0.003495936653263475,-0.026105853214341838,,0.0306682606849902,0.01273348889282635,-0.010172363175535177,0.020479332068699705,-0.0383408543917899,-0.08081189261621474,,,-0.029589471456336783,-0.09497958752261014,-0.004228004066508107,0.057145521189998924,-0.04858264395213657
CXCL10,-0.013410516353127856,0.05118943355620043,-0.05028526626137178,0.013878930445085369,0.05160113136238293,0.07273318343412016,0.08410288383869105,-0.015452564196199276,0.018475778217123106,0.07292998138915933,0.01911680761113811,-0.007155936711322132,-0.03358571185592108,0.05591215121548525,-0.04048747435903833,-0.017295636682489977,0.03113450380940196,0.09219143460789148
RSPO3,,0.0025517380227177977,-0.01628668103825669,-0.025161144133724587,-0.019704006367711992,-0.032915222335156424,-0.01096385342442054,0.074122142487216,0.05396535938795832,,,,,0.04616494040888996,0.02564440327118129,0.07043101734616095,0.0227481442353572,-0.07993239107721992
CORT,0.09501462096710209,0.06266880161310233,-0.021071500785155958,0.0793267352539759,-0.03485038381860232,0.006424163822890267,0.0005427040344933961,-0.033421410898206216,-0.013238202857620677,,,,,0.05541751837961612,-0.03158756671997005,0.001557962953935157,,
NCAN,0.06442045179514404,0.08035143279935276,-0.029755835439869267,0.07644046780452195,0.06052993777294456,0.07892860468309888,-0.027591177767485396,0.0388675652441791,0.0462953833658419,-0.09374570955196401,0.08479351820787874,0.08862947618796337,0.027720434416842007,0.11557470635935736,0.14916071141151593,0.015445395717965011,0.10736621721217571,-0.01446555442836062
PRG4,0.0661939415367982,0.06938908161803378,-0.01607425182200778,0.0616149716887994,,0.19078722879548826,-0.014602141861958112,,-0.006708127675946551,,,,,0.021832653970526198,-0.0020448030965916756,0.037054019047846526,-0.052790286266821765,0.04143325255975343
ZG16B,,-0.008991686018663507,-0.01865613511627581,,,-0.03078493252988395,0.027346043439152787,,,,,,0.06847762575565454,,,,0.02574766968875373,-0.025696998712695183
TGM2,0.03748314302803456,0.041959337599613525,-0.0032667561306219837,0.009116396585065025,0.028378667040202248,0.08887272494634668,-0.014025797827554792,0.03960080060653289,-0.04186455251222498,0.051065889521562165,0.021319619172980565,-0.03509588976356667,0.0601388174950561,0.035635080363072134,-0.04033844506534793,0.029669881886434685,-0.004318651467006527,0.023561786944247314
VEGFC,0.052206351672663576,0.10256220956070514,-0.028648620784239433,0.11703416791121443,0.07790505285866692,0.10683897950726838,-0.03673724062827818,-0.018906347371185107,-0.022581477401740473,0.03320439856300512,-0.02693713883624606,-0.022834479095074592,0.11566644814755753,-0.02899166583291682,-0.05679071233907293,-0.025965329463546932,0.06876071164102056,-0.04341413762215497
WNT6,0.2714098004713504,0.06303136949196367,0.03153105088931904,-0.009710569148084885,-0.0155369340669935,0.05905006928220623,-0.030362016162220666,,0.049351274887729925,,0.03539188864827323,,-0.021983565285778287,0.07343649194077868,0.04668180401415884,0.01472867874147013,0.02995510685037472,0.011507315811936562
NRG4,-0.027037621058906877,-0.020936028568440092,-0.01956309979806763,-0.01061806047560573,-0.019020079479916182,-0.0355154044556507,-0.026210417415970036,-0.028217342021538565,-0.026343927274705956,,,-0.034906452103266,,,,-0.0010947167377694338,0.11051633403837367,-0.039931202200408536
PMCH,,0.07711797842632856,0.05894818367527708,,,,-0.019969577433305394,,,,,,,0.03199096540374976,0.11487647239397919,-0.03244863729675446,-0.011162657476179474,0.01432251111999913
COL9A1,0.11642450811982825,-0.011701957598248788,0.008893759587411218,-0.013647376906661884,0.20523084708844336,-0.02369892651509789,-0.02134862137110078,-0.020142534090581022,-0.030018278843943178,-0.016305795214184706,-0.023146847284774955,-0.06485750707091567,0.03682698010893064,0.09925135617059624,0.16355580848564819,0.0220560848595782,0.05945888329030216,0.09215721282596284
