,UKF248,UKF313,ZH1007inf,ZH8811Abulk,ZH881T1,ZH916T1
AANAT,-0.023102614961188005,,,-0.01750320050782655,,0.027183972854948883
RELN,-0.013945319449160805,,,,-0.017243087171965647,
IL15,0.01254077944291896,0.008923458354742293,0.060829374048057556,0.03411160242675554,-0.03482199525965005,0.056092063555227216
UTS2,,,0.055164564970842496,-0.014905256249447019,,
BSG,0.0121732599139159,0.021833355621351722,0.07521644895262546,-0.04918841880432923,-0.013619112491935637,0.08659873793703228
ADAMTS3,0.003867534704733827,0.0016041810365023722,0.050296743025975275,-0.025445849880179627,-0.00862264615467054,0.010433061103042499
CD34,0.08985154168517087,0.11614524441750064,0.09724823295962796,0.0630049009060689,0.12020701822222912,0.05946241608911842
CCL23,,,-0.044396159577914165,,,
PLAT,0.14325739961769457,0.019652342173400107,0.044814656550254295,0.03691467474186037,0.004957226710297816,-0.002938427088509686
NTF3,,-0.03373758111946432,,-0.01807322746058944,-0.07165234925700337,
LTA,,,,,,0.0107555587925626
CKLF,0.025104440805221794,0.03740670369002525,0.03249094962722781,0.0334222175066149,-0.011249812185494017,0.05300252442234385
APELA,,0.03213500783476886,,,,
CD24,0.032948409608282846,0.12476092519787016,-0.033992931063022265,0.017260836972682277,-0.03464861821327583,-0.02403237173823741
HSP90AA1,0.021801619342652182,-0.06685492164916494,0.0370236859506479,-0.10774161031563248,-0.037386868281992044,-0.10601127924056378
BMP4,0.07707357143762136,-0.022870410762833717,0.08996889089459223,0.042339974838909514,0.0671405640339091,0.05385524242862194
SCGB3A1,0.02817204421456724,0.12729891034484636,-0.054788427538460784,-0.0017359370440483666,-0.029645417090967862,0.010773416089263108
IGFBP4,0.12234879826893162,0.07671371915225735,0.075386955462932,0.08630061337635703,0.15075079774248623,0.051611177536151416
RSPO4,,,,,-0.01996492677116565,0.032074820358729834
LEFTY2,0.14279946862765291,-0.038709366837654975,0.11646162763583556,-0.01693666615397823,0.029281429164382207,-0.016216864002916987
PF4,0.08734572584882531,,,,,0.008179638039725995
ANGPTL2,0.10902554932202387,-0.07452284765836338,0.06461996409309004,0.006062164630677105,0.013993980358430412,0.05113776904742926
LRIG2,-0.06428198143045581,0.06883484860767991,0.028578190987096817,-0.05460770836117239,-0.011480778537024667,0.046246403957835136
ICOSLG,-0.019080212943223863,0.03283478139094214,0.017530588351959635,0.03069474779239292,-0.028284358659922442,0.031117212957196567
WIF1,-0.029721642406038536,,,,-0.018559333274660205,
NPPC,-0.04218260341734093,,-0.039225530686484746,0.014538825369862457,-0.04737255049857145,
LYZ,0.05799325605877915,0.0990640956784641,0.061961959501381086,-0.023571655197644155,0.0323097026279645,-0.013536344379128961
EREG,,-0.008608884463138919,,-0.04049821134092019,-0.024866652903559307,-0.03729530778486212
SPTAN1,0.019199667763372,0.0607460975704691,0.068459574434159,-0.02499327433001316,-0.019808036815625638,0.06665120415388444
PTH2,,,,,0.0036245000492096334,
LIPC,0.04556663292980239,-0.019156271820295088,-0.041594660006052296,,,-0.01761882854494073
COL8A1,0.005916330676858406,-0.056205146311310385,-0.041956365812669226,0.04029478652180561,-0.002861757062207727,0.0023738686574795893
GSTM2,0.03398522579057807,-0.0178616573722288,0.002446460439394677,-0.026438840788462068,-0.0059665908209974566,0.044970972005225235
SPX,0.008791793839520421,,0.01289818194387889,-0.020116142481888807,-0.034209002245322334,0.03235010646583573
MFGE8,0.11106931586860413,0.03894519236573708,0.11144037793150478,-0.028270079319940657,0.1158914247374282,0.07243094468407012
TGFA,-0.03477717831724837,0.007535154303477801,-0.04384065059042788,-0.009518406398243877,-0.0024794164179836177,-0.0286222867404687
SLIT2,-0.010337813764022898,0.015128978609146991,-0.04379309627183458,0.018825842984478126,-0.00682226015330098,-0.00012080145636770666
PLTP,0.028765912327662187,0.076897667822036,0.016679908079510995,0.020046709331600972,0.10036538694271173,0.007593200251715424
APOD,-0.021280636118116432,0.08887222647847749,-0.06513374498490337,0.04541754506246631,0.12286362972010763,-0.05931870292456224
B2M,0.08173598458115347,0.05244175989862672,0.12507616574404926,0.07620684112124049,0.06116845650418428,-0.02461447737271244
OMG,-0.0037804903294718457,-0.028666296304518085,-0.045430722859840365,0.07312987470520939,0.014702920344117349,0.021957302802487165
CXCL3,-0.032256254466629705,0.05838245051154981,0.11347671636807115,-0.05445176418184335,-0.02172905006331911,-0.01498624814361714
CXCL10,0.040331992504815214,0.0396058380070257,-0.03774238486301532,0.02085705172527709,-0.0002156356026603433,0.04031962505649295
RSPO3,-0.021630085909665732,,,-0.04531765659920445,-0.026389619867967472,-0.0175992387179582
CORT,0.016692165839978925,,,-0.02275012689847601,0.03968960391347881,
NCAN,0.08486377212490069,,-0.07101668766913276,0.03148195067845616,-0.04290517423771641,-0.0038077254543992505
PRG4,0.004351315000131162,,,0.11620912176878384,-0.04760876120019891,-0.0290402838688322
ZG16B,0.1344501445421862,0.00263108676856693,,,,-0.02194435665331398
TGM2,0.027639641962015342,0.0640043556788407,0.029518712433557068,0.052303503409737,0.12165903432743859,-0.0026366264559975375
VEGFC,-0.018427249353672372,0.03588393621727428,-0.04381166325673837,-0.025676588945081635,0.01068559388919299,0.00889830589662249
WNT6,-0.0256922586593369,-0.0571007560688672,,0.1277875543326616,0.09119560630315279,-0.026502320734958156
NRG4,-0.01466612732640553,,,,-0.02636420380509951,-0.017599240690412975
PMCH,-0.016903501014919026,,,0.022995446055386976,0.08091677178933343,0.07469212331775067
COL9A1,0.08432740127340603,,0.020193351753347247,0.07660699815752914,0.0059630186052706795,0.07619182712157235
GDF11,0.021222956453802243,0.10928453180673346,0.06860363352315488,0.04214610174260036,0.056830567769321653,0.05690686370913716
RAET1E,,,,,,0.023763594895577504
IL24,,-0.03220121561066207,,-0.01511986812153059,,
SORBS1,0.11676517277151131,0.06002080072736515,0.0095376756688288,-0.014136589843020924,0.0030394021044980574,0.023533133848824706
DLL1,0.08559008591181443,0.04533457470002387,0.12004012716729244,0.08368744273607452,-0.049929068308558575,-0.008619060718995321
TLN1,0.08818377262928874,0.021559301815295303,0.09852423319846851,0.026418873325031227,0.07751702115934073,0.006423758441035007
COL2A1,-0.00982544347524627,,,-0.005763945032129515,-0.020368723741385243,0.09336878636494948
SHH,,,0.012250005525718956,-0.030969597787538067,0.04013695382658887,-0.015799609509160276
PON2,0.040243308771425054,0.05446484558647241,0.14392960231766866,0.0582106988498075,0.04257276201804086,0.04544830947031525
ICAM5,0.0370809109458717,-0.030482407097788933,,-0.042264190384821716,-0.0038351672609408466,0.0412276208798773
HPX,0.04847724370097574,0.00864401447658151,0.1819860498069519,-0.015920170872948506,0.046233318960200845,-0.04061447196298622
SFRP2,-0.0211703693544796,0.04065210900927504,0.08802676932609198,-0.0064146125880514835,0.022143218109315663,0.059852575381906394
CD70,0.03443100259379209,0.1238646651855923,,-0.05043301312234941,0.002437998270144009,0.12713995112553736
HP,0.024330714901599125,,-0.01943776633558187,0.03078251731927932,0.009438981264114221,0.08097974148237652
CXCL2,-0.02440513237922121,0.058840389489994364,-0.003881203431871423,-0.05108076153586899,-0.00631819497013467,0.035005618172270034
NPPB,-0.020542888821123227,,,-0.01584006242751601,-0.02268721210646509,-0.017852469649109186
CCK,0.021810204992451773,,-0.0415946935786371,0.034961118954409155,0.052031596829564195,-0.02315947250560787
SEMA6A,-0.006891268922627635,0.06800716077836534,-0.056534895683361806,-0.017482752099250463,0.012134218404573058,0.038225768696904555
IRAK4,-0.0009099216725331985,-0.013304663207854117,0.0245886026345981,-0.004915506226661439,0.09940770932879045,0.1065900922353673
GSTP1,-0.0015133089882413953,0.05643018552598274,-0.07618045711010148,0.043615151056353,-0.011832316625078634,0.023585656363692867
VCAM1,0.06712162813962193,-0.001977441239708653,0.04015155717734103,-0.05293296770537984,0.027862608591688584,0.034459016594044864
NXPH3,0.082287395707109,0.013322538194429277,-0.022233388528394186,-0.025090979994701827,0.03629318390546205,0.05444051897399427
MTMR4,-0.026805040174911757,0.027382889901842945,0.07359082807646487,-0.0311732984880898,-0.02648491154709611,0.04511474698990126
LAMC2,0.0698087231957762,0.07220086356679292,,0.004251515392144139,-0.01473399479699744,-0.00954730872810252
IL10,0.03976588595218069,0.01245690978266159,-0.054518815276717175,-0.03538097998469552,-0.003781941233420782,-0.023216056786703618
SEMA4D,0.0715819837793991,0.04373176402329472,-0.005429859558245519,0.0007138209132066855,-0.05062957272756355,0.027831615348640742
TRH,-0.004040454824542004,,-0.061813340738832066,0.010617933391414883,0.030843940594422678,0.06180794577305314
SEMA6D,-0.024151801424636,-0.025781048890241312,0.045509365318845134,4.033116591406802e-05,-0.06587112886225632,0.05118720599724695
CEL,,,,0.053118796296457736,-0.007067539690192544,-0.01922550773066329
PDCD1LG2,0.01807214578350188,0.07012188162726773,0.01987228986035015,0.05760276642065414,-0.030675671761526035,-0.0033061971354454815
SPINT1,0.06308624409877596,0.051739585019132193,-0.00010882969123977782,-0.004682143231923942,0.0427926830081665,-0.03277170305748122
CTHRC1,0.08827446469480234,-0.031920918126700275,0.08888016049216278,0.06372968382393923,0.11284626300999022,0.04260066108179331
PODXL,0.07854965293900985,0.03691546533647864,0.13520326248131656,0.03736481655918984,0.12728424533436386,0.024458599714871937
JAM3,-0.007607409026683015,0.03210237013265605,-0.07774517391458692,-0.02956144471711245,-0.04910519848842522,0.005580222533034701
TGFB2,0.03320859162349568,0.14898170718859471,0.14540960142902734,-0.0007099782447862898,-0.003622420309788346,-0.025640513033272114
COL18A1,0.13840500507971332,0.0747451376429831,0.13747750388067706,0.10264920331812513,0.16388477152010397,0.03897794108037349
NODAL,-0.011015806249726834,,0.03062692128119456,0.017427122835641424,0.13821008157264975,0.06491012454517564
INHBB,-0.002693112858838904,0.055903808488576144,-0.019640898019081733,-0.01855530813217815,0.00324153093257873,0.01940843719956502
LCN1,0.06834320779407499,,0.10224472108109375,-0.02404161893985934,,-0.020221006365665248
ARF4,0.045665410408595224,0.030520838837044116,0.06395185605721884,0.08753282665643121,-0.03769145659452697,-0.04330541943086762
CXCL14,-0.01771603092214092,-0.064100381748483,0.06691865078548889,-0.07525257347760388,0.039741384332693384,0.021963154749371747
LIF,0.06553340001509664,0.1260897790320781,-0.05874016844299415,-0.051959503558125036,0.05531212924057015,-0.016215182725073992
IL17B,,0.09513131574462619,0.08495281185933647,-0.020921294758414224,0.015532507698154736,0.07827223711252676
MMP1,-0.02222962873889561,-0.07764477205733981,0.1200775582214704,0.017997132580723166,0.0338462968013988,0.06873431857717555
MATN1,-0.021170372239450598,-0.0322012202520911,,-0.030251301156968027,-0.003734714630034641,-0.024319364159197217
ADAM28,0.028267273072510996,-0.035289825546483834,0.0836195501982648,0.052842588354148574,-0.055632030372545736,0.019369959477181904
TCN2,0.10800047903057503,-0.0213834547605715,0.06913607986939761,0.09773401217613403,0.10055384876895647,-0.0024251572846834195
THPO,-0.027585871594183395,,,,0.020175850710551554,-0.026326547182805096
CUBN,0.0496378271720652,0.026140357102422095,0.05136728682026276,0.09079671042550576,0.08071583144062934,0.07219177470752752
TIMP3,-0.0033031425561025314,-0.05928712077461241,0.03700669901917931,0.08019245203661331,0.1610323799200502,0.012606120532551708
PIGF,0.06522210399484404,0.056634324619998594,0.058511224313957166,0.05763781059354375,0.021633038625689674,0.049786713831210735
CRH,0.14324463860360198,,,-0.005111200849902808,0.03327167747668148,0.09823468737262799
BDNF,-0.0038760128620879864,0.08519893066509773,-0.04908134923122694,-0.03343532161330576,-0.03968266562179225,-0.033594010152595215
CCL5,0.055234553165029135,0.03551017384767004,0.006540447586797958,0.05447350872149655,0.022830449013022815,0.05089121054448936
GAD1,0.02330238116405807,-0.0068092171292344125,0.015108930217807487,-0.018134903017416194,-0.04185900683808883,0.0019301578973566678
COL14A1,-0.019952255169996335,-0.08041689460799689,0.016574788426901844,-0.025769963941861596,0.056125081111537654,0.013614292607476621
HLA-A,0.07988876539067435,0.02019112510886475,0.032469221793966045,-0.07168850471076585,-0.0160670251982895,-0.003370823271077292
CD5L,0.017180818540093328,,,,,
FGF18,0.06369772688824299,0.015018169767598536,,-0.024733981732530115,-0.02623111587774274,-0.019995964824193215
ADM,-0.04978848828895156,0.021454010662007618,0.0811489713801227,-0.10356865434472173,-0.004233994442142536,-0.0285278149057616
CCL15,-0.03151831192376959,,-0.004123435987395268,,,0.02920889841313058
GNAI2,0.08671524570962492,-0.025271864997938067,0.10647705604635327,-0.025746616258491527,0.08564042382435759,-0.004218378522288201
HDC,,,,,,0.004358122271274589
COL11A1,0.029054189862405582,-0.04479294603767943,0.014290420668816844,-0.02232687754530364,0.08954345508115677,0.01223444244923126
NUCB2,-0.029203186015869777,-0.012840667586394959,0.1053100251175875,0.04251050958212433,0.0018622173828045853,0.03141549909006804
CXCL1,-0.03226173305623601,0.10534970556835681,0.06111914024981786,-0.06604215902625864,-0.04329962872529763,0.08545457465727524
VCAN,-0.033084742747896585,0.031045828668016466,-0.04412936562964808,0.039033549966420944,0.004230383972546726,-0.06737481551437928
MMP7,0.03828022462340093,0.03490855858814651,-0.00327301407354674,-0.011982900605918027,0.013318841164196054,-0.001754089146920812
PTPN6,0.05271183429855262,0.05611130178654037,0.019059445683032635,0.010033033393798773,0.018410844322617213,0.020535503984795096
PTGS2,-0.01718444562111962,0.028201994652926603,0.04295914855077761,-0.07441024875177284,0.03190904163589778,-0.005443094515705566
XCL1,-0.020701388195574703,0.04776963934655768,,,,
CD58,0.0710847761503896,0.06941283783133745,0.03502079836085654,0.022729371643304665,-0.026138851420580374,-0.008630718218196283
TNFSF14,0.04473953659006508,,-0.03699141137953018,-0.019785884449158155,-0.021918284161834008,-0.04159560727630332
CNTN4,-0.00648209589088302,,0.017298564833370552,0.1113070731109431,-0.019759652644990487,-0.029509340096794495
INSL3,7.337655917764087e-05,,,-0.02200437117320517,0.029689289740511656,0.04578299618325793
BTLA,,,,,,0.06959835387644803
MFNG,0.045524965874332024,0.03536232607011352,0.06917737355322184,0.011749113550692223,-0.029392511222008297,0.016534296105106826
ICAM1,0.00028081780467973543,-0.019003835780634474,0.029875545804131615,-0.0534618640575447,0.0007606542711649465,0.01542003165574701
PROS1,0.034742031106044236,0.033812220189927196,-0.029371942059441106,-0.014191252985588784,0.030328967471552667,-0.011066612847029715
CLCF1,0.045588674581606724,0.0792886055648587,0.05840511280173274,0.0107711415665207,0.05281313363149198,-0.007599671484729773
PSAP,0.04156619422778372,-0.012758577197358841,0.013742738878829605,-0.05698089637698905,0.0006644401605537372,0.02621406717801843
EFEMP1,0.039497334982010086,0.049525304133473905,0.12919747256889075,-0.050646227560723484,-0.024540337384993127,-0.02257284560519378
C1QTNF1,0.035267433748090334,0.0036410672158922273,0.04812798694833922,-0.027582419109915143,0.01478719752916211,-0.04924693010884017
ALB,-0.004822292580372205,-0.030482417119221242,0.01555962221651557,-0.004542272301282581,-0.036690660376035515,0.03393135011614062
CCL13,,0.05965159469578497,,-0.014687675258134608,-0.024585907845986868,
EFNA3,-0.01799498442123385,0.07211931927674618,0.03756283873854732,0.01120209128489022,0.013843956850728513,0.04388160920610277
DRAXIN,-0.00358518549813435,0.011742899452382606,0.026988596073050517,-0.07065237302625026,-0.08393594887851012,0.06599365723268463
RAET1L,-0.014446441572346896,,,,0.016040250800664575,
NPTX2,0.03518412883389488,0.09779795497586616,0.12028279042849876,0.11151302197524357,-0.0144689352624441,0.008217792110176588
FGF11,-0.024784813896683598,0.005287587787340337,-0.01781053005385311,-0.0224166923806561,-0.035250714248052456,0.014114665267496315
CD59,0.09248603104473835,-0.07367713139363974,0.1253353013481424,0.03656786049423213,0.10733674323854311,0.003860452224238642
COL9A2,0.03598519525239142,-0.02577727071926061,-0.020036489130899053,0.07653046338655042,0.015581182477239447,0.0787877740477661
DLL3,0.030355352066379914,-0.008096064735486932,-0.09798211160419591,0.04412289142922822,-0.05779691666617777,-0.022240542918517882
FGF5,,0.005870427246454367,,,,-0.03617616597883566
LIN7C,0.007438427866954653,0.010652078139153663,0.037476963476937464,-0.01046521839651817,-0.04842265823261126,-0.011014197094634996
GDF7,-0.03406828816511592,,,,0.12470792403661148,0.004438255206955684
PSPN,-0.014160298845433706,0.030269710201340193,0.0396245680960991,-0.017327397301581747,0.024616628016181957,0.02897906857478127
ANGPT1,0.09075964038815618,0.07125814145398462,-0.07634645246283465,0.07782982461729789,0.02739426437067106,-0.015158928559065555
PNOC,-0.03313987507923021,-0.030482417119221242,,,-0.02112430337052345,0.05830246564937692
L1CAM,0.035916122374460416,0.12335846210707994,0.08034872719112124,-0.1005449032838203,-0.02931844825097007,0.04100623600096747
APOA1,-0.01133704291194269,0.06964447060704387,-0.018482866207126532,0.02660288078737583,-0.0014454513294037683,0.04582198878622108
PSEN1,0.0023481321597906926,0.00046791359914893595,0.047324908121380516,0.01681541316429794,0.006194634975816964,-0.020461038517898298
CALM2,0.00013162860467380802,0.00790250135154818,-0.09389265477844362,0.018577790363161786,-0.0725281064867127,0.016836894062585258
CLEC2B,0.07420749921642762,-0.020422241415639503,0.19994895176999092,0.029445940902707336,0.058528057150898406,0.06126320205893158
NTNG1,0.04876289617373125,-0.0415774463829061,0.018763267744406745,-0.02216901068138885,0.018504346273546805,-0.01769894825659287
LRIG1,0.006417857576948905,-0.014688323524984241,-0.02896647147027679,0.057866616070123306,0.03367058683688529,0.04554800276433857
CPAMD8,-0.017514469288687454,,-0.04329492988669,,,0.1569656492843619
GHRL,-0.029225336817164726,,0.09942131579306689,,-0.01927393352731592,0.04095527753786127
NPY,0.04389495089736,,-0.05055910253701972,-0.027898099215582787,0.017024498837033913,0.09505687885759723
MMP2,0.10006739125187272,-0.06936663001369207,0.1579508263357284,0.007708343136815198,0.08214146891197878,0.0210426387913712
PPY,0.10375309147446586,-0.028194876553588606,,-0.04476451306703567,0.021932677403956477,-0.00823005761523668
ALKAL2,-0.0014824591966668887,0.05440421303170447,-0.06920912456790235,-0.004770799467915894,0.025963110824113417,0.042440543468299306
CSF1,-0.0027746940718896417,0.05870021234992894,0.07493868795473842,-0.015241373605736339,-0.010743121659612729,-0.020323694313436325
SEMA4C,0.11688800445403234,0.04212583778244566,0.05774044320470043,-0.020431561974019907,0.011136999203749916,0.03613772793965831
BMP8A,,,,,,-0.021313146731331577
ICAM2,0.054400995511197786,0.007890359479118514,0.07279716185793508,0.08372401484316547,0.13714716107459682,0.04815876626239698
SYTL3,-0.025649019766160984,0.0335101826206102,0.01708686307364141,-0.037515043751784244,-0.026823419657661576,0.027687800318804277
IL1A,-0.03676957901721305,,0.05254668833677055,0.008288169043482771,0.05357426105654171,0.02620291974900766
HLA-G,-0.00666586572925349,,,-0.03239823324055587,-0.0071366745666722456,
PGF,0.11748105901754191,0.043073746676440795,0.10774277676559352,0.10707481156914109,0.05085209197050848,0.07099954918881156
LGALS8,-0.040855231990606956,-0.026425232155575646,-4.290868197052381e-06,0.008670063647945814,0.0319144676478319,0.035467099408220855
DKK3,0.019626279463059126,-0.08097445185955043,0.06635900193651832,0.04223096484700642,0.07376523905467094,0.010715200556167544
COL16A1,0.07233612204764724,0.11379101657970239,0.04678251190088875,0.05550217344788491,0.03986984641795693,0.02878217013178651
TPH1,-0.016322189618659225,,,-0.0234807653427843,-0.033921738906368515,-0.024898618197919463
TNC,0.03812771472664028,-0.07634563896608218,0.072036208464544,-0.10683446234792246,-0.013245388662434155,0.00040168412413712606
TNFSF9,0.01881101610901016,0.05459617369757673,,-0.023173953263066194,0.08348084831613205,-0.021160686813260672
C4A,,0.07217415795131393,,-0.016352021544438305,-0.01800620707957743,-0.028701409280781093
CNTN2,-0.007113910518390094,-0.03540290947111601,0.053836127549120004,0.036005395138914625,-0.026374400183737448,0.07189680526012424
F7,0.005459181604009816,-0.03048242139666487,,-0.020602603041403714,-0.017818285666126456,
LUM,0.12180575490771185,-0.09727375377200227,0.1282334651869468,0.09366593834862467,0.15905850315485803,0.004416688216991012
BTC,-0.014446435554939683,,,0.0142603783962576,0.07071986926023098,0.02978686788901598
APOC1,0.04610820750202304,0.03941861062306665,0.021651355697203074,0.0642788451511938,-0.09739716028118359,0.04829383873515834
PKM,-0.027866492204320827,0.0017620331286111533,0.010841336190614293,-0.1288060484215,-0.02606384061554293,-0.03882440188145728
TNF,-0.009692491928862618,0.0012459304924123684,0.020237407330330668,-0.014467024966478914,,-0.0009884956067336148
GNAS,-0.059591159865497054,-0.129128513340456,0.08239417186820736,-0.056908546801733476,-0.06494109040564411,0.011989119979469881
BMP8B,0.039586509937793925,-0.04842005115604341,0.09232238698117932,-0.014523269296847344,0.012123521505630185,0.04234066072168757
LIPH,-0.01632218560026376,,,0.10499389154900578,-0.0003859673217241014,0.00836084863285327
CCL28,-0.0229591844102312,,,,,-0.01654970452270636
PTPN11,-0.011430474334814884,-0.005224809066431933,0.029576270802727605,-0.01950775789515836,-0.04555779613092205,0.023712777656096286
ADAM12,0.07587522603392644,0.062456078300647325,0.0156648760688081,0.02671280177111751,0.06343088898381054,0.02190274790731783
EPO,0.040749948104156955,-0.02771579377412398,,-0.01595119630134695,-0.017047325365162867,-0.017599235348349496
EDN3,-0.016416640337520914,,,-0.04476288101827919,0.06055128906489113,-0.0061699125249482885
CCL22,,,,-0.018053318605968652,-0.014958285892047158,0.09826038596951057
CCL2,0.09652117004917742,0.015422977275585543,0.06343644805036285,-0.06407497817506864,0.04121914429627842,-0.0410178637855345
DSCAM,-0.003476779644924524,0.06701622526924156,-0.02707327094504949,0.0047466994156325154,-0.05200969985453545,0.02209934918157347
GPHA2,0.019591195667740785,,,,,
ANG,-0.04017463963853462,-0.009236571628879375,0.014699861920780951,-0.03916303703647809,0.005688303499606697,0.01056552303185223
FBLN2,-0.006455877743661091,0.07171471899805107,-0.059913388450409756,0.05740905079772825,0.18057454527873976,0.0013567441581672343
VTN,0.0028752558136981464,,0.042466095271763434,-0.018233308966104617,-0.022073985470638303,-0.02870141523953762
VEGFA,-0.06570119182967085,-0.017797960999641024,0.033221460083211335,-0.14945289802364176,-0.05491371193419424,-0.09313436740739586
F10,,-0.003805093751028851,-0.03982975304057103,,0.15111841393915112,0.0757110189413439
SERPINA1,0.08813501856215351,0.07038755743857565,0.05605743803315846,-0.0471321455119868,0.07640370422650164,-0.010719590399512797
VWF,0.1363432901685268,0.08847995906594397,0.10839688780505763,0.13499654275995362,0.12907197688514857,0.06132562628992142
GDNF,0.10815907389834456,-0.03276801187595864,,0.0031604898833051415,0.07407193581683778,
VASP,0.13606333990972158,0.02878521947052665,0.07206105384264763,-0.005134829121478934,0.0324687446635535,0.07733452813785215
ADAM15,0.04839294875247693,0.05512732054908952,0.03747754928389538,6.7854036386471e-05,0.05488961636623006,0.04578708127849065
WNT2,0.007940942642973677,,,-0.01978587548242384,-0.020469125223498415,0.04485274797148058
CALCB,,,,-0.017316259981994424,-0.026628663767835403,
OLFM2,0.047063356515766805,0.06399537912922514,-0.022796234900666575,-0.041584836544144306,-0.05443317736801776,0.00393771426968399
MFAP2,0.14096936230883686,0.10733899124803077,0.0965684633324329,0.05289896350330138,0.12267809306527094,0.1275334104600791
HLA-C,0.06380872497573753,0.1285854699816124,-0.02420667703361989,-0.07636838944791711,0.02212469667816389,0.08174813861034033
THBS1,0.045901956165460764,-0.021309168520777244,0.04493967220932175,-0.0032403771018441278,0.06033061103522162,-0.04988643773232681
HSPA4,-0.0022557616200427916,0.02169251743496575,0.028472785400036133,0.010555823074629246,0.029590948065942903,-0.0050364350473635555
