,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
PCSK1N,0.3693222984666695,0.07713338983622954,0.04728830643628743,0.00039734562603416603,0.029636118622485184,0.0921611634605602,0.2218113086938398,-0.044554350715969915,0.1204047479191585,0.4877524629727224,0.3203651028839574,0.0038059848446072566,-0.03239093188493333,0.027033020240537043,-0.04360032268497671,0.2687016769837992,0.3008488321430107
NTS,,,,,-0.04973198468706445,0.009527118217344937,-0.041351999658928704,-0.045838706785724874,-0.008725155181129013,-0.0801037009213225,,,-0.050899577937542254,,-0.03705438031096182,,
SFRP1,0.11197175594132894,0.0474569894291547,-0.03606643669412039,0.001307560808717609,0.14797518433046478,-0.07858972491603645,-0.01526735181910001,-0.01790050754289212,-0.0010362756682183668,-0.10379606768351764,-0.014665336246747446,-0.034932466869423244,-0.027613207361193236,0.009227593244457296,0.047045948997061604,0.07220293004403194,-0.014659164767756092
CXCL13,,,0.025880139766144235,,0.06705365719458845,,,,,,,,-0.035909526313441305,,,-0.05849294095035554,
MICA,-0.11823592033894449,-0.044238557492328676,-0.033673180489212584,-0.06263309361255809,0.03693898977020097,0.0010523535264558902,-0.15763788453782146,-0.01230736795459566,0.025022727202490515,-0.09505903139089239,-0.13624996497309638,-0.022545071634399016,-0.013603988476452443,0.06766966788826148,0.09906304851268652,-0.06707363885941423,0.03760641753084229
TG,0.03553026522500873,0.010158390715522892,0.00970563165067084,0.03022876444909967,0.019229260592778713,0.008610008129599925,-0.049351632975383954,0.005195978169326836,0.013358190829151758,,-0.04950234137883397,,-0.01811791643104184,,-0.004317170322523661,0.07767523545050743,
ADA,0.06761841274935348,-4.973660455041052e-05,-0.03622581693368046,0.0014526295376504524,0.03949103000499979,-0.05010784644391997,-0.26346867750929165,-0.009309775114391298,0.014630621057071665,-0.22771863341532503,-0.08942003021726024,0.03406029979477774,-0.025370038244259537,-0.045955361053564965,0.18775795559654518,-0.05446240784507558,0.1974331661973029
LAMC3,0.021293707686489693,0.043297432026334466,0.04887804647279303,-0.005769160899483749,0.08477643567474923,-0.06084011633059769,-0.19096078221071788,-0.04139646667658678,-0.058720585761145645,-0.025266140360845523,0.03611891113534698,-0.037415654269315764,-0.04978803761233181,-0.023316340865508715,0.124825589048625,0.01926138032762454,-0.03791694560414922
CCL7,,-0.022231464866878353,,-0.02596980121291852,-0.0012892554904299423,,,,,,,,,,-0.026220779343959593,-0.03046971940644143,
NGF,-0.035742006035740424,-0.010704849492814405,,-0.018075571678740757,0.07737809958100832,-0.04478716678471646,,,,0.18824879697994573,,,-0.007612355105369322,,0.09757221946084932,0.00392390689547439,
TNFSF15,-0.03127561507465741,,,0.055397398608023465,0.051657952394922754,-0.02435649690821918,,,,,,,-0.01367035843349061,,0.09035325429333688,-0.06742464660878014,
HMGB1,0.1316403491964878,0.09294184758790294,0.03126067910585648,0.07633136774312536,-0.02286248038069883,-0.056564026340823664,-0.31132476529713365,0.18836258136412493,-0.013983107394068137,-0.19083657486735348,-0.03827485523347239,0.023755919916183473,-0.093627598751811,-0.011304583752774693,-0.08653838002917791,0.06090405758120056,-0.024988199473507947
ITGB3BP,-0.2176189796632566,-0.03638770981663233,-0.02384497608988816,-0.010449881505638395,-0.01286452651089257,-0.1135882454507955,-0.25206391638083997,-0.05985200425032725,0.0016737870874574542,-0.04357216284049161,-0.1612790047258808,0.07763943553363678,-0.0293507008596558,-0.009884740991884928,0.08609873804883662,-0.04157175133073099,0.13072948539928897
AANAT,0.04225939140808734,0.05381104248691999,,0.017852566204209403,-0.004902979716528409,,-0.05119456302015647,0.017450309417612497,-0.02661913524266394,-0.02110329595417749,-0.02027892633656788,-0.01190157135383479,,,0.032818622271507995,0.04052377119252895,
RELN,0.037425116746636664,-0.01854781023170407,-0.012972020922737259,-0.011471254822622737,0.16002535546140015,0.07081079102906856,0.1895876212349909,0.10649049397803383,-0.016678750419735114,0.013882036094092642,0.12235762289803111,-0.036703772865707,0.07429034439004809,-0.04680369647146579,,0.09435436687985596,0.013079581714257932
IL15,-0.0628541602400101,-0.027113537525851408,0.006088499582633349,-0.034405640489471014,-0.07037133861314603,0.07065947271790944,-0.11586978663157559,-0.041997375190180236,-0.013124733201156324,0.0071508887916056,-0.032509083842197896,0.004884377160080888,0.01467345819286975,-0.008799044080834869,0.0737710633123306,-0.09613202531134668,
UTS2,,,,,,,-0.1258787535806805,,,,,,,,,,
BSG,-0.19473702589641362,0.11902815106022584,-0.059114126307939205,0.005349974720116652,-0.08978222440601902,0.0269496680631633,0.17815424319982978,-0.1529969141648044,-0.002592626368858088,0.33097370167319756,-0.21946485949004788,-0.012814074042309019,-0.034411560730620065,0.03939055245139216,0.030425044792328947,-0.026265771839765105,0.1112858812116576
ADAMTS3,-0.09479370229309554,-0.02483240930786213,0.031350252744472805,-0.012665985098059069,-0.011743171180415648,0.07085722265377642,-0.34440917828898954,-0.018800883109265743,-0.008257064950266103,0.08691752849703842,0.0047308512553274,-0.02131738553919819,-0.042144045229643705,-0.04268366700330049,0.036763230674323584,0.09045335857767077,
CD34,0.15983868974306611,0.017647990962421502,-0.0019457338431193285,-0.04462783303494223,0.09658388437338426,-0.0036370382022289107,-0.19429322452731218,0.05030026473864864,0.0031987280176698375,-0.007536336573891084,0.010529606030892206,-0.027132764815790866,-0.04378415588371114,-0.0071559530242064654,0.12070632800113837,0.039418466288923905,-0.026697652575234196
CCL23,,,,,,,-0.058251286114944616,,,,,,,,,,
PLAT,-0.054756840750065254,0.055424424211743054,-0.048271211972914126,0.011861623419030543,-0.0017418988968373149,-0.16152193294459177,-0.3293351670204315,-0.23761007800760792,-0.024398705973241584,-0.031140343901028506,-0.14450180277745073,-0.012573653460732163,-0.12588621528619223,0.019909549685861498,0.06857350049837291,0.07827244267301083,-0.012793901388716632
NTF3,,,,,,,,,0.020287069000232708,,,,0.04949405808923176,,,,
LTA,,,-0.01994276761694383,-0.015666224710206456,,,,-0.041217915712386304,,,-0.0409984134311492,,,,0.05254710402063655,,
CKLF,-0.018448671922446955,0.029449938362535958,-0.00379017020306221,0.07482966028896589,-0.0658508741188387,-0.12261141077935182,-0.3834461501690023,-0.04746019765758628,-0.04334626269323286,-0.2247965964174546,-0.21123264544790368,-0.04561515555979658,0.039902077222268614,-0.10016925168955726,-0.010728969747462997,-0.011350657876917228,0.0340688903733973
CD24,-0.10614407712081896,0.020585330281516698,-0.07303349049259923,-0.09124141460902933,0.020106483218442227,-0.03861198919588391,-0.04263181899677219,0.15481409577573374,-0.1123201638445448,-0.02433464291128624,-0.005782324346648319,-0.023745264454290288,-0.03317471090432629,0.043810367752407584,-0.035028099706126865,0.06725140614400137,0.043598150843399686
HSP90AA1,0.1315878444674361,-0.03627479274777026,-0.008610531203533275,0.0640020132530124,0.23925857301648676,0.2081789371592894,0.4043877557230333,-0.07534116968802916,-0.020184770705534608,0.5198109189744363,0.3447351090874634,-0.0018179416938220807,0.03770316678030623,0.12937470964067804,-0.1412469224542491,0.1718421319958469,0.041460229220961174
BMP4,0.1688806722585146,0.04019690777685719,-0.005622484889610609,0.01902083858143095,-0.00871713360171617,-0.060094388067546994,0.06815407662218101,0.03522719967207832,-0.02522267316673601,0.08828026050619946,0.02869470175528591,0.02797250192471362,-0.04737103153991248,,0.1395553757193231,-0.008917223737538763,
SCGB3A1,,-0.014886196563322662,,,-0.04512596724571774,0.029994154690193543,,,0.05657980763846135,-0.06934971014661483,0.04687861249204282,,0.025405172761993583,,0.06411969520231008,0.03557772004977448,
IGFBP4,-0.013504292798452302,-0.038248068619629164,0.0024978808391801,-0.05757164874801506,-0.08011615197152884,-0.16761229811301315,-0.19749979926164324,-0.1162406188174977,0.014161931686386168,-0.160875728180245,-0.1476202749040806,-0.01588862594278025,-0.06031970247853629,0.06716743682977853,0.1807157548110414,0.051551178788620936,0.1384270836891181
RSPO4,-0.043662524778041466,,0.0071435191047949246,-0.012761968106101694,-0.05208270166051828,,,-0.04384666384136083,-0.024780155933513917,,-0.05026216295016441,,-0.0191187973832188,,0.003027545705070762,-0.04029550162866313,
LEFTY2,-0.03315973785986906,0.041584694496826405,-0.020187695145669392,0.015589734729701137,-0.015137959869109941,-0.05702692100870887,-0.2545008049295454,-0.06153402931111494,-0.012620314191913748,0.019692718648071247,-0.035290200069288805,-0.05089540710692191,-0.02600030134160347,-0.006023038856791065,0.08075040026529079,0.020796386646035864,
PF4,,-0.011353491017444565,0.019064541980388816,-0.022658139922679846,,,,,,,,,,,0.028411891140783803,-0.06569560371756614,
ANGPTL2,-0.06100525349488282,-0.0030830961502411143,0.003837857572229041,0.053215681835695534,-0.05041491385019159,-0.20761207444950194,-0.2928284558653547,0.07888780186963257,0.004323487573108211,-0.2886960615590128,-0.2912667839361091,-0.005866380627733673,-0.04362485187715909,-0.006895032731456693,0.0642461724616426,0.0010223032979970897,-0.03204327042528323
LRIG2,-0.0875249828825989,-0.007015085042897783,0.04873961152926636,-0.012665627380296696,0.047072468367738554,-0.04345395305622687,-0.15810106685596667,0.011831424577150437,-0.0368712583924181,0.012896309545609068,-0.06906535897841612,0.024497634090532114,-0.054388543415974794,-0.056595432526464824,0.043486404398159886,0.027375560185252713,-0.1010659085263841
ICOSLG,-0.06799606621508114,0.042424595897020814,-0.020038517306119233,-0.014127533410063056,-0.045107387766701555,-0.0535264299859759,-0.17074451586236056,-0.044658835762064336,0.0030289249753877963,-0.13778884025424828,-0.14734855538151365,0.04801725395736164,-0.06374121319039133,0.06121852431284454,0.07070723056612596,-0.0718245965072247,-0.08069885919829065
WIF1,0.6075699341713383,0.04862036720923095,,,0.1327838341459933,0.2571060474817933,0.46227726364049776,0.08778092081805995,0.06197240534506291,0.31259115405900983,0.3566183861841549,,-0.017772774050858305,0.1052984672835792,,0.01680555275682289,0.22540096460250567
NPPC,0.009323393597873682,0.013162150967262318,,0.0949123530010886,0.11756868207227145,0.10196940528648836,0.08987804213349355,0.0893817069179138,0.008013213785903665,0.16008507393970683,-0.20533053808385132,-0.02784442967335106,0.06393662608123504,0.005925634180755385,,0.08990262014132165,0.1399013111415369
LYZ,-3.59074706174259e-05,-0.0778059959468118,-0.04238342382578658,-0.014593575828043178,-0.10633855327430287,-0.05789037908152811,-0.22028331716041874,0.0348252240899928,-0.028167818079436992,-0.3684977611277847,-0.06745506428312102,0.08819178812524506,0.04143666029423694,-0.07561202073358543,0.056494235316765756,0.021875322444282513,-0.09603173134012774
EREG,,,,,-0.05165589864291051,,,,,-0.06144906475297034,,,-0.023812784485070394,,-0.048452228363109986,-0.06162304623542223,
SPTAN1,0.2125891358666892,0.08544449806072404,0.024715535428008015,0.09748216054545505,0.13926455090447518,0.12370201381838358,0.22172181942118785,0.16223727763467155,-0.017177163824675476,0.46843085374163945,0.2794009999724461,-0.00018360400867741588,-0.027223802535475045,0.06085144199219389,0.0550313624824163,0.19704814296471485,0.26283288882856415
PTH2,,,,,,,,,,,,,-0.030405257112598914,,,,
LIPC,-0.01884285555179384,0.013713892870333158,-0.027302659287810793,-0.004655740879908624,0.0014205002575771095,0.07314726182091867,-0.08472983982535405,0.07862683047768443,,-0.005997743113155234,-0.019750506150471414,-0.005005691462363201,,,0.0058939535116590835,-0.03225818505409769,
COL8A1,-0.2507191749222257,-0.013613032809437094,0.04457057050016464,-0.004133409594682177,-0.09514149662781794,-0.17011429404154424,-0.11886967069365756,-0.05215720308191074,-0.013467599404075237,-0.24123307717882214,-0.18905202779900857,-0.05844023633546508,-0.0233057347189103,-0.03146987354008977,0.06664613089118097,-0.06058406735234459,
GSTM2,-0.058047195295676014,0.032107936493988236,0.012176054756385972,-0.03381480774119262,-0.014121956928814686,-0.0029902720529476853,-0.06540721673741864,-0.061765342082108085,0.03416863349331795,-0.02064515485648106,-0.09888839973994,0.04305415618208899,0.0013443851333934387,-0.05076690433543472,-0.012574414709290375,0.051771392767725716,
SPX,0.2417201336041661,-0.01377727937848171,-0.0024519330575942648,0.0020394314683878562,0.25072148642264286,0.055168505191119536,0.20538666943552278,0.15762196913278823,-0.03890416448459535,0.08021578567116706,0.3014930662897079,-0.04919342285889405,0.11656398631801257,0.053460975192452784,-0.027551253689599948,0.015900879757383142,-0.01932856526001353
MFGE8,-0.2223059017733097,-0.08575683459246017,0.03997704765105748,-0.04894554919796042,0.0987254219689196,-0.0871746798450846,-0.0758968718653846,-0.07708037231749995,-0.042222832767513416,0.14294770008176644,-0.12400098325571338,-0.05069653173255741,-0.0014549454267915468,0.0193548454179362,0.16782532468290814,-0.006214440563856403,0.05831924745996554
TGFA,-0.2846776111008775,0.10824284126144405,-0.03880458879452768,-0.024390606426552403,-0.088881456034731,-0.1280607713408276,-0.2299410260010315,-0.15476473468044863,-0.04906556690549974,-0.1603565046774615,-0.12028914702243795,-0.03459307861512956,-0.03474792728074829,-0.01694336597401295,0.00294209118012735,-0.03839104903805043,-0.12550010180973545
SLIT2,0.43812525225258697,-0.014593063836680537,-0.0399701176290488,0.10519528259228936,0.12201716740570716,0.1170997842025461,0.23298277246550517,0.09850819599992199,0.02228433826814843,0.2861542976393258,0.321539344632687,-0.028867318198301455,-0.015273901458230136,0.03965889523957975,0.05184599118340135,-0.0009547594163177771,0.2526313715812086
PLTP,-0.0723764405818451,-0.035427959932111605,-0.042365915244266784,-0.07189795937186708,-0.12094630408816431,-0.13085508485412245,-0.3948229219081293,0.08663972146614671,-0.11230356658934383,-0.45777329130768346,-0.0034927510053366414,-0.04108619303275675,-0.009470385708286979,-0.025938482596233093,0.027189797793478167,-0.07442602404706866,-0.046580918002751125
APOD,0.19662036015957268,0.058120397977800456,-0.012585125765544988,0.05255281910555126,-0.03517766327999823,-0.06896139979924971,-0.3595209960454668,0.09721417971793404,-0.07021230680185199,-0.35666274748336824,0.1721795119487021,0.04036756112231255,-0.07040761949126781,-0.030006980590951256,-0.02841362608453017,0.10661202743965299,-0.23963910737953725
B2M,0.10778694871784457,0.03655008107638672,0.02927094822096774,0.023532689523613474,-0.10338096343501944,-0.26133106156860403,-0.47469327229282693,0.037175393641515196,-0.11422861915194582,-0.5388996250252645,-0.34264998040290007,-0.07308877478962514,0.004992569710892627,-0.08658444365621541,0.1134831539261142,-0.0279468203704538,-0.2760236051127819
OMG,0.31596120822973695,0.11998679333757416,0.042951565070220646,0.07073794308100703,0.10922215501539657,-0.041142097525066056,-0.017434912830831928,0.15521856896861425,0.006317935441246917,-0.053890785124294696,0.21834543180333824,-0.010619127953453229,0.09424954570606993,0.022664040212855,0.012422300423685955,0.23396286033943026,-0.2210725378415
CXCL3,-0.12416610456903708,-0.03663865369341686,-0.02853973070473242,-0.060044719042025074,-0.1078164295508223,,-0.04753643092488499,-0.10542066347549664,-0.008859954070929302,-0.06002091994382764,-0.029526281925080618,0.07641067710382352,-0.0014731235294957684,-0.05177772035374582,0.02381027041065715,-0.11650244111185963,
CXCL10,0.038971296465474994,0.09902223762870578,0.051418656334617424,0.0362281967554213,0.02978701452075874,-0.008111511236898192,-0.3370272205231288,-0.035502533590539696,-0.011974724039532448,-0.07934760761959908,-0.046920835183487414,0.046369371962680914,-0.026124077263160465,,0.04797996414507212,-0.025230037503792234,
RSPO3,,0.03931391842166742,,0.22212962065951847,0.22584763976278835,0.13614608756373028,0.12600882835212546,0.11357147655454848,0.010914991011986647,0.196633948517698,0.1641139208236666,,-0.03259845519535077,-0.06490426182583366,-0.026608963810899756,0.13963113035736655,0.09889234197690508
CORT,0.11939236456967875,0.03169448974477969,0.03922848338808989,0.07652405565885673,0.16579636880546433,0.03540073369812048,0.21297086414775293,0.02619863134957054,-0.05506967442276789,-0.05574035533950208,0.08282708959002545,,-0.03179712419949277,0.03608695689469907,,,0.2661903930886111
NCAN,0.007934241873628787,0.11588364712890796,0.005188700014474332,-0.01496464618610527,0.24016789904060834,-0.12246839343610601,-0.16704685006790365,-0.06928309491097623,-0.022920567634364966,0.291952286057905,-0.2690947287441176,-0.01478064227882127,0.0703322139287885,-0.02010738407869156,-0.06994654545656097,0.1987855615742538,0.141957797232124
PRG4,-0.03317743605642482,-0.04451707898145591,,-0.025969805259926534,0.049174552693401735,,-0.0728224251125344,-0.006394487661793824,,,-0.036073888815776986,,-0.028358757681723405,,0.08159006055763345,-0.033433994288340194,
ZG16B,,0.009360846759916878,-0.021829333109427147,-0.010323020148627548,,,0.07496062604640673,0.028806845260174515,,,,,,,-0.03317851421866802,0.004257109609249698,
TGM2,-0.07286240467953191,-0.10554829542189469,0.017862148189119353,-0.027694159311148266,-0.016671875716101063,0.014166494699567348,-0.1462285800164107,-0.030991367162478304,0.010340341404955104,-0.05122344695508997,0.09010923806480259,0.010718448381170226,-0.06984845819204538,-0.030240139285957403,0.0885996373321362,-0.026067623995624026,-0.030081330058620757
VEGFC,-0.0479374186186463,-0.01309736917806812,0.09986571095611099,-1.2482646030597738e-05,0.04917979068380291,-0.01474903558277881,0.012138583715653944,0.03212173529172429,-0.017223490804610744,0.0135921382365892,-0.006028787279783795,-0.008403801372249522,-0.03263037110324223,,0.074843583075237,0.015661232344542905,
WNT6,-0.018789479309322555,-0.053963235066554996,-0.020187695675485423,-0.028031888316507134,0.03375883698032318,-0.021506809941440618,-0.038523378810017966,-0.023360683822935577,,,-0.009546038396721229,,-0.025373764296394513,,-0.029350988250573133,-0.030631586443167852,
NRG4,0.10042447398846414,-0.006285654967777262,,0.007161478353861621,0.01563578436107023,0.030170992283627886,-0.014326591380113864,-0.008104087835215984,-0.013431787390404055,0.1500331669345096,0.03366547291114271,-0.021890711165294247,-0.025246867994905987,,-0.026608966793129754,0.03479676599227593,
PMCH,,0.00545230964240878,,0.06444393890615453,,,,-0.009789560860307895,,,,,-0.014536104207922116,,0.03621590863971,0.003777766726436606,
COL9A1,-0.0022359678335700716,0.06470381701752184,-0.029227815194645054,-0.015645477788141616,-0.001467822957008372,-0.15711054014740783,-0.11213667522511842,0.04290749456187724,0.00036773614058211406,0.11677871842646324,-0.018472380017920897,0.018863450048405516,0.017904034050330316,,0.0523580227842163,-0.05990000681224147,-0.04724087029267104
GDF11,0.09067430863770971,0.05193464853209052,-0.029719833440969973,0.010789983279999318,0.04803059178288546,-0.15295772090349086,-0.21595218989810355,0.0020486995227485013,-0.013126284456931559,0.004047240814021041,-0.15252757081718576,-0.024323475384023352,-0.03275392536079884,0.004371311087869872,0.06776254121392844,-0.008196782662939649,-0.029758215542670847
RAET1E,,,,,,,,,,,,,,,0.032346969325314244,,
IL24,,,,,,,,,,,,,,,,-0.018338759045370568,
SORBS1,0.08351485993588968,0.023305434805052996,0.0236711799315522,0.02581182725850999,-0.03699653163982043,-0.0012233031708516588,-0.019874406830513325,0.06475147399078918,0.04522139030061126,-0.06846549769190645,0.047774399341559075,0.01218796977956679,-0.029806352925314444,0.028185035834109803,-0.047672456751365715,0.07178166714070768,0.05999105944569031
DLL1,0.20451738362385913,0.051184509804141846,-0.026606685204877172,0.07862566555367075,0.034418132844995196,-0.13460472738691465,-0.145961375124174,0.012418573827663803,0.01472975627340771,-0.09298079091873332,-0.14185651778124564,-0.04013007435725967,8.817885562425998e-05,-0.059782741323772724,0.08613408721937803,0.04929976614265888,0.06000381045043719
TLN1,-0.1817953170765101,-0.03206045429877393,0.006264753229237222,-0.006285227793268422,-0.17653824684262082,-0.12724897178045042,-0.3809935810395438,-0.042025481467350655,-0.05187894427401447,-0.38903295618442324,-0.30357007271995134,0.016439366519750653,-0.0037033814736193555,0.03456799820855295,0.09079784424994826,-0.09918950045444976,-0.08310882104979202
COL2A1,0.12563446263872227,0.12135785658190647,,,-0.009948366234728384,0.008546682804733365,-0.044769722190025084,,,,0.08414171921648564,,-0.01823522771524753,,0.1479975806422051,0.008800612651354442,
SHH,,,,0.015287293340015684,0.009969879002110184,0.04875712139139331,0.025002358555832684,-0.10802257982077233,0.014443820817729205,,0.21883364536539215,0.025589663044210544,0.009358573459430593,,-0.03407989571220751,-0.002756808052579144,
