,UKF275,ZH1007inf,ZH1019T1,ZH916T1
GNAI2,0.06932990488576708,-0.06368449028282057,0.017841953948163916,0.014300117807972152
HDC,,,0.018277618734888836,0.011877926063270577
COL11A1,-0.02102589664355989,0.04817671880537246,,-0.05724157674463327
NUCB2,-0.01658506542523262,0.027018446803315832,0.01345729102968276,0.0031419443755337445
CXCL1,0.024105319608615273,-0.02663998874129302,0.039142502444957386,-0.04362712673478272
VCAN,0.009375859337303147,-0.12057703985836786,0.06414989931670037,-0.04713146423038529
MMP7,-0.01014653335551743,0.050431324425847794,,-0.011512189412550776
PTPN6,0.013124182962059555,0.04882637706643446,-0.025562832044901194,0.05760577515549533
PTGS2,0.01944087198426701,0.11655738428298795,-0.073721513099321,0.01920971058547359
XCL1,-0.016665301388947333,,,
CD58,0.037541503918551,0.05393547368330884,-0.04110302468693506,0.011939935148593046
TNFSF14,-0.016655918278503035,0.013790009693192556,,0.08511381190644583
CNTN4,-0.02810851042661722,-0.029581015390476535,,-0.029509338446799635
INSL3,-0.011700020127453891,,,0.0836780493797012
BTLA,,,,0.06644769731970149
MFNG,-0.020015469208349693,-0.01516231688788054,-0.05601960033654514,0.005327567573376817
ICAM1,0.012573005355656195,0.03210326436721607,-0.04886515768516077,0.09740275444930178
PROS1,0.018761995585005953,0.0529283403520613,-0.07403972206007445,-0.0160262806614019
CLCF1,0.0051112050024165615,-0.01690131099319183,-0.08223279362695156,0.033733801293204566
PSAP,-0.06611057758738341,-0.044677477926978425,0.005877913961689276,0.021756636430236273
EFEMP1,-0.03500101580464349,-0.061264399613476926,-0.036546576183007086,-0.004534695934230143
C1QTNF1,0.018728706727098803,0.0029702084349208105,0.01063267532001725,0.05815636917071402
ALB,-0.012773353247693884,-0.0337120947261051,0.043898824675202966,0.004834239245066402
EFNA3,0.007081173581281765,-0.04044974235260275,0.07168698867098158,0.0474141063127688
DRAXIN,0.029238497297605075,-0.006380981430512831,0.01812046812538853,0.044305751789176076
NPTX2,-0.02271699518688941,0.03789465113669022,,0.024416899016966743
FGF11,0.03095626903611674,0.040824082192837154,0.01205072601304124,0.029722866854754185
CD59,-0.0853424786779147,0.024223324640006483,0.03874298089476337,0.003040232482643936
COL9A2,-0.031818330662195415,0.018423312602881676,-0.05391865470165597,0.039772330194100834
DLL3,-0.006626985135705212,0.029961625790263034,0.056368689370878834,-0.00293889807098883
FGF5,,,,-0.01585499304311324
LIN7C,0.053476081539902964,-0.02082329687287186,-0.023127109415525048,-0.007524737830239565
GDF7,0.0024450146096474607,,,0.019301006256542998
PSPN,-0.009067522342178077,0.02233332470954107,0.07701936380929726,0.047059290571549395
ANGPT1,-0.03053399786039912,0.08353698897370951,-0.020437418913909433,0.07628032609969732
PNOC,-0.032769322612456964,,,-0.02450788360948886
L1CAM,-0.029768102277212,-0.03872754263288906,0.039220862724238685,-0.0020178977068823272
APOA1,-0.015235461516399809,-0.01899592065111544,-0.047381319660056494,0.010826945765213305
PSEN1,0.01440712261637216,-0.019867447512650717,-0.00508832056080913,-0.0008143522413966163
CALM2,-0.03567028213371919,-0.00013306271472023765,0.0031120222256597195,0.009674057974185676
CLEC2B,-0.024953352890051784,0.01939193291259225,0.054184238431973855,-0.01432180716385461
NTNG1,0.010995530909604543,0.1137430484687328,-0.019328490089276344,0.02807429765203791
LRIG1,0.0341976537606617,0.004431785697038529,-0.16622356800117757,0.02990667368571731
CPAMD8,-0.012978023690282304,-0.026639985244352266,0.2076846419289346,-0.02488105018298038
GHRL,0.028384941651664893,-0.03589257800767988,0.03027616502764395,0.03860641129783152
NPY,-0.03522219174788583,-0.031109733843638108,,-0.02998515434845981
MMP2,-0.0001256377703384967,0.09750121985005003,0.062190589227428573,-0.021172336925580088
PPY,-0.009484823939769838,,,0.08557496843334042
ALKAL2,0.02675893437936675,0.14055084786160166,,0.015747751908028736
CSF1,-0.00479334686097126,-0.011886885371492696,0.0409707032386551,0.0076818186054439085
SEMA4C,0.004834450243643694,-0.027367351671447916,-0.04489994610432471,0.026326002965354138
BMP8A,,,,-0.021313145539621346
ICAM2,-0.03076217360030179,0.023235519162097838,0.050144484899675205,-0.0011994600752228152
SYTL3,-0.029087346472242415,-0.02946522682311941,-0.004353573978729771,-0.042507907216158505
IL1A,0.04408497019013886,0.1108306928630189,-0.07397253752044783,0.037818422032199525
HLA-G,,,-0.048475498697547456,
PGF,0.013299295748085025,0.04214621499189326,-0.0017234239443079946,0.05046173157879643
LGALS8,-0.05140865753811026,0.04056302134386542,0.03458094144368672,0.06154993112203845
DKK3,-0.02691936842273845,0.0025082379158738633,0.10182877763008655,0.04239251154444583
COL16A1,-0.017905497067413033,0.006628401702038775,-0.06377896346747569,0.002866576492236502
TPH1,0.02774411939179161,,-0.04645910724392386,-0.03286675956810003
TNC,0.06128215352535851,0.00921945779840466,0.061371966108107245,0.04036837791194572
TNFSF9,-0.019562761963557957,,0.014669746962071047,-0.03372962092306033
C4A,-0.011243783034103408,,,0.031017077804369225
CNTN2,0.013528168359829673,-0.0033382924747467446,0.11584542846869111,0.03374065556674713
LUM,-0.009718513919499948,0.019568281653728068,0.00253272797029066,-0.029878884205110468
BTC,,,0.17786835808339987,0.07441477121439195
APOC1,-0.0458445503539124,0.023576612418520333,-0.011916956909429144,0.018547956581653376
PKM,0.026559290854452706,0.014162200933226118,0.0022551123248856827,0.038498514738561494
TNF,-0.025651887218493402,-0.008559907286914118,0.0637144925586356,0.04777843965593166
GNAS,0.05423303779661698,0.02006125066808866,-0.05395668093063758,0.019660490291474587
