,UKF266,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1
MTMR4,0.06644283475291692,0.008969724818452136,0.08198099056744516,0.046677875935345545,-0.029589399641690866,0.05053369634836076
LAMC2,-0.020538420217810046,,,,-0.01804197144616912,-0.013623713125730803
IL10,,,-0.07306145574474794,-0.014107553671675408,0.08403941187840795,-0.03392583282964813
SEMA4D,0.08163197005670067,0.019830412527871263,-0.10186019380587616,0.0024351484746805395,-0.007447152586399261,0.0507024738665846
TRH,-0.028096953942322485,,0.006904210610432795,0.025671760180068098,0.0524401335542795,0.007485430417861468
SEMA6D,-0.0057053723515385416,-0.0002535034442073467,0.004469173341034733,0.004072879696106525,0.039910512425148904,0.027006728724214595
CEL,,,,,0.01827072147666532,0.008218614770142615
PDCD1LG2,0.16166431347364013,-0.054836440839474414,-0.009272242133449382,0.003736465362324472,0.01470507117502786,-0.007113591119202432
SPINT1,0.06228394064163599,0.035188984795796824,-0.028275543789412706,-0.0207068516945379,0.04511635515859071,0.007217300301758374
CTHRC1,-0.021488735915338154,0.03370572630619084,-0.06669887080506266,-0.031080057674846662,0.04747298669284363,0.08897741961446563
PODXL,-0.009081091854311552,-0.003829121998436468,-0.005703528736042539,-0.048292985621028614,0.07913695539088393,0.027506130579280107
JAM3,-0.0472862524878837,-0.022063679735602654,-0.1440538477006756,-0.04357877850253066,0.04570155934416968,0.024616959158733968
TGFB2,0.030008647579288582,-0.019412097970697654,-0.008381524671857762,0.050203431205286565,0.003976801882710112,0.026593603611343667
COL18A1,-0.036224348346425086,-0.01292268467859037,-0.054637102897280285,0.052946410710306896,0.042328340142557444,-0.002616196986467354
NODAL,0.07657861241323134,,,-0.021666606472219695,-0.021938144450488875,-0.015579737756642441
INHBB,0.030976776809597706,0.0075773488979845064,-0.03885843689235242,-0.0295097452191504,-0.006686706112374703,-0.08389943316568181
LCN1,,,,,0.049741458890630835,
ARF4,-0.03849089389342382,-0.02826111986998945,0.02633522966448137,-0.04274117115256092,0.010703099338695244,0.029905914115241607
CXCL14,0.04140541280312199,0.05854692700817167,0.016215360295709556,0.09919718042484872,0.016233444829823935,-0.03448187984597437
LIF,-0.018195925660628647,-0.014731967354885963,-0.03745263214980171,-0.026100659305191797,-0.011079476357083324,0.011355600648558738
IL17B,,,,,-0.020306180241776738,-0.00021038729915446173
MMP1,,,,,-0.032082183903711745,-0.014035572188501273
MATN1,-0.017566178806946987,,,-0.012832146633767924,0.0008840827120287969,-0.0016281611015935545
ADAM28,-0.015404476514656639,-0.026389299357912354,-0.07769242889896603,-0.018449638211340234,0.006434783795115664,0.007643417365729911
TCN2,0.0340474354982389,0.03576544480430779,-0.054935824411101807,0.03177648603144146,0.011451628100596493,0.04984994199963148
THPO,-0.02497987219673243,0.0030021388014900745,0.07933667364963343,-0.01283214810782893,,0.0038230645876448873
CUBN,-0.018871049713738215,-0.0017948658010224232,-0.028588863894103592,0.044453837087515095,0.016087515232612846,-0.03271600320286713
TIMP3,-0.024723703080661946,-0.019533595753791867,0.018695289481696024,0.020835199943306782,0.009800439460320942,-0.027586272928445676
PIGF,-0.006991629510089232,0.010850282348273755,-0.03771825063812874,0.015061429711374924,0.06312297435346699,-0.012925313151523137
CRH,-0.014803164489378953,0.02307632593083863,-0.03189359658546127,0.02178371355896236,0.019247807913832602,-0.01849550081137719
BDNF,0.02821947582931285,-0.0019587720346049397,0.11329439737460002,-0.014452294539967546,-0.0013425367595124593,-0.02615467047639338
CCL5,-0.00398670055438248,-0.038307393193304215,-0.014167073199280277,0.17869590444492917,-0.03791991096546018,-0.0017679336559015975
GAD1,-0.02034877334170305,0.06355075359775152,0.19482500224452562,0.14247413568542236,0.02534373451424305,0.08869380079213214
COL14A1,0.009657980665702278,0.03886240734126964,-0.047886108000467324,-0.01250676601790253,0.018166313591775847,-0.0029740598510440853
HLA-A,0.006834589098996258,0.0255527890243087,-0.218524087864335,-0.0778242948428834,0.008452274222162208,-0.03977051720658651
CD5L,,,-0.012027474486410025,,,
FGF18,0.015334633009954902,,,,-0.024006769034004054,0.06814343438540578
ADM,0.015988172643510563,-0.0029384103779240256,0.0839089200679055,-0.022907588554877328,-0.015563552113413292,0.024605246005934788
CCL15,,0.0005670431341517146,,,,
GNAI2,-0.025873609350731196,-0.018212871888308797,-0.14772026575288996,-0.08575204064193476,-0.02668081990380867,-0.03014755261076045
HDC,,0.011883944185946689,,,,
COL11A1,-0.03186822422356474,-0.011277199953888687,0.1550826616038829,0.019757948432185892,-0.017777596735671846,-0.0021836672628623268
NUCB2,-0.01087061517088187,0.014152440771656569,0.01390650595677408,0.052812840182591594,-0.03130323624746854,0.03825647727304968
CXCL1,,-0.01395040154928313,0.016769770096381684,-0.01740835499723456,0.08130405493385574,-0.021694855438847256
VCAN,-0.029601495605125507,-0.00011848937711592446,-0.028463246347921002,-0.08332195214721352,-0.0021492384294002505,0.044329516570076256
MMP7,-0.018195920553122497,0.004263283976019371,-0.022833016694769587,-0.01983339221887629,0.08809739213025927,-0.00639611730576859
PTPN6,-0.022974821000173166,-0.011217900436376388,-0.010936628990937728,-0.03914149765429248,0.0009470018042458343,0.024653558311323622
PTGS2,-0.04462125702859822,-0.029751952833240124,-0.007055736200458902,-0.0046100772138584,-0.021323720694721496,-0.01176341370900679
XCL1,,,-0.02995042119128668,,,
