,ZH1007nec,ZH916inf
SHH,0.006100497040845482,
PON2,0.04354012600706527,0.051691102898027926
ICAM5,,0.0483866312629887
HPX,0.08217280755591538,
SFRP2,-0.014560344002507568,-0.007027158283216635
HP,0.0022983520346426117,
CXCL2,0.02035369846881896,-0.04936500813146095
CCK,,0.07706851770763765
SEMA6A,0.05262432106195793,-0.06674566885132997
IRAK4,0.03164521297823066,-0.008362893604034485
GSTP1,0.08929973381370444,-0.07803126407795265
VCAM1,0.027702969601297128,0.045384123129171235
NXPH3,-0.011815544785437882,0.01143467233158022
MTMR4,-0.006997359055180087,0.03543442489632827
IL10,-0.047192271314419915,
SEMA4D,0.1309435281114299,-0.11796288059199156
TRH,-0.01912194756247424,
SEMA6D,-0.05785975565752148,0.0670446442641407
CEL,0.19905584679242547,
PDCD1LG2,0.08826188845843348,
SPINT1,-0.011676108593686771,
CTHRC1,0.12922507036668648,-0.051677270068055996
PODXL,0.006570957383541662,0.022490773954539904
JAM3,-0.07493900292676883,-0.07825644847303669
TGFB2,0.03945380809842754,0.06871585947027156
COL18A1,-0.03450753994978283,0.026450257903049022
NODAL,-0.021508933211745792,
INHBB,0.016856950071878245,-0.05317961662495618
ARF4,0.06473578054401283,0.0165297430975089
CXCL14,-0.05505254426686399,0.08554393720366041
LIF,0.09889078325396154,
IL17B,-0.031950048288336426,
MMP1,0.06789937629654537,
ADAM28,0.0005097879543159258,-0.025210574518550258
TCN2,0.09200177583437594,0.009133484237948278
THPO,0.032505685383945646,
CUBN,-0.07803599986009613,
TIMP3,0.05459624574345256,-0.05890484755728955
PIGF,0.1128857757609743,0.004024057468944406
CRH,,-0.05167723283805526
BDNF,0.042520017008805935,0.10442150805234993
CCL5,0.07485476384387345,
GAD1,0.08517727693538533,0.1448154378239059
COL14A1,0.02970685533508217,
HLA-A,0.02977128167302711,-0.04869940283500495
ADM,-0.07708128792832408,0.059395994633250515
GNAI2,-0.1418877009940151,-0.077240194794775
COL11A1,0.026785440536816876,0.08572539618028394
NUCB2,0.01812634391807791,0.015017037335591824
CXCL1,0.016674626696740046,-0.03151920248754388
VCAN,0.03214677796171608,0.048209108859079974
MMP7,-0.07383267174240667,
PTPN6,-0.049525064337689106,0.03580849603811886
PTGS2,0.05630980604309515,0.015295820095980189
CD58,-0.05106965614104728,0.010142768938394293
TNFSF14,0.08193141895013964,-0.03422649360899753
CNTN4,,0.11129593203683243
MFNG,0.09057553813120212,-0.019411808614851735
ICAM1,-0.04590117781611151,0.0008966891214821152
PROS1,-0.05010733357596638,0.09797361314293339
CLCF1,-0.09802417046570819,
PSAP,0.027254366429226313,0.03370317596464792
EFEMP1,0.027917221831499434,-0.1089007392801471
C1QTNF1,-0.0776628349424008,-0.03740383547570928
ALB,-0.05760970807130274,-0.05574233688447904
EFNA3,0.08683114884365555,0.22219311460332658
DRAXIN,-0.07166886202775077,-0.044486811839033635
NPTX2,-0.014190957889555298,0.07139166240031335
FGF11,-0.03396599275981592,-0.06984630560604352
CD59,0.05266290119889092,0.06760169206085481
COL9A2,0.09400863260540158,0.05046543450131539
DLL3,-0.00775126549200537,-0.04518207608626556
LIN7C,0.012450090419233265,-0.0018831348949895036
PSPN,0.054592266767217186,0.007467462884434195
ANGPT1,0.031545568534686576,0.05133435222865246
PNOC,,0.015067904909224342
L1CAM,-0.044374396955555284,0.05949150313200053
APOA1,-0.016754020671457717,-0.028591537650060735
PSEN1,0.08125902743875334,-0.09509916243224337
CALM2,0.11017548360967573,0.11731257544303664
CLEC2B,0.004658286301688145,0.01205711993788578
NTNG1,0.03155423185762112,0.21434599429686738
LRIG1,0.062833824091398,-0.053683272935154555
CPAMD8,,-0.02016272692999545
GHRL,0.08045217969218321,
NPY,0.02846083409244086,-0.01836615383771687
MMP2,0.014697724000209713,-0.06566641520445421
ALKAL2,-0.05263504219432404,-0.0059981066525318415
CSF1,-0.03354519529077237,-0.029080195594127643
SEMA4C,-0.006869419821229239,0.016552605398789666
ICAM2,-0.0019781782747401765,-0.03152641063488482
SYTL3,0.017075769724322218,
IL1A,-0.06875182546758561,0.1293956457986746
HLA-G,0.11584894355088254,
PGF,0.10381077721471035,-0.04936503341598731
LGALS8,0.0118091979980623,-0.017426739762527493
DKK3,0.030382699958761968,0.06950237235641474
COL16A1,0.058812756994911154,-0.05551111148081197
TPH1,0.019681417749619692,-0.02734292025544573
TNC,-0.020407988745715134,0.02011940643314347
TNFSF9,,0.1190729227958194
C4A,-0.009859268425832072,
CNTN2,-0.03335246813464134,-0.09578386980744803
LUM,-0.01660314402320016,
APOC1,0.018757192707283512,-0.09130799223790538
PKM,-0.021482179824273084,0.06795612619224596
TNF,-0.005206426572259358,0.030595755999468538
GNAS,-0.052306133964888694,0.041820486360781006
BMP8B,-0.0030181058652293483,-0.055168264709632764
LIPH,0.031390013829783764,
CCL28,-0.0419479277258697,
PTPN11,0.018844909094621342,0.028271447848945745
ADAM12,0.004414090828328312,
EDN3,,-0.0449083635266483
CCL2,0.027373733807762562,0.012970687529682572
DSCAM,-0.07836807365786694,0.07695446337276554
ANG,-0.043343622927921856,
FBLN2,-0.06485125743656837,-0.027973530379965472
VTN,0.01357098199178263,
VEGFA,-0.10801910657501046,0.042700448266120974
SERPINA1,-0.002927578521543212,-0.014971236987340071
VWF,0.023058451347611,-0.05231355171390336
GDNF,,-0.038690881673212996
VASP,-0.013478562328853543,0.010993285040070182
ADAM15,0.05990545704516964,-0.05244224315946196
WNT2,0.03225027013390921,
OLFM2,-0.028731736144813096,-0.02180082624601769
MFAP2,0.07564631996688032,
HLA-C,0.03891829399272055,0.056972309199833135
THBS1,0.013014334229988286,-0.06253518927703583
HSPA4,0.06936933656520178,-0.01260014556279816
LMAN1,-0.04872964291399115,0.031072090616277567
LYPD3,0.1278750307154344,
APOE,-0.04111241052737373,-0.15201440062412722
SOSTDC1,,-0.029197771185988222
ANXA1,-0.06822465606574031,-0.06939527628630665
WNT2B,-0.040254198133666146,-0.04737746593681032
GDF10,-0.0517969264679462,0.026694602270226176
EFNB3,-0.041905612840058434,0.101667107942558
LTB,0.0964036747281504,-0.03422641675305481
ANGPT2,0.04504298286010241,-0.06664319113767166
NRTN,,-0.04054387644211972
ADAM17,-0.09566135092508173,-0.05066369877209438
LRPAP1,0.05921783136816059,0.0709129225881804
NID1,-0.00041213703253076994,-0.07482591494163945
MST1,-0.007560007370057376,-0.04490830825835944
IL13,0.12534011907685233,
DCN,-0.04122094454528455,0.08510798696006373
IGFL2,,0.06810210518954346
COL7A1,0.002615412502798279,0.05509638451515171
CALR,-0.0013896605605361531,-0.019240367113029348
PIGA,-0.037207362641841685,0.019656443451035965
CD200,-0.06724702277731226,0.10048087888311567
CDH1,-0.05712729124340986,-0.04897213191728637
LPL,-0.1136972660059766,0.09153152366034559
SEMA5A,-0.10621887256613823,0.11181205866503924
SEMA7A,0.014496352704290534,0.0509948867790002
SEMA4G,0.009740628353978596,-0.03474622240057844
SEMA3B,0.0357584207976746,0.04933845361015256
RPH3A,0.08493775092196425,0.0789071092154144
JAG2,0.060273223136490625,0.07740409287270184
CGN,-0.001215915486884141,0.12223145538354425
GDF15,-0.017758883327354015,
SEMA4F,-0.05334528311114352,0.026200916651868113
NXPH1,0.041653149102506636,0.07073989495267892
ARF1,0.03444414283638267,0.09770686643112829
EBI3,0.0362874849021059,-0.06302190238899248
TIMP1,-0.032225458732257566,0.045346733747434004
SEMA3C,-0.0126531658832925,-0.004993314113870768
GAS6,0.011993162322986015,0.07118603546978504
MEPE,,0.005952913154350146
SERPINE1,-0.035193365999288996,-0.04165099674530639
RSPO2,,0.018656945599394164
SHBG,0.01930361315420178,
LGALS3BP,-0.03552804758401585,-0.03929292839599429
LAMB1,-0.08921236444468725,0.05197691092918592
SPTBN2,0.10360909282287191,0.05764504285436283
COL1A2,0.01619641821647691,0.07117572705384076
CEACAM16,0.061103031583842976,
LGALS1,-0.025293280229349555,-0.1225593800699841
BCAN,-0.01851683340287346,-0.0047584791903615455
ANOS1,0.062395392069108734,-0.06824190307170235
EDA,0.1708072159141046,0.01738133525122699
FGF22,,-0.04857714064916379
TGFB1,0.06978554963693774,-0.060156577980956596
MSTN,0.02186437125265659,-0.035259335938794954
WNT4,,-0.03151915906405748
TNFSF4,-0.030920048270615768,-0.03676243965035823
NTN1,0.019779481326643956,0.06149667160016475
CXCL12,0.08141704263510509,-0.016448669019395852
GNRH1,-0.07544449567034332,
RIMS1,,0.0437173211581942
FGF14,0.01854427295086143,0.0673439212149953
IGF1,0.09104609611026676,-0.03651859453537499
TNFSF10,0.02031027571236258,-0.01587128409883845
CHAD,,-0.04144544941369912
RGMA,0.0424083459228481,-0.13164411179928412
CX3CL1,0.11420204212298952,-0.007799457843745599
FGF1,0.011982182758373143,-0.07231597642231746
ALOX5AP,0.07603662830880657,-0.09283340166618961
IL1RN,-0.02162356612385088,
FGF23,,-0.0362672395810002
NPW,-0.037380054320917795,-0.02734292189741125
ANGPTL4,-0.04295044695297651,-0.03497472943270379
UCN2,0.054152037014252856,
OBP2A,0.2506520890245753,
NRG3,,0.05137497764203436
IL23A,0.09176460728309303,
COLQ,0.03636454055951387,0.17075207031600848
TNFSF12,0.005765173711238648,-0.020943526872215318
FYN,0.1597564980891846,-0.0030410367007598343
ACE,0.020925675530255317,-0.03626731021518478
IL18,0.026060670369501566,-0.0503979611435248
CCL27,-0.08510215410629897,
SERPING1,-0.021629242063655126,-0.01425792485429234
AZGP1,-0.00531930585316179,0.15474835726354963
INHA,0.038851557652690584,-0.024676042915971464
SEMA3G,-0.018795077570013675,
COL6A1,-0.04057597001455787,0.06833431569589335
FGF17,,-0.02669898936162729
TNFSF8,-0.051595858594008844,
ICAM3,-0.0010362165441119254,-0.04189050898531413
LAMA4,-0.022046268814334333,-0.021033030685965036
DLL4,-0.11732107186370788,-0.03916073731319848
SEMA3A,0.10612805862090115,-0.02536142707405876
RLN2,0.126592297359375,
C5,-0.04733108443071005,-0.05167726712884249
C1QA,0.031801164885267616,-0.032355278904503695
COL9A3,0.0982235278737818,0.06743680154655238
DLK1,-0.008568482364934635,
HGF,0.05248197143203686,-0.04363456698596172
P4HB,-0.032913331132866125,-0.03378201676851114
ADCYAP1,,0.047854127139682984
GREM1,0.0010052654427524796,-0.05395903402461851
EGF,-0.034430108400651874,0.00017779476963392256
VEGFB,-0.07057024632125014,0.042333004668956606
FARP2,0.017217705000165163,-0.0790847996894573
LAMA2,0.05924127441425178,-0.017713465088658245
NRG1,-0.07054126140184525,
EFEMP2,-0.11116915555088701,-0.022012797385741367
SELPLG,-0.024456417198164646,-0.07052167809277772
HLA-E,-0.09368697043386999,-0.07556339737675478
PTN,0.06544673467387462,-0.054995441428487724
CD274,-0.07804972205605902,
FGF10,0.1255226010533236,
CD14,-0.06015657668140068,-8.563167950809609e-05
SFTPD,-0.002131073593522861,-0.034746215744303637
SLIT1,-0.022430321759243393,0.12233082988093526
CNTF,,-0.03474636484577607
BST1,0.04043405133461325,-0.03576633774959854
AGTRAP,0.010774997916972728,0.005438560785489789
LAMC1,-0.019955004041893442,0.05976361096826749
COL6A3,-0.07390288179947564,0.0782563984055671
FN1,0.022205232515294927,-0.037497370161183645
MIF,-0.06694500460875887,0.0659039664833556
JAG1,-0.008743064437725911,-0.06655991193256067
NID2,-0.01731090072776825,-0.05465387993629688
EFNB1,-0.0043889894618069315,0.07655528379385547
COL4A2,-0.05695042091458636,0.029596403897794263
SPP1,-0.03529503679384522,-0.08873607583941659
PODXL2,-0.07235217691235186,0.1492877695708147
FGF9,,0.03133347763508019
ADAM10,0.03229999814964655,-0.0036393633749934114
CFH,-0.02692839652303525,0.00490182885777536
COL4A5,0.027458983565862502,0.007274681554402303
LTBP3,-0.035872298499712796,0.01753602776558425
GNB3,-0.04111598433946091,
COL6A2,-0.09877728725406475,0.011754599946683276
GDF9,0.06824830796832813,-0.03676252346190341
NCAM1,-0.02861404645992019,-0.01023064917737825
APOC2,0.0710816609428053,-0.017317065547460573
BST2,0.004586298104333107,0.03138624652677026
COL5A1,0.008805914764612267,0.1466090178494943
CALM3,0.04006759499131086,0.14853021858879095
THBS2,0.10353953405293691,-0.14606027986713732
SERPINE2,0.08996127262132964,-0.016980482396754173
EFNB2,-0.060669983246172635,-0.010054805724899377
MMP9,0.012348833894195926,
NPPA,0.07741371914171563,
C4B,0.05834105079929361,
NTNG2,0.06370259071411012,-0.03849521928153779
LAMA1,,-0.0497556645825738
UCN,0.002356209749268314,-0.041445277663742626
PDGFD,0.07158559623188333,0.03067282559400201
EDN1,0.034056177821924695,0.19083594364100814
ARPC5,0.01806650588344189,-0.07585194649238897
GSTO1,0.08327972189696319,-0.03703039696457988
SYK,0.0335865508629191,-0.0026159332946163114
ST6GAL1,0.01602492497292054,-0.07451190305619129
WNT3,-0.0166714040404152,0.10924338114094997
HSP90B1,-0.06951027320727216,0.07940420391276229
ZP3,0.054614484617352396,0.0994445831129972
NRG2,-0.007613385134909015,0.01870564040127417
MELTF,0.0958470515931272,0.05792782809706172
NLGN1,0.04158422299659008,-0.04905114032201527
SLIT3,0.011967655249839313,-0.008224423091629688
CCL8,0.09733388634237404,-0.0427693504991302
S100A4,-0.02441019691548905,-0.055018077204492935
TNFSF13B,-0.03735238394731129,0.04676724429012181
HSPG2,-0.002910325152283537,-0.016399351472775575
FAM3C,-0.05762197477149112,0.03748983932646108
FLT3LG,-0.03634361794903494,
A2M,0.011378654497454113,-0.09956253704197374
VCL,-0.03022722360988197,0.1392785371862259
FGF2,0.09654321732549281,0.01333605429151406
AGRP,0.011944349609360333,
CNTN3,,-0.06501102029019588
RNASE2,-0.0627447878685028,-0.015584464598962984
GAL,-0.07306831618988312,
PDGFC,-0.07598658718509477,-0.011800666014683242
COL8A2,0.05327126774044219,-0.03316648294042436
SPON2,0.03937256584829813,
SEMA3D,,0.11027002278416335
TIMP2,-0.06518561874058491,-0.084756828048862
EFNA1,0.005629090994778657,-0.10484572390404134
S100A12,,-0.04276946860107329
TFPI,0.03514262650400089,0.13930289327116324
NMU,-0.025418330320053455,
LAMB3,0.01896172895390557,0.12350707098790316
LGALS9,0.01398314465869605,-0.03428903271561867
VIM,-0.06064761535714693,-0.08687656862453591
PLAU,-0.036058547320351776,-0.040996694767888336
TGFB3,-0.011894211276451707,-0.04686864029728102
APLN,0.057593273259311385,-0.05452686643856044
SHANK2,0.03382590890698342,-0.0001418003124310924
LTF,-0.08567532733161565,0.02878828428708329
PENK,,0.05868661800451536
CTF1,-0.01918888396771378,0.051378341810055884
COL3A1,0.025062780865663988,-0.034226505744193704
S100A10,-0.04844820468435098,-0.04944414748519076
FGF13,,0.08951493080355007
SEMA4A,-0.03890484762585044,0.08091042129737523
EFNA4,-0.03866109890539677,0.07185430885200289
HSPA8,0.11200309969664564,0.0403474532966299
NPB,0.06349276154877267,-0.08901604476382877
ULBP1,-0.06496685517941005,
SEMA3E,-0.014402698622955179,-0.039463973402459454
ADAM9,-0.024312297460316077,0.11690422885802233
ASIP,0.0075377545015868795,
IBSP,0.004651014205485409,
FAT4,-0.055836664473998605,-0.02242534394441512
MDK,0.07743987157721402,0.0405843020742335
HSPA1A,-0.02800066667623792,0.04362162108886168
SEMA3F,0.014712975406149511,
ARF6,-0.05241150761663983,-0.02242010689136478
IL6,0.19374450575860033,
CALM1,-0.06395434766533167,0.13351882720910857
VIP,,-0.030953169703947493
NMB,0.05352346973621712,-0.07130635748584822
CCL26,-0.02552016751793114,
FBLN1,0.11421211636847908,0.06049489776456161
SAA1,-0.003002484876796592,
MICB,0.026445540552833942,-0.03370005196000338
F13A1,0.07710506246751996,0.01611043263599703
CXCL11,-0.041322354736905584,
COL5A2,0.03920546356711857,0.07476709802147231
EFNA5,-0.07685064683841476,0.11603548563396344
EDIL3,0.01795331409146216,0.014897341751724366
CD86,-0.013242749144204279,-0.00617040811672351
AHSG,0.1283487503835503,
HRAS,-0.12102238187339827,0.005277120431173057
C1QTNF5,0.07512578188291825,
RLN1,-0.014673316867803403,
COL4A1,0.0043210778038285415,-0.0630218114550916
CCL3,0.055507797146856,0.038490143788003583
BGN,0.027782881020348826,0.00032676324380069815
RETN,-0.009316923742178278,
S100A9,-0.03148835215091459,0.07601072194217792
HCRT,0.10690216768553007,0.07498225746390214
FADD,-0.05836148778846861,0.047970022266505694
ACTR2,-0.019742280065356714,-0.02724280498268392
BMP2,0.020054919898727448,-0.052298096398771
PDYN,,0.180481294450742
CD55,0.014613234084939945,0.04152659129358108
CD6,0.09266122322025115,
IL16,0.10916814059784184,-0.05823083542868166
LAMA5,0.012225171015818641,0.05785437309830675
RGMB,0.027213600279403657,0.05931640697297814
IL12A,-0.10872968588690317,-0.02582392932364686
S100A8,-0.04991139268954768,0.0017335983909314903
TAC3,,0.01932744449043725
CXCL16,-0.01599989061241165,-0.031127560520818307
AGRN,0.01818456674677192,0.014417324021346049
COL4A6,-0.036439359900770865,
FST,-0.025963329211325888,
MEGF10,0.008260457870525532,-0.09236847443013062
C1QB,0.04360700583136788,-0.011272227177867345
HLA-B,-0.03398365237947862,-0.022276091068203878
PDGFA,0.03642150918741171,0.025220401161637714
DKK1,-0.04302941759570004,-0.028591506100450567
INHBA,0.021077334824780015,0.048754032161290095
FABP5,0.11386026722756273,0.00987229250008392
CCL4,0.06104082466587382,0.014896643587119883
FBN1,-0.002435903024091219,0.06813444144342799
TCTN1,0.008853841547858196,0.03110504341941078
BMP7,-0.08098243313672128,-0.029970636670025495
NLGN2,0.012326671928565123,0.06022417019527165
CCL25,-0.029039841526555678,
NPNT,0.12443113220869832,-0.004932794376119539
KITLG,0.042407809391283156,0.09877698800579371
MADCAM1,0.005845591752927323,
F12,0.0688385189998316,0.057743770008615775
S100B,0.08177488468496738,-0.04746205582174773
IL27,0.06701950378428591,
CD99,-0.00887827399014755,-0.061953666309540495
PDGFB,0.0844289653226644,0.14777984048434328
CLEC2D,0.04840772817709965,0.01780118167847641
F8,0.052191489825918355,0.014640623691876785
C3,0.05436717127875074,-0.11733467647775206
DLK2,-0.11074538115502765,0.03589483024189917
TSLP,-0.05951051482050934,0.020053458209130473
OSM,-0.07618300211551773,-0.01997098019013226
SLPI,0.02798066352675496,
AFDN,0.011637964625946528,0.060510697913087524
KISS1,0.13596426307665818,
ULBP2,-0.07113639132829483,
ANGPTL1,,-0.006873203242853261
LTBP1,-0.024677044545595838,-0.022933999097365893
NTN4,-0.009658214489559214,0.018449533371695602
APP,-0.04629804396810863,-0.001117954472770889
RIMS2,-0.009176617231706522,0.07288834298298685
WNT7A,-0.0032619082375947473,-0.03422650035077159
GPI,-0.0828162807788868,0.028080723385960484
IL1B,-0.050348526550601125,0.0884559667326823
HAS2,0.08287092932529869,
IL11,-0.04087842342857386,
SEMA4B,0.04165223020651822,0.03411542727612411
FGF12,-0.03110118443645628,0.01949884347416782
CP,5.72005768392433e-05,0.016754855640913432
NLGN3,0.023407661042733854,0.0441473070032342
PROC,0.07040073109957852,
AGT,-0.02171065626590156,-0.05789504635552866
PTHLH,0.036722568697668684,-0.011991895707377936
COL1A1,-0.0011085250582947592,-0.036267067492169014
LAMB2,-0.03538756206503096,0.0023305369321492634
DSC2,0.018260344481415725,-0.06599295406025045
WNT5B,-0.0658450255297189,-0.03316641368694218
LEFTY1,0.029307213933413116,
FGL1,,-0.03725220934286061
CXCL5,0.025202900669642887,-0.03316645108376868
S100A1,-0.0577149543409265,-0.07968796248484925
NPTX1,0.0011871795477379305,0.03698016813379229
TGS1,0.09770373081543492,-0.015229351666947851
SST,,0.07210628762927634
IL34,0.052503399273653245,0.09564879665604537
TF,-0.007715018875438938,-0.030886540390896017
IL33,0.020893705939818496,-0.034239626204967996
RBP4,-0.054121624020558826,0.02865311614240805
CCL20,0.011846304535831511,
NAMPT,-0.0599749097791634,-0.061793331299818836
