,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
PDAP1,-0.025140123139995012,-0.013355493991634215,0.05883019702613178,0.0021120945605794064,0.01406868448847433,0.03989663767842829,0.13523264364569826,0.0026929372408423676,-0.021114990144538485,-0.08365263674337,0.029967482380769676,0.0794201016120154,0.02390186766594393,-0.00707410349077196,-0.032915850037020924,-0.03660579810832866,0.044831761063720325
QDPR,0.038975979726708465,0.02105507245835788,0.020991300449985057,-0.01686013712875806,-0.05170828249215956,0.028716818584273194,-0.10398506777834413,-0.06296419827035254,-0.14114610508668127,-0.07816858223389035,0.06188868594221934,-0.057557145569624026,-0.0067053152488690615,0.01814509254102081,-0.035995025414124374,0.013863706469371916,-0.012277512744840251
POMC,0.0489772627665758,0.020413803063211413,-0.036771682909828095,0.05237226425485043,-0.046185771301048395,0.025704700319841987,0.04906069049850565,0.08965499577650406,-0.012003537088891788,-0.014177116690362564,0.036654256454006044,-0.009786719632180998,-0.027305789535952085,-0.025926258219069225,0.042114967156944634,0.00018104076615220162,0.08223158768369493
CCL18,0.0576852891686468,0.014923770366928291,,,,,,,-0.06700873899335513,0.07459880118228362,,-0.02192271461164526,-0.048290143932206195,0.0443286902269661,,-0.055599015922981006,
CCL17,,,,-0.023850009658773832,,,,0.023383148660053282,,,,,-0.0244306674732203,-0.04954169244023152,-0.024020748420626473,,-0.012162462793408588
VEGFD,0.043908592229493726,-0.029044906379241266,0.04986842271631002,-0.03644057192448179,-0.021959611427102406,,0.025660925952165608,0.03359524652801933,0.15421113388632424,-0.060975840101072015,0.11179021226273711,,,0.014730438346396594,-0.02533447559612376,,
TNFSF13,,-0.023159528607191664,,-0.022561399910538578,,0.0040443977993080485,,,,,,,-0.046878781338557496,0.10348025919932402,-0.006420527733278818,0.0019763663767483424,0.06164743625082872
WNT5A,-0.02133787637081542,-0.05295380998132594,-0.006629865800276361,-0.026075984972629376,-0.028813537886654198,0.038055205437326545,0.02161651236954375,-0.0064987980992133685,0.07862305459773908,0.11961086231109908,-0.002646697055181899,0.018353323118192662,-0.04852134266134829,0.020265913407642774,0.04797184725331588,0.02664719633178909,0.04205967376036454
CXCL8,-0.06819932128690195,-0.012203270928163121,-0.027754460362999313,0.006007493038941895,0.025397856498342662,-0.02452115084083248,0.04185906348181854,0.03191058884971046,0.0026071744901379665,0.0905465217361866,-0.0394500714843804,0.0984865774028792,-0.0432083703155611,-0.07427210900086441,-0.0341042266036345,-0.03709742738622579,-0.05892392411711526
GRN,-0.04839543186489245,-0.011247798738552158,-0.0018764951738337407,-0.06484824944763648,-0.0059659789555125,0.055258074233891175,0.11250358975023082,-0.022963812702736036,-0.06982768182459835,0.08314051436121463,-0.0996631604445097,0.06608497690227631,-0.02232411396829987,-0.06934245899847058,0.06301993811310756,0.0013757016847537567,0.006198307358054519
MIA,0.04632667843064631,-0.02013470632729774,0.0354729217201483,-0.05228669096391381,0.0533867446769767,0.06297272962626133,0.07557706678792964,0.027654375512930464,,-0.06730103481226284,-0.015195732458819302,0.06085948729958351,0.0014792284554090288,0.19577830620736741,0.032644935797549283,0.07931439694991753,-0.03536669551480822
COL4A4,0.03225292670535193,0.044636444078158,0.03371908561591903,-0.015338189688772638,-0.03816724907473594,-0.01640200737487456,-0.022078418946363806,0.03307457903633848,,,0.07551702755787122,-0.02771716109301976,-0.0006085214077588644,0.05998948383180264,-0.023274705643036922,0.02575962190042747,0.07038223487997887
TAC1,0.12961858993155195,-0.005430622532405716,-0.05481920028922294,-0.03766725392062094,-0.017164731791520334,-0.05033765045291977,-0.09627546095040912,-0.054797005380105866,0.08206194613458417,,,,,,,-0.012331621695588215,0.009897118089624615
RARRES2,0.04100731260288854,0.10085346200042007,0.05986207363730934,-0.017428856714847556,0.10777675570845506,0.054682467064650644,0.08284316881577314,-0.010739284504019736,0.008188701201247327,0.054851081284007584,-0.04757558139512125,0.05882679341058755,0.029879448740258097,0.009632501519875027,-0.004168413400277286,0.018414619652576035,0.033531227744850324
FGF7,-0.015002831822742965,,-0.004341649671209126,-0.008084274138911681,0.002973980026383864,-0.013904710152903874,0.03404272022923771,-0.008944367754599088,-0.007024584679681387,-0.004063068406805925,0.0737608203819641,0.10178819213512914,0.025185718032605418,-0.0019381298973548625,-0.04160965922054493,-0.0009195351779083854,-0.011200549201612602
EFNA2,,,,,,,,,,,,,,-0.03261795320075975,,,
HBEGF,0.0022249723441334812,-0.043558460380937344,0.06707745791747788,-0.052134870686718286,0.041357853212588835,0.003628311548554005,0.02632061305113028,0.06248660520371217,-0.02229539317933513,-0.08381149579383933,0.021440842288423533,0.005767887935048394,-0.056082047183363154,0.05436077224777316,0.002920862863512572,-0.04627538685300717,-0.004336025680371211
CSF3,0.04788889601047753,,,0.005745171635819943,-0.00861947611458829,,-0.023358542288458135,,,,,,-0.0015011279253029956,-0.0621365147444015,,-0.03433134551424409,-0.012805197040118139
PI3,0.061334355658612394,0.028385870096269666,,0.021258928166729085,0.06842017846178698,,-0.02630202691619156,,,0.051631874648465075,,,-0.008605856462408348,-0.107025438357122,-0.02040954347888117,-0.0025344021589903134,-0.02782143905850821
PCSK1N,0.0017214606006756383,0.0695994841544672,-0.04561603807379306,-0.0597994790589684,-0.0494585738736338,-0.010112288881532731,-0.01806170678194134,0.0612718604376211,0.12190084247048552,0.05292115753333051,0.013023911134926602,0.02388451944951544,-0.01878088100073171,-0.003115334125992653,0.007378958361048724,0.04915712898333468,0.009604700834388009
NTS,,,,,0.004149541474520002,-0.020023124334514607,-0.015581377646381346,0.022916916819878924,-0.019685308241891686,,,,0.001516522816980606,0.04516939239565038,,-9.856725829866434e-05,0.04703561085058342
SFRP1,0.03617946571417151,0.05395541868757217,-0.031006545272362192,0.08546406673258941,-0.025052113742474433,0.005674351605457842,0.008379153800028788,-0.004915560682031141,0.0032422911978294013,-0.0749017390989758,0.1225036720430022,0.03455264503916178,0.0800933804930592,0.060665874734541485,0.0321233839690656,0.011144154806240546,0.04948003408641849
CXCL13,,,-0.021629351967458892,,-0.024826964648899275,,,,,,,,-0.013266463936078028,-0.058666226739914236,,-0.04207603800386987,
MICA,-0.04733297647663056,0.011124092156252928,-0.019313685994356688,0.0018300494700403058,0.019635194459657754,-0.022928406407686508,0.069092254717896,-0.03822807455303575,0.017433109870967706,0.022195327254096207,-0.04714332145694593,-0.04015706765697382,-0.04386273181335564,0.08442405327446915,0.02461870924195254,-0.009863129811547687,0.02509749594799169
TG,0.01238389097545598,0.03662410081684861,-0.02814100705106797,0.0673042530722516,-0.007512001629772097,0.010092177301863377,0.06590175982579496,0.0372691477257331,,-0.01672938229829994,-0.017302918244764574,-0.01642505089917189,0.020101950254263475,0.014655238130669197,,-0.0016022850381941288,-0.024972576721983723
ADA,-0.028636890071421256,-0.02747730539283954,0.08183546975608018,0.02882018290120891,-0.02394037194563376,0.010889234101599098,0.04271854440516293,-0.007033204734484004,-0.07514038951509491,-0.05019322816551826,-0.007551207967346014,-0.04560488991447682,-0.04464837606790457,0.08092158260850021,-0.0108552164616533,0.02719150910739134,0.05415898462196087
LAMC3,-0.011334075127415926,-0.023560619589330936,0.031514978442410135,-0.05366945122161101,-0.013103594515610427,0.011490741289166351,0.11128331897565562,-0.012926622752256329,-0.027505677733687936,0.021985082729700674,-0.04767803501141562,0.004142843063237755,0.00507798612267455,0.041362238271762865,0.008366380487354731,0.04359358876632814,0.09988009670689059
CCL7,,-0.00270246642008657,,-0.022267126013078824,-0.03291597139377841,,,,,,,,0.03413518378834135,,,,0.01666559906201084
NGF,-0.02068706035119062,-2.4864615482764216e-05,,0.018833935725551264,-0.024747259445282426,-0.022055012528767234,,,0.008001286427463438,,-0.03385627483966511,0.036637831916515234,-0.042288478515777016,0.06279783979001258,,0.08188943127648743,-0.040174899628980534
TNFSF15,-0.025592475470021334,,,-0.02479553388674575,-0.02437087352215266,0.0002805769021248677,,,,,-0.05080913668329986,0.053773982061407426,0.003947715017016345,,,-0.02131917616786609,-0.022531665439385853
HMGB1,-0.03349860949329844,-0.012243285635639775,0.027506036244426445,-0.031240063541068504,-0.03118704426807246,0.03448635295908006,0.08202049603970805,-0.00022078581189595995,-0.014540367694005914,-0.042837230509501695,0.08532738716241325,-0.014216639827052393,-0.017755393702938528,-0.06822240705153243,-0.05500438436352768,0.012174528826349947,-0.03334833950659771
ITGB3BP,-0.04211319437903807,0.03362043252768665,0.02452630494354556,0.05136689700154448,0.0553632891258034,0.020085092930932413,0.09491326934152464,0.039180744162058204,-0.00812562941350615,-0.043171362700430066,0.02499012131384025,0.02270544984282242,0.040490792736524256,0.021167318437703097,-0.027654356861805347,-0.0012881791679182839,-0.023470168853740064
AANAT,-0.037078284649074,-0.000791598775470292,,-0.02256140231847385,-0.021959614561960692,,-0.021070037271205166,-0.0024921489979370702,-0.018507096976476557,0.018713422078968218,,-0.022833426227456075,-0.003156258380985977,0.11457935690878887,-0.02971289516078966,,-0.014197443918654956
RELN,-0.00344946456310889,-0.010555471025206455,-0.018240186477686788,-0.00965620053720192,-0.04600092048979164,0.001694300385335967,-0.06182610028958354,-0.031223792880860985,-0.008777375022032727,,-0.06745241389324359,,,,-0.037157807516198633,0.04749890509493703,
IL15,-0.03637926211831212,-0.01076705007541486,0.01993803523387891,0.028053794113827937,-0.020277468408694873,0.05973648537590827,0.05364247799701554,-0.0390891798850453,0.07860277571503142,0.028619273144191184,0.006517517255291078,-0.038598491537190714,0.03432775368338513,-0.010032458282657397,0.007150157618163602,0.01001200325728935,0.10281275705407064
UTS2,,,,,,,0.09307169102624363,,,0.027099612216909718,,,-0.027354668628635784,,,,
BSG,0.09326808534653426,0.05263693710812353,-0.02246427276235675,0.0034618134543362798,0.066339514122018,-0.015175895150024822,0.0016045429219296004,0.036783330503097664,0.03687833420007246,0.02211786167277043,-0.06055706987717692,-0.0027958566369554526,0.05894882746547114,0.022491292770633657,-0.026142704553780628,-0.03177201241835557,0.046122314143031806
ADAMTS3,0.04669829425882108,-0.022040008484118793,0.02982155794349221,0.03785638867606722,-0.051893299613496195,-0.0064107884093022914,0.1432901922872962,-0.008394928571273493,0.06546070004178574,-0.04419460830142987,,-0.02734070336823221,-0.027422919699119936,0.008175326513208733,-0.0022514687677209814,-0.04859032071912141,0.027730705755647907
CD34,0.09444524184948518,-0.018611540211372696,0.07411392918011823,0.008730362219172895,0.03275143047684986,0.03755684007702273,0.09530493902059897,-0.0005066208805066707,-0.01969708758155668,0.003828510885324705,-0.0002682923366531634,-0.06606803584147797,0.023225299966909984,0.03430243262900175,0.03038901510809671,0.06791068394546991,0.07636642557912038
CCL23,,,,,,,0.04163707151160329,,,,,,,,,,
PLAT,0.040603522594295866,-0.006895168071239695,0.04761133859060856,-0.022820597744045625,-0.027087473097077236,0.11927196054273574,0.11098284824742273,0.004418769402244423,-0.06368318946393231,-0.04431093380561949,0.08239298454143375,0.011067598371017175,0.03230472446079332,0.06536685456568357,-0.008575342894651193,-0.002106036717821718,0.012795085500175917
NTF3,,,,,,,,,,,,,0.011614842273311941,0.05236916468274605,,-0.008469437443062482,
LTA,,,0.01065135490497849,0.02325826380064344,,,,-0.01705420879100721,,,,,,,,,-0.01910761990836031
CKLF,0.004875411031230092,-0.05033851545665464,0.04102039170424597,-0.0017488357341399212,-0.03512300415916019,0.05382669974350558,0.1365461966223635,0.03468500017559195,-0.022260390971970443,0.10357723463137129,0.07247519523839453,0.0765911873477626,0.1266270427719365,0.06181261917071659,0.013173889670898303,-0.0014745168532987307,-0.04934253914136894
CD24,0.03482661940765052,0.01034154389875852,0.11192597548768678,0.005167513459480394,0.02880769962390711,0.02209160163834453,-0.007315187767680199,-0.01848678692016844,0.13226246846763057,0.005461065243520167,-0.038720323937013766,0.0704046610681152,-0.012109199903823448,0.0245345849944441,-0.06460537235295448,0.012311078001340806,-0.004823058106256128
HSP90AA1,0.03874393582359187,0.04759523222866872,0.043494369718085894,-0.02362540884679479,-0.012943779130803787,-0.08015113331780571,-0.15920594883581365,0.08089863860469047,0.10588989489225235,-0.04459666994177166,0.020539677551382116,-0.10746790670662897,-0.05532961693387089,-0.15450450158016626,0.006637402239492211,0.037440703951878436,0.07220470289233547
BMP4,0.01946708956506044,-0.035058499393085224,-0.02193789728185565,0.018646919831812808,0.004112925840638834,-0.013278965638582047,0.009048118422934823,0.004854353498910923,-0.011336432551491284,-0.009924034281577378,-0.00984119448614653,0.027571066005603103,0.018747834823127127,-0.010915422641704309,0.013225172418808596,-0.0037530400523504534,0.12199791088720323
SCGB3A1,,-0.004287064858424784,,,-0.026151190037609535,-0.009135825041888125,,,-0.03257766985266656,0.028706044955568052,-0.02850466440339771,,0.07259274702595114,0.08271208718154532,,-0.035286516387985134,-0.028135227602364463
IGFBP4,-0.030947609682645035,-0.04998902483250574,0.026459693206127732,0.005718869687447837,0.004752964726862967,0.05767134848033082,0.07102776065017305,0.0064565436247188525,-0.028234562333038792,0.047131807383792274,-0.06487966547902785,-0.08028431152653379,0.05969489710846462,-0.08415797117277679,0.028248449797845184,0.03415702323451788,0.10064661045051423
RSPO4,-0.025271365134500016,,0.00710210038183575,0.02520987118594791,-0.030182724314359942,,,-0.01983508305774591,,,0.041672450234275966,,,,,-0.029816117222794897,-0.02520095053194948
LEFTY2,0.017302974910314982,-0.02200209600356654,-0.020949150942505122,0.04379171084334978,0.036473319837870374,0.07441059014701815,0.07089024114829527,0.00619405515910152,-0.019685321203361063,0.08142675607343353,,-0.005256909234670927,-0.031082786002628707,-0.01533103787955725,-0.004109195253481566,-0.03127075128976544,-0.005837197357249044
PF4,,-0.02951725388848688,-0.018824901635945558,-0.01942762875787082,,,,,,,,,,0.02724220573241156,,,0.002642849252729815
ANGPTL2,0.0321690213737929,-0.07071478736020093,-0.011966591262662552,0.008819878888887342,0.018973453672708744,0.05057440835847959,0.090909506004974,-0.024746756950121712,-0.10810706000974465,-0.15781360339602296,-0.025310042605834825,-0.03308911187914816,0.003198778314677753,0.048328415413951234,-0.01509553312167099,-0.0385684878411171,-0.028712694957118964
LRIG2,0.012043746410679672,0.028936184189979706,0.017547997275254423,-0.037952135098372045,0.0016651210049028339,0.05510026422454329,0.0802917954525131,-0.0026457262567282217,0.005883677430312303,0.044594150802957096,-0.004996472106727164,0.10805343416222064,0.02269091639415083,0.01257658445483268,-0.042733427481816987,0.08267070094514171,-0.0538713223556565
ICOSLG,0.054735976620834875,-0.05510961089428475,0.05383564696808276,0.00903949800827503,-0.008799517648735256,0.05247724467926422,0.0807774130599177,0.07266031657681442,-0.06336617302958023,0.0013187020655582202,-0.05710429028719864,0.02351613165096598,0.07765996852086934,0.10653104896124321,-0.037697324142738575,0.04766803109886348,-0.05927391952023327
WIF1,0.027192368482651868,-0.0060495073555703015,,,-0.00820175739151469,-0.0841858914791835,-0.09730629442145766,0.002842436615065943,0.09534378081517815,,,,,,,0.08442352654491014,
NPPC,0.09195328435939153,0.042390327968629814,,-0.03013704318154136,0.0011425010681967833,-0.029154088685146257,0.05837348733868457,-0.02985765728816617,0.12222675768943587,0.004767034968451134,-0.021889019677592794,-0.027340650858774188,-0.021151510382080553,-0.009569245221956202,-0.028188872080978603,-0.02775224320157092,
LYZ,-0.03662023249150487,-0.02250286021943093,0.07028872840819775,0.009025643756546716,0.01540133671301045,0.012691219690670203,0.027378686668901035,0.009364084200959135,-0.10453279744348416,0.11768724482395622,-0.011245639669054223,0.05474360289864083,-0.003978710334010935,0.08770462001411239,-0.008519538503401963,-0.008518774110503701,0.051165746529343935
EREG,,,,,0.0497220879447975,,,,-0.02025044271222198,,,,0.022609779134977553,-0.007739373480601331,,0.005848402512405917,-0.028856925404852175
SPTAN1,0.032058203591081844,0.06066304612203784,-0.03184782998504707,-0.01730508758559878,0.03722734053146359,-0.013024212088392044,-0.008849370889935032,-0.052908288756477885,0.13280492076933262,-0.0291113539370717,-0.016496131314314124,-0.03987461405361466,0.002290060675728363,0.010136204946862345,0.006235681041197571,0.0056078133298110905,0.08536569563733176
PTH2,,,,,,,,,,,,,,,,0.02742604810591347,
LIPC,0.014840967178085323,0.001297534182022442,0.006786376768063151,-0.0016033988038543297,-0.02922184492852124,-0.029549871771876287,0.08679172443961936,0.056490352051303,-0.036268173809696436,-0.05492011654474218,-0.011831681159195157,-0.030341576683625016,,,-0.034600418525687404,,0.09656326763985018
COL8A1,-0.04428261014195904,-0.03483162668134048,-0.023357522019212398,0.01971761647826436,-0.009880184521134512,0.11319855060089186,0.07808686692338293,0.05458203294209223,-0.05498356524835542,-0.00606203192939515,-0.03586210158148245,0.03436021038925834,-0.0034198636608614883,0.14592986675194672,0.049057974277969645,0.05700599372745285,0.009249195024189909
GSTM2,-0.017608671950981022,-0.0048255219564364935,0.02218849717463726,0.03855068320037495,-0.00443805043440989,-0.016113815182659332,0.05627425825682838,0.03303075757435428,0.00028225744371547545,-0.05355067222598731,-0.02840989079976468,-0.02531311600830297,0.11553702395882175,-0.025401576809720838,0.014866317068306769,0.014500634368602322,-0.04209527382665106
IL4,,,,,,,,,,0.029332420640605126,,,,,,,
SPX,0.07717294212892913,-0.05844568967520071,0.04928771815163973,0.025386862093730662,-0.05217971498293677,-0.04173679755302649,-0.030443776234306077,-0.032012416042470106,0.03676426415756554,,,-0.05200058804652809,-0.0016627933341470517,-0.0145580822516902,0.011612576767836731,-0.06807574894747284,0.005969390169583814
MFGE8,0.002947757523613943,-0.028755453358639223,-0.05321724100325066,-0.021564802373570117,-0.03912446508785164,0.006555410833387067,0.0042692795066008055,-0.024825693913561302,0.09063240091881426,0.03376533732601465,-0.01976341818193061,0.001797415745209164,-0.01839226169589556,0.007425113391342807,0.086090578721902,-0.04146651082953245,0.044056194175498185
TGFA,-0.010261544741910364,0.0757908407680469,0.04451364980348324,-0.04302383310153706,-0.007735631988638695,0.022593183991107994,0.06221346488495581,0.10059095761576568,-0.08768446473137634,-0.0887819862727929,-0.06617569246301998,0.024846930230750793,0.03925992533176875,0.005612518022382581,-0.03201351701063445,0.033244329869536474,0.04488887128838275
SLIT2,0.02226824909847115,-0.048542584238713264,0.0831307731590778,-0.029604235108211925,-0.036118797477391225,-0.0002022833349373686,-0.04081950855483408,-0.051042955666162966,0.03691712413779135,0.17675170909889687,-0.03689065711930588,0.037588418555189906,0.07781581621046657,0.10355639814012374,0.03483142984456178,0.04770785634450618,0.0253545258583466
PLTP,-0.009680170576828002,-0.08113307794666129,-0.004101430901662121,-0.006901139354851466,-0.025637017091768157,0.04559895807657139,0.12995652031731492,0.03768122995600911,-0.10742128530037309,0.12237897927569967,0.04426165147331395,0.07318082371577908,-0.012706504972133761,-0.054185780639348716,-0.049296232950847244,0.014932624628756615,0.0428723048594476
APOD,-0.06258914528462624,0.048820203554013696,-0.04514936239656327,0.013521890140917682,-0.057409118477714426,0.012734102118540485,0.012930688055089597,0.044406085312524,-0.1337001767881044,-0.03770847062861207,-0.009241171713643834,-0.08690249219851379,0.020664798525030295,0.11321333174482731,-0.031223925664399976,-0.08360249729821366,0.12233508557517662
B2M,-0.028712479159191277,-0.0050827827414049835,-0.007622469507666188,-0.015830251149742496,0.01719841409658829,0.07407681929739561,0.14301093290266373,0.03467803496668866,-0.1210374412342381,0.04504401382674382,-0.05641797861423954,0.05969685081481569,0.03389677873974531,0.05171372020288581,0.022724045322467714,0.04926253749397366,0.007542089891179977
OMG,0.07235719149078956,0.0073847465733343585,-0.05162142883810304,-0.04664913425733631,-0.015477586309891217,-0.007150976131408817,-0.014470402881601847,-0.026263084186685836,-0.00952889846300949,-0.002458275003516382,0.13960980893709388,-0.013152756060005828,0.029853738422317366,0.11975459307836084,0.020859491778033697,0.02874980975629689,0.03539119170744982
CXCL3,-0.04493649492347202,0.02906240790151554,-0.038702206231255275,0.02852650127853923,0.034028799298285166,,-0.0276639517348978,0.06214600371344468,-0.028507455373157832,0.08713045111177813,,,-0.013316616908303663,-0.019778877667177144,0.02702239147605352,-0.0064891123359742,-0.04513734437136028
CXCL10,0.005740845573713583,-0.007376416593624997,-0.0015975362964902196,0.03498231666668925,0.05268991083265111,0.06180018663751085,0.15872573724726605,0.029314181977225535,-0.05656810400575963,-0.06603405589592623,-0.0037336675699612782,-0.01807154579782139,0.008565194606720767,-0.01934530874702012,-0.009828035523282793,-0.021451117325756823,0.03423567147478902
RSPO3,,0.009687812332352042,,0.029509906069630318,-0.004530419338362821,0.03480412899768592,-0.03459811842489683,-0.029957894608842666,0.049164922839877154,,,,0.11080036102950187,0.022809908188814475,,0.04385464518831109,0.04663911696750001
CORT,-0.007473054059255805,-0.006983332920132102,-0.023830040000448787,-0.020247261267546578,-0.03546509902094858,-0.035140286269053134,-0.05987979543940947,0.005870616991759384,-0.007706166305692904,,,,0.0016583201806339555,0.10349650339984617,,0.021310569033284106,
NCAN,0.012786317097021584,0.051894674223537524,0.0890043408123408,-0.015334630875185176,-0.02236087722425988,0.031901079311421526,0.08413460024371285,0.0013607318206236868,0.10708911802226632,0.004993680449390704,0.02218246715153653,-0.019292021337491923,0.004948132416381225,0.1024084970906094,-0.019397918876590637,-0.031499237766543994,0.013027276722904475
PRG4,-0.03866878365953688,-0.0015743929690397453,,-0.022267129483079875,-0.020922723157116085,,0.04948401049794876,-0.025348448724957905,,,,,-0.04010458614819896,-0.002187709686527337,,-0.02129301276623674,-0.03084676477049061
ZG16B,,-0.0033562773090173663,0.007117592104350793,-0.0145329711458291,,,-0.020711044108311837,0.006564069595714382,,,,-0.02538312553160039,,,,,-0.01697925826634907
TGM2,0.05227961519081115,-0.06394852144007003,0.0020865704507406426,0.06109639537762972,0.04892762292073806,-0.030358877765479665,0.026365044162411574,-0.016401948498760192,-0.029287461467947612,0.09763773361557154,-0.03558174679579446,0.038163635851226396,-0.028102016768609656,-0.0327981623149814,0.03701036533197038,0.013239252038394328,0.010060467839042521
VEGFC,-0.007595847032209446,-0.010982513594140752,-0.02908695138595809,0.021057249307498725,0.0756813507179796,-0.03906357833780194,0.1011076487622042,-0.028508499800444013,0.09255060947448515,-0.05951060264706028,-0.05708995361670769,-0.011490938137614806,-0.00786827208554826,-0.03432367805191351,-0.027598883258250845,-0.035063116968595064,0.07788512601455456
WNT6,0.029140967375632005,0.001996416139990614,0.05490175208160278,-0.0307983072544672,-0.02882949818480836,-0.019544858181491404,0.12827407987752687,-0.020604643589005434,,0.13781933785732536,,0.004619945809797602,-0.0035543765443828345,-0.050104534819538665,,-0.03957085351555182,-0.020505943989409067
NRG4,0.06368280313447,0.026314858671834397,,0.016139105322548388,-0.017753152562336116,-0.008804177520323331,-0.005702666533730898,-0.015446807203959346,-0.025492918105862274,,-0.035356220230744875,,,,-0.02216150461830828,0.01891603364177273,-0.013617261954637165
PMCH,,0.015758886684719392,,-0.02948448976567526,,,,-0.019835082100488913,,,,,-0.037217581779600536,0.014457574689356408,,-0.022669322674374198,-0.014302638910121224
COL9A1,-0.0109152871906641,-0.03575136494607532,0.056118281893901695,0.03278707696751888,-0.04682356637158454,0.0918830811807566,0.031287193484179056,-0.02149864360784186,-0.01996971543770342,-0.0028468350537333965,0.1132759039023075,-0.021612912315817745,0.019842775045539447,0.0609877723664148,-0.01871944682339101,-0.0013165879580394875,0.005049296028231765
GDF11,-0.05721981831449477,-0.04713154587520764,-0.023213445272730428,-0.0009049390988021754,0.006238449001895652,0.03571814612985041,0.030984183377865817,0.032779136690555606,0.018236449332327567,-0.039933652595740644,0.12589412331289623,0.03609398537737988,-0.034051260474910604,-0.024440707829692744,0.12865319954799967,0.010331278666108603,0.05699583879407094
RAET1E,,,,,,,,,,,,,,,,,0.09804196832651206
IL24,,,,,,,,,,,,,-0.02774853214539586,0.0015607414208827146,,,
SORBS1,0.0067402542955286165,-0.0031093520630397433,-0.002599174566720277,0.0338978853067982,-0.0034287345804732846,0.03889093111887163,0.028722260296502683,-0.037428996428543256,0.019200366372334708,-0.02384969134252172,-0.0408712526333561,0.008429462339231532,0.04977370791463161,0.00044675958955167784,0.026726707912748872,0.04383249589765214,0.04771160762606622
DLL1,0.05832562155749981,0.024997299268302135,0.06734009525371927,-0.027320607166731525,-0.01292540200541497,-0.005585987653506385,0.07464830679951329,-0.022958594988817218,0.039169574177320664,0.1913475295710874,0.054245143296035955,-0.01510804526495559,0.022687386360306667,0.13839744198209697,-0.01670454479178193,0.049259759481263085,-0.008257611592370541
TLN1,0.05519945466630503,-0.053968572691247295,0.006144174575117928,0.015533906283261146,-0.02039173581347803,0.029491270603640356,0.055168297499051534,0.005177754429354673,-0.07254715239369101,0.12048830614152312,-0.03323120666650256,0.07609287094311794,-0.012111466725504358,-0.04579753743190873,0.031361064142825676,-0.044629940910874286,0.05073400084651455
