,UKF260,ZH881T1,ZH881inf,ZH916T1,ZH916inf
SFRP1,0.026724031514326098,-0.03779390919445388,-0.11108320915521265,-0.04968808441285802,0.12323792045408793
CXCL13,0.01300365000182187,0.07515422685458582,,,
MICA,-0.015488132083034458,0.02191716461861447,0.05490846125411556,0.09370663911573215,0.0683618297013442
TG,0.057364006199131304,-0.023690222196143276,,0.05835957810772068,
ADA,0.006408695618503145,-0.04076349843963976,-0.0828860321950267,0.06168050383159885,0.15561344497169563
LAMC3,0.034164976302345,0.0015420596670902848,-0.12115080610108472,0.03478664234152036,-0.044684970970767665
CCL7,-0.036387919161536206,,,0.002322792261347748,
NGF,0.036171804053191675,-0.004211081879027958,,-0.03036712732493745,
TNFSF15,-0.03759205054751874,-0.04227758293046799,,0.017401250989327714,
HMGB1,0.04429622387165484,-0.01684147038583138,0.017479007802934772,-0.0010488072469240308,0.04996347000866365
ITGB3BP,0.05058037130220214,-0.06267461795317361,-0.13627419955436357,0.006900515279625638,0.004518092683956427
AANAT,-0.03387268576429503,,,0.00894860596001672,
RELN,0.020373444988698457,-0.0007116552998069737,-0.01512110433660648,,0.07545313143561441
IL15,0.003531914391731128,0.018940181035657228,0.0011573928631087886,0.016845617019247864,
BSG,0.0024887909355500006,-0.03455396767074727,-0.1319418677049227,0.04295128226001619,0.06583094447948899
ADAMTS3,0.05810067860826177,-0.029812572025459998,-0.0043214362389912345,0.06110978666194738,
CD34,0.022335305935606738,-0.0037744803606531542,-0.051161943054674405,0.05083414457901857,0.1598281294631204
PLAT,0.05506998390637318,-0.20184239064618367,-0.061563068592660905,0.048439690200936525,-0.013826044003825156
NTF3,,0.03527823816278039,,,
LTA,,,,-0.00928922129935789,
CKLF,-0.033390477005943366,-0.02417930124932833,-0.1833789734953911,0.05440069535303163,0.018727019973119513
CD24,0.14154131107282816,0.07886679928564455,-0.006321310093142506,0.030359526464758764,-0.06752638755011017
HSP90AA1,-0.027812785865394884,0.09317499654772636,0.09609759002647922,-0.00950355552200427,0.07264523236739323
BMP4,-0.040998278228554216,-0.026325136164353648,,0.0016961015548709142,
SCGB3A1,-0.0031498690686708177,-0.0022848815151121442,,-0.0049368112911261025,
IGFBP4,-0.017647189874699227,-0.07466295422966833,-0.07843405364654697,0.06271207947077895,0.04366915340755947
RSPO4,0.029853130932071745,-0.020818622959788945,,0.05445302260118426,
LEFTY2,-0.003545221413517017,0.000830538845224622,-0.020583536311362814,0.10028003406600172,
PF4,,,,0.033135998401804145,
ANGPTL2,-0.009898451930535056,-0.10598116788823252,-0.17005020893210493,0.05548366954401643,0.06554869807035879
LRIG2,0.05818201472548841,-0.022465616981403147,-0.10669276366573713,0.0728687857405225,-0.007123699395008978
ICOSLG,-0.024819104369560106,-0.04552802592012569,-0.007944010987970644,0.07057020930836792,0.04027770630893713
WIF1,0.013265889498236856,-0.026279902325911597,0.13061121984041377,,0.09348536854143141
NPPC,-0.003854485333187293,0.03557217971878051,-0.0022377401979771744,,0.0699318076898205
LYZ,-0.040218998142010944,0.014565212189123142,-0.10934032333490955,0.05276268262397794,-0.173242773035745
EREG,-0.06551649954447018,0.1057177240852615,,-0.02715951087088567,
SPTAN1,0.03956372134972713,0.09424935497795109,0.00693177524287029,0.0015521521959552097,0.1619778958358091
PTH2,,-0.018231929948259493,,,
LIPC,0.10306977985764003,,,0.0801848641898466,
COL8A1,0.049742563604469325,0.04792957866703607,-0.10622077851638301,0.11284473469992315,
GSTM2,-0.014238107497226635,-0.03006852323953335,0.0312924730485685,0.03537256854356679,
SPX,0.026390542666192004,0.0840720304762967,-0.09828665375925942,0.024707963856046743,0.07096253587335845
MFGE8,-0.0036172318669792903,-0.1268867855508163,-0.09248797016060958,0.02531930592536934,0.033715972422518184
TGFA,0.08097720199392322,-0.04325868760604886,0.023223089143059192,0.07579470995190622,-0.004862037646043084
SLIT2,0.03201950934009972,-0.03861648335021384,0.014208720994368937,0.037851983077008045,0.09653191482784379
PLTP,-0.11163464425805879,0.039976816561903016,-0.14010103443413685,-0.0017877888492779394,0.10539916044365134
APOD,0.1781300709904517,-0.04445645788275676,-0.022697708828654434,-0.027599409132156284,-0.02758027545224899
B2M,-0.06724575589850731,-0.01858411366003031,-0.31623423857063093,-0.020765033906775223,-0.14417291862418666
OMG,0.15970085550505925,0.08203962799413127,0.0025073135755404666,0.04537819712349802,-0.026134744762235023
CXCL3,-0.03174058288511375,0.027098226936269613,0.09907047654107849,0.02907398424561774,
CXCL10,-0.01837024683255541,-0.004612497315460487,,0.07557637231359958,
RSPO3,-0.0046034209070303185,-0.010601159134263252,-0.0953761634165057,0.1573685861770715,0.05035547404216259
CORT,-0.026082888646682862,0.07115815580436756,-0.12498124755717853,,0.0007779723764348683
NCAN,0.1364672895924938,-0.021930745665544486,-0.027915334885134056,-0.0002163559752476185,0.020513151135469976
PRG4,-0.020893904199970354,-0.04097847057029073,,0.02898202075601424,
ZG16B,,,,-0.0030161785055566963,
TGM2,-0.05852374702058887,-0.03346369312499972,0.014395640669364563,0.026651366598276147,0.08286875135344289
VEGFC,0.02829317603364802,0.0040454167762797606,,0.004347265580297755,
WNT6,0.014036467006359552,-0.01748633556193387,,0.01273994381997855,
NRG4,0.0686496159527614,-0.019802935967889058,,-0.0417861714024049,
PMCH,,-0.010760926585654043,,0.005200947678633545,
COL9A1,0.03387029750977399,-0.03580309294573991,,0.09467362397447358,0.05834443488701241
GDF11,0.02582257485086023,-0.06264538049111176,-0.03611850858893186,0.06286696362028414,-0.04694783715253051
RAET1E,,,,-0.03546768036365547,
SORBS1,-0.06006607975539888,-0.07160977181906533,0.05974055115948961,0.03827773970731574,-0.005460200333484695
DLL1,-0.014850456507827604,-0.03694018165703432,-0.10183041647324242,0.02885626008370973,-0.007495928017161949
TLN1,-0.019524059028193964,-0.09193712056161271,-0.12308726315019079,0.023383423120072834,0.0029543591273875794
COL2A1,0.022915514610011234,-0.016452529799888312,,0.04733072398974599,
SHH,-0.030984775476081312,-0.033783968113205165,,0.06875836473715542,
PON2,0.0863864318843403,-0.00722564868009457,-0.13017482251441695,0.09559524999142466,0.05840891040918647
ICAM5,-0.008243264345966192,0.04771693524482242,0.0572263443673096,-0.05332584824713331,0.04100312490559806
HPX,0.08005873201481438,0.008741393730915108,,0.01970158649650298,
SFRP2,,-0.14039024772542807,0.03188728431646819,0.034266202586737474,0.021141876919067014
CD70,,-0.02777094087577469,,0.04620566494002597,
HP,-0.08723813828795156,0.05218527739461475,,0.10052048127544674,
CXCL2,-0.01835940847198322,0.015731742012136802,0.14353586233929394,0.06486608335086566,0.002180870341019682
NPPB,,-0.048754117534023714,,0.0010505805016850678,
CCK,0.07850980204246043,0.12555538532596322,0.00394907725716321,-0.006210805809966277,0.11889995339187479
SEMA6A,0.05747946727701727,0.023390430856648586,-0.10950820736592262,0.029423309754649487,-0.0304899000206921
IRAK4,0.020998150172553746,-0.039372210281457924,-0.09023616113601811,0.025047765927228644,-0.05442108887508554
GSTP1,0.09209896711494299,-0.06980157866867014,-0.015099100697742852,0.09615385677048106,-0.03143266208055056
VCAM1,-0.048251372531120544,0.016019464107052184,-0.07633877355903516,0.11990725493672742,0.04361608211635631
NXPH3,-0.025857356714794083,0.03116159445463531,-0.025379475433284535,0.007897937041084753,0.02961347712791
MTMR4,0.007574757872314957,0.008915517399011242,-0.08563423919032385,0.09261521017110479,0.012701072701800091
LAMC2,,-0.026748262761011023,,0.07425159581650237,
IL10,0.0010762572566367333,0.005581780381835702,,0.00870743145490287,
SEMA4D,0.032730361471885704,0.01398745826317422,-0.05948504388068354,0.034267625904731154,-0.10372556886081928
TRH,-0.028365922894988144,0.054982806760563066,-0.10385418082331228,-0.002420928421167869,
SEMA6D,-0.001971871383361175,0.00048623293754319587,-0.09652462902198516,0.04066895697667541,0.07598657521843927
CEL,0.033099150485120785,-0.06253625047951271,,0.0735106634807358,
PDCD1LG2,0.03262779661730873,0.04047554939075053,,0.10596389798022103,
SPINT1,0.011368725366315847,0.040891185497921076,,0.08113444290719683,
CTHRC1,-0.028518753883568667,-0.024833020968962873,,0.06982442720232628,0.04287971526236567
PODXL,-0.03704130351905816,-0.01701413708536223,-0.15630393233718803,0.04194883499723576,-0.023010054454574384
JAM3,0.025814192938138074,-0.067570652645261,-0.028122054387276066,0.04829053975973237,-0.01647461662511482
TGFB2,0.040463255722389777,0.016524252492210838,-0.07788515004991772,0.0320281726632923,-0.05221183154915126
COL18A1,0.05277639679007696,-0.050508021305985126,-0.026709114720273635,0.00835457091652275,0.008581561095256334
NODAL,0.05600302407153615,-0.00014211642224701358,,0.012132266085666909,
INHBB,0.05547203181288412,0.05794541431913031,-0.1657091086050299,0.04466811758232612,-0.07848717150271961
LCN1,,,,-0.005392680866710876,
ARF4,-0.06399657975285675,-0.037000589858029814,-0.06383075098657706,-0.011027629942423591,-0.045489590820929904
CXCL14,-0.03930434184975654,0.042316080879733826,0.016278948216157618,0.07425529829225394,0.041849270906031785
LIF,-0.04784034428278837,-0.09576470668898028,-0.039232553967032145,0.08106372732479827,
IL17B,,0.03093741629332578,,0.07322315738553105,
MMP1,-0.028365916707043883,-0.026285297122840764,,-0.008659888354542426,
MATN1,,-0.07615624597531043,,-0.04322055573841339,
ADAM28,-0.02870573634461675,-0.014469994058953068,-0.11203476278822815,0.030541647809865416,0.011850698478180181
TCN2,-0.009213736253268738,0.038861962282976746,-0.06995354271298804,0.1030105088118476,0.013665751418023371
THPO,,-0.037732749199651305,,0.03138978141418915,
CUBN,0.04914191846537198,0.017736126692274756,-0.07583287564458148,0.05506329560891948,
TIMP3,0.07103229575593598,0.05971804244848883,-0.2340132638148866,0.018523793712173085,0.009688041747719438
PIGF,0.004865431618128665,0.02306198507022855,-0.2221615388504166,0.023504663348371885,-0.03391370184168815
CRH,-0.02882494176389944,0.015092763383191944,-0.012182106208269245,0.011819193640638635,0.09221742052739858
BDNF,-0.021831056135342104,-0.01957713705243962,-0.014649218552860459,0.06194801367186851,0.04521991044349335
CCL5,-0.04509605737560066,0.013037340827767134,-0.017619121049833347,0.0551009695457397,
GAD1,0.07631147335551337,-0.036379330020950215,0.01406369221684318,0.06470216133747851,0.10176429676334044
COL14A1,-0.00957553847688259,0.04207880922771764,,0.11376141351841894,
HLA-A,-0.06196212807356877,-0.03976408934370798,-0.31339896192960776,-0.0450006817000823,0.07884067467612783
FGF18,0.005921301081527112,0.067725157458632,,-0.04747675358263369,
ADM,-0.18295107858940202,0.013271963647476044,-0.1528104804503857,-0.011176994128820427,0.006138663086837325
CCL15,,,,-0.020104966442755254,
GNAI2,0.004536229519778803,-0.05265383300172664,-0.03481407519606669,0.038740440259254265,-0.06298681886478691
HDC,,,,-0.021973315630685344,
COL11A1,0.06953573426627621,-0.046391360287983796,,-0.01232079895775217,0.0553617813178162
NUCB2,-0.04146311808508979,-0.01378614171990694,-0.12156638906135062,0.08892895963623411,0.019173483466461142
CXCL1,-0.01758554775090421,0.04027532342615106,-0.03591639948211358,0.04438984322858862,-0.017408961183603716
VCAN,0.1370661827850356,-0.09801028319324817,-0.14457241292289633,-0.008354979988769766,0.02552619763847879
MMP7,,-0.042898722695103454,,0.0656573889481561,
PTPN6,0.018516864237193637,-0.08680636019259735,-0.02570461631799524,0.06467782523379066,-0.09643851380124666
PTGS2,-0.05886037086078434,-0.035753015903510085,0.1366973236061757,0.013318457146509114,0.03574812971642335
XCL1,-0.030161983504690907,,,,
CD58,0.008138255742845676,-0.00595545181195242,-0.08534669611152701,0.02188958066653598,-0.00805674609015937
TNFSF14,-0.039778357892859,0.057263750441806836,-0.05151372066104921,0.0018644423320659952,0.0317749365915361
CNTN4,0.05185404464770197,0.0005767860216598454,0.15733868485003985,0.04068166153257826,0.04899618090009868
INSL3,,-0.03663173924559825,,-0.03182967750145602,
BTLA,0.11619129488749425,,,0.04441661782252725,
MFNG,-0.00783714542857178,-0.00808896489412689,-0.11856625902141019,0.04383966254294459,0.010976221807605342
ICAM1,-0.12120454811837898,-0.0823464664184279,0.17623377080453648,0.059221166446955804,0.048513109228282995
PROS1,-0.0747179729014042,0.02478888002604416,-0.13212369237066318,0.057507880500202675,-0.00369325638485353
CLCF1,-0.10303695495920935,-0.029287542328311492,-0.037158322094060815,0.07013969338104291,
PSAP,-0.11064899723481711,-0.055380897321941513,-0.05191195027917642,0.0855411701443427,-0.015166433171878017
EFEMP1,-0.13371923400555305,-0.016959413155064856,-0.21478208896166381,0.1183734278041593,0.07688180499510994
C1QTNF1,-0.010632480072353156,-0.12139839352427867,-0.041226077378009506,-0.004915844103077585,0.012521636499725344
ALB,0.01868398355589345,0.003123486565948403,-0.15422105985565934,0.026543134459040697,-0.03753127879622438
CCL13,,0.049061627010463696,,,
EFNA3,-0.04978827052493708,0.014986788260212608,0.010030621078363531,-0.006731737244844605,0.0706778962185305
DRAXIN,-0.021219683681877426,-0.07341723909905971,-0.056306091564452494,0.10192424983004958,0.024154387976115035
RAET1L,,0.023586282224960033,,,
NPTX2,0.0649250145821052,-0.00860453832115431,0.05630684673003932,0.035148840266338216,-0.017747106047502837
FGF11,-0.030499115185387726,-0.12047670198729285,-0.08220151519084036,0.04871945944102585,0.12501063367819182
CD59,-0.016165077411991094,0.009587661567012695,-0.016792922830998227,0.030309788742956683,0.023011999246786194
COL9A2,0.11845487325468493,0.06347579468634082,-0.0029919852821926503,0.08244655615308848,-0.04647870402137226
DLL3,0.0383267789955716,-0.024668081456173174,-0.08816855153550958,-0.0028487104893531773,-0.03862033341139715
FGF5,,,,0.10168387150129361,
LIN7C,0.011984032656603857,0.0236570977745695,-0.149543307689245,0.0800910489416839,0.1594153205997386
GDF7,,-0.015585666552957168,,-0.004901500090642995,
PSPN,-0.06436752040370693,-0.020668886312867927,-0.001000938226352945,0.10735777370037329,-0.06261891137263637
ANGPT1,0.10003174826713111,0.12505977089064815,0.03222044019157768,0.06120137602312535,0.08305478412399288
PNOC,0.04641351089729064,-0.01742143142369526,0.0441684881141247,0.0841510610955055,0.055443748026649885
L1CAM,-0.0671596935602049,-0.04220065410905763,0.043469496652916405,-0.043047586350085466,0.08596449309994092
APOA1,-0.02287666060183043,-0.0033276209513551187,,0.032330587204255315,0.025115225589430714
PSEN1,0.03840460845185449,-0.02780963548884217,-0.07196128172548613,0.02831045114162637,-0.028494694119819874
CALM2,0.09380790523867613,0.06054962366050037,-0.12409186924188234,-0.015944607513288488,0.08786462384495419
CLEC2B,-0.051587633190167216,-0.044517347221988426,-0.017974757931521312,0.07121462359716348,0.06943390422829038
NTNG1,0.0019174058597760558,-0.056707252201507415,-0.14855350285515107,0.1425238845130016,0.042468300655236095
LRIG1,0.16905003150083728,0.06471812331444594,0.02422688389829923,0.028201519009938926,0.04267764542611192
CPAMD8,-0.0382955556468335,,0.05668817522633021,0.00015963602127100931,-0.009279389475382708
GHRL,0.043549722525760504,-0.0009542912160062695,,0.11415928565138492,
NPY,0.05676251475444223,0.05343289785321138,0.1585787993817521,-0.008003261874059758,-0.03830882979027329
MMP2,0.046970360302771595,-0.11368252759804326,-0.2037080903164868,0.01572168485762259,0.1001241511782031
PPY,,-0.001012243167325902,,-0.00898027372908993,
ALKAL2,,-0.03560537184959748,,0.048936952341427614,0.05411634644359588
CSF1,-0.05871955716708914,-0.08964918570563639,0.06883006390790397,0.05045040433371071,-0.006206719459247485
SEMA4C,0.035956804622034495,0.03368246446322669,0.023496457103516225,0.04719466284556409,-0.038823812235182276
BMP8A,,,,0.06410901573454184,
ICAM2,0.009298896563145996,-0.013352111597027365,-0.07426942104850741,0.06711697654166686,-0.07638725055010624
SYTL3,0.013568469622976772,0.012819795922749459,-0.10756747627661059,0.10778861881117463,
IL1A,-0.04106353688126426,-0.02199378762817383,0.135563043226093,-0.011659880973839779,-0.005774538091230626
HLA-G,,-0.05622859471787957,,,
PGF,0.014603059138593177,-0.10047733606568085,-0.05988728538594019,0.020738890603428276,0.05315636788706768
LGALS8,-0.05090825701527987,0.03548135833875866,-0.14246379337340065,0.045754689438131046,0.0028064223175397816
DKK3,0.10919322237159212,0.059560968528759334,0.014052639343280226,0.07402784607751144,0.15227499820187032
COL16A1,0.11102351263577429,-0.13168327371901126,-0.15082372233818497,0.0027897386837793035,-0.04535753831595389
TPH1,-0.016598376363981794,0.06520665387874695,,0.1199763442542322,-0.023996836966643457
TNC,-0.09583128801648953,-0.09755368603835876,-0.21518376885425236,0.11373092687143374,0.04394770177533912
TNFSF9,0.02917131786132718,0.029409915933832714,-0.03605928153772901,0.05945614005971836,0.0788475766481667
C4A,,0.02903311854419083,-0.011467748837742424,0.04179465266270583,
CNTN2,0.06588847584085997,-0.0056972142292190065,-0.058113383346356504,0.05788064819881619,-0.18736666402862173
F7,,0.004769614885923665,,,
LUM,-0.054417829497109424,-0.0047917329923275725,0.0002902322901184853,0.017445889961390158,
BTC,0.0639504600385786,0.051302306494294285,,0.1147919579214445,
APOC1,-0.00366325112001934,0.038867642312731425,-0.3718102600367135,0.012654029673177202,-0.04043363974626137
PKM,-0.1610259413191238,-0.07368675486861725,-0.12564427784713647,0.02021628865415304,0.08202339129189823
TNF,-0.037803604599679866,,,0.08808329292683618,0.0359378934933624
GNAS,0.14412141155669822,-0.01267927233895167,-0.035945763082218384,-0.009945678639403915,-0.003642302764985678
BMP8B,0.005099209430278464,-0.006586873212631646,-0.05552802685457326,0.03707149119754238,0.07696858255696797
LIPH,,-0.002981392018635629,,0.0262915304245107,
CCL28,,,,-0.03929424013285292,
PTPN11,-0.05338413446347257,0.02979387322317154,-0.053194698963851136,0.0259022239208512,0.03948888583604694
ADAM12,0.0190364098726899,-0.06303610108436067,0.06093196678789489,0.04597993871351639,
EPO,0.0577393629635056,0.014093205544639498,,0.08143552595828377,
EDN3,-0.005891355678306429,-0.0031253977609252627,,-0.021281868385605515,0.08786774109379572
CCL22,,-0.027276454944443553,-0.03933933149046106,0.06952654075796205,
CCL2,-0.1591472606527309,-0.08342690006963523,0.23611003731242394,0.11048638938392613,-0.05832314447578108
DSCAM,0.09876743025129602,-5.3812219063912876e-05,-0.14232061604592727,-0.0012262840370932339,0.053874946218761544
ANG,-0.07553034862341892,0.027927850356534986,-0.015313903457940325,0.06985330198048476,
FBLN2,0.02289304751191386,-0.049375378603315825,-0.00191184978506659,0.019521498224520463,-0.06064055896955182
VTN,-0.003949750149997805,-0.03871985410530595,,0.006561500708400548,
VEGFA,-0.1721999500177433,-0.052980871443840935,-0.1213629438005129,-0.05972431257430866,-0.00693648135228042
F10,-0.016203801895528187,-0.0018465798455218152,0.10192014757331541,0.023972646966022946,
SERPINA1,-0.08334207495969191,0.03883026617070996,-0.13289407363837513,0.042513636171465745,-0.06431592004129116
VWF,0.09559422549511155,-0.017339364499343056,-0.07463911268352665,-0.05679996323023024,0.10692704423386205
GDNF,,0.0051351663275151635,,,-0.023611196661786994
VASP,-0.03911987425113545,-0.05428792098750662,-0.08739111642772271,0.026864699785297375,-0.019700195679946745
ADAM15,0.05431075924108259,0.038421740278970565,-0.10788974673812242,0.07160026262415202,-0.07656845025756445
WNT2,-0.0326800417787834,-0.034472152596003953,,0.11544992331605647,
CALCB,-0.04912452295195326,-0.016951038357197107,,,
OLFM2,0.07330528753667997,0.0048197702689582005,-0.08189812173913794,0.026929115871364043,-0.08362257868249856
MFAP2,0.11279461656039158,-0.03525998790553974,,0.10279287710517643,
HLA-C,-0.010189610486406046,-0.052337571704312386,-0.1914938446238995,0.03087965097484239,0.052894045171978314
THBS1,-0.10178224278141466,0.04098580614124948,0.0786831245158175,-0.010551399875390024,0.002265864499554346
HSPA4,-0.027671270738958666,0.030946310930997152,-0.0019042239469289869,0.01343602348458491,0.03208255004092483
LMAN1,-0.08791491106650909,0.017188395393372382,-0.09901607853877724,-0.020097304865548286,-0.016970353883547742
LYPD3,0.05968198146760123,0.09347937911755684,,-0.020395933196806455,
APOE,0.08337848406083737,0.07643349590502974,-0.28806230760498314,0.07062101584970645,-0.11944043543729055
SOSTDC1,0.023201343075194527,0.03429744762368937,,-0.022858320054117254,0.11151071897694585
ANXA1,-0.14001699619802696,-0.03598820109383042,-0.1323350274029746,-0.008565909709154204,-0.07369812104638314
WNT2B,0.06891938930649853,0.0207026918441523,-0.07472709172680725,0.06454700057915096,0.1186192466821756
AMH,0.017311727517615585,-0.013101459954843754,,0.02097389870069887,
GDF10,0.014202269260623377,0.014186402625394032,-0.014627546805154478,0.029335112881979333,0.0965773614384324
EFNB3,-0.03378622667897485,-0.004798916713000402,0.020885285628467958,0.025892164638170165,0.07906741552459982
LTB,-0.012000566621552567,-0.013598536792182331,,0.0766511213476945,-0.00454675481003877
ANGPT2,0.08997518363089241,-0.034459358637604035,0.010661571300038067,0.024613070972346246,-0.039448734439447755
NRTN,,-0.0015879246005653152,,,-0.04082913576357019
ADAM17,-0.0683670192253631,-0.07971229136421294,-0.00589494367839638,0.06365391893587999,-0.06805875348756059
LRPAP1,0.06744510581845832,-0.02930141527658275,-0.14128074581156172,0.049276797439574256,0.07978917925207525
NID1,0.11729408909038119,-0.0032839867054519907,0.0028245086555906524,-0.0022741971909423873,0.10453847731402165
MST1,-0.0007929518559381222,-0.06860121014736326,-0.07442644847668266,0.04733605208465481,0.05494991808099044
DCN,-0.0044081932411609405,-0.019960826227457318,0.0010950535963689869,0.01334019953004061,0.006277779842902494
IGFL2,,,,0.16823975863252186,-0.002134722366958376
COL7A1,-0.06989861115142607,-0.045856755544765926,-0.11466906314077334,0.041287630315478184,-0.03184809723325092
CALR,-0.11114595294839373,-0.15667399734816484,-0.03291485963958685,0.010328655009672746,0.05743267321623133
PIGA,0.08118241176548546,0.012995222665897343,0.009574277686447544,0.06377562384351251,0.0034685602145531447
CD200,-0.002501393623935089,0.1046636585510155,0.05716722776862701,0.008608263940322734,0.0830488445660048
GRP,,-0.053406343402346936,,0.004123178226036144,
CDH1,,-0.028012889245201227,-0.00792763559996995,-0.014386309333820447,-0.05779390495128284
LPL,0.15249551537641623,-0.07687127322760813,-0.03870342785197797,-0.028318820161438874,-0.010047661066908568
SEMA5A,0.1203964517450882,-0.14178500815011386,-0.019432480606280528,-0.023828681559724927,0.06851977272051014
SEMA7A,0.046601644172866004,0.016514344013520713,-0.0019844612413271643,0.060914887531458524,-0.03325071425652527
SEMA4G,0.015275753900007969,-0.004999732529873326,-0.033926258428106024,0.0462910311469302,0.09307900512448253
SEMA3B,0.04484751797351619,0.03296177711638472,-0.13942527947270475,0.058316781259212615,-0.035704586954649196
RPH3A,0.025440450608752743,-0.01571622526814931,0.10550358524842425,0.041454425576982805,-0.0032687648525522276
JAG2,-0.00015295009584530032,-0.0053491287905052635,-0.023158199063966465,0.061610905085037186,0.01404075653248106
CGN,0.03297156081593111,0.04943288512391196,0.0017636614025861525,0.08763446730011727,-0.04548871820405803
GDF15,-0.08387393950566739,0.0013074697553165308,-0.12165869053059263,0.13264620210484704,
SEMA4F,-0.03919419869679417,0.02342030078947276,-0.05311724567698174,0.10471711757089244,0.00812541835073153
NXPH1,0.08915764586605489,-0.06984303640119192,-0.046435312135412014,0.04714388669418213,0.13122843180172306
ARF1,-0.03215265846029931,-0.036261470075542125,0.0639706266243751,0.0004441334027506388,0.1017385969917651
DSC3,,,,-0.0417861714024049,
EBI3,0.006525350899797282,-3.554112142304449e-05,-0.08617109195480284,0.031443235386769915,-0.06812146084614647
TIMP1,-0.1194539133191899,-0.010146312827790589,-0.01301607896471544,0.053899110658265116,-0.01571640149097162
SEMA3C,0.03206524161176015,0.045042661094266835,-0.09786562123945189,0.10138024513774772,0.08970064265954605
GNRH2,,,,-0.007965486817624714,
GAS6,-0.005382855818095427,0.007444687188142489,-0.09906604846742266,-0.01629322363244684,0.07704415063748268
MEPE,0.004893976249374526,0.010831927048676929,,0.033856886156380515,-0.024460210457069777
SERPINE1,-0.1326114610059355,-0.0628595762980671,-0.24302951729870417,-0.012750408832979511,-0.042520406481036395
RSPO2,-0.038024032193194314,0.03074700309446172,-0.030401400843734588,0.04764734005805953,0.10712819547631122
SHBG,0.014186291735424827,-0.07469951171131037,,0.041747198371002076,
LGALS3BP,0.014643169218011393,-0.013325633320182715,-0.21511354046174494,0.0720734476132059,-0.047177754083538755
LAMB1,-0.08916902553393669,-0.08388271502705359,-0.12500189721476065,0.03096272013272358,0.10043943261676117
SPTBN2,0.037988912537479484,0.053464652522121715,0.08389357991449016,-0.002984103113431466,0.09378543690805798
COL1A2,0.04887373162820242,-0.04131118047540814,-0.020863196713811167,-0.010652915803545434,-0.024246023215424076
DEFB1,-0.033082089432391965,,,0.013837877636998229,
WNT11,,0.06617877811197459,,0.05767225479105265,
LGALS1,-0.09762764403172682,-0.07773879146708619,-0.17575636727166616,0.006397963711433963,-0.06288915056225768
BCAN,0.20527743873673324,-0.08355253102770148,-0.3653086175866916,0.06324701675531565,-0.012045166724791698
ANOS1,0.002944304947302028,0.046467525200432874,-0.06690713274624828,0.0946595717903911,0.11300540109314783
EDA,0.10230933668601136,-0.02028333654700888,0.060752880565900495,0.027988524878839266,-0.024859089883942382
FGF22,-0.04055287069345224,-0.019730901650980775,0.005456124220498403,0.057879789813882504,-0.03747726717110965
SHANK1,,0.034185084692149856,,0.04410795385040779,
