,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,,0.008975234962025356,,-0.008834992214737577,0.04009550478641523,,0.04092755436838815,0.025340237218815835,,,,,,0.022281421998861947,-0.021316735566359282,-0.030441307375075104,0.007140745034764122,0.017675577003277845,-0.01586763428666994,0.038062053299122135,
PDAP1,-0.009056960288419338,0.04071863150404064,0.032458030778987845,0.034451174677968974,-0.007769084888670018,-0.014424558472936298,0.05579098819994677,0.035750220334119114,0.046207065674893875,0.004829715633675965,0.010948460372764637,-0.03714517389663396,-0.03961677294003539,0.021787349906562243,0.06558819318932044,-0.0027538188520785877,-0.0037711247226441917,0.000459552555879947,0.047829341932862326,-0.0029596646535957477,0.027290318423064047
QDPR,0.043396562813431655,-0.008079482787723507,-0.0489360005701936,-0.027788567201844878,-0.009767468580195508,-0.028728377026041425,-0.12726815033882785,0.06545732156877784,0.027253125313978048,-0.11326082845807911,0.08027638963089485,0.06674721482351384,-0.07747720804511746,0.11174416108593452,-0.17395361151233116,0.004995308216712455,-0.03042178005857003,0.04505999137220169,0.009687099999370603,0.044002239881082705,0.04758591715336406
POMC,-0.03005446996643502,-0.02607356621366331,,-0.021278117408708573,-0.05660482421301027,-0.03473900750070303,-0.008360716135856953,0.04460417868585094,-0.027191791963413366,-0.029257896892488314,-0.0263412019822987,0.068760570954488,0.0362876542528703,0.07930967101920364,-0.05414363431570896,-0.031305007488446175,-0.04760456879056574,0.048636884804917936,0.02993168675852573,0.03427872824513175,0.032380208702231614
CCL18,-0.020590061876080628,-0.02743242103583835,,,,,,,,0.0063480677901774024,0.023045239015565783,,,,-0.050099852955327685,0.026115964646579833,0.05106888926860924,,0.07063521799371056,,
CCL17,,,,0.004817710297183338,,,,0.04310280479820604,0.017031245264752557,,,-0.012380852518615043,,,,0.10320526678006631,0.007620514731864702,0.09783528904803547,,-0.026003608643003804,
VEGFD,0.019140617986600317,-0.02743242974691689,,0.05054187204049506,0.022259076532272968,,0.09885741846137022,0.018015286898295787,-0.02882019840052378,0.07186580538458219,0.026458911350645358,-0.013268943120514182,,0.06030191654170926,,,0.007256413281447772,-0.023087395779263734,,,
TNFSF13,,0.04356503092677987,,-0.022104339748802975,,-0.01883721473584529,,,,,,,,,,-0.03067188940243324,0.0018406183354841424,-0.02347439961789538,-0.017818289814852003,0.04051559387631394,0.06327531037905978
WNT5A,0.04973780201843842,0.016413541608531226,-0.10766617030186927,-0.02387890732951921,-0.06366554920001984,-0.031457524570476646,0.1121633563252532,0.0953787556096549,0.06297784578946158,-0.006353073214241641,0.04389245465933283,-0.023263839372295446,0.04623297345087276,0.12269278538026143,-0.03851088732089688,0.008279246462322538,-0.03244578879676492,-0.027256824885166998,-0.0187501252218644,-0.009936313668541327,-0.0049088351083878675
CXCL8,-0.02544819072687831,-0.02286106225869073,0.0829627975143898,0.01741572631698054,-0.007060522933761601,0.04434377943306458,0.05064718046071542,-0.07348628379223,0.07745096353336481,-0.07257775305737892,0.014131647584765336,-0.03989463478758989,,-0.05673519299929348,-0.0373411309172977,-0.020695211058167733,-0.022061522650792056,0.05476021193319831,0.07703126563388515,0.015907778619227927,-0.06544409688606326
GRN,-0.005741175663995914,0.002066913706907811,-0.04515291689907928,-0.0027373363231597493,0.047263011843376765,-0.015089945340341724,0.14143297461397483,0.038381420174349624,0.09831369704642684,-0.05259626458105679,-0.024349159276032338,0.004372681836116717,-0.03760497742800623,-0.05270142859927131,0.03442568488144203,0.08123676079089065,-0.06353449411339467,0.00259697986538726,0.020190259445441783,0.016019640509784525,-0.09433623979225965
MIA,-0.002548644255523809,0.006345100045643273,0.06399359529665695,0.028636136756052866,3.394503950437972e-05,-0.03406131721048452,0.030759314571144447,-0.02697455312535489,0.07471893252851523,,-0.024136174563801058,-0.0181724256868345,-0.048968065344430885,0.010384955042690444,0.052879990126584425,0.07747738282871133,0.03396231138871343,-0.05008427762687143,-0.022543766676544088,0.16041897501527014,-0.024974625167445103
COL4A4,-0.04220063311952282,0.03157690322425706,0.15902828417878717,0.07365431644430888,-0.019417286099049292,0.002317953503195747,0.045526255972535866,-0.046295073608474575,0.016331013805870258,,,0.0014108200143491513,,0.15083130654677526,-0.0633418679984908,-0.010619009302648398,0.049539390210696664,-0.03372007071523806,-0.020552167453626743,-0.00648993449789779,0.09353588073086279
TAC1,0.02815485413046091,0.039565924674516875,0.022751022663937904,-0.008456149607876624,-0.011627526975219288,0.03544815340795687,-0.035227269427792335,-0.0531437619811865,-0.08268355886856166,0.11921802441423254,,0.016592766381932522,,,,,,,0.04412607774550446,-0.03418438771944816,0.06252674095227795
RARRES2,-0.03164787292357339,-0.018664846581874832,0.05851000935598965,0.04239244766146815,0.10184448349447449,-0.034206138877425685,0.10353398796200378,0.21572661910906515,0.04482370864694836,-0.06507853975428161,-0.04010426768644415,-0.05707327364015618,-0.03749438900509997,0.11542125272507077,0.02131430466180506,0.005886732875341803,0.003028053579663838,-0.008289064094716816,0.00789103287303596,0.03009582228576951,0.061631676465192686
FGF7,-0.019359433125975115,,-0.02442178685922181,-0.025199810368567003,0.03334078806724521,0.08377650164258123,0.028578057207034917,-0.030853325963617246,0.04872064440542074,-0.0022080204454405948,-0.009146538668083744,-0.039282706018630965,0.06681213961604204,0.07723039816977405,0.050367267065709945,0.02189751724256135,-0.014033577184942123,0.04143858247115314,0.02163268747097939,0.0031178349214401988,0.1286854581277882
EFNA2,,,,,,,,,,,,,,,,,-0.024669420747878455,,,,
HBEGF,-0.05347358527632737,0.00373608599223315,0.031886133100430064,0.05463752551152072,0.022282124230247412,-0.03673000483838522,0.08752280836352914,0.12578014620060154,0.07302707555197552,-0.04189618674544871,-0.09069647042246642,-0.058286762274874886,0.08272591104218624,-0.08062031385404252,0.03919099305895374,0.0009704040202532284,0.04645529685050078,-0.0030695521692748404,0.0002317488515793848,-0.04203515395101254,0.01471826423818399
CSF3,-0.04220059970915552,,-0.03321193872064561,0.016143298503810997,-0.029911967060773717,,-0.024567237505153456,,,,0.0033646546307247644,,,,,0.01816592026246024,-0.01280205651101544,,0.01102518249997259,0.08090208966668835,-0.05586105186496228
PI3,0.038364601022853155,0.01874400899692461,0.04582102826874122,-0.05175659892403724,-0.04552224826981512,,0.056252542549671984,,,,,,,,,-0.0004058779099155427,-0.045796270789789414,-0.018599288001174025,0.11302850502385693,-0.021912744074183355,-0.032392305371767655
PCSK1N,0.07643539754108127,0.0317101407168157,-0.06789485299696098,-0.03122178136706109,-0.035657473438096894,0.032290919215653406,-0.008777418951943387,0.00034830968014042373,-0.15164282846638044,0.14840889134533136,0.041742311090430244,0.06565603475469321,0.001509158764069146,0.06876253563564866,-0.015692126314217267,0.02187347732568506,-0.06401841765835456,-0.021060712241248437,-0.05383980731926002,0.059883749213727515,-0.006982698736230074
NTS,,,,,0.15725683091510453,-0.021879639229864627,0.08246942036597898,0.07645888464664923,0.11357657209879148,-0.02867612116494974,,,,,,-0.03365173192137374,-0.0014331664871531883,,-0.038477515982967,-0.01904388199827697,
SFRP1,-0.035565173974905454,-0.0008558911903731177,,-0.02796102729660286,0.09036409798202316,0.013990744608949227,0.03336203365792884,0.062237459401227054,-0.036349497116461287,-0.023439116875755138,0.05919220172974986,-0.025392376178655116,-0.07895561861065487,-0.00748845335714198,0.0268359487005976,0.0689027047778246,-0.006413637548599876,0.0835539922556849,-0.07238388586472304,0.03574972605959375,-0.0183112869762681
CXCL13,,,-0.024115797240513912,,0.03469681369068868,,,,,,-0.03496244718227942,,,,,0.04791916013440563,-0.004448517225013098,,-0.02691633428197963,,0.08951552396407528
MICA,-0.02302379662366678,-0.0023547520983102934,-0.003667726733154453,-0.013237148138286395,0.04413255886619537,0.002480645702742547,0.09261128097010053,0.01268003973582073,0.049893197902388074,0.05533902599968031,-0.021643859654218153,-0.024204741853534766,0.02141218607927495,-0.11735162522458453,0.026046283959322045,0.024311133037418227,0.030277176229580174,0.006807661214947673,0.0008223125437204128,0.05500748663295065,0.04769409913782333
TG,0.0036165841958571442,-0.010486104866720245,,-0.03017437843724323,0.014180365280320514,0.021138477093976676,0.0034776785258341446,-0.02619265424953887,0.023141423681602054,,-0.027899414762341302,-0.018597787457634903,0.05000183269915579,-0.02927847371436461,-0.05405585045227495,-0.02869652735977628,0.08529482987921852,,-0.018722300252241322,0.043761866767405774,0.04792622679721422
ADA,-0.012575336564754716,0.005496711986105346,-0.03990128059926666,-0.04192596427131809,0.02530598239841778,-0.0037054545136626232,0.07718768543418912,-0.05110049520408897,-0.026502022649305977,-0.05078333966944888,0.03643453187895052,0.05728300275236451,-0.006893852799594379,-0.04781029586304205,0.10463662920602458,-0.030896099420609568,-0.003592887318289234,0.05175718657871294,-0.04543879949415328,0.03652110108242468,0.08054731000936756
LAMC3,0.03882218840220125,0.016633087028019026,-0.025333384493062553,0.053494775207272804,0.11804400852471104,-0.00047741755923291166,0.0964641386109335,0.0409779069219342,0.0180177010297846,-0.05554455863908566,0.003877960693387585,-0.014321985351369488,-0.00038011309857246227,-0.09051554204081705,-0.011006529178436603,0.05166086933223947,-0.005791184087559092,0.01754461428116082,-0.021283839354900642,0.0003269196255941976,0.017150240991380825
CCL7,,-0.017449337208416987,,-0.021816027399638133,0.02265107721194793,,,,,,,,,,,0.023977015045368966,,,,-0.012848050633689708,-0.051204599489040666
NGF,-0.02431296510772761,0.016206001158193314,,-0.037561990508163424,-0.02400701332438027,-0.024099921135073414,,,,-0.010023795436568422,-0.048788512643736875,,,0.005357012912467592,-0.015526202399443634,-0.03738288368978993,0.07825080541180643,,0.017807664935800663,0.0016730571059697895,0.01242741567404947
TNFSF15,-0.030078172179122196,,,-0.024293213517728986,0.013920138322212323,-0.016591699261031854,,,,,0.005490576773754075,,0.014040846108762724,-0.09027798764779395,0.03449481821838313,0.03779303282777188,,,-0.014126379052563778,0.002610224947541071,-0.013118399787834158
HMGB1,0.057032251164632654,-0.005453270524230216,-0.03038865756653464,0.055543570746496296,0.0014759912672485322,0.020796505081652306,0.043103450127259614,-0.1242847113322682,0.054671979331320814,-0.07067640031864605,-0.018378417656052283,0.03531833974647864,0.021816103447616083,0.05060576021327925,-0.007294635774513533,-0.013706472216525174,-0.05050352804279625,0.038239687876724326,-0.03264913162011741,-0.013978677394969805,-0.033529614838805295
ITGB3BP,0.04258925945155697,-0.00473104444267691,0.07506664984817667,0.01009231187781996,-0.07081742087476288,0.007796829368243468,0.08111819216313904,0.06487789086557545,0.02726754850872238,0.023550976974990763,0.030465284725949737,-0.04362532510588325,-0.012560942569484325,-0.04675141493828876,0.004227310957505772,0.02189402974261814,-0.009416963990120795,0.02967885185707465,0.08189334424207297,0.03708377239830831,0.029752244717074886
AANAT,0.01102905456991224,0.0832961705331207,,-0.022104342107957083,-0.02966873408026911,,-0.03852980524592868,0.06402695845327101,-0.04142421365915531,0.03451185639876607,,-0.016607729412387393,,,0.01963644748810243,-0.028396199499786796,-0.008461286133281608,0.04904565076257528,,0.05758195645658839,0.01743602811089763
RELN,0.06976684445173284,-0.04816381519604317,0.01668876718415419,0.025643058299686494,0.09546613522728192,0.02387415657201028,-0.01488912158064567,0.02027560577221348,-0.05354208255035467,0.011321230520828191,,-0.018386189931429254,,-0.0017955147651971825,,,,0.12837636430374078,0.026590109058093104,,-0.008139063200728828
IL15,-0.04275560256082947,0.011664311363111633,,-0.016086585146734823,-0.02706985655187154,-0.020822070830114385,0.045168658255957124,-0.0036991446987705715,0.013446678018716051,-0.004617186481719242,-0.030249380205931323,-0.01540290143322245,-0.054544205896558826,-0.010925561452345979,0.0327193118034303,-0.002016600513941045,0.04759742772860367,-0.0337200664420154,-0.011469386693990165,-0.04053279627493107,0.05708732177112689
UTS2,,,,,,,0.10827888083211831,,,,,,-0.01691601849044206,,,-0.024181442123426745,,,,,
BSG,-0.04491968831290553,0.0029912833715609356,0.03911545337217321,-0.05409927859867379,-0.1344607471776487,-0.01771986880298492,-0.0516013458600562,-0.2568905705444793,0.04705115463512335,0.11562153933495461,0.012316348588360596,-0.06496720892776084,-0.003966225507303481,-0.06755088806808625,0.10092848703969326,0.05109137469707274,-0.012342468004158426,-0.009991590506172612,0.09153400128984505,0.09429692786562978,0.031947155723467256
ADAMTS3,-0.011114836509892586,0.08072972154711332,,-0.008474452549773713,0.008048444216176736,-0.03353833254440413,0.09704521978773219,-0.01552014574381096,0.017472724115173296,0.010595088651610728,-0.033405723622885186,0.0023407182989179797,0.00680568795183321,,0.08422391495686597,0.05546858802814661,0.003134691014663895,-0.01684438563046636,-0.0450839471199137,0.0768434072592812,0.05580321548110726
CD34,0.00011797684872106855,0.02296823767743332,-0.03573167816570962,0.013105807854292469,-0.00333892224775352,0.02050513782636878,0.09714036973466886,0.0221012028394764,-0.02877764369236027,0.06518452919527883,0.024517017248234057,0.026340884006239997,0.06443742853218058,0.045922434780598646,0.026549472599143357,0.08765034266975077,0.0350261199551719,0.020337189444082526,0.016463058323207862,0.018142898702582417,0.12447675304420537
CCL23,,,,,,,-0.03526212103825559,,,,,,-0.030151605480645747,,,,,,,,
PLAT,0.02133716773851968,0.04331773715256857,-0.058594434121534734,0.012957167400332396,-0.04518171384217816,-0.004868926093061674,0.1330555615076785,-0.03198936093496069,-0.021306245833330364,-0.09452819157263001,0.04092368988675914,-0.021385198168119863,0.06768465514628673,-0.002168654513005462,-0.005035990055850659,0.06411489034362966,-0.03089269807343111,-0.06555332964181636,-0.04288119871592557,0.033566511171063414,-0.005896766097213492
NTF3,,,,,,,,,-0.019179372052946796,,0.04258476379191831,,,,,0.045638210637148485,0.044677252634176684,,0.029552862437320093,,
LTA,,,,-0.027961025988542054,,,,0.02000340778387684,,,,-0.015402903334563792,,,,,,,,-0.040852504845116176,
CKLF,-0.04950244317198398,0.023953360169641825,-0.034242614586916915,-0.0031188616127438315,0.013248999883882322,-0.010464759903661683,0.10794946001509703,0.20773702286014215,0.06571011724435123,-0.08108347854396276,0.02619195911432923,-0.04300263276382968,0.03248262079853719,-0.07232767281893315,0.01122837894219954,0.05942308730857471,0.027665679117030318,-0.034597703871272804,-0.03422069700395299,0.0261676479368815,0.025671221657977358
APELA,,,,,,,,,,,-0.018630191331469186,,,,,,,,,,
CD24,-0.0017976106797277312,0.02591334324229858,0.03216422221854674,0.04808505998447475,-0.011473001319859306,0.07825835682806255,0.03271482802699377,0.26680386416164525,0.2618333992620223,-0.031201259669542136,0.06547666423970701,0.0018418261003620537,-0.041427062323423906,0.11873502515180864,0.052756542961261185,0.015663495723901005,-0.01816567317961539,0.09200649589373765,-0.03862676426321863,-0.01572704091169423,0.004435798176381428
HSP90AA1,0.06445454290533612,0.004558282214442169,0.058349614546168924,0.03767073261639171,-0.057657198650167,-0.01003349051416883,-0.08708651270861487,0.3558319425188079,0.0075309102295196715,0.11511870437165325,0.04749606114582048,0.07539402931537313,-0.019636195591347726,0.08247580403521383,-0.06584679540819136,-0.07574877756789195,-0.0416593985187809,0.0035887581741896415,0.03629011920460408,-0.03657246479560599,-0.024702613613607833
BMP4,0.020219634090842403,-0.020587249419966938,-0.0428238421043791,0.025977235803590727,0.018198782413366227,0.08345411735825167,-0.03319041961825884,-0.01598627781748922,0.028723648893782202,-0.029931738420825808,0.023283951057140588,0.012160765755782973,-0.05574635453481147,0.12214108332867352,0.101693641405084,0.09469855109308478,0.02293804916303004,-0.047890418707062385,-0.0016231996604904012,-0.006474852520122198,0.10079216025980785
SCGB3A1,,0.06018889296334693,0.1473086327809838,,-0.0240184628995948,-0.026579741680315554,,,-0.00818393856141259,-0.04745677316745047,-0.03564694422590936,-0.010747942251981083,-0.03720950342890512,-0.0310782893810643,,0.014440272522906946,0.031506852373908205,,-0.029336031797655763,-0.01038178162250251,-0.0006711600683711092
IGFBP4,-0.005662127267303057,0.04960091941812335,-0.022666732385613092,-0.04678660898253039,0.013162316970896702,-0.012548849877241492,0.1526437373571823,0.13980585719925326,-0.01795155199223629,0.007150126907620085,-0.009383592804996668,-0.015319420283732808,0.08015761842293247,-0.0037731497398843985,-0.0032727460244710987,0.06871875219849619,-0.06236515128320978,-0.04757455450212959,-0.0227232644524225,0.019827748460516856,-0.007011170553874985
RSPO4,-0.02970077953605335,,,0.03638714073948241,0.04187137872521437,,,-0.03516268082106021,-0.00021457898650898015,,,-0.02136625183228403,,-0.0525897458621931,,,,,-0.019756568942834278,0.134803314009855,0.07029424044612001
LEFTY2,-0.04974899784751527,0.050080255325874096,-0.010789494623186178,-0.033946694596220156,-0.06329475318574057,0.029086828887306015,0.1634651695876475,0.029754579204969107,0.060460013176623036,-0.028676140046272898,-0.019251980969571425,0.1054835535368296,0.08068075254749518,,0.09833322601962993,0.038309648892563594,-0.0141539994654562,-0.025037932991370186,-0.026867628527761197,0.009935797001991625,0.012230910553367643
PF4,,0.01994769225947921,,-0.01903405410481642,,,,,,,,,,,,,-0.022611232058994346,,,-0.040852495391543536,-0.03833780501213577
ANGPTL2,0.0006018369080604053,0.007429673397354265,-0.06296676360668854,0.029789761259717207,0.05027102766433132,-0.028384033979717387,0.13375828300851034,0.13347002811932576,0.07498434624802584,-0.008745257996519094,0.05648329813918835,-0.014676117802337739,0.10995913817123035,-0.14670404487807737,0.011712838229833043,0.05168949205976991,0.000594680583916274,0.048639427594886146,0.021598331368173403,0.02686726671144555,-0.00888903017020223
LRIG2,-0.012379784266160326,0.002800599895475679,0.02108859225217161,-0.01923808232674465,-0.07861722664600046,-0.021703877346082524,0.05488939449280089,-0.026043916574131448,0.0776271142289903,0.07379074535716255,0.01839478877283854,-0.02229891837418853,-0.0177162046860323,-0.0515759710375309,0.05854602446899794,0.047510474732345695,0.11245794402707868,0.014612679392385872,-0.01192704597998122,0.09933588865835753,0.11112702287041641
ICOSLG,0.05699406160860364,0.04216512445041674,-0.045398873004521084,0.03637924121523913,0.016187490369460805,-0.004900274964382267,0.004371883131602775,0.06027808909758656,-0.0017586575509964254,-0.07130359959007848,-0.03842843158972054,0.014257581245068129,-0.03586211329004109,-0.027097031443759193,0.03159355872736452,-0.00872317835140026,0.053705675627653965,0.011974555027649,-0.02391832113215707,0.011444106524566573,-0.06372920028630893
WIF1,0.05112698665860022,-0.032569603670842544,-0.018639402842420928,,-0.06820781265507184,0.01912204919534835,-0.019789537979370768,-0.009140435216417381,-0.06451170920080698,0.14647084127079307,,0.0042725381823299395,,,,,,,-0.0183656444912898,,0.00557087636114356
NPPC,0.005656225594174722,0.015510511205734014,0.04251991582454942,-0.029526511836615633,-0.01361644850386991,0.06372837230169764,0.07167947888609628,-0.05894309465371127,-0.03498352084442417,0.0022467549060767446,,-0.03649441544299143,-0.026639978261007453,0.01799609132580731,-0.037296064244163145,-0.029667909603797827,0.06389277295560347,-0.025688617229723355,-0.01724570928534126,,0.02642334981962728
LYZ,-0.005572405341216464,0.03569401673702269,0.05343143176989514,0.02499761452277961,0.08427045989365965,-0.009098210080138508,0.06961886836778679,-0.07796243899560484,0.04558073155055458,-0.07781955092546451,0.027233461488604446,-0.025347547163682815,-0.03154445940892675,-0.08112151826143317,0.01085734305286597,0.059614619840929986,0.036248051064377264,0.014064861152069208,0.01468615807326077,-0.0017994846629261574,0.022368327950044703
EREG,,,0.03765292616858606,,0.08310559952573836,,,,,-0.01016151359599764,-0.022512186901217215,,,,,0.01900008065226253,-0.00429849767537022,,0.03642143619562407,-0.01282187121833784,0.037674187175930574
SPTAN1,0.06741498503316852,-0.006533264488386184,-0.05471059931839226,-0.0020589188516465557,0.040563416152120856,0.026529481289613084,-0.05788370436649805,0.09166143464062215,0.06850678943886913,0.1567617181184545,-0.0014265784629326568,0.06627247053284159,-0.01847018024623411,0.05990064311849606,0.09331224651004352,0.03468164706011062,-0.011027758095796305,0.055365385201119915,-0.07632551394141183,0.049329691816593704,0.05466667651764051
PTH2,,,,,,,,,,,,,,,,,,,-0.03141952636084318,,
LIPC,-0.012883137349393059,0.03884613253945648,,0.001660082392057868,0.0002906795236912869,-0.03228969279998665,0.026112828145126846,0.02088710951703876,,-0.022814235060325164,0.012201487449201466,-0.024196520741816174,-0.02824896996784345,-0.02903486316155516,0.05921372176514588,,,-0.03153148181811735,,-0.051653016751400875,0.06253957849803272
COL8A1,-0.009472500923167343,0.05840727481545414,0.044522530965646887,-0.011081353983584875,0.007932806711148816,-0.0018105413920858789,0.060256234524861584,-0.1257422005083996,0.07170551813632038,-0.05762937111773024,0.01284611204398035,-0.016613805373767446,-0.051957913070576144,-0.03976642934670199,0.06689171298848764,0.05465700165122832,0.004660320001111884,-0.030800023906718123,0.03793268891710147,0.006059710067876787,0.08490226300825764
GSTM2,-0.020030524889950156,0.08421022555420116,0.04793127261703152,-0.029401502492482228,0.012900077050729722,-0.01760786463307191,0.005601559551596253,-0.012885415797137463,-0.013749501002464347,-0.0247406232414366,0.018033197266122958,0.06726279221913613,0.06129475339537362,0.010903783774752452,0.027601927158191174,0.04536474473409621,0.07312142494969796,-0.04538929474394614,0.007697457297307652,0.0350581369273607,0.008581986195084865
SPX,0.06353047469929944,0.11678128036626394,,-0.0032117636526673666,-0.05577864120460952,-0.046365407649776105,0.04252566860506765,0.021243186255838657,0.02267612239870562,0.09161073196259567,,0.055857157670357274,-0.03531640146099554,,-0.005357863038012418,-0.018631468834088297,-0.013913353868944251,-0.006454665180120734,-0.012024514960693634,0.07729079711200795,0.04320051084632894
MFGE8,-0.024355613109751366,-0.0034920597658153704,0.002129732586437444,-0.049744556541753145,-0.06229507415579682,0.021847040470864543,0.014161185661678333,-0.05555049896995801,0.055242549723976554,0.04817888944194768,-0.019745393470807997,0.05782850758802302,0.09968399445623578,-0.020608827788587903,-0.03598126773201932,-0.01421124235496017,-0.009743544047419556,-0.0314187316817878,-0.0037521742549486443,0.05167448005735105,0.0003708531147455675
TGFA,-0.04678458175537413,0.03692718826728739,0.027027453795533757,-0.008733900216421913,-0.034501883922772134,0.016262541395442313,0.04997511608530979,-0.10580510892058483,0.010417081151803209,-0.06999251348815641,0.033828823558283386,-0.00035729995343580914,0.04631068670583446,-0.03513728779010037,-0.0017283121278235543,-0.012787554230063395,0.04116791501401915,0.009449701992265597,-0.028013042727200857,0.040698768983783024,0.028161798226122053
SLIT2,0.06986367313177032,0.061328396640572345,-0.026386298270682836,0.029160789180119145,0.05258420279102364,0.06556878053779851,0.03818768434497996,-0.03672962385513387,-0.010594450910609314,0.054965367011512986,-0.037286091863447814,0.09433139046973318,0.06437547863930432,-0.031995875214086845,-0.00489808995597635,0.06068624192567718,0.0689966167719121,-0.024117376974757753,0.007043663248198203,-0.004629966136430768,-0.018923808458758892
PLTP,-0.002664486800642743,0.0439226500550946,-0.024623914593138577,0.011948503736344167,0.14452605660458834,-0.013992600541162411,0.1056967863808743,0.17639953314845072,0.25929123576824414,-0.07710601042592063,0.03487068864228338,-0.007597160801843304,-0.034142332836296696,0.11917010163944308,0.12619651305514665,0.11003790357031355,-0.07278528243609388,-0.006161249916735442,0.02571303423769069,0.05984850407045849,0.05810970145426136
APOD,0.007232099094803595,-0.006851561738410905,-0.09223608068614109,0.042435754152262,-0.09049272583007392,-0.007391493619700793,0.025991629556962853,0.17762330553067252,-0.051323841738143576,-0.05210323247932931,-0.05027820367312365,0.03682560144258004,-0.02227918113029867,0.08194617077656999,-0.14083589020849957,0.030689377214604234,-0.029442428515420394,0.033331121431743105,0.011291111757484519,-0.14274494498143092,0.0036330329026092434
B2M,0.04530352290557933,0.09078734112413064,-0.10836862341584523,0.015055365898489693,0.1279927136256625,-0.0003443025927438215,0.17163542711873708,0.4680478110300868,0.186292843881383,-0.14382714220784326,0.019917627252403806,-0.06256685258826798,0.039471216861489196,-0.15760282518865204,-0.006060810927287394,0.08782966858834519,0.020642992769618604,-0.0687125839341849,-0.025523293793963633,0.009915807599533654,-0.0970645012546179
OMG,0.07656661183645952,-0.03156949442888004,-0.0035359986269206073,0.02028503682457644,-0.08462045113544539,-0.016907633888789925,-0.010519100771443305,0.11260515592948057,-0.09977047257217592,-0.0036630870865661845,-0.014257091655289687,0.07471038080381574,0.07531367712504819,0.010589776768841831,-0.1166483795019792,-0.005735890133291076,0.10169621948878603,0.06514572071276649,-0.0009319782114747566,0.0760945857011108,0.07966292260580683
