,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
SYTL3,-0.04720246439191918,0.022005596918113757,0.11807405949623084,0.05209115895428112,-0.03842384450574459
IL1A,-0.049784397839783064,0.02183955927966052,0.02509718917702669,0.10397492614091108,-0.033480182651977386
HLA-G,0.05943585806050197,0.08097509415890693,,0.04362075175979239,
PGF,0.015843048321322703,0.06270577451345417,0.017281359458151117,-0.004219909425319603,0.03716723371133757
LGALS8,0.04735036819122551,0.057702298616201436,0.05761033978735614,0.09255343472012618,0.04954255132782488
DKK3,0.03894104324540207,0.1525996624670221,0.11658379983995568,-0.10426944824575679,-0.03142500823952876
COL16A1,0.006474020563785315,0.15088487105434048,0.09823746227067386,-0.03018965664622266,-0.0102976257126091
TPH1,0.050123462962549624,0.04368191192763216,0.08650493303787131,0.05630077133986358,
TNC,0.013624941877920497,-0.0737528145971068,0.13697394917963948,0.029134713879750203,0.07065276505270444
TNFSF9,-0.01218948275184115,-0.034398520336364834,-0.004343083141756293,-0.010955520054743238,-0.054867195693596924
C4A,0.010013225544633853,,0.009606666875153753,-0.04128841231982306,0.1010744944331266
CNTN2,0.08329193588848076,0.18656584171639723,-0.15354854873706938,0.009980471674751003,0.05619572636192566
F7,0.01606724572261824,,,0.015210306207571566,
LUM,0.004782472851087464,0.05710465920145259,0.13574056299508078,-0.005415369374080799,0.060278002700033
BTC,0.10328104247160104,0.08997886699872475,0.0691986909727335,0.01955121269511887,
APOC1,0.07295319818469595,0.006312075347051354,0.13332265517878047,-0.07288664998360218,0.06288212605329681
PKM,-0.020401258204443447,-0.10303579258293977,0.16732054887743963,-0.04579225533200535,0.0033285018549541016
TNF,0.0633798661235272,0.0021568473997241227,,,
GNAS,-0.06957939476863195,-0.07567892123719792,0.21546179002929416,0.13759633576666291,-0.043985718249482074
BMP8B,0.1323719848711026,0.13121608515545155,0.0013705369715321287,-0.0008790087296362718,0.07734580561500758
LIPH,0.03167128324122629,-0.008161688896832804,,-0.03280996874935947,
CCL28,,,0.05469435036740154,,
PTPN11,-0.032108113803011006,-0.038892388442899675,-0.08354275482302402,-0.06430605427529071,0.044796300979214235
ADAM12,0.005856592665680963,-0.018405869911452537,0.09887709114712125,-0.04597769978723722,-0.06294370729283356
EPO,-0.01979817476767818,0.028783865792581298,,0.006770934522495437,
EDN3,0.024352848695809424,0.03770591890225139,0.04071325286893298,0.035485675252209324,
CCL22,-0.0181153373441706,0.01219576336860592,-0.012957538971245783,0.0017109568802543252,0.07893448289334241
CCL2,-0.02547096982224582,-0.0651025507150158,-0.0336656954138085,-0.0030183762482671288,-0.051403618180023036
DSCAM,0.06669710923113645,0.16737465019284511,0.03734242486864089,0.03257357045636684,-0.03780271839327383
ANG,0.04199875424571261,0.04152838578501405,0.02963685273504242,-0.033382657704309836,0.041889541317311804
FBLN2,0.023958046645368127,0.1807497824557642,0.11896237283451622,0.00137737140768089,0.020180911886764217
VTN,0.026700741600541113,-0.016195037020530576,,-0.045506733615637236,
VEGFA,-0.06344640941861869,-0.10929398779447368,-0.029302251491145632,0.061856465379916584,0.02678677910928472
F10,,0.013647438259544805,0.06665290856178116,0.04588916191445589,-0.012294767367789993
SERPINA1,-0.044716328170829434,-0.090334785036752,0.09107102410243319,0.007389116700330591,0.03039041676899837
VWF,0.01288398704432563,0.0105102699826225,0.13536438726289493,-0.017680018022212033,0.12438911724921192
GDNF,-0.04698071156954563,0.07396605589484,,0.04022727836997728,
VASP,0.004053076863127927,0.009619740546146418,0.11858398608098475,-0.03682455654383987,0.03451350116790215
ADAM15,-0.026623688342823186,0.050095999995646304,-0.004455324371013539,0.05986073255747289,-0.04945419281267585
WNT2,0.005161914007407706,0.006744159056307535,,0.007247380213857562,
CALCB,0.042883161224062244,0.032818253786445824,,0.07786722743324874,
OLFM2,0.0531119369589323,0.05727927853481382,0.04925628381147331,-0.0034674286398503834,0.06316626817114004
MFAP2,-0.014372402702412568,0.05127403911640078,0.11602719407459301,0.021130011502898224,
HLA-C,0.035300081188165994,-0.0323390571213987,0.09374236420945996,0.01289978281259948,0.05309966983688536
THBS1,-0.03191489539966397,0.01111568405598926,0.0722434875906741,-0.018789190519069472,0.018022060480494276
HSPA4,0.020042685107670752,-0.016157797973200536,-0.007977023994317866,-0.006984964857685727,0.07231261324462276
LMAN1,-0.03906574138299325,-0.05703959555375124,0.07825671657047281,0.008672143452377283,-0.0060827271223198335
LYPD3,0.07101545529682193,0.04190105952372518,,0.021455616451158156,
APOE,-0.08279630106915342,-0.046165721723460555,0.1606699163926297,-0.15583869884642995,0.18375621637458955
SOSTDC1,0.047514848772258644,0.09761656041012223,,0.061085919665380156,
ANXA1,-0.021389061470908563,0.00909618391712507,0.09152253285476658,-0.06297256675514822,0.12514842317876074
WNT2B,-0.010727159009183357,0.03700692337571042,-0.003597491424434584,-0.004829670361665035,0.015296073930440725
AMH,0.08412961846504614,0.08122846929758337,0.010576145121688602,-0.03289243392899023,
GDF10,0.09151125492612759,0.028436120478082753,-0.0772121956027192,0.04755344371472058,0.00048223222933200936
EFNB3,0.14801449554782303,0.10018578463802293,0.16972670145277402,0.10775797120894146,0.08945428310240325
LTB,0.027673281245262346,0.053362889329964976,-0.002071208508900818,-0.03271604141666802,
ANGPT2,-0.08246209141284372,0.032942748702283836,0.15718008168986689,-0.024392629053158806,-0.026805713837701327
NRTN,,,0.07938008372606924,0.014823217222408482,
ADAM17,-0.06929380404002318,0.00908434314377409,0.01759571198047398,0.01633760552180371,0.05890654337100484
LRPAP1,-0.019571364061209465,0.060454766785278995,0.10770469574210155,0.005585615059721442,0.03985361437638941
NID1,-0.07700648329689762,-0.008857320715370978,0.16632684760638045,-0.015517040231150121,0.05907145621256569
MST1,0.03143410091219154,0.09484073141071094,0.06077894089241949,0.03444640157634994,0.04979802627627311
DCN,0.0014037627671628122,-0.003920218105429461,0.11474333566263152,0.001974734393527012,-0.007611358698620249
IGFL2,,-0.02770656701301726,,,
COL7A1,-0.0073020134628027965,0.0807075665359394,0.0875662060590039,0.013728962346839317,0.06187166720921879
CALR,-0.01263242146704175,-0.09635467455176372,0.1648242541105214,0.022539851566985705,0.0460417361602761
PIGA,-0.03294448850820777,0.09250053052038952,0.012873817649956343,0.03061523818830155,0.028317693071715326
CD200,0.027378773701621513,0.15345915325669574,0.04239493373622508,0.058530349891035456,-0.03341420862893368
GRP,,0.026797317608036022,0.06627835623008475,-0.020061980087423974,
CDH1,0.014892660746212818,0.05887432047181409,0.11316971755872618,0.039664581273589294,0.05526885237094583
LPL,0.13670386610790364,0.21698285920235127,0.1696405989472671,0.07344821424963335,0.04887346050689675
SEMA5A,0.0701841527533802,0.07409358279776246,0.060737544055823864,-0.017920037916365632,0.07214994564527519
SEMA7A,-0.03373890132419774,0.09160625627586522,-0.012040736480199304,0.023963865882416797,-0.06419740911807532
SEMA4G,0.06269914967383655,0.0719580771057662,0.015606155323266566,0.0763333626446801,-0.008039904168015288
SEMA3B,0.012493002479986387,0.07549218179867992,-0.12344749505265802,-0.00932490360378064,0.07044116344918963
RPH3A,0.08156523367670931,0.1609920395014381,0.02935619187758949,-0.0667139158026067,0.004140892115560235
JAG2,0.0786418552344499,0.08495860844160157,0.06590898883412692,0.07809021497237079,0.11495132865930112
CGN,0.06907434848469693,0.0938761403283925,0.056179984164810515,0.019409626995399026,-0.05121077725999066
GDF15,0.03610179486128666,-0.013315609007761008,0.051707218489223467,0.03214235917663303,0.05762082596040101
SEMA4F,0.09262690753895493,0.0790872875494922,0.10925099140107992,0.1252242181767001,0.03297575314510255
NXPH1,0.07492738401924079,0.1012904788505683,0.026638268093762508,0.011676197523936296,0.06081436170714742
ARF1,0.07761968974313155,0.038560899534935,0.05007077409034667,0.02651561963752626,-0.010287432928210423
EBI3,0.05677018710960678,0.053052619242809226,-0.0907436485982588,-0.025438123553174926,0.22702769601547035
TIMP1,-0.11703594570458864,-0.1715827132016031,0.2255059404122328,0.03732685393538158,0.05182043782737698
SEMA3C,0.07751051011139891,0.0025451961377460893,-0.03758373255919425,0.12686572447235056,-0.004872528977658294
GAS6,-0.019958237144546642,0.01797571249963777,0.12776319714360368,-0.006880020540491782,0.059307703691160146
MEPE,0.0549902393271599,0.05415149514684191,,-0.016252976318191465,
SERPINE1,-0.1018489219763385,-0.12589325148234723,0.1139270630832629,0.043360961054728406,0.10017318981297181
RSPO2,0.07934926173543787,0.04493067858762115,0.02111943141988082,-0.029773447510192903,0.02528487763392224
SHBG,-0.0010032919077039835,-0.001159528425689317,0.05412737352202373,0.06782197995700227,
LGALS3BP,-0.04556510403291061,-0.02217441247660512,0.17016836179233738,-0.07364419814702038,0.02707456903439433
LAMB1,-0.02991208552027198,0.010807209948414684,0.14133941810235523,0.030259023808532938,0.17949560378151427
SPTBN2,0.12385386261689306,0.08644863478584837,0.11360793666647143,0.07371548873555821,0.024647861024462262
COL1A2,-0.10687273630206831,-0.09667304732479763,0.13174320474673382,0.020947821170346995,0.008654229007921408
WNT11,-0.005235812377239769,0.0983619527048687,,0.09758377964729352,
LGALS1,-0.08136276747227073,-0.1481302407282296,0.03594856542707408,0.04419264870913828,0.07837008675349204
BCAN,0.0904157137246891,0.15190064597569072,0.1237783758231296,-0.11156031876302565,0.13886536073853875
ANOS1,0.03806430971661398,0.041529923583546506,0.025193153779468052,-0.0431563280055108,0.12290631639213934
