,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
PCSK1N,0.004752636382720105,0.08295991615142682,0.018257371996346857,-0.08551754794890423,-0.03127424090883706,0.01744633857284539,-0.09372037465489745,-0.000395804951539621,0.0442029172870402,0.018374130030818493,0.08932755855032261,-0.013859809142609354
NTS,,,,,-0.013544732450251382,-0.016457901568042055,0.004777351226212184,,,-0.018838078300821536,0.08797703142487007,
SFRP1,0.05995090167807536,-0.02624271106599626,0.0030231982888606042,-0.020728617548517153,0.07758060534065118,-0.017411900877952753,-0.044053150742412214,0.08209142389536124,0.09592156688104997,-0.013994038128234578,0.06093062782111161,0.03997382288472273
CXCL13,,,0.031226362338728848,,,,,,,-0.0397274781691089,,0.11868521484714487
MICA,-0.010613701173200403,0.005944098769504118,0.0317765691307157,0.08674405002262153,-0.01617794423916062,0.05503573317652677,0.006842314581859817,-0.05793979426009397,0.026746639308423713,0.0259731908138454,0.04501483783474861,0.03615892647310382
TG,0.014020345397567233,-0.018774329770966616,0.0009602774000810349,-0.022369462457691235,-0.01563419181886862,-0.01616051323620963,0.0002619006024465222,-0.0936639820112823,0.11945618234045541,-0.02320115273885593,-0.007854788183750721,0.044007358447530766
ADA,0.02770635431567062,-0.002215950113446997,-0.008641634954059634,0.0060084622249735094,0.07712433879247106,-0.004881283317232688,-0.0007162330256695991,-0.025391948888346356,0.03908366463144713,-0.005858154158236253,0.0002880043784395551,0.025757125958331867
LAMC3,0.022343587818496533,-0.027762493396830838,-0.03158205267327762,-0.03945657009462354,0.048278884682166394,0.1028258403913702,0.026480614040810004,0.05856510602265356,0.10738347961856029,-0.004540830102746048,-0.0246069161161538,0.01862372957237017
CCL7,,-0.012544742632953531,,0.001711877840077862,,,,,,,-0.01832004388766903,-0.004651458872170205
NGF,-0.03198854440945355,0.026774733248815713,,0.009881491013715542,0.08354672552544305,,,0.044958302861072164,-0.019022865814117558,-0.015254622572800709,-0.005196677550830596,0.028073369215673695
TNFSF15,-0.010323904256847446,,,-0.001956661373611206,-0.018115194579381936,,,0.036812170602350675,0.008598157631928264,,-0.019384329046586733,0.03987932803637664
HMGB1,0.08700215218509066,0.007871969884069362,0.034532376609516614,-0.029666851491480566,0.09535228767244013,-0.016938879469746804,0.03810538262222616,0.019349471293313672,-0.09035254429178255,0.027198364918150014,0.02827871696857346,0.035154791841032214
ITGB3BP,0.030280933370314497,-0.008722917148574212,0.028934639145232574,0.03633602599413768,0.09872732750370113,0.030737514163835855,-0.020744247128715653,0.032271458120312346,0.05769329423321374,-0.05553933536854282,0.015395609400481219,-0.010312144177508217
AANAT,0.08895081233878524,0.00015883827588650829,,0.000987617284951741,,-0.012078128317542177,0.068624918085066,,-0.0013867697696496896,0.056877061885425816,0.022777168358540812,0.0879093726949307
RELN,-0.055155168567203955,0.0011956388396852236,0.03861477595365387,-0.028443857991653675,0.008915706958736573,-0.035441018117767634,-0.023356352687956626,0.01430860157965717,,,,0.020080694579375447
IL15,-0.001683486279956234,-0.013623003400722982,0.06298046046756668,-0.02185897241542068,-0.012890037879103918,0.020187154480934014,-0.010964969465140242,-0.10349300628171546,0.12846531255729568,0.03804628515689511,0.12141752565296267,-0.022841005511638108
UTS2,,,,,,0.08889104194146609,,,,,,
BSG,-0.026398288116873326,-0.016530418794890964,-0.0016955655780523837,0.0382274126820559,0.07696058023680895,-0.027875232199300166,-0.010515631401444068,-0.018349670279809854,0.08720248604245653,-0.04705846350649706,-0.027817406415499218,0.09549494406889339
ADAMTS3,0.061445632607886096,0.05863635899717146,0.07202805932906957,-0.038471198350917925,0.0140886422102694,0.08224497853007365,0.0403926487683181,,0.06987722164024493,0.08157530729770801,0.029892441808327834,0.026994680140057403
CD34,0.03721645375050391,-0.016579373658924437,0.04224511614117265,0.07069691190074838,0.038389910752573135,0.10888218766280482,-0.03744202757099933,0.04755464453681492,0.07816361936962736,0.011400971001249045,-0.024816969829640344,0.04009460783320295
CCL23,,,,,,-0.013742992748686098,,,,,,
PLAT,0.06120483846595003,-0.006331280781730575,0.032019030378054814,0.004677661462460534,0.07490252697754585,0.019263592437610298,0.02847852474717029,0.06663405362207624,0.1712024509854216,0.013842096246721353,-0.03357496335062563,0.02859475565236193
NTF3,,,,,,,-0.036935307274076346,,,0.049204849301755074,,
LTA,,,-0.01306076727466904,-0.020728616578799843,,,,,,,0.005134530453237419,
CKLF,0.07127656473781462,-0.02057271563902512,-0.030940458047722264,-0.02950800208734952,0.12920941833413407,0.06860050844107055,0.02332221788326261,0.05252184294467858,0.16056602942192516,0.07271037363974914,0.03380887694196455,-0.0420195301056551
CD24,-0.08533403333698997,0.013677093722362126,0.008429583278133944,0.02400103061543463,0.0728837623049591,0.05950197953558618,0.10169084458088871,0.026529968445096083,0.1083560622308869,0.025242339167734922,0.01870459294802992,0.026811620123304493
HSP90AA1,-0.03459144046697095,0.029547223141919834,6.325046926586733e-05,-0.06065515367418257,-0.12089735481365547,-0.09651467836820654,0.009037370051364886,0.045170027014952874,-0.09965084929461504,-0.07123155489169677,-0.05306970117374597,-0.02592850983941339
BMP4,-0.013265461069597048,0.0272140418090116,0.12697014441809354,0.04073610130502167,0.1886375028321443,0.03815036251729177,0.009290959083214154,0.07915859405072866,0.09227944214149336,0.051857533590768404,0.03307259989952718,0.07259137119959837
SCGB3A1,,-0.012544741378496026,,,0.07446927924769554,,0.0007024121879094655,-0.04836251856365372,,-0.0020022549076740164,-0.03841223403036591,-0.03758837293479197
IGFBP4,0.094518895875784,-0.011998112256671297,0.005898250193341572,0.04317232245236671,0.09842986111034613,0.08392072337800635,-0.051969439013219265,0.07840082704139636,0.05898027546450157,-0.022581751871478362,-0.03328377265888574,0.06375261842868994
RSPO4,-0.008475127694284582,,-0.021114221975837382,-0.031728779335815346,,,-0.031235057694765485,0.024282774194039018,,,0.10522749152330622,0.05931562831808164
LEFTY2,-0.04712444967342578,-0.011258404733447134,-0.013221173368411337,-0.04017368316171137,0.1286997904218984,0.12118508896092121,0.032720095824767585,,0.031090682039772555,-0.017779055622885443,0.05141872106735851,0.07409300116499258
PF4,,0.013184644741814622,-0.01188054298024759,-0.014110698571667236,,,,,,-0.014172418867747004,-0.010183816465130077,-0.018476733981593708
ANGPTL2,0.04763095942015005,-0.016195049441973555,0.06568869245183265,0.01839999964612109,0.15445833813983098,0.05998252592258004,0.0024561690860428363,0.050084662395690906,0.0694418102118208,-0.003884556179467339,-0.034798201906643365,0.09355142348476554
LRIG2,0.025767997396968938,0.03732714198071913,-0.05969424883579224,0.0544291163724634,0.06199315134320428,-0.06190571851597792,0.09110326296711102,0.025181814585564434,0.04779360332569465,0.019572756628454802,0.09878543168898636,-0.0031735701823249105
ICOSLG,0.0459250114389051,-0.02873679994235879,0.006552938622069909,-0.03580108171385014,0.03609403737460164,0.047997494419576535,-0.039023982626326295,0.04110582176860461,0.07207299470057495,0.08687899656764711,0.05696040634404467,0.04945178230754332
WIF1,-0.08447167297010817,0.0077743811472351715,,,-0.10482390774202094,-0.06358564119477161,-0.0072737589529208715,,,,,0.05565501374928834
NPPC,-0.02059136344454785,0.0008912112704883815,,0.03220743939457255,-0.031567634042990025,-0.009079008262913312,0.05189147984956027,-0.05262738989280515,0.025998930686916943,-0.02681516661681719,,0.004441700774652333
LYZ,0.056225034905087096,0.001203932926844013,-0.031065479953607842,0.03613181999330388,-0.016320471385309055,0.06600498891502933,0.07081915898035016,0.006823760388717058,0.12412062121348137,-0.02209267893322615,0.03257688346141911,0.004861601715316328
EREG,,,,,,,,,,0.0005416428010134123,-0.017794445124563785,-0.02127219422727185
SPTAN1,-0.031948663915249205,0.016984675330365687,-0.06966305695826575,-0.08220698572428334,0.0021832705247872577,-0.02599776107287689,-0.015366415906426326,0.11269979911456818,0.11219401249063944,-0.01489258465714245,0.06206960159804898,-0.021041613864096885
LIPC,-0.011598417433581015,-0.01593152271662311,-0.017880852135824306,-0.025357976260760428,-0.019989143572333647,0.15638109335141023,,0.009450017943194377,0.06300617736208718,,0.04544659551694944,0.04079062485067235
COL8A1,0.014144800406141595,-0.029356146088548002,0.012285064890918785,0.007862508029951532,0.06745317436071535,0.09388964881206259,0.04586931819113927,0.03613383109593879,0.045822682506074866,0.06691924923775552,-0.051615888992670236,0.04897666225504378
GSTM2,0.08800932579778666,-0.03175803675273981,0.052132843091848936,0.06088116290795281,-0.010900262704042695,0.0815369087817605,0.0026908832546501784,-0.07547763837031272,0.04850590709748258,0.049242676788982996,0.00530451885743193,-0.02123434885091952
SPX,0.019676192090940653,-0.025766720992091454,-0.03848331921180247,-0.034614027720408495,-0.02302559541015022,-0.0055338824034640716,0.004670993990931689,,0.03200025185549055,-0.01759686952286324,0.136810387823677,-0.07874229124965075
MFGE8,0.031889180990608036,-0.07003563695401654,0.053392309793918465,-0.013673674837152903,0.04230637860045294,0.03355772044410182,0.0025406407664043174,0.04856959544749378,-0.0027425193225144666,-0.02313778258811819,-0.0385637951087515,0.09442249120160089
TGFA,-0.0006236060692243958,0.017010203310514532,0.00037333242834479674,0.03394666273672973,0.07910546700975216,0.038247491874363486,0.005092398374800473,-0.0006159202550216584,-0.004711841269197534,0.015519961301380539,0.03905157086227156,0.024702302349074307
SLIT2,-0.04963703389529693,0.013388030931744257,-0.030978145788327586,-0.022191442924122624,0.002848006179180467,-0.030741135578460876,-0.01583414861664489,0.13895617173759534,0.026843676569569295,0.04821417684915514,0.006791501757850178,0.08350391508423248
PLTP,0.05554245925744846,-0.009576512332245745,-0.024841308885120386,-0.005565917664059258,0.09641731167625436,0.09507662939825696,0.13557337576538114,0.006428223826440476,0.12059128171563442,-0.0386973723937248,0.03782458678068068,0.07878954491193836
APOD,0.04858189472411776,-0.0016629916634754507,0.07810764149334788,-0.05961183350279193,-0.05030818183886576,0.015137849726196957,0.02688317968160774,0.004571389632430117,-0.1761499175570217,0.034313792066641556,-0.007134452549833834,-0.04161362353307158
B2M,0.10701760631725042,-0.0391590758166228,-0.08874911435592443,-0.013716636771965116,0.06902799036291934,0.13820657194896058,0.10483614391793845,0.08770366634724018,0.025820722215776016,-0.009249697200448746,-0.07332558734054187,0.04122225584491523
OMG,0.06977612629293597,0.03350227426260737,-0.04500042186142154,-0.02746649017076521,-0.019653485393392577,-0.026455719638597518,-0.007850786853565394,-0.0009509976846308411,-0.15865825085675164,-0.012496343175346742,0.12163616762294722,-0.06982522476283638
CXCL3,-0.05423705378871184,0.04983222318147048,-0.024425265717344023,0.031131399848719096,,-0.01585800511520774,0.03968152244860062,,,-0.06007622080038973,0.014909154584322392,0.019497112484910126
CXCL10,0.08365556640409189,-0.07002956249730095,-0.02388741174048658,0.049557799909590756,0.20912992385856166,0.08802092124711722,-0.022851088262614696,-0.014014942426667317,0.0014749432149757482,-0.019009322236112507,-0.006719295146417827,-0.00515441908851016
RSPO3,,0.02342803610034973,,-0.016386823524107762,-0.009172304084344362,-0.019832927132621168,0.02622280396339014,,,0.014646970532629401,0.06917029915773466,-0.01058008126214509
CORT,-0.01762904643845047,-0.01599620749253943,0.042693818921322034,-0.0367487100173255,-0.029656053255782612,-0.03432532385378152,-0.05516187146732418,,,-0.01483071601626268,,
NCAN,0.14525566179497923,-0.022669602236017827,0.02192863116804502,-0.02246085863011071,0.09791755785984985,0.010770344963159853,-0.024386756221305702,0.048877942431114284,0.044365462098812085,0.03540014808473151,0.07237724643928518,-0.012321032036071752
PRG4,0.02801702315306104,0.018369167094642452,,0.057321581276253475,,0.02762630686642474,,,,-0.021883629033509572,-0.04211421937614445,-0.00618494404360357
ZG16B,,-0.01739577004732238,-0.014296302548359499,-0.018770846747364362,,0.021854469453392568,,,0.03002717236178211,,-0.023181303219107923,-0.01576254905665719
TGM2,0.03775899235747566,-0.00010920104544589921,-0.049726160653609804,-0.01629409360580942,0.004629302970855526,0.04799062286055066,0.08188711334257504,0.10047533283272456,0.06257185366713224,-0.03647386493606251,-0.04147126138942853,0.011332072268808707
VEGFC,0.0005312487382516424,-0.023953879651811553,-0.018357003015909236,0.03095033914763214,0.001419486186833882,0.04377762636137457,0.014042088244818179,0.03804966352240823,0.15227709515345014,-0.029715349718933765,0.02527716271438308,0.07543887035237248
WNT6,-0.029968138931050953,-0.020240664911688102,-0.013221173715394465,-0.022369463386483185,0.04152423317701571,-0.01689497192373829,,,-0.0522529562265568,0.016902959916500537,-0.027996187934465486,-0.016287442281490105
NRG4,-0.040550312741468045,-0.011554148379945825,,-0.01968338811464541,-0.016185201658655193,-0.02139965580308884,-0.05367655934807254,-0.02014302517331682,,,0.07078955183161294,-0.024493815040909174
PMCH,,-0.013316777805092599,,-0.027273251857883735,,,,,,-0.02080828800543309,0.002680978172642457,-0.03136785524498287
COL9A1,0.12612479121592748,-0.0348968157524245,0.018813352458285918,-0.0063912888041570024,0.133606256780066,0.03573818494137404,-0.04697435126165494,-0.07376835421905353,0.1133846089184032,0.0067279846004233675,0.028643853192502473,0.02305113542211598
GDF11,0.03620826067626909,-0.03516240179910743,-0.014038065522930916,-0.0014638015013576035,0.10242195913049465,0.05418595057992778,0.02440064445787555,-0.04730960064303096,0.038827916848804656,0.012589460260576004,0.04192644144194325,-0.007072561462574218
RAET1E,,,,,,,,,,,-0.020394484864364588,
IL24,,,,,,,,,,-0.013946446854423464,,-0.02738327038713752
SORBS1,0.018763688309590236,-0.02250889728398553,0.02147198645700507,-0.03105527930493751,-0.012323367313666077,-0.028328678475331288,-0.0030773645332712813,0.008196777941262053,0.08426192466188864,0.06891406645896347,0.023954419230100495,0.01159883996465833
DLL1,-0.03600042976682631,0.0034768200734568012,-0.012273660496793792,-0.010224106193068305,0.108231307861631,0.018029008241698626,0.035093002665864174,-0.00669939189171206,0.0017796486541316115,0.004991407421674028,0.030369670993156257,0.00949485374381004
TLN1,-0.054822685285664405,-0.037073906178628956,0.013615438098681659,0.021743734818284937,0.0801885991101637,0.06965630842284408,0.03319705135988746,0.09832515106032498,0.10551061007026263,-0.025163498048734592,-0.05153858329757108,0.058939099941019944
COL2A1,0.013782949288055228,-0.03324218457359352,,,-0.014323532543930834,-0.01585801051186263,,,,-0.0363487068251932,0.021745302628669208,-0.022067612658971406
SHH,,,,0.16940500208226586,0.03129517871206778,-0.01246632311136591,0.034432418706346175,,,0.00023229289110113298,-0.02753314109609978,0.15272687699360354
PON2,0.14119042904310766,-0.03134089219345231,0.02468056525457104,-0.0979286536394681,0.019309592444025983,0.027749486722518386,0.029907700720783453,0.06108973089789323,0.09852842845350016,0.03536542631744612,0.09961531284698344,-0.012368364460177828
ICAM5,-0.028561098571152205,0.007826954649098347,-0.01701861983262593,0.017771146275259917,-0.027392909564535623,-0.030988102230512803,-0.03958676127195182,,,-0.00780663032933376,-0.040089826825215426,-0.06169629018810114
HPX,-0.011797585238075793,-0.019430327148139505,,-0.001153054065951033,0.18450556321252573,0.04319301323826806,-0.043696683715194,0.018647245025747928,0.02971063043818907,-0.010164791110175403,-0.0024488325097831126,0.11610427632748004
SFRP2,-0.005437791454174658,-0.01667826709369396,,-0.019140775314374723,0.01678769719538961,0.10635638777350756,0.0023157490572931158,,-0.007286902496692889,0.03557202618394468,0.030843004389576656,0.03373031120815289
CFC1,,,,,-0.006075752141608862,,,,,,,-0.0216731723923159
CD70,,-0.018160899289386447,,0.14165061278134392,,,,-0.10098270889909135,,-0.023662058593101207,-0.013235283039894527,-0.006817229104101946
HP,0.0277936940878786,0.057779236174373624,,0.08121185267738805,,0.04896378477546388,-0.0008251430245775671,-0.03187438897961114,0.027912838974230015,-0.001378237827372307,-0.02781049801617519,0.06462628704660217
CXCL2,0.0358975055228007,0.05945139327138468,-0.01359702145276722,-0.03369282302158101,0.07019397001541279,0.04839765916101777,0.026192065426844897,-0.009326885049371281,,-0.029300582599716914,0.004742779225778055,-0.0031557665814553816
NPPB,,-0.016183930516179473,,0.08076690341717853,,,,,,-0.010055968779125516,-0.018858767139269206,
CCK,-0.03583687989224732,0.0634976882537458,-0.013095008469045282,-0.09897985259253428,-0.09916549944944887,-0.06300457540831217,-0.07869269232267882,,0.03084100875078692,0.0654435916073699,-0.02446491200579411,-0.07444917432306762
SEMA6A,0.11712486908923463,0.013689793717251039,-0.011983554104677581,-0.0175264487675029,0.07205683325616903,-0.007153110487412181,-0.030914654134848618,0.00736753178106494,0.10414373562739236,-0.013015010598331595,0.056129050989298546,0.11203315695608508
IRAK4,0.05148772718176624,-0.02577868451712664,0.028110102379281257,0.026320642376521576,0.03924370978099269,0.051158316773497775,0.001327316308814418,0.026512767994702854,0.0947977088321691,-0.007915115135262737,0.005568166630148953,0.04458263402165412
GSTP1,0.05060610725245637,-0.021682538648066487,-0.00481310093627961,-0.012225813299935094,0.08812042055084544,0.05060588771949889,0.04811475747747081,0.03798832120138487,-0.06981712019534102,0.0737601549212019,0.07929383185753046,0.030596359398399286
VCAM1,0.007167139691328322,0.03050276633314362,0.04398168537502694,0.01210967699809496,0.09800310880421072,0.09351520165888566,0.01877621882201868,0.08681116123047329,0.08851082981854441,-0.0069357431408736325,0.12701484405344765,0.0684661103333074
NXPH3,-0.04482559171237165,-0.02193582739966798,0.03956298228775393,0.02933568632391707,0.1549211718431595,0.00711873046754118,8.189357622174021e-05,0.03520527372718974,0.07618657312675516,0.014135100860500675,0.1241239707595542,0.07205323924846001
MTMR4,0.005060348623011359,0.020585203013613388,0.06389361405955536,-0.008724827058928216,0.05204061441746554,-0.00476161344826983,-0.019335946134082547,-0.037113849687126506,0.08412566700421868,0.004182424300942556,0.024281840687517216,0.006565110139400869
LAMC2,-0.03703041292292889,-0.01270269321221339,,0.04221974316135889,-0.01811519279895836,,,-0.018493896411783617,,0.0038011121834607697,0.010711696735099769,-0.023586632849103725
IL10,-0.02608535308738296,-0.026839394512279065,-0.018936973840991207,0.025719427583017408,,0.0721065392438492,,0.05817355927251183,0.09271658269624135,0.03640611929885051,-0.031632940002470654,0.04865556837183137
SEMA4D,-0.025142644163009695,0.007279818950948989,-0.044847959818340166,0.02850638142031065,0.04643046202518495,-0.054170534166172006,-0.01882891212013278,-0.06246569480654739,0.01914281446960117,0.0042167578527714114,0.05657452217465255,-0.0116950910767178
TRH,-0.05384244745890214,6.657893978343521e-05,,0.03596301589180185,0.14249798882815878,-0.02055164811622409,,,,0.0033672712748984415,-0.021123083892705043,0.13625445438448103
SEMA6D,0.10658759701553121,0.011932569263330955,-0.020656690567967425,0.01278525400411834,0.06770410092115633,0.04034810535321059,0.008742761947766117,-0.018607072035294617,0.05233733022248457,-0.04482332725261231,0.06909965879489263,0.06318661384388584
CEL,,,,,,,,0.05217928273976786,-0.032397539449105714,-0.022769423834112446,0.0025185209653839757,-0.004763123865420501
PDCD1LG2,0.07179306319420671,0.008784696848297913,-0.0142311355459926,0.015647656055037543,-0.012721406237973116,0.022051436899924552,0.05580427702508593,-0.029193344187360692,-0.02954596809057584,-0.017997865285785175,-0.005761271148128297,0.1186016454361921
SPINT1,-0.015548127613994921,0.059917215749465375,0.0220640443633368,-0.018395742485832006,0.051621936879158774,0.030722189280423483,-0.05508916909552394,-0.0034277430718706327,0.07640070232870216,0.05239215385463162,0.02494676760762629,0.061835610595733954
CTHRC1,0.032831500888502674,-0.013969341746297503,-0.019833252548256252,-0.0360762049531304,0.13118032317382122,0.08127488131739319,-0.003443680979279659,0.07686328558211936,0.07360029542061912,-0.04420423443346957,-0.00030686266780551795,0.045902323400416785
PODXL,0.0219610374716593,0.02411656433651415,0.03034922520430903,-0.008412596099095334,0.09115347523032037,0.10233148429428722,0.011702674518786926,0.09797873861579305,0.14918447589382258,0.05912874861985878,-0.04644026802586496,0.08553615455113887
JAM3,0.05079323351543321,-0.051582759822451286,-0.003980819630945495,0.04793286568759292,0.06756380569346405,0.020443258644723947,0.05751300559377565,0.1358183832345319,-0.04213802284628016,0.020156495601425812,-0.04573546969432314,0.07608246460306212
TGFB2,-0.045662778518729547,0.03741021763865542,-0.010375074904843424,-0.013542149781818145,0.0035357613246563653,0.08387639915967085,-0.002006792390096816,0.06185400518071283,0.1375547322961022,0.015508747634831009,0.046493569186478116,0.04978946611106017
COL18A1,0.0357948984613823,0.017340203604726694,0.03196449695708161,-0.0725783958072602,0.1089670901383661,0.0998585952879032,-0.021664557107922137,0.0718368918446799,0.10666894229860545,-0.0450504869284844,-0.06516368746885534,0.05468376211309033
NODAL,,-0.026100477331862503,-0.012734206954577812,-0.03309884731463744,0.1462210243142952,-0.0037842104935063682,,0.01934539154413499,0.043863761393957326,-0.017227147126887787,-0.028908861229588585,-0.028952552945201843
INHBB,-0.012965879587018402,0.014067669011928099,-0.045721081130813294,-0.008569516305178116,-0.025664834034838255,0.022997919927033275,0.043331177322275885,-0.004981497339375646,0.06664801035247268,0.0109714509177045,0.09071878131724267,0.11351480009601962
LCN1,,-0.012702696070371085,,,,-0.013916324069734809,,,,-0.01626886151126839,-0.02136081213787638,-0.016544010580238012
ARF4,0.07103674913639298,-0.06574961057332195,-0.003628970972015089,0.01874264041700116,0.07901503913053992,0.0110730985730901,-0.0044286106611473655,-0.06705697757812626,0.07623260338415899,0.04302990985546332,-0.043100374633972253,-0.01457064160495469
CXCL14,-0.09828493622874239,0.0445357190475068,0.01269497825157121,0.03663882241702921,-0.0661337368115792,0.008226996782814702,-0.018210990029303372,-0.044659685671841635,0.1046441679610672,-0.022972857871100517,-0.03494598798900224,0.03115115842591033
LIF,0.10636809299930894,-0.02324456436349624,0.06371903164321363,0.05706566235766563,-0.01604907767988732,-0.023213658703157586,-0.03606999776060733,-0.10726460942610323,0.06272807369847253,-0.07429676648845224,-0.09782314975866545,0.08118844536336581
IL17B,-0.003251697247332466,,,,,-0.022983015942981702,,-0.0017762505873965026,,-0.026048992599174065,-0.036081400555736505,0.007626475874526235
MMP1,,-0.01751276415130216,,,,,,,,-0.026815164878354218,-0.06618235764292511,-0.017165083298684006
MATN1,-0.017756254043566407,-0.016678269366508198,,,0.14830342296544352,-0.014590319686097206,,-0.0576990848144537,,0.02852920059082505,-0.025690183748682354,-0.017046308034765516
