,UKF248,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
POMC,-0.03736501319229301,-0.03758632300006745,0.09615700929028076,-0.02449961593889312,0.062425269747384916,0.027139903068965264,0.052895654655914136,0.04585792708260607,-0.036793187193234156
CCL18,-0.02410697749435571,,,,,-0.029675547585078232,-0.02036245247764452,-0.03153881481252723,
CCL17,,,,0.06867574226875227,-0.011816201021389833,-0.0343730781660769,0.0003606063884267633,,
VEGFD,0.033564581411431704,,-0.027891992755631083,0.03219883883275369,-0.012663788621796948,,0.03388936865028466,,
TNFSF13,-0.01819190458239081,-0.019072497284591886,,,,-0.02434282256199704,0.2153420940279384,0.08004660279941828,
WNT5A,-0.011257813023584681,0.08845813235897709,0.11757548416112565,0.03724861845737295,-0.014632701916166111,0.005164682263354707,0.10753089924487794,-0.04490818268533926,-0.029043317997685003
CXCL8,0.0191456887629231,0.0004798233005148973,-0.020194827769334615,-0.025992961444688902,-0.038075166763865666,-0.09923913784977915,-0.19303837736652446,0.008627408053283695,-0.08976662682609443
GRN,-0.005022710301221334,0.017860590895705134,0.12230326849799146,-0.02515336081654659,-0.05414487458052945,-0.021919144887916582,0.008408984394523268,0.028597396931776407,0.015933448305723297
MIA,-0.04802943167916213,0.04421787922192606,0.10048620557847945,-0.011359996655452606,-0.017343638868086996,0.14019644637657597,0.08598952379511707,0.04763216012120334,
COL4A4,-0.0040856195473924365,-0.018146638535427733,-0.0164066194623765,0.05433414949344609,0.002901408631705425,0.0476788268538091,0.0014623945633093144,-0.0303909673241283,
TAC1,-0.018813094871300604,-0.028437805573176936,-0.055877659852552275,-0.030723690499976874,-0.007191242164026683,,,-0.0499176787356574,0.010363508892011764
RARRES2,-0.0024762445185672454,0.02286491859600557,0.11981973277417313,0.03988409381129576,0.006002587583130752,-0.060030577498330184,-0.10089323972629664,-0.038800929317882094,0.04017685997421279
FGF7,,0.06980775971376567,0.03868616715356198,0.012266330518540045,0.0417555872053403,-0.04523971836865065,0.06251632719429366,0.011333683649516587,0.04553921401806091
EFNA2,,,,,,,-0.04120852191387993,,
HBEGF,0.0008531779693349428,0.10730186818162153,0.0875833654905635,0.07500799034370709,-0.05552710402528382,-0.019491784218789526,0.021409915228947203,-0.01705401954154758,-0.06434363378408137
CSF3,,,-0.01735788760298338,,,-0.058257888398757215,-0.11750960104089639,0.03774642465272507,
PI3,-0.025361556716521887,,-0.019545210540277802,,,-0.1537636946717607,-0.16733247851499508,0.013817798558430981,
PCSK1N,0.05278340347550639,-0.014736520940666136,-0.01383291248560115,0.013676267217209985,0.061961124789051136,-0.010170708482881657,0.024548311578576232,0.08974072023192706,-0.054348322462413126
NTS,,0.0434624205329222,-0.021334931868056312,-0.022833246598831625,,-0.011571209966545454,0.05324450984570727,0.086505140270005,
SFRP1,0.002442342673560049,0.0562998446060218,-0.02822237890266339,0.04261037375509801,-0.013992701566024071,0.06117088527183726,0.08259029749716178,0.06291574626272668,-0.03157496073576445
CXCL13,,,,,,-0.07720898102947382,-0.047515030203616276,-0.008362496637491008,
MICA,0.019130350642918726,-0.007988789312977024,0.0218034595257892,0.04129671096642667,0.0010317043822692838,-0.04482675105306607,0.10385484378823695,0.0439810464648928,-0.014097906567460556
TG,0.025933556667182556,-0.025570312469965238,0.0889012803502468,-0.005582599945820144,-0.01774960123481699,0.09235166583188148,0.024390275344340205,-0.018101055645239974,
ADA,-0.01657235266325068,0.06405711418551248,0.05879056512762208,-0.021947988485849546,0.018535352026885357,0.08070097055781017,0.032085777470416486,0.00878939768500998,0.015238686555813405
LAMC3,0.026348242706687956,0.008299352318708328,0.09176476487375754,0.019691057967087606,0.044089842798100354,0.025233424764469558,0.06946109183858044,0.013129912846671003,-0.0045103484781415055
CCL7,0.028721739388794663,,,,,-0.04268016152059108,,,
NGF,-0.026327843908109348,0.005364227684116724,,,,0.011614610946569962,0.013495404069641639,-0.0014491605494783228,
TNFSF15,,-0.029628086390111667,,,,0.006019466049023375,,0.02013320353221914,
HMGB1,0.01716061647096661,0.07640096799466592,0.10521380514071156,-0.03337994570853465,-0.013103067955249507,0.03487632486863302,0.024989733025471982,0.018316199162088494,-0.05239633705282317
ITGB3BP,0.0014272742899391583,0.041052649699479526,0.1200328783501376,0.04329215802848182,-0.011846476880689787,-0.013696330641886382,0.022646534722075434,-0.0006771576277887135,0.039401891560978175
AANAT,-0.022247408733174278,,-0.0156572843556665,0.02266267580539289,-0.015850303438358856,-0.0059987850258970575,0.09049599147686452,,
RELN,0.06241231726024446,-0.03546453670624154,-0.04594338492978826,-0.011070589782206165,-0.01754765400206258,,,-0.005836405932994361,-0.03710039144247149
IL15,-0.03270064364020684,-0.02108214483594759,0.024120516493733413,-0.01804669820951926,-0.014700423849970027,-0.02330905839753851,0.0800610501540478,0.016847295415520144,
UTS2,,,0.14129702513621692,,,0.00977125711686166,,,
BSG,-0.010615024659577747,0.09358028055049289,0.05495062146622549,-0.03364775063457911,-0.007128276169960819,0.026242194446197655,0.02119087426324631,0.0269730298136583,-0.014043607654806275
ADAMTS3,0.0072320895074487095,0.022391985103687596,0.10499856983032856,0.03339413993866784,-0.024427359989418862,0.07120558523364046,0.15801330757032322,-0.04995496315049909,
CD34,0.018844531204238877,0.020513486019530645,0.13989745141247095,0.044857010617560596,-0.03404382633748177,0.038813553840629456,0.06120720619280166,0.05440303307029363,0.13330822546868917
CCL23,,,0.11045931666853179,,,,,,
PLAT,0.03065239469885478,0.12280702178580173,0.10542362646350067,0.030824491105967904,0.00021510740458873442,0.16276639267267262,0.14348778975841034,-0.016052494738979937,-0.046370677751935666
NTF3,,,,,,0.0263456576028715,0.10124544490009238,0.05400386064265415,
LTA,,,,-0.022978667932647304,-0.014700425664597205,,,,
CKLF,0.06126007024107362,0.06409191981900844,0.14927406383784084,0.09863583369437179,0.024521115977446283,0.105231085242848,0.1538960786804457,-0.029580027383980915,-0.03670734015254842
CD24,0.031083598385934195,0.04880166641573435,-0.0038588529063168417,0.06224031485023832,0.008974404271381922,0.06612915314350608,0.06789006469547733,0.05628194238223275,-0.029447590105871294
HSP90AA1,-0.05507589605666331,-0.06523305011200814,-0.11229614206185098,0.05740216887358145,-0.0012618093374107383,-0.19252775293238653,-0.25980215212251295,0.02251840558669998,0.039611499688615194
BMP4,-0.045950246131040685,0.12310148342915228,0.05449668461629301,-0.011055087048940293,-0.012526280991255757,0.017740287999997727,0.0735328438675354,-0.002340590837302609,
SCGB3A1,-0.015334072656608334,-0.013419044136007426,,,-0.010257762623757057,0.0678003419578478,0.08189215049928354,0.04862761751726468,
IGFBP4,0.01777101382479464,0.08313998372638187,0.14102469894964603,0.08429263427319986,0.03859099289573856,-0.05070586261127222,-0.01225454411952616,0.025571334528092026,-0.058710889767558595
RSPO4,,,,-0.026725589711365526,0.08083046247036638,,,0.12351517312867527,
LEFTY2,-0.0009224664050565459,0.1561913388538212,0.1587895445931203,-0.0010250465053165464,-0.018147511313966833,0.027773827267708714,-0.04738239638308473,-0.005573660399874674,
PF4,-0.015906638902523106,,,,,,0.022705103528385073,,
ANGPTL2,0.0368459550263952,0.11021449573558342,0.09360203768681176,0.06826660547572602,0.005732545478194384,0.1284599876191894,0.17438748742901022,-0.047332635102154096,-0.019446977927956122
LRIG2,0.05079776758174428,0.06605660467200232,0.019814077944101054,-0.014600446905174928,-0.019332467617997312,0.031910333744395926,0.06655928739336192,-0.035759829654320036,0.04945419896205411
ICOSLG,0.006032021384469403,0.12317139459491751,0.04579969433335986,0.07105390494234903,-0.031208726895075492,0.02247822736711354,0.12229054283230294,0.05378042834940107,0.008101285113631986
WIF1,-0.0286214148458622,-0.10280313417927761,-0.07791209173262623,-0.020623504566426296,0.041188293444336235,,,0.01006974709902753,0.07747528359909212
NPPC,-0.006797062510774425,-0.015834997443754863,-0.02387617733866964,-0.04022990456369551,-0.0442096459172974,0.09551551881691348,-0.002681610647312201,0.013953143036075078,-0.08094150814974879
LYZ,-0.02191185266370189,0.06613831680917315,0.07694481191506204,0.023286711191408436,-0.033557647865079414,0.0495307612400914,0.0379589986102875,-0.041240338104494255,-0.003485607904382033
EREG,,,,,,0.011959152912379279,-0.10213317339608591,0.02121394446516244,
SPTAN1,0.06796998973845068,-0.01583086772236404,-0.029762439380922334,0.08959615643007073,0.03846759819036846,-0.020498875520666836,0.06897472778289872,-0.010178434304280762,0.035298677086035235
PTH2,,,,,,,,0.05421724926914363,
LIPC,0.01468558851841509,-0.008918917702481557,0.04459755414846887,0.012599821569110737,-0.008654028242765545,,,,
COL8A1,-0.057050121386198666,0.09642392631955037,0.034320096093848215,0.002927345760263828,-0.006698835334535182,0.09758005240376699,-0.020109829455973314,0.04743069577025402,
GSTM2,0.00035913346397125246,-0.017827792224647903,0.014635143225868903,0.008389537225612252,-0.007089192640068293,0.01950677863208097,0.1420464880725587,-0.013457995892662966,
SPX,-0.009768255473201535,-0.041631298202227884,-0.0032182112790957247,-0.02664925692915785,0.007139951904807366,0.08764044821852876,0.00586851647170393,-0.03621393859276097,0.09528407138160452
MFGE8,-0.02428001481478439,0.005902294097978864,-0.025979861537623623,-0.014873510984169938,-0.04655265261125071,0.005775836521198639,0.04591668331570736,-0.058644545065992565,-0.03348088402961089
TGFA,0.029007478084649416,0.07579813698498208,0.04970794621434675,0.002587275122016291,-0.05050319369811759,0.04978224382663661,0.05130087191360187,0.031267735947351195,-0.06494869878820912
SLIT2,0.0015980744454482027,0.02115797964832282,-0.052026757437006584,-0.03128943046670819,0.009709637010922279,0.036578577234734753,0.02123766295248472,-0.010627301841861418,0.0783775756530729
PLTP,0.06732311409523198,0.07720781777231246,0.13675310179344355,0.04329790794696766,0.04543751460683742,0.0047199309479506735,0.04782164454722262,0.006687666094043062,0.026000915477210975
APOD,0.08800951508986575,0.09920709999963494,0.05364199480045725,0.031383317595693974,-0.05356609308187876,0.18237582450519457,0.18267353992764623,-0.08622075533469864,0.02925818434476816
B2M,0.006982755930728073,0.11802247958237085,0.1879637713403914,0.11870504372284725,-0.043513468111067016,0.07725031565016152,0.16665773887127136,0.014761567818177276,-0.014626320231327507
OMG,0.07857541058262744,0.03070725143734404,-0.023707009302466258,0.025293923763349522,-0.017682355682169568,0.15342091542006064,0.18159964781121904,-0.0038205207461383863,0.06522373025810012
CXCL3,0.006761831517546655,,0.05280244345556684,-0.0506450269490038,-0.010586968525514018,-0.07763507089938859,-0.07093286340282012,-0.0015205826327731047,
CXCL10,0.03931861679790967,-0.003279589472428295,0.18465661952161253,0.1346315718185766,-0.016823974198270336,-0.018677574231024303,0.011974645459709268,0.023560689781266728,
RSPO3,-0.020829389355899206,0.0065331097040224675,-0.025710091129736722,-0.0035719379936193455,0.13998353293094606,0.12280764033973819,0.15619848038031067,0.04178847434280461,-0.028986813153553344
CORT,-0.01453552484373556,0.06847407615503148,-0.0444970728948478,-0.000592672791220957,0.030304307650964656,0.06892107219776396,0.005867812692227348,0.018589939870488424,-0.030953221485024166
NCAN,0.11538347615965236,0.09885641225224222,0.10783530184969728,-0.016231005201987555,0.015140034592382442,0.15396921013341458,0.1622427142861233,-0.05394910800816568,-0.01746145123400902
PRG4,-0.023060616302034466,,-0.022271924012853803,-0.017681482547126287,-0.012934683969169625,0.01746438138608693,0.06131847993360066,0.010107228763399818,
ZG16B,0.026525516262261527,,0.008486716446976971,-0.0025772424594615755,,,,,
TGM2,-0.062218148495213024,0.04293951526494425,0.09703254353081177,0.014380376893213356,-0.01049123940290153,-0.0594701995078649,-0.046382876569523876,0.006425408237185804,0.05102061114627622
VEGFC,-0.02928004013045398,0.009672857189558213,0.09357103153644737,0.009329802214745716,-0.013200360565272804,-0.05219441401975075,0.015926934699158585,0.04293822474556134,
WNT6,0.046862812089852775,-0.0048851728426224485,-0.021901520884388345,-0.040633946827895825,0.017886724037827723,-0.03967490647431133,0.04081749399246782,0.04744607842336441,
NRG4,0.010017264365054988,-0.02647150991851923,-0.027741094250150623,-0.03507779924518639,-0.01539976027895501,,,0.02404318226158113,
PMCH,-0.016277771877006242,,,0.015272838715849911,,-0.052363810733573095,0.12815939014042677,-0.012964994665803052,
COL9A1,-0.034356946607111624,0.08985744049657762,0.0023884070636875955,0.007633118413113716,-0.017547660732703398,0.020428562574051772,0.16588223956962164,-0.018035145303439873,-0.047161512327922046
GDF11,-0.019552909457844395,0.06940176608098056,0.044961560999515024,-0.029545888116402422,0.04002548978920066,0.0007366705184339795,-0.00024518770204855314,0.04562701900303343,-0.06548905739283473
IL24,,,,,,-0.03904119547585431,-0.037168232498317084,,
SORBS1,0.026091403660768692,-0.012222459857404751,-0.0057138068650585214,0.005947209034524339,0.0017732044039400418,0.05332419551244401,0.02308604723456697,-0.0318515514751873,-0.06346815338457018
DLL1,0.082780747161402,0.09383725013392764,0.10032223215618075,0.03912227365022079,0.0014427635902318117,0.13598248956185421,0.19312634251568997,0.0015350941029840977,0.048365559028893265
TLN1,-0.0005884215479989042,0.08718824080884717,0.049785602568045394,0.017974804570938193,-0.02112995989937346,-0.12840691907338123,-0.03905311722697638,-0.0025872500583658904,0.01261092385221973
COL2A1,0.027795508255484557,-0.023426679617682463,0.018279347490408368,,-0.010747946589969078,0.0067206620189998135,0.029775749644848543,0.009316966883118989,
SHH,,0.031570182550044,-0.01616051433571728,0.026855522177277394,-0.010257761727164746,0.01978147885458483,0.029224708198297894,0.005609659347981955,
PON2,0.08376365781618524,-0.050714915232072416,0.0717064999104632,-0.047702214251568544,0.02619600352674343,0.1503268259054574,0.13612074245472144,-0.027504692708477878,0.015033934023440233
ICAM5,-0.006214582722008249,-0.014717507043589937,-0.04017092015498104,-0.010532588786178998,-0.003208970667310625,-0.06161395603451894,0.07401116731211461,-0.01986693181075574,-0.023924345115933453
HPX,0.04501373180425218,-0.004724908417154837,0.03589900618683054,0.026291098683650108,-0.02607318304951985,-0.015668124482849377,0.10129582158114922,0.02648991790450938,
SFRP2,-0.02038669046134486,-0.021047390442055707,-0.016406614631223167,0.007374900691735832,-0.020123103408798314,0.016768248375347454,0.09480190464435416,-0.02721177107990057,0.07711150756850191
CFC1,,0.01342755522441492,,-0.02297866932136691,,,,,
CD70,-0.037245978842485976,,,-0.008901723103351595,,0.012827786694073813,0.004095206925859274,0.0061841622602756205,
HP,0.009759146349024469,,-0.010397538300233662,0.05805304279823414,-0.004673480851716238,-0.05112448868706228,0.12190910779272426,0.011331049379907072,
CXCL2,0.058790089848521486,0.011903772869043643,-0.028809287142475333,0.06309152612553184,-0.020302575854582477,-0.014638929116760452,0.009727977791380002,0.014283105148621585,0.0395277170596912
NPPB,0.04778843344567894,,,-0.0059064806615352315,-0.013200361525372883,0.01672354400111536,-0.029324792426920022,0.0030282178612200954,
CCK,-0.024316611443081323,-0.11988833161680769,-0.08230676892019362,-0.04148377243756047,0.012107651202759332,0.13676092042316662,0.07484613120880763,0.04124325134793842,-0.028821239527259807
SEMA6A,0.07897649146334515,0.09268915910484089,0.06437499827434913,-0.03525333559056075,-0.0013606331766611334,0.08446023514202182,0.09385255083868539,0.022358211698929965,0.07153363256955199
IRAK4,-0.0068933287546943086,0.04661262613321045,0.06363167006886432,0.02015639075919544,-0.04607050770836006,0.029980869161154805,0.0789269806006722,-0.0033009766718777845,-0.028129546521099225
GSTP1,0.05626933460928855,0.06673914354923759,0.12315393368903771,0.05363664126915578,-0.0013532301130399153,0.04221837793585757,0.1670431555053368,-0.013720005233695546,-0.021120052425825157
VCAM1,0.05001670594970992,0.12395193916285581,0.1010513555903907,0.055346085457407206,0.10405832497103645,0.05439292086598117,-0.016664028022776552,-0.008737538960316335,0.1450943862658865
NXPH3,0.04997666953587411,0.04476714400292169,0.03784171513594697,-0.021983212695801866,0.0011234552547807668,0.10152718962727493,0.0890488186991448,0.05847800597137707,0.05061610237648481
MTMR4,0.004808093673737183,0.05901362320345301,0.03987928744178034,0.011630496422561993,-0.034268585270250854,0.01036059404072007,0.057795143905831056,0.05177583439532099,0.050549249428071756
LAMC2,0.006284299619239892,-0.02962808347816152,,-0.02533016643961048,,-0.047997588401176176,-0.031257279069223674,-0.035579164426649976,
IL10,-0.022259626930352366,,0.05889322041118488,0.12177427876788018,-0.011816200269251696,0.04162327645099655,0.05717461963103908,0.030221341149391248,
SEMA4D,0.0010198754717688598,0.04853870185277056,-0.04430634577376304,-0.012925489306666458,-0.01737843751453864,0.13444586501990222,0.15493820589313118,0.022282564703611663,0.014818196873290272
TRH,-0.02243665598259769,0.08369417787599394,0.05109401064508283,0.11734650460830742,-0.04087586513339406,0.07490230690704301,0.05571942462633763,0.02112449318351686,
SEMA6D,0.019557499430990378,0.10269998902905855,0.0108334327980934,-0.019958896316385095,-0.01532797464098663,0.020431836821886408,0.013689387020165608,0.0033601779197721345,0.01956997795199968
CEL,,,,,,0.02362227865054512,-0.008294396886572068,0.015977246431781875,
PDCD1LG2,-0.007450824324494003,0.06672137375102026,-0.04126164875215739,0.012634644775033685,-0.020213014084812825,0.09429537417079552,0.07733805212164667,0.021430588294718153,
SPINT1,-0.0018499103111701263,-0.026911738971399403,0.0601361781673563,0.045673836899201285,-0.01734363818580433,0.1439051164498117,0.15717762774445632,0.054717184972293914,
CTHRC1,0.010931728440180883,0.12158923774577429,0.022401256343616765,-0.012216793633265775,-0.019288738992770314,0.0009058664600291229,0.07403016904418702,-0.05333857773567471,-0.030717535730408665
PODXL,0.0619629180701969,0.08272368976017289,0.09558502131217242,0.023524686802132933,-0.0387000969129639,0.017230492671335404,0.09251774805829606,-0.04263350383667632,-0.023017226124104725
JAM3,0.0495979032593556,0.12349614136847506,0.10669965537775578,-0.002693393820355332,0.04650905193509639,-0.0017954187207918277,0.03894792396812792,-0.004272944922626213,-0.031413022456086064
TGFB2,-0.033170524111441106,-0.0037490686996887504,0.1121468378377317,0.019802899058683057,-0.011853279481328126,0.027166217915774143,0.060699335700436764,0.06959031431519606,-0.08157496806470657
COL18A1,0.010785781474927978,0.1088840051696941,0.11708905332211669,0.00416705039879038,-0.03205338444810169,-0.042976663872085555,-0.11006088379993924,0.030631755227970056,0.050473821205130914
NODAL,-0.031903935179165975,0.08226106935730627,0.15315704153960438,,-0.018147509283968466,0.011824168743083249,-0.01775506683074526,-0.040687443008525156,
INHBB,0.055862542667117855,-0.00153231749070064,0.03203068528543073,-0.0064405928648297705,-0.0012808612081450133,0.007189621571944296,-0.016783147087170942,-0.017103497617046246,-0.05637702904417671
LCN1,-0.015527148675362788,,0.024059776373672043,,,0.03856354863813626,-0.022874586024528635,,
ARF4,0.026562177086434203,0.05168435811894429,0.07050768338674766,0.0796536170614453,-0.03620834567291976,0.09920080979486003,0.1444364250382361,0.01198528815112723,0.042101153833983496
CXCL14,-0.04280578063575501,-0.06979657615909578,-0.023861739650211735,-0.004118023056944041,0.008998232768715024,-0.09929779352168216,-0.034550241757235006,0.018102887853044175,0.07278578877594609
LIF,-0.023817235857560678,-0.012327798802657879,-0.009913467818762713,0.0550295283475403,0.04032623698463426,-0.06020286359207382,-0.09754981475004668,0.008741084786193109,
IL17B,,,-0.017075485901953177,,,0.021338329168075907,0.07660729555076559,0.0046194574933847675,
MMP1,-0.021406738474054395,,,,,0.016085632540342155,-0.046623510060276124,0.007184772845830342,
MATN1,0.0470013128123361,-0.025340420858329847,-0.018913922601195697,-0.02037376207272325,-0.010747945252438553,0.0338858816815347,0.14976083874345758,0.0074694217142109755,
ADAM28,-0.06782759415724383,-0.017584190998621265,0.028608755024162446,-0.030308797121695583,0.014460064170653994,-0.00623673106371972,0.06977811304336298,-0.04042677671880956,-0.07052738170572755
TCN2,0.0036891060965460873,0.030911586652895392,0.07628028991355754,0.052846325945648746,-0.03994876848547148,0.04084913492106634,0.013631225374577094,-0.03113096761001134,0.020193470852423862
THPO,-0.02656470540878983,-0.015053675054780218,0.10501490747546863,0.06800897680916661,-0.010747946487082098,,,-0.008084436257290334,
CUBN,0.019417355873653182,0.07392620751473303,-0.029091483010047024,0.015132857408771247,-0.006637205951889068,0.07131469203805041,0.07907065030691149,0.011069624421066175,
TIMP3,0.043427355479111175,0.05943111638819988,-0.01465170900543691,0.015450301766920235,-0.012723208576672423,-0.026504248697622773,-0.11813920699436378,0.02510552279867299,0.02728499501408946
PIGF,-0.024483341202177027,0.06556306356075081,0.09085198520670276,-0.010461861618804157,-0.007657545935487773,0.0708487154931825,0.12497473529374793,-0.0197810894783293,-0.03702700461394913
CRH,-0.01819190331233421,-0.021354582707970388,-0.02774108274799835,0.0031917893463945107,-0.014700422495389612,-0.025981592319266167,0.08816254695471203,-0.004878756101471428,-0.054784314771959365
BDNF,-0.01696429813411653,-0.018381742464137766,-0.050927068687181234,-0.01709698984868793,-0.012104948214894056,0.029913070359320306,0.026048583031573688,-0.004184976617728074,0.1124686044268848
CCL5,0.028620808032520408,-0.007673111385225007,0.05034269495946617,0.05218264651946865,-0.014580881910360015,-0.04934959979361895,0.06475370082089034,-0.0008404882876584366,
GAD1,0.01773314164563916,-0.0662291137976928,-0.1028166357163224,0.021242901613368077,0.050075446776197664,0.11743781779522859,0.14824253402174936,0.003995891020748273,-0.0028077194971626385
COL14A1,-0.01714545376766386,-0.033058492034177024,-0.01981651469720341,0.02622686438615502,0.07132853722457416,-0.0020489496682625607,-0.05637628696004354,0.05916781242210216,
HLA-A,-0.022820641385528626,0.04428355629675251,0.15368565821085944,0.10968886041471283,-0.0012576559438781663,-0.15219885676237158,-0.18637143834206563,0.004000714500453621,0.041321702292272215
CD5L,-0.018191901207669562,,,,,,,,
FGF18,-0.016460382515520115,0.06998292696756644,,0.029681467481177677,,0.017817709232971726,0.1425958938503674,0.009025164792201822,
ADM,-0.08177990012359779,-0.019474550247844738,0.03464602633238825,-0.07859252775479646,-0.05748341111135852,-0.10248809007919094,-0.1916154623939314,0.004765234786874556,-0.0338964369775003
CCL15,-0.030351575746978755,,,,,,,,
GNAI2,0.01447737127935145,0.05906806042261449,0.0986228748042673,0.0210898499966316,-0.01922313150117176,-0.0387046220126024,-0.002637106281505043,0.006603988767265482,0.03998140996401678
HDC,,,0.0533727605751015,,,,,,
COL11A1,-0.0005080886605726667,0.11723479630373844,-0.03279860102453827,-0.041695351061137226,0.045788877623395195,0.005762675188766732,-0.04520264238411726,0.043031285107692704,-0.04979686516019444
NUCB2,-0.008502298566122238,0.02538405521705093,0.011678058432590887,0.014021584987098563,-0.0035779079555035456,-0.0513440903306094,-0.055868290273629405,-0.04587197321958559,0.030818017238559963
CXCL1,-0.03748424664948857,,0.1117572397209187,-0.033190625221975474,-0.014580884382424834,-0.047167085575199344,-0.05413864589079881,-0.0401786332862931,-0.03341428740679667
VCAN,0.05727642348889474,0.09394258540499978,0.024815121461654887,0.1262416971736353,-0.024936728116065298,0.11213008148460744,0.08271870771673169,0.03791749976244906,-0.0007721232572088049
MMP7,-0.03664948430655657,-0.026248866631057372,-0.013167857792130713,0.021923668576546675,-0.016612046278965426,-0.021167185704218192,-0.04536288921844269,0.06250042972903512,
PTPN6,0.01863769208746001,0.08352678288223606,0.09541228478174815,0.06356130523592252,0.08398778371308711,0.015408279600728868,0.04653405345241512,-0.0032765817978881186,0.01620804613841643
PTGS2,0.002896260874216261,0.016097691201191106,-0.07145751500056213,-0.031182120381479935,-0.024808882603921986,-0.12783105783964296,-0.1404507461254527,0.025755190647474526,-0.0331514570363305
XCL1,-0.01993506991761666,,,-0.007101784896212212,,,,,
CD58,0.018209930747178853,0.04641981807028562,0.12432717748203068,-0.022189548446404778,-0.00246959736693614,0.0312115949093588,0.08539532470384752,0.0014804778727588147,-0.022344549942669586
TNFSF14,-0.020086638059278752,,4.0654771129459374e-05,0.039798131988298166,,-0.05108937301789459,0.01505665466898805,-0.017230871591825674,-0.03628435379448116
CNTN4,-0.035314723953292916,0.02905736451233785,-0.04675634335244967,0.014665958323652804,0.0099414587535931,0.08914019041357554,0.0017691177731542556,0.035876183196609714,0.11873847109480272
INSL3,-0.017858143449106165,,,0.047633969380911176,,0.01531705233944938,0.008276880462034624,0.00863782495959623,
MFNG,0.0518989719183672,0.07792818344144031,0.14173172073078769,0.03775705552290346,-0.015290226184672186,0.06491120244453255,0.1015720135773119,-0.08964992394719049,0.0009069432306523009
ICAM1,-0.042937155490088454,0.09768380773110392,0.10288068138852459,0.04539944430615539,0.03988993811596,-0.10162041537452055,-0.05189303299002497,0.0036671634348251687,-0.011758520832083317
PROS1,0.027399108152983572,0.08280881600093215,0.10817931992037053,0.07311213110555723,-0.021654953201390985,0.04090385276015444,-0.06244706130347585,0.03742819968463852,0.06471186082745906
CLCF1,-0.02595947828439696,0.0655894789944758,0.008580929585006182,0.062244847137524366,0.004300174625752473,0.012962357601703917,-0.014851468974962596,0.039944532905595145,
PSAP,-0.06380691111905477,-0.08705768664834095,-0.01050235955977333,0.0690562433855384,-0.026794893240842076,-0.06770524567860883,-0.06806310389783787,-0.027862861577648952,0.03400057125116179
EFEMP1,-0.025518583329144976,0.020967962583128604,0.052560622521511446,0.11327234183209539,-0.008408363908340906,0.06587628486682197,0.08120886550346823,0.004690624978609318,0.023998631978308566
C1QTNF1,0.05786330752298168,0.06707707112098185,0.015000989217624347,0.02367702055020256,0.055656410392082835,-0.054223300425645236,-0.0636649700065866,-0.06327852511319482,0.004908401189229416
ALB,0.02298399317815733,0.019720678677156264,0.04685855237983785,0.019966340302440072,0.14382578167335944,0.008066657820937764,0.046714938051315096,-0.035583482733063825,0.02738183139871103
CCL13,,,,,,-0.037925225023765226,,-0.046193675729675726,
EFNA3,0.04599084840394288,-0.061044250069645374,-0.05099097828103663,0.014358249583903323,0.08526888453299823,0.07499197601757504,-0.004689268751111569,0.03535149030695776,-0.01797184392713309
DRAXIN,0.015097601071007206,0.11150518233142284,0.10114428839985158,0.018934709836831997,-0.02260714155003931,-0.05851072371551059,-0.10259542000473632,0.0205193492271908,0.034148275866241216
