,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
DLL1,0.0865455537157625,0.12318662917479951,0.05784388341420527,-0.033153346635291694,0.045652728658145514,-0.01643222030607873
TLN1,0.09562604313313881,0.06674582001969476,-0.06163354968555165,0.05738793977059966,0.024464027329011984,0.07200184140786557
COL2A1,,,0.007958610669056086,0.019595743854979815,-0.037150745694166924,0.0832457925383627
SHH,0.07287199439195051,-0.03830199478868248,0.05023719967058498,-0.031310943231556684,0.05975055997451847,0.013717972466218278
PON2,0.11379166006317767,0.019415043096759267,-0.008978584926327192,-0.02207659185153957,-0.006823897224529403,0.031708643256880706
ICAM5,,,-0.026226742895979198,0.01907050702644605,0.04156276792410382,-0.0626807488862845
HPX,0.09835211662045079,0.09508214426818544,-0.007092048512096265,0.03904659986313257,-0.012167589169308919,0.03971197826380356
SFRP2,0.002983125263266768,-0.0077359250753778076,0.01950588642298624,0.0073057656260425855,0.079517053087395,0.07412023987457513
CFC1,,,,,,-0.019639285198165272
CD70,,,0.022893400795562832,0.06346049871091976,0.05930725851016425,0.04070224869446493
HP,0.035268075427543226,0.1276294550330674,-0.01221932953886247,0.051650813802443116,0.03204415514892481,-0.0009708064540944265
CXCL2,-0.0040269683125696044,0.06942890537350994,0.011033187605310562,0.03974686050496217,0.039407347350002335,0.056772145456581075
NPPB,,,-0.0010296010526281148,-0.03565229391771102,0.008258856228450885,
CCK,0.05586379678487911,,0.09815956027768588,0.0098638709339483,-0.033592200221191165,-0.13672115932949716
SEMA6A,0.02412906289206455,0.045412321373228606,0.05262787589244753,-0.08994102323099264,-0.01886200795330694,0.05673767597599467
IRAK4,0.06237259404865068,0.0024006217371341397,-0.03371328224365534,0.0897681249257618,0.05423841706698467,0.051341412222317515
GSTP1,0.02189643480092707,-0.07754490716307536,0.0488069537792737,-0.006486850708781366,0.03158145453243481,0.12390415459817775
VCAM1,0.12481739766768467,0.17312597647205807,-0.0235373828413149,0.03616086885219073,0.08975100837229931,0.0276305542972982
NXPH3,0.004535294209452133,0.11814413821201787,0.04317393982511429,0.021707911662001284,0.026423225336661506,0.03763957891691137
MTMR4,0.0711024620544661,0.05290624152193136,0.0125875803759134,0.0329878353939212,0.08239090575739512,0.05455110581027714
LAMC2,,,0.09519978902108046,0.042276644745002506,0.04364909909041306,-0.02137317975434899
IL10,0.03521350354646664,-0.019101999038026188,0.05605430524755536,0.06603130786788931,0.0222972847748984,0.12833963272474155
SEMA4D,-0.042147710329701195,-0.008576284880174888,0.030142570810382973,0.033939440124060596,0.05059515763682031,-0.01895385162821901
TRH,0.012981582131459321,-0.025622035291224195,0.044788870713057954,0.007230296696759142,0.027950282588249626,-0.035054525614942586
SEMA6D,0.08639003129230481,0.023824550260634177,-0.03487321788183971,0.06413410060207812,0.032269825535217934,0.035705202453628924
CEL,,-0.019481854290344783,-0.005012566988353898,-0.05145496824523332,0.039385508551197476,-0.022834326636447216
PDCD1LG2,0.08442781945200824,0.07236532255082107,-0.03652872596562404,0.05050861992204029,0.06346527675324942,0.06126796280502038
SPINT1,0.02525907242007087,-0.04146160405883539,-0.014236052065507624,-0.031358218908013956,0.087074365973658,0.13436946002300038
CTHRC1,0.09003506010918502,0.04501946573817306,0.031560790430260166,0.04422739879344408,0.042043041564006886,0.08326139894893198
PODXL,0.07496135931134297,0.13156714507459175,-0.012167334294060243,0.05845191712170254,0.05534881187459648,0.10083951632010389
JAM3,0.00664782671715724,0.16049084614076162,0.07272589089297175,-0.027558186317283337,0.04948504967646456,0.05734996229864148
TGFB2,0.08777761790856882,0.07889501359540714,0.07292804659733623,-0.02346442933152178,0.04257203482418337,0.040543431259699225
COL18A1,0.019227320169417826,0.044599676332787414,0.00793467854531857,0.09065418363686177,0.012025961175903285,0.08064493533550743
NODAL,-0.022926619370410527,0.06524651762819565,-0.018039023304156052,0.059270803579545825,0.11119972158257023,-0.04452378693202437
INHBB,-0.0010073744529753201,0.007321441959951889,-0.061572752880348795,0.03359971543532131,0.059154479144173086,0.03112462314401057
LCN1,0.0774256621947041,,0.016652496731530984,,-0.029330033071561935,0.1493861332894174
ARF4,0.13484501195947307,-0.027651604633401997,0.033733529872231875,0.03363929472580429,0.033633658765264904,0.010420109811789785
CXCL14,0.11414843047853421,-0.015123025409849724,-0.024955154633608565,-0.009423221886680625,0.04866821875316274,-0.014615456819284188
LIF,0.04366953551861586,0.029152781937372592,0.019989733625798055,0.022513912257926424,-0.009053451762851626,0.1169264295841839
IL17B,-0.008398646343630266,0.09433188209099459,-0.02980685428189465,-0.032941572843646856,0.04548603904812719,-0.016949908879741783
MMP1,0.12165394275155562,0.007173779231760361,-0.04709250923989685,-0.023854015169434063,0.03826557638830489,0.05441613451859661
MATN1,,,0.03477414897551818,0.011778015058444459,0.06381298642732529,-0.015446622165439409
ADAM28,0.07337342966091005,0.06490537965185693,-0.005732097235205027,-0.029306421065367436,0.017229112859768643,-0.0020147726797256115
TCN2,0.009222951550411434,0.11119963628747437,-0.0363387356376869,0.039215812466441624,0.10806416625796751,0.053787528229884245
THPO,,0.013233291264064025,,-0.016886620475826532,0.07644921039265824,-0.02314816772798722
CUBN,0.10179090578535746,0.062533545043047,-0.0004364987432379479,0.022757914349118613,0.05714246128395759,-0.002609759099703235
TIMP3,-0.06965044276422688,0.02883585708494226,-0.017096506445301533,0.08501719847296943,0.04282758392792445,0.07315622946342007
PIGF,0.08043364299470333,-0.014514867916888292,0.009784982927216504,0.016852963106521106,0.06311673468834658,-0.032729765183965545
CRH,,,-0.010800880244618418,0.060055083323055154,-0.003928692931783716,-0.018062940611692828
BDNF,0.011420356739537804,0.04841727426369808,0.02791425809079082,-0.0023737707086997615,0.10343849531089067,0.07177883779915116
CCL5,0.07236592877409206,0.0635830413692461,-0.014141773351063173,0.020022244521300355,0.06119185872193578,0.025188528578050415
GAD1,0.03652172105060572,0.10528693847929343,-0.011866203426196067,-0.00212683340015754,-0.010067085731835186,-0.05474029578076607
COL14A1,0.020125948654978923,0.1199681399318844,-0.01269114709224971,0.08850971579904836,0.08795639292918465,0.0589604044345245
HLA-A,0.057544783812804645,0.12424089368008912,-0.07592036044492638,0.0017237209811330654,0.04048295691831106,0.011876465417793487
FGF18,,,-0.022110152971970824,0.0357539127470132,0.042735475329801945,-0.021205423807107385
ADM,0.1152055140213877,0.009543729964539288,0.05338051627921536,-0.029132269808748713,-0.04507935893674752,0.07008024814108324
CCL15,0.014277272971628457,,,,-0.00805673584219799,
GNAI2,0.07328859722418561,0.14855058302806562,-0.05891902173834539,-0.010635718323680873,0.02082575079031379,0.052359618436802126
HDC,,,,,-0.01470867821501225,0.21029331492332434
COL11A1,0.11829191160164691,0.09580216010163277,0.054258794530484676,0.022087935505468916,-0.0006073261829244934,0.08475949355295254
NUCB2,0.02520551781134292,0.05690193669809054,-0.005235624394049402,-0.009584117933974484,0.017605681255508723,0.007887435274454863
FGF16,,,,,,-0.015220631202426829
CXCL1,0.004314063736781139,-0.09158279368549659,-0.022305021323301647,-0.026621480249703726,-0.04155757848980757,0.09232524397828017
VCAN,-0.09079572594973988,-0.06305250304651594,-0.04179898047431851,-0.11391483578213586,-0.024850574278407225,0.003191855165370727
MMP7,0.10590508259131376,0.06468356487367423,0.0051465317309264,0.09538250126554347,0.052501266512985915,-0.041180282346393635
PTPN6,0.08358787913094282,0.0034518972917344107,-0.04979119212362488,0.037222855256998526,0.0632530858636875,0.06067318951186019
PTGS2,-0.020092226614094218,0.02059470467210457,-0.04058656965183242,-0.026542475694511517,-0.03732620771422401,0.037301793621510114
XCL1,,,,,,0.012017046085319087
CD58,0.10346548737884745,0.055875232700820614,-0.05924030785858394,0.03122699241139549,0.06136576163513323,0.010368249538726922
TNFSF14,-0.08274333783623254,0.01922495479684682,-0.028189219712478467,0.01952434655416105,0.02296938433944622,0.013424087149024261
CNTN4,0.033595082395298674,,0.07906859230333535,0.06779134412187061,0.026703924669825862,-0.012311285302691058
INSL3,,,0.02262274154790607,0.05519144811287119,0.029838170863409192,
BTLA,,,,,-0.03330434333222452,
MFNG,0.03296740023884076,0.07554923199851844,0.03912808313414543,0.007447989118058718,0.03495237762416554,-0.04041473723176316
ICAM1,0.13232185865710067,0.17156234875617854,0.002165846532039234,0.06271475126783661,0.07268460036593016,0.031008674216780826
PROS1,0.08567770892009964,0.1808945959590522,0.0017301261797410647,0.07457776740988777,0.07648925068369604,0.008353495618939003
CLCF1,0.065735080814476,0.07974046080176202,0.0751357609486699,-0.004111630936981443,0.04178182346853795,0.1160297859649821
PSAP,0.011283207856338883,0.21367131111017248,-0.023774402000492634,0.09750965733383994,0.09581789151610474,-0.05810906232726671
EFEMP1,0.08928232317882177,0.12926580900882714,0.1045098848279782,0.06473508616653718,0.06732789212289116,0.05446814329671573
C1QTNF1,0.007342080483707975,0.08041666450465192,0.013752973534549866,-0.029615899912680137,0.04071646592834644,0.10135125492376741
ALB,0.0948037185183692,0.022517680289141025,0.011103666970429485,0.05446989548230694,0.02845824201378639,0.0006363280825493733
CCL13,,,-0.020925731471898214,-0.00916469924740698,,
EFNA3,0.07975369322487985,-0.006986408924880871,0.06001382635743699,0.012397789234256919,0.025865204969735902,-0.05220407370174292
DRAXIN,0.11939524223948737,0.04517348587266052,0.019234794812040754,-0.04236641646267528,0.09313750422028909,-0.03519206843643997
RAET1L,,,,0.005555855915255532,,
NPTX2,0.05559192554524718,0.09637170208351065,0.07039011822690004,0.039146149163686646,-0.035700943383419136,-0.04633150966650705
FGF11,0.09519787737910482,0.07850739109171478,0.058266762733456025,0.04515079896732545,0.03158094474152839,0.05091259302264557
CD59,0.005713317466524131,0.12649037329765977,-0.04673787227023648,0.028559553843204605,0.034685300713331174,0.0003851135743339647
COL9A2,0.080311997862496,0.09386822566547671,-0.022722921140076586,-0.03427724973636438,0.05261950732269106,0.02916423308432186
DLL3,-0.0828849980758908,0.05508805973035913,0.01646198326186092,-0.045964012651787844,0.031770745373430824,-0.06906697116055285
FGF5,,,,,0.003486576528619333,-0.02610940505449354
LIN7C,0.01708275284516512,-0.010532924833228936,0.0014162414809559523,-0.02334111819602585,0.006139154123045966,-0.05956588672111627
GDF7,,,,-0.028000914932562328,0.044981503096540504,-0.023612210440793844
PSPN,0.028875862901466258,0.14618587002353167,-0.024332087906947446,-0.01921714847286759,-0.014484547876476767,0.057757303253817956
ANGPT1,0.13967987866899978,-0.007551714073179325,-0.020706518007432003,0.06235578535515193,0.03839151176272046,-0.03128431517719477
PNOC,,,,0.05911725718245713,0.000661271689414637,-0.055138739762504246
L1CAM,-0.028120220895796473,-0.004585054459914328,0.050435132456818584,0.0039743848527640365,-0.004204620463505444,-0.1144553321399163
APOA1,0.04008962899688024,-0.0027898212507169572,0.001554234745413151,0.0007812893240150468,0.05783433017965157,0.0790971119434569
PSEN1,0.004918251928298923,0.05406769064438298,-0.06773489020560819,-0.01018532523128712,0.03589743771039203,-0.002032047605442401
CALM2,-0.07322303423705631,-0.025282246839774553,0.08328139274476155,0.10156965177607859,0.02087246952806539,-0.1160962039910132
CLEC2B,0.07882533285097582,-0.00596596633468495,-0.041595155879259105,0.07859688962645581,0.037826038580628725,0.03371066861825176
NTNG1,0.07347628281353201,0.19517073154117875,0.014618211554334995,0.010776111888630285,0.009160562326327252,0.005055291079416775
LRIG1,-0.05932311058270365,0.11333394419012044,0.005317657435512131,-0.0480194175638932,0.0013597828054322896,-0.010813704047080321
CPAMD8,0.0029026786803769775,,,,-0.012314875745549741,0.07545756757528617
GHRL,0.07652553531235883,-0.10248852132803342,,0.01838983167693066,-0.02338944600866399,-0.014758976147894893
NPY,-0.0703734539681037,0.06432455205711178,-0.00353027510905558,0.03206541746047596,0.004962042386663497,-0.06947859061533186
MMP2,0.16792281231556744,0.1555948084186141,-0.10063386101301337,0.062226375471001016,0.04093532908721971,0.05879583751214169
PPY,,,-0.00426994483959555,0.07471555639635123,0.06697649011032758,0.036853360850226405
ALKAL2,0.07093723858201015,0.08838228724065642,-0.01357285629342259,-0.005350783030031856,0.06734091044696697,-0.016778527994089625
CSF1,0.144446421517144,0.24201635684304343,0.0007983563351454212,0.016554033693969232,0.07862342340899353,0.15433639036049687
SEMA4C,0.08112779173253991,0.12364177034365512,-0.00024035827468834114,0.03931435748720065,0.07574009498685193,-0.012069285785040138
BMP8A,,,,,0.03906531504144496,
ICAM2,0.11539073199889756,0.015525399940809727,0.04461375778204534,0.02355832609613586,0.04442108453691961,-0.012342912918998682
SYTL3,0.01002641249640381,-0.03148194256386194,-0.029014642425273265,0.01261392318013714,0.0897219314337939,0.07874994471483773
IL1A,0.058874322202110675,-0.00728104340328699,0.03872966487900835,-0.010629469137362277,0.02120677549592366,0.067051610801869
HLA-G,,0.011275050387751409,0.022735940116973406,-0.05078368782413247,,
PGF,0.041604994499523096,-0.015684596286625427,-0.00526289218051497,0.026018191289025872,0.0392159796158173,-0.035126654386606435
LGALS8,0.039061958192668216,0.08740813363771296,-0.01222863207037986,-0.026149457807011885,0.08048819206236547,-0.006778997682028282
DKK3,-0.00015899651525862833,-0.030830107452897517,-0.0072662406064710715,0.059992075572220444,0.04876982870115057,-0.12273841466243231
COL16A1,0.021378590987269075,0.07488385519288494,-0.016847648640978794,-0.012852433843627534,0.0039750701070866415,0.04592407711581359
TPH1,,-0.10773323863480114,-0.04132375288810676,0.037309063055493606,0.04334962182742014,-0.020787394773456733
TNC,0.0638166481053983,0.11276199781765199,0.07065517736192072,0.07767203422963655,0.06800810908437085,0.010628355745574474
TNFSF9,,,-0.0339043234956205,0.044382724246846486,-0.023281629706251066,0.10525431986132346
C4A,,0.10015054186509213,-0.023296948349405995,0.02702595727169358,0.07177178520304514,
CNTN2,0.020653143594139552,0.03210460788213862,0.07270126733497996,-0.06371289910629113,0.021106853235557055,-0.09276405795943568
F7,,,0.09364918497319438,-0.028000917640182383,,-0.02069508023434571
LUM,0.015993743776831576,0.06202028184852828,-0.05993037333803368,0.056851191104372575,0.02341127948411862,0.042565332393391636
BTC,,,-0.0013116766731122618,0.09830720565779447,0.1365012182505525,0.05781504049591494
APOC1,0.12012234466334804,0.04046983811230841,-0.010800359562285512,-0.04329461348405401,-0.022004813272087215,0.03878650376271992
PKM,0.046436086951292976,0.12003906069996147,0.04837629284227457,0.028305171041266532,0.06673751964015359,0.0062818678723764836
TNF,0.06554424105827056,0.06564104992313617,0.061699706013700395,,0.04955140979586302,-0.016106809342274223
GNAS,0.1767335080035992,0.021174497450589323,0.03306689834443582,0.00975258812982196,-0.027009359478018545,-0.05299338929582892
BMP8B,0.11807979093149024,0.07630684527343265,-0.018442209896396104,-0.002182495475718382,-0.017128934974797828,0.005046585611193235
LIPH,,0.11385970712949084,-0.02092573916787321,-0.010242816057705056,0.043789484178592505,-0.025683461967383026
CCL28,,0.08404021823119967,,,-0.024004907184034037,-0.024368891845634205
PTPN11,-0.057441740274359714,-0.08436167443276825,-0.026428514963909713,-0.02157555446536912,-0.0358523661202253,-0.0800997228836232
ADAM12,0.12657293230202415,0.11094186605975159,-0.009205425394885017,0.0024214451291118527,0.08467409737533498,0.052984545083263855
EPO,,,-0.02272588715308477,-0.026789375952298747,0.038069009496357414,
EDN3,,,-0.020910381896162525,0.11853526453326864,0.0006862883737348516,0.032886302925429205
CCL22,,,-0.025720809500870138,-0.023506511184617686,0.04417348060811724,
CCL2,0.1026975957455614,0.10789971148326674,0.006991732468466435,0.068614775972733,0.05110522582010109,0.07528580974378207
DSCAM,0.10150160129244759,0.04081714613470291,-0.03647202047567292,-0.005665531928170803,0.0594079255589863,0.09679700541081734
ANG,0.051795178873360284,0.03689439681652496,0.06298136694565579,-0.036764821606469864,0.021465808269875614,0.04577323555141306
FBLN2,0.02558097683336562,0.02519748762455337,-0.01527034803598754,0.06461660806091442,0.0872987713769498,0.11423925587709845
VTN,0.018064441970540482,-0.031819596819042714,-0.025977244224374075,0.019485455925325062,-0.009058504621742331,-0.02610941411818764
VEGFA,0.03458338876176196,0.04796267983363081,0.05147454655479221,-0.033217384938328876,-0.041460173841405976,0.062204800018638776
F10,-0.013972333431340049,,,0.09099255232622262,0.07897969616387938,0.0526415397809242
SERPINA1,0.07356675244759593,0.09578625955731637,-0.022158408296855205,0.061990680586842,0.06257801356304146,0.06452610002793595
VWF,0.01799510664668898,0.11705316268228569,-0.04133295223799328,-0.004022591972581099,-0.013772981239996384,-0.02691998925184419
GDNF,,,-0.009774414295794663,-0.027014497510822754,,
VASP,0.038002457569987894,-0.0068245441256452564,-0.005887754941658149,0.05850848326109046,0.03469674176070271,0.05244648163320462
ADAM15,-0.09352677409309611,-0.00797286917186102,-0.014972287936787242,0.02564112072361099,0.028298597442102287,0.032530341086124626
WNT2,,-0.022067152392817632,-0.028189206937449657,-0.03216663489907768,0.0675306942193272,0.0005304838979274493
CALCB,,,0.04652832715683185,-0.014470621909034273,,-0.024813539553763593
OLFM2,0.04411875714533336,-0.0059343226617185815,0.022065237292430893,-0.023833858990456196,0.012619790371320562,-0.04891039670150447
MFAP2,0.11235390794412324,0.05647172177185037,0.013189386591999861,0.03162343235139882,0.0858924798352355,0.06351564238610108
HLA-C,0.0004974684119644203,0.12380737305541903,-0.03272171589665452,0.09750551796802515,0.08061365345903744,0.02238478413134732
THBS1,0.042595198632345746,0.09662198376091016,-0.05335730071481205,0.10241190304098777,0.018977426672795315,0.09131993258491927
HSPA4,0.04539187956886079,-0.039486997480045104,0.03133259946426168,-0.020581594040122497,0.02921532249656895,-0.060393704821931134
LMAN1,-0.04013124531454035,-0.0340083399302994,-0.06043184769953751,0.04054143995117235,-0.008783126053906227,0.015435632487492522
