,UKF251,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
PDCD1LG2,0.0037859687074790842,-0.01865210735913063,-0.01138608652904617,0.026826278272088697,-0.02950174559283347,-0.0018090026439019364,,0.07284960337160332
SPINT1,-0.04892671384186746,-0.006787141573684774,0.04319011302188999,-0.007682000553899182,-0.05125929846995213,0.002252459527573833,,-0.005919535021791495
CTHRC1,-0.02280820306697426,-0.029441899948085576,0.0857893445309642,-0.03682623921911389,-0.07017023216026888,-0.01873340393114288,,0.04552361505402394
PODXL,-0.007965604355448332,0.017038325846752717,-0.019201528219529286,0.02614311872647424,0.029705130581827856,-0.01553544820665646,0.012943793912928995,0.05437400970388492
JAM3,0.046382799220262956,0.02120538354269837,0.04667202510250686,0.09447171299450302,-0.02088823240781476,-0.043776868436829056,-0.00834282430490134,0.007389380081801699
TGFB2,-0.04629062719095138,-0.028074496615891106,-0.02840611898591903,-0.04800481093167034,-0.07100664859031056,0.02605721937222901,0.015931620579394613,0.00709530954623037
COL18A1,-0.04867097389368472,0.03489394093218156,0.16383607059271335,0.08415416556037646,-0.010552126746975275,0.018772569818747805,0.08201581720617918,0.028906111595697687
NODAL,0.007447085920475389,,0.03606282733042617,-0.018941783689200384,0.013561983757232441,-0.013997319637707983,,0.028159125633682454
INHBB,0.021890744414016956,0.048215811846321045,0.02109956327685122,-0.016790939083803698,0.004038099261912138,0.04546583210088258,0.02892478526359537,0.09255777592202205
LCN1,,,0.03140654266093681,-0.01788811887111776,,,,-0.02530012185358656
ARF4,-0.04705051304011212,-0.028177147284047212,-0.050317904431606435,-0.021415439909468544,0.03956344353727925,-0.00037846078458585403,0.003231817198796055,0.02089599582243716
CXCL14,-0.01610810071990126,0.03032037350085567,0.06220610873432621,0.04491958248291817,0.006556366007737082,0.08928621476837857,0.10700727223864596,-0.02949608746918538
LIF,-0.018531539306233913,-0.02551122561248684,0.14969486610988525,0.08412618493743546,0.006804701051165393,-0.074416120324307,0.08187405042755518,0.04830475413273284
IL17B,,,-0.025339968946203738,-0.02864167697070547,,-0.017413966288580295,,0.005188296195513453
MMP1,,,0.25697934699576114,0.026267443961117447,,-0.012609993395865455,,0.025318147451812538
MATN1,,0.03159265392540903,0.015228366743016152,0.010534285049591205,0.012362800229559382,0.023828733669288962,,-0.0304279057878232
ADAM28,-0.011060954179018312,-0.04404608624415837,-0.07017477678098655,0.010393639452557718,0.012507342279204525,-0.010810579221554829,0.03435883837547513,0.0797549867722243
TCN2,0.013120317844030326,0.03653223660838863,0.03099539780425054,-0.005077436713651123,0.024470469928382237,0.009426899840170212,0.05039024051235056,0.034344986664831635
THPO,,0.007048436657765063,,,,-0.015568158043232212,,0.02149026687457393
CUBN,0.013856180154041527,-0.0761549589452885,-0.007502572635239164,-0.04499142658795853,-0.041978523337117504,-0.04953564980587563,-0.03045518041027925,0.08250079456290248
TIMP3,0.01470301734508232,-0.011860435461820288,0.08408133092587461,0.08006055376510297,-0.007775666323889887,0.05036155298981367,0.06369265768634438,0.09300838765623028
PIGF,-0.04448660272923348,-0.000426837109054304,-0.06514134463981569,-0.054483477413398325,0.08429766340655082,-0.048856857123727636,0.05900373875123981,0.021237174361765872
CRH,-0.01837857546541193,0.02059450614283688,-0.020334010380167713,0.016899986989877894,0.059429401245595516,0.017166589858829608,-0.04746670840560202,-0.0023675756811427457
BDNF,-0.016440717864315176,0.006573479465319609,0.026000330780769233,0.05426675644890011,0.03245287645716561,-0.05357199528711887,0.04619659058107833,-0.031940076407568754
CCL5,-0.03720886607435356,0.029452718923403315,0.09921473814370987,-0.03088993871546074,0.0044160256646490655,-0.031730168297466776,-0.05850481268339545,0.09712238622667611
GAD1,0.0582909190620818,-0.012062321477067222,-0.030058486869597775,-0.02607909065066443,0.03880493144094095,-0.08735988987186209,0.019381334539286418,-0.019982801441969695
COL14A1,0.07939476180699656,0.07165717022944505,0.20429726523005676,0.06902065037380813,-0.021725947211600906,0.04962097049462822,,0.0987583360068201
HLA-A,0.013928887593887001,-0.026974202746822943,0.18476901583623034,0.11108051921259719,0.05221431018296209,-0.01768181886916982,0.06276191517419859,-0.009972626320970028
CD5L,0.0033571908534191833,,,,,,,
FGF18,,0.07000867074754241,-0.029957913038159895,-0.012671684748644389,,-0.021790965887440502,,-0.025018554343127296
ADM,-0.025812434266830525,-0.009762005633417111,0.08499293989413424,0.04180932983899327,-0.01599136240733361,-0.037438485611114555,0.09801659877888427,-0.009726726041136384
CCL15,,,,,,,,0.10849832514572216
GNAI2,0.042719324274548186,0.02614710343644432,0.05570969349744007,0.011119323264709076,0.006054753919139326,-0.03130152011062542,-0.08995846580825274,0.04082394197692456
HDC,,,,,,,,0.02405006284669969
COL11A1,-0.011131220307535515,0.021200757126714192,0.06602493154266835,-0.002435652474016944,-0.04795071613926141,-0.012917748821119627,,0.026208085001502644
NUCB2,0.026031618522356144,0.014276917661069739,-0.04502664938513297,0.003949697131326996,-0.034862502699126975,0.028881262967610805,0.037061514723828994,0.09254568557531878
CXCL1,-0.01971581626854907,0.025082323203787945,0.22247428227105806,0.07365430520911588,-0.026245362812731866,0.05824640289691414,0.035599360651626284,0.041918983396695315
VCAN,-0.028887530803528554,0.005279639558245917,-0.11948696182522668,-0.0599613004420943,-0.029613583232125585,0.01808347066485443,0.05797185323198938,-0.009572669172596518
MMP7,,0.03566610321143528,0.1636160822238491,0.07342543224580249,,0.014828006462152347,,0.032874240557576165
PTPN6,0.07001372542345018,-0.048816726671799336,0.059572788323251545,0.0036681928545717543,-0.011694955960967694,0.051153108960914455,-0.07764418731910461,0.08407384930678453
PTGS2,-0.017595331803321065,0.010312585922017888,0.2000681689106342,0.11219689717330573,0.03200347686711478,0.02079806136539757,-0.030727678762029496,0.015388055598844845
XCL1,,-0.03355594525625174,,,,,,
CD58,0.044358062295169795,0.030701981207336627,0.032357077648686415,0.07292015838683825,-0.016440206924510585,-0.028823652760002733,0.06148605521354374,0.005227328244119639
TNFSF14,-0.02056294638039306,-0.03759193539450103,0.10314401034759454,0.06985152900207457,0.07113319920406277,-0.018208168676766674,-0.049166297848127094,-0.010323296848719007
CNTN4,-0.016096608830353836,-0.0334384218208292,-0.04893742747001767,-0.04243308070024975,0.03288277380352956,-0.007489055844290022,-0.054193525589554405,0.06627058623236955
INSL3,,-0.023558243906363893,-0.01004812603344325,-0.017670363992770187,,-0.0182081669175644,,-0.0012828255505337033
BTLA,,,,,,,,-0.028728366671224203
MFNG,-0.031653734624989965,0.029595042859926944,-0.041843566091395695,-0.03662937972276912,0.016936007283575315,0.029222620390848712,0.02132828311341195,0.07862987074498277
ICAM1,-0.012164183346725164,-0.03538402411414807,0.142499433878255,0.06878652983444658,-0.052104910907737514,-0.029018215493570566,-0.04309194732408819,0.037059184759742125
PROS1,0.003698812166750854,-0.0021449767214437253,0.00011824454230941115,0.0065100446592111175,0.018871142143775128,0.026643195672462497,0.03386903585797175,-0.004279114269917629
CLCF1,-0.050472763664413896,-0.002024547491669532,0.0659912952946982,0.018299955327017288,-0.013977725033048699,0.07019761727558356,-0.04798141086024925,0.03384383024425752
PSAP,0.007925954974408721,-0.0300852670761694,0.14629358995773376,0.08254993272310107,0.013659467729275392,0.02533723503348766,0.0301566572429949,0.03536142039605356
EFEMP1,0.053096251229446355,0.015889717655484355,-0.08255251756172644,-0.05813331043623817,-0.044035643360548264,0.018659926873126304,0.026200319852562364,-0.008777695170540957
C1QTNF1,0.030173194492519904,0.01835118415746755,0.13184124901304706,0.09049125461207866,-0.031053562797677844,-0.039239829141454324,0.07107308821629753,-0.07747323587586959
ALB,0.045371267725861426,0.1726764751416389,-0.0028151590803075837,-0.00027984471366415665,-0.04748228005436449,-0.03048001969753245,0.05659770209701047,-0.0206069477699958
CCL13,,,0.2525682726701415,,,-0.020424242784053394,,
EFNA3,-0.042664293885869876,-0.018177427870984704,0.01274494783295754,-0.011906158799707812,0.051816532677724084,0.009039509861611634,0.05340349278418748,0.04310877416134619
DRAXIN,0.025460231232978983,0.025801475162779294,0.05263674768275255,0.01118825436637138,0.008760482175193181,-0.039183180109880124,0.22144500179855306,0.07103350784722186
RAET1L,,,,-0.017888107147993694,,-0.02212122507403428,,
NPTX2,0.025438642260868675,-0.017611068668701022,0.10419500904115567,0.07743611835389105,-0.043350908701190946,0.07202240987487535,-0.01190432098003188,0.04992820431470799
FGF11,-0.012573181282950905,0.013948457449119775,0.09168219665955187,0.043586689376965665,-0.00694314758808566,-0.00638565516871207,0.13776623936063814,0.07388487660252084
CD59,-0.020726230111811173,0.009273237820946535,0.09313289452472358,0.09871987789090775,0.00346032305688959,0.0443725375634177,-0.03615722269275875,0.04421182032504858
COL9A2,0.016765142365974553,0.02405348292034808,-0.03348759491347269,-0.04268960211293898,0.07596719439543412,-0.04244438300016157,0.05616923059151193,0.0489970551548467
DLL3,0.0043367102998758105,-0.01163332741525456,-0.10166920902703956,-0.0393212645765226,0.002893524531591132,0.021131969137827278,-0.01982305037162831,-0.01281705822591776
FGF5,,,,,,,,-0.012144426314424703
LIN7C,-0.05218347263870512,0.03594820270340938,-0.033081837841701635,-0.00011447316611305536,-0.06330954386017366,-0.039107049036294125,0.05327989324217553,0.028177370010265684
GDF7,-0.017272806690768333,-0.01599543704319919,,0.03805451320767491,0.018551633472124344,-0.01480217690270625,,0.029538704809177144
PSPN,0.08186604379872793,0.004641431697653721,0.014723295459416108,-0.038993578453112736,-0.04966881029432698,-0.009397931338146983,-0.06724959169893593,-0.011745162523992214
ANGPT1,0.00556873324357908,0.021444523844858406,0.027421237170606214,0.0660036735447013,-0.031605133691843874,0.018208862569036085,0.09496462898005302,0.02768247296612368
PNOC,0.021376167196022415,-0.02770295014277251,,-0.01630683497564236,,-0.017548585286591038,0.005492513942491904,0.035782036911138904
L1CAM,-0.016593751922628856,-0.007851993179481025,0.00040326033723530344,0.08918660031088288,-0.017131031235575606,-0.039535581719829335,-0.021474826881641512,-0.037319283491811565
APOA1,0.033491233204809984,0.025198921072226075,-0.028165605839288933,0.04599388727403251,0.02116237278673911,-0.03120297043746078,,-0.0074067142571148286
PSEN1,0.023268823133879308,0.06688901425923303,-0.011929495560680686,0.0160609289249563,-0.06533749873860926,-0.011357360496485393,0.034887406116351286,0.02430890893209644
CALM2,0.03915202654516991,-0.024672644090308678,-0.12219679864245246,-0.04134022431511682,-0.07035143712067557,0.01627958455188525,0.00968750140688369,-0.002215619379629204
CLEC2B,0.01444413692425208,0.02848799508942101,0.02793547705606657,0.046603912712637974,0.035267661743299775,0.06119936499220445,0.016120465074452146,0.07544409417595405
NTNG1,-0.0001032663514771755,0.04513241473440716,-0.0853145460849814,0.00544046277275294,0.026476405591828865,0.006283059299086784,-0.05994837152655829,0.05283398929182867
LRIG1,-0.006662774291869207,-0.003448191212249765,-0.07015755174912928,-0.061555723831219517,-0.016543796489058894,0.10411152345530122,0.025040034743541502,-0.010296361310791197
