,MGH258,UKF243,UKF248,UKF259,UKF269,UKF296,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
QDPR,-0.08738774109417702,0.09783579709236363,0.013520617174848629,0.09218299393887995,-0.1653165634654207,0.06482871805002996,0.10705256088674484,0.009697910583749827,0.09889261634973832,0.047132964440050884,-0.013844649703011348
POMC,-0.01819375462354326,-0.021969989963355665,-0.05328196427759984,0.010116627185449903,0.015539648942349936,0.015296325490941584,0.02362824762686062,0.07776262206001829,-0.02395963362526882,0.09061812530796177,0.023745203602881158
CCL18,,-0.033280438916415876,-0.028053891753005024,,,,-0.02592181172289054,,-0.035808246731678116,,
CCL17,,,,-0.024241836341724506,,-0.012709289620285008,,0.01475654601321866,,-0.004826854711801009,
VEGFD,,0.16688906348912394,-0.028053900661429616,0.01974437114407664,0.11059100091367956,-0.022719740134120946,-0.011704804262397983,-0.016514415759900973,,,
TNFSF13,,,0.07517940827301577,0.029422449025319358,,,,0.006537558618067694,-0.01644695800171898,-0.05182316916079156,-0.043698784047649056
WNT5A,0.12294188808213238,-0.019151426988243972,0.028218109541929486,0.047602718349556435,0.12251475053054428,0.050955920480074496,0.02128007589236453,0.024900177521450143,-0.05650339327265269,0.025853295432902428,0.062392986577234875
CXCL8,,-0.05369083450853372,-0.033784970519731464,0.00604345288191991,0.14768678334526933,-0.021157609900037035,-0.01826500635278089,0.02417564793610653,-0.018335388515044827,0.023122022319132296,-0.03764284252971966
GRN,-0.05936800012185751,-0.03020489545052656,-0.013341889623483141,-0.013781618278649163,0.11930627167777438,-0.01393266782168794,0.007219879531107178,0.03860455164741929,-0.01584118609810317,-0.07415719406585311,-0.0855462455861132
MIA,-0.029274643165214196,0.022510507777629227,-0.04961507454343697,0.039721191987979694,0.02380564035496679,-0.025838919669842277,-0.03557480198796873,0.12436351250721558,-0.009004840942004568,0.18152888515828536,0.0014015812072765027
COL4A4,0.06417700868890779,-0.0056237295362298245,0.060032087500099134,-0.04462479543454095,-0.02448717891531965,0.026501527941400718,,0.02964250679065658,-0.029517616486002183,0.0325326589272571,0.040459958463477386
TAC1,-0.022365589242413303,-0.0352347788906118,0.07854951172147313,0.053793015309064295,-0.14074654579316004,-0.0373000782509597,,,-0.01014110348348707,-0.011262346308555889,-0.035989047034252195
RARRES2,0.05979929600324031,0.08858110070793593,-0.026596964222638596,0.08626736237209673,0.21906392298327076,-0.0048502158034202415,-0.08404495200406123,-0.006724646337352485,0.009735545405945789,0.0964361140275967,0.04045107286441771
FGF7,-0.01983051675696004,0.003837706847071525,,0.05410255680264169,0.057669550550593945,-0.03076620558141762,0.06869303131836185,0.017585634673108388,0.0416334311619,0.16897977895378724,-0.02365914534172712
HBEGF,-0.032072652718003816,0.047204695764189675,-0.006169508059534533,-0.020888798878296238,0.10244653000058246,0.05668937301172519,0.09797459210421178,-0.05385099999307234,-0.09795252572185968,-0.060576496490097796,-0.005581069745959335
CSF3,,-0.006360552376443566,,-0.039375283229870606,-0.03781230205318357,,-0.03940846507133126,,-0.020997656495242868,-0.020810810636578643,0.0443876636215229
PI3,,-0.04471763048406799,-0.02951387692544979,-0.038045473928945965,-0.005430073048699674,,,-0.003293585984795496,0.029957596319694607,-0.0727528338714754,-0.0270163063966845
PCSK1N,0.09486026680225662,0.06097549676649175,0.05566674837092997,0.0010898852745747163,-0.05353336310702346,-0.00949104906354828,-0.0022792890423245335,-0.0037142202563999957,0.02120201883496188,0.1353964839549867,-0.10675162516058313
NTS,,,,,0.11847550140367116,-0.01392208029424768,,,-0.03948428285440707,0.09142933707926362,
SFRP1,0.0124981053257582,0.009663263756331114,0.061838157505002246,-0.018178340878699243,-0.006996640438260046,0.028021406328986698,0.10986382542471267,0.08808910986520262,-0.005620826186464662,0.010789677388060004,0.04899404233662571
CXCL13,,,,,,,0.06638069179087679,,-0.0011157590175967316,,0.12040980712082971
MICA,-0.034176339877276446,-0.05390985615761272,0.04023573064491492,0.014027418582452562,0.16088380460903695,0.050428574570080355,0.05584035656657068,0.022603549801122676,-0.008224505009799146,0.021725675928216996,0.08250797777521048
TG,-0.007416696931651428,-0.030090841520140996,-0.02046649343687564,-0.03110635250270362,-0.04563606558808378,-0.022415686693117606,0.10414871814945173,,-0.017281393957770425,0.01332473038780858,-0.01274561039530677
ADA,-0.017721962072204243,0.009360953527799613,-0.018878888111147407,-0.010450650830320042,0.19262010649171293,-0.0026534498992134723,0.07627462677027289,0.05976702834476073,0.0689710016054926,0.016004862371760378,0.13933349952616547
LAMC3,0.043972926475971036,0.04099927729235448,0.030594547341805056,0.034311049506525616,0.12750791529936056,-0.00229764521443575,0.06707140530468009,-0.01146203996242694,-0.06091824446138354,0.011538722099042414,-0.08977229643649344
CCL7,,,0.0014783769320620625,-0.022489843159923723,,,,,,-0.03508954209914025,0.033780727994678676
NGF,,-0.021747450473893436,-0.030638369462162734,-0.017934730446258033,,,0.13044303935674711,,0.02808780859311663,-0.004420083528437114,-0.03832221366289359
TNFSF15,,-0.026904310392104055,,-0.02504354032271366,,,0.02334970421098764,,-0.013039184198262463,-0.021586848067481405,0.019137844775552672
HMGB1,0.010374046353114353,0.02790220600180526,0.002565813851317877,-0.03394804983234418,0.2014412150306408,0.007415126996699005,0.06415843590208274,-0.041154382736477355,-0.025191404121208953,0.05454412792516126,-0.024871722500601417
ITGB3BP,-0.023400999930068153,0.048142181187674556,0.023296148771292283,-0.029258252822443237,0.17248275879669708,0.008342003834394403,0.02706419323662426,-0.0059082941566633174,0.030832631419584904,0.11401713892801332,0.0358125685489523
AANAT,,0.06598749045603781,-0.025889865145120726,-0.022787062834799077,-0.010266652661629067,-0.0033806500506326784,,0.025755108974439035,,0.022914529892156334,-0.005610428833882675
RELN,-0.02147351587342473,0.04181919639942651,0.002036506347164543,0.03651841948478817,-0.05934111843698983,-0.00961865943479992,,0.019640356197366208,-0.015749921424754725,,0.03842611978280442
IL15,0.12597433638205802,-0.006858223854464339,0.014520181660448028,-0.00509392910544884,0.08743629522055683,-0.044619774439970214,-0.04435645142191068,-0.03241166389753427,-0.031806583341082155,0.060199934182749,0.0017754165885100377
UTS2,,,,,0.02119388740545516,,,,,,
BSG,0.08804649188472975,0.056835106482486256,0.08189942536178307,0.021407125003849368,0.027014575625459697,0.0027216104750176205,-0.03660576417231097,0.05482092710593813,0.06611262134845922,0.08086199852591172,-0.01720346371872136
ADAMTS3,-0.007459722288013306,0.034961740642707274,-0.019537493548114286,-0.010736269533308255,0.2214240884618713,0.013677006818727784,0.017650492632656577,0.05391285153853333,0.05344251300819648,0.11260130750901762,0.037979387963116555
CD34,0.021900139308593816,0.0348861695143984,0.0019589479764717784,0.010348854002000888,0.10463542962238895,0.0009202722962408237,0.049491222950673576,0.049422388516416,0.03875494344574768,0.038143917170269805,0.022886122050268704
CCL23,,,,,0.022506455635231706,,,,,,
PLAT,0.056268070786257264,0.0843232389244095,0.044158176931862254,0.039633349620650925,0.19984653464764912,0.029274945248360346,0.012031041943609835,0.03894415283237986,0.05014329273261652,0.001617808389248951,-0.058494613887779164
NTF3,,,,,,-0.04171018265830078,-0.008283497924034045,,0.012250031779193302,,
LTA,,,,0.032871639533949074,,,,,,-0.040870423337120904,
CKLF,0.015750929635784193,-0.018778479483298506,0.014898484495244703,0.06628872956251958,0.15937383423840262,0.02754629828470114,-0.012097780157341129,0.0054297732395276015,0.016002799850183172,0.09194141257250818,0.11612571449735505
APELA,,,,,,,-0.01989679845698313,,,,
CD24,0.040193985001968344,-0.019647728866615186,0.09005767862178012,-0.0146477347265372,-0.010083843281506024,0.04744126528617232,0.10888600500752535,0.05818159050443455,0.0006150462682738175,0.055928623060958076,-0.0018277491761226796
HSP90AA1,-0.06952013224267106,0.03312219177228852,0.010548886100267956,-0.019856531064150446,-0.19966811890537675,0.008696869322348916,0.011529508643061523,-0.00297570490789824,-0.01616940410163257,-0.08819582097235516,-0.1203997654238111
BMP4,0.1145304728398897,0.0027372647686572547,0.06907799507249204,-0.04146497109851933,0.007679541703164828,-0.019549807565091035,0.007295236369200342,0.05216199728841653,0.024869952183605003,0.027282414308963766,-0.010020168339398524
SCGB3A1,,,-0.01784464330055166,,,0.019416203913863124,0.026450233285037445,,-0.027078271143113314,-0.04426824324338758,0.03268615460338517
IGFBP4,0.01014717940740429,0.008931724095817509,-0.03102318196072315,0.00871116357877844,0.19186088073686872,-0.038037529674190794,0.06087237065510954,-0.018844279188736764,-0.018349977111914488,-0.020624935854687214,-0.13743528367901583
RSPO4,,0.10886495996234224,,0.019513934753490735,,-0.02179537948820839,,,-0.018236063227011767,0.07327560462676945,0.036715338384592226
LEFTY2,-0.02564598469771117,-0.004879030699454666,0.03621569373787901,0.006775082611640186,0.15331830806267518,-0.00017109853533322955,-0.014482759222939554,-0.02840784247758067,-0.02479984120774305,0.03503296500001698,-0.05301400563807059
PF4,,,-0.00024163898459609863,-0.019621945080703564,,,,,,-0.04068294182819877,-0.04694894977657897
ANGPTL2,-0.03289202697052735,0.0034355586827577657,0.03833883422060134,0.03998734604136347,0.16238924532582102,0.03659355411270591,0.016410983584700625,-0.04708524104025818,0.0032711612813798043,-0.001930322815657415,0.0012473908720912
LRIG2,0.029332641661367072,-0.061516435525557814,0.003771193920944433,-0.009753321631517464,0.06832392086091094,-0.010551783045880133,0.05380633342556104,-0.006587583432026146,-0.052679716925768096,0.08034091257193463,0.02414098454915556
ICOSLG,-0.054343546681314504,-0.019153732171567635,0.04057898290987164,-0.0338729039105541,0.050249030073934525,-0.01427486245121921,0.07699206724924047,0.02675752341120964,-0.0070626688233162,0.13938128296532248,-0.05913362345900085
WIF1,,-0.05192166512016355,0.019481898086063418,,-0.1724429657111759,-0.041014391566737335,,,0.027592373964558947,,0.014552721494429972
NPPC,-0.010313963976958326,-0.03267640982822618,0.013169889547407118,-0.02028265107247877,0.007569280093244714,-0.030290243696348387,,0.019905747179235853,0.003195590372844279,,0.0439615432612151
LYZ,-0.03082780367537421,-0.004540476887814152,-0.05450733389353234,-0.008289189391124609,0.1122106561364154,0.02563611573678028,0.06782123515925456,0.048970153543474525,-0.007025641387406664,-0.04315538351471865,-0.017116891178616898
EREG,,,,,,,-0.03318117331352372,,-0.022713324210554442,-0.058441023823939516,-0.054052149011222364
SPTAN1,0.07970886335600676,0.06910327176572856,0.038738128799323576,0.004792979932110326,-0.07918676358916957,0.014347372541626761,0.0006641110861764296,-0.02385533939696561,-0.030259877996814472,0.13583772207372558,-0.0318837689803898
PTH2,,,,,,,,,-0.029001415728459025,,
LIPC,-0.03316242362695417,0.04399065234205065,0.007839213783191714,0.026154130225266477,0.13090260383382887,,-0.021190327504305988,-0.04727186538183928,,0.012453793981234659,0.14234377127979567
COL8A1,-0.0011181852191500593,0.010921950670855914,-0.010024953812831841,-0.0076216986512657806,0.09406879275382636,0.03174716121677306,-0.07587708477579189,0.00870958352187893,-0.016196349101524295,-0.11616800430519902,0.06080390092447058
GSTM2,0.07909887808537454,0.1788842846308601,-0.029927343809453992,-0.029398227919894656,0.036528815092246376,-0.0209416370429048,0.06636021273774151,0.055959078770137005,-0.028422409236475064,0.02107894185978677,-0.06691086518871611
SPX,-0.005756270060002714,0.02003624057347382,-0.02756670507991612,0.047786869026371664,-0.01231576840637164,-0.01678587228684005,,-0.010020060627217385,-0.019727243910903483,0.249771504487418,0.1387383413979161
MFGE8,0.036804779834960555,0.04412108376861085,-0.02493507968435138,0.04183615404396293,0.05910181702556062,0.05372636672476752,0.022692396205701827,-0.017662237468758477,0.019179114108736305,-0.0015254084720933885,-0.03633986081262397
TGFA,-0.05738939585127292,0.004318858809650298,0.04238339538530492,0.005901062216515852,0.06728623708054136,-0.018654089462994062,-0.00903181382153369,0.035225955192460856,0.03668497793103438,0.053070923609247006,0.014528803706555226
