,UKF296,UKF304,ZH1019T1,ZH8812bulk
CORT,-0.02303397002319052,-0.04492647990524934,,
NCAN,-0.0009065694269398204,-0.0975273994616094,0.02117155836918737,0.09419579913818077
TGM2,-0.022029781225637736,0.030066240673689598,0.10638517680601214,0.016439401400211124
VEGFC,0.06303461883595593,-0.02074670663647669,0.07217753377032819,0.006596905930729101
NRG4,0.014479709120975731,-0.023113058824415025,-0.05161681901282253,-0.02923139292913964
COL9A1,0.11271286880586663,-0.018105467789202554,0.02708105170170729,-0.03844916427354303
GDF11,0.01273650568693832,0.025103753865653416,0.007357546482460081,-0.038802469951014
SORBS1,0.04876596712618906,0.031782518567476006,0.03964760712249721,0.010618184112206887
DLL1,0.0019788361798169867,0.0347505216072399,-0.07548041099941685,-0.008736945272913731
TLN1,-0.006773034629404845,0.11492297456791555,-0.031938438007367856,-0.015168077412117247
SHH,0.05110749248336365,,,-0.007573787688823201
PON2,0.05635624001178146,0.031087453818068787,0.08417108358780062,-0.04718984212274447
ICAM5,0.03401816044716449,-0.03998860182359571,,
HPX,-0.011370026341522428,,-0.009761632608484384,-0.03919178651367541
SFRP2,0.011183017346554655,0.10924180774873303,,0.06227790841955705
CFC1,,-0.018859458755315958,,
CD70,,,0.048368319961887896,
HP,-0.018354536556655022,0.1460542539769383,0.0465858525559387,0.03339115629171666
CXCL2,-0.015801552190705646,0.021953746631913604,-0.050850856958093875,-0.03312744973582274
CCK,-0.041071978376630305,-0.13031619753939777,,-0.0368425447566164
SEMA6A,0.00906162302419262,0.06917778896314312,0.060762708877847744,0.03736372028675173
IRAK4,0.07072370666964183,0.1190074291135417,0.014057683551879575,-0.001497308232888449
GSTP1,0.045035393221484366,0.11005669836554438,0.029791179287334754,0.03680462126847667
VCAM1,0.05559887860045688,-0.02831484195572917,-0.08447118791702107,-0.032287484425039814
NXPH3,-0.03564594993730133,0.00486766701278686,0.04609650935162787,-0.021894430134119854
MTMR4,0.0002676700289268743,-0.020135093233956375,-0.0014876313876583762,0.04189407051702264
LAMC2,,,-0.01451482677815367,-0.028262238401678293
IL10,,0.15266083834662572,-0.06934124108919079,-0.027261643095703416
SEMA4D,-0.013798508448929627,0.02795089609967432,0.015367160010125192,0.05546744650565855
TRH,,-0.029369487323697614,,-0.062467913230372256
SEMA6D,-0.02628489549469276,-0.08292359676161304,-0.015959930458081747,0.0123936078735523
CEL,,,-0.07895674917728969,0.016855759831202393
PDCD1LG2,-0.03368634896970646,0.026355635189843418,0.11767664941119699,-0.030607850183194327
SPINT1,-0.018581124507439973,-0.028522866389210887,0.016496107537178877,-0.015502612331926121
CTHRC1,0.011908186546796113,0.02000738891977183,0.06235885154008456,0.03242967599887474
PODXL,0.008282751960782864,-0.007820585867265351,0.1173176750683151,-0.00902086625831672
JAM3,0.042463577812635635,0.07707618438998073,0.033735713302895314,0.12483768335849645
TGFB2,-0.005676356866854196,-0.03317444745974515,0.03348624787241025,0.0040754491720118285
COL18A1,0.029011728253644665,0.036710001177462794,0.03882384087381981,-0.01621105835313086
NODAL,,,0.045475030534715105,0.006959669919742723
INHBB,0.029249944316544648,-0.052304306044652596,0.009194309707477099,0.07723856118374263
ARF4,-0.008117567471926254,0.009042115788252647,-0.09486696503477395,0.05544288868464934
CXCL14,0.061486039469199186,0.06589561109603218,0.045160078641591335,0.014226580485308078
LIF,-0.01347942580034548,0.07697647810847325,-0.037186962695898884,-0.03001944296897723
IL17B,,,0.10877192377298064,
MATN1,,,-0.05385706143735059,-0.02858861995732553
ADAM28,0.012012721251090798,-0.008479670120777836,0.08134664192326667,0.0028565152040609604
TCN2,-0.017789865471589793,0.057656237844838774,-0.008499828208971712,-0.03398432478813263
THPO,-0.014026622587717776,-0.025471351508863146,-0.033305443850418795,
CUBN,0.02553717414363394,-0.019586654434026858,-0.009806239014539343,0.0012110807496050944
TIMP3,-0.0027779378502950655,-0.03495820512511363,-0.10279641685003946,0.022023040927317456
PIGF,0.0005509531357719805,0.042734993589752135,0.05493889009295781,0.008702414403822113
CRH,-0.014205813408589302,-0.02185077578778952,,-0.02663368718011491
BDNF,-0.022817883828662906,0.017506692123845095,,-0.0096358224746729
CCL5,0.027306164151441104,0.12266253989109326,-0.07561640653276412,-0.04361606762796156
GAD1,-0.020482074359014293,-0.08369673496324283,0.018767500488591222,0.0044743069108042965
COL14A1,-0.018372912647459428,0.13216650520852422,-0.022507418906491824,-0.027591641376623503
HLA-A,-0.07223209912454852,0.11657045837827236,-0.03641724704341341,-0.008165173500554537
CD5L,,-0.026582190804939364,,
ADM,0.004967110391398308,0.019842537358257133,-0.08491431409543619,-0.044444063229609705
CCL15,0.039958234256675565,,,
GNAI2,-0.004970445417746482,0.10061411845324526,0.06000056978694084,-0.009007442088952808
HDC,-0.017075608864764745,,-0.02764839510838921,
COL11A1,-0.02111338670070712,-0.032266399590072145,,0.045752328871232796
NUCB2,-0.027414793970454477,0.015891821790704,-0.022112556326855336,0.08060539061282537
CXCL1,-0.012764310294661402,0.09719487788889614,0.03726149133679353,0.02859724336064706
VCAN,0.09595892492769806,0.04781076255472322,-0.035397595387942356,0.05255733657238652
MMP7,-0.0020072153249335997,0.01757921301417772,,
PTPN6,-0.03942584042721108,0.032614600189566814,0.0702936398650544,-0.01701822876566219
PTGS2,-0.0272223818428454,0.022419125622025474,0.02195096209669908,0.008876007457276534
XCL1,,-0.020519477521045475,,
CD58,0.010580427719475864,0.016312504372306556,-0.04173441691158528,0.00920565974531142
TNFSF14,-0.012467372389340108,0.13440866124175843,,0.010197025380022907
CNTN4,-0.021932793127829284,-0.04707915597816268,,0.053826537135890994
BTLA,-0.015921260956995104,,,
MFNG,-0.043833112748893586,0.024497579952684867,0.09261443315951004,0.0728487189866961
ICAM1,-0.016793718424740315,0.0468688027738412,-0.05479055433405754,-0.0418584153370218
PROS1,0.025660699761771637,0.14938646684933896,-0.08375460241982624,0.037439011639664024
CLCF1,0.03928602203981504,0.022817745770555276,0.02845193687523668,0.02847033464723185
PSAP,-0.01940391504537897,0.06500305264685376,-0.1116889843648118,0.029240090826673257
EFEMP1,-0.011569088582004462,0.08833387936289834,-0.03127596224446248,-0.016777594308515904
C1QTNF1,0.0026722429196924385,0.046971008793108504,0.01714923083722539,0.01416105277197342
ALB,0.04489279642871205,-0.035069022017041145,0.016889390344958902,0.04329250568698299
EFNA3,-0.04512897262803734,-0.06309299718210351,-0.05322132300081682,0.03341966028561585
DRAXIN,-0.011370027500669348,0.08055074585665875,0.05571271450382051,-0.03113516896839629
RAET1L,-0.013618166771801178,,,
NPTX2,-0.02519296839500705,0.05898159690378675,,0.032242123703577895
FGF11,0.06758136576470865,-0.0142585662893139,-0.09515800748066504,-0.03825694281062307
CD59,-0.0037166520539810167,0.07723810934242849,0.05344189515213558,0.05909975133278279
COL9A2,0.01237674192830347,0.04721578264593641,0.029082529512958217,0.04769277748353582
DLL3,0.004411058099125065,-0.03137567713895036,-0.020525411400884222,0.02445055773103496
FGF5,,-0.01504492249018122,,
LIN7C,-0.00623896712383673,-0.06941264584387842,-0.006766482828875006,0.0305781974705494
GDF7,-0.012467371904857997,-0.02765490762354823,,0.012700366866926611
PSPN,-0.01787027259831139,-0.0423018598550818,0.0506252724237182,-0.03976921486300658
ANGPT1,-0.011059293302350498,0.00011877728426274226,-0.04775981395766204,0.010969501117565252
PNOC,-0.020569339999546347,-0.049798790071883384,,
L1CAM,-0.033583647178300584,0.004100577154551916,-0.07004734204873264,0.04564395296784374
APOA1,-0.020177244432493555,0.041444333750460305,0.043454920371924145,-0.0394369293444555
PSEN1,0.05417515686741205,0.012736001609437947,-0.060354047822206054,0.11499265518811988
CALM2,-0.08832617990004739,-0.13665143354490475,0.04306258897317114,0.03898369608863631
CLEC2B,-0.025065347919229933,0.10550714410963101,-0.014385420941712437,-0.04666199276544418
NTNG1,-0.004015319842308838,-0.014419089361815926,-0.04767917102291478,-0.022218047267327474
LRIG1,0.05492656645125993,0.06117601872308446,0.004430691447817372,0.003941273873273526
CPAMD8,-0.023076074511408744,0.029690106145244834,0.05541913839705848,0.010571263102949285
GHRL,-0.011370027500669348,-0.016779390379848033,0.08149665429638418,-0.02800163031649979
NPY,-0.02158600460170493,-0.06117291859514636,,0.00962869907438897
MMP2,-0.03290535095543366,0.030466963836566576,0.0036667289446974064,0.016786818874595585
ALKAL2,-0.0302315802444229,0.08272580806263238,,0.012534046894785158
CSF1,0.02257476124986751,0.08040657589984948,-0.06071732789563287,0.007297197972787167
SEMA4C,-0.046202163466781056,0.03353320666285105,0.009525864360320095,0.027927810092863953
