,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
FGF7,-0.027449345497942593,0.03634551463110271,,0.03260168035113609,0.03310981383113567,0.008264690907089863,0.030156144171865722,0.15192824627020718,-0.039875936739218076,0.0467402538290495,0.03141505876737636,-0.022995537058336277,0.0033298078192135904,-0.015029157875907551,-0.02552759552214438,-0.00900015530834692,0.09964617353677663,0.0223704376668751
EFNA2,,,,,,,,,,,,,,0.0013276756839865188,,,,
HBEGF,-0.022477885831967085,0.06686112012493876,-0.006146903779357033,-0.0057042362271978175,-0.01434557716061109,0.058072849785974476,0.010900315581617265,0.006862020729009379,0.006094489958096521,0.04941568630563241,0.037920712219066725,-0.004600509134057306,0.025739312471540706,0.0369048407222317,-0.0021168829077095955,0.010183745527299524,-0.05105189004432731,0.06027022666869703
CSF3,,0.11030375190218802,,,-0.025357412690902,0.050950289218445785,-0.0014359714324441574,-0.02979673104514457,,,,,0.0003574497211288521,-0.04754607801620609,,-0.001104857326649718,0.03767486822389757,0.10009040543669072
PI3,,0.04950009569663347,0.024466046905487,,0.007444029049610896,-0.007274604915986153,-0.04431108842007062,0.012198850711991626,,,0.0049839816500008354,,-0.08249859266218124,-0.1004124985646674,0.05132914691138776,0.03732296491206766,-0.01867404872636701,-0.0009265292483233814
PCSK1N,-0.0031323056451748733,0.06132026738777261,-0.012185735027985842,-0.06567162646820196,0.01348034668337978,-0.05807632179154284,0.0076423177953367505,-0.05233190351678069,-0.01074307699879626,-0.02251031072771308,0.026774086852434726,0.0718281586751087,-0.06259840593287921,0.02236557872068895,0.023121666528819706,0.03266011655929375,0.01376457133627443,-0.05165423746958148
NTS,,,,,,,0.012269337719121387,-0.014654326228983603,0.01648814966446392,,,,-0.036468390948331195,-0.035307718757769696,,-0.0006558043475107984,0.07178558245182087,
SFRP1,-0.022620517391076265,0.030379146305050106,0.06523429627980963,0.019277579278457243,,0.03917080152892943,-0.025207103352808565,0.021387335386423553,0.05145301504337332,0.03761078845591925,-0.005741585842406516,0.11173058303970984,-0.021875070588363032,0.08640570610282786,-0.002876798246990687,0.017354944244393312,-0.02409288875419537,0.0630510352252615
CXCL13,,,,0.009031499598811003,-0.018412481973468477,,-0.02498056133204814,,,,,,0.05072697898631012,-0.006350805374838195,,0.0042374568478438165,,-0.0096618595801015
MICA,-0.0034080884355784944,-0.049478314960809684,0.017805313335511812,0.007619627731704737,0.07379619265486427,0.06180112210055928,0.01903092617038423,0.048358346463050046,0.059851466563891315,0.04002149917614056,0.03874139004038306,0.021373377586480415,-0.035940242615844775,0.003953519813519594,0.14145603625069408,0.02376865084879197,-0.006934210144804733,0.06979123275172791
TG,0.07040402576865877,-0.023743176153779123,0.06487177287330263,-0.019237656549437737,,-0.003380275447207637,-0.022007407520668314,-0.0012592013396118304,0.020217887574858782,-0.025266365238866054,0.12664665892532168,-0.0023365161564702884,-0.020771339977219267,0.013237256958708645,,-0.02248196733020352,-0.038727109472892214,-0.030494405776821196
ADA,-0.07094179513826068,-0.03511227870125629,0.010926954451565982,-0.013123863183204224,-0.039012501024002354,-0.022329424762054677,0.0026689463584273687,0.11320085043045007,-0.0066301409477689255,0.03214594677791815,0.07907854917282477,0.06817181434887014,0.011512808028488137,0.02139394544588901,0.027098686263455244,0.020083892679746633,0.006491902799007001,0.030646403909914362
