,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
POMC,-0.014973133554795029,-0.04016979092340912,0.04073169051342585,,-0.011826011367911709,-0.008195760102674901,0.0012334380815590088,0.008714337444828432,-0.022840084311482493,0.010339707974182998,-0.08849183632773848,0.013366324628693409,0.14651697223759214,0.03499629901030994,0.11603767412299462,0.07776006489189435,0.03247067510968114,0.05208177649273842,,0.03364387710127951
CCL18,,0.033159001690639026,-0.020788149820451247,,,,,,,,-0.019054245161446985,,-0.03815052584082397,,0.07725339709150152,-0.04800823666645012,,0.02831783013535039,,
CCL17,,,,,-0.023022456979539693,,,,0.04362460923432085,-0.021447182148088068,,-0.016517547813201645,,,-0.03847948378365475,-0.04008798748696156,0.01791008290204095,,,-0.015566878688976408
VEGFD,,-0.03214592066588954,0.026652296996983862,,0.043481511080515865,-0.027379390311934045,,-0.03276821507217232,-0.026156089323502538,0.01972587032997749,0.03224431059458706,-0.01770236759497908,0.1851130321808719,-0.04341086518931772,,0.06585941252914264,-0.013116067363206469,,,
TNFSF13,,,-0.004367987703024684,,-0.015880375566684524,,-0.01604907112327063,,,,,,,,0.0680072879270073,-0.011847401571748717,0.007795583947502365,-0.006201001721375872,,0.03996377260299986
WNT5A,-0.05269314525688879,0.0019066267875553283,0.02131228516733474,0.05121313528950136,0.05005493991720181,0.007789196109157153,-0.04087730490903798,0.10276317248881639,-0.02951241963303085,-0.029208573539521093,0.07302112726579675,0.008054928876094325,-0.03420818154651724,-0.07001241644783782,0.022451838063973,0.009641949122225116,0.06588550029654665,0.0438237112612881,0.11262627607158014,0.09772412889391532
CXCL8,,0.01888675197707026,-0.0023744006264991547,-0.04933082848460273,0.06506190854720735,-0.1267539328266536,-0.02282876274365135,0.03005879356118062,-0.029827754402888016,-0.014650105913197964,-0.025378734367442434,-0.03408748826742317,0.07962787255566016,0.07114300665594171,-0.07421598643765795,-0.08394719931373314,-0.035070895357178715,-0.037982812130614205,-0.04120648964649359,-0.020753980405400718
GRN,-0.08929353605957924,0.03211212621146503,0.025850047498081622,0.013189526873315972,-0.09529976014031384,-0.03167218225557719,-0.02323769929016233,0.017361923417241732,-0.017050853464542746,-0.036360965613835526,-0.07382589454797213,0.0474939812192948,-0.03986648815346844,-0.047171740947391634,-0.008767338388454622,-0.04094325881790169,0.05476535128005115,-0.032120268924950304,0.0811161778744545,-0.02713606154649961
MIA,-0.03546953294887936,-0.019703541455116217,-0.021707090653236574,-0.02144582458112595,0.08876792954444568,-0.0576098864811988,-0.029019815834191474,-0.011586588910832873,-0.009030312177189071,-0.017891572424026066,,-0.0242442036776414,-0.00227950064086353,0.03612917263562661,0.2322293153163506,0.11783050583718029,0.009652754693044715,-0.03688939017990239,,0.0016325657512482284
COL4A4,0.028651894450279193,-0.03236047928727332,0.06627349451706159,-0.04001081999181167,0.032909004105494154,0.017134581948840776,0.009718092490922758,-0.008951695463099131,0.0276839806471655,0.009661072171115717,,0.005055612174632949,,-0.0052645358967670945,0.03944308744861245,0.047457533431621984,0.024320181415580126,0.03100959015589817,,0.028251278570656735
TAC1,0.041808484864799,0.08582247268534642,-0.009046587499752522,0.006970163084355891,0.0916898406471478,0.14817677831186263,0.09960681811969943,-0.03673912079804453,0.020678958718176314,0.040636559920483435,0.08756790648165673,-0.01404269200927842,,,,,,0.03895776125103122,-0.048035298952778735,-0.020464244943509263
RARRES2,0.035133426546575704,0.03401572153599517,0.06224542367980009,-0.021137798328272023,0.027915855327547208,-0.06197235409344034,-0.019342257568040644,0.07165770238889457,0.0003389612523269304,0.0004455259604769174,-0.10235693439633199,0.0368009221604246,0.016560784506669722,-0.0065178190140054845,-0.03777041575596552,-0.027174931793634706,-0.028026881588861696,-0.00779889435782947,-0.05414270389348902,0.00891915568124606
FGF7,-0.04551961752700146,-0.021683311947488546,,0.06620491389644978,-0.012510961642667616,0.07935795536321977,0.0021771741286196137,0.061087999012057366,0.013660180811840056,-0.018971227341035114,0.03143140689405725,0.016672602654588493,0.11149125834576137,0.03372193365848211,0.01723161206100249,0.037228959944195894,-0.045828505163381494,0.03335491413646668,-0.01085258762531722,0.03193119625388616
EFNA2,,,,,,,,,,,,,,,,-0.03240657188459958,,,,
HBEGF,-0.08032057899711106,0.08157172306451818,0.042721873812186055,-0.014896340084808014,0.07658287642035128,-0.0710914603851228,-0.015327012881317256,0.024567157454242036,-0.0520014162494997,-0.004928231964558068,0.0022512151301533937,0.05404740381190859,0.08416690608041266,0.07143693949979561,0.019594039419222973,0.045313312041797865,-0.03737266646593608,0.008294883749683582,0.007542082786315168,-0.005646325831019347
CSF3,,0.0037496743993211336,,0.08350814481927141,0.10116689779717328,-0.033884299750429794,,-0.012048409675800812,,,,,,,-0.06673885766083681,-0.10223687402141882,,0.030613079553070407,-0.0447778848454964,-0.016389521785011248
PI3,,0.07049315113442721,-0.04062661587045503,-0.006923881034674231,-0.003343775550881273,-0.04564013825443718,,-0.029857204988274696,,,,,-0.061069018429794994,,-0.11960124176612495,-0.11060980051926098,0.061823657458453495,-0.025269852613205943,,0.0015924143226163938
PCSK1N,0.09555794536944234,-0.007828629451980337,0.028967471195274985,0.0986531134314788,0.011377408116472884,0.02854748394122672,0.05183495044091765,0.017951553717295694,0.04807274410020531,0.03350613712679749,0.13729227650156556,-0.007375990732922691,-0.010589301624510213,0.02210097202484082,0.019589807609694202,0.04125547638560098,0.024080687449781545,0.04851264750350321,-0.06740132914181796,0.045082216107572244
NTS,,,,,,0.013278412215833165,0.021429849146885234,0.017939672648905915,-0.019698793531477833,-0.04520924201614389,-0.024648743494597898,,,,-0.06323738339125451,0.045670903981511725,,0.06440447920001087,,0.06224862760677168
SFRP1,-0.02698949058461957,0.07080812461584375,0.006948806007045363,,-0.020087983615272514,-0.019179544201042883,-0.028493582084712653,0.0036642173023679306,-0.034234864820661334,0.08350512283136813,-0.07769683225542276,-0.04716491442118373,-0.06456569087124214,-0.06484883875782992,0.04572872369673819,0.06018546990973661,-0.015097737850034567,0.0289315780438709,0.09260392899066873,-0.02370665852350728
CXCL13,,,,0.08228137477054802,,-0.0188717555823352,,,,,,,,,-0.011692361978340109,0.01388545807914176,,-0.023336965517573187,,
MICA,0.01414666168745605,0.07495075706318291,-0.02522871333548249,-0.016553577983369518,0.022208786985268583,-0.04932946697586032,-0.010865314169039651,0.05008567643979581,0.0022226800543239376,-0.0017482202150782787,0.01968659245394434,0.03721271638725706,0.03447501811706957,0.017943375390886064,0.04061169941153896,0.05058705892337523,0.023593152432554367,0.01658259408883396,0.08562825497916916,-0.0018286673070454845
TG,0.07473935515606363,0.019700840622177446,0.0018778212156327905,,-0.021678116945367663,0.027938394200719942,-0.021516834285055048,-0.006975823790371909,-0.024733329074980707,0.0026003402101817054,,0.042160953396883145,-0.025029213772011335,0.10347655381582484,0.13497686206159276,0.013015496106937313,,-0.016453114407404434,,-0.03196269365715602
ADA,-0.017546711647846536,-0.0381487303785418,-0.011603352616859616,0.028836907315739475,-0.022388590511846607,0.013861803546875714,-0.042035249342755814,0.04703500073685299,-0.024420431943888665,-0.013442049188319217,-0.10588181166929124,0.013965404120102949,-0.02654873230921513,-0.03302719067809018,-0.03875618789161336,-0.000926205841549226,-0.023091099272663927,0.042308484010878944,0.041535248886184824,0.021409813936480834
LAMC3,0.011633385694902664,0.02146024699274767,-0.032262379461842516,0.025167529272071137,-0.03520468601270503,0.06347339106188413,-0.03163073854484352,0.10890420282402913,0.06581742721176659,-0.06702276190064625,0.006614577568667096,0.033041373710125645,-0.0679385422582068,-0.08010963969360198,0.10382581364194358,-0.030461578300248506,0.030441754322258992,-0.03829551237623508,0.11292725812450458,0.009621206769275453
CCL7,,,-0.024563616059110407,,-0.01567324391573808,-0.02322101056912362,,,,,,,,,0.019847823095817112,,,,,-0.017174630117473885
NGF,,0.04477011370364212,0.01779366811043469,,-0.019715238101561137,-0.008904681551895246,-0.020532831089195,,,,0.12730638423930685,,,-0.13244500726914826,0.003719910036500882,0.020851241704622554,,0.010555643085806764,,0.00016168619034504503
TNFSF15,,0.0815168335268525,,,-0.017452923668714655,-0.004338387957373199,-0.024931358417623364,,,,,,,-0.04884798270282876,0.008551100107059713,,,-0.005189114750181549,,-0.026403067960906905
HMGB1,0.0013984080303123133,0.015408584381017519,-0.0225305112261889,0.040639443434587155,-0.009468944375166675,0.013475475819863626,-0.03365289344362485,0.10889655660128925,0.02479559145135426,-0.01827898439577683,-0.005967699158196469,0.02559382426257187,-0.0935777125426626,0.03882465852384066,-0.019452607118553258,-0.03392661555215593,-0.06187472419811963,0.02814369334872077,0.16182182424971536,0.06231622511833382
ITGB3BP,0.019213112644639232,-0.06721655764659817,-0.011776210121753184,-0.032736056475499944,0.07625924485041216,-0.017281037806339026,0.012550300803437463,0.07801936707314107,-0.008052276445976841,-0.00045705471119607803,0.05525673897036387,0.08462328872837968,-0.06316138342533449,0.06368934390636097,-0.00954060657148735,0.014132520640840475,-0.024718229559420546,0.007856345148064183,-0.027703275234511375,-0.008756486579959817
AANAT,,0.035974564382290034,-0.006821342976511275,,-0.015880377261566783,-0.027379394220496303,,-0.006486350695594075,-0.022242827379155172,0.014892387643982647,-0.02317345914005266,-0.022156710470896568,-0.029432718932855817,,-0.012994549362600144,0.042612719660851305,-0.046995189122208104,,,0.026764514516788764
RELN,-0.02601758711463186,-0.014274709598535574,0.03887501702018903,-0.014587843837985809,-0.02756477859433282,0.06230864508963229,0.023139671533128646,-0.040797561253936576,0.011341966294625656,-0.035659299118650505,-0.001930218139072825,-0.02452939091539728,,-0.06484885519033419,,,-0.03917620255514062,-0.04518080421438411,-0.005776057064739979,
IL15,0.1451112903842882,0.0559443136569247,-0.03459786209928709,,0.02640640819604039,-0.02648799819101401,0.0031764979343663993,0.015357325309257886,0.046441044026937224,0.00015851152405807112,-0.04748759393458586,-0.02054932489525721,-0.04049747329818854,0.03298999142609202,-0.021729992411958228,0.028941628461140016,0.02819889229696779,-0.015860513466400526,-0.004116124992545156,0.010133092952156067
UTS2,,,,,,,,0.05335803851527716,,,,,0.05182382598745562,,0.053748749842925575,,,,,
BSG,0.07072759060016837,0.017093552387709685,-0.0082255006629051,-0.03193123845061336,0.09912364967367916,0.002540781630318607,-0.018062849851877037,0.05826806927422707,-0.013206610920738975,-0.014795222221487148,0.07169959661899657,0.0060183146619234235,0.05839233904744404,-0.03201532470619051,0.07085926350266282,-0.03761109870879706,0.07143509339790076,-0.04264205235378292,0.11561959217425993,0.04557560421004804
ADAMTS3,0.03560322835988847,-0.02767925158332749,-0.01976409836962035,,0.00797842758189704,0.01612951831050409,0.025520651624581777,0.0920998687122553,-0.0029850413222602306,0.05070476979889011,0.006682585474485258,0.056826701358948746,-0.04527597723812076,,0.11862291999785131,0.06336283785574248,0.01411186889462186,0.1034213039325366,0.02411689750492178,-0.02295590927480883
CD34,0.05291707770155803,0.016583675573711574,0.0015592536239126687,0.013479532118156275,0.010714345999153404,0.04361657719960196,0.024574491265414902,0.10517433832365279,-0.05287007600409913,0.0020678236376504744,-0.03927991506995221,-0.047588944048579496,-0.052567078890670055,-0.014539042661438014,0.04682588204945228,0.0193552663252413,0.06296447349441961,0.00576174993605147,0.09898932929249286,-0.015519474482101246
CCL23,,,,,,,,0.05823206942281188,,,,,,,,,,,,
PLAT,0.06631150809837616,0.019517118431776705,-0.038604081722190445,0.1059069685585821,0.02591860749435153,0.018480288172031806,-0.03410852092263455,0.06379966980954285,0.0041501185101042205,0.07293548169902943,0.03144081010723669,0.056517479334922446,-0.019457435037715524,-0.0213873377687391,0.1375996911010938,0.09780756923775515,0.03126728003721813,0.024835389002665197,-0.06198150457402552,0.0484876076799037
NTF3,,,,,,,,,,0.020113866906631535,,,,,0.08885943780330853,0.08015876995451196,,0.06144034159980168,,
LTA,,,,,0.05414664760290934,,,,-0.021422160831266295,,,-0.020549327431875465,,,,,,,,-0.024456066686569054
CKLF,-0.053704727783125475,0.01801350865054629,-0.06672622816341277,-0.010585547121901675,-0.019501544067252363,-0.012224937256270961,-0.024815444626190675,0.09228136056483378,0.05755928309854882,-0.035008819324928185,-0.14793775323668887,0.003860991001795462,0.03847529544088367,0.007432603838166476,0.10464333908838586,0.05579033820965195,-0.07443239620462651,0.00021460725835832943,0.03298262853910504,0.05925200135405581
CD24,-0.01351525115487789,0.004539870764727097,0.022358355806854382,0.048697913900878985,0.01568599447778306,0.05047162396751339,0.031090635700922922,0.07083411014292976,-0.031130475941495123,-0.02326025099847657,-0.01450802864798044,-0.01730804370444073,-0.019664180815614433,-0.08479844719524884,0.08686370504617161,0.06232122917550078,0.04433980681021277,0.07325312890862001,0.040732286089877105,0.037370458916621954
HSP90AA1,-0.06391677088381119,0.06964203975313722,-0.0346740134468632,-0.09011798190564105,0.0165722126280929,0.016366038644046878,0.05780126400033774,-0.09074884248201431,0.07194375818004056,0.04170284874727101,0.1261574679633412,-0.03766590935393061,-0.040648846079783335,-0.05970223766988025,-0.17900869667964397,-0.1369510557532299,0.13065562290581917,-0.040893679574289785,-0.0036141614867911663,-0.044031546565604124
BMP4,0.02900051075597448,0.020444350698753923,-0.008518200190843771,-0.01891439961655932,0.006796945237330454,0.04383938229084709,0.04099736245553673,0.016130418014026315,0.001577564503664688,-0.03435302626596783,0.08761214288856374,-0.017510149397435497,-0.03926713401244641,0.025184249006870007,0.02237481900686395,0.005115349785081459,0.016886039649881387,-0.02826293547766167,,-0.03289048665910973
SCGB3A1,,,0.04474604612997414,-0.029935701213075514,,-0.010542988858309479,0.04627089068416886,,,-0.015091717171019722,-0.04079177313267754,-0.014339048928472875,0.06815126578076543,-0.004712102040839408,0.031505776232267156,0.15120442103033516,,-0.025613531063201505,,-0.010453313724031636
IGFBP4,0.06349656522092556,0.012722711007565243,-0.005343909176781736,0.12751956367390127,0.003501884636815866,-0.042398952649723924,-0.050908081671831674,0.056821385804421136,0.020481438228234523,0.028856968207288575,-0.05758394900451403,0.02229450682276846,0.0025015951024927085,-0.05646377098866741,-0.026959556095513523,-0.05613992577405885,0.1375566969801986,-0.010517543936176816,0.06905542824785786,0.02654038465954111
RSPO4,,-0.02277528534394637,,,0.10521388729010524,0.06430232571997231,,,0.02093201792214429,0.022176425860457535,,-0.01691373281543649,,-0.042589574948825926,,,,0.007711657704273644,,0.10933302904172648
LEFTY2,7.077873366162141e-05,-0.0068779186827787895,-0.056969408064566254,0.001161846702731166,0.05159389340426298,-0.039636236023596075,-0.0215466512541162,0.0772685317157006,-0.028075425024954453,-0.016548250033223296,-0.02464875972416007,0.028282727623398167,-0.00039886589438403643,,0.06263861530906294,-0.03726173527072895,0.05443009964928339,-0.04234695984349482,0.024023491049368267,-0.0025684465918094715
PF4,,,0.02721536888003456,,-0.013674596535164403,,,,,,,,,,,0.01611620864054643,,,,-0.024456061027253825
ANGPTL2,0.011017302206272252,0.029149907539255417,-0.028033242543186798,0.0422619094154814,-0.0199070562847007,-0.007857023092638271,-0.025170721651109174,0.08498537314351609,-0.00712557811316848,-0.018122148213775845,-0.08203997455654567,0.0346228933584817,-0.018125465184113707,0.036840522834957076,0.08908476604598069,0.08210045082555399,0.030794034636419,0.00952624458387127,0.0657237343228619,0.035454508623741034
LRIG2,0.01926977044344844,-0.07828741136081704,-0.055646987441653716,-0.01895416276620177,-0.013826964403287725,-0.058387356320358554,-0.07788765652188918,0.027012403043997286,-0.047440270323419804,-0.06125112596548911,0.0176948669244809,0.011089606340207257,0.04711151066389425,0.06572173781282506,0.08108776247059325,0.0272827374367392,-0.003776774172237701,-0.016831770545194014,0.02731801085935932,0.06784318817929909
ICOSLG,-0.013962415248875202,-0.023411620791347766,-0.01818516999791382,-0.05363229874733463,0.01858745636101171,-0.02474130782858183,-0.05932807537610786,0.047837868270641924,0.008197488542085964,-0.028641256745193834,-0.03626814494482458,0.02489573037121351,0.08795715344458019,0.030302509595897906,0.08203330805302315,0.04842251960005541,-0.049707200264934547,-0.00878323050674737,-0.023842979530522893,-0.01069269484418558
WIF1,,0.013765816271005336,-0.012458137578446363,-0.048544156972109044,,0.0766372042235313,0.04988564519921873,-0.017546999542547133,-0.01922652927581779,-0.007360321793480224,0.1100544371957771,0.004631697955906236,,,,,,-0.02169970384369778,-0.04819231163821557,
NPPC,-0.021510756838592486,-0.046481046208646556,0.012991757972451296,0.017430120050628835,0.0207081536267516,-0.013050668494674232,-0.025332699042952263,-0.02477661301596529,0.04762577853615507,-0.020973790536108903,0.08170794691077857,-0.008830167860508489,0.0871755587979078,-0.07422036589744345,-0.031841713420283566,-0.002462548683629515,0.02492967237901764,-0.07518531414473564,-0.03222767987809407,
LYZ,-0.028873695019060876,0.050024051273628814,0.023764871564182544,-0.056711956951827965,-0.035401073512961186,-0.046269549500667466,-0.021412285517213688,0.039503629826585826,0.03438550451373915,-0.027222639810057073,-0.08633154391405531,0.042428425997166314,-0.06735792439514567,-0.00786714959443586,-0.016145756540186282,-0.007211890810772397,0.027677134617584587,-0.0031809884298162156,0.20424403603051006,0.01218220489877666
EREG,,,,-0.010904573591991732,,-0.05295718448360687,,,,,-0.02535637044297777,,,,-0.008947358136313602,-0.010481243916926251,,-0.022270543999039924,,-0.03693431706591732
SPTAN1,-0.01260511746750752,-0.0020697459643387144,-0.006761254005225615,-0.023369637984727527,-0.02432923207201518,0.024364334240547725,0.04580622743090482,0.001003818416383973,0.013061322121101539,0.03490816634068622,0.09813950876176271,0.003570926741640784,-0.09225633468526058,-0.0037485262916268918,0.06917044581680525,0.05862712725367512,0.009258866535155034,0.0419491164315852,0.023115613716319823,0.058734035136898406
PTH2,,,,,,,,,,,,,,,,,,-0.017106583939493457,,
LIPC,0.008117144541244344,-0.03436734271958319,-0.031195204134370498,,-0.024574268421439654,0.02778227478815873,0.028901798044663835,0.10902690922437756,-0.027636715209315897,,0.01609676645732187,-0.032281071732755115,0.01630602720986523,0.029386899407719175,,,0.05277459430946523,,,0.0634800688740976
COL8A1,-0.034900750219007626,-0.02972787297831243,-0.01640252469671871,0.024814556972852227,-0.03133230378610262,0.016928159297568954,-0.0356187708835268,0.08162122302231971,-0.03072306877765744,0.011409193894636254,-0.004858870335265485,0.02087834053325484,0.009485136568476991,0.0016531437210258097,0.12048452004656449,0.057535824519742824,0.12461071947704638,0.0024946606975604965,-0.03747880323188103,-0.0026951212405354583
GSTM2,0.04505357065459108,-0.052443340335395584,0.01999837748263899,-0.023795321604701828,-0.028261123556153817,-0.040467627659771695,-0.015001680226501484,0.008030396944192855,0.0026849579111897304,-0.044606214366719944,-0.040329619582254506,0.06248644039681432,0.023665942830256612,0.0548374038726065,0.109910535589284,0.03225727179653508,0.016488607848028605,-0.0669621046282721,-0.018614873705102203,-0.027430584363337365
IL4,,,,,,,,,,,,,0.15078621509461063,,,,,,,
SPX,-0.024533947848044226,0.044769107228634836,0.028993668446767103,,-0.03270597275610599,0.13087746773537168,0.022856020110869856,-0.01976615668904928,-0.028703661933355478,0.018806273760815204,0.01475102260254693,-0.02764989583270992,,,0.02569304218932356,0.018880645636977115,-0.05363775484212278,-0.012813638894649612,-0.025681797514813427,0.05247802370439207
MFGE8,0.015562310620118999,0.018618349298585073,0.009607496266277772,-0.062054905592773685,-0.03234636558112025,-0.013542688944843393,0.027398925324055457,-0.007139290789877054,-0.019041106115414416,-0.01655277711182142,0.005525394043516658,-0.013695490442354826,-0.04124661449859642,0.03648350890499554,0.04734986700485863,-0.0012819182208320009,0.08722413945168778,-0.03167889511381202,-0.013394867863164111,-0.014827127094419445
TGFA,-0.04987482210226062,-0.09026071752593123,-0.010175092341451017,0.06347813632130497,-0.013102585507163313,0.06042457696376266,-0.03903998367445333,0.008384694268253374,-0.030144350528709632,-0.04481969087247342,-0.06021013616393625,0.041485142129389245,0.021559592861420448,-0.04620370673966815,0.06053898997283688,0.044143746012618314,-0.026823434713612166,0.020405767412430977,0.051521356000504955,0.023650134620767198
SLIT2,-0.032297965839633735,0.05847711492774163,0.004624254390757964,0.02418468948617116,-0.026087015855196845,-0.0023176382645177787,0.034471902763805816,-0.027604284995453164,-0.008321673658837188,0.04255675790954916,0.1264359211578924,-0.02394698405329313,0.04593892330968541,-0.03546673489243008,0.008404843061703297,0.05420301258210431,-0.03377637813762834,0.008881994636022468,-0.009110999073591057,-0.018198488475496395
PLTP,0.0067448554514867864,0.03331800652463907,-0.011905527872323476,-0.03643749053972711,-0.022127077761985737,-0.06457257449005555,-0.04289628993973601,0.07902637327122329,0.021214663341070823,-0.019685870752874205,-0.0803728235999413,-0.024034486960702425,-0.13000138214716628,-0.12189264500807298,-0.0040372136946876915,-0.043907656626079206,0.08284841805734731,-0.03157154721516848,0.040423772882085554,0.08581412969411167
APOD,-0.047258546885130606,0.0857621297005965,0.037663221880848675,0.054488586112232895,0.010893534547613735,0.10904570252255388,0.06332509523480567,0.024135611643815554,0.03896348407267381,-0.05005091774866466,-0.07039803193318295,-0.030862286518908526,-0.039002749615521005,0.1590244159246605,0.19557440293061007,0.09409764001177105,-0.09917545039229371,-0.013893588223839886,0.032948360239240956,0.04286475433445391
B2M,0.004817003750722399,0.008326592275294182,0.027844127091974202,-0.003167338835948978,-0.02549042437227653,-0.03177973983100752,-0.02034586978724383,0.08582501231084166,0.048021827442241344,-0.02421273020012506,-0.14853632763583918,0.042500952835821046,0.08576953385813839,-0.0729350081316116,0.08657969520931927,0.02187609564139092,0.08307225875094865,-0.07417547326101406,0.16087573091807003,-0.04664845653740224
OMG,-0.01779426400256023,-0.054889610128188895,0.03132807291155445,-0.007660032059928146,-0.04154634769235539,0.1007768968173323,-0.004331614456908308,-0.020832557905454473,-0.013115723328546963,0.01223967912356323,-0.08118559013842619,-0.021400503775964707,-0.005304595977948355,0.0821195460389471,0.10262005031330233,0.14765554727396044,-0.0779623573255128,-0.01668343222741134,0.03691279035445959,0.04734230866725402
CXCL3,-0.02527307042018752,0.04206706622261726,0.03236551426059785,0.06457676449451405,0.05488260204942591,-0.011201322095579336,,0.05260333102486073,-0.026736882136548016,0.05578044218462698,-0.03569529857202479,-0.014799236954456476,0.04179704016345534,,-0.023568651674517833,-0.011338110760915284,-0.03309403481162595,-0.028767687158975427,-0.06605031903322797,-2.486452965600209e-05
CXCL10,-0.013946959800879635,-0.05413450107280501,0.022161138658011743,,-0.021111256119039024,-0.010823700552354487,0.039524782734339244,0.09336293029220799,0.018407047137486372,-0.012807948040948109,0.015501964285526689,0.046931357514762774,-0.009689593000653994,-0.013770146523653168,0.0017564217797578527,-0.029756614712889314,0.013895352593332208,0.022413456088353854,,-0.03240718154949681
RSPO3,,,-0.0016838139650873654,-0.028006053953810253,-0.0158803760881867,0.0040496920266767785,-0.0069643514012405015,0.012613177255432505,0.001917208475821178,0.007487411572058702,0.017359388393602484,0.05146170718870057,,,0.03480646053594674,-0.03300313785432326,,0.004422972357505383,0.06489891758282665,-0.017428891234185572
CORT,0.06276726080279979,-0.025535107612569333,-0.03370185713777852,0.022736196538543488,-0.009021046683756962,0.066843827324252,0.007547572392543716,0.01140414484545438,0.008414840944996201,0.017949045776208112,-0.035092946089208106,0.010865771445897433,,,0.07043128868938178,0.061762458403435395,,0.06255016960881472,-0.03050470158083845,
NCAN,-0.008963578529218462,-0.026724632930816946,-0.01974727493484215,0.027136484467306383,0.013319922146968087,0.08468949487448042,-0.027171805412796395,0.01997773866787401,-0.07087594344207115,0.01920459216142132,0.084921542513606,0.06757856639366072,-0.08873891805069452,0.04366434812365384,0.14544254065761358,0.07195537276409034,0.07915191704725713,0.007262096700828691,0.046200593355402886,0.004063787675363845
