,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
ANGPTL2,-0.018797580202036642,0.020965889780963205,0.03292219320337474,-0.03455499387647146,0.05629394941839658,-0.036688327193856694,-0.08076932493975571,0.2556410550708011,0.031285625560656685,0.05279605508777539,0.04827711090682529,0.0015847798562083526,-0.01162243354503326,0.03408717765152607,0.10125307223998983,-0.038696409087670566
LRIG2,0.0007224520440922405,-0.017237616571427198,0.019610326709492365,0.012038907755843924,0.0032971334254460363,0.039957051292517365,-0.07255479736878269,0.21271505094592877,-0.016894835360137746,0.0745761537915579,-0.05441942724204823,0.0033872480423523476,-0.03218495795235735,-0.04381603187436515,0.0004677266623297047,-0.07536390447759005
ICOSLG,-0.09617428649377514,-0.02386558907651247,0.04156482647348927,-0.034176403655462394,0.005829772289810854,0.007684381636481021,-0.06875546787756208,0.20465390646004952,0.02769138279924458,-0.028996527152191996,0.06244485870831956,0.036365817778277874,-0.0978573105187694,0.03336005100226794,0.07894201296430828,0.05074467612231049
WIF1,,-0.010076404506404272,-0.04646000624308311,,,0.030007595746297692,0.09087356885251416,-0.23636889586999732,-0.0048959244847173004,-0.02875175430143816,0.014368455791774962,-0.003940036651888968,,,,-0.03665038724979175
NPPC,0.0422417356658825,-0.012005312128234219,0.03763261642789183,,0.04502751207965032,-0.0018136670238441688,0.022644544042954153,-0.05890586628830928,-0.04491731039352767,-0.02123395255226443,0.030812643688440427,0.011315249634036644,-0.05289437440263131,-0.03453653827259673,,-0.008670904648564095
LYZ,-0.059335174903506434,-0.04064732252831845,0.04312336046145384,0.012338468819699307,-0.018885870058457373,-0.04878234687916111,0.02928307384114135,0.2914734945049909,-0.01488338408004934,0.032764440814700924,0.007949994726498866,-0.020901737866408105,-0.0825477052328011,0.039136384784713624,0.046044043866715116,0.06621215873334013
EREG,,,,,,-0.036872351069177974,,,,,-0.018917984922318432,,,,-0.060759244068650436,0.0028256017768205468
SPTAN1,0.09140340386644187,0.0284962172965061,-0.03761843356907075,-0.02576720397684246,0.0037744683711260414,-0.05191470255513213,-0.00132845486217609,-0.10050909318215837,0.027326880952596,0.0199264356751615,-0.042405755059432365,0.021848376620775774,-0.06894796081580026,-0.15060283386689916,0.056549755297138,0.0922764223047001
LIPC,-0.05017588257771169,0.039813448210859616,0.041702079252948235,-0.02259402787555188,0.009082128585483261,-0.025367793655440524,0.12029520278731846,0.14437505572430998,0.02388660319590848,,-0.033881766193573595,0.10566036504112505,0.1736644035772331,-0.050327734209335256,0.062434997117099114,0.05573839232214416
COL8A1,0.008225756083560376,0.05697281423470227,0.12145658015257997,0.0008716339445913643,0.020995444726734456,-0.0507571383654682,-0.0131088002076201,0.09130853644889944,-0.018113828369660464,-0.006406399619791163,-0.0012000099864596296,0.03653485728509287,-0.0029818524862316007,-0.03062866459094766,-0.015873377279845335,-0.07968967032893493
GSTM2,-0.0024630543826326718,0.032520601738920185,0.038125824453769316,-0.005470692825088857,0.06759036306920638,0.0046972345191692,-0.017385488006881434,0.11880235865008973,-0.02590315682986238,-0.004304663894438467,-0.030089288090173926,-0.04044099551775194,-0.047382450844551637,0.029736112566097907,0.0725058604619645,0.03130379780869731
IL4,,,,,,,,,,,,,-0.036453389367674456,,,
SPX,-0.0018503316072047235,0.06358506639584077,-0.01861341563363682,-0.048806845059750775,0.0641381146324211,0.06982847387630835,0.04969896960303514,-0.09599153269684672,-0.04015913419464746,-0.002220920075520083,-0.06071171687941283,-0.0336839275744175,,,0.08026861550775069,0.1448311013053441
MFGE8,0.04627435672919408,-0.07115663545092515,0.0042764206844981755,-0.008543552814201731,0.01981210726682416,0.03973818696362769,0.06843640255618916,0.11399538813423905,0.04574606553827323,0.05408426315602238,-0.023998288233702227,0.047210466708212696,0.09015088667441824,-0.03184966727093529,0.10185128339465563,-0.04690224627811769
TGFA,-0.03284454125747371,-0.08371146732180593,0.026532795549456756,0.042994261947636295,0.05420836311129319,-0.07323608584711006,0.03362926184582326,0.10191165086189218,-0.037620736298703,0.016017299284341084,-0.02382493645219175,-0.04716219718561158,-0.01621053095499583,-0.030527621794626435,0.05901006266229223,-0.0038338754672516163
SLIT2,-0.06254151995266569,0.04872411331979154,0.01511915012512414,-0.056614652107671214,0.15307685230377244,0.0899915290424045,0.055582375115976204,-0.060781162017203905,0.019604039576950904,-0.04889420659976577,0.0005145657600306356,0.047937731862335874,0.06421425859582694,-0.06783211692007574,-0.004581051914202242,-0.09203770049230077
PLTP,0.04009229684111674,0.03292599970263019,0.01136421961019458,0.007093180768976182,0.007932702248919994,-0.042098641491222284,0.005918737825509589,0.36235116108229964,0.13102237684887647,0.04186863908494922,0.017670738055328875,0.022582780155306195,-0.1177811297407898,-0.023276144727487545,0.0423166525452536,0.08246879378497524
APOD,-0.09579131902693767,0.07793753890877636,-0.02576228337598015,-0.01123898172319285,0.0015719727639317697,-0.032607680295898916,-0.032383933043542194,0.07327876865375078,0.0938792198118746,0.02367785763975775,0.03222113139267155,-0.020678265374397507,-0.022292283775792326,0.14643055325993065,-0.030832203982948166,0.04799917616233625
B2M,0.14980163322456788,0.2204684284234256,0.23080007952051038,0.05426527201390459,0.19572908955350676,0.0484721276227209,-0.049009762434279215,0.4881171481053696,0.2862224703088685,0.09984424034436848,-0.004409641264519243,-0.0012382273764738366,-0.021802241176401147,0.09036385424993314,0.06670209182276852,0.03325453960635703
OMG,-0.08714289015365698,0.12223819369085319,-0.11723940698547433,0.001984754873426595,-0.016225813708224963,0.005098358710431031,0.045845747873387084,-0.17242093001675762,0.07669941903569359,-0.009806806252609001,0.05543143282659074,0.020221740385234374,0.03548287373736712,0.06469323992600018,0.03712385487215247,0.10619867140411307
CXCL3,-0.01323089193441853,-0.07745491906129791,-0.011199733074851819,-0.0288696886820353,-0.010482156979770037,-0.02752035725294244,,0.08093423909143256,-0.02094535122901253,0.019481689533464155,-0.0057223331258075966,0.09249031706737133,0.02160844998437823,,-0.0064157936420639475,-0.06028452550026432
CXCL10,0.1815023807505009,0.2760761422510711,0.20784267657208963,0.12257609131444612,0.3376326574077697,0.15919973943536112,0.14530834007398197,0.49240459887606874,0.32674012192879465,0.15483400457458615,-0.032406494822470586,-0.02031673453504636,0.08597585486422313,0.09576486066842176,0.27743240819737564,0.18551003890363396
RSPO3,,,-0.04349447849076835,,0.05593330396278167,0.031093227886518002,0.020942857029869602,-0.037222975746588165,0.06328176335210264,-0.039691130352945296,-0.012512215219714866,0.11187788203195914,,,0.030350725354226962,0.06152658237659006
CORT,0.04516060032714932,-0.055621925626689696,0.010507255527079122,0.030003094277436235,0.04138529892740669,0.01680234254771642,-0.03916285044898064,-0.08201305461828927,-0.010475644294291578,0.009790778524794904,0.08021156614544223,0.015681489418660436,,,,
NCAN,-0.12315613535466055,0.27091150450436763,0.027984571434208363,-0.06496768634676525,-0.038732440253551825,0.06138355946015594,-0.00818983060360665,0.06236897244090769,-0.10285944318669311,-0.029304606251400377,0.007915678222423976,0.023917849346582053,-0.02403593803389048,0.15559287715671513,0.02257141517317805,0.06907450510386119
PRG4,,-0.03181447035084663,0.0482723713525607,,-0.01861717695574298,0.04112265334846529,,0.04826320754024421,0.0034077697800451623,,,-0.015620003775526263,,,-0.0005779753593576664,-0.037851278571416694
ZG16B,,,-0.052219987498732245,-0.02612745774817668,0.06492322552576313,,,0.008750928243223325,0.023281011131727116,,,,,,0.04916509492505188,-0.03419048528082383
TGM2,0.0583308837795295,0.12842451592247753,0.04866500420833325,0.02910112469061434,0.030231977438213226,-0.02648058974008197,0.10049611528811746,0.23133703719778947,0.08436164527793137,0.007060313270983859,0.01659955525506225,-0.03156473232520496,-0.016386738383798925,-0.03359422332165807,0.07254728058513589,0.021226533475712905
VEGFC,-0.060770383586510275,-0.028706304990565486,-0.041947182953714204,-0.014473244461664982,0.04524147264630111,-0.0018228474041093183,-0.007236164919038007,-0.0029389097467172015,0.0457575199935521,-0.01616218258839278,-0.02137724059083384,-0.015940836464140226,-0.041322470499967574,-0.031395838365010954,0.0396779664043114,-0.0036541423860288707
WNT6,,-0.05151736012562391,-0.028567289201358873,-0.010082236677823177,0.02252337859301002,0.032285734610589166,-0.021087302644266715,0.021616531401535532,-0.036340697582905035,,,-0.013912357102655943,-0.04622537631469784,,-0.002601251008075608,-0.020943219181839556
NRG4,,-0.053527851970083216,0.0027661618491223246,,-0.020734860366370653,-0.025871157255075182,-0.025814756668309118,0.0601158460211171,-0.03204593588175676,0.07239457319090364,-0.02381551095974452,-0.018596845061914488,,0.01478629222227511,-0.02867161109649706,0.0618766844025893
PMCH,,,0.0029161638506797253,,-0.0533548954737585,,,,0.060725893255642774,,,,,,0.06341622015612812,-0.033877458661816094
COL9A1,-0.030334284848037203,0.18002083255447435,0.02259122530332959,-0.036824943884897716,0.005084250501112168,0.015310080481949291,-0.012929167858190028,0.12201315014446498,0.017824992355944536,-0.013522111419529718,-0.018655729206623867,-0.021190662837205537,0.018865093191649356,0.01004391174342206,0.009040459345204107,0.032020953347106196
GDF11,0.02419160942351913,0.1799725959388962,-0.007325446634236434,-0.05602852781621398,-0.002576551259832273,0.058622645114788006,-0.0642379886579947,0.19492884978759373,0.027693797853473187,0.05703986449226382,-0.024756035729104512,-0.07649458087898786,0.04729310192939009,0.015005140974090265,0.05403912595327216,-0.038625313863425194
RAET1E,,,,,,,,,,,,,,,-0.031452553655565256,
IL24,,,,,,,,,,,,,,,,0.009029337334784466
SORBS1,-0.005914139918734123,0.03855758673698461,0.08332253729435785,-0.020632359137882895,0.033353791541860786,0.008650922610366957,0.06532407260776404,0.02965498993535226,-0.05068337589423736,0.004889875200898351,-0.035736525626530916,-0.021600847182554932,0.022248569511943993,0.04800603181061412,-0.02331541629951781,0.02198170362142927
DLL1,-0.016649955658450954,0.01841361008016108,-0.015841234686302632,-0.006218356891297236,0.03497885132622189,0.027488505105546433,-0.027249213354163016,0.11354862191185355,-0.04117641198444152,0.053336519832410896,0.06606616348136507,0.0663235435189932,0.0814506395465871,0.018822911565982443,0.08850632464006773,-0.04960314389670687
TLN1,0.010394959382679817,-0.0023594022831634302,0.04616639755432269,-0.029710784311605364,0.01583632261793181,-0.03307670487209706,-0.0631923986792113,0.25842246353407883,-0.014009372764345215,0.003142265100874237,-0.05042024903670669,-0.02600522126330349,-0.03338713159760156,0.07622917928545296,-0.0001398212641414741,-0.08666384816321077
COL2A1,-0.038777965545370274,0.05029345528037508,0.026439213783057056,,,-0.016222526915240003,-0.022845468042373706,0.03726597992987796,,,,-0.012979286290614279,,,0.06797601424173999,-0.002666841177388405
SHH,,,,,0.010758026760360286,0.08637735338553727,0.06736894372523387,0.03932870383130392,-0.010841482743120513,0.01596655537820084,,-0.012387336040731134,0.011695473646744673,,-0.02570923776926125,-0.026811663941484574
PON2,-0.02587579937058074,0.268036952357997,-0.014469113006754696,-0.07034126992381759,-0.00790442442799362,-0.05998685970692582,0.030350837644231972,0.2162278449265717,-0.15459950510493897,0.030086200213341654,-0.04569126660583984,-0.010252585350524082,0.020818233421955677,-0.04740826643749919,0.025443835247527226,0.09050618048512753
ICAM5,,0.09912937451530072,-0.0002913363429723623,0.012741566684935054,0.009047848459460828,0.07919528970228452,0.022885584354347812,-0.10848538698372671,-0.034326202030617876,-0.020452587687720396,-0.031105456464592573,-0.024191798161147138,,,0.007645844118995294,0.009522961643579008
HPX,-0.04726244031517031,-0.033723138913840586,0.021679602688754507,,0.06346218064912683,-0.0460220857200452,-0.021087304066754103,0.056192445175509434,0.03977898418555367,-0.01527891551696974,,0.015337868584702577,-0.024734612416953686,0.03643607141774822,0.03264861676076825,-0.0588551278721567
SFRP2,,0.009349824096761447,0.07364556483519887,,-0.001613118547759779,,-0.010905455262950225,0.040853209934896294,0.05186491751334513,0.03797878265255872,0.03171211296477666,0.07790717965299224,0.021947796571530134,,0.018034336697224918,-0.05005673577694527
CFC1,,,,,,,0.09182007998264809,,0.052904881516526094,,-0.019432635467860646,,,,,0.0014123094212972428
CD70,,,0.01067054531869146,,-0.02045998775878863,,,,-0.03870034048735507,,,,,-0.034563459213093166,-0.025010996353256675,0.061530346045342674
HP,-0.045586897275291666,0.19641782488900164,-0.006865010498864941,,-0.007518096720886377,-0.03642635309536267,,0.25323263483098113,0.07883108992573606,-0.03857029436624245,0.07454474287906229,-0.04326832628810347,0.0027257694178056653,0.0969882402029992,0.04946140438217575,0.04326634470066457
