,UKF248,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Bbulk,ZH916T1
CCL17,,,,,0.047693008584642115,-0.0005382133569212505,,0.009050409457402748,-0.020991818904190104
VEGFD,-0.027641002730920752,-0.019522460553744396,,-0.023416734248616778,-0.017946939806456858,-0.019976022084961714,0.2047540335147029,-0.016893070930898636,
TNFSF13,-0.020858787655327483,,0.027611136667221925,,,,,0.00398351499866652,0.0024434131686041196
WNT5A,0.04258623917902112,-0.02426687652850768,-0.00561921615839472,0.034781839297186944,0.0458238428474561,-0.03386471815190197,0.07617410962429752,0.06440372807447206,0.04130971402329461
CXCL8,-0.03270478292765868,0.05301590603204428,-0.023405257721620863,0.05722468452521256,0.04822057254377717,-0.025195440753170213,0.04969002117869253,-0.04398678927703695,-0.0012904959395485512
GRN,0.015734104462913116,-0.0678103382771809,-0.003895099283690956,-0.006837843847112221,0.02568555810800505,0.005293094392370089,0.04322532736962779,0.0641768093330398,0.06258875325408701
MIA,-0.008402378209628738,0.0034991467780072396,0.07446883075838615,0.042483757924295346,-0.024758520342600655,0.022655213771487846,0.13267519969993616,-0.0346214572490458,0.02208239168642697
COL4A4,0.07485024253763531,-0.050078863214921845,-0.015655595133064,-0.013774184269823847,-0.017586717895336643,0.06318103498663141,,-0.027048447942571194,-0.010740939074488127
TAC1,-0.024161527851729044,0.031151238477719154,0.039364809961368874,0.019769572391411836,0.026018469484666035,-0.04703151078487044,,,-0.012317556650296328
RARRES2,-0.015631943416719,0.0444511834183519,-0.04468374849610468,0.045578089618092794,0.06695093718929908,0.10069828855290851,0.05170766515156955,0.001603376904589559,0.030376128362967113
FGF7,,0.0023574719381309855,0.03277087972130141,0.001923580476116949,0.009524034146487139,0.022879544126211075,0.12892132171828313,0.011239492867087223,0.041418620996082116
EFNA2,,,,,,,,0.03460539552830598,
HBEGF,0.04323110025024027,0.018934023782176568,0.01179142953199658,0.03710907017129075,0.023323572035342684,-0.0011045374085320342,0.017759030340951006,-0.008319577489196229,-0.06042791457859028
CSF3,,-0.01390463142033192,,-0.014572821837348314,,,,0.023508137389853332,-0.022101146935825277
PI3,-0.017441440287862455,-0.0005002464312517461,,-0.016409189729283413,,,-0.012356658548383075,-0.04305607417483048,-0.048018449905283575
PCSK1N,-0.0080132502004159,-0.062146634226626495,-0.0031293926628984652,0.06155572391166339,-0.04033800932292586,-0.018194031750255236,0.08831855209326589,0.04316829715252936,0.018374228479904327
NTS,,0.00885170519556775,-0.01911192457822923,-0.017911751022728822,0.09384327336688197,,,-0.019560864336891744,-0.019497141290101352
SFRP1,0.01561021943650365,-0.022271746654030367,0.00045171388364353065,0.039963333291274925,0.05381089448138604,0.06908223770746108,-0.0016584058582334634,-0.0035207788272690757,-0.005520591754459103
CXCL13,,-0.022071585357341512,,,,,,-0.021217055083868914,
MICA,0.03477950307337921,0.01675027686291613,-0.02077908533431572,0.02579285639934747,-0.02810803685034068,0.015382690489619908,-0.04990384595372885,0.06024305674715687,0.040018280557913295
TG,0.048804420267828295,-0.021996173167805312,-0.022060199120303773,0.0694925145028176,-0.01697071617365648,0.020731977110545412,-0.028071366602218376,0.1327259060388741,0.026457558893851936
ADA,-0.025798739451090742,0.010241093078174376,0.013599427167038217,-0.027327168027174335,-0.01827824246910255,0.027129376876067493,-0.012744031437312463,0.0418827351812107,0.11409219780392692
LAMC3,0.054059809660222696,0.016933949373160468,-0.021702986626440254,0.011865453628529449,-0.015248355810987973,0.036143012870335514,-0.003739389322350828,0.06089937986484689,0.07117350056214548
CCL7,0.0018071963532906962,0.02176809526435382,,,,,,,-0.02315985962091205
NGF,-0.018908415054187177,-0.019407180901339218,-0.02105134688172121,,,,,-0.01583991731492209,0.06203725174842331
TNFSF15,,-0.004820148924377987,0.004196211232003152,,,,,,0.09067355103762809
HMGB1,-0.019675391066857634,-0.12406802113060182,-0.018065007212343033,0.025186555998711585,-0.05034317665549311,-0.018082526941258913,-0.034928886560036905,0.03164994875633502,-0.06622270945225657
ITGB3BP,0.0319947151061977,0.05474762574900611,-0.003526164907262898,0.04016790422804735,0.03275419566446229,0.04120558341720215,-0.1185623892674117,0.04545935705500959,-0.003344494901943505
AANAT,-0.025508817537211036,-0.01952246334068566,,-0.01314507966583515,-0.015261864232143292,0.028812750639465458,-0.05496122248849104,-0.02160666850893888,-0.007423467223190757
RELN,0.0026670188446637523,0.018900306038983836,0.019861110393420874,0.015274919673390413,-0.01570502804938544,-0.027679893778480454,,,
IL15,0.039797886006494664,-0.05060935452858488,0.06390808796350296,0.010579702822349296,0.007012436300793558,0.006334759342079513,-0.04490861529013267,0.005412392000257231,0.06093792559689705
UTS2,,,,0.05943455451648512,,,0.049394431437418784,,
BSG,0.008670713365783156,-0.009622886796116965,-0.025071188151120926,0.028615731634726766,-0.09480449285348509,0.10700690234339895,0.017975351753599066,0.01795998546634069,-0.006498148054506444
ADAMTS3,-0.005837900018045258,0.005217599491847909,-0.029295825005803286,0.07561896775663046,0.03209181334857748,0.0796554690825712,0.03336461485013052,0.04714433228758571,0.0990483512891329
CD34,0.058724934853809564,0.03992572799223413,-0.018674029678230335,0.030685445648234704,0.01108279456110652,-0.046236505592782536,-0.01326379893646369,-0.0059624902810839755,0.03242609627218724
CCL23,,,,0.03584098095322535,,,,,
PLAT,0.042064288596588825,-0.04166281143562119,-0.01683393981006719,0.038444506436964475,-0.03414696787357536,-0.007878946704200009,-0.037535380905878525,0.04133571373796016,0.08195029865105681
NTF3,,,,,,,,0.011092271216527753,
LTA,,,,,0.058904249657564106,0.1366281874995046,,,-0.007846702902163468
CKLF,0.011313104468834306,0.0228576572872258,-2.4563307722219923e-05,0.026834071221497703,0.05934786774944023,0.047315585902098896,0.04160864528889921,0.06721369408737257,0.05560039694243052
CD24,0.009247167846731201,-0.0334604747501033,-0.04224046282419151,0.05815334639916675,0.0540365208238213,0.009126840460279726,-0.06389225891379541,0.02023411705985447,0.020424982920404067
HSP90AA1,-0.04090148048076401,0.03938708546185147,0.0360779846916339,-0.035677200403040316,0.07005332824533998,-0.06448672831280113,0.019328661832449343,0.02026455244474442,-0.12767225935506343
BMP4,-0.012286793914112118,-0.037886493740938644,0.05866732401364723,0.039257489519617245,0.05161209054138441,-0.019759115790441473,-0.04153859297335476,-0.01920488519525744,-0.016924259295171017
SCGB3A1,-0.017582005445716854,0.07228961499960379,-0.00752396738856372,,,0.06585436499474603,0.08452401056954643,-0.01658984375865347,0.0498737200189052
IGFBP4,0.07737227675502166,0.0648553593023267,-0.0020505733538895114,0.013332553688140625,0.04762092643952148,0.015583989718762346,-0.02131636151049056,0.03522694689970464,0.09467080588347168
RSPO4,,-0.013426036314447783,,,-0.017095559452498885,0.03096502133315057,,,-0.0025083036919527147
LEFTY2,0.032103493527539544,-0.04164887842478377,-0.019315952865323237,0.024697791300231996,0.04243955105208444,-0.028626116371757195,0.009742546990686232,-0.018461208703127,0.07556315538114179
PF4,-0.0182385083252287,,,,,,,-0.014716191236210869,0.01669190147837621
ANGPTL2,0.052846586712205115,-0.012297204953882989,-0.005043096386752572,0.028430369184376334,-0.017790690164216177,0.08203243116837716,0.10678526414334964,0.021702095237884193,0.016557343495990976
LRIG2,0.06399177390607179,0.024917127475671624,0.05293854461859241,0.09211012182164667,-0.014153169179883076,0.019380393104862326,-0.03735444676280879,0.03994655098480185,0.02920990252581533
ICOSLG,0.0046876447776948715,-0.009428841188520875,-0.02009537505045072,-0.04233817152009287,0.0532211791498011,-0.014453693142079978,0.07134822606162629,0.051374956345685015,0.0750261862122108
WIF1,0.00978280228847637,-0.05829153448603604,0.0031630366828000423,0.003229806178491234,-0.013192238309498791,-0.006170101454097533,,,
NPPC,0.001560458727862095,-0.03006295353593152,-0.010790873431589751,0.04647531794638406,-0.003403224690488087,0.0752473868509013,-0.05680115362876972,-0.013195941574564541,
LYZ,0.008583907026086383,0.06800013451793716,0.02139401036686939,0.016665683525513893,-0.012337639333677139,-0.02001177984626728,-0.06081916902796458,-0.01763318657697776,0.045105378182742135
EREG,,0.08396113671287096,,,,,,0.01591114343530455,0.0011265714458656856
SPTAN1,-0.04442264873790924,-0.05291430604854377,0.046023924134690405,-0.007656804245186383,0.026291909185983203,0.03375428459553051,-0.06389271947530205,0.1007588985419829,0.07740436372622739
LIPC,-0.022328728087004302,-0.025978707174235616,-0.014497425702475577,0.06742549641432155,0.028980063083616923,0.009613840265752,0.06322945696060792,,-0.011217546770791583
COL8A1,0.07862412056472325,-0.0303899281057659,0.04864767683878854,0.15989141843248467,-0.024170411899812682,0.07389224551686956,-0.10764115289621101,0.04204909448693843,-0.04526488466704207
GSTM2,0.02409152181709037,-0.016393932205177788,-0.015380517809983212,-0.04815419472514148,-0.04064542641173598,0.04183613766638863,0.01937071059242937,0.0337743388926174,0.09988553518269609
IL4,,,,,,,0.23264331973546393,,
SPX,0.013057583463576267,-0.028343223350141757,-0.018695612118325673,-0.01632533862862448,0.028803949426862943,-0.06314168325689308,,-0.01827203242252697,0.06283540112424217
MFGE8,0.019405931110964933,-0.008097263335089257,-0.020616843527885613,0.0064337773141583555,0.018267574140013693,0.039910054627629275,-0.04562896081060636,0.013538975973507493,0.09084775803464988
TGFA,0.027657586959362733,-0.04196219532003054,-0.019093870326120088,0.010555468175665309,-0.05090852482982114,0.08228159922494656,0.018822178738127058,0.0708504424121801,0.04191058924636411
SLIT2,0.026818444044866503,-0.029542918512257654,-0.011016886983329421,-0.04367908608730257,0.02774995868918552,0.006020683847055945,0.001299025818444361,-0.00879518191719929,-0.0032227574697496616
PLTP,-0.0036695744631755887,0.057982108815735026,-0.010392106096423132,0.05899804509038234,0.010207148152139484,0.09148001346005638,0.018797584320434865,0.04413121682391695,0.08324845328795069
APOD,-0.024556514355388158,-0.04272409636088319,-0.013607862063532315,-0.0018607444066776801,0.057225420812978704,-0.07825087073950486,0.14712384722370253,-0.010225250930665182,-0.018889880821053424
B2M,0.0375275476186758,0.04715254651535056,-0.06489353662305712,0.03667038264506546,0.07574359629762346,0.05843463813448183,0.13195443545067473,0.06243609350199043,0.03305342698696077
OMG,-0.03668338234928709,-0.06706890754201444,0.07091945139041825,0.002043010993018137,0.051456332952608846,-0.054055657541292726,0.0021417953887952275,0.041902006820319436,0.11355799054695587
CXCL3,0.012046740686974696,0.0023196022969909228,,0.02620222867642562,-0.025739158575358762,-0.016700019511890235,0.07944697949009108,-0.020507795720185844,0.06586517731010379
CXCL10,-0.01954156088610156,0.0007904679806877835,0.03472910921496221,0.03556934986708409,0.09286541462002447,-0.013642804966271904,0.06891978118893619,0.021931591167577095,0.01880851090086642
RSPO3,0.049001423949027,-0.025978691157088257,0.02297332716381914,-0.0037073722786767458,-0.025820258320378663,-0.0174511985285777,,-0.020067401842058616,-0.02350272882565305
CORT,-0.009521573657393841,-0.03152906411707242,-0.005497583537343092,0.0292377985782877,-0.02060705049036795,0.0055160103496085895,,-0.01539974616202919,
NCAN,0.006593015094381141,-0.029667700839129115,-0.010769287122190658,-0.025210512583431686,-0.05877193198148753,0.03833865210062454,-0.13463242817367577,0.06123011421612995,-0.0021451340427586633
PRG4,-0.026441239094378774,-0.01860064960018331,,-0.018698403171967404,-0.021847446312401955,-0.020403335869441333,,-0.022723267834844817,0.04187282636271449
ZG16B,-0.024380934965207584,,,-0.020187931043419628,-0.01167950375224272,,,,0.014911316027519023
TGM2,-0.002282458554395354,0.06157081156761265,0.021539569896426945,0.014010643094449368,-0.0059771420537902,-0.05938033884735134,-0.0037258136523962496,0.024608198878384342,0.04637763035274774
VEGFC,0.0746338580467978,-0.028632563394152318,0.012890152073538745,-0.009291733224306353,-0.031450022068275754,-0.020822417528944072,0.004247376127607625,-0.03085547874328608,0.026323626645980425
WNT6,-0.028368179938110062,-0.0256299043799352,-0.018655423060674182,-0.01838743106968257,0.04769418303313946,-0.018172754551177006,-0.04963958324967406,-0.02862111655279245,0.013317317894959753
NRG4,-0.016193645895726135,-0.02649419290132301,-0.022837686496930965,0.043968820041919945,-0.010340567799162141,0.05990008471970034,,,0.012124004174129663
PMCH,0.05585395012610842,,,,0.014493924155491977,,,-0.021606667742722876,0.03567943162549034
COL9A1,0.03948551736062908,-0.005609045333320892,0.016241616314396894,-0.017881386301742967,0.024086747975553893,-0.003141456237186109,0.13685558466449008,0.08408917972311986,0.1252112037282478
GDF11,0.0432719074741658,-0.061462889116537384,0.021152816426821115,0.0012996058905682313,-0.012812450602299361,0.02472284539656961,0.020480980530339796,0.043879117832708356,0.08391487907623513
RAET1E,,,,,,,,,0.12253842467315341
IL24,,,,,,,,-0.014481549048936213,
SORBS1,0.06346350904495006,-0.0788390432564432,-0.03660887362153276,-0.017613278983911455,-0.008789946031342902,-0.02105688141891366,0.11868195289899935,0.01217485624502385,0.02333062675608591
DLL1,0.04349712578909614,-0.0038336598992960223,-0.03472732163871058,0.004437746114512499,0.04040664502551962,0.04552599362842069,-0.10238519620892994,0.02865672665341949,0.054755999472788454
TLN1,0.008466769986313667,-0.02182634267365086,-0.05632072752161979,0.016109686835223496,-0.0510660730256928,0.009043217514493399,-0.045069864921783026,0.015861686746041073,0.038286426252315625
COL2A1,-0.005858226282596943,0.005845604414691514,-0.0202108291676398,-0.017258867105868336,,-0.016953948368947577,,0.12135629950237369,0.06549492407265683
SHH,,-0.04211559069438687,-0.004699134482759142,-0.013567566607231863,0.007509238671014905,-0.016180724499098763,-0.08289290053731782,-0.0033830434168133044,-0.00017273992302486765
PON2,0.029880444810402425,-0.08765476816636905,0.003630628046854654,0.03683680526963738,-0.03896939341968353,0.019662348427092604,-0.059012745916207796,0.030342171737082625,0.04488139150597894
ICAM5,0.004565898029568515,-0.044058116833142535,0.03914437146247336,0.001604014853853699,0.01006068765153124,-0.03160008091297586,,0.010674081358726682,0.01826583231732407
HPX,-0.010625739392554973,0.00618445977062167,-0.01865542431911413,0.11050306674811312,0.024600807773251947,0.0621003447297096,0.062461783736881625,-0.01857685298917893,-0.010254295017775503
SFRP2,-0.023375323095070715,,-0.04410136535503833,-0.013774180213827036,-0.019102573098589135,-0.009990805446382528,-0.03914586025199395,0.05412565654152796,0.06250056977776267
CFC1,,,0.054023121248051954,,-0.014698766678876351,,,,
CD70,0.006670001139975395,,,,-0.02741834636820856,,,-0.0058654265151998584,0.09203071869825279
HP,0.0709550425582227,0.025476111532556352,,-4.923567501134749e-05,0.059540940920905956,0.09833866063332769,0.018581983494714585,0.06930456645805771,0.011165341098314447
CXCL2,-0.015025220545705686,0.06509768444501358,-0.015766040081237127,-0.026014720183736274,-0.005502402998154135,-0.032025542731713874,0.22694170997840812,0.047371429841333426,0.03352516458959742
NPPB,-0.022682488692539672,,,,-0.012870837883579287,-0.004619861895071789,,-0.031895959312667005,-0.023840903561531606
CCK,-0.0318409967877453,0.02428506656702609,0.039318703821514533,-0.023542830616188466,-0.020537982800122798,-0.08151352205572171,,-0.005883304314604732,0.039014297713533264
SEMA6A,-0.018011407140704296,-0.009758923442979047,-0.026514474079277175,-0.023112932333363718,-0.0007035355621455626,0.04044445469187004,0.09005528467382251,0.011892064223373997,-0.03666229957579357
IRAK4,0.017050043319669066,-0.019279535413575823,-0.04146739406095199,0.06317938541645891,0.05525540447609734,0.06633194949960809,-0.034848257505120064,-0.02139002262873914,0.053813506563754145
GSTP1,0.02034578636814182,-0.011826083928574132,0.016790891263839133,0.024270139470786205,0.06556208074288353,0.008782372694638572,0.03535616237424819,-0.027636626290859015,0.06322882916033595
VCAM1,0.04333255339559337,-0.001656527394710593,-0.034746733297590496,0.02526463079279155,0.041013986482224214,0.014808405249463197,0.07369200171656975,0.026089816236710316,0.10393303039699321
NXPH3,-0.004902421268644451,-0.03576502978455861,0.04330249621204535,0.021858236695845416,0.04431253490559404,0.012148342968505163,-0.08543484454323133,0.06313507558480239,0.08482243239813296
MTMR4,0.032290250380116875,-0.03766670695073263,0.0597531921044205,0.04023391637263343,0.03379301472322398,0.005043394788798562,0.02949294008834083,0.025761166230431284,0.0670965838077862
LAMC2,-0.01780338187084907,,0.003832405213156011,,-0.016202948970884562,,,-0.019018337345942243,0.08062503715268704
IL10,0.06681943832824003,0.05856489717070789,,0.04561758803777494,0.06282512092004186,-0.018639025380811282,-0.06533275965546648,0.01945047042587667,0.069611043787322
SEMA4D,-0.037041200686528504,-0.013607035359544922,-0.05312805555961404,-0.020928895779964526,0.008102524166770451,-0.009811204007631712,0.09290260389367261,-0.000914351388132131,0.04219510969663571
TRH,0.03298558627709705,-0.01634865016891723,0.060967300049300704,0.10006364294577474,-0.005487426863243293,0.04882580270652108,0.037508408271279,-0.02113729661149287,0.05216561204243615
SEMA6D,0.02541140221224037,0.017832381667194624,0.012648751416141786,0.058617205631337134,0.0004932800199976187,0.03288036111474907,-0.0367300885249294,0.05518053750590454,0.024476747763591468
CEL,,0.09734795540457551,,,,,-0.05014150741218335,-0.02364304912294793,0.01122609520256874
PDCD1LG2,-0.0044699538308132294,-0.014533350406907536,-0.01795019262596395,0.06346092098791684,0.06831243718508463,0.11175595687390977,0.056789950946392026,0.05897891506581312,0.13155182717579206
SPINT1,-0.00540422304946085,0.10863442200363017,-0.02321748398968693,0.0014465870783495543,-0.02814908311918137,0.02374526218162295,-0.0038522543831237908,-0.012265836271109203,0.030767751598633576
CTHRC1,0.011059582858158988,-0.006741087224154848,0.003957376038548595,0.019852655248423206,-0.023778713832766526,-0.02444959036993741,0.07313250205069416,0.04787046599697637,0.06993508880832323
PODXL,0.01072974509308884,-0.02050761141662564,-0.02594610211541145,0.0652427510859126,0.005366752549616146,0.01835207739825848,0.015558231557230897,0.07583392617834485,0.057005935503176966
JAM3,0.03657244071875791,-0.11749489855336122,-0.011765041962467509,0.02561816117185362,-0.04624864407878704,0.05112948284498583,0.040800580141262664,0.05664185642264949,0.024989064155671047
TGFB2,0.04478690583344722,0.010681356490947137,-0.022170818770932417,0.04810681421713076,0.04324673240655528,0.0367025737944364,0.039559223541241695,0.04427742762853209,-0.059348245850485655
COL18A1,0.04543132964885672,-0.08164543630877649,-0.02580911327820489,0.03583819250395053,-0.04437138221554251,0.001915587539088324,-0.05934075690898493,0.01683238315082875,0.04445689562455236
NODAL,0.004776303558711993,-0.020487760124834598,-0.02011700034853093,0.008417629740479752,,-0.028626113169611812,0.00942172563678757,-0.017888124387190316,0.0227703628344017
INHBB,-0.012391771021683063,-0.019648548988504266,0.036597083721842755,0.020349249720663865,-0.003223800364951702,0.04178901048175248,0.008568078058452042,-0.006049991873603891,0.049826643075665394
LCN1,-0.017803385876682478,,,-0.015145656987809565,,,,-0.016893070930898636,0.03628265489015533
ARF4,-0.0021039346044617537,0.0542497731143509,0.08250437656688596,0.008611821493784505,-0.007546808113832439,0.015382504621091775,0.06745587601214353,0.0036175310825677823,0.0025385314986656
CXCL14,0.02381768097044868,0.02872062602351208,0.03577631995774436,0.03546160124856619,-0.028800416581887398,0.0034186868427910303,-0.06688669024923136,0.07441500157033551,-0.017657859643824294
LIF,0.06688349796238212,0.025304948439717034,0.010171439323380878,0.041504117367759,-0.0021769005779367387,0.043643400112287845,0.04163659907216562,0.05609936883497803,-0.05022423430339998
IL17B,,,,-0.00986414547974992,,,0.08475012169250833,-0.027048449539724,-0.005914762413314017
MMP1,0.004116818701256513,0.005485530429121874,,,,,-0.10775793183116196,-0.027844018587288508,0.05247930494861049
MATN1,0.05081218379793473,,-0.021861865418487607,0.03378296847116828,0.028632733036381017,-0.016953946259109825,,-0.015330731573964874,0.018190161037467085
ADAM28,0.03671920453709325,0.03243827944255958,0.004417024766181305,-0.0016685803061904086,0.039049045427597434,0.03841447442271984,-0.06829133469601273,0.03999359337185426,0.04285545485488761
TCN2,0.013571699306424184,-0.046068673816052993,0.04557588441909571,0.041886071203982835,-0.03570453285055216,0.0008536716729749538,0.050050919992058455,0.05389932343339102,0.060118206484360955
THPO,-0.00729219755857802,,-0.007490898399029532,-0.03090298673438987,-0.026755127664754016,-0.01695394820665234,-0.02775920941070158,,-0.022601593142107027
CUBN,-0.004627993957353879,-0.004877136993067216,0.052895973750042624,-0.01899820371297504,0.00017629446502953302,0.004975877045098436,0.05088697376033935,-0.01797078374592162,0.019839579383008957
TIMP3,0.006552131890196382,-0.018182891135751174,-0.013139987643377841,0.004882962678345379,-0.006613212308100984,-0.004700001672340308,-0.07641063172190954,0.037982182295458425,0.06646718177263819
PIGF,0.010132875739012533,-0.027715287684164536,-0.02973243241920225,0.007908575388948604,0.04983236305736315,0.04667223813860987,0.0536531309960328,0.010451484983649357,0.04748922960217063
CRH,-0.020858786199084083,-0.016613204893138406,0.0012546632338327872,-0.02329003768824,-0.020516174328541033,-0.023188634396560395,,-0.047388521516689076,0.03339580831983754
BDNF,-0.028149356345108702,-0.025275868964960178,0.1167459221128179,0.02955907692575117,-0.051725075248301715,-0.019094500082055994,-0.00625909014196881,0.03431023390198813,0.03438450497722668
CCL5,0.05558492283312385,0.042391025546742185,0.0310713439420457,-0.011885530921018708,0.017180341780985472,-0.023000069549347905,0.0010667581673541168,0.03881595648823301,0.10132376937847166
GAD1,-0.00031419660686279026,-0.04110919221925383,0.060234549634616545,0.02283491371630801,0.011446784364684479,-0.04819386536219466,-0.001400636660621497,0.018444244948888765,0.02476357318524046
COL14A1,0.02160984277663692,-0.005242260384697571,0.061856324644980885,-0.026867519862144754,0.042818925584565605,0.03287556875171172,0.024210971357575897,0.013767780565147589,0.049394688942180694
HLA-A,-0.010013642639530852,0.04153748828323656,-0.058742373825784996,0.029599000512323215,0.022552597684770255,0.1381463771240626,0.04253265454967937,0.013992297801558432,0.017259878227016866
CD5L,-0.020858783785881404,,,,,,,,
FGF18,-0.01887342922571423,-0.0226672255511855,0.003981014615704274,,-0.013964821668812168,,,0.040009631746337634,-0.02670341293744513
ADM,-0.015240166231479946,0.05666687346824013,0.09559400795373003,0.0015916616254463465,-0.06894542255698777,0.11829612495905442,0.028725097345619722,-0.02827989101995761,-0.03733714170530665
CCL15,0.005583635184998239,,,,,,,,-0.005576139612009676
GNAI2,0.033895958622277726,0.040445999889964536,0.02768374537776939,0.04816281714787976,-0.00918841575454072,0.0024030430010188136,-0.04491470708888805,0.012733578239251676,0.01842103270197557
HDC,,,,-0.01498162891443778,,,,,0.048612623488818445
COL11A1,0.012795295670603288,0.00032099532659989917,-0.026396758772036094,-0.027536079284366115,0.01552681908023166,0.016526738742232202,0.03368280570758449,0.0026961251197478472,0.008857734406229549
NUCB2,0.04768461995671913,0.08887148760975086,0.024342293401185208,0.04277434381642839,0.002552574237472792,0.009945180473831578,0.0773664143096761,0.005217129889328522,-0.00026899573412603504
CXCL1,-0.0170346092392552,-0.002263585742230244,,0.06466227402446124,0.0004975713514800223,-0.007981482119960446,0.07892587075666196,0.0477744316754846,0.07883631824724886
VCAN,0.03371489011489845,-0.04266013068472683,-0.005333403821148959,0.009357081254456577,0.03686983180152734,0.05439491404399727,-0.1259677975683801,0.008134781752256346,-0.058941529739845296
MMP7,0.04732967542564962,,-0.022645606120127722,-0.0110550805474324,0.07118607420231819,-0.026204054193849306,-0.009276880055435605,0.022566981942877224,-0.03885131326479659
PTPN6,0.0032447661196910566,0.005669222124585363,-0.02722824058168931,0.01640010440874568,-0.009528659582049034,-0.001860871169120711,0.0812834005176774,0.02470187385485356,0.06319565443844946
PTGS2,-0.02786045510986341,0.006887361228122171,-0.03907105980318582,0.024959999850101815,-0.005510941174694212,-0.039133848613531794,0.026412062183887947,-0.011802388754452612,0.04257765801863619
XCL1,-0.02285749622434666,0.12853481219703816,,,-0.021139869526922095,,,,
CD58,0.00867585709691144,0.026097112555604686,-0.02533276927555001,0.02915891181557031,0.016875860972454592,0.013686586270491165,-0.00951447823502237,0.031203187723050068,0.08712866459889015
TNFSF14,0.0061230795517187115,0.024320480055971882,,-0.023034884990562,-0.0014576737391647204,,0.04171499957195227,-0.028748931052043993,-0.031345558898132016
CNTN4,-0.04049176515367562,-0.0021971613834516636,-0.00612373330360819,0.01596208595017854,-0.010660571619849925,-0.053318585048006295,,0.000249239714033506,0.01675382745545483
INSL3,0.046350736256972,,,,-0.014841429697801629,,,-0.016687428927288396,0.007912894090548428
BTLA,,-0.018123197051943915,,,,,,,-0.030663060211981192
MFNG,0.030401727938239323,0.01169524564927152,-0.0006097785539920087,0.004641814238429912,0.023056385420507336,-0.04365067912790438,-0.012295734100367033,0.056114680891217426,0.09038059500666708
ICAM1,0.0016434787229629155,0.05634812851702025,-0.05233801882724672,0.04694014898379094,0.07786961340807358,0.013344198434333567,0.1764593900232632,0.012127296005502029,0.058812554625611406
PROS1,0.06410542376146837,0.0175333405949482,0.008057331419672641,0.024450408227671305,-0.037771741899706,-0.04662090073070252,0.03618905728109514,0.022310566467290367,0.04557815936451629
CLCF1,0.103778375247383,0.026725409180711656,0.013798338813108815,0.0667351101033464,0.07179529095473922,0.04778405962959395,0.00942727443681316,0.018696874848626012,-0.0145216466703869
PSAP,0.036620659089829144,-0.013266915476450048,0.03239518826025021,0.04318783815112096,0.013369883334477821,-0.03977958755226347,0.0745709696014804,-0.030760787434810637,0.10566973851425786
EFEMP1,0.0901784431422885,0.030211146440726807,-0.03389728614247407,0.023096179949952503,0.1037052727232414,0.04051974733268147,0.14782803621320859,0.10085033829305622,-0.08571640510582562
C1QTNF1,0.04168596122406741,-0.029570110895812,-0.014401230482226333,-0.01124858919802955,-0.03836299246603277,0.11088338671947427,0.017518790201188798,0.03937701250593726,-0.07745142159251443
