,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1
ITGB3BP,-0.011128966971618,0.045704436339605484,0.0421215849099544,-0.01939341508230553,-0.00014237052377555722,-0.017353089555928573
AANAT,,,0.012613663136084202,-0.020112694951467235,0.041254765752664804,0.040819733571827055
RELN,,-0.005742774389237982,,,,
IL15,-0.01901197706984828,-0.04043139500943702,-0.014232304430206793,0.01281647182843339,0.023362575408346707,0.012922060559146426
UTS2,,,,-0.01712743175081207,,
BSG,-0.017789607310667352,-0.013422594987208547,-0.03171215176969128,-0.039055318042215875,0.005485025953536951,0.03175548885551471
ADAMTS3,-0.02103924374052841,,-0.024899013601458426,0.02996213650778515,0.021619611025588854,0.07015801347510624
CD34,-0.07852017338693451,-0.04546602437369657,0.0966571373891897,-0.010787457813398165,0.05634356713904181,0.043642634743353066
PLAT,0.008110000699006187,0.026596257022436485,0.05068198008014492,0.0198020478765414,0.06620083890792414,0.056385912743155436
NTF3,-0.013526079126071984,,,0.04878788982584406,0.1303043619738084,
LTA,,,,,,-0.019703636739716056
CKLF,0.014432509206652566,0.04164556922845127,0.05037919948022457,0.09100287447926628,0.05824699985213085,0.024254647157658533
APELA,0.02188146155962752,,,,,
CD24,-0.0015107118950820776,-0.05897097465839485,-0.03864516257100109,-0.01103349890020228,0.048597446068231916,-0.03556673824883403
HSP90AA1,0.002013766802348361,-0.12625419346646302,-0.005090671791118136,-0.047721207213050364,-0.1360744478749437,0.0020101427837877135
BMP4,0.0011877099840861688,0.05532100461229691,0.04122834729832718,-0.02077368826055362,-0.03137784925604532,-0.004981676229054857
SCGB3A1,0.011307960928349507,0.054598787063644946,,-0.021738007961026554,0.0757339404951436,-0.0140588412467997
IGFBP4,-0.08515859145897632,-0.012509038174342728,-0.015611558305088279,0.024455381839147194,-0.08862663364186846,0.09224356487815193
RSPO4,,0.06703548764146566,,,,0.0230873908842541
LEFTY2,0.02085090632931228,,-0.026573306446894412,-0.019461697859056454,-0.02098310062775458,0.03829216950642122
PF4,,,,,-0.016726495352083256,-0.019703632180148367
ANGPTL2,-0.0008427384683361027,0.06073252206763116,0.015489612477172858,0.0481205521151334,0.09011331654593503,-0.0020776061139371454
LRIG2,-0.07037593037069262,0.07311766195762184,-0.016689622410642438,0.020532987738273143,0.03168139598178426,0.05574812896314235
ICOSLG,-0.01955574152774748,-0.00043324052711579637,0.05201781323790922,-0.007613712918704134,0.06100600484296236,0.04537738743692751
NPPC,,0.05537543590293549,-0.024898965781411812,-0.034224594739641796,0.019002936254675563,
LYZ,0.003329326991416656,-0.08100966522337472,0.059378856720824665,-0.0034833930552725023,-0.008509944815710165,0.021515205521003354
EREG,-0.02251219159032707,,,-0.018721928930441795,0.008540719984414195,0.0294233994522898
SPTAN1,0.027512843130743134,-0.12127494223019707,-0.024955085422991203,0.009587743629089013,0.07885775027950755,-0.005127357480535614
LIPC,-0.014525983736872274,0.009521409636381217,-0.05115927125541047,,,0.009402850943872816
COL8A1,0.04892580740402989,0.05287482675911013,0.06681592791634844,0.024841721028582033,0.024531351225588888,0.0002077740366346753
GSTM2,0.001073657989856222,-0.037616760264795074,0.07777376451640333,-0.019590456046655793,0.03764065410547882,-0.004240001579353282
SPX,,,0.04058526379377217,-0.023115191827778485,0.0375440067200791,0.005942520552960529
MFGE8,0.08207910374875158,-0.06529377148304227,0.0014915787521625908,-0.022491935950496495,-0.013335721619128531,0.019318124719652063
TGFA,-0.030339492667107112,0.06351344716755668,0.04325847515070086,-0.02042107180984812,0.08462381215914684,0.08451672444644473
SLIT2,-0.03728609962984481,-0.04958652874665808,-0.02815852830076254,-0.018229961194468233,0.04450720783144577,0.025964626405935783
PLTP,-0.05430309660862848,-0.06657687864011491,0.037860708404849,0.051540111592605915,-0.03575234036274843,0.0735653912360628
APOD,0.020275167236279517,0.14150940047070354,-0.018716782833146706,0.022951050681691405,0.12663106224225587,0.05419571084661836
B2M,-0.026542807240059852,-0.003863042389282164,0.04676584870634267,0.06229490104156801,-0.04146649229664222,0.06689153039977022
OMG,0.03910082233064697,-0.018528761583277036,-0.019004110309763202,0.03485872948851001,0.13227594426513337,0.05098877772142915
CXCL3,-0.07330335188201274,,,-0.011066281448546881,-0.027319822983236687,-0.02439354750543514
CXCL10,-0.019426751942750998,-0.0645924979246605,0.010737952235060527,-0.02367418212398767,-0.022435079219411673,-0.009813217830800873
RSPO3,,,,0.04140410077275499,0.006390890630664073,-0.014042018532890716
CORT,,,,0.007482870721704568,0.030008234503279354,
NCAN,,0.017630954196387848,0.03358522618144328,0.024304558642566254,0.11867171830262412,0.025708670407956737
PRG4,,,,-0.02511046912952851,-0.025827378003110135,0.1478688867031468
ZG16B,0.08305135210658711,,0.03756392132412898,,,-0.017508885910148517
TGM2,-0.033261192419517964,0.026552035242716262,0.012303346149768678,-0.021513021892724606,-0.05727358526214035,0.031867138675002224
VEGFC,0.04953210996249751,-0.023987641212504504,0.01813948481314298,0.00024109681318431993,-0.03507048892623421,-0.027320633847495824
WNT6,-0.02839888605702104,,0.040234100460485936,-0.03422459935715347,0.04406213307655547,-0.021145578220105616
NRG4,,-0.026216977532343193,,,,-0.014042020106665975
PMCH,,,,0.051956385218036465,0.009604297439702342,0.028979870719414106
COL9A1,,-0.025382297958995097,0.09551422209068572,0.041370547088964024,0.12070029574691236,0.025317513443070403
GDF11,-0.011606352003308677,-0.025101100722249258,0.03322929157672686,0.028921005344079254,0.00037627572934824724,-0.009518056755599368
RAET1E,,,,,,-0.015403996285768433
IL24,0.07889232258076699,,,-0.017374039399181872,-0.016459799887757205,
SORBS1,0.06603418617359483,-0.08008548792553871,0.046962012544652404,0.004135561251849187,-0.01072283287579193,-0.002422418409034811
DLL1,-0.03363007648469206,0.01677781784546538,-0.008621054474185302,0.028933909287847462,0.1291220773087212,-0.03778444205139154
TLN1,-0.09713568496421929,-0.01937171962778974,0.002445215852817239,-0.07756246278529573,-0.08568652258724595,-0.007559434331399815
COL2A1,,,,0.0702752352319294,-0.04289927368358135,-0.00013182410542005035
SHH,,,,-0.027523033812750432,0.07688727154413097,0.03442229456475594
PON2,-0.045794722612169186,0.028116582618024,-0.018542211510752065,0.007128274868955256,0.01976191248842351,-0.005913533460406758
ICAM5,0.0855427888360329,,,-0.03918078957712184,0.061223182900724336,0.08578069438631673
HPX,-0.030102519844654438,0.0013746847102198358,-0.037884045298390706,0.01684284635665771,0.03406582579081759,0.005908957102062399
SFRP2,-0.015805563993763646,,-0.031758807172721684,-0.02352260362786059,0.01082221348872807,0.15267636326033446
CD70,-9.437109316054145e-05,0.004734676853810503,,-0.016167882607755243,0.018731725020930182,-0.02142363887264093
HP,,-0.004017520600875214,-0.036161137108019235,0.060245501082540585,-0.006030789350827537,-0.021005326243619254
CXCL2,-0.053700428791744505,-0.046818790020639774,,0.025180092158224966,-0.005425508237956578,0.07484441313838758
NPPB,,,,-0.045774108418973905,0.008411559990525503,-0.014244065535338322
CCK,,,-0.004093372719327192,-0.06733562335983273,0.0752336554663162,-0.01847839826184526
SEMA6A,0.013113177104092275,0.00035419546739198906,-0.03852653703025989,0.07742374866400423,0.06100724949562774,-0.010542235029126799
IRAK4,-0.021125341649058587,0.021468371701403303,0.13534313529305347,0.01912182935398583,0.044460769058750176,-0.006788459476302439
GSTP1,-0.039429169901426635,0.1646477009577097,0.017650149994646758,-0.024442180389168545,0.09650239303327987,0.05922276694716682
VCAM1,-0.029582131023250923,-0.07817797693118628,-0.03790031932754523,0.035890758097215286,0.0045066527103574915,0.04310910030219505
NXPH3,-0.030221190490061806,-0.03514575510159038,0.056464059419333724,0.06606774434704624,0.08277425055316091,0.024351649248770764
MTMR4,0.016068560353185306,0.03869586437574527,0.11624260615711254,-0.021356018863201317,0.05353097514637943,0.022982077472669463
LAMC2,-0.0063681191633713245,0.011444828519062667,,-0.021359796537570086,-0.002608079155916872,0.08375045446889667
IL10,-0.016181314715005304,-0.03665046759822901,-0.02113145591685292,0.05104559366818713,-0.050449642973884774,-0.004128190118263275
SEMA4D,0.032813451858318576,0.04227812588398308,0.02622929335388485,-0.010187581812258883,0.11166593179924057,0.05559044076025355
TRH,,,,0.00909750015262625,0.051677953338269376,-0.01595430862761049
SEMA6D,-0.02158095457384723,-0.02205682510419105,0.00721820509882231,-0.018904931563496374,0.0439293924557233,-0.007085444293329436
CEL,,0.03875423092824816,-0.03195702835321259,-0.026310326971927797,-0.011039461694155662,0.013704614450585878
PDCD1LG2,-0.022033479183319625,0.07409892041577243,0.010821031757545197,0.03784323964976267,0.033410635099984584,0.007524575191555988
SPINT1,0.024982564794708496,0.010369962836185843,0.11662372066683831,0.023548687018158806,0.0464036702264873,0.04676493779466959
CTHRC1,0.01882403030443639,0.11484459897316876,0.042733427938768116,-0.007640383273425232,-0.013662503261491215,0.12527188387346297
PODXL,-0.018664001121479493,-0.025610396518829404,0.07894312399592099,0.0391686999349237,-0.0465138607491546,-0.008977164330293238
JAM3,0.024480610294880977,-0.02402031195392814,-0.016743258045183205,0.029092777807184132,-0.00782990269960976,0.011693567933890129
TGFB2,-0.013994502197203898,-0.061139925658991796,0.06008907878874721,0.0643614563168429,0.03963998870269717,-0.05900747483190897
COL18A1,-0.05370447382181415,-0.038925163920939365,0.012384467573637445,0.006800244564939707,-0.07275428961732561,0.0699525459704455
NODAL,,-0.03755914714722751,-0.03348464720499679,-0.025972455575178396,0.02079869617771617,0.05338028785144289
INHBB,-0.007470857956082536,0.05255941223207815,0.0294806162250774,0.0328298957777886,-0.025435552521855496,-0.014443285074922325
LCN1,,,,0.05468043226398578,0.06646807564006779,-0.016133865259219275
ARF4,-0.025053655097146032,0.05510028025958507,0.04405797656599437,0.036279236189664534,0.07886579307976796,0.048878557385648336
CXCL14,0.011281226633754192,-0.04610124888313876,-0.03744220064581529,0.02404228531465067,-0.11482816857806319,-0.02324861550168442
LIF,-0.041379549697601305,0.08170437618415523,-0.004444708157470732,-0.040126661325458196,-0.06126331264331017,-0.059058551345093004
IL17B,0.057433142869534194,0.03948831840459466,,-0.024040381602071132,0.036216637098938485,-0.027252355911035406
MMP1,0.009117058254524121,,,-0.02640836611631328,-0.03164764849872377,-0.020904694429320407
MATN1,-0.016015178218187744,0.07183169560235352,,0.030707349775406578,0.025930945019338042,0.06941983751326423
ADAM28,0.04170839099783551,0.055422458866158986,0.019773474824468344,0.0027523663422216096,-0.013472035082517842,-0.040486037441804935
TCN2,0.011218389117799285,-0.013985520191100612,-0.004586055733347337,0.05150884392065398,-0.020413046705391718,0.044700485669411705
THPO,,0.0875881319928863,-0.023843921368242576,,,-0.02100533263809605
CUBN,-0.050906256447344665,-0.04136919426591584,0.021572843565114623,0.05398558390501446,0.10132021129194571,0.04854816228504668
TIMP3,0.034186688966787906,-0.05469735917458313,-0.05331732516936217,-0.019930610421896745,-0.051689489414102695,0.11405523697428625
PIGF,-0.0066254181449501666,0.031752127802787744,-0.015194338111162414,0.001313525689375179,0.11066624041659309,-0.03460659034041211
CRH,,,,0.05838262857865072,-0.011347522353992584,-0.023924457249142602
BDNF,-0.024703382045115657,,,-0.0017251992970653302,0.015345607281475219,0.04482691457239002
CCL5,-0.03416518088022802,0.020767269062799555,-0.004600944751152523,0.016172891409993263,0.08985054920845505,0.1241093905646715
GAD1,-0.023992549612105552,0.060840586765966244,-0.033103899465172164,-0.003803339297043761,0.05309201335467287,-0.04348933831644955
COL14A1,0.0405027861930694,-0.046155868603112764,0.00031480781980901333,0.046244456865925654,-0.051989138903288164,0.07433382655803482
HLA-A,0.0026227878775724033,-0.12878178586239716,0.08066753937230131,-0.0362942698532529,-0.14770979608096213,0.042444604701254905
CD5L,,,-0.027217181003145845,,,
FGF18,-0.016629057548751984,,,0.03307729834971585,0.050216447221928584,0.03514435712628854
ADM,-0.03949747644385852,0.04900417432488128,0.04898031429506619,-0.06338295600083312,-0.07116992112178944,-0.029804637054369375
CCL15,,,,,,-0.013837171744287136
GNAI2,-0.06434920139256856,-0.03137308358636172,0.03138877096036232,0.027802779037604204,-0.014406137279520517,-0.003775411234814023
HDC,,0.086575962472244,,,,0.023881712983316452
COL11A1,-0.043966234350424654,,-0.04293440513124051,-0.02781604762854188,-0.01827368616906242,0.08664861394973941
NUCB2,-0.004506613510390562,-0.06154752714854521,0.04367892196314809,-0.01817893899755521,-0.08236429942128291,0.04436186231701275
CXCL1,-0.07744053438290723,-0.030915191822975512,,-0.027404294125805202,-0.03571245236996008,0.01554631831627552
VCAN,-0.018446835669299725,-0.06639106038978862,-0.04540091603872241,0.03932910287946283,0.0838465322658646,0.03338670983832701
MMP7,-0.009346754375628165,,,-0.01696934197467826,-0.07639764218434855,-0.0013502086677595342
PTPN6,0.015103700794725628,0.012520671070752628,0.00736306919333008,0.03532668495934391,-0.014275832166397174,0.03320848672279693
PTGS2,0.01922793058840013,0.014256473362190067,-0.042050522569155424,-0.04848168675529332,-0.03498833693485443,-0.03865417153461488
XCL1,0.037848023670004664,,,,,
CD58,-0.008607262636538248,-0.05401989027126493,0.05428094050008902,-0.0061358133963207075,0.01795962774943075,0.06104852117866459
TNFSF14,,,0.05614597815556618,-0.02273569671403554,-0.03267617645767901,-0.03318815646637577
CNTN4,,,-0.04227280748084045,-0.017088177812284156,-0.008976620347314085,0.12483973805482021
INSL3,,,,-0.0252849303078966,0.04554632427485712,0.13447166493086002
BTLA,,,-0.030544257142900523,,,-0.018320053937814173
MFNG,-0.03119107001625893,-0.03112026124876406,0.06118049312362894,0.0035844441313005538,0.024018668426868582,0.04555968495433034
ICAM1,0.05368645894762832,0.02451644350903995,-0.0009213004568803836,-0.02662322915841825,-0.011489741220052054,-0.011668637288882124
PROS1,-0.024874808114926067,-0.0603774495362901,0.05134419902700067,0.027430353542027695,-0.060809391026882285,-0.006958929096839462
CLCF1,-0.004078566265458263,0.05461322701775882,0.06640272078760008,-0.0035751574747439623,0.004589939030359824,-0.010333645450192965
PSAP,0.04047617151867201,-0.08870718237599166,0.02732710322044286,0.015217090429675582,-0.11713828325522331,0.031184156636675744
EFEMP1,-0.04394977988861468,-0.014447430339830432,-0.023080078734998278,0.014224187364491058,-0.02960390933168333,-0.052741244333575646
C1QTNF1,0.019456177410096122,0.06303580396452695,-0.016905874410418912,0.016439390937100444,-0.11779826512562312,-0.0810242347139508
ALB,0.009644264235009192,0.03503265636328876,0.07709109802046324,0.07922850249138172,-0.006388079922056666,-0.021423645558697815
CCL13,-0.028894062345975656,,,0.03313847277832439,,
EFNA3,-0.007106004362376148,-0.02656992902737698,-0.018781358361511125,-0.032944246620545084,0.07146563912625889,-0.0264502203565324
DRAXIN,-0.008857148469019301,-0.02554438192232203,0.026219248211877426,-0.024101487999770906,-0.03695991767699874,0.05477368648454869
RAET1L,,,,,0.06411951274429742,
NPTX2,-0.034912014376472365,,0.14558548575026223,0.03662220354156158,0.0015832448537610652,0.06587053167604588
FGF11,-0.02249310381570904,0.0038584026406408138,0.08527026248911843,-0.07503174159368363,-0.023229604484703886,-0.04527931956183131
CD59,0.02838101782500859,0.0016885331098009497,0.056295708312717206,0.05980421814808362,-0.07950501857831947,0.06323151589718282
COL9A2,0.0033396975667068043,0.10168111221691184,-0.015069668239156314,0.05083788140941945,0.09694514116988455,0.08749468322511982
DLL3,-0.01942675319649657,0.01325121014805884,0.018865810647946478,-0.01105114726260156,0.15931690815692298,-0.004655213881589204
FGF5,-0.01569643529206102,,,,,-0.039737593346039185
LIN7C,-0.00800446713318073,-0.021335469731148693,0.05662989476226767,-0.03769487476629248,-0.017745583392245204,0.039826964085344675
GDF7,,,-0.03463595981881043,,0.03319408342322194,0.005147364569341386
PSPN,-0.025600973056239366,0.007246677883988893,-0.004681661664994043,-0.009613224226386984,0.08703278012348324,-0.007910452170019249
ANGPT1,-0.01147047903490896,-0.05946361867738065,-0.01624100061513002,-0.00043733468806826924,0.03429984471656779,0.061524034767307216
PNOC,-0.015160336746982854,,,,-0.017503429147683228,-0.019554264852239187
L1CAM,-0.01192840806322566,-0.03212310151981727,-0.020644509985826398,-0.01544453323190887,-0.08355574111954006,0.011300840993319737
APOA1,0.048395753235468096,-0.08404909674806091,-0.02857497602971969,-0.0470150325138331,0.14717813133805058,0.0709406937031752
PSEN1,0.03530847700509482,0.03620642724471027,0.015754504126701388,0.08268338760205268,0.017936156463830906,0.08948411149103894
CALM2,-0.011241516427576724,-0.05030934877332977,0.02607087381184383,0.09384116649010445,0.058597064293740425,-0.04796837704785999
CLEC2B,0.016119882639188385,-0.058643838920282285,-0.031895475657429485,-0.0021056932323046474,-0.012701285366898315,0.04983047050334872
NTNG1,-0.00912851379971279,-0.04389859345575316,0.02514288698663996,0.051776865012284325,0.08684241821188772,0.0010477929304131663
LRIG1,0.034364114462685384,0.06382684038528698,0.02640313772197069,0.06057440314498796,0.12650263080172933,-0.026683828636617175
CPAMD8,,-0.018437628610684223,-0.004652134223027747,,-0.01849126173032908,0.1288269134329946
GHRL,,0.03398336801534412,0.10019452789031233,,,0.05004116338118803
NPY,,,-0.030831159834801634,0.03379327111459421,-0.023372709412664682,-0.023924450560799906
MMP2,0.04382460585442412,0.015575344764455155,0.016852519146979387,0.02899077630602734,-0.0033412116036644272,0.07233924590100337
PPY,-0.014022635456375344,,,-0.020933221808378616,0.015381539086752742,0.030785658431989587
ALKAL2,0.058313118725302,,0.030539344504660577,-0.05242641274608225,0.04954917053044968,0.023932614305975233
CSF1,-0.06570188088898228,0.017507535221589484,0.02597898212947518,0.013724181183323846,-0.011328581733384814,0.04312181722697709
SEMA4C,0.05044279713411045,-0.0048436519287226925,0.06654291606540927,0.03848963964411493,0.009618091727733785,0.05054024558270479
BMP8A,,,,,,-0.01700525836326053
ICAM2,-0.05999923220322565,-0.026044254251038564,0.1519020771412288,0.033312113057901556,0.004107834005352614,0.09391381848017165
SYTL3,-0.007899344218078155,-0.020164626587928933,-0.006733749750024505,-0.05322284423994435,-0.0027344001888512737,0.03723975659477151
IL1A,,0.12106242460510332,-0.014688107185917077,0.001997081282838155,0.00506460637552158,0.09588683613621167
HLA-G,,0.05562975407842879,,-0.03722837899516812,0.2063346112375792,
PGF,-0.0457641560381235,0.0011758155915479842,0.1161238584815827,-0.010413970342233701,0.022560992742537405,0.042641402886505565
LGALS8,0.025330443165753665,-0.016021841336003737,-0.02756761437653773,0.025604631834663716,-0.0190060965930003,0.04064316367887172
DKK3,-0.009294282593366837,-0.021706351214660663,0.015490779553618553,-0.0011428011166795266,0.034052972283879365,0.02573072844941992
COL16A1,-0.020016100731365893,0.010647109103893077,-0.011978206692264192,0.032565260886958936,0.03710519256468986,0.12473862622978067
TPH1,,-0.005946329958647646,,0.06767018854496451,0.009221669315703368,0.014225660817953416
TNC,-0.03711236568282654,-0.04532594653015826,-0.01589893770560766,0.003714972412361813,-0.13401721507551548,-0.06702988389341726
TNFSF9,-0.02106157047320598,-0.029091570929048665,0.002702887107641176,-0.018236359203205228,-0.04135053517118309,0.05001225555856932
C4A,-0.01662906657287166,,,0.07422601716968166,,0.013135039073557314
CNTN2,0.05013523202129831,-0.03330992524460621,-0.036230546543568894,-0.007718059385384159,0.1078203409965948,0.05472762473890744
F7,0.03471115438825534,,,-0.023674177187916968,,
LUM,0.06012620146215943,-0.02828648743453784,-0.030666321800775664,0.057107108373245424,0.008336968366850602,0.11923905835229806
BTC,,-0.02646038168591555,,0.08312981905974658,-0.028049155271988094,0.07525364978723226
APOC1,0.015247838745953556,0.14215211730360375,0.03972822345799311,0.018051723175944293,0.01869483150314745,-0.06340677312498441
PKM,-0.05253241300851008,-0.016426461349162664,0.02912923634274115,-0.06921029874195092,-0.09711255488216182,-0.07205017503070438
TNF,-0.02158095632716674,0.015440181807539336,0.09821646193932886,0.03669237152078357,-0.019200740175376207,0.0621703414936911
GNAS,-0.00221586349998166,-0.07892960406300346,-0.044999226041470816,-0.06138883769473425,0.02156009887370635,0.0011329424233613267
BMP8B,0.05853030587830533,0.07506067433084761,0.04238109371873308,0.014030412529759133,-0.03370576151236532,-0.06986485073893078
LIPH,,,,-0.016877418534120524,-0.02140717343145392,-0.050737894508135165
CCL28,,,,,,-0.01320461988986926
PTPN11,0.02712044761026017,-0.013576213774230076,0.07240505211474879,-0.02028109840367898,-0.0020832026193130996,0.038331513059811605
ADAM12,-0.03574848947115533,-0.03438027336034706,0.01685419152609687,0.06375888313050579,-0.02249033675620446,0.07329419625385905
EPO,-0.013784365104061837,-0.007055025566968071,0.06053052438347935,-0.018329307555867192,-0.022232981554308168,0.10461933490830226
EDN3,,,-0.023843869018031115,0.02404962022260141,0.050287327375450434,-0.025514240552925435
CCL22,,,,-0.02074482834274422,-0.020331721209783393,-0.0016153653550141287
CCL2,-0.04349624411867275,-0.0029769547614453057,0.07658874360945364,0.05065102880877967,-0.06052428805922734,-0.08693442354343811
DSCAM,-0.02027989895936837,-0.06795586314471572,-0.06614050567837522,-0.0014040269341749239,0.11990859672670118,0.02053365065214442
ANG,-0.011836061342904394,-0.03951027542063969,0.12114933152210408,-0.009973898168782315,-0.020412758985132468,-0.02499334484984177
FBLN2,-0.017700478798999993,,-0.04293436387125936,0.027910261586943343,-0.0029344543290706544,0.11417287593740863
VTN,,-0.0011370796171059371,,0.061928182526252866,-0.015633784426637917,-0.022900183989352518
VEGFA,3.2668650040467464e-05,-0.027566229670216113,0.026311423855419895,-0.09500572933451375,-0.11879223104309494,-0.0628511768409333
F10,0.013537605536346253,0.02050125792837759,,,0.003421324695865322,-0.008005104655030444
SERPINA1,-0.016154198045474334,0.04255691230684211,0.048834105435935415,0.0526990772259328,-0.10522348386205871,-0.024484268252607903
VWF,-0.04243107838515808,7.842718495221356e-05,0.08487666961254638,0.04044554737968883,-0.008864728895582027,0.03867873649606618
GDNF,-0.007559878893083982,-0.021458272513630486,-0.02657332603567049,0.027517523271552782,-0.048743214659640974,
VASP,0.043215578694709066,-0.010706989659973649,0.06320375528860295,-0.014719833375990669,-0.05901404266151555,-0.011720014107188932
ADAM15,-6.874167079479577e-05,-0.05534300479833435,0.00024384802426693602,-0.04187606097339443,0.02101461933588354,0.039454717231353256
WNT2,,,,0.014547599924593308,-0.02283438573343471,-0.0341482741214508
CALCB,,,,0.06593207755327363,0.002817808399006814,
OLFM2,-0.01459725434599768,-0.06558606329001297,-0.02550822077646855,-0.05567246252430205,0.07099104110187468,-0.014259623090791465
MFAP2,-0.011304758603633053,-0.016244220423384522,-0.018463092211606347,-0.051273227542134876,0.03964077563963023,0.10491336782470902
HLA-C,-0.01855522635481791,-0.10231109886673535,0.0419514376098303,-0.007957924994412313,-0.11044049849714714,0.037686776519698074
THBS1,-0.003302771042370105,-0.07486939491380641,0.024091429656352838,-0.019128911045247034,-0.06887471933329484,0.05563594132893197
HSPA4,-0.04019421821821318,0.01802587269598957,0.02975550370618749,-0.0021111700275513296,-0.04216232174171727,-0.02391534822256211
LMAN1,0.026153507857922562,0.0010032805040761828,0.007302604879391388,-0.05704084273356872,-0.04461708183953415,-0.03674001715259076
LYPD3,-0.02782088938967957,0.020897871971313063,0.11580003445310559,0.012060226021773125,0.03827498675326756,-0.0007436396633525771
APOE,-0.028278531578547546,-0.030649881360920155,0.01881124847789891,0.0134638622720122,-0.041416574051037956,-0.026985808917265066
SOSTDC1,,,,-0.02526117603827025,0.11039324879798772,-0.005610569554933961
ANXA1,0.004809976183592021,0.010611631993312165,0.06791786365681948,-0.05073436233467192,-0.041023268820491655,0.009186732447426469
