,MGH258,UKF243,UKF260,UKF269,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
RSPO4,,-0.0010249040907637191,-0.025556762815855106,,,,0.00027785262659863933,,,-0.023936800473121227
LEFTY2,0.15504701109887326,-0.040519658820131574,0.006438883778043094,0.016300231271399613,-0.007468941814275589,0.08267062004309146,,-0.039157503858636825,0.008953225635793824,-0.021430529903931822
PF4,,,,,,,,,,-0.01875105026700504
ANGPTL2,-0.013735477482008141,-0.05640374012384908,0.03822887554888184,-0.03935501992437316,-0.14736231583513743,0.01600719911058434,-0.017530924932469077,0.040046066241880146,0.029007265152998632,0.02794852798850852
LRIG2,-0.015738232205796,0.03766876668640614,0.012559082442051889,0.05645488381199004,0.01971069552570462,-0.023758245274255844,0.026230580535770712,-0.03208837976014168,0.053060297501120665,-0.0017297853807521225
ICOSLG,0.02249752653721522,0.031577399035453944,0.020565900732912618,-0.037615092974240004,-0.11888285172703059,-0.05271977590797658,-0.043327356414071115,0.027756001884822402,-0.037379610496145986,-0.02691659644640346
WIF1,,0.1298813746051519,-0.0010474899177781046,0.008211374390740208,0.38845802397224277,,,,,-0.019568278489730317
NPPC,-0.04140589056193232,0.05298729531816992,-0.02067262539994288,-0.04340227587276527,0.13049365428826332,-0.03454297456049292,-0.01632948491402023,0.041253640927361425,0.04356975724089443,-0.04506310504379106
LYZ,0.040338248122858446,-0.05338815185921847,-0.0060936636244844165,0.052150566668310985,-0.22700822118062547,0.13271076062097426,-0.041216587253846776,0.08554399182031248,0.060987130461374155,-0.04595290567846145
EREG,,,-0.03596442912207954,,0.018939944355257206,,,,,-0.021588013533258864
SPTAN1,-0.09618942297159519,0.09107259571617357,0.015604586396466509,0.09745808542186124,0.27871416303853397,0.011062362734925633,0.07679106500318114,-0.03706285480744432,0.064062873656145,0.00602273322855727
LIPC,0.01371854370096873,0.00354196407973326,-0.024743152808264078,-0.03988913715444845,0.04630007158156758,-0.03662928856017926,0.048845149450216355,-0.00010025363437618416,-0.04563852758446634,0.007816169223846871
COL8A1,0.04331928352097464,-0.04833548696743268,-0.02181964232465244,-0.007163030744553691,-0.07841399191006962,0.0879619737042656,0.09973143325042089,0.058577072069721264,0.01217882597484236,-0.024663978346196973
GSTM2,-0.0026423452879128805,0.038203155523415494,-0.009185083056442963,-0.012059927770508728,-0.08140401679966096,0.003328749198665962,0.021530364087767463,-0.012279360090169385,-0.05824728317896748,-0.02129594501181768
SPX,-0.026898119675525287,0.03533031628766312,0.05393361214176418,0.012318884192983574,0.022934249685880266,-0.04579333906668094,,0.07994820074858656,-0.038280084828289776,-0.0009576262069057697
MFGE8,-0.037701484884393406,-0.04451395019123754,0.022893361451602246,-0.0020751641277402446,0.16987525822620875,-0.04975928380818202,0.14824228167300874,-0.04760355123230534,-0.005994816952427005,-0.00881310745717726
TGFA,-0.04363567347268756,0.032822750324387195,0.0022015860871519763,-0.029689266382366884,-0.08278602647066,-0.042983377928032716,0.005243416436410503,-0.012965806237596814,-0.044582621188631884,0.010249645084817877
SLIT2,-0.019648236321222926,0.09117402162204227,-0.02761723387607377,-0.04349718932587909,0.21156083687779176,0.005294044201735669,0.13126973117717458,0.027194250231642927,0.030812507164467255,0.04809471026231216
PLTP,-0.030927202611686785,0.009490956551073486,-0.04675052289582461,0.012186273687640846,-0.2566209252700772,-0.03514177454120105,0.11562242221814766,0.034698773083220856,0.055203665761096275,-0.044315994926042976
APOD,0.0331508505312279,0.000795468151792851,0.034288461145015395,-0.06554563180796043,-0.2813626888048391,-0.05583344335458687,0.01386263650486259,-0.03493073149792343,-0.03403905023859766,0.037871182245300526
B2M,0.09549088219888265,0.0055286600744357,-0.06368024261591224,-0.001022117016561285,-0.3555239728524455,0.11252394242370764,0.029117501020969525,0.009682741862809159,0.008991489629722432,0.01921331694180041
OMG,-0.011603525739640446,0.05441859119448672,0.08453329444246482,-0.03617484169640403,-0.14866416173113503,-0.11064171475453455,0.03330021863041346,-0.05615642810869012,0.0377231127075189,-0.03280898207985098
CXCL3,-0.015374691478848387,0.011683282464133292,-0.07544155821396153,0.029885545590662577,-0.04648642295259887,-0.0355999993465771,,,0.043592744182523714,-0.012087449751406562
CXCL10,-0.025026451321315382,-0.0006428779231198192,0.008313089543554421,0.032754216642512074,0.0014505269006874562,0.11957275436530396,-0.007964553315516232,-0.01820646866565844,-0.023178874931205802,0.027570944825702992
RSPO3,,,0.01956805229664561,0.000991704706678607,0.12197221245615411,,,,,-0.0011624675396897574
CORT,-0.019091809442158575,0.055637756611053794,-0.005391768663287814,0.02237975333695344,0.013946977111849512,,,,,
NCAN,0.00026049001263585595,0.03700465970633821,0.09767440836400008,0.0242794576009749,0.24886924700501456,-0.056959743319368095,-0.09101906887318692,-0.07380942059230731,0.0128748784265081,0.03155875562594051
PRG4,,0.13245629073774662,-0.017715997655447367,0.03499478503198112,,,,,,-0.026098907379889204
ZG16B,,,,-0.03235890300850771,,,,-0.03406331890317558,,-0.015996568981939633
TGM2,0.04350415424719731,-0.07684945524617676,-0.026328993442909107,0.0006712906395897498,-0.03324750067635297,0.061598534927225515,0.12869362215029628,0.03870646465103082,-0.005736842449104361,0.013050328039428719
VEGFC,-0.01909181067141986,-0.004290977908535352,-0.013820607035405084,-0.02055349929435011,0.052936435949296236,-0.05892286804428982,0.02792185617004573,0.06724159171995842,0.06254809274355608,0.026898569188679434
WNT6,,0.07190782051517709,-0.009235187745552086,0.05178840338587166,,,,0.058911998492773544,,-0.016529255075350795
NRG4,,0.022068798669824807,0.12231114838619857,0.02711863676532736,0.13536583854624684,,-0.051616848143985636,,0.04268099021152098,-0.024857464393888327
PMCH,,,,,,,,,,0.07839051605714226
COL9A1,-0.024521410258710075,0.05389935485683462,0.021277978904777586,-0.02936200067404896,0.08707408654695142,0.02961788745045498,0.044286301070514976,0.018192172764337662,-0.029519490146862844,0.009523083891362461
GDF11,-0.0055560064479721226,0.02477726054245192,0.02518816602054015,0.050956773177052196,0.08210597599322636,-0.02544969827465254,-0.06033090324804958,0.020707225454717496,-0.019289849538929805,0.035254569624469094
IL24,,,,,,,,,,-0.027789818266351282
SORBS1,0.0060247983709089585,0.08273641047728253,-0.009243741245871922,0.03452383822833289,-0.12016680878912121,-0.03760119865273627,0.008935394771815566,-0.0811976041824373,-0.008543995797191516,0.012498294854175777
DLL1,-0.020291091381937836,0.006721679457004126,0.02245431684892621,0.03407437750633656,-0.004099124195623967,0.09072183454372695,-0.008785148985852977,0.06698715077097303,0.008657855884050837,0.004986947592401055
TLN1,-0.009638895631250291,-0.08318395894150532,-0.019814248808583054,-0.016428153877022594,-0.2367363140190092,-0.0517401238574533,0.0004205799767461656,0.028081823474331354,-0.005079441341214842,-0.016999812043550867
COL2A1,0.00799552364048069,0.06575990985013323,-0.015823073454946462,-0.027663954543650813,,,,,,-0.02239524120731418
SHH,,,-0.04011256176731514,-0.021747229617568406,,0.1593737371587475,,,0.10159553280780065,-0.021426194802495496
PON2,-0.08368954341344248,0.026685973005489513,0.041154940965883034,-0.04894580550025605,-0.09966635067611886,0.05288757341102333,0.01693136427285356,-0.0065325801826744585,0.05042484000216889,-0.006695721618720705
ICAM5,,0.035992356274874404,0.049285787285588835,0.0554854741834557,0.18599691572613625,,,,,-0.0468414738111141
HPX,-0.020368742060915063,-0.027096619672024085,0.06180877005605877,0.02921762994193649,,0.06726670296677521,-0.007200143313167335,0.031893417776172724,0.05316916170560698,-0.025964344016547233
SFRP2,,-0.03345234530791821,,0.08703306643980305,-0.0720851035308856,-0.03213719999861085,,0.05884999047963825,0.038943986766579716,0.03237721992780356
CFC1,,,,,0.021098551147941985,,,,,0.0013231548717569876
CD70,,,,,,,-0.05601926644974621,,,0.04136948299156032
HP,0.12622196872641933,0.025785523266214975,0.03168421734718022,0.004276484245223895,-0.0753548516491224,-0.03782142338025571,0.14027252504872306,-0.031035262308036483,0.005859503572274016,0.015151322785076566
CXCL2,-0.0021775732777709078,0.0360327149612389,0.0525028708018231,-0.014926427492860753,-0.04150962540437816,0.0068586510587893956,-0.032124464187243525,,0.12699758241324505,0.03276654827102567
CCK,-0.016586884903683975,0.06841948813073513,0.09651133659186772,0.03330945411393351,0.30114823358416726,0.006599877139644968,,-0.005437603410071975,-0.019631164806331147,-0.021315647767004817
SEMA6A,0.01649268690583344,0.025677010729996057,0.05471368389831019,-0.03891598540331913,-0.11238964884796289,-0.0007964558046965126,-0.12931327874769297,-0.05973695854307809,0.023846691676977103,-0.010292223620146215
IRAK4,-0.041059096109723164,-0.03210578079034074,0.05116980164052344,-0.012822218286941502,0.04266234136979076,-0.03298513144953883,-0.0008765041977816623,0.11263409404427138,0.043364341955690465,-0.0506891376143986
GSTP1,-0.058786996105168444,0.03877233488060935,0.008203624924438425,0.00701861603102593,-0.2110477032060784,-0.07278861277569312,0.05426708032534437,0.05054636042324972,0.0584490665229211,-0.026867047042236216
VCAM1,-0.0028290340647862426,0.04747499377330759,-0.028411787578483658,0.020436353996914132,-0.05330296911208014,0.006261480886937014,0.032380499340970106,0.015973016218610425,-0.01436872821722431,-0.05773344103669063
NXPH3,-0.023853346681458814,-0.011249451238044524,-0.007715706682831303,0.04119089083266735,0.059992136047942,0.01742556480687699,0.04937233560645491,-0.0546279168480342,0.0037464951024422533,0.03417313889697898
MTMR4,-0.027240807845711566,-0.0356884776117179,0.034225910302492606,0.0007138018094359331,0.1592959039626614,-0.060552692962415076,-0.039169729229113694,-0.01946830823808882,-0.01955572866916006,0.030491042560868747
LAMC2,,-0.02292363296621191,,,,,0.1303035932581647,,0.008832202118099134,-0.02393681365026548
IL10,0.0039592695980205485,0.07411643194701195,0.03221899993528385,0.0061766964552827965,-0.09100800396720375,-0.02166052513377069,-0.06481897918248722,-0.02054393762589579,0.04937425012867267,-0.04163994121156682
SEMA4D,0.005030129932697768,0.03464881650863873,0.009235977678207006,-0.08282210841883907,-0.18355762582355922,-0.04047717157860032,0.011710626179432504,0.02543082009740231,0.021348013637643787,0.02147901174108469
TRH,0.14290842321103686,-0.04473461413342757,-0.01557110392851078,-0.03563449455228756,-0.02588559462547394,0.0545114968125511,,,0.06269381319409653,-0.012325681387761658
SEMA6D,0.03179580001222678,0.026822263489377045,0.044220602179873475,0.010789904320995018,0.06152712520678678,-0.01500794095623989,0.007930620821444648,0.05637535015525888,0.03392016492307903,-0.04186078618622791
CEL,,,0.029330984584552987,,,,0.004159152803335975,-0.01682361162162698,0.039629000558120325,-0.02557321969908163
PDCD1LG2,0.017300075311798103,-0.02087864243314466,-0.02383276488484439,-0.01671301300330934,-0.1019779130964956,0.06732843850227983,0.04764754316878031,0.04068336914659132,-0.01911225019620656,0.02727809919562204
SPINT1,0.01417972968553198,-0.035492775524050016,0.07626869453189893,0.011256100605533122,-0.0171811447634894,0.031306016571357315,0.1360505756564078,-0.03558184039589444,0.061529741630278696,0.1727967427069189
CTHRC1,-0.03201269490068172,-0.05673605387749418,0.012349009997872987,0.01596638567014126,-0.032269287848393745,0.07840451554623044,0.06356352602105853,0.07457578904454729,0.1256926442005729,-0.03281820765712011
PODXL,-0.001528959653650647,0.03352822356536527,-0.013781908741658714,0.04583054024771901,0.0855034149679702,0.08682830736630308,0.11833555064363176,0.05230692487101128,-0.010962106942723671,0.009095280323579959
JAM3,0.06783981593990167,-0.02898399477445419,-0.003428099704143617,-0.06468568591610187,-0.30380849631454443,-0.03972268396361836,-0.05960764508810007,-0.004880570225613835,-0.05611783736066073,-0.015544234827141092
TGFB2,0.04705139832148886,0.03339436014224125,0.019694926981175327,0.028069521627393876,-0.015951862455666044,0.07388584612547791,-0.03211224564477272,0.02075369902464188,-0.0074108916207703875,-0.030085538207061883
COL18A1,-0.013863854462651507,0.04688443862174304,-0.0028492848317548227,0.041230242963568704,-0.13433925867351398,-0.04329406266984615,0.0901709230739938,0.013378738973918475,0.031616923611322484,0.00898316332552928
NODAL,0.007390458148072007,,0.02152098719331226,0.02645483670434325,,0.06970848968729837,0.0913314591189335,0.0016027610499361991,0.04222888588566923,-0.04986425057222164
INHBB,-0.03071562379063887,0.022672184013500605,0.019767765385174597,0.021963551724579266,-0.025832185927883385,0.025168664612692293,-0.005602186959632413,-0.06331116951756043,-0.010153078307060052,0.0043544857286048665
LCN1,,,,0.022412490606182892,,-0.04703407399379326,,,,0.012648445538541926
ARF4,0.0037152737978009788,-0.031002957846367425,-0.02384830011729937,-0.03916385917814123,-0.05165968954544386,-0.04033540243698397,-0.005123270038156209,-0.05977421880772862,0.011636694398050042,0.019231995096337686
CXCL14,0.11178736607937559,0.01186516198042671,0.05361728120463651,0.053322426278609086,0.10004586563862405,0.14042657389152843,0.10245788928894134,0.02283408701235921,-0.011760163169389295,0.002098050781793335
LIF,-0.023677485783892192,-0.023673709086025996,-0.007705395371613092,0.022581708314701847,-0.005781961466557241,0.014825024012195612,-0.05300607593038376,-0.029953600830311896,0.08394336610148494,-0.01044169156974139
IL17B,,0.16077173499590236,,0.03811043048400903,,-0.042662392935627985,-0.049287717575966616,,,-0.018982987786868834
MMP1,,,-0.01557110053171937,,,0.017122022816875696,,,,-0.04248247128814671
MATN1,,0.16802733039476314,,0.035658440484949414,,,-0.03407087182675668,,-0.02858862025125918,-0.01729938738876458
ADAM28,-0.024652042973256415,0.0506855782267231,0.02295366824526277,0.0007516056194097503,-0.16103997458505256,0.03527168457309305,0.03518210806385161,0.03462352552584957,0.030550601147394194,-0.06998687122814289
TCN2,0.02860620643079916,0.0008488239069316515,0.03253292474169936,0.03096766176139427,-0.1457994356462553,0.022863954919897327,-0.0016537560550030342,0.05012381368827561,0.03869896853723696,0.0029917140670056895
THPO,,,,0.02949169170082779,0.0875561294703354,,0.10214633525435095,0.20861338638834168,,0.19048372881314557
CUBN,-0.01906502329321522,-0.01737885002593775,-0.03910710313806682,-0.00364760786390861,-0.05460050543921783,-0.02493263377975292,-0.02138953845362555,-0.04970801711197023,0.02528639842042609,-0.03208624986831131
TIMP3,-0.04066297797048524,0.048220942226446545,0.0648456518492503,0.017579764587650523,0.038967353783606794,0.007492163566103533,-3.749356621001921e-05,-0.03417664811094823,0.011898887700204357,-0.012778650942761491
PIGF,-0.017110496122227856,0.040513034820979996,-0.03319647638274196,0.03388574063800216,0.059705581522735696,-0.005348556355421231,0.07919593057098875,-0.01601077802837845,0.014944777503231607,-0.04645687435316875
CRH,,,0.007301216173756271,-0.037331218785983555,0.09039455448365628,,,,-0.017592015484602364,-0.03788838887878771
BDNF,,0.01914546168239735,-0.03449680798869693,-0.01424123119605105,-0.05308020544518366,0.20301135464078715,,,0.008913695298836814,0.037502597454803964
CCL5,0.07820595274004176,-0.011550876869956254,0.00968794415394702,0.06125018079145778,-0.08102322473176748,0.09174240704634906,-0.03929531022310388,0.005578142978042796,0.028160951946254374,-0.03661364189758978
GAD1,-0.019796020087264637,0.06446446740087287,0.09706944771464575,0.028952934724139623,0.3509131039740903,-0.006495187168935078,-0.022278235276568234,-0.026814769452896733,0.0834937758064976,-0.06490098780945569
COL14A1,-0.03398327345426952,-0.0364393175969309,0.016603045888104264,0.010957116205943427,-0.1111223759514043,0.11659952302645427,-0.036637431404770486,0.030546769851335826,0.026973699050774597,0.024721059628615708
HLA-A,-0.004469132548023398,-0.017719263153865857,-0.06989595980894926,0.011221971428477131,-0.32686412145577753,0.02081514397754992,-0.005256118074400666,-0.0019298359016489265,0.004912920507001626,-0.004936201650473751
CD5L,0.05477642787527832,,,,0.022346812793860867,,,-0.021570689694170964,,
FGF18,,,0.011369730888265182,,,,,,,0.041115721123382756
ADM,-5.9185163106379704e-05,-0.016913335880856473,-0.08016002545045979,0.03182924272464059,-0.012912672770888882,0.082638432156881,-0.015110212181381259,-0.010687478598597802,0.11313024396644368,-0.016190996312889887
CCL15,,,,,,0.04977897051489953,,,,
GNAI2,-0.10715825870424954,-0.016313593668724015,-0.02975300496677293,-0.019304836226537184,-0.2130275322724409,-0.03427441278849251,0.04953782831875196,0.05663414936931722,0.013930685047409009,-0.06386258295069945
HDC,,,,-0.022678482158889943,,,0.027053609260484657,,,-0.01729937955403576
COL11A1,-0.0005484090352499135,,0.023137051350881815,0.03947684697599641,0.17584405136380124,0.09616507086788253,,0.032471693578847695,-0.008391911240332043,-0.00638425618613111
NUCB2,0.06641346241112887,-0.03553362648664247,-0.019823371397386425,0.020080360051751577,0.02447703145398589,0.019888358944668068,-0.020604121004209597,0.12478528349376768,-0.044629734930785876,0.010743444050795522
FGF16,,,,,,,,,,-0.017046289645216366
CXCL1,,-0.0372735661518052,0.009302179090764568,0.06353430290349502,-0.0382496303323321,0.12985590694245552,0.008436592575435924,,0.015392672209953088,0.021246797751522224
VCAN,-0.025210591135847255,0.05791279092765827,-0.021005707175820128,-0.000830665627704135,-0.027102521587893783,0.007935723836691748,0.003968976531444534,-0.013616230079946662,-0.032879052933124334,-0.017384639225557486
MMP7,,-0.06693535547012151,,0.0484669522152509,0.06942384615715377,0.112073518390132,,,,-0.04714617993208443
PTPN6,-0.0011076621575812808,-0.0084119504033989,-0.00851097833793409,-0.013303319028094366,-0.02102413177496517,0.07779329644150243,-0.01165273542816422,-0.018694941168033465,0.010503529049644324,-0.01344172491186934
PTGS2,0.012690556103434171,-0.06663327798260477,-0.03240923053669962,0.02307987125605723,-0.030580341649643197,-0.019845143948735853,0.12364197274015798,-0.03567314527119797,-0.03534281580738543,-0.025961461396548896
XCL1,-0.017119124889709028,,0.005945741770582705,,0.03226482866954121,,,,,-0.03078738052532304
CD58,0.04685376409035235,0.003975248679074457,0.02689567704730907,-0.025385230620627048,0.029033035087971646,0.044519765568357496,-0.011824877854941273,0.011041320820610026,0.05252230413632789,-0.005932435012362351
TNFSF14,-0.028004131591021622,-0.02357500651454477,-0.010582647883594672,-0.03692223871869663,-0.06413157958996703,0.0563204650029258,,0.11999344417916748,0.08668392517359762,0.0012739712698703889
CNTN4,,0.13377790542009868,0.09068088073113346,0.018946181123231612,0.322285809629851,-0.006283053813416357,,-0.038183065022165986,0.11098602170166011,0.011482160409833691
BTLA,,,0.06620987588064776,,,,,-0.04500895924722615,,
MFNG,0.014427733345899328,-0.031066002948695853,0.030461162766294545,0.03968300641840217,-0.06313892419438953,-0.009561215164644577,0.07363648781369656,0.06923760663270359,0.010002621386976931,-0.079477656690166
ICAM1,0.04320238937177805,-0.03339574505468971,-0.05117990578055557,0.0020149825259518648,-0.10086585089077563,0.09120212588119277,0.07062216599674447,-0.04127657916536049,0.08032564637518158,-0.03780783205465643
PROS1,-0.004817654846294408,0.022569273198373357,-0.07672538843957959,0.01201542486123335,-0.07324115865741214,0.1385943546084629,-0.05360838540069794,0.0046438069385899726,0.038543607459570146,0.009680665600815494
