,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
HMGB1,-0.07914924496046229,-0.14688352527301513,-0.2628459433681417,-0.10584348535467443,-0.06859108376291682,-0.16129350534837988,-0.054772744170766705,0.10528836291068366,0.15800364837021044,-0.011321837277772577,0.0062347226796810665,0.14600041906214684,-0.06069190630541817,-0.02882026291371432,-0.1903417653447511,0.1472704155294156,-0.11817339796130263,0.012392486988264487,0.03448543428029614,-0.001263255555567265,-0.06806456225859772,0.028756085502432242,0.06987557419572822,0.020882479142654974
ITGB3BP,0.028307679328206086,0.09265385092508971,0.007500246922424001,-0.01858692078238282,0.06122437927541112,0.053910676690051534,0.014628750126536099,0.15480774137875078,0.18447049304790936,0.01509843797109651,-1.1395995842119521e-05,0.05341989852159844,0.0547354364889731,-0.011822780893064032,0.09400657766193461,-0.10089346541925465,0.06830187902872845,0.022457706692886274,0.06517789157140569,0.06631337498932535,0.051768824476362656,0.0205273831567571,0.05684495083630306,0.09482649061959374
AANAT,,-0.0320514222605452,0.0005839370278714617,,,0.0814970154773228,0.0025545801039370364,,0.037356539353185295,0.004074605735057551,-0.027128814285263484,,0.06546687334239461,,0.036540877336114205,,-0.046537458540778745,0.07043358689580623,0.04790635352280674,0.05182657413456661,,,-0.032907702461989485,-0.005519145487090806
RELN,-0.00278102494610553,-0.025251036813141576,-0.0768991417441836,0.019790310876947503,0.03740381297978412,-0.035423546699981705,-0.016351522408453587,0.042874746159653525,-0.09567942489269934,-0.03044268024769232,-0.056839895413518624,,0.06322867537675957,,,0.1264020812706369,,,,0.026422929425086727,0.06681310291850176,0.04753131141094988,,-0.0245635397445428
IL15,0.00875269673523412,-0.004738007819124478,0.033908032594983546,-0.035483191154968896,,-0.006153857639114587,0.08617863413794756,-0.016328935897722434,0.06903046513334617,-0.023412702128285463,-0.02546302541166693,0.034304901041383166,-0.016152416982551918,0.024902818986940314,0.07428192216431413,-0.059571011793781346,0.12422734632417047,0.02222120356328666,0.010683678080727656,-0.07215692363915893,0.019146539807226446,-0.030559590568988906,-0.018881975006278067,0.0013140119069349298
UTS2,,,,,,,,,0.14443582539410424,,,,,0.1137592880492771,0.04010922578852793,,,0.013418444425602765,,,,,,
BSG,-0.06989807754598819,0.013478748709236217,-0.1850256710453721,0.00940242266932203,0.008574998726108948,0.06686467066899986,0.007364066755409278,0.0714756516814357,0.017989050112614185,0.16305481810081918,-0.07462875578958239,0.003893776573135672,0.12392738235708736,0.07318273878323706,0.20555502614879914,0.13462261901458142,0.16290266898091782,0.03766327551948715,0.13742200082950196,0.02928054735556265,0.015873833270189843,0.07191060398887812,0.08777097325180033,-0.046805917017309726
ADAMTS3,-0.037960087978481286,-0.02381128540905813,0.0028208842259210393,0.04249179981375003,,0.03391412808776149,-0.041583658281801224,-0.02630119197568135,0.250516033322006,-0.05351465185660432,0.030349972131616942,0.04042856619512933,-0.018690279735586887,0.15900416667209247,-0.31639590345316454,,0.033477708438850805,0.0030396556541682947,-0.030046635330167614,0.014950829661242818,0.021969871450255928,0.14153959436286365,0.033638584598249734,0.022813090145500012
CD34,-0.03807994874069295,-0.09334200392161904,-0.10149292804757498,-0.05417859341972397,-0.01485832031202223,0.012833498361781557,-0.07302224375216199,0.04719703355228612,0.1926430388806678,-0.05179103206332275,0.006996415008749928,0.09330502179952699,0.01837666504586938,0.05891910285183255,-0.21023950715154677,0.08101707144312695,0.08948741506854359,0.04510560169148949,0.04566079108175341,0.036731647552119454,-0.02094028961188998,-0.0038157642908615533,-0.061082647363702454,-0.03718039063242405
CCL23,,,,,,,,,0.07935979542458281,,,,,0.08169060748438293,,,,,,,,,,
PLAT,-0.08050769425435879,-0.11773952329291032,-0.16478376237978784,-0.04006607941098024,-0.008325625423682174,-0.1841061705603015,0.027809815398940767,0.11123095403319448,0.21574816224188909,0.1182021596137738,-0.0007252331374284412,0.025308004429062024,0.03237267922248073,0.11144948781782647,-0.3282325479563673,0.008747129029311632,0.1097408615430859,-0.09938411239061541,-0.26241799106662156,0.043704981561781965,-0.030020298848924376,0.045007238914968425,0.0019671385390132036,-0.05794942965397357
NTF3,,,,,,,,,,,,0.0012306870218008973,,,,,,-0.01457315275299558,-0.1171533516901516,,-0.014703206052905645,,,
LTA,,,,-0.020482546053619998,,-0.024723260781994747,,,,0.02521895573512851,,,0.12392100361352945,,,,,,,,,,-0.014076520680578476,
CKLF,-0.08887397223042015,-0.04138485655018091,-0.19517460501741338,-0.0034049124479293025,-0.0017520248096388248,-0.07019793864414453,0.029645051814990053,0.1406537217807184,0.2028549968033573,0.0017055396800602681,0.1612937077504815,0.09831789063041582,0.1391850215664151,0.150470504129283,-0.09871860576972101,0.00495468615790021,0.09215622164913978,-0.011099362627697628,0.0032905419408027336,-0.01853604414539851,0.01046378071204221,-0.05280818689245099,-0.03131278075754928,0.02849140390216844
APELA,,,,,,,,,,,,0.05020166045260795,,,,,,,,,,,,
CD24,-0.022078279412457998,-0.09928218307744298,-0.12996456509512624,-0.046088107859170564,-0.015020414516574718,0.10261244009434393,-0.09262145912925494,0.06543290095162729,0.0814292361905254,-0.1411055338163636,0.042415418012226334,0.058303951461551824,0.0028141086668329557,0.18096155873930456,-0.051095460342674634,-0.09510817343992482,0.16992560074453786,-0.08326733081465831,-0.14893006274929532,-0.03691951790036803,-0.05446680748687295,0.07326782798047755,0.05892955011861997,0.05043627316104059
HSP90AA1,0.0012535786383558178,0.18922030659976297,0.1178874449051493,-0.03679796724200444,0.01637669339857289,-0.07233968362350757,0.028246473204366296,-0.1538823149085341,-0.2742317826863319,-0.11320543309800994,-0.09955957415404403,-0.027601069792930238,-0.05641147479890795,0.006234412227542206,0.2633648129902029,-0.030930479713931654,-0.22373630864171543,0.13517942669793312,0.18981374071932997,0.07222067577779612,0.029374011806636322,-0.08598511188372171,0.05229858531134797,0.06474734239241785
BMP4,0.027563446881935027,-0.061007510135708924,-0.04452622547149477,-0.021712699503803477,0.012764265335153312,0.11377887446124428,0.00863689725439568,0.169249173408219,0.004939063589261679,-0.018414842680656924,0.024355627742817177,0.01762671933342784,-0.02509765049306241,0.13438048898610494,-0.057828301358276345,-0.11147530794685265,0.12998427046508304,0.022539377751049874,-0.028222050033120345,-0.037666957346711466,0.025424442202665157,,0.03562690164854168,-0.03595312598075084
SCGB3A1,,,-0.004631464734280462,,0.01644900772559659,,0.05749561200014003,-0.02084417547212376,,,0.04425581585938825,0.008075776562658673,0.018285800112419103,0.05069784771029947,-0.024919712055325293,0.07413956626178213,,-0.03794977829935281,0.04242901823247445,,-0.006580075868358873,,0.0071802370462607104,-0.005518814759747859
IGFBP4,-0.01657644126237149,-0.044879757137744496,-0.09330795627918237,-0.020443874562888077,0.02010166438436452,-0.010893622760186942,0.08863097542479609,0.08542636004994605,0.1966573065657349,0.0474628477242042,0.011470444092621549,0.0627955400230633,0.03683061121933013,0.05185273832465459,-0.20962275581736364,0.069377435508887,0.08191391682880725,-0.0350831384141738,0.006838865837389596,0.04927335323327215,0.023533632971017193,0.1950311214552613,-0.011302771173177174,-0.010817893588910051
RSPO4,,0.06167503625663362,,-0.0133722022740201,,-0.004261267854066039,-0.013550200236786323,,,0.017359995493150246,,,0.06863751275231278,,,-0.0006376992059943531,,,,,0.009016765082365605,,0.03859501782129545,0.03628457328944285
LEFTY2,-0.026198972513619242,-0.07056683889695746,0.07797780498883804,-0.020734102882806454,-0.09309172112251139,-0.039538237395339765,-0.03163440096596584,0.07899414190187376,0.2250639376627292,-0.022313252523242504,-0.009494522034974587,0.001365054189905884,0.009355823801722543,0.09403407987288713,-0.20431463611408282,,0.12048959755455192,-0.039102831403530235,0.006529063717463462,0.04051122020851262,-0.0526130112543557,0.03525749776930039,0.07646139483926374,0.0072882494410917075
PF4,,,0.07068500934749039,0.050293517207497966,,0.06487130015421264,,,,,,,,,,,,,-0.05644253714503918,,,,-0.025910196792391055,-0.04909382448989165
ANGPTL2,-0.0010648170702120417,0.04000361334003188,-0.11273501880318594,-0.03741378382872193,-0.012430314975395545,-0.1274554374460321,0.06819835646305412,0.17528817883571304,0.17787815754447175,-0.021821737576404276,0.08765457180896974,-0.05603181907879164,0.12822978762045112,0.17642169675072114,-0.1257311900977962,0.17576699338923235,0.06308485414814471,-0.0894441601522425,-0.19592268750385705,-0.05731033318728614,-0.03750854438187279,0.16270160873466702,0.06365345352203498,0.05260459586815745
LRIG2,0.04159426287643728,-0.04664958890968018,0.030880256649277158,0.005608165228597585,0.09794823244398337,0.035916481912310255,-0.05121061030334266,0.02025501224541087,0.1383829019562582,0.026655632302511986,-0.04313166510668094,0.026975101634459514,0.04847338185625956,-0.017657650669696646,0.0910732708201266,-0.0114136714709383,0.09193897141393118,-0.04973283260144377,-0.013468979660568202,0.013756102278298184,-0.017053738665319132,-0.016075308689636716,0.011972368940969038,-0.03953190749264669
ICOSLG,-0.021149222418256404,0.05544756491345347,0.02932605402541193,0.013672764874673123,0.0028291144502156675,0.03757970898272024,0.1304164372154336,0.09456217997104058,0.10324447742798343,0.018052883448946396,0.04280681386578052,0.019531497786302948,0.0781684997184731,0.1256845516876419,0.1275939911007764,0.07641774216139653,-0.016389209803894314,0.06916222446344698,-0.029637182563120174,-0.08092483137014402,-0.058839831044374534,0.036705592744098646,0.02819498341285119,0.05181951317692721
WIF1,,-0.08037987461563807,0.015024735523949131,,-0.015630963671311966,,0.01393178987581304,-0.1286457542536496,-0.15789451160615842,-0.028250474201247888,-0.03616871662538174,,-0.06219369810486102,,,,,,,,-0.014556600046832026,-0.0310970313436563,,0.037717891436852315
NPPC,0.041701941898105756,-0.03049873646448097,0.011842452570527896,,0.07779787032404077,0.005557763163820078,-0.0028733714415297724,-0.0309343369319099,0.0018058046756601223,-0.044446157116023025,-0.06367966901747295,,0.12182915320519082,-0.0733361560992339,0.1506146016374212,-0.06697746707883513,-0.0591613472233379,0.020830293327047365,-0.02006704506258046,0.0077809703085571676,0.050378200143548546,-0.053080054224663296,,0.04849651682946297
LYZ,0.019579038243472662,0.1561859971273697,0.08369116518348933,-0.03366533199566062,-0.025461429560155083,0.058781259092162697,0.14885628358797354,0.05045802449685532,0.24243690409214774,-0.03249505490450126,0.14698975817663731,0.04339226395136089,0.07064936874233396,0.14770793644275487,0.10000466080910819,0.006669226599878317,0.0821533213958748,-0.04459368340307854,-0.059837811412894105,-0.030560663492344597,0.06558064145066332,0.005016381475316316,0.00776208249491214,0.09031790050569767
EREG,,,,,0.10418990397910313,,0.18141930086438066,,,,0.028123717534857578,-0.009823139627193408,,,,,,0.006103881528195866,0.05900823238226792,,-0.029785500425698688,,0.01777828507560261,-0.01601551115456754
SPTAN1,0.0010876981396486366,-0.08396128060660558,-0.21815734112750917,-0.012290618351327888,-0.0389535807608955,-0.24552915595914324,-0.04254843715767649,-0.06727512683514449,-0.07242196766209108,-0.1034859995908458,-0.1365790725411172,0.03560735606488375,-0.09697820064315334,0.05750975531254661,-0.16259821011916661,-0.10589302176947252,0.10600185954974942,-0.11421579459399013,-0.17394718585910218,0.021077341453214656,-0.06666014530705798,-0.025577543484597728,-0.015945797330831304,-0.012933615265202487
PTH2,,,,,,,,,,,,,,,,,,,,,-0.012080924091393585,,,
LIPC,0.02307578700959951,-0.11579663808387122,-0.0037939638937017155,-0.028041643316033402,,0.025990100229029436,-0.0069377978552213814,-0.025321992619753042,0.10253741889070381,-0.04265975130924774,0.010969440686411718,0.007416434910956201,-0.0334413752158302,0.0031707631325066828,0.11543867496251496,-0.057214854733989455,0.08394723509497846,,,-0.07457599373088837,,,0.0047473712085535245,0.04202211919345641
COL8A1,-0.028534239908878684,-0.06345703204276881,0.032630311666790965,0.07533113328054415,-0.06432178589033401,-0.018568547054648537,-0.021896502611749556,0.038908180395025235,0.10840040833499433,0.10817009604583881,0.1329881359125097,-0.030227744310919298,0.06265326082990837,0.17311123772176656,-0.13144301805096933,-0.008394617392725519,0.06595663392810341,-0.03969932627209874,-0.005464693148114958,0.0742295944079556,-0.10358481052142962,-0.0057570381447230356,-0.021396232807229913,-0.06971831750588428
GSTM2,-0.0394376518601909,-0.036540707748010326,-0.053221618744102146,-0.00014418758746811164,0.051205833715363774,-0.04101117930708885,0.016777566777584726,-0.013808314035382891,0.023177416035993565,0.022073772243527048,-0.011275139295387213,-0.0324109637116051,0.03277877130313597,0.07011842878515538,-0.07657376787839763,-0.05886331592717406,-0.010691950725907512,0.024612677242620246,-0.054050982517192425,-0.0612238558263397,-0.004348813211501445,0.0012309441917266438,-0.04304145894513992,-0.03849531371718547
IL4,,,,,,,,,,,,,,,-0.05934124324799365,,,,,,,,,
