,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
CCL7,,,-0.015778082244825214,-0.01788470319390577,,,,,,,,-0.01203155940513082,,,,,-0.022726322907046716,-0.010926739953465556,
NGF,,0.03654048672155684,0.01051686555044396,-0.013499591437999302,0.05884298526869089,,0.038055121641709884,,,0.02021939044542318,-0.03161497445792893,0.026172862895634665,0.09488738668459068,,-0.016507169764683215,,0.06765817534610095,-0.00841279070221346,
TNFSF15,,-0.02532287998996805,,-0.0022003525450764996,0.024149484245654315,,,-0.044931698156683686,,0.058396744291913334,-0.0007819810178253961,0.04443877740251032,,,0.03192997436627847,,0.04707579598102215,0.07362755804332849,
HMGB1,-0.03353294669312125,0.056211797921523844,0.046368949783577786,0.04275384506398721,0.043420072849752085,0.10820624198019446,0.007240324246740263,0.06330651072399306,-0.10422777466252993,-0.04646260924498729,-0.005233461011152105,-0.0005025539439214807,0.017032762160870376,-0.010173902333141574,-0.06068975731825922,0.0639762032845886,-0.05111873361007509,0.045868495299195435,-0.02038448337121854
ITGB3BP,0.02261541887313474,0.05284885103755856,0.014050999818212472,0.01564845439583986,0.01295793174165623,0.12242854865902492,-0.0027829128814533858,0.14013869871656812,0.01635836192012394,0.1080882307406586,0.040969516070811375,0.0809506456159349,-0.03317724624315991,0.0502056105866113,-0.010846105004218981,-0.1642691854909117,0.02234478457757183,0.016265702717056452,0.01659781522349253
AANAT,,-0.0366876957058032,0.006440717647175589,-0.009969238663234278,,-0.017320171469200306,-0.017785699500937446,,0.07305107674210681,,-0.0331694246747029,-0.04262894757079499,-0.04093401495039531,-0.03205064184350661,,,-0.014992087536894783,0.03067806473017418,
RELN,-0.01500057279847963,0.08387404350661083,0.004743338354327281,0.050610685569300685,2.5232548035760983e-05,-0.050822817468434006,0.003957653956393747,,,0.05784556465225014,,,,0.012612188145359604,0.026080707856264394,0.08189334993884147,,-0.00906104556411463,-0.015408563731124338
IL15,-0.010846309369510448,0.030516664003419153,-0.015282993594216168,0.016914790206668515,0.005798318128813552,-0.008661998447456278,-0.0070772861447845415,-0.0464769194023387,-0.07850383123228065,0.04972275339089638,-0.02844616649280292,0.04029999600062358,0.032565493164760616,-0.04550341009055531,-0.027900897764471293,0.02521838090691114,0.12547533075542486,-0.030430979222323778,
UTS2,,,,,,0.11408941920373836,,0.06259457431206089,0.023953433056378544,,,0.012496310525339687,,,,,,,
BSG,0.02524654640169896,0.014554804808518717,0.003908447486330743,0.06361150775996742,0.014971598091090691,0.002283424745359065,0.07493011201404998,0.03383066764188735,0.02846699269793523,-0.06627959359608059,0.08081067760888694,0.020017055841828335,-0.020622027462689263,0.04696272235258184,0.11790098228773822,-0.02780604415432227,0.006001864961021698,0.08881511902931162,-0.024886368147751338
ADAMTS3,-0.015104753442666286,-0.030956636468481905,0.08884343984859729,0.052593931759058424,-0.012938225052313745,0.10619683164433154,0.009018838174147354,-0.0439170955038601,0.008239537777063141,,0.04784236691127899,0.0645221415081938,0.13073874040303166,-0.011633455832903431,-0.04119847196385593,0.11093590362863825,0.050085869724425476,0.00219508652407564,
CD34,-0.045998698349187205,-0.0807440645466221,0.04353392720173401,0.02399036699217597,-0.0006815903617269511,0.03392687145682664,0.0026323332673900144,-0.03666481279725475,0.08231738184287735,0.028619360942022307,0.0523516945818043,0.04889972868092109,0.06135956232882744,0.03778786102327604,0.00964461226632599,-0.00837221975426775,0.12330295999681609,0.10213044148477228,-0.025402118089593428
CCL23,,,,,,-9.93392400945363e-05,,0.02843417631605389,,,,,,,,,,,
PLAT,0.041748639300463776,0.051877838846252855,0.03118034217139416,0.02226311812896398,-0.03078818961515539,0.10040314334768845,0.02794804167396791,0.007420391143534694,0.01088735013025599,0.032932549448595284,0.06531111954895948,0.007252688842630661,0.09650072785401967,0.03528883467154338,0.007710204518435338,-0.04037254460912218,0.12174165063504473,0.09199077710133154,0.03771488323597579
NTF3,,,,,,,,,,,,0.01127859117786138,0.09825307234662209,,-0.008262213135540463,,,,
LTA,,,,,,,,,,,,,,,,,0.0516736454000765,,
CKLF,0.08948956108697748,0.0473486537647495,0.061065551268100454,0.06608561567175861,-0.026535509638917223,0.10969480930969476,0.01947210957261037,0.026786433624347506,0.017169116865546872,0.01193451755573289,-0.032348105866130704,0.1039817685653184,0.06734475152449618,-0.046319606113291986,-0.03563329931992632,0.004278707030914624,0.018281639043011073,0.05814741938159449,0.0012856979509280404
CD24,-0.003598288933981654,-0.007366706676512198,0.0171881349221881,0.005382204094634563,-0.1132316634096058,0.03227650879536499,0.00533553777672289,-0.01834677392143529,-0.007520254239054114,0.02860585477893281,-0.0013480164071095434,0.05599186949172199,0.09526807527434629,-0.022836569871349566,-0.043458093825473526,0.06242751701331012,-0.03923967125241025,0.0008022481329906341,-0.007110155723121612
HSP90AA1,0.04615827342691551,0.08841581386193179,0.007703667198927033,-0.03807901465896269,0.017782798998248778,-0.09970014230339763,0.04533817892830324,-0.023982771180441127,-0.061238184936817056,-0.07998554095520698,-0.09519178396395024,-0.15200827137374248,-0.14036166287548418,-0.036295188490468734,0.06348785396878892,0.024751965739870808,-0.059237920657741264,-0.07109040586070621,-0.015787023343715335
BMP4,0.07574893247804096,-0.01759652833378841,0.009874980260960196,-0.010591676834448699,-0.040069483563586555,0.005658105563695195,0.08451186310482083,-0.011803805672526462,0.037640643831816575,0.08541607112908438,0.05110274664544435,0.033391709366735654,0.0671930221427221,0.03607101038528588,0.039722057849602505,,0.10113119704488441,-0.05204719094132838,
SCGB3A1,,,-0.015778080667038074,-0.02996502066389842,0.014560080957950805,,-0.03130780841407727,-0.0070755652568567,0.006185423129337647,0.06642333769273587,,0.10099099624836488,0.03263926464696604,,-0.024440456702858847,,0.02624412217982159,-0.011540508810923887,
IGFBP4,-0.06982300971279358,0.05698463741558529,0.03714146992264781,-0.023749091106970006,0.04293462657440812,0.0889030256419208,0.00824357515094326,-0.10117517363279022,0.05217488257739352,0.000518808484347756,0.07998483373790932,0.010438186853992427,-0.035896605451883556,0.03158356689478699,0.08959052907555023,0.05551235298978783,0.13418532549517095,-0.008811228812231202,0.05461407361930126
RSPO4,,-0.02500515228521867,,-0.023205980154899886,,,,,,-0.06672430550085762,,,,,-0.009199373197403707,,-0.04922603274392756,-0.03663488401090663,
LEFTY2,-0.02396918567607482,0.0019004486951932147,0.08315946343921929,0.08850627583546694,-0.007394240775988457,0.16781666294281433,-0.018917997130907603,-0.057502949447822936,0.13749953165667758,,0.02453448001200092,0.027643867943984792,0.02779009891352722,0.06745320388589726,0.004755546659643703,0.1213224022365628,0.04407820726909149,-0.00044594938560053594,
PF4,,,-0.016367225939632902,,,,,,,,,,-0.03777046645123461,,,,-0.016469087098288458,-0.03699314775151099,
ANGPTL2,0.004576276937849214,-0.03310126214752805,0.009543508004378747,0.06310761070119249,-0.012303653242897599,0.07335802883406373,-0.050421878538878875,-0.11643963137481891,0.026868226573208958,0.024275333128176032,0.04584228718664837,0.11978053743681588,0.07541277059175697,0.024703230979868478,-0.02940904625326494,0.01070562718267933,0.0816875084006682,0.03997831604724177,0.051162688798461815
LRIG2,-0.010716864746142406,-0.018486005704009423,0.05093505139324173,0.04542215706168645,-0.03482066318141081,0.0330844904534812,0.013079729568240663,0.0037306454760890053,0.00584249043370944,0.019789129996414613,0.03159732190230669,0.06709382558762654,0.0919156513667827,0.07384591468060872,0.01052799021155928,-0.012592376889450916,0.06406418320750554,0.04240140147222254,0.004944379927270833
ICOSLG,-0.021638769396589253,-0.06968554054904316,0.011392838725227646,0.09981571005056412,-0.022557877646464265,0.05843012104308113,-0.022592828521095586,-0.0009415534624721954,0.0660252588277796,0.06641240408012504,0.010167355995970096,0.01965093360243227,0.023000485420532846,0.03276991658650213,-0.019136306519160623,0.04148950604140325,0.06440709751730017,0.022896563822252403,0.015587546957953812
WIF1,,0.06528290717306269,-0.029450166459734254,-0.01706904638067712,0.06284576898965477,-0.08268739220729376,0.023845636701566253,,,,,,,,-0.01506079014423316,0.09093689004889918,,-0.05149793169456571,-0.0298334091508603
NPPC,-0.021714506547576593,-0.025142571427095126,0.01647497991579917,-0.042628970920055166,0.019129736372132885,0.00246618255206378,-0.02237742385267856,0.0037297903755070657,-0.01206377564263942,-0.027270541840610927,0.032290215042342814,-0.039809462233398644,-0.01539725002573366,-0.05588444884479447,0.028394651286970274,-0.010067046864194453,,-0.029692017241281683,0.1085781304426514
LYZ,-0.00860194084706524,-0.018474537167295718,-0.014117564790017476,-0.04303953255655209,-0.021150588024123115,0.04162106170914235,-0.04319023721875031,-0.017236848339368466,0.061223138707169965,0.08180709673334505,0.10155691255580894,-0.03248966403346017,0.08107916419279211,-0.004765900122639698,-0.003427544959243371,0.10684985972687375,0.12841895152269553,0.028717365329483203,-0.04462345736479091
EREG,,,,-0.048668604122587444,,,-0.019461090483197916,,,,,0.013951772037396492,-0.016389016641007857,,0.01172281438385558,,0.04468432412226427,-0.016675519058920386,
SPTAN1,0.03423067237013294,-0.020327974041264407,0.0214723283576537,0.044576299247543645,0.007198645420897452,-0.03467810603537013,0.007450482229850217,-0.041608231789843984,0.05550020020192195,-0.022027910284435376,0.016478625246566115,0.04453532698349668,0.08300786641817204,0.056239971920293966,-0.07311801467615964,0.07301125255764515,-0.012310382531808193,-0.03766318378081549,-0.08088686745157275
PTH2,,,,,,,,,,,,,,,0.05085102028170355,,,,
LIPC,0.0020402377542593337,-0.029268852131992394,0.049939945705504384,0.01167001756375484,0.060928163385199255,-0.018362520246441014,0.04306997875494746,-0.03972256813453745,-0.030100874394725953,0.07621640912488349,0.15843594507374012,,,0.02622452115491138,,,0.07725782965015775,0.04783878719859759,
COL8A1,-0.007273226076437396,-0.029992934410103173,-0.016623274544608872,0.0814764776775491,-0.05197887221884186,0.02725097787777762,-0.035434625251894156,-0.08867593304268542,-0.015297500319578546,-0.05640216584353035,0.011709778220140707,0.03407415658616854,0.061357213694638355,0.08261916778048159,0.02871896905598306,0.04525702691346439,-0.01573449402506285,0.007080321712841065,
GSTM2,-0.06699312639858751,-0.0687458226602751,0.04484700579577211,0.028461736403302882,-0.013945562116739918,0.03551899912277731,-0.030953104175860693,0.03173799120238934,0.14819008978430023,-0.00021634010568768523,-0.09992373275279788,-0.0012968586084046614,0.06398381896504635,-0.014782491039204166,0.051966267069887086,-0.03226972895048986,0.0472578822271235,0.1043738493795686,
IL4,,,,,,,,,0.17980266564489536,,,,,,,,,,
SPX,-0.045641302766577754,0.06478498209303879,-0.011161164391642941,0.01371088619739944,0.018151731595454256,-0.027383311732159597,0.04235248894589946,-0.034880594015160235,,,-0.03665494799251862,0.019285044394018555,0.0590158735366066,-0.0444630756649984,-0.03470490893479211,-0.04773211969063898,0.0384899996302456,-0.06131990480837413,-0.03805718707393415
MFGE8,0.015263112538260527,-0.09116321339512962,0.015546774191503281,-0.01611726526741488,-0.01963036247832922,0.030791235288112475,0.09393298902575592,-0.04478684677081224,0.15381751937934457,0.013927936025866918,0.003921635505321432,-0.029679312033450603,-0.0040370888672886,0.09324320810953418,0.045234354817300024,-0.022677791516323167,0.10979510312516297,0.012575340282785992,0.07317806642703877
TGFA,-0.013118364450662471,0.0005601050163904261,-0.0005374175763758045,0.05892757123073645,0.010199720741875851,0.08329593588395638,-0.0767708025950776,0.08926720390520614,0.03577495309874175,-0.02544872798914571,-0.010522965931923929,0.06515337200694592,0.13239698605859945,-0.05591926724878081,0.008028257877814277,-0.0056830171203567014,0.11410600932822085,0.0467847373332786,0.05035995165126054
SLIT2,-0.013366532164837752,-0.05067463021833839,-0.060688302587025435,0.005610052165010288,0.036529316323929605,-0.023691632763581008,0.08024136052146648,-0.04913740876751847,-0.057431406259671997,0.010649881097130566,-0.013630920981696777,0.030083662631947,0.05357994185425456,0.02138005241276243,0.024875960706196822,-0.02889165893571352,-0.023942977840531177,0.0004776598605206256,0.03522583904945823
PLTP,0.023674120377220668,0.0066720299514623415,-0.03670891338748273,0.05947302228734602,-0.025341652704106748,0.08876316306800458,-0.03617457662203928,0.025804161110010278,0.015200776006614678,0.025165244340847867,0.061208172849818596,0.04263129653959016,-0.017558482872901567,0.07405797766087767,-0.0065223833605137435,-0.04731986541510327,0.06838471630068942,0.04292541607048766,0.050963575436286795
APOD,-0.022060133819250052,0.09139745858378423,0.06651000050176438,0.09486707445547407,-0.028239881071462726,0.04090074966888494,0.0054350904873822796,-0.0650645509016918,0.0528941864482546,-0.01969687038820941,-0.07157244750511822,0.14016318259368651,0.1561506231600837,-0.05449093454437618,0.05358723335907916,0.04360680482016631,-0.048606034162614734,-0.051312279728235065,0.007310589939881049
B2M,-0.061331065306862866,-0.02857116432953194,0.038520192542248116,-0.022661467312153512,-0.006770975160811586,0.11356682918454454,-0.04120807299961752,-0.06880622514304066,0.07279770642525618,0.03388092102366728,0.07689411319963839,0.047708317801667524,0.08113346744711228,0.05022518678248677,0.013060158413146783,0.034612637355583134,0.07018424554461643,0.06573407566891991,-0.009716658238648018
OMG,-0.02015969337457124,0.0026699346575540417,0.05813593240855223,0.06009814309816875,0.04498956381999824,-0.027341946172875456,0.03146212752897711,-0.02582887664825811,-0.037521905740214904,-0.007898638360107962,-0.04984921147448224,0.09150164962757565,0.15199766474902443,-0.05227036753650678,-0.035964901379334786,0.04249224789987692,0.06825374682203145,-0.04284922390808871,0.022566482269814184
CXCL3,-0.030038695917481716,-0.0651297335095854,-0.004304866220077379,0.0362488833878822,,-0.022740557190134722,-0.007028122670050847,-0.038606357240889226,-0.049310187987951316,,,0.0037778453745008155,-0.05328087201658558,-0.014891589619873824,0.01861951785535672,0.030460045579852258,-0.03703632043870379,-0.0149986676650396,
CXCL10,-0.028334992809130953,0.03689901849517822,0.061567008773215866,0.07213002820319221,-0.0054953618124604945,0.06175415707208261,-0.00966556877156121,-0.06058879068392262,-0.0502672561347865,-0.059200309391515944,0.01207315845540575,0.04125636371470741,-0.0419106452294081,0.026334197146092704,-0.00803033790227727,,0.05555573808569153,-0.03935432743094701,
RSPO3,,,-0.02143251782238613,-0.03348347230050573,0.04008938253274314,-0.02844063994371073,-0.0169817310276457,,,,,0.05427882604297965,0.0635121657789211,,0.033111562500185224,0.006680623192225377,0.04737524265156391,-0.02494448209260098,-0.044602850125317735
CORT,0.028861106147966106,-0.028035181330514365,0.06630915537916295,0.11582788332123252,0.004149860628679071,-0.04118723203688533,0.09511413697138571,,,,,0.0012508830754253597,0.06640063433470848,,0.014533706757172818,-0.10886890880592429,,,-0.05176513320202892
NCAN,-0.023243136419932184,0.08077158968040185,0.025906886678868257,0.05629480630107489,-0.022189962104232692,0.07318854622733667,-0.0059344369810578395,-0.05744421593663899,-0.0167114448153047,-0.07732107746668852,0.06883308087783904,0.057132660431069,0.1388416350663848,0.044667755086481326,-0.018781137979167525,0.051423592651476384,0.03360630328229928,-0.03319463418293113,0.0010049448977302213
PRG4,,-0.022150548403027763,-0.023728351390607774,0.040042689290995186,,0.038584338692515444,,,,,,0.001215820753859351,-0.03041103662017023,,0.07240513786205684,,-0.026877759834838325,0.01783628912680969,
ZG16B,,,0.010305124807293408,,,-0.026599947369600422,,,,,0.07550700795664288,,,,,,0.012203284374799875,0.08433563514599347,
TGM2,0.01597719320171789,-0.042308093974064306,0.05646575685777637,-0.07507133094920228,-0.00037282950120261644,0.038981067081499884,0.04955615299739252,0.019434959209664728,0.05343829366828652,-0.03493825220145989,0.009389870920083946,0.053679676452269676,-0.03540964969163913,-0.03382830265898312,0.04524796829994343,-0.05672519254708734,0.07513206785603914,-0.03277313147387875,0.06869310602877474
VEGFC,0.06613511944530463,0.05645414566717492,0.03984324130510117,-0.03690400095614472,0.04625160473651355,0.04867673160050321,-0.021990947509874858,-0.051271610773879914,0.1830140474459012,-0.07478986141669348,0.09928697269705695,0.04374077880344331,-0.025490077342791493,0.02582256947416288,-0.015268641016456232,,0.0701059257960945,0.05527698732265443,
WNT6,,-0.01738932584673682,0.05363117864773334,0.00016057344144919275,0.026471051408851823,-0.007906671918859512,,,0.08778568087690528,,-0.035066508256537315,0.02277940136232276,0.0401859047931357,,0.009079187520268674,,0.06104608458230161,-0.0326098627286401,
NRG4,,-0.02594772651815435,-0.014532167677064415,-0.012075428309568623,-0.020706999567911874,0.008005601212066433,0.04127715467443866,,,-0.053253898260386644,,,,-0.043935190723762015,-0.019237309864351362,,0.04996049925335076,-0.03832258616194078,
PMCH,,,-0.01674910530989069,,,,,,,,,-0.02132761192092618,0.030465854051132044,,0.007507472779894525,,0.06869688509232114,0.011803089790225,
