,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
TG,-0.04602345762038862,-0.04141909012732476,-0.0034243885928136103,,0.014201095538543939,-0.021901520163732018,-0.01394582526681146,,0.022811242423475278,-0.01745810068496758,-0.03466625180762093,0.1037752383756708,-0.04423366293520453,0.011113741162071247,0.10315259465422763,0.11615004876344229,,-0.03126819083871215,0.021704136389606526,-0.034014193138910534
ADA,-0.01964831491530489,0.03799276689304776,-0.035509011247497876,-0.05874423275171702,0.000561629399004717,0.08912095020879783,0.0032219206337031243,0.1218502590950901,0.18520787808807185,-0.022141045107983665,0.08875818909736923,-0.015443918569947292,-0.006063476567910421,0.13877457672935534,0.04354263416855971,0.047381026758874095,-0.0213351062404727,0.003497995577296788,0.23267270695791162,0.054325076855117116
LAMC3,0.027032530157256388,0.11959300313839409,0.06448898329820266,-0.02650785587318524,0.033401555487805476,0.08645676865581543,-0.012928050916759986,0.0015511097576811552,0.12060046880908644,-0.036778815704943534,0.07550535704844298,-0.10743715382624178,0.05909759543424255,0.1504515374398648,-0.004383854179873414,0.01887284305026653,0.02269067490901685,0.05123858864308724,0.1774266074071327,0.01567553088149099
CCL7,,-0.03521219415441193,,,-0.017411655783611295,,,,,,,,,,0.02292564357634829,,,,-0.021217198514519534,0.05617199974253223
NGF,0.04687476492573394,-0.0030740321034757575,,,0.026170857604554097,,,-0.01891800365294418,0.24124942682635514,,,,0.018738918272263157,-0.029669006372773296,-0.008411376033649573,0.07814072450565329,,-0.023374965029799324,0.1861384352230111,-0.030606823329740015
TNFSF15,-0.07381438424875793,,,,-0.019388730308226784,,,,-0.0018412404591169255,,0.016480240616967057,,0.028864197916178534,-0.0299631879668372,0.00419798316996513,,,0.10328267186822608,0.09378227767961322,0.053344348867111396
HMGB1,-0.011535140944927755,0.04208719086816393,0.040423387701254906,-0.04940791361504149,-0.02956392644191912,0.07105011687987456,-0.008431442543089638,-0.036235062783528435,0.15738014708982262,-0.03309159593365031,-0.07162877466629071,-0.15918794978267164,-0.02606110783471258,0.025579684151001182,-0.05815772968219582,-0.06753758119662609,-0.05100712327220128,0.05172507426912955,-0.0782727502791266,0.015072121561626935
ITGB3BP,0.0997517895967529,0.019208921675589085,-0.023606154289358076,-0.04888336069470692,4.875028254688298e-05,0.06897117723156364,0.002536912973052372,-0.04617476473720262,0.045549041696727285,-0.007008463871011105,-0.019380065357085877,-0.017420935026193244,0.06999428045149197,0.07868041618766926,-0.03987786753792451,-0.04941203919742966,0.018842297134878432,-0.02032561109679964,0.03096361612210408,0.04781629470155358
AANAT,-0.040706283695443206,0.018035265881788304,,,-0.017641763509763358,0.07716219484363893,-0.012541562162100086,-0.017785705632611,,-0.015589994933033199,,-0.007400211244940078,,-0.020794213298016388,0.09993897706619717,0.01847051873620208,0.032547739910894526,,0.022805761113443415,-0.023234796487191504
RELN,-0.04462729738162979,-0.0003854128565835481,-0.04477055291538767,-0.019412136700182027,0.008092098813146579,-0.048031406031726766,0.013615331380535702,-0.01688633186024543,,0.06117799715373854,,,-0.07063925902203125,,,,-8.50041071150544e-05,-0.03336650754394635,,-0.03321516589828756
