,UKF243,UKF248,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IL15,0.08602398324223172,0.030966415432423487,0.016528001841733253,0.044669997360885366,-0.03475042503984934,-0.008917916796483549,-0.03113780531413443,-0.040637045158670976,0.04648166516490226
UTS2,,,,,0.0363747197844985,,,,
BSG,-0.05674383250841048,0.013881828349603137,0.08959535287680573,0.004439506153528475,0.07786923355936083,0.0307501339489913,-0.019427224237531338,0.04800284304311837,0.03774535319224871
ADAMTS3,-0.001970383099749162,0.02387497857077089,0.03358051478114732,0.004232341554814633,-0.00432183516881525,0.021987144698475104,0.05216077529387664,0.013560681586213338,0.04087190018366269
CD34,0.028972408978992295,-0.036088759285998126,0.039193493847338536,0.03760577523387686,0.058231415174301346,0.026272287281339096,0.017752659944148298,-0.012130594146571624,0.010644515603630656
PLAT,0.06884360435468097,0.0047818470532096586,0.108393064206121,0.02998790429461322,0.06811020631670833,0.0429277140652137,-0.020035832072933305,0.0008820131349049606,-0.016904931644786802
NTF3,,,,,0.030550688977288347,0.07541995432741874,0.054015734099231605,,
LTA,,,0.00014007219522762333,0.1300681350692057,,,,0.05689248667348445,
CKLF,0.005292701416888202,-0.047286225944600184,-0.06049465817583484,0.02184309360673012,0.05114491900276899,0.029231426266654037,0.046453303676256004,0.019240237156398957,0.04821144963226434
CD24,-0.03851915759919879,0.0024946578620220023,-0.09698604564573406,0.036826844167080645,0.02561731903641529,-0.018159955893927146,0.02623546850083421,0.012669579689908799,-0.029559703336830164
HSP90AA1,-0.14448124267586676,0.010564520925356976,-0.08839019407164894,0.015295478996018554,-0.08458118506480716,-0.12962606379004835,-0.02457354575046849,-0.05824930493906318,-0.03737058640830303
BMP4,-0.022224486221255984,0.02283122610914151,-0.033923037398604985,-0.017805464251004873,0.07902348367803821,-0.01605685422174593,0.046388338945659476,0.029545953929271673,0.021660803260569673
SCGB3A1,,-0.013758078922822981,,-0.014580882052709741,0.04598383110979016,-0.014326872948350569,0.056480930878730004,-0.031506948948172325,-0.041858931470152336
IGFBP4,0.03327643036522483,0.02595698100668331,0.05584533857058692,0.04234466238589387,0.0272641759594398,-0.08700307331821643,-0.04050243985794129,-0.050271378143107164,-0.01379458606040884
RSPO4,-0.021274493724694348,,-0.01900972855173981,-0.028985901726221442,,,0.07163110410189709,0.06498757241027477,-0.026266385784858785
LEFTY2,-0.03563491460660277,0.0011753184318657307,-0.01635266373785985,0.013322642245718096,-0.018354197393574842,-0.02195489739275657,0.005687460054187798,0.055207790715932084,-0.023577759677151932
PF4,,-0.014271798387719678,,,,-0.017501154653458143,,0.05492343844550935,0.003361776708951775
